tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
2024-01-01 00:09:09,2024-01-01 00:21:08,2.0,2.14,148,137,1,13.5,2.78,21.28
2024-01-01 00:09:19,2024-01-01 00:21:34,1.0,1.79,163,239,2,13.5,0.0,18.5
2024-01-01 00:09:19,2024-01-01 00:21:19,1.0,1.23,140,162,1,11.4,4.1,20.5
2024-01-01 00:09:33,2024-01-01 00:21:52,2.0,1.81,170,79,1,12.8,1.0,18.8
2024-01-01 00:09:54,2024-01-01 00:46:19,3.0,4.02,114,48,1,32.4,7.48,44.88
2024-01-01 00:10:04,2024-01-01 00:21:59,2.0,1.8,224,162,1,12.8,5.3,23.1
2024-01-01 00:10:04,2024-01-01 00:31:27,3.0,4.39,190,80,1,24.7,1.36,28.56
2024-01-01 00:10:16,2024-01-01 00:18:24,1.0,1.06,249,164,1,9.3,1.0,15.3
2024-01-01 00:10:31,2024-01-01 00:33:51,,5.2,79,263,0,20.24,0.0,24.24
2024-01-01 00:10:34,2024-01-01 01:01:55,1.0,3.3,114,246,1,40.1,4.0,49.1
2024-01-01 00:10:44,2024-01-01 00:24:43,2.0,1.33,90,246,1,13.5,2.0,20.5
2024-01-01 00:10:47,2024-01-01 00:22:48,2.0,2.55,263,170,1,14.2,3.84,23.04
2024-01-01 00:10:55,2024-01-01 00:17:15,2.0,0.67,48,50,1,7.9,2.58,15.48
2024-01-01 00:11:03,2024-01-01 00:29:11,1.0,8.06,142,127,1,33.8,3.88,42.68
2024-01-01 00:11:21,2024-01-01 00:22:45,1.0,1.5,142,237,1,12.1,5.13,22.23
2024-01-01 00:11:45,2024-01-01 00:36:43,2.0,3.3,236,234,1,24.0,5.8,34.8
2024-01-01 00:11:51,2024-01-01 00:33:21,1.0,2.96,114,50,1,21.9,0.0,26.9
2024-01-01 00:11:55,2024-01-01 00:28:16,1.0,2.84,161,238,1,17.7,6.81,29.51
2024-01-01 00:12:01,2024-01-01 00:16:34,1.0,0.96,141,141,1,7.2,3.05,15.25
2024-01-01 00:12:09,2024-01-01 00:27:36,1.0,4.74,237,202,1,20.5,5.1,30.6
2024-01-01 00:12:10,2024-01-01 00:21:15,1.0,2.02,239,141,1,12.1,4.28,21.38
2024-01-01 00:12:32,2024-01-01 00:20:12,2.0,1.83,236,237,1,10.7,3.14,18.84
2024-01-01 00:12:49,2024-01-01 00:19:38,2.0,1.15,142,237,2,8.6,0.0,13.6
2024-01-01 00:13:02,2024-01-01 00:14:43,1.0,0.43,141,141,1,4.4,2.82,12.22
2024-01-01 00:13:13,2024-01-01 00:52:14,1.0,18.27,138,165,1,70.9,5.0,85.15
2024-01-01 00:13:13,2024-01-01 00:25:51,1.0,4.2,263,7,1,19.1,6.03,30.13
2024-01-01 00:13:51,2024-01-01 00:43:46,1.0,3.96,239,137,2,28.2,0.0,33.2
2024-01-01 00:13:52,2024-01-01 00:29:41,1.0,8.89,138,107,1,35.2,10.43,64.32
2024-01-01 00:13:52,2024-01-01 00:28:20,1.0,2.58,107,237,1,14.9,2.98,22.88
2024-01-01 00:13:57,2024-01-01 00:19:46,3.0,2.91,132,216,2,-13.5,0.0,-17.75
2024-01-01 00:14:14,2024-01-01 00:28:18,1.0,1.2,142,48,2,13.5,0.0,18.5
2024-01-01 00:14:58,2024-01-01 00:27:10,2.0,1.74,239,142,1,12.8,3.56,21.36
2024-01-01 00:15:11,2024-01-01 00:28:24,,0.0,77,225,0,14.98,0.0,16.48
2024-01-01 00:15:15,2024-01-01 00:23:19,1.0,1.31,236,238,2,10.0,0.0,15.0
2024-01-01 00:15:20,2024-01-01 00:24:23,3.0,1.6,236,239,1,10.7,3.14,18.84
2024-01-01 00:15:44,2024-01-01 00:27:11,3.0,2.11,79,125,1,13.5,0.0,18.5
2024-01-01 00:15:48,2024-01-01 00:33:38,,10.77,134,226,0,27.02,0.0,28.52
2024-01-01 00:15:51,2024-01-01 00:17:59,2.0,1.01,229,140,1,6.5,1.15,12.65
2024-01-01 00:16:05,2024-01-01 00:30:43,2.0,2.56,142,236,2,16.3,0.0,21.3
2024-01-01 00:16:10,2024-01-01 00:25:10,1.0,2.36,229,236,1,12.8,3.56,21.36
2024-01-01 00:16:22,2024-01-01 00:26:51,1.0,1.14,87,144,2,11.4,0.0,16.4
2024-01-01 00:16:26,2024-01-01 00:53:15,3.0,5.5,239,125,1,35.2,3.0,43.2
2024-01-01 00:16:52,2024-01-01 00:20:04,2.0,0.7,229,141,1,5.8,2.16,12.96
2024-01-01 00:17:17,2024-01-01 00:30:02,3.0,3.24,141,79,1,16.3,3.83,25.13
2024-01-01 00:17:17,2024-01-01 00:20:32,1.0,0.91,229,141,2,6.5,0.0,11.5
2024-01-01 00:17:21,2024-01-01 00:23:22,5.0,1.31,229,140,2,7.9,0.0,12.9
2024-01-01 00:17:24,2024-01-01 00:20:14,2.0,0.3,79,114,1,5.1,2.0,12.1
2024-01-01 00:18:02,2024-01-01 00:21:13,2.0,0.7,141,263,1,5.8,2.15,12.95
2024-01-01 00:18:15,2024-01-01 00:23:58,2.0,0.7,142,143,1,7.2,3.65,15.85
2024-01-01 00:18:21,2024-01-01 00:26:32,2.0,1.4,239,236,1,9.3,4.25,18.55
2024-01-01 00:18:41,2024-01-01 00:30:30,2.0,1.94,262,239,1,12.8,4.45,22.25
2024-01-01 00:19:00,2024-01-01 00:35:11,1.0,6.29,107,13,1,27.5,6.5,39.0
2024-01-01 00:19:09,2024-01-01 00:41:03,3.0,9.12,239,247,1,38.7,8.74,52.44
2024-01-01 00:19:21,2024-01-01 00:36:03,6.0,2.37,90,148,1,17.0,6.6,28.6
2024-01-01 00:19:32,2024-01-01 00:45:51,1.0,3.71,186,237,2,25.4,0.0,30.4
2024-01-01 00:19:32,2024-01-01 00:32:41,2.0,2.06,161,239,1,14.2,2.5,21.7
2024-01-01 00:19:34,2024-01-01 00:41:11,,12.13,242,179,0,30.12,0.0,38.56
2024-01-01 00:19:36,2024-01-01 00:22:12,1.0,0.5,249,90,2,5.1,0.0,10.1
2024-01-01 00:19:39,2024-01-01 00:41:38,1.0,1.55,68,50,2,19.1,0.0,24.1
2024-01-01 00:19:45,2024-01-01 00:52:08,1.0,4.6,239,164,1,30.3,5.0,40.3
2024-01-01 00:19:49,2024-01-01 00:24:31,1.0,0.82,79,170,1,7.2,3.66,15.86
2024-01-01 00:19:52,2024-01-01 00:36:43,1.0,2.47,80,4,1,17.7,4.54,27.24
2024-01-01 00:19:55,2024-01-01 00:26:31,1.0,1.56,233,141,1,9.3,2.86,17.16
2024-01-01 00:20:21,2024-01-01 00:23:10,1.0,0.62,43,236,1,5.1,2.02,12.12
2024-01-01 00:20:23,2024-01-01 00:44:39,1.0,4.67,68,262,1,25.4,6.08,36.48
2024-01-01 00:20:29,2024-01-01 00:21:23,2.0,0.05,100,164,4,-3.0,0.0,-8.0
2024-01-01 00:20:34,2024-01-01 00:41:40,1.0,3.03,211,162,1,19.8,5.0,29.8
2024-01-01 00:21:11,2024-01-01 00:40:21,1.0,1.68,163,164,1,17.7,2.5,25.2
2024-01-01 00:21:11,2024-01-01 00:27:54,2.0,0.89,113,158,1,7.9,2.58,15.48
2024-01-01 00:21:14,2024-01-01 00:32:48,1.0,1.5,114,170,1,12.1,3.42,20.52
2024-01-01 00:21:16,2024-01-01 00:33:13,,1.72,249,79,0,11.54,0.0,15.54
2024-01-01 00:21:18,2024-01-01 00:40:01,4.0,3.4,238,237,1,20.5,6.38,31.88
2024-01-01 00:21:19,2024-01-01 00:33:12,3.0,1.5,114,137,1,12.1,3.4,20.5
2024-01-01 00:21:33,2024-01-01 00:25:26,1.0,0.63,161,237,1,6.5,2.3,13.8
2024-01-01 00:21:35,2024-01-01 00:25:33,1.0,0.7,237,263,2,5.8,0.0,10.8
2024-01-01 00:21:38,2024-01-01 00:26:29,2.0,1.2,141,263,1,7.2,2.4,14.6
2024-01-01 00:21:42,2024-01-01 00:25:12,1.0,0.92,263,141,1,6.5,1.5,13.0
2024-01-01 00:21:47,2024-01-01 00:37:35,,3.13,167,41,0,18.58,0.0,20.08
2024-01-01 00:21:54,2024-01-01 00:56:05,2.0,1.01,246,48,2,26.8,0.0,31.8
2024-01-01 00:22:24,2024-01-01 00:36:16,2.0,4.09,224,236,2,19.1,0.0,24.1
2024-01-01 00:22:29,2024-01-01 00:36:56,1.0,1.02,186,246,1,13.5,3.7,22.2
2024-01-01 00:22:30,2024-01-01 00:32:58,1.0,1.9,238,141,1,12.1,2.56,19.66
2024-01-01 00:22:44,2024-01-01 00:35:03,1.0,2.02,239,262,1,14.2,3.0,22.2
2024-01-01 00:22:52,2024-01-01 00:42:04,1.0,1.2,162,164,1,16.3,1.0,22.3
2024-01-01 00:23:18,2024-01-01 00:50:49,2.0,1.93,48,246,2,23.3,0.0,28.3
2024-01-01 00:23:18,2024-01-01 00:42:10,,0.0,208,159,0,28.29,0.0,29.79
2024-01-01 00:23:32,2024-01-01 00:39:22,,2.6,143,262,0,1.18,0.0,5.18
2024-01-01 00:23:38,2024-01-01 00:32:20,,3.02,218,215,0,11.77,0.0,13.27
2024-01-01 00:23:39,2024-01-01 00:31:20,1.0,0.62,90,246,2,8.6,0.0,13.6
2024-01-01 00:23:40,2024-01-01 00:34:15,3.0,2.14,137,144,1,12.8,3.56,21.36
2024-01-01 00:23:47,2024-01-01 00:26:59,3.0,0.7,68,246,2,5.8,0.0,10.8
2024-01-01 00:23:53,2024-01-01 00:34:01,1.0,2.14,263,238,1,12.8,3.56,21.36
2024-01-01 00:24:02,2024-01-01 01:10:32,1.0,8.74,90,225,4,-47.8,0.0,-52.8
2024-01-01 00:24:12,2024-01-01 00:27:14,2.0,0.59,238,151,1,5.8,1.0,11.8
2024-01-01 00:24:45,2024-01-01 00:55:37,2.0,1.4,186,48,1,24.7,5.94,35.64
2024-01-01 00:24:52,2024-01-01 00:57:28,,0.0,48,74,0,33.24,0.0,37.24
2024-01-01 00:25:00,2024-01-01 00:36:46,,0.0,263,137,0,15.89,0.0,19.89
2024-01-01 00:25:03,2024-01-01 00:35:32,1.0,1.96,43,263,1,12.8,4.45,22.25
2024-01-01 00:25:05,2024-01-01 00:33:32,3.0,0.73,161,233,1,8.6,3.4,17.0
2024-01-01 00:25:17,2024-01-01 00:35:38,1.0,1.07,43,161,1,10.7,3.14,18.84
2024-01-01 00:25:34,2024-01-01 00:44:50,3.0,2.52,162,246,1,18.4,1.0,24.4
2024-01-01 00:25:36,2024-01-01 00:43:25,1.0,1.1,162,170,2,14.2,0.0,19.2
2024-01-01 00:25:46,2024-01-01 00:38:14,1.0,1.2,237,163,3,10.7,0.0,15.7
2024-01-01 00:25:48,2024-01-01 00:27:37,1.0,0.69,140,263,1,5.1,10.0,20.1
2024-01-01 00:26:02,2024-01-01 00:26:21,1.0,2.3,42,42,1,3.0,10.0,15.5
2024-01-01 00:26:06,2024-01-01 01:02:51,1.0,8.81,43,36,1,41.5,5.0,51.5
2024-01-01 00:26:27,2024-01-01 00:35:30,2.0,1.5,164,113,1,10.7,3.9,19.6
2024-01-01 00:26:33,2024-01-01 00:59:59,2.0,8.4,161,181,2,41.5,0.0,46.5
2024-01-01 00:26:47,2024-01-01 00:31:02,1.0,1.02,239,151,1,7.2,2.0,14.2
2024-01-01 00:27:11,2024-01-01 00:35:51,1.0,1.99,43,166,1,11.4,4.1,20.5
2024-01-01 00:27:14,2024-01-01 00:33:59,1.0,0.8,142,237,1,7.9,3.25,16.15
2024-01-01 00:27:27,2024-01-01 01:27:18,,0.0,231,262,0,29.61,0.0,33.61
2024-01-01 00:27:29,2024-01-01 01:09:06,,12.01,189,143,0,47.22,0.0,51.22
2024-01-01 00:27:32,2024-01-01 00:43:02,1.0,2.18,237,143,1,16.3,4.26,25.56
2024-01-01 00:27:57,2024-01-01 00:30:30,3.0,0.56,237,229,1,5.1,2.02,12.12
2024-01-01 00:28:10,2024-01-01 00:37:09,0.0,1.5,263,238,1,10.7,3.1,18.8
2024-01-01 00:28:13,2024-01-01 01:02:38,,4.64,158,238,0,29.54,0.0,33.54
2024-01-01 00:28:19,2024-01-01 00:44:54,,5.27,88,234,0,23.42,0.0,27.42
2024-01-01 00:28:19,2024-01-01 00:41:16,2.0,2.14,236,143,1,14.2,3.84,23.04
2024-01-01 00:28:34,2024-01-01 00:47:12,,2.23,239,140,0,16.3,4.06,24.36
2024-01-01 00:28:40,2024-01-01 00:50:44,1.0,4.71,229,129,3,24.7,0.0,29.7
2024-01-01 00:28:42,2024-01-01 00:36:20,3.0,0.65,107,234,4,-7.9,0.0,-12.9
2024-01-01 00:28:48,2024-01-01 00:33:49,1.0,1.0,137,79,1,6.5,2.9,14.4
2024-01-01 00:28:53,2024-01-01 01:21:10,4.0,4.98,186,238,1,44.3,9.86,59.16
2024-01-01 00:28:55,2024-01-01 00:55:10,1.0,4.01,234,236,1,26.1,5.1,36.2
2024-01-01 00:28:56,2024-01-01 00:59:07,,4.08,50,4,0,25.16,0.0,29.16
2024-01-01 00:29:38,2024-01-01 01:05:11,,3.87,158,143,0,34.3,0.0,38.3
2024-01-01 00:29:41,2024-01-01 01:17:37,,3.68,163,125,0,27.23,0.0,31.23
2024-01-01 00:29:42,2024-01-01 00:40:45,3.0,4.8,132,197,3,20.5,0.0,24.75
2024-01-01 00:29:58,2024-01-01 00:40:19,1.0,1.85,148,170,1,11.4,3.28,19.68
2024-01-01 00:30:01,2024-01-01 01:16:16,4.0,4.69,144,48,1,40.8,9.16,54.96
2024-01-01 00:30:10,2024-01-01 00:40:01,2.0,1.58,249,231,4,11.4,0.0,16.4
2024-01-01 00:30:47,2024-01-01 00:55:40,,3.6,87,68,0,25.23,0.0,29.23
2024-01-01 00:30:47,2024-01-01 01:31:49,,10.97,113,244,0,36.56,0.0,40.56
2024-01-01 00:30:54,2024-01-01 00:39:47,1.0,1.54,114,234,1,10.7,3.14,18.84
2024-01-01 00:30:55,2024-01-01 01:17:31,,12.04,249,243,0,41.26,0.0,45.26
2024-01-01 00:30:58,2024-01-01 00:45:35,1.0,1.76,148,249,4,14.9,0.0,19.9
2024-01-01 00:31:13,2024-01-01 00:37:59,1.0,1.18,238,239,1,8.6,2.04,15.64
2024-01-01 00:31:14,2024-01-01 00:50:51,2.0,3.2,162,114,1,19.8,4.95,29.75
2024-01-01 00:31:24,2024-01-01 01:02:27,2.0,4.39,142,113,1,28.9,6.78,40.68
2024-01-01 00:31:25,2024-01-01 00:53:42,1.0,3.65,141,90,1,21.9,5.38,32.28
2024-01-01 00:31:32,2024-01-01 00:36:40,2.0,0.92,229,141,1,7.2,1.5,13.7
2024-01-01 00:31:39,2024-01-01 00:34:54,1.0,0.61,263,141,1,5.1,2.52,12.62
2024-01-01 00:31:43,2024-01-01 00:56:28,,2.76,113,163,0,28.23,0.0,32.23
2024-01-01 00:31:49,2024-01-01 00:37:35,1.0,0.83,236,263,1,7.2,3.05,15.25
2024-01-01 00:31:52,2024-01-01 00:54:47,,2.75,79,186,0,22.02,0.0,26.02
2024-01-01 00:31:58,2024-01-01 00:56:27,,4.34,144,237,0,2.99,0.0,6.99
2024-01-01 00:32:11,2024-01-01 00:45:15,,5.43,140,232,0,26.75,0.0,30.75
2024-01-01 00:32:19,2024-01-01 00:37:22,,0.77,263,237,0,11.74,1.89,17.63
2024-01-01 00:32:37,2024-01-01 00:38:00,5.0,1.09,125,158,1,7.9,3.87,16.77
2024-01-01 00:32:45,2024-01-01 00:35:31,,0.6,141,141,0,5.1,1.74,11.84
2024-01-01 00:32:51,2024-01-01 00:42:29,2.0,1.02,234,164,1,10.0,4.5,19.5
2024-01-01 00:32:59,2024-01-01 00:38:00,2.0,0.7,236,262,1,6.5,0.0,11.5
2024-01-01 00:33:04,2024-01-01 00:53:20,2.0,2.07,113,114,1,18.4,5.85,29.25
2024-01-01 00:33:09,2024-01-01 01:13:11,2.0,6.66,66,170,2,42.2,0.0,47.2
2024-01-01 00:33:16,2024-01-01 01:22:41,4.0,3.75,161,211,1,39.4,11.1,55.5
2024-01-01 00:33:19,2024-01-01 00:38:22,1.0,0.98,141,236,1,7.2,2.44,14.64
2024-01-01 00:33:20,2024-01-01 01:18:48,,0.0,249,74,0,34.23,0.0,38.23
2024-01-01 00:33:21,2024-01-01 00:48:53,,7.86,130,82,0,31.72,0.0,33.22
2024-01-01 00:33:35,2024-01-01 00:46:53,,1.26,229,164,0,15.58,0.0,19.58
2024-01-01 00:33:36,2024-01-01 00:54:04,0.0,2.6,137,264,1,19.1,4.8,28.9
2024-01-01 00:33:53,2024-01-01 00:56:09,3.0,1.57,229,164,1,19.1,0.0,24.1
2024-01-01 00:33:58,2024-01-01 00:46:19,2.0,1.7,162,224,2,13.5,0.0,18.5
2024-01-01 00:33:59,2024-01-01 00:39:53,1.0,0.71,48,142,1,7.2,3.66,15.86
2024-01-01 00:34:01,2024-01-01 01:13:19,4.0,5.57,161,88,1,40.8,5.0,50.8
2024-01-01 00:34:25,2024-01-01 00:53:26,1.0,2.93,170,261,1,19.1,4.82,28.92
2024-01-01 00:34:33,2024-01-01 00:48:07,1.0,2.5,161,263,1,15.6,4.12,24.72
2024-01-01 00:34:36,2024-01-01 00:52:21,1.0,2.35,43,170,1,17.7,0.0,22.7
2024-01-01 00:34:37,2024-01-01 00:50:15,4.0,1.5,50,186,1,15.6,2.0,22.6
2024-01-01 00:35:06,2024-01-01 00:42:18,1.0,0.72,107,79,2,8.6,0.0,13.6
2024-01-01 00:35:18,2024-01-01 01:36:56,1.0,3.0,141,186,1,47.8,0.0,52.8
2024-01-01 00:35:40,2024-01-01 00:46:50,1.0,1.23,79,137,1,11.4,3.28,19.68
2024-01-01 00:35:41,2024-01-01 00:46:06,2.0,1.0,162,161,1,9.3,2.85,17.15
2024-01-01 00:35:56,2024-01-01 00:56:40,2.0,2.6,239,162,2,17.0,0.0,22.0
2024-01-01 00:35:58,2024-01-01 01:07:21,,9.42,231,74,0,35.64,0.0,39.64
2024-01-01 00:36:00,2024-01-01 00:43:00,,1.27,211,90,0,11.74,3.15,18.89
2024-01-01 00:36:02,2024-01-01 01:04:29,1.0,2.23,163,170,2,24.0,0.0,29.0
2024-01-01 00:36:09,2024-01-01 01:08:16,1.0,2.88,236,137,1,27.5,6.5,39.0
2024-01-01 00:36:12,2024-01-01 00:48:53,1.0,1.0,43,141,1,12.1,3.42,20.52
2024-01-01 00:36:16,2024-01-01 01:41:52,3.0,6.38,114,166,1,56.9,12.38,74.28
2024-01-01 00:36:17,2024-01-01 00:50:33,1.0,2.27,148,68,1,14.9,3.98,23.88
2024-01-01 00:36:23,2024-01-01 00:53:54,1.0,10.63,132,191,1,40.8,10.82,55.87
2024-01-01 00:36:25,2024-01-01 00:42:54,1.0,1.16,262,141,1,8.6,3.4,17.0
2024-01-01 00:36:25,2024-01-01 00:47:26,2.0,2.09,233,79,1,12.8,3.56,21.36
2024-01-01 00:36:26,2024-01-01 00:39:25,1.0,0.49,263,236,4,-5.1,0.0,-10.1
2024-01-01 00:36:30,2024-01-01 00:43:59,2.0,1.61,79,170,2,10.0,0.0,15.0
2024-01-01 00:36:32,2024-01-01 01:19:33,,3.66,246,239,0,26.49,0.0,30.49
2024-01-01 00:36:34,2024-01-01 00:45:34,1.0,1.47,238,143,1,10.7,3.14,18.84
2024-01-01 00:36:51,2024-01-01 00:40:52,2.0,0.9,141,229,1,6.5,2.3,13.8
2024-01-01 00:36:52,2024-01-01 00:43:14,2.0,1.4,113,90,1,9.3,2.85,17.15
2024-01-01 00:36:56,2024-01-01 00:40:53,1.0,1.06,140,263,1,7.2,3.66,15.86
2024-01-01 00:37:02,2024-01-01 00:44:36,2.0,1.03,24,238,1,9.3,3.58,17.88
2024-01-01 00:37:04,2024-01-01 00:50:20,2.0,2.5,170,236,2,14.2,0.0,19.2
2024-01-01 00:37:13,2024-01-01 00:43:46,1.0,0.57,114,125,2,7.2,0.0,12.2
2024-01-01 00:37:16,2024-01-01 00:43:33,4.0,0.98,162,237,1,7.9,3.87,16.77
2024-01-01 00:37:26,2024-01-01 00:47:46,3.0,1.73,79,170,1,12.1,2.0,19.1
2024-01-01 00:37:30,2024-01-01 01:05:55,1.0,4.5,107,239,1,25.4,9.1,39.5
2024-01-01 00:37:33,2024-01-01 00:50:43,,3.23,142,166,0,17.03,3.79,24.82
2024-01-01 00:37:39,2024-01-01 00:42:42,1.0,0.6,107,107,1,5.8,3.25,14.05
2024-01-01 00:37:39,2024-01-01 00:51:07,1.0,5.09,132,10,1,21.9,4.88,31.03
2024-01-01 00:37:50,2024-01-01 00:41:51,2.0,0.95,140,263,1,6.5,1.72,13.22
2024-01-01 00:38:10,2024-01-01 00:51:06,1.0,1.07,237,170,1,12.8,4.45,22.25
2024-01-01 00:38:11,2024-01-01 01:23:26,1.0,0.0,41,188,1,49.5,0.0,57.94
2024-01-01 00:38:33,2024-01-01 00:52:23,2.0,1.19,107,114,1,12.8,3.56,21.36
2024-01-01 00:38:37,2024-01-01 00:55:52,,0.0,10,129,0,30.66,0.0,32.16
2024-01-01 00:38:39,2024-01-01 01:04:23,,0.0,41,79,0,37.9,0.0,41.9
2024-01-01 00:38:50,2024-01-01 01:07:11,1.0,3.18,90,141,1,24.7,1.0,30.7
2024-01-01 00:38:59,2024-01-01 00:40:05,2.0,0.13,68,68,2,-70.0,0.0,-74.0
2024-01-01 00:39:00,2024-01-01 00:47:37,,3.96,218,197,0,18.55,0.0,20.05
2024-01-01 00:39:03,2024-01-01 00:44:28,4.0,1.1,236,238,1,7.9,0.0,12.9
2024-01-01 00:39:13,2024-01-01 01:11:26,1.0,1.32,246,50,2,26.1,0.0,31.1
2024-01-01 00:39:32,2024-01-01 00:48:35,1.0,1.0,79,249,1,8.6,2.7,16.3
2024-01-01 00:40:18,2024-01-01 00:48:34,2.0,1.08,237,140,1,10.0,3.0,18.0
2024-01-01 00:40:25,2024-01-01 00:46:13,2.0,0.5,68,68,2,-70.0,0.0,-74.0
2024-01-01 00:40:35,2024-01-01 00:47:55,2.0,2.04,263,233,1,10.7,3.14,18.84
2024-01-01 00:40:40,2024-01-01 01:00:12,0.0,2.5,234,246,1,18.4,4.65,28.05
2024-01-01 00:40:55,2024-01-01 00:51:57,,2.18,263,142,0,12.86,2.19,19.05
2024-01-01 00:41:30,2024-01-01 00:53:15,1.0,1.91,148,107,1,13.5,3.7,22.2
2024-01-01 00:41:30,2024-01-01 00:55:46,1.0,1.9,79,68,2,12.8,0.0,17.8
2024-01-01 00:41:36,2024-01-01 01:01:46,1.0,5.79,263,148,1,27.5,6.5,39.0
2024-01-01 00:41:42,2024-01-01 00:46:00,1.0,0.47,249,113,4,5.8,0.0,10.8
2024-01-01 00:41:44,2024-01-01 00:55:02,2.0,2.6,233,75,2,15.6,0.0,20.6
2024-01-01 00:41:46,2024-01-01 00:50:26,1.0,1.99,211,107,1,11.4,1.64,18.04
2024-01-01 00:41:47,2024-01-01 01:33:08,2.0,1.81,234,68,1,38.7,8.74,52.44
2024-01-01 00:41:49,2024-01-01 01:04:36,5.0,0.8,161,164,1,14.2,3.8,23.0
2024-01-01 00:41:52,2024-01-01 01:04:52,1.0,2.41,170,236,2,20.5,0.0,25.5
2024-01-01 00:41:55,2024-01-01 01:12:02,1.0,2.48,170,142,1,25.4,6.08,36.48
2024-01-01 00:42:02,2024-01-01 01:07:17,1.0,1.4,161,164,2,17.7,0.0,22.7
2024-01-01 00:42:02,2024-01-01 00:49:44,,0.0,229,161,0,12.69,0.0,16.69
2024-01-01 00:42:03,2024-01-01 00:53:10,1.0,2.0,229,107,1,12.8,3.2,21.0
2024-01-01 00:42:04,2024-01-01 01:02:08,1.0,1.66,43,170,1,18.4,7.02,30.42
2024-01-01 00:42:05,2024-01-01 00:52:46,2.0,1.86,239,262,1,12.8,3.56,21.36
2024-01-01 00:42:16,2024-01-01 00:57:34,2.0,2.34,229,79,1,15.6,0.0,20.6
