sequence_id,split,step,row_type,component,reading,alert_label
TR-0005,training,0,reading,K,-0.4543,0
TR-0005,training,1,reading,I,0.8929,0
TR-0005,training,2,reading,F,0.855,0
TR-0005,training,3,reading,L,0.25,0
TR-0005,training,4,reading,E,-0.9243,0
TR-0005,training,5,reading,G,0.8151,0
TR-0005,training,6,reading,H,1.0024,0
TR-0005,training,7,reading,B,-0.3536,0
TR-0005,training,8,reading,J,-0.5944,0
TR-0005,training,9,reading,C,-2.042,0
TR-0005,training,10,reading,D,-1.1443,0
TR-0005,training,11,reading,A,0.25,0
TR-0005,training,12,query,C,,0
TR-0006,training,0,reading,D,0.8627,0
TR-0006,training,1,reading,G,-0.5567,0
TR-0006,training,2,reading,K,-0.4842,0
TR-0006,training,3,reading,L,0.893,0
TR-0006,training,4,reading,B,-0.7688,0
TR-0006,training,5,reading,F,-0.632,0
TR-0006,training,6,reading,I,1.4846,0
TR-0006,training,7,reading,H,0.5666,0
TR-0006,training,8,reading,A,1.1201,0
TR-0006,training,9,reading,C,0.4343,0
TR-0006,training,10,reading,E,-0.25,0
TR-0006,training,11,reading,J,0.2875,0
TR-0006,training,12,query,K,,0
TR-0007,training,0,reading,G,-1.9042,1
TR-0007,training,1,reading,E,0.6612,1
TR-0007,training,2,reading,L,0.8107,1
TR-0007,training,3,reading,H,-0.25,1
TR-0007,training,4,reading,C,0.25,1
TR-0007,training,5,reading,A,-0.25,1
TR-0007,training,6,reading,K,2.0964,1
TR-0007,training,7,reading,J,0.25,1
TR-0007,training,8,reading,B,1.592,1
TR-0007,training,9,reading,D,0.6471,1
TR-0007,training,10,reading,I,0.667,1
TR-0007,training,11,reading,F,-1.4834,1
TR-0007,training,12,query,L,,1
TR-0008,training,0,reading,H,0.9238,0
TR-0008,training,1,reading,L,0.25,0
TR-0008,training,2,reading,F,0.3598,0
TR-0008,training,3,reading,E,-0.9794,0
TR-0008,training,4,reading,I,0.6003,0
TR-0008,training,5,reading,A,1.5503,0
TR-0008,training,6,reading,B,0.5128,0
TR-0008,training,7,reading,G,1.3336,0
TR-0008,training,8,reading,D,-0.3102,0
TR-0008,training,9,reading,C,0.3034,0
TR-0008,training,10,reading,K,-0.5778,0
TR-0008,training,11,reading,J,0.978,0
TR-0008,training,12,query,E,,0
TR-0009,training,0,reading,G,0.6402,1
TR-0009,training,1,reading,D,-0.572,1
TR-0009,training,2,reading,I,0.38,1
TR-0009,training,3,reading,F,0.25,1
TR-0009,training,4,reading,H,-0.7558,1
TR-0009,training,5,reading,L,0.3146,1
TR-0009,training,6,reading,A,0.3183,1
TR-0009,training,7,reading,C,-0.8431,1
TR-0009,training,8,reading,B,0.25,1
TR-0009,training,9,reading,K,-0.25,1
TR-0009,training,10,reading,E,-0.25,1
TR-0009,training,11,reading,J,0.6232,1
TR-0009,training,12,query,G,,1
TR-0010,training,0,reading,A,-0.3144,0
TR-0010,training,1,reading,H,0.25,0
TR-0010,training,2,reading,B,0.25,0
TR-0010,training,3,reading,L,-2.081,0
TR-0010,training,4,reading,I,-0.2684,0
TR-0010,training,5,reading,J,-1.894,0
TR-0010,training,6,reading,F,1.9593,0
TR-0010,training,7,reading,K,0.6517,0
TR-0010,training,8,reading,C,1.2653,0
TR-0010,training,9,reading,G,-0.5869,0
TR-0010,training,10,reading,D,-0.25,0
TR-0010,training,11,reading,E,1.2954,0
TR-0010,training,12,query,G,,0
TR-0011,training,0,reading,A,-1.6423,0
TR-0011,training,1,reading,B,0.4225,0
TR-0011,training,2,reading,H,-1.6138,0
TR-0011,training,3,reading,D,-0.6488,0
TR-0011,training,4,reading,E,-0.5238,0
TR-0011,training,5,reading,F,1.6899,0
TR-0011,training,6,reading,J,1.3723,0
TR-0011,training,7,reading,C,0.9937,0
TR-0011,training,8,reading,K,0.641,0
TR-0011,training,9,reading,I,-0.25,0
TR-0011,training,10,reading,L,0.2803,0
TR-0011,training,11,reading,G,-0.5831,0
TR-0011,training,12,query,G,,0
TR-0012,training,0,reading,G,-0.5704,1
TR-0012,training,1,reading,B,-0.7662,1
TR-0012,training,2,reading,L,-0.6625,1
TR-0012,training,3,reading,C,-0.25,1
TR-0012,training,4,reading,H,0.6917,1
TR-0012,training,5,reading,J,2.0581,1
TR-0012,training,6,reading,D,1.0649,1
TR-0012,training,7,reading,I,-0.25,1
TR-0012,training,8,reading,K,1.4281,1
TR-0012,training,9,reading,F,0.5981,1
TR-0012,training,10,reading,A,0.25,1
TR-0012,training,11,reading,E,-1.6577,1
TR-0012,training,12,query,A,,1
TR-0013,training,0,reading,K,0.5287,0
TR-0013,training,1,reading,C,-0.2638,0
TR-0013,training,2,reading,B,-0.25,0
TR-0013,training,3,reading,L,0.8672,0
TR-0013,training,4,reading,A,1.4957,0
TR-0013,training,5,reading,H,0.7104,0
TR-0013,training,6,reading,F,-0.25,0
TR-0013,training,7,reading,D,-2.3033,0
TR-0013,training,8,reading,I,0.6892,0
TR-0013,training,9,reading,E,0.25,0
TR-0013,training,10,reading,G,0.25,0
TR-0013,training,11,reading,J,-0.5977,0
TR-0013,training,12,query,C,,0
TR-0014,training,0,reading,C,0.3555,1
TR-0014,training,1,reading,E,-0.3291,1
TR-0014,training,2,reading,L,0.9926,1
TR-0014,training,3,reading,D,0.9727,1
TR-0014,training,4,reading,F,-0.5478,1
TR-0014,training,5,reading,J,0.793,1
TR-0014,training,6,reading,K,0.7573,1
TR-0014,training,7,reading,A,-0.3215,1
TR-0014,training,8,reading,G,-0.613,1
TR-0014,training,9,reading,H,0.25,1
TR-0014,training,10,reading,I,-0.6543,1
TR-0014,training,11,reading,B,0.5209,1
TR-0014,training,12,query,B,,1
TR-0015,training,0,reading,G,-0.8461,1
TR-0015,training,1,reading,H,0.25,1
TR-0015,training,2,reading,C,0.2756,1
TR-0015,training,3,reading,E,0.6243,1
TR-0015,training,4,reading,L,1.8611,1
TR-0015,training,5,reading,A,0.4607,1
TR-0015,training,6,reading,B,-0.2803,1
TR-0015,training,7,reading,F,-1.8045,1
TR-0015,training,8,reading,K,-0.7368,1
TR-0015,training,9,reading,D,-0.5342,1
TR-0015,training,10,reading,J,0.2542,1
TR-0015,training,11,reading,I,-0.3243,1
TR-0015,training,12,query,E,,1
TR-0016,training,0,reading,C,-0.9601,1
TR-0016,training,1,reading,I,0.25,1
TR-0016,training,2,reading,B,1.0549,1
TR-0016,training,3,reading,E,0.8195,1
TR-0016,training,4,reading,A,-1.8695,1
TR-0016,training,5,reading,L,0.25,1
TR-0016,training,6,reading,J,1.5864,1
TR-0016,training,7,reading,G,0.25,1
TR-0016,training,8,reading,K,0.2906,1
TR-0016,training,9,reading,D,0.7172,1
TR-0016,training,10,reading,F,-1.2528,1
TR-0016,training,11,reading,H,-0.634,1
TR-0016,training,12,query,E,,1
TR-0017,training,0,reading,J,0.25,1
TR-0017,training,1,reading,C,0.25,1
TR-0017,training,2,reading,B,-0.9466,1
TR-0017,training,3,reading,L,-0.9615,1
TR-0017,training,4,reading,K,-1.3286,1
TR-0017,training,5,reading,E,-0.4815,1
TR-0017,training,6,reading,G,-0.4497,1
TR-0017,training,7,reading,F,-0.4225,1
TR-0017,training,8,reading,D,0.25,1
TR-0017,training,9,reading,H,-1.3218,1
TR-0017,training,10,reading,I,-0.9846,1
TR-0017,training,11,reading,A,-0.8858,1
TR-0017,training,12,query,C,,1
TR-0018,training,0,reading,H,-0.5475,1
TR-0018,training,1,reading,F,1.0171,1
TR-0018,training,2,reading,I,-0.788,1
TR-0018,training,3,reading,A,-0.6266,1
TR-0018,training,4,reading,D,0.7643,1
TR-0018,training,5,reading,G,1.0983,1
TR-0018,training,6,reading,E,0.5927,1
TR-0018,training,7,reading,C,0.3335,1
TR-0018,training,8,reading,J,0.865,1
TR-0018,training,9,reading,K,-1.0161,1
TR-0018,training,10,reading,L,0.25,1
TR-0018,training,11,reading,B,-0.952,1
TR-0018,training,12,query,G,,1
TR-0019,training,0,reading,E,-0.8459,0
TR-0019,training,1,reading,K,-1.3104,0
TR-0019,training,2,reading,G,-0.9184,0
TR-0019,training,3,reading,F,0.25,0
TR-0019,training,4,reading,C,-0.25,0
TR-0019,training,5,reading,B,0.6815,0
TR-0019,training,6,reading,L,0.4367,0
TR-0019,training,7,reading,D,0.6829,0
TR-0019,training,8,reading,H,0.4874,0
TR-0019,training,9,reading,I,0.7469,0
TR-0019,training,10,reading,J,-0.25,0
TR-0019,training,11,reading,A,-0.25,0
TR-0019,training,12,query,C,,0
TR-0020,training,0,reading,J,-0.4607,0
TR-0020,training,1,reading,K,-1.6263,0
TR-0020,training,2,reading,E,2.8894,0
TR-0020,training,3,reading,H,0.25,0
TR-0020,training,4,reading,B,1.3667,0
TR-0020,training,5,reading,D,-0.25,0
TR-0020,training,6,reading,A,0.9502,0
TR-0020,training,7,reading,L,-2.9785,0
TR-0020,training,8,reading,I,0.25,0
TR-0020,training,9,reading,G,-0.4505,0
TR-0020,training,10,reading,C,-1.6864,0
TR-0020,training,11,reading,F,0.25,0
TR-0020,training,12,query,D,,0
TR-0021,training,0,reading,L,-0.25,0
TR-0021,training,1,reading,A,1.6451,0
TR-0021,training,2,reading,I,0.8228,0
TR-0021,training,3,reading,G,1.4505,0
TR-0021,training,4,reading,H,1.4121,0
TR-0021,training,5,reading,D,0.3645,0
TR-0021,training,6,reading,K,0.25,0
TR-0021,training,7,reading,F,-0.3737,0
TR-0021,training,8,reading,E,-3.2626,0
TR-0021,training,9,reading,B,0.25,0
TR-0021,training,10,reading,C,-0.4006,0
TR-0021,training,11,reading,J,-0.25,0
TR-0021,training,12,query,E,,0
TR-0022,training,0,reading,E,2.4081,0
TR-0022,training,1,reading,F,-0.25,0
TR-0022,training,2,reading,A,-0.3045,0
TR-0022,training,3,reading,B,1.0478,0
TR-0022,training,4,reading,J,-0.25,0
TR-0022,training,5,reading,L,-1.0079,0
TR-0022,training,6,reading,H,1.3388,0
TR-0022,training,7,reading,C,-0.3486,0
TR-0022,training,8,reading,I,-0.4817,0
TR-0022,training,9,reading,G,-1.0648,0
TR-0022,training,10,reading,D,-0.9828,0
TR-0022,training,11,reading,K,2.8426,0
TR-0022,training,12,query,G,,0
TR-0023,training,0,reading,I,0.8428,0
TR-0023,training,1,reading,A,0.25,0
TR-0023,training,2,reading,H,-1.0241,0
TR-0023,training,3,reading,E,-0.5585,0
TR-0023,training,4,reading,G,-1.033,0
TR-0023,training,5,reading,K,0.5812,0
TR-0023,training,6,reading,J,0.2697,0
TR-0023,training,7,reading,C,-0.3423,0
TR-0023,training,8,reading,L,-0.5008,0
TR-0023,training,9,reading,F,1.096,0
TR-0023,training,10,reading,D,0.4029,0
TR-0023,training,11,reading,B,-1.7012,0
TR-0023,training,12,query,L,,0
TR-0024,training,0,reading,K,2.0691,0
TR-0024,training,1,reading,A,-0.25,0
TR-0024,training,2,reading,J,1.043,0
TR-0024,training,3,reading,I,-0.25,0
TR-0024,training,4,reading,E,0.8438,0
TR-0024,training,5,reading,F,0.25,0
TR-0024,training,6,reading,D,0.25,0
TR-0024,training,7,reading,B,0.25,0
TR-0024,training,8,reading,G,-0.3775,0
TR-0024,training,9,reading,C,-0.8361,0
TR-0024,training,10,reading,H,-0.846,0
TR-0024,training,11,reading,L,-1.0051,0
TR-0024,training,12,query,H,,0
TR-0025,training,0,reading,L,-1.0273,1
TR-0025,training,1,reading,J,-1.0968,1
TR-0025,training,2,reading,I,0.8419,1
TR-0025,training,3,reading,G,0.4795,1
TR-0025,training,4,reading,D,0.5853,1
TR-0025,training,5,reading,F,-1.8261,1
TR-0025,training,6,reading,H,0.5046,1
TR-0025,training,7,reading,E,1.1419,1
TR-0025,training,8,reading,B,-1.0189,1
TR-0025,training,9,reading,A,1.1135,1
TR-0025,training,10,reading,K,-1.7054,1
TR-0025,training,11,reading,C,0.9848,1
TR-0025,training,12,query,C,,1
TR-0026,training,0,reading,I,-1.0264,0
TR-0026,training,1,reading,E,-1.6071,0
TR-0026,training,2,reading,J,1.659,0
TR-0026,training,3,reading,D,1.1314,0
TR-0026,training,4,reading,H,0.9086,0
TR-0026,training,5,reading,G,0.25,0
TR-0026,training,6,reading,C,0.25,0
TR-0026,training,7,reading,K,-0.25,0
TR-0026,training,8,reading,L,-0.7423,0
TR-0026,training,9,reading,A,-0.5172,0
TR-0026,training,10,reading,F,-0.5674,0
TR-0026,training,11,reading,B,-0.25,0
TR-0026,training,12,query,E,,0
TR-0027,training,0,reading,C,0.7778,1
TR-0027,training,1,reading,D,-0.8069,1
TR-0027,training,2,reading,A,0.6325,1
TR-0027,training,3,reading,G,0.25,1
TR-0027,training,4,reading,E,-1.2334,1
TR-0027,training,5,reading,F,-1.2881,1
TR-0027,training,6,reading,H,0.5558,1
TR-0027,training,7,reading,J,-1.3749,1
TR-0027,training,8,reading,L,0.25,1
TR-0027,training,9,reading,B,-0.7242,1
TR-0027,training,10,reading,K,0.3913,1
TR-0027,training,11,reading,I,-1.3157,1
TR-0027,training,12,query,L,,1
TR-0028,training,0,reading,L,0.862,1
TR-0028,training,1,reading,C,0.3295,1
TR-0028,training,2,reading,H,2.3121,1
TR-0028,training,3,reading,K,-1.1344,1
TR-0028,training,4,reading,I,0.4244,1
TR-0028,training,5,reading,E,2.4613,1
TR-0028,training,6,reading,B,2.2465,1
TR-0028,training,7,reading,G,0.335,1
TR-0028,training,8,reading,J,0.25,1
TR-0028,training,9,reading,F,1.3429,1
TR-0028,training,10,reading,A,0.5845,1
TR-0028,training,11,reading,D,-0.5069,1
TR-0028,training,12,query,A,,1
TR-0029,training,0,reading,J,0.9085,0
TR-0029,training,1,reading,L,1.2613,0
TR-0029,training,2,reading,K,-0.5705,0
TR-0029,training,3,reading,E,-0.8816,0
TR-0029,training,4,reading,A,-0.25,0
TR-0029,training,5,reading,I,-0.6554,0
TR-0029,training,6,reading,D,-0.6451,0
TR-0029,training,7,reading,G,-0.25,0
TR-0029,training,8,reading,C,1.2304,0
TR-0029,training,9,reading,B,-1.0391,0
TR-0029,training,10,reading,H,-0.2754,0
TR-0029,training,11,reading,F,-0.25,0
TR-0029,training,12,query,K,,0
TR-0030,training,0,reading,B,1.7843,1
TR-0030,training,1,reading,G,-1.3352,1
TR-0030,training,2,reading,F,0.5044,1
TR-0030,training,3,reading,H,-0.25,1
TR-0030,training,4,reading,D,0.25,1
TR-0030,training,5,reading,E,0.7394,1
TR-0030,training,6,reading,L,-0.3859,1
TR-0030,training,7,reading,A,-0.25,1
TR-0030,training,8,reading,I,0.25,1
TR-0030,training,9,reading,C,-0.9604,1
TR-0030,training,10,reading,K,-0.25,1
TR-0030,training,11,reading,J,1.4003,1
TR-0030,training,12,query,B,,1
TR-0031,training,0,reading,I,-0.6589,0
TR-0031,training,1,reading,K,-0.4398,0
TR-0031,training,2,reading,F,0.5494,0
TR-0031,training,3,reading,C,-0.5937,0
TR-0031,training,4,reading,G,1.4677,0
TR-0031,training,5,reading,J,0.25,0
TR-0031,training,6,reading,H,-0.25,0
TR-0031,training,7,reading,A,0.4228,0
TR-0031,training,8,reading,E,-1.1658,0
TR-0031,training,9,reading,D,1.7182,0
TR-0031,training,10,reading,B,0.2877,0
TR-0031,training,11,reading,L,0.25,0
TR-0031,training,12,query,K,,0
TR-0032,training,0,reading,F,0.25,1
TR-0032,training,1,reading,I,0.5854,1
TR-0032,training,2,reading,D,0.5517,1
TR-0032,training,3,reading,E,0.7796,1
TR-0032,training,4,reading,G,1.5083,1
TR-0032,training,5,reading,J,0.25,1
TR-0032,training,6,reading,A,-1.1785,1
TR-0032,training,7,reading,L,1.773,1
TR-0032,training,8,reading,B,1.6451,1
TR-0032,training,9,reading,K,-0.7881,1
TR-0032,training,10,reading,H,0.25,1
TR-0032,training,11,reading,C,-0.25,1
TR-0032,training,12,query,B,,1
TR-0033,training,0,reading,E,-1.0927,1
TR-0033,training,1,reading,J,-0.55,1
TR-0033,training,2,reading,F,-0.9283,1
TR-0033,training,3,reading,A,0.25,1
TR-0033,training,4,reading,I,0.25,1
TR-0033,training,5,reading,B,-0.4028,1
TR-0033,training,6,reading,C,1.5761,1
TR-0033,training,7,reading,H,1.2203,1
TR-0033,training,8,reading,G,0.6633,1
TR-0033,training,9,reading,K,-0.3935,1
TR-0033,training,10,reading,L,0.2669,1
TR-0033,training,11,reading,D,-1.1426,1
TR-0033,training,12,query,L,,1
TR-0034,training,0,reading,I,-0.7415,0
TR-0034,training,1,reading,A,1.8135,0
TR-0034,training,2,reading,J,-0.8137,0
TR-0034,training,3,reading,G,0.7964,0
TR-0034,training,4,reading,B,-0.3439,0
TR-0034,training,5,reading,K,0.25,0
TR-0034,training,6,reading,C,0.5687,0
TR-0034,training,7,reading,L,0.9778,0
TR-0034,training,8,reading,D,2.5877,0
TR-0034,training,9,reading,F,0.599,0
TR-0034,training,10,reading,E,-0.5082,0
TR-0034,training,11,reading,H,0.7393,0
TR-0034,training,12,query,I,,0
TR-0035,training,0,reading,K,-1.0526,0
TR-0035,training,1,reading,I,-0.5643,0
TR-0035,training,2,reading,F,-0.8346,0
TR-0035,training,3,reading,J,0.2507,0
TR-0035,training,4,reading,C,-0.7577,0
TR-0035,training,5,reading,G,1.4778,0
TR-0035,training,6,reading,E,-0.4089,0
TR-0035,training,7,reading,L,0.5317,0
TR-0035,training,8,reading,A,-1.2461,0
TR-0035,training,9,reading,B,-0.25,0
TR-0035,training,10,reading,H,-0.4454,0
TR-0035,training,11,reading,D,-0.7671,0
TR-0035,training,12,query,C,,0
TR-0036,training,0,reading,B,1.2895,1
TR-0036,training,1,reading,A,1.6388,1
TR-0036,training,2,reading,I,0.25,1
TR-0036,training,3,reading,D,1.6847,1
TR-0036,training,4,reading,G,-0.3488,1
TR-0036,training,5,reading,F,0.7784,1
TR-0036,training,6,reading,C,-0.4231,1
TR-0036,training,7,reading,H,0.5506,1
TR-0036,training,8,reading,L,-1.8031,1
TR-0036,training,9,reading,E,-0.25,1
TR-0036,training,10,reading,J,-0.25,1
TR-0036,training,11,reading,K,-1.621,1
TR-0036,training,12,query,A,,1
TR-0037,training,0,reading,F,-1.222,1
TR-0037,training,1,reading,G,0.25,1
TR-0037,training,2,reading,A,-1.6824,1
TR-0037,training,3,reading,K,-0.25,1
TR-0037,training,4,reading,H,-0.7112,1
TR-0037,training,5,reading,C,1.9415,1
TR-0037,training,6,reading,J,-0.7664,1
TR-0037,training,7,reading,D,1.7743,1
TR-0037,training,8,reading,B,-0.6827,1
TR-0037,training,9,reading,I,-1.671,1
TR-0037,training,10,reading,L,-1.5239,1
TR-0037,training,11,reading,E,0.7276,1
TR-0037,training,12,query,D,,1
TR-0038,training,0,reading,I,0.6407,0
TR-0038,training,1,reading,B,-0.5912,0
TR-0038,training,2,reading,G,-0.5179,0
TR-0038,training,3,reading,J,0.9541,0
TR-0038,training,4,reading,C,0.25,0
TR-0038,training,5,reading,H,-0.7975,0
TR-0038,training,6,reading,D,-1.9728,0
TR-0038,training,7,reading,E,1.2464,0
TR-0038,training,8,reading,F,-1.3179,0
TR-0038,training,9,reading,K,0.5527,0
TR-0038,training,10,reading,A,0.4247,0
TR-0038,training,11,reading,L,-0.5653,0
TR-0038,training,12,query,F,,0
TR-0039,training,0,reading,K,0.25,1
TR-0039,training,1,reading,B,1.1195,1
TR-0039,training,2,reading,I,-0.7062,1
TR-0039,training,3,reading,H,-1.4541,1
TR-0039,training,4,reading,D,1.327,1
TR-0039,training,5,reading,A,-1.1897,1
TR-0039,training,6,reading,F,1.4163,1
TR-0039,training,7,reading,J,-0.25,1
TR-0039,training,8,reading,C,0.9078,1
TR-0039,training,9,reading,L,-0.3583,1
TR-0039,training,10,reading,G,0.4331,1
TR-0039,training,11,reading,E,0.25,1
TR-0039,training,12,query,E,,1
TR-0040,training,0,reading,I,2.3531,0
TR-0040,training,1,reading,L,-1.3787,0
TR-0040,training,2,reading,B,0.5406,0
TR-0040,training,3,reading,H,-0.5086,0
TR-0040,training,4,reading,A,0.8872,0
TR-0040,training,5,reading,K,-0.4482,0
TR-0040,training,6,reading,F,-0.25,0
TR-0040,training,7,reading,D,0.25,0
TR-0040,training,8,reading,G,0.25,0
TR-0040,training,9,reading,E,0.6236,0
TR-0040,training,10,reading,J,-0.25,0
TR-0040,training,11,reading,C,-1.9279,0
TR-0040,training,12,query,H,,0
TR-0041,training,0,reading,I,-1.5556,0
TR-0041,training,1,reading,C,-1.0515,0
TR-0041,training,2,reading,J,-2.2924,0
TR-0041,training,3,reading,H,-0.25,0
TR-0041,training,4,reading,L,-0.25,0
TR-0041,training,5,reading,F,1.1248,0
TR-0041,training,6,reading,G,0.2891,0
TR-0041,training,7,reading,E,1.7666,0
TR-0041,training,8,reading,K,-0.9149,0
TR-0041,training,9,reading,D,-0.25,0
TR-0041,training,10,reading,A,1.8228,0
TR-0041,training,11,reading,B,-0.25,0
TR-0041,training,12,query,B,,0
TR-0042,training,0,reading,H,0.4127,1
TR-0042,training,1,reading,B,-0.864,1
TR-0042,training,2,reading,L,0.8984,1
TR-0042,training,3,reading,F,-0.25,1
TR-0042,training,4,reading,C,-1.4774,1
TR-0042,training,5,reading,D,-0.5803,1
TR-0042,training,6,reading,I,0.25,1
TR-0042,training,7,reading,E,0.25,1
TR-0042,training,8,reading,J,-0.7378,1
TR-0042,training,9,reading,G,0.3832,1
TR-0042,training,10,reading,A,-0.4507,1
TR-0042,training,11,reading,K,1.2723,1
TR-0042,training,12,query,G,,1
TR-0043,training,0,reading,G,-0.25,0
TR-0043,training,1,reading,D,-1.2656,0
TR-0043,training,2,reading,A,2.2331,0
TR-0043,training,3,reading,C,-0.25,0
TR-0043,training,4,reading,B,0.3225,0
TR-0043,training,5,reading,E,0.7946,0
TR-0043,training,6,reading,K,-1.7524,0
TR-0043,training,7,reading,L,-0.25,0
TR-0043,training,8,reading,I,-0.3152,0
TR-0043,training,9,reading,J,0.5349,0
TR-0043,training,10,reading,H,-0.3702,0
TR-0043,training,11,reading,F,-1.1783,0
TR-0043,training,12,query,F,,0
TR-0044,training,0,reading,J,-0.8713,1
TR-0044,training,1,reading,L,2.1087,1
TR-0044,training,2,reading,A,-1.5676,1
TR-0044,training,3,reading,K,0.8287,1
TR-0044,training,4,reading,D,-0.6793,1
TR-0044,training,5,reading,I,-0.3117,1
TR-0044,training,6,reading,E,0.25,1
TR-0044,training,7,reading,H,0.2525,1
TR-0044,training,8,reading,G,-0.295,1
TR-0044,training,9,reading,B,0.3976,1
TR-0044,training,10,reading,C,0.6356,1
TR-0044,training,11,reading,F,1.0177,1
TR-0044,training,12,query,C,,1
TR-0045,training,0,reading,H,0.6721,0
TR-0045,training,1,reading,E,-0.64,0
TR-0045,training,2,reading,J,0.3766,0
TR-0045,training,3,reading,D,-1.2381,0
TR-0045,training,4,reading,F,0.8402,0
TR-0045,training,5,reading,K,-1.6172,0
TR-0045,training,6,reading,I,-1.2869,0
TR-0045,training,7,reading,L,-0.25,0
TR-0045,training,8,reading,C,1.3362,0
TR-0045,training,9,reading,B,-0.2926,0
TR-0045,training,10,reading,G,0.5542,0
TR-0045,training,11,reading,A,0.9933,0
TR-0045,training,12,query,B,,0
TR-0046,training,0,reading,K,-1.3788,0
TR-0046,training,1,reading,H,-1.4715,0
TR-0046,training,2,reading,A,-0.7076,0
TR-0046,training,3,reading,B,0.2611,0
TR-0046,training,4,reading,F,0.2722,0
TR-0046,training,5,reading,L,-0.25,0
TR-0046,training,6,reading,J,-0.446,0
TR-0046,training,7,reading,C,-0.25,0
TR-0046,training,8,reading,G,-0.25,0
TR-0046,training,9,reading,E,-0.25,0
TR-0046,training,10,reading,I,0.9282,0
TR-0046,training,11,reading,D,-0.3751,0
TR-0046,training,12,query,C,,0
TR-0047,training,0,reading,I,2.1569,0
TR-0047,training,1,reading,B,1.643,0
TR-0047,training,2,reading,C,-0.4326,0
TR-0047,training,3,reading,E,2.0633,0
TR-0047,training,4,reading,D,0.7139,0
TR-0047,training,5,reading,A,0.4587,0
TR-0047,training,6,reading,K,1.0468,0
TR-0047,training,7,reading,F,1.4593,0
TR-0047,training,8,reading,L,1.0522,0
TR-0047,training,9,reading,H,1.37,0
TR-0047,training,10,reading,J,-1.7047,0
TR-0047,training,11,reading,G,-1.0526,0
TR-0047,training,12,query,J,,0
TR-0048,training,0,reading,A,-0.3063,1
TR-0048,training,1,reading,J,1.0662,1
TR-0048,training,2,reading,C,-0.25,1
TR-0048,training,3,reading,K,0.5473,1
TR-0048,training,4,reading,E,0.2863,1
TR-0048,training,5,reading,L,-0.5852,1
TR-0048,training,6,reading,H,0.6327,1
TR-0048,training,7,reading,F,-0.25,1
TR-0048,training,8,reading,D,0.25,1
TR-0048,training,9,reading,G,-1.0403,1
TR-0048,training,10,reading,B,0.25,1
TR-0048,training,11,reading,I,1.0143,1
TR-0048,training,12,query,K,,1
TR-0049,training,0,reading,E,-2.4663,0
TR-0049,training,1,reading,B,-1.1182,0
TR-0049,training,2,reading,H,0.25,0
TR-0049,training,3,reading,C,-0.7134,0
TR-0049,training,4,reading,A,-1.1282,0
TR-0049,training,5,reading,J,-1.1999,0
TR-0049,training,6,reading,L,-0.3524,0
TR-0049,training,7,reading,G,-0.25,0
TR-0049,training,8,reading,I,-0.4731,0
TR-0049,training,9,reading,K,-0.8102,0
TR-0049,training,10,reading,F,-0.25,0
TR-0049,training,11,reading,D,0.3983,0
TR-0049,training,12,query,G,,0
TR-0050,training,0,reading,A,-0.25,0
TR-0050,training,1,reading,B,-1.4211,0
