date,part_requests
2024-07-28,111
2024-07-29,155
2024-07-30,153
2024-07-31,146
2024-08-01,136
2024-08-02,125
2024-08-03,114
2024-08-04,107
2024-08-05,157
2024-08-06,147
2024-08-07,142
2024-08-08,139
2024-08-09,140
2024-08-10,126
2024-08-11,122
2024-08-12,163
2024-08-13,152
2024-08-14,147
2024-08-15,134
2024-08-16,123
2024-08-17,106
2024-08-18,87
2024-08-19,143
2024-08-20,134
2024-08-21,140
2024-08-22,129
2024-08-23,127
2024-08-24,113
2024-08-25,105
2024-08-26,149
2024-08-27,151
2024-08-28,137
2024-08-29,138
2024-08-30,127
2024-08-31,114
2024-09-01,98
2024-09-02,148
2024-09-03,144
2024-09-04,152
2024-09-05,148
2024-09-06,138
2024-09-07,121
2024-09-08,124
2024-09-09,174
2024-09-10,166
2024-09-11,153
2024-09-12,153
2024-09-13,148
2024-09-14,135
2024-09-15,121
2024-09-16,161
2024-09-17,166
2024-09-18,164
2024-09-19,161
2024-09-20,156
2024-09-21,136
2024-09-22,128
2024-09-23,184
2024-09-24,169
2024-09-25,174
2024-09-26,173
2024-09-27,163
2024-09-28,150
2024-09-29,128
2024-09-30,177
2024-10-01,161
2024-10-02,155
2024-10-03,159
2024-10-04,152
2024-10-05,131
2024-10-06,130
2024-10-07,177
2024-10-08,170
2024-10-09,152
2024-10-10,151
2024-10-11,141
2024-10-12,120
2024-10-13,106
2024-10-14,152
2024-10-15,149
2024-10-16,141
2024-10-17,144
2024-10-18,146
2024-10-19,116
2024-10-20,115
2024-10-21,166
2024-10-22,157
2024-10-23,147
2024-10-24,145
2024-10-25,138
2024-10-26,133
2024-10-27,127
2024-10-28,165
2024-10-29,154
2024-10-30,140
2024-10-31,150
2024-11-01,141
2024-11-02,127
2024-11-03,117
2024-11-04,164
2024-11-05,153
2024-11-06,148
2024-11-07,144
2024-11-08,132
2024-11-09,125
2024-11-10,107
2024-11-11,152
2024-11-12,139
2024-11-13,136
2024-11-14,148
2024-11-15,128
2024-11-16,118
2024-11-17,110
2024-11-18,157
2024-11-19,148
2024-11-20,138
2024-11-21,131
2024-11-22,143
2024-11-23,132
2024-11-24,133
2024-11-25,186
2024-11-26,176
2024-11-27,169
2024-11-28,165
2024-11-29,163
2024-11-30,139
2024-12-01,125
2024-12-02,168
2024-12-03,158
2024-12-04,147
2024-12-05,142
2024-12-06,138
2024-12-07,112
2024-12-08,110
2024-12-09,172
2024-12-10,164
2024-12-11,153
2024-12-12,156
2024-12-13,152
2024-12-14,138
2024-12-15,125
2024-12-16,165
2024-12-17,169
2024-12-18,168
2024-12-19,163
2024-12-20,166
2024-12-21,152
2024-12-22,137
2024-12-23,181
2024-12-24,170
2024-12-25,156
2024-12-26,153
2024-12-27,165
2024-12-28,137
2024-12-29,140
2024-12-30,189
2024-12-31,173
2025-01-01,166
2025-01-02,164
2025-01-03,154
2025-01-04,137
2025-01-05,119
2025-01-06,155
2025-01-07,165
2025-01-08,158
2025-01-09,162
2025-01-10,156
2025-01-11,138
2025-01-12,130
2025-01-13,169
2025-01-14,148
2025-01-15,148
2025-01-16,156
2025-01-17,158
2025-01-18,143
2025-01-19,133
2025-01-20,179
2025-01-21,163
2025-01-22,165
2025-01-23,162
2025-01-24,155
2025-01-25,145
2025-01-26,126
2025-01-27,170
2025-01-28,163
2025-01-29,148
2025-01-30,153
2025-01-31,141
2025-02-01,117
2025-02-02,115
2025-02-03,164
2025-02-04,146
2025-02-05,145
2025-02-06,138
2025-02-07,147
2025-02-08,123
2025-02-09,125
2025-02-10,167
2025-02-11,159
2025-02-12,156
2025-02-13,156
2025-02-14,146
2025-02-15,124
2025-02-16,127
2025-02-17,163
2025-02-18,159
2025-02-19,159
2025-02-20,165
2025-02-21,150
2025-02-22,140
2025-02-23,143
2025-02-24,190
2025-02-25,169
2025-02-26,168
2025-02-27,164
2025-02-28,161
2025-03-01,133
2025-03-02,126
2025-03-03,177
2025-03-04,183
2025-03-05,174
2025-03-06,170
2025-03-07,168
2025-03-08,149
2025-03-09,138
2025-03-10,184
2025-03-11,172
2025-03-12,172
2025-03-13,155
2025-03-14,158
2025-03-15,143
2025-03-16,138
2025-03-17,181
2025-03-18,166
2025-03-19,174
2025-03-20,163
2025-03-21,153
2025-03-22,142
2025-03-23,149
2025-03-24,191
2025-03-25,175
2025-03-26,165
2025-03-27,172
2025-03-28,168
2025-03-29,146
2025-03-30,133
2025-03-31,175
2025-04-01,171
2025-04-02,160
2025-04-03,158
2025-04-04,146
2025-04-05,127
2025-04-06,123
2025-04-07,164
2025-04-08,162
2025-04-09,162
2025-04-10,154
2025-04-11,158
2025-04-12,143
2025-04-13,142
2025-04-14,186
2025-04-15,173
2025-04-16,159
2025-04-17,163
2025-04-18,164
2025-04-19,147
2025-04-20,124
2025-04-21,172
2025-04-22,168
2025-04-23,162
2025-04-24,151
2025-04-25,141
2025-04-26,140
2025-04-27,132
2025-04-28,169
2025-04-29,164
2025-04-30,165
2025-05-01,148
2025-05-02,142
2025-05-03,127
2025-05-04,120
2025-05-05,173
2025-05-06,167
2025-05-07,162
2025-05-08,154
2025-05-09,152
2025-05-10,143
2025-05-11,142
2025-05-12,180
2025-05-13,170
2025-05-14,159
2025-05-15,164
2025-05-16,158
2025-05-17,150
2025-05-18,126
2025-05-19,180
2025-05-20,172
2025-05-21,169
2025-05-22,157
2025-05-23,163
2025-05-24,148
2025-05-25,136
2025-05-26,188
2025-05-27,189
2025-05-28,180
2025-05-29,172
2025-05-30,185
2025-05-31,155
2025-06-01,141
2025-06-02,199
2025-06-03,179
2025-06-04,169
2025-06-05,180
2025-06-06,160
2025-06-07,150
2025-06-08,140
2025-06-09,192
2025-06-10,184
2025-06-11,164
2025-06-12,173
2025-06-13,168
2025-06-14,156
2025-06-15,156
2025-06-16,197
2025-06-17,185
2025-06-18,194
2025-06-19,166
2025-06-20,163
2025-06-21,149
2025-06-22,132
2025-06-23,179
2025-06-24,177
2025-06-25,174
2025-06-26,175
2025-06-27,172
2025-06-28,145
2025-06-29,138
2025-06-30,184
2025-07-01,176
2025-07-02,163
2025-07-03,153
2025-07-04,155
2025-07-05,136
2025-07-06,124
2025-07-07,162
2025-07-08,159
2025-07-09,164
2025-07-10,158
2025-07-11,157
2025-07-12,142
2025-07-13,143
