forecast_start,target_date,horizon_day,actual_requests,direct_xgboost,recursive_xgboost,seasonal_naive
2025-05-05,2025-05-07,3,162,156.7239,156.8611,165.0000
2025-05-05,2025-05-08,4,154,153.2316,152.3641,148.0000
2025-05-05,2025-05-09,5,152,149.2766,142.9851,142.0000
2025-05-05,2025-05-10,6,143,133.2539,130.4172,127.0000
2025-05-05,2025-05-11,7,142,128.9369,123.9474,120.0000
2025-05-05,2025-05-12,8,180,174.2978,167.6432,169.0000
2025-05-05,2025-05-13,9,170,162.9857,161.9905,164.0000
2025-05-05,2025-05-14,10,159,160.8291,157.8482,165.0000
2025-05-05,2025-05-15,11,164,155.7156,152.6846,148.0000
2025-05-05,2025-05-16,12,158,150.9362,143.3183,142.0000
2025-05-05,2025-05-17,13,150,135.8705,129.2729,127.0000
2025-05-05,2025-05-18,14,126,129.5014,122.0201,120.0000
2025-05-19,2025-05-19,1,180,173.7789,173.7789,180.0000
2025-05-19,2025-05-20,2,172,168.0853,166.4556,170.0000
2025-05-19,2025-05-21,3,169,161.0087,163.6784,159.0000
2025-05-19,2025-05-22,4,157,155.4719,160.9690,164.0000
2025-05-19,2025-05-23,5,163,151.7863,158.0951,158.0000
2025-05-19,2025-05-24,6,148,135.2841,143.0714,150.0000
2025-05-19,2025-05-25,7,136,130.2419,134.9864,126.0000
2025-05-19,2025-05-26,8,188,173.2452,180.9103,180.0000
2025-05-19,2025-05-27,9,189,164.6819,170.4651,170.0000
2025-05-19,2025-05-28,10,180,159.4731,162.4408,159.0000
2025-05-19,2025-05-29,11,172,154.5748,160.1996,164.0000
2025-05-19,2025-05-30,12,185,153.7834,158.0946,158.0000
2025-05-19,2025-05-31,13,155,139.9694,145.3828,150.0000
2025-05-19,2025-06-01,14,141,130.7379,133.6777,126.0000
2025-06-02,2025-06-02,1,199,185.4421,185.4421,188.0000
2025-06-02,2025-06-03,2,179,177.7694,176.4022,189.0000
2025-06-02,2025-06-04,3,169,172.2463,173.2362,180.0000
2025-06-02,2025-06-05,4,180,169.5749,171.9829,172.0000
2025-06-02,2025-06-06,5,160,168.4801,168.1524,185.0000
2025-06-02,2025-06-07,6,150,146.2902,160.3921,155.0000
2025-06-02,2025-06-08,7,140,139.3760,149.8262,141.0000
2025-06-02,2025-06-09,8,192,174.7835,184.5553,188.0000
2025-06-02,2025-06-10,9,184,176.1569,175.3569,189.0000
2025-06-02,2025-06-11,10,164,171.1211,172.8843,180.0000
2025-06-02,2025-06-12,11,173,166.6557,170.7820,172.0000
2025-06-02,2025-06-13,12,168,165.4482,168.2689,185.0000
2025-06-02,2025-06-14,13,156,151.0443,162.1411,155.0000
2025-06-02,2025-06-15,14,156,144.8700,149.9223,141.0000
2025-06-16,2025-06-16,1,197,189.2846,189.2846,192.0000
2025-06-16,2025-06-17,2,185,178.1981,179.9458,184.0000
2025-06-16,2025-06-18,3,194,170.3649,171.3961,164.0000
2025-06-16,2025-06-19,4,166,172.6685,170.3696,173.0000
2025-06-16,2025-06-20,5,163,170.0293,169.8554,168.0000
2025-06-16,2025-06-21,6,149,150.4820,160.3384,156.0000
2025-06-16,2025-06-22,7,132,164.2190,154.8232,156.0000
2025-06-16,2025-06-23,8,179,184.9727,189.2846,192.0000
2025-06-16,2025-06-24,9,177,179.2808,179.7809,184.0000
2025-06-16,2025-06-25,10,174,169.4374,171.2862,164.0000
2025-06-16,2025-06-26,11,175,172.8166,169.4739,173.0000
2025-06-16,2025-06-27,12,172,170.4590,168.8919,168.0000
2025-06-16,2025-06-28,13,145,151.5898,159.8023,156.0000
2025-06-16,2025-06-29,14,138,158.1223,154.7020,156.0000
2025-06-30,2025-06-30,1,184,187.8359,187.8359,179.0000
2025-06-30,2025-07-01,2,176,179.3978,180.1844,177.0000
2025-06-30,2025-07-02,3,163,175.6931,172.9502,174.0000
2025-06-30,2025-07-03,4,153,171.7300,169.1836,175.0000
2025-06-30,2025-07-04,5,155,167.5418,164.8974,172.0000
2025-06-30,2025-07-05,6,136,151.3318,149.4445,145.0000
2025-06-30,2025-07-06,7,124,142.9854,136.3806,138.0000
2025-06-30,2025-07-07,8,162,184.4647,187.5881,179.0000
2025-06-30,2025-07-08,9,159,178.0643,180.6249,177.0000
2025-06-30,2025-07-09,10,164,174.4186,172.4257,174.0000
2025-06-30,2025-07-10,11,158,168.3676,171.5399,175.0000
2025-06-30,2025-07-11,12,157,164.7486,167.7651,172.0000
2025-06-30,2025-07-12,13,142,146.0303,148.1326,145.0000
2025-06-30,2025-07-13,14,143,135.9518,136.0407,138.0000
