date,cumulative_energy_kwh
2025-05-15,19444.52
2025-05-16,19498.76
2025-05-17,19554.1
2025-05-18,19608.16
2025-05-19,19665.27
2025-05-20,19721.58
2025-05-21,19775.06
2025-05-22,19829.1
2025-05-23,19885.56
2025-05-24,19942.56
2025-05-25,19992.57
2025-05-26,20042.31
2025-05-27,20090.41
2025-05-28,20145.39
2025-05-29,20200.35
2025-05-30,20252.46
2025-05-31,20304.25
2025-06-01,20354.62
2025-06-02,20408.36
2025-06-03,20456.82
2025-06-04,20509.86
2025-06-05,20559.2
2025-06-06,20608.57
2025-06-07,20659.13
2025-06-08,20706.64
2025-06-09,20753.59
2025-06-10,20806.19
2025-06-11,20863.52
2025-06-12,20917.9
2025-06-13,20968.19
2025-06-14,21015.98
2025-06-15,21067.82
2025-06-16,21118.73
2025-06-17,21173.87
2025-06-18,21224.42
2025-06-19,21274.1
2025-06-20,21325.34
2025-06-21,21375.38
2025-06-22,21426.77
2025-06-23,21481.91
2025-06-24,21527.56
2025-06-25,21574.05
2025-06-26,21621.42
2025-06-27,21673.63
2025-06-28,21725.58
2025-06-29,21779.78
2025-06-30,21831.62
2025-07-01,21881.97
2025-07-02,21932.95
2025-07-03,21981.95
2025-07-04,22028.45
2025-07-05,22074.88
2025-07-06,22121.34
2025-07-07,22174.12
2025-07-08,22225.09
2025-07-09,22280.96
2025-07-10,22334.97
2025-07-11,22391.04
2025-07-12,22448.18
2025-07-13,22500.47
2025-07-14,22550.41
2025-07-15,22596.06
2025-07-16,22644.75
2025-07-17,22695.92
2025-07-18,22751.88
2025-07-19,22808.73
2025-07-20,22860.48
2025-07-21,22907.48
2025-07-22,22955.87
2025-07-23,23006.4
2025-07-24,23058.44
2025-07-25,23111.07
2025-07-26,23162.63
2025-07-27,23211.15
2025-07-28,23264.96
2025-07-29,23322.2
2025-07-30,23375.69
2025-07-31,23424.58
2025-08-01,23473.61
2025-08-02,23527.21
2025-08-03,23583.69
2025-08-04,23643.81
2025-08-05,23696.9
2025-08-06,23746.15
2025-08-07,23791.31
2025-08-08,23835.56
2025-08-09,23880.59
2025-08-10,23932.27
2025-08-11,23981.24
2025-08-12,24029.72
2025-08-13,24075.55
2025-08-14,24126.09
2025-08-15,24178.65
2025-08-16,24229.79
2025-08-17,24284.56
2025-08-18,24333.82
2025-08-19,24383.9
2025-08-20,24431.92
2025-08-21,24488.28
2025-08-22,24547.19
2025-08-23,24600.47
2025-08-24,24658.4
2025-08-25,24719.33
2025-08-26,24771.79
2025-08-27,24820.18
2025-08-28,24872.34
