snapshot_id,zone,soil_moisture_pct,air_temp_c,humidity_pct,light_hours,hours_since_watering
GH-0105,west,35.4,31.1,38.1,6.5,7
GH-0106,north,44.3,34.0,60.9,7.3,8
GH-0107,south,15.8,27.3,67.1,10.7,70
GH-0108,north,34.9,28.8,62.9,7.5,24
GH-0109,south,38.2,30.3,58.8,9.3,32
GH-0110,south,17.4,32.1,47.1,7.9,49
GH-0111,north,20.2,25.8,54.4,7.2,52
GH-0112,north,30.9,26.1,72.0,6.0,35
GH-0113,west,20.5,33.1,55.0,8.3,49
GH-0114,north,25.1,21.6,56.6,7.1,59
GH-0115,east,36.3,29.0,37.5,11.7,24
GH-0116,west,35.0,26.6,63.8,9.8,26
GH-0117,west,9.6,31.8,63.6,8.0,64
GH-0118,west,38.3,28.3,66.3,7.1,39
GH-0119,south,36.2,27.3,43.0,10.8,22
GH-0120,west,21.6,28.4,40.4,9.0,57
GH-0121,east,34.9,23.7,62.9,9.6,17
GH-0122,south,33.4,30.7,54.0,10.2,20
GH-0123,east,24.6,30.8,72.4,7.4,54
GH-0124,east,42.9,22.3,57.6,7.8,17
GH-0125,south,12.1,27.5,60.0,8.7,71
GH-0126,west,23.6,25.2,52.7,8.5,45
GH-0127,north,35.3,27.9,66.1,9.8,5
GH-0128,west,18.8,28.8,51.6,5.5,39
GH-0129,north,30.8,23.6,73.2,5.4,40
GH-0130,north,27.3,26.2,46.9,10.7,59
GH-0131,north,35.2,26.1,73.5,8.1,54
GH-0132,west,22.8,33.4,44.9,10.9,44
GH-0133,south,26.6,26.3,67.0,10.5,60
GH-0134,south,21.4,28.3,55.9,9.0,50
GH-0135,west,34.9,29.1,50.2,6.3,53
GH-0136,east,35.9,23.3,60.4,9.3,8
GH-0137,south,22.5,28.2,53.8,9.6,66
GH-0138,west,29.5,31.9,45.5,9.8,13
GH-0139,south,38.5,34.7,63.0,10.4,21
GH-0140,east,42.3,26.7,62.4,7.5,16
GH-0141,north,31.3,28.2,74.3,7.1,37
GH-0142,south,39.2,26.6,51.8,8.0,18
GH-0143,west,35.0,30.3,57.4,6.0,25
GH-0144,east,28.1,21.0,53.3,4.9,15
GH-0145,north,31.7,26.7,46.6,10.7,62
GH-0146,west,26.5,28.2,53.9,7.4,22
GH-0147,north,46.2,21.6,59.7,9.1,8
GH-0148,east,37.0,27.4,56.0,8.0,4
GH-0149,north,39.9,26.1,57.9,7.8,31
GH-0150,south,16.5,29.8,39.8,6.5,54
GH-0151,south,37.4,30.1,62.1,8.7,17
GH-0152,north,32.4,28.0,51.9,11.4,23
GH-0153,north,29.7,28.2,65.6,7.3,46
GH-0154,west,39.9,27.6,62.5,8.9,3
GH-0155,west,11.4,26.8,38.8,11.2,67
GH-0156,west,30.0,25.6,31.5,7.3,17
GH-0157,east,30.3,29.2,53.2,7.3,11
GH-0158,north,33.9,22.9,77.4,11.6,64
GH-0159,north,17.8,21.4,54.0,8.2,69
GH-0160,west,24.2,27.3,55.0,5.9,40
GH-0161,north,38.5,23.6,68.7,6.3,51
GH-0162,south,23.6,27.0,59.1,7.0,71
GH-0163,west,27.7,27.7,70.9,11.3,72
GH-0164,east,28.1,24.5,51.9,9.5,64
GH-0165,north,43.1,21.7,55.4,6.8,31
GH-0166,west,30.4,24.2,47.6,8.6,45
GH-0167,north,26.7,32.2,67.5,10.2,25
GH-0168,south,51.4,33.8,59.8,9.8,7
GH-0169,west,45.5,20.3,72.2,10.2,18
GH-0170,south,22.8,28.5,66.6,7.7,61
GH-0171,south,33.2,28.6,35.2,8.8,27
GH-0172,north,26.2,27.6,34.2,8.8,31
GH-0173,north,31.6,21.1,64.1,7.1,64
GH-0174,north,21.3,26.3,49.3,8.8,72
GH-0175,west,41.3,28.0,56.5,10.0,7
GH-0176,south,29.5,28.3,55.7,7.4,38
GH-0177,east,16.1,22.4,46.0,9.8,66
GH-0178,west,17.2,23.6,62.9,6.6,67
GH-0179,east,21.3,24.6,63.6,8.9,64
GH-0180,west,30.1,28.4,52.7,12.4,47
GH-0181,west,53.8,21.7,59.2,5.5,3
GH-0182,east,22.7,28.0,62.6,4.4,48
GH-0183,north,47.3,21.4,74.5,7.9,14
GH-0184,north,41.8,18.4,62.7,11.3,20
GH-0185,south,32.1,31.5,64.7,7.7,25
GH-0186,west,18.9,24.8,66.8,11.1,53
GH-0187,north,30.9,26.1,64.8,7.9,57
GH-0188,south,23.1,28.3,58.2,10.1,39
GH-0189,south,38.9,30.9,66.5,11.5,3
GH-0190,north,38.3,22.7,60.4,5.8,43
GH-0191,south,23.5,26.2,61.9,11.6,54
GH-0192,south,19.1,24.5,74.5,10.6,65
GH-0193,east,15.0,26.5,64.1,9.4,68
GH-0194,west,32.9,26.2,48.9,9.2,47
GH-0195,west,38.0,29.6,68.3,10.1,31
GH-0196,north,40.7,22.7,62.4,10.9,55
GH-0197,north,41.7,25.6,44.7,8.2,23
GH-0198,west,18.0,34.0,79.4,5.1,59
GH-0199,west,34.0,28.9,32.5,9.0,7
GH-0200,east,27.5,27.6,35.1,8.7,66
GH-0201,east,41.0,25.4,81.0,6.3,16
GH-0202,north,29.5,29.9,61.6,7.2,26
GH-0203,south,38.7,26.5,51.3,5.9,9
GH-0204,south,41.3,25.6,78.4,8.6,62
GH-0205,east,24.9,32.6,47.7,8.3,65
GH-0206,south,31.3,26.1,49.6,8.9,32
GH-0207,north,42.3,24.7,67.8,5.9,11
GH-0208,west,41.2,20.8,59.8,5.9,22
GH-0209,north,49.0,22.7,72.9,10.9,21
GH-0210,west,26.8,29.8,63.1,9.0,26
GH-0211,east,23.2,26.7,40.8,6.6,70
GH-0212,east,27.5,29.1,48.8,9.5,72
GH-0213,east,44.2,26.5,67.1,8.1,13
GH-0214,east,39.6,26.7,73.4,8.3,29
GH-0215,north,29.1,28.8,68.4,10.1,44
GH-0216,north,17.6,28.2,52.4,9.3,66
GH-0217,east,18.9,23.3,59.7,5.3,68
GH-0218,north,48.3,23.6,70.3,6.7,5
GH-0219,east,24.3,29.0,74.7,9.3,72
GH-0220,north,19.5,23.8,48.5,8.0,55
GH-0221,north,35.7,28.0,42.6,7.3,45
GH-0222,north,44.3,26.2,54.3,6.5,25
GH-0223,south,22.9,27.0,49.1,7.4,41
GH-0224,south,21.7,31.3,67.0,9.6,70
GH-0225,north,28.9,20.3,54.0,7.9,42
GH-0226,west,37.4,27.0,48.8,9.3,12
GH-0227,west,33.3,28.7,63.6,9.1,45
GH-0228,west,27.7,31.9,49.6,9.3,45
GH-0229,west,40.0,27.2,72.5,8.4,5
GH-0230,east,27.1,31.2,53.5,7.2,49
GH-0231,west,31.4,25.9,52.4,8.7,38
GH-0232,north,50.1,19.3,50.6,7.3,5
GH-0233,north,26.9,21.9,72.0,5.7,60
GH-0234,east,26.8,29.7,55.4,8.6,59
GH-0235,north,18.6,26.3,45.0,6.2,52
GH-0236,north,26.8,25.7,55.7,5.8,35
GH-0237,south,23.9,28.5,53.9,8.0,40
GH-0238,west,20.5,26.9,49.6,6.2,36
GH-0239,east,38.7,21.1,72.8,6.4,25
GH-0240,west,41.6,28.6,58.9,7.4,15
