job_id,item_count,active_packers,distinct_skus,fragile_pct,walking_distance_m,rush_order,packing_minutes
PACK-0127,185,6,7,31.2,81.6,0,44.98
PACK-0128,89,3,8,12.7,454.7,1,62.75
PACK-0129,414,1,6,29.4,291.4,0,213.92
PACK-0130,430,8,12,43.5,139.1,0,68.4
PACK-0131,119,1,11,19.3,204.6,0,92.07
PACK-0132,121,2,4,36.0,170.0,0,52.73
PACK-0133,160,5,4,15.9,208.8,0,47.21
PACK-0134,127,6,9,27.1,153.1,0,43.43
PACK-0135,330,5,1,16.4,159.5,0,49.05
PACK-0136,475,4,5,33.2,217.4,0,84.18
PACK-0137,461,2,9,30.7,413.3,0,138.61
PACK-0138,106,2,4,15.5,178.7,0,55.55
PACK-0139,48,7,7,13.7,137.4,0,30.64
PACK-0140,31,7,7,33.7,357.1,0,49.69
PACK-0141,289,2,10,17.1,275.5,0,97.19
PACK-0142,123,6,7,32.8,68.3,0,52.44
PACK-0143,405,3,8,5.8,174.4,0,89.36
PACK-0144,380,1,2,39.5,224.1,1,192.74
PACK-0145,41,2,7,43.1,257.5,1,66.82
PACK-0146,347,3,9,17.2,171.7,0,83.74
PACK-0147,445,7,3,12.9,64.3,0,44.8
PACK-0148,96,4,38,24.0,314.2,1,73.83
PACK-0149,400,4,13,16.9,156.0,0,91.99
PACK-0150,113,7,3,9.7,164.0,0,39.58
PACK-0151,359,3,6,15.9,232.0,0,83.0
PACK-0152,169,8,1,29.4,112.5,0,35.2
PACK-0153,59,8,2,18.2,138.3,0,29.78
PACK-0154,379,4,21,18.2,525.6,0,90.08
PACK-0155,212,1,10,18.1,234.7,0,125.94
PACK-0156,146,8,2,18.2,243.3,0,41.61
PACK-0157,357,2,6,28.0,118.7,0,113.43
PACK-0158,417,8,2,26.5,194.0,0,51.3
PACK-0159,323,6,4,13.9,401.4,0,54.48
PACK-0160,73,3,3,38.4,490.5,0,44.52
PACK-0161,230,5,5,33.9,267.3,0,51.08
PACK-0162,218,8,2,12.9,139.0,0,31.33
PACK-0163,421,6,7,25.4,250.1,0,70.36
PACK-0164,419,2,5,7.6,309.5,0,124.96
PACK-0165,80,5,2,25.5,396.8,0,33.95
PACK-0166,285,6,4,18.0,394.4,0,58.0
PACK-0167,420,2,12,15.7,111.0,1,138.09
PACK-0168,399,4,18,45.4,347.2,0,85.3
PACK-0169,77,8,9,17.6,143.8,1,45.24
PACK-0170,126,6,22,3.4,163.6,0,51.98
PACK-0171,78,4,18,3.7,186.7,0,44.13
PACK-0172,77,1,9,12.9,220.3,0,73.24
PACK-0173,421,2,5,13.6,377.4,0,117.99
PACK-0174,465,3,4,7.7,146.1,0,93.04
PACK-0175,221,1,4,8.2,102.7,0,118.89
PACK-0176,299,5,7,12.2,386.1,0,54.78
PACK-0177,246,7,14,23.9,255.6,0,57.13
PACK-0178,118,5,1,17.0,240.4,1,39.24
PACK-0179,475,7,3,3.7,275.0,0,44.21
PACK-0180,490,5,1,36.0,130.7,0,60.77
PACK-0181,193,8,8,37.2,307.3,0,44.5
PACK-0182,228,8,6,8.0,77.7,0,48.29
PACK-0183,266,8,8,5.3,183.3,0,48.51
PACK-0184,473,3,4,20.2,69.5,0,97.1
PACK-0185,414,6,12,18.6,182.9,0,66.46
PACK-0186,343,7,2,12.7,176.5,0,53.08
PACK-0187,168,6,1,8.0,191.4,0,37.9
PACK-0188,387,5,6,13.7,163.4,0,61.23
PACK-0189,325,3,10,23.3,233.9,0,87.01
PACK-0190,444,5,26,36.3,139.0,0,85.43
PACK-0191,126,4,5,14.2,51.3,1,50.18
PACK-0192,192,5,17,25.1,272.3,0,66.61
PACK-0193,461,2,7,6.1,325.1,0,140.48
PACK-0194,373,2,3,27.4,394.1,0,109.19
PACK-0195,143,3,27,21.7,215.2,0,71.06
PACK-0196,463,3,15,14.7,170.4,0,109.66
PACK-0197,133,3,11,30.1,311.3,0,60.86
PACK-0198,150,4,7,19.9,251.7,1,57.22
PACK-0199,89,2,4,2.4,219.5,1,60.51
PACK-0200,350,5,9,23.4,120.5,0,73.9
PACK-0201,260,5,34,2.7,148.6,0,66.63
PACK-0202,81,6,6,13.7,355.5,0,32.92
PACK-0203,145,1,26,24.6,110.6,0,105.24
PACK-0204,58,1,11,26.5,471.2,0,65.42
PACK-0205,379,3,6,7.1,75.2,0,84.85
PACK-0206,88,6,8,18.4,211.7,0,39.48
PACK-0207,208,7,16,35.4,399.4,0,69.49
PACK-0208,134,6,3,33.9,259.6,0,39.15
PACK-0209,272,7,6,33.0,240.4,0,44.4
PACK-0210,111,3,15,33.6,40.6,0,61.51
PACK-0211,354,4,10,4.6,241.6,0,75.26
PACK-0212,341,8,7,11.7,502.5,0,59.55
PACK-0213,379,3,17,18.4,215.8,0,97.8
PACK-0214,67,1,3,19.7,74.8,0,55.24
PACK-0215,354,2,6,18.9,147.7,0,94.46
PACK-0216,384,8,50,4.9,224.5,0,73.22
PACK-0217,212,7,3,27.8,374.7,0,49.21
PACK-0218,109,6,17,13.0,147.5,0,48.93
PACK-0219,49,4,6,3.1,296.0,1,43.76
PACK-0220,70,2,1,26.2,212.6,0,38.83
PACK-0221,281,2,1,17.1,189.8,0,80.31
PACK-0222,430,6,24,16.0,137.6,0,75.02
PACK-0223,228,6,15,10.9,125.1,0,57.1
PACK-0224,408,1,22,12.7,201.1,0,216.17
PACK-0225,292,4,3,27.1,639.0,0,66.41
PACK-0226,421,5,3,13.7,202.7,0,62.03
PACK-0227,438,7,7,25.3,107.4,0,65.13
PACK-0228,294,1,14,28.2,275.3,0,166.11
PACK-0229,387,2,5,5.7,63.3,0,110.9
PACK-0230,345,8,4,29.8,148.7,0,48.92
PACK-0231,162,6,6,19.8,186.4,1,39.54
PACK-0232,415,5,14,30.5,399.1,0,80.9
PACK-0233,498,8,49,35.3,172.1,0,75.72
PACK-0234,92,8,11,31.4,565.5,0,48.36
PACK-0235,122,1,3,21.7,182.6,1,89.44
PACK-0236,154,7,9,14.4,205.2,1,55.3
PACK-0237,495,8,20,41.2,254.0,1,75.07
PACK-0238,472,1,14,6.5,342.5,0,239.62
PACK-0239,422,1,8,17.3,73.5,0,209.05
PACK-0240,196,2,12,29.7,125.5,0,74.11
PACK-0241,354,7,3,12.6,197.7,0,47.63
PACK-0242,251,1,5,26.6,226.1,0,142.98
PACK-0243,182,2,2,35.6,326.9,0,64.91
PACK-0244,444,3,3,22.5,494.8,1,104.25
PACK-0245,256,5,4,10.0,128.4,0,50.21
PACK-0246,219,7,5,27.7,343.3,0,50.89
PACK-0247,382,3,9,17.6,89.2,1,95.79
PACK-0248,308,7,5,23.8,164.0,0,45.17
PACK-0249,231,6,14,42.8,364.6,1,68.0
PACK-0250,36,6,28,26.1,115.9,0,52.94
PACK-0251,480,2,3,28.5,62.9,0,123.25
PACK-0252,44,5,1,11.4,68.4,0,19.49
PACK-0253,193,1,10,35.0,244.2,0,123.66
PACK-0254,109,1,4,34.7,389.2,0,80.2
PACK-0255,246,1,2,18.4,649.9,0,144.24
PACK-0256,181,8,18,60.0,174.0,0,55.97
PACK-0257,383,6,6,3.3,116.5,0,58.32
PACK-0258,500,2,12,15.0,197.9,0,139.17
PACK-0259,219,3,6,4.3,175.8,0,65.91
PACK-0260,220,4,2,14.0,26.5,0,45.32
PACK-0261,485,7,13,29.9,66.7,0,64.44
PACK-0262,176,6,1,56.8,223.2,0,40.5
PACK-0263,248,8,8,6.4,103.6,0,50.92
PACK-0264,89,8,1,7.5,288.0,0,26.32
PACK-0265,422,3,10,9.2,443.0,0,92.9
PACK-0266,363,1,4,43.7,224.7,0,188.69
PACK-0267,89,7,3,21.0,224.9,0,40.3
PACK-0268,313,2,12,15.4,134.6,0,107.78
PACK-0269,406,4,3,29.3,267.8,0,78.88
PACK-0270,90,4,5,8.1,167.0,0,33.01
PACK-0271,350,3,2,36.6,50.0,0,72.39
PACK-0272,186,2,22,15.3,316.7,1,96.73
PACK-0273,182,8,2,11.1,330.5,0,37.15
PACK-0274,302,4,4,29.8,197.2,0,65.18
PACK-0275,282,3,8,29.0,286.9,0,75.85
PACK-0276,211,5,55,16.8,101.7,0,78.91
PACK-0277,376,4,3,16.9,419.3,0,77.45
PACK-0278,242,1,8,23.5,137.0,1,136.82
PACK-0279,254,2,4,14.3,155.2,0,87.24
PACK-0280,205,4,3,25.6,137.5,0,52.6
PACK-0281,384,1,17,10.2,380.0,1,208.72
PACK-0282,206,5,7,26.3,67.7,0,53.25
PACK-0283,485,3,5,31.5,147.8,0,99.9
PACK-0284,81,3,15,20.8,251.7,0,50.77
PACK-0285,484,8,2,11.9,173.2,0,41.97
PACK-0286,490,2,9,34.7,312.7,0,140.13
PACK-0287,461,7,25,20.9,384.8,0,77.09
PACK-0288,313,3,6,29.6,133.5,0,85.23
PACK-0289,260,4,10,8.0,188.0,1,73.95
PACK-0290,459,7,3,10.7,153.0,0,56.51
PACK-0291,306,7,2,7.1,516.2,0,51.27
PACK-0292,402,8,6,5.5,303.5,1,60.2
PACK-0293,388,3,21,10.3,531.4,0,108.25
PACK-0294,49,3,2,38.1,217.7,0,27.47
PACK-0295,301,5,3,44.5,46.7,1,59.28
PACK-0296,247,1,15,12.7,181.2,1,155.99
PACK-0297,271,4,12,6.0,110.2,1,69.62
PACK-0298,333,4,2,8.8,142.8,0,60.5
PACK-0299,65,4,7,30.3,408.3,0,44.69
PACK-0300,491,2,9,9.8,289.7,1,148.69
PACK-0301,255,7,32,19.3,543.6,0,72.04
PACK-0302,55,1,11,17.0,802.2,0,64.88
PACK-0303,355,2,17,18.7,66.3,0,120.12
PACK-0304,466,1,12,28.0,262.0,0,237.67
PACK-0305,178,6,19,16.9,375.0,0,63.1
PACK-0306,250,2,5,7.1,188.6,0,80.64
PACK-0307,267,2,3,22.7,399.4,1,96.88
PACK-0308,416,6,22,9.3,435.2,1,82.05
PACK-0309,308,4,6,15.8,387.5,0,69.22
PACK-0310,153,7,4,23.3,610.4,1,54.5
PACK-0311,148,3,3,7.7,241.2,0,41.8
PACK-0312,50,1,14,30.1,379.1,1,77.98
PACK-0313,258,4,4,58.9,71.9,0,59.35
PACK-0314,207,7,6,23.7,115.5,0,42.82
PACK-0315,407,3,21,35.5,299.0,0,109.59
PACK-0316,378,1,6,32.7,214.7,0,190.9
PACK-0317,155,1,13,14.1,285.1,1,121.88
PACK-0318,321,6,7,8.7,272.1,0,57.8
PACK-0319,382,6,3,35.8,114.0,0,49.99
PACK-0320,302,6,10,43.7,303.6,0,62.99
PACK-0321,141,3,12,33.2,164.4,0,53.69
PACK-0322,99,5,6,14.9,68.9,0,39.14
PACK-0323,216,1,10,23.4,82.6,0,121.51
PACK-0324,166,7,2,18.5,231.9,1,38.95
PACK-0325,449,7,17,15.8,72.9,0,71.46
PACK-0326,397,1,19,30.4,334.5,0,213.99
PACK-0327,90,1,2,7.1,67.1,0,62.55
PACK-0328,334,5,22,8.5,142.5,1,73.8
PACK-0329,478,7,18,17.1,100.8,0,65.9
PACK-0330,108,4,4,43.2,267.3,0,36.57
PACK-0331,269,6,6,18.0,198.4,1,64.55
PACK-0332,259,4,6,2.3,449.0,0,63.64
PACK-0333,159,1,3,14.2,132.9,0,100.71
PACK-0334,157,7,7,16.9,494.9,0,46.27
PACK-0335,207,7,2,26.3,229.0,1,43.16
PACK-0336,393,8,2,6.1,342.4,1,57.81
PACK-0337,348,7,5,67.2,185.5,0,55.27
PACK-0338,229,1,2,47.1,123.6,0,126.88
PACK-0339,422,8,6,29.0,53.9,0,62.62
PACK-0340,113,4,3,30.4,133.5,0,38.74
PACK-0341,424,3,5,32.7,303.8,0,95.62
PACK-0342,226,8,51,34.1,160.6,1,76.43
PACK-0343,497,6,7,12.0,290.5,0,68.16
PACK-0344,479,3,42,42.4,73.3,0,119.45
PACK-0345,469,5,16,55.2,56.8,0,79.85
PACK-0346,148,5,2,16.3,112.0,1,32.25
PACK-0347,488,5,18,19.3,133.9,0,83.51
PACK-0348,100,4,10,43.1,151.2,0,46.1
PACK-0349,435,7,5,4.4,243.0,0,51.47
PACK-0350,283,8,7,21.5,150.9,0,56.5
PACK-0351,449,4,2,32.1,139.7,0,67.8
PACK-0352,34,5,1,23.9,183.1,0,22.81
PACK-0353,493,1,17,26.8,281.3,0,247.31
PACK-0354,239,7,2,6.3,276.5,0,34.17
PACK-0355,171,6,4,29.6,150.9,0,43.31
PACK-0356,423,3,10,28.1,73.3,0,92.9
PACK-0357,206,4,10,32.0,166.2,0,56.72
PACK-0358,314,2,5,29.5,242.0,0,99.86
PACK-0359,282,2,7,8.8,218.8,1,95.74
PACK-0360,132,1,11,18.3,438.3,0,97.32
PACK-0361,41,1,7,18.0,264.4,0,56.14
PACK-0362,384,2,18,34.7,242.8,0,123.6
PACK-0363,168,6,12,11.3,101.2,0,58.28
PACK-0364,144,3,7,42.3,187.3,0,55.05
PACK-0365,490,4,2,29.2,112.4,0,72.25
PACK-0366,169,8,13,8.2,211.6,0,38.9
PACK-0367,494,1,7,29.1,26.8,0,248.59
PACK-0368,285,4,5,28.3,464.5,1,73.31
PACK-0369,263,7,3,23.2,112.8,0,44.17
PACK-0370,105,3,2,18.2,373.2,0,38.5
PACK-0371,50,2,8,30.9,101.4,0,43.44
PACK-0372,209,7,41,6.3,118.0,0,61.78
PACK-0373,271,6,6,24.6,49.8,0,53.22
PACK-0374,63,2,3,26.2,300.6,0,42.57
PACK-0375,264,4,4,48.0,254.4,1,69.44
PACK-0376,388,1,7,18.2,244.2,0,201.47
PACK-0377,344,5,6,2.1,183.9,0,61.03
PACK-0378,480,7,7,32.4,89.6,0,63.53
PACK-0379,206,7,5,10.0,104.9,0,46.99
PACK-0380,84,5,5,19.8,69.3,0,33.42
PACK-0381,236,5,2,5.3,230.1,0,46.72
PACK-0382,138,4,5,5.1,269.2,0,50.49
PACK-0383,345,1,16,15.6,419.3,0,185.92
PACK-0384,324,4,3,24.7,482.6,0,63.1
PACK-0385,289,4,3,28.6,122.1,0,59.93
PACK-0386,230,7,38,30.1,244.3,0,58.05
PACK-0387,159,4,4,24.5,506.7,1,58.84
PACK-0388,441,3,2,29.3,304.9,0,82.26
PACK-0389,398,8,4,9.5,86.9,1,60.1
PACK-0390,223,1,15,31.1,200.8,1,147.63
PACK-0391,68,5,10,16.3,79.0,0,44.91
PACK-0392,262,3,6,18.3,115.6,0,63.97
PACK-0393,100,3,7,24.6,55.0,1,58.42
PACK-0394,223,3,4,32.8,157.1,0,61.98
PACK-0395,408,4,3,27.7,112.3,0,63.39
PACK-0396,103,8,17,33.6,197.5,0,41.24
PACK-0397,166,5,4,44.1,146.2,0,42.62
PACK-0398,423,7,15,48.9,206.1,0,78.84
PACK-0399,439,3,26,8.8,148.6,0,100.8
PACK-0400,335,8,9,12.7,147.4,0,46.1
PACK-0401,61,6,4,8.1,89.6,1,40.06
PACK-0402,497,6,1,17.4,169.8,0,51.58
PACK-0403,458,6,4,4.2,116.7,0,64.15
PACK-0404,209,5,10,36.6,207.1,0,59.33
PACK-0405,220,1,3,19.7,53.5,0,121.97
PACK-0406,473,5,24,31.2,139.2,1,88.85
PACK-0407,431,7,23,5.9,169.2,1,76.15
PACK-0408,116,8,4,16.0,189.3,0,30.71
PACK-0409,293,4,6,15.5,193.4,0,73.31
PACK-0410,190,8,33,24.0,216.0,0,59.43
PACK-0411,399,1,3,39.1,249.5,0,199.62
PACK-0412,261,2,4,17.4,517.3,0,81.36
PACK-0413,325,1,6,18.5,165.9,0,165.88
PACK-0414,99,7,13,61.3,150.8,0,48.74
PACK-0415,50,5,1,15.4,272.8,0,16.88
PACK-0416,316,3,45,6.6,193.4,0,96.7
PACK-0417,306,6,4,49.7,254.4,0,48.1
PACK-0418,296,8,7,12.9,172.5,0,42.49
PACK-0419,456,4,7,61.6,170.0,0,91.53
PACK-0420,323,5,17,23.3,322.5,0,83.58
PACK-0421,97,7,4,20.0,316.0,1,45.0
PACK-0422,86,4,39,8.0,249.8,0,60.8
PACK-0423,298,2,6,28.0,264.4,0,95.91
PACK-0424,206,8,6,19.0,174.1,0,42.66
PACK-0425,154,6,2,19.2,475.7,1,44.82
PACK-0426,357,6,2,27.9,486.4,1,67.29
PACK-0427,144,1,9,25.6,59.7,0,93.05
PACK-0428,241,4,5,9.8,212.5,0,61.85
PACK-0429,289,1,6,24.5,131.8,0,151.98
PACK-0430,324,2,3,3.7,120.2,1,102.96
PACK-0431,31,2,18,27.1,165.5,0,55.84
PACK-0432,113,5,8,15.3,68.7,1,54.04
PACK-0433,179,3,10,51.2,310.8,0,75.73
PACK-0434,484,1,8,10.3,200.7,0,231.36
PACK-0435,263,1,33,4.4,100.4,0,151.51
PACK-0436,156,6,20,40.8,323.0,1,64.12
PACK-0437,306,5,40,41.1,54.9,0,75.3
PACK-0438,119,7,7,2.5,346.6,0,37.17
PACK-0439,461,3,2,16.8,107.1,0,91.96
PACK-0440,134,5,16,2.0,180.3,0,47.91
PACK-0441,300,2,9,11.8,211.5,0,96.3
PACK-0442,199,1,10,13.3,132.8,1,125.81
PACK-0443,36,7,13,22.1,58.6,1,49.61
PACK-0444,473,1,28,14.4,245.8,0,244.43
PACK-0445,434,8,5,21.6,248.8,0,55.81
PACK-0446,243,1,5,24.9,295.0,0,136.54
PACK-0447,351,8,58,23.5,154.1,0,76.49
PACK-0448,270,7,2,21.5,345.7,0,39.56
PACK-0449,175,8,7,59.4,187.8,0,56.26
PACK-0450,399,7,6,6.8,223.9,0,49.98
PACK-0451,182,5,11,30.5,57.6,0,47.85
PACK-0452,476,1,2,24.3,255.6,0,221.37
PACK-0453,113,1,2,46.8,223.8,0,79.54
PACK-0454,152,2,10,24.0,254.5,0,67.94
PACK-0455,349,1,35,43.7,174.0,1,197.3
PACK-0456,175,1,8,16.2,239.2,0,108.68
PACK-0457,495,7,21,21.7,56.9,0,67.7
PACK-0458,488,6,5,6.6,103.8,1,67.94
PACK-0459,84,7,23,11.9,250.7,0,50.07
PACK-0460,145,7,5,25.0,75.0,0,46.07
PACK-0461,154,2,12,28.2,213.5,0,82.56
PACK-0462,340,1,8,13.5,192.3,0,165.64
PACK-0463,305,6,6,19.4,226.3,0,55.77
PACK-0464,342,8,2,24.5,176.9,0,45.07
PACK-0465,301,1,16,14.4,190.5,1,174.2
PACK-0466,93,1,8,50.5,535.9,0,75.3
PACK-0467,390,2,22,32.0,133.3,0,130.95
PACK-0468,264,4,5,8.8,154.3,0,55.8
PACK-0469,432,8,4,30.9,154.9,0,58.48
PACK-0470,356,7,8,19.1,301.3,0,57.29
PACK-0471,425,3,16,7.0,219.3,0,95.73
PACK-0472,128,5,5,11.8,520.5,0,42.93
PACK-0473,140,6,11,13.6,429.5,1,64.96
PACK-0474,264,3,7,19.9,146.9,0,71.59
PACK-0475,145,5,3,4.1,150.4,0,39.87
PACK-0476,444,8,11,6.9,63.9,0,59.2
PACK-0477,326,8,12,15.1,157.0,0,54.67
PACK-0478,200,7,8,28.1,326.2,0,47.16
PACK-0479,113,3,6,7.4,304.1,0,61.22
PACK-0480,133,1,13,8.9,165.0,0,97.83
PACK-0481,201,6,11,28.1,345.4,0,51.85
PACK-0482,276,1,26,25.6,111.3,0,163.36
PACK-0483,304,3,12,27.3,143.6,1,85.81
PACK-0484,56,2,69,25.1,187.3,0,66.91
PACK-0485,140,5,1,19.3,373.8,0,37.93
PACK-0486,421,2,5,13.8,285.6,0,126.36
PACK-0487,211,1,12,20.8,323.3,1,137.13
PACK-0488,216,8,9,27.1,287.0,0,49.63
PACK-0489,175,3,5,25.2,380.6,0,67.09
PACK-0490,43,1,5,21.5,202.5,0,51.92
PACK-0491,457,1,6,32.6,267.5,1,231.15
PACK-0492,188,8,3,25.5,137.1,0,28.82
PACK-0493,366,1,2,33.3,281.4,0,177.24
PACK-0494,334,1,2,24.9,324.6,0,169.9
PACK-0495,106,1,22,14.3,157.6,0,84.49
PACK-0496,161,2,41,24.2,146.7,0,88.01
PACK-0497,46,5,2,40.3,262.6,0,25.13
PACK-0498,42,4,6,4.2,521.6,0,39.58
PACK-0499,227,1,2,51.7,481.4,0,128.12
PACK-0500,292,7,37,10.9,297.9,0,79.32
PACK-0501,240,4,14,21.7,124.8,0,71.13
PACK-0502,73,8,4,18.3,162.1,1,44.02
PACK-0503,97,3,7,18.1,442.5,0,49.0
PACK-0504,344,1,7,23.3,401.9,1,192.86
PACK-0505,335,6,1,27.8,139.8,1,46.43
PACK-0506,403,4,11,19.3,106.1,0,82.36
PACK-0507,184,5,18,23.6,385.4,0,69.8
PACK-0508,300,2,1,18.8,166.1,0,72.1
PACK-0509,246,1,10,15.2,570.6,1,158.2
PACK-0510,265,2,10,36.4,225.0,0,98.97
PACK-0511,403,1,19,23.5,146.3,0,212.22
PACK-0512,349,5,3,14.8,376.7,0,56.97
PACK-0513,443,7,4,18.8,79.0,0,57.36
PACK-0514,466,1,3,21.3,116.4,1,238.87
PACK-0515,448,6,6,6.4,275.6,1,74.61
