station_hour_id,hour,hour_sin,hour_cos,temperature_c,rain_mm,weekend,nearby_event,bikes_available,empty_docks,next_hour_rentals,empty_next_hour
BS-0029,13,-0.25882,-0.96593,13.3,2.5,1,1,14,26,18,0
BS-0030,2,0.5,0.86603,11.3,0.0,0,0,10,30,2,0
BS-0031,9,0.70711,-0.70711,16.5,4.0,1,1,25,15,16,0
BS-0032,4,0.86603,0.5,14.2,0.0,1,0,14,26,9,0
BS-0033,17,-0.96593,-0.25882,20.8,0.0,1,0,16,24,25,0
BS-0034,18,-1.0,-0.0,18.7,0.0,0,0,16,24,26,0
BS-0035,14,-0.5,-0.86603,18.5,0.0,0,0,16,24,26,1
BS-0036,7,0.96593,-0.25882,24.2,1.3,0,0,13,27,17,0
BS-0037,7,0.96593,-0.25882,17.6,1.5,0,0,20,20,17,0
BS-0038,19,-0.96593,0.25882,27.9,0.0,0,0,32,8,23,0
BS-0039,10,0.5,-0.86603,19.0,4.2,0,0,19,21,9,0
BS-0040,2,0.5,0.86603,24.0,0.0,0,0,17,23,10,0
BS-0041,4,0.86603,0.5,17.4,0.0,0,0,9,31,12,0
BS-0042,22,-0.5,0.86603,12.6,0.0,0,0,18,22,6,0
BS-0043,19,-0.96593,0.25882,8.2,0.5,0,0,33,7,22,0
BS-0044,0,0.0,1.0,17.4,0.0,0,0,11,29,3,0
BS-0045,16,-0.86603,-0.5,26.3,0.0,1,0,9,31,28,0
BS-0046,3,0.70711,0.70711,23.5,0.0,0,0,1,39,10,1
BS-0047,19,-0.96593,0.25882,-2.1,1.7,0,0,17,23,16,0
BS-0048,1,0.25882,0.96593,26.9,0.0,0,0,11,29,8,0
BS-0049,1,0.25882,0.96593,27.7,0.0,0,1,22,18,21,0
BS-0050,16,-0.86603,-0.5,11.4,0.0,0,0,1,39,32,1
BS-0051,3,0.70711,0.70711,13.6,0.0,1,0,1,39,8,1
BS-0052,21,-0.70711,0.70711,2.7,5.2,0,0,22,18,0,0
BS-0053,5,0.96593,0.25882,26.5,4.6,1,0,15,25,0,0
BS-0054,1,0.25882,0.96593,21.6,0.0,0,0,16,24,6,0
BS-0055,8,0.86603,-0.5,21.0,1.0,0,0,18,22,29,1
BS-0056,9,0.70711,-0.70711,22.4,0.0,0,0,15,25,22,0
BS-0057,12,0.0,-1.0,6.9,0.1,1,0,20,20,17,0
BS-0058,20,-0.86603,0.5,15.0,0.0,1,0,21,19,13,0
BS-0059,22,-0.5,0.86603,5.7,0.0,1,0,6,34,5,0
BS-0060,1,0.25882,0.96593,5.2,0.0,1,0,26,14,3,0
BS-0061,1,0.25882,0.96593,2.0,0.0,0,0,15,25,4,0
BS-0062,8,0.86603,-0.5,4.0,0.0,0,0,10,30,23,0
BS-0063,15,-0.70711,-0.70711,11.5,0.0,0,0,13,27,21,0
BS-0064,9,0.70711,-0.70711,5.8,0.0,0,1,24,16,30,0
BS-0065,5,0.96593,0.25882,5.6,4.0,1,1,17,23,3,0
BS-0066,9,0.70711,-0.70711,3.7,0.3,0,0,17,23,15,0
BS-0067,5,0.96593,0.25882,15.5,0.0,0,0,16,24,8,0
BS-0068,22,-0.5,0.86603,5.6,2.1,1,0,22,18,0,0
BS-0069,15,-0.70711,-0.70711,8.1,0.0,0,0,23,17,20,0
BS-0070,19,-0.96593,0.25882,18.7,0.0,0,0,23,17,26,0
BS-0071,4,0.86603,0.5,31.9,0.0,0,0,22,18,15,0
BS-0072,23,-0.25882,0.96593,25.3,0.0,0,0,12,28,13,0
BS-0073,5,0.96593,0.25882,5.0,0.0,0,0,24,16,4,0
BS-0074,1,0.25882,0.96593,14.4,0.0,0,0,27,13,6,0
BS-0075,10,0.5,-0.86603,4.9,0.0,0,1,22,18,45,0
BS-0076,10,0.5,-0.86603,15.4,3.8,0,0,7,33,8,0
BS-0077,14,-0.5,-0.86603,12.7,0.0,0,0,12,28,19,1
BS-0078,17,-0.96593,-0.25882,3.7,0.0,1,0,17,23,25,0
BS-0079,1,0.25882,0.96593,22.1,0.0,1,0,15,25,11,0
BS-0080,16,-0.86603,-0.5,22.0,0.0,0,0,22,18,27,0
BS-0081,1,0.25882,0.96593,29.5,2.7,0,0,15,25,3,0
BS-0082,22,-0.5,0.86603,17.0,0.0,0,0,26,14,7,0
BS-0083,5,0.96593,0.25882,11.1,1.2,0,0,24,16,6,0
BS-0084,13,-0.25882,-0.96593,11.8,1.6,0,0,8,32,10,0
BS-0085,5,0.96593,0.25882,21.2,4.3,1,0,9,31,1,0
BS-0086,3,0.70711,0.70711,8.5,0.0,1,0,26,14,8,0
BS-0087,13,-0.25882,-0.96593,29.1,0.0,1,0,18,22,27,0
BS-0088,8,0.86603,-0.5,13.8,0.0,0,0,21,19,16,0
BS-0089,16,-0.86603,-0.5,13.3,0.0,0,0,15,25,25,1
BS-0090,4,0.86603,0.5,24.0,0.0,0,0,16,24,14,0
BS-0091,11,0.25882,-0.96593,22.2,0.0,0,0,1,39,21,1
BS-0092,1,0.25882,0.96593,9.5,0.0,0,0,10,30,5,0
BS-0093,20,-0.86603,0.5,21.3,1.4,0,0,22,18,21,0
BS-0094,22,-0.5,0.86603,19.3,0.0,1,0,24,16,10,0
BS-0095,6,1.0,0.0,16.1,0.0,1,0,9,31,10,0
BS-0096,12,0.0,-1.0,2.4,0.0,0,0,30,10,19,0
BS-0097,21,-0.70711,0.70711,8.8,0.0,0,1,26,14,13,0
BS-0098,6,1.0,0.0,16.8,0.0,0,0,16,24,21,0
BS-0099,17,-0.96593,-0.25882,9.4,0.0,0,0,19,21,27,0
BS-0100,15,-0.70711,-0.70711,20.1,0.0,0,0,6,34,33,1
BS-0101,9,0.70711,-0.70711,12.1,0.0,0,1,27,13,33,0
BS-0102,10,0.5,-0.86603,14.9,0.0,0,0,21,19,23,0
BS-0103,5,0.96593,0.25882,8.7,0.0,1,0,9,31,7,0
BS-0104,23,-0.25882,0.96593,14.6,7.4,1,0,29,11,2,0
BS-0105,3,0.70711,0.70711,14.4,0.0,1,0,32,8,6,0
BS-0106,4,0.86603,0.5,9.8,0.0,0,0,16,24,5,0
BS-0107,0,0.0,1.0,26.2,0.0,1,0,4,36,15,1
BS-0108,7,0.96593,-0.25882,-1.1,0.0,1,0,14,26,11,0
BS-0109,19,-0.96593,0.25882,-0.4,0.0,0,0,10,30,22,1
BS-0110,5,0.96593,0.25882,-0.0,0.0,0,0,17,23,4,0
BS-0111,8,0.86603,-0.5,9.6,0.0,0,0,14,26,23,0
BS-0112,15,-0.70711,-0.70711,25.4,0.0,1,0,10,30,23,1
BS-0113,11,0.25882,-0.96593,5.0,0.0,0,0,13,27,17,0
BS-0114,2,0.5,0.86603,3.5,0.2,1,0,21,19,4,0
BS-0115,13,-0.25882,-0.96593,23.1,0.0,0,0,19,21,16,0
BS-0116,19,-0.96593,0.25882,14.0,0.0,1,0,14,26,14,0
BS-0117,16,-0.86603,-0.5,6.2,0.0,0,0,16,24,33,0
BS-0118,14,-0.5,-0.86603,3.1,5.7,0,0,19,21,0,0
BS-0119,5,0.96593,0.25882,4.6,0.0,0,0,21,19,9,0
BS-0120,10,0.5,-0.86603,10.4,1.5,0,0,10,30,15,0
BS-0121,6,1.0,0.0,19.5,0.0,1,0,17,23,11,0
BS-0122,10,0.5,-0.86603,25.5,0.0,0,1,20,20,42,1
BS-0123,0,0.0,1.0,7.5,0.0,1,0,21,19,6,0
BS-0124,0,0.0,1.0,27.2,0.0,0,1,21,19,15,0
BS-0125,8,0.86603,-0.5,14.1,0.0,0,0,9,31,28,0
BS-0126,12,0.0,-1.0,4.3,0.0,0,0,6,34,10,0
BS-0127,8,0.86603,-0.5,17.8,0.0,1,0,14,26,19,0
BS-0128,9,0.70711,-0.70711,18.7,0.0,0,0,26,14,24,0
BS-0129,11,0.25882,-0.96593,6.7,0.0,1,0,11,29,11,0
BS-0130,21,-0.70711,0.70711,3.1,0.0,1,0,24,16,5,0
BS-0131,22,-0.5,0.86603,10.3,0.0,0,0,17,23,7,0
BS-0132,11,0.25882,-0.96593,24.7,0.0,0,0,15,25,29,1
BS-0133,1,0.25882,0.96593,9.7,2.2,0,0,10,30,1,0
BS-0134,5,0.96593,0.25882,3.9,0.0,0,0,4,36,3,0
BS-0135,7,0.96593,-0.25882,28.4,0.0,0,0,17,23,28,0
BS-0136,22,-0.5,0.86603,22.8,0.0,0,0,10,30,10,0
BS-0137,7,0.96593,-0.25882,14.7,0.0,1,1,14,26,30,1
BS-0138,4,0.86603,0.5,8.4,2.6,0,1,24,16,4,0
BS-0139,8,0.86603,-0.5,11.1,1.1,0,0,13,27,13,0
BS-0140,18,-1.0,-0.0,4.5,0.0,1,1,2,38,27,0
BS-0141,18,-1.0,-0.0,20.3,0.0,0,0,1,39,37,1
BS-0142,14,-0.5,-0.86603,1.4,3.3,1,0,3,37,16,1
BS-0143,23,-0.25882,0.96593,20.2,0.0,0,0,8,32,13,1
BS-0144,20,-0.86603,0.5,13.3,0.0,1,0,21,19,11,0
BS-0145,19,-0.96593,0.25882,7.8,0.0,1,0,13,27,5,0
BS-0146,15,-0.70711,-0.70711,4.3,0.0,1,0,27,13,26,0
BS-0147,17,-0.96593,-0.25882,20.7,0.0,0,0,21,19,36,0
BS-0148,20,-0.86603,0.5,21.9,0.0,0,0,13,27,13,0
BS-0149,12,0.0,-1.0,10.4,0.0,1,0,7,33,17,0
BS-0150,9,0.70711,-0.70711,11.7,0.0,1,0,4,36,18,0
BS-0151,12,0.0,-1.0,27.4,0.0,0,0,19,21,15,0
BS-0152,9,0.70711,-0.70711,6.2,1.7,0,1,9,31,27,1
BS-0153,18,-1.0,-0.0,11.8,0.9,0,0,24,16,24,0
BS-0154,13,-0.25882,-0.96593,6.0,0.0,0,0,17,23,11,0
BS-0155,1,0.25882,0.96593,28.7,0.0,0,0,15,25,8,0
BS-0156,22,-0.5,0.86603,17.2,0.0,0,0,17,23,8,0
BS-0157,23,-0.25882,0.96593,21.7,0.0,0,0,30,10,5,0
BS-0158,0,0.0,1.0,20.7,0.0,0,0,17,23,6,0
BS-0159,15,-0.70711,-0.70711,18.7,0.0,0,0,12,28,27,1
BS-0160,13,-0.25882,-0.96593,20.7,2.0,0,0,12,28,12,0
BS-0161,5,0.96593,0.25882,24.6,0.0,0,0,24,16,13,0
BS-0162,23,-0.25882,0.96593,25.0,0.0,0,1,26,14,23,0
BS-0163,23,-0.25882,0.96593,2.9,0.0,0,0,6,34,4,0
BS-0164,14,-0.5,-0.86603,13.4,0.0,1,0,15,25,25,0
BS-0165,22,-0.5,0.86603,25.4,0.0,1,0,17,23,19,0
BS-0166,20,-0.86603,0.5,-0.5,0.5,1,0,18,22,9,0
BS-0167,13,-0.25882,-0.96593,25.1,0.0,1,0,14,26,19,1
BS-0168,5,0.96593,0.25882,18.4,0.0,0,0,30,10,10,0
BS-0169,14,-0.5,-0.86603,26.9,0.0,0,0,14,26,13,0
BS-0170,16,-0.86603,-0.5,16.2,2.1,1,0,26,14,20,0
BS-0171,9,0.70711,-0.70711,21.3,0.0,1,0,1,39,30,1
BS-0172,22,-0.5,0.86603,18.3,0.0,0,0,11,29,8,0
BS-0173,6,1.0,0.0,21.1,0.0,0,0,14,26,9,0
BS-0174,11,0.25882,-0.96593,23.4,0.0,0,0,7,33,23,1
BS-0175,20,-0.86603,0.5,19.3,4.3,0,0,17,23,5,0
BS-0176,20,-0.86603,0.5,12.7,0.0,0,0,21,19,15,0
BS-0177,18,-1.0,-0.0,8.1,0.0,0,0,10,30,10,0
BS-0178,14,-0.5,-0.86603,1.7,8.2,0,0,34,6,1,0
BS-0179,8,0.86603,-0.5,-4.8,0.0,0,0,23,17,23,0
BS-0180,3,0.70711,0.70711,15.8,0.7,0,0,15,25,3,0
BS-0181,15,-0.70711,-0.70711,5.4,0.0,1,0,17,23,24,0
BS-0182,5,0.96593,0.25882,20.3,0.0,0,0,25,15,8,0
BS-0183,8,0.86603,-0.5,11.0,2.7,0,0,14,26,14,0
BS-0184,8,0.86603,-0.5,9.8,0.9,0,0,16,24,17,0
BS-0185,13,-0.25882,-0.96593,1.4,0.0,0,0,9,31,18,1
BS-0186,7,0.96593,-0.25882,0.0,3.0,0,0,23,17,15,0
BS-0187,18,-1.0,-0.0,12.3,0.0,0,0,12,28,30,0
BS-0188,5,0.96593,0.25882,10.3,0.0,0,0,22,18,15,0
BS-0189,12,0.0,-1.0,24.7,1.0,0,1,9,31,15,0
BS-0190,12,0.0,-1.0,1.1,0.0,0,0,11,29,9,0
BS-0191,7,0.96593,-0.25882,-0.5,1.4,0,0,18,22,19,0
BS-0192,0,0.0,1.0,4.7,0.0,1,0,21,19,6,0
BS-0193,5,0.96593,0.25882,28.7,2.5,0,0,26,14,12,0
BS-0194,23,-0.25882,0.96593,9.2,0.5,0,0,18,22,3,0
BS-0195,9,0.70711,-0.70711,11.1,0.0,1,0,1,39,15,0
BS-0196,22,-0.5,0.86603,14.0,0.0,0,0,32,8,3,0
BS-0197,1,0.25882,0.96593,2.7,4.9,1,0,13,27,1,0
BS-0198,22,-0.5,0.86603,-0.7,5.6,0,0,9,31,0,0
BS-0199,21,-0.70711,0.70711,20.7,2.3,0,0,6,34,8,0
BS-0200,19,-0.96593,0.25882,3.7,0.0,0,0,18,22,19,0
BS-0201,11,0.25882,-0.96593,16.3,1.4,0,0,25,15,11,0
BS-0202,7,0.96593,-0.25882,10.7,0.0,0,0,4,36,36,1
BS-0203,21,-0.70711,0.70711,18.6,0.0,0,1,17,23,21,0
BS-0204,6,1.0,0.0,24.7,0.0,0,0,11,29,23,0
BS-0205,23,-0.25882,0.96593,12.8,0.0,0,0,11,29,2,0
BS-0206,6,1.0,0.0,15.5,0.0,0,0,16,24,15,0
BS-0207,19,-0.96593,0.25882,21.3,0.0,0,0,16,24,22,0
BS-0208,6,1.0,0.0,28.7,0.0,0,0,12,28,19,0
BS-0209,7,0.96593,-0.25882,0.4,0.0,0,0,16,24,20,0
BS-0210,0,0.0,1.0,1.4,0.0,0,0,22,18,2,0
BS-0211,7,0.96593,-0.25882,25.0,1.7,1,0,22,18,13,0
BS-0212,20,-0.86603,0.5,22.9,0.0,0,0,14,26,10,0
BS-0213,10,0.5,-0.86603,5.0,1.5,1,0,18,22,9,0
BS-0214,19,-0.96593,0.25882,9.0,0.0,0,0,10,30,22,0
BS-0215,16,-0.86603,-0.5,21.5,0.0,1,0,12,28,26,1
BS-0216,7,0.96593,-0.25882,15.2,1.9,1,0,15,25,6,0
BS-0217,0,0.0,1.0,12.1,1.3,0,0,32,8,5,0
BS-0218,2,0.5,0.86603,21.1,0.0,0,0,16,24,9,0
BS-0219,12,0.0,-1.0,2.5,0.0,0,0,4,36,13,1
BS-0220,6,1.0,0.0,7.2,1.0,0,1,28,12,23,0
BS-0221,7,0.96593,-0.25882,15.9,0.0,0,0,1,39,24,1
BS-0222,20,-0.86603,0.5,0.3,0.0,0,0,12,28,7,0
BS-0223,3,0.70711,0.70711,7.9,3.1,0,0,8,32,2,0
BS-0224,12,0.0,-1.0,20.4,2.2,1,0,7,33,16,0
BS-0225,19,-0.96593,0.25882,1.2,0.0,0,0,20,20,17,0
BS-0226,3,0.70711,0.70711,13.3,0.0,0,0,26,14,6,0
BS-0227,16,-0.86603,-0.5,28.6,0.0,0,0,11,29,29,0
BS-0228,19,-0.96593,0.25882,21.1,0.0,0,0,25,15,24,0
BS-0229,15,-0.70711,-0.70711,9.9,0.0,0,0,16,24,22,1
BS-0230,21,-0.70711,0.70711,1.4,2.4,0,0,30,10,2,0
BS-0231,2,0.5,0.86603,23.2,0.0,1,0,5,35,9,0
BS-0232,5,0.96593,0.25882,0.7,5.6,0,0,19,21,2,0
BS-0233,20,-0.86603,0.5,11.6,0.2,0,0,16,24,12,0
BS-0234,3,0.70711,0.70711,25.9,0.0,0,0,16,24,8,0
BS-0235,2,0.5,0.86603,16.9,0.0,0,0,15,25,9,1
BS-0236,3,0.70711,0.70711,5.3,0.0,0,0,14,26,3,0
BS-0237,23,-0.25882,0.96593,17.8,0.0,0,0,27,13,10,0
BS-0238,8,0.86603,-0.5,9.5,0.0,0,0,34,6,27,0
BS-0239,19,-0.96593,0.25882,8.3,0.0,0,0,13,27,21,0
BS-0240,8,0.86603,-0.5,6.6,0.0,1,0,32,8,11,0
BS-0241,6,1.0,0.0,31.4,2.1,0,0,8,32,11,0
BS-0242,5,0.96593,0.25882,22.7,0.0,1,0,26,14,10,0
BS-0243,15,-0.70711,-0.70711,4.1,0.0,0,0,15,25,28,0
BS-0244,6,1.0,0.0,22.7,0.0,0,0,27,13,21,0
BS-0245,15,-0.70711,-0.70711,6.9,1.2,0,0,17,23,14,0
BS-0246,5,0.96593,0.25882,16.0,2.9,0,0,9,31,3,0
BS-0247,8,0.86603,-0.5,21.0,0.0,0,0,3,37,26,1
BS-0248,8,0.86603,-0.5,10.9,0.0,0,0,6,34,24,1
BS-0249,20,-0.86603,0.5,21.3,0.0,0,0,3,37,15,0
BS-0250,2,0.5,0.86603,7.1,0.0,0,0,21,19,6,0
BS-0251,22,-0.5,0.86603,23.2,0.0,1,0,14,26,12,0
BS-0252,5,0.96593,0.25882,28.6,0.0,0,0,17,23,9,0
BS-0253,11,0.25882,-0.96593,18.8,0.0,0,0,16,24,13,0
BS-0254,18,-1.0,-0.0,7.6,0.0,0,0,17,23,29,0
BS-0255,15,-0.70711,-0.70711,15.5,0.0,1,1,9,31,40,1
BS-0256,3,0.70711,0.70711,14.9,0.0,0,0,27,13,4,0
BS-0257,1,0.25882,0.96593,9.5,0.0,0,1,16,24,8,0
BS-0258,15,-0.70711,-0.70711,2.3,0.0,1,0,17,23,21,0
BS-0259,13,-0.25882,-0.96593,25.5,0.0,0,0,18,22,17,0
BS-0260,2,0.5,0.86603,20.2,0.0,0,0,31,9,7,0
BS-0261,14,-0.5,-0.86603,2.6,0.0,1,0,4,36,16,0
BS-0262,23,-0.25882,0.96593,2.3,2.6,0,0,20,20,1,0
BS-0263,1,0.25882,0.96593,13.6,0.0,0,0,32,8,7,0
BS-0264,10,0.5,-0.86603,24.9,4.3,0,0,11,29,7,0
BS-0265,8,0.86603,-0.5,26.6,0.0,0,0,2,38,21,1
BS-0266,12,0.0,-1.0,11.6,0.0,1,0,5,35,16,0
BS-0267,4,0.86603,0.5,23.3,0.0,1,1,17,23,14,0
BS-0268,22,-0.5,0.86603,27.3,0.0,1,0,18,22,13,0
BS-0269,20,-0.86603,0.5,14.3,0.0,1,1,6,34,17,0
BS-0270,9,0.70711,-0.70711,31.1,1.1,1,0,4,36,19,0
BS-0271,8,0.86603,-0.5,14.1,0.0,0,0,5,35,27,1
BS-0272,1,0.25882,0.96593,24.5,0.0,0,0,27,13,10,0
BS-0273,20,-0.86603,0.5,8.5,0.0,0,0,16,24,15,0
BS-0274,7,0.96593,-0.25882,19.8,4.6,1,1,14,26,9,0
BS-0275,21,-0.70711,0.70711,26.3,0.0,1,0,21,19,14,0
BS-0276,15,-0.70711,-0.70711,8.9,0.0,1,0,1,39,16,1
BS-0277,22,-0.5,0.86603,6.9,0.0,0,0,30,10,5,0
BS-0278,18,-1.0,-0.0,27.0,0.0,0,0,25,15,24,0
BS-0279,8,0.86603,-0.5,4.4,0.0,0,0,15,25,25,0
BS-0280,19,-0.96593,0.25882,16.3,0.0,0,0,8,32,23,1
BS-0281,12,0.0,-1.0,19.7,4.0,0,0,18,22,10,0
BS-0282,8,0.86603,-0.5,21.7,0.0,0,0,19,21,26,0
BS-0283,17,-0.96593,-0.25882,14.7,4.8,1,0,7,33,8,0
BS-0284,22,-0.5,0.86603,31.4,4.3,0,0,17,23,0,0
BS-0285,1,0.25882,0.96593,23.7,2.8,0,0,22,18,4,0
BS-0286,23,-0.25882,0.96593,16.2,4.5,0,0,22,18,1,0
BS-0287,6,1.0,0.0,8.0,0.0,0,1,18,22,19,0
BS-0288,19,-0.96593,0.25882,0.5,1.0,1,0,27,13,13,0
BS-0289,17,-0.96593,-0.25882,12.4,0.0,1,0,18,22,17,0
BS-0290,16,-0.86603,-0.5,7.0,0.3,0,0,11,29,27,0
BS-0291,19,-0.96593,0.25882,4.8,1.7,0,0,1,39,14,0
BS-0292,13,-0.25882,-0.96593,3.8,0.0,0,1,26,14,12,0
BS-0293,11,0.25882,-0.96593,8.1,0.0,0,0,22,18,10,0
BS-0294,23,-0.25882,0.96593,26.9,0.0,0,1,19,21,15,0
BS-0295,9,0.70711,-0.70711,26.9,0.0,0,0,23,17,18,0
BS-0296,17,-0.96593,-0.25882,6.5,0.0,1,0,32,8,19,0
BS-0297,23,-0.25882,0.96593,-0.2,2.5,0,1,20,20,7,0
BS-0298,5,0.96593,0.25882,18.8,0.0,0,1,8,32,18,1
BS-0299,19,-0.96593,0.25882,23.7,0.0,0,0,19,21,24,0
BS-0300,3,0.70711,0.70711,28.6,0.0,0,0,10,30,9,0
BS-0301,16,-0.86603,-0.5,12.1,1.6,1,0,16,24,17,0
BS-0302,9,0.70711,-0.70711,25.7,0.0,0,0,8,32,21,0
BS-0303,23,-0.25882,0.96593,22.5,0.0,0,0,25,15,9,0
BS-0304,6,1.0,0.0,14.1,0.0,0,0,14,26,18,1
BS-0305,19,-0.96593,0.25882,0.5,0.0,0,0,13,27,20,0
BS-0306,16,-0.86603,-0.5,9.1,2.5,0,0,16,24,19,0
BS-0307,18,-1.0,-0.0,2.2,1.0,0,0,16,24,25,0
BS-0308,21,-0.70711,0.70711,19.0,0.0,0,0,18,22,17,0
BS-0309,15,-0.70711,-0.70711,18.6,0.0,0,1,22,18,32,0
BS-0310,21,-0.70711,0.70711,17.3,0.0,0,0,27,13,13,0
BS-0311,9,0.70711,-0.70711,26.2,0.0,1,1,15,25,21,0
BS-0312,13,-0.25882,-0.96593,3.5,0.0,0,0,25,15,11,0
BS-0313,14,-0.5,-0.86603,25.0,1.5,0,0,11,29,16,1
BS-0314,16,-0.86603,-0.5,11.4,9.2,0,1,27,13,8,0
BS-0315,18,-1.0,-0.0,13.3,0.0,1,0,22,18,21,0
BS-0316,18,-1.0,-0.0,9.6,0.7,1,0,6,34,15,0
BS-0317,5,0.96593,0.25882,25.5,0.0,0,0,17,23,8,0
BS-0318,20,-0.86603,0.5,9.3,0.0,0,0,18,22,13,0
BS-0319,4,0.86603,0.5,28.2,0.9,1,0,19,21,5,0
BS-0320,22,-0.5,0.86603,6.6,0.0,1,0,16,24,3,0
BS-0321,17,-0.96593,-0.25882,8.1,0.4,0,0,11,29,25,0
BS-0322,15,-0.70711,-0.70711,21.8,0.0,1,0,2,38,30,1
BS-0323,6,1.0,0.0,16.1,0.0,0,1,19,21,23,0
BS-0324,20,-0.86603,0.5,4.1,0.0,1,0,20,20,8,0
BS-0325,9,0.70711,-0.70711,17.0,2.4,0,0,22,18,22,0
BS-0326,7,0.96593,-0.25882,25.3,1.5,1,0,14,26,20,0
BS-0327,19,-0.96593,0.25882,14.8,0.0,0,0,21,19,32,0
BS-0328,11,0.25882,-0.96593,6.3,0.0,0,0,19,21,8,0
BS-0329,2,0.5,0.86603,21.5,3.5,0,0,6,34,2,0
BS-0330,22,-0.5,0.86603,11.9,0.0,1,1,8,32,16,1
BS-0331,23,-0.25882,0.96593,16.2,0.0,0,0,11,29,4,0
BS-0332,9,0.70711,-0.70711,0.3,0.0,0,0,7,33,20,0
BS-0333,2,0.5,0.86603,15.0,0.0,1,0,4,36,9,0
BS-0334,2,0.5,0.86603,12.9,0.0,1,0,5,35,5,0
BS-0335,6,1.0,0.0,0.7,3.5,0,0,29,11,3,0
BS-0336,4,0.86603,0.5,21.9,0.0,0,0,34,6,12,0
BS-0337,15,-0.70711,-0.70711,24.1,0.0,0,0,7,33,26,1
BS-0338,14,-0.5,-0.86603,10.1,0.0,0,1,12,28,18,0
BS-0339,0,0.0,1.0,19.4,0.0,0,0,3,37,6,0
BS-0340,22,-0.5,0.86603,20.0,1.1,0,0,26,14,2,0
BS-0341,9,0.70711,-0.70711,0.4,7.2,0,0,9,31,1,0
BS-0342,5,0.96593,0.25882,7.5,0.9,0,1,6,34,12,0
BS-0343,22,-0.5,0.86603,22.4,0.0,0,0,12,28,9,0
BS-0344,23,-0.25882,0.96593,10.9,0.0,0,0,22,18,4,0
BS-0345,6,1.0,0.0,27.0,0.0,1,0,10,30,17,0
BS-0346,21,-0.70711,0.70711,24.9,0.0,0,0,22,18,13,0
BS-0347,13,-0.25882,-0.96593,24.9,0.0,0,0,21,19,21,0
BS-0348,16,-0.86603,-0.5,11.4,6.0,0,0,10,30,19,0
BS-0349,17,-0.96593,-0.25882,17.9,7.1,0,0,5,35,12,0
BS-0350,5,0.96593,0.25882,22.4,0.0,0,1,17,23,22,0
BS-0351,11,0.25882,-0.96593,24.4,0.0,0,0,11,29,20,1
BS-0352,8,0.86603,-0.5,16.6,3.2,1,0,23,17,19,0
BS-0353,10,0.5,-0.86603,8.0,0.0,0,0,24,16,15,0
BS-0354,5,0.96593,0.25882,7.2,0.0,0,0,27,13,8,0
BS-0355,14,-0.5,-0.86603,22.5,0.0,1,0,30,10,25,0
BS-0356,12,0.0,-1.0,7.7,0.0,1,0,25,15,16,0
BS-0357,4,0.86603,0.5,3.5,1.1,0,0,13,27,1,0
BS-0358,19,-0.96593,0.25882,15.7,0.0,0,0,8,32,21,0
BS-0359,9,0.70711,-0.70711,3.9,0.0,0,0,12,28,14,0
BS-0360,14,-0.5,-0.86603,7.3,1.4,1,0,11,29,15,0
BS-0361,14,-0.5,-0.86603,12.6,0.0,0,1,24,16,19,0
