trip_id,started_at,member_type,purpose,distance_km,duration_min,rain_mm
HV-0212,2026-04-15 20:23,Day pass,Leisure,8.42,46.7,0.0
HV-0608,2026-04-16 10:05,Member,Errand,2.95,21.1,0.0
HV-0384,2026-04-16 10:28,Member,Errand,2.05,18.8,0.0
HV-0562,2026-04-16 13:22,Day pass,Errand,2.65,17.5,0.0
HV-0663,2026-04-16 13:54,Member,Commute,2.64,16.0,0.0
HV-0021,2026-04-16 14:45,Member,Commute,3.91,17.9,0.0
HV-0307,2026-04-16 15:36,Member,Commute,3.77,17.4,0.0
HV-0691,2026-04-16 15:38,Member,Commute,3.06,9.6,0.0
HV-0171,2026-04-16 15:41,Day pass,Commute,4.13,16.7,0.0
HV-0501,2026-04-16 16:51,Member,Commute,3.82,15.0,0.0
HV-0541,2026-04-16 19:19,Member,Commute,2.99,19.1,0.0
HV-0178,2026-04-16 20:07,Member,Errand,3.4,25.2,0.0
HV-0169,2026-04-17 07:45,Member,Errand,1.96,15.1,0.7
HV-0017,2026-04-17 09:53,Member,Commute,6.27,27.9,0.7
HV-0222,2026-04-17 10:09,Day pass,Errand,3.15,25.2,0.7
HV-0331,2026-04-17 10:57,Day pass,Leisure,6.31,39.2,0.7
HV-0176,2026-04-17 11:25,Day pass,Leisure,8.02,44.4,0.7
HV-0046,2026-04-17 13:31,Member,Commute,6.74,22.1,0.7
HV-0270,2026-04-17 14:25,Member,Errand,4.65,30.5,0.7
HV-0112,2026-04-17 14:42,Member,Errand,4.57,33.6,0.7
HV-0356,2026-04-17 16:11,Member,Commute,5.24,21.5,0.7
HV-0117,2026-04-17 17:02,Member,Errand,3.58,24.5,0.7
HV-0200,2026-04-17 17:03,Day pass,Commute,4.44,19.4,0.7
HV-0613,2026-04-17 17:54,Member,Commute,3.9,18.1,0.7
HV-0294,2026-04-17 18:08,Member,Commute,4.61,21.9,0.7
HV-0404,2026-04-18 08:41,Member,Commute,4.57,17.5,0.0
HV-0596,2026-04-18 09:59,Member,Leisure,5.16,28.2,0.0
HV-0262,2026-04-18 12:49,Day pass,Leisure,7.74,44.3,0.0
HV-0569,2026-04-18 13:28,Day pass,Errand,3.13,26.3,0.0
HV-0047,2026-04-18 15:49,Day pass,Leisure,5.03,24.2,0.0
HV-0464,2026-04-18 16:53,Member,Commute,6.85,29.6,0.0
HV-0459,2026-04-18 17:24,Member,Leisure,6.06,29.1,0.0
HV-0602,2026-04-18 17:33,Member,Leisure,6.32,35.3,0.0
HV-0715,2026-04-18 17:40,Member,Errand,2.72,16.3,0.0
HV-0502,2026-04-18 17:44,Member,Leisure,5.18,28.0,0.0
HV-0458,2026-04-18 18:50,Member,Errand,2.8,17.8,0.0
HV-0557,2026-04-19 09:49,Member,Commute,1.96,11.0,4.1
HV-0625,2026-04-19 10:06,Member,Errand,5.14,33.1,4.1
HV-0584,2026-04-19 11:05,Member,Errand,4.66,30.0,4.1
HV-0229,2026-04-19 13:07,Member,Leisure,6.42,30.2,4.1
HV-0450,2026-04-19 15:16,Day pass,Leisure,8.69,46.8,4.1
HV-0711,2026-04-19 16:07,Member,Leisure,6.55,33.2,4.1
HV-0085,2026-04-19 16:10,Member,Commute,5.86,27.2,4.1
HV-0238,2026-04-19 16:32,Day pass,Leisure,9.83,50.8,4.1
HV-0709,2026-04-19 16:40,Day pass,Leisure,8.07,47.6,4.1
HV-0479,2026-04-19 16:50,Member,Commute,2.2,12.6,4.1
HV-0094,2026-04-19 17:56,Member,Leisure,4.11,27.9,4.1
HV-0437,2026-04-19 19:55,Member,Commute,4.37,19.7,4.1
HV-0359,2026-04-19 20:19,Member,Leisure,5.4,32.9,4.1
HV-0488,2026-04-19 22:34,Day pass,Leisure,5.91,42.5,4.1
HV-0636,2026-04-20 06:37,Member,Commute,3.02,13.8,0.0
HV-0524,2026-04-20 07:56,Day pass,Errand,4.65,25.0,0.0
HV-0253,2026-04-20 08:27,Member,Commute,5.88,25.4,0.0
HV-0095,2026-04-20 08:30,Member,Commute,5.04,21.4,0.0
HV-0113,2026-04-20 09:53,Member,Commute,4.18,17.0,0.0
HV-0289,2026-04-20 10:30,Member,Errand,3.24,26.6,0.0
HV-0202,2026-04-20 11:38,Member,Commute,3.07,11.8,0.0
HV-0125,2026-04-20 12:57,Member,Errand,4.37,23.8,0.0
HV-0655,2026-04-20 16:07,Member,Commute,3.99,17.3,0.0
HV-0435,2026-04-20 18:37,Member,Commute,5.38,19.7,0.0
HV-0196,2026-04-20 18:52,Member,Commute,7.42,28.2,0.0
HV-0698,2026-04-20 18:53,Member,Errand,3.22,21.8,0.0
HV-0535,2026-04-20 19:02,Day pass,Commute,3.34,11.8,0.0
HV-0024,2026-04-20 22:24,Member,Commute,4.23,18.4,0.0
HV-0088,2026-04-21 10:03,Member,Commute,5.12,21.8,0.0
HV-0615,2026-04-21 10:54,Member,Commute,3.53,14.4,0.0
HV-0243,2026-04-21 11:47,Member,Commute,4.41,17.3,0.0
HV-0107,2026-04-21 13:31,Member,Commute,5.44,21.9,0.0
HV-0703,2026-04-21 17:38,Day pass,Commute,3.79,18.2,0.0
HV-0572,2026-04-21 20:10,Day pass,Commute,2.72,12.6,0.0
HV-0101,2026-04-22 07:36,Member,Commute,2.87,18.0,0.0
HV-0641,2026-04-22 08:11,Member,Commute,2.86,11.0,0.0
HV-0639,2026-04-22 10:17,Member,Commute,4.49,13.7,0.0
HV-0277,2026-04-22 10:25,Day pass,Errand,5.84,36.3,0.0
HV-0476,2026-04-22 12:09,Member,Commute,2.96,11.7,0.0
HV-0483,2026-04-22 14:48,Day pass,Commute,5.59,23.7,0.0
HV-0244,2026-04-22 16:00,Member,Commute,3.04,11.8,0.0
HV-0016,2026-04-22 18:06,Member,Errand,5.15,29.0,0.0
HV-0453,2026-04-22 18:25,Day pass,Errand,4.29,28.1,0.0
HV-0005,2026-04-22 18:31,Member,Errand,2.25,15.7,0.0
HV-0039,2026-04-22 22:18,Day pass,Leisure,6.54,37.7,0.0
HV-0161,2026-04-23 08:21,Day pass,Errand,5.61,29.3,6.1
HV-0333,2026-04-23 08:36,Member,Commute,6.42,29.9,6.1
HV-0436,2026-04-23 08:38,Member,Commute,2.97,15.1,6.1
HV-0311,2026-04-23 09:00,Member,Commute,2.78,12.2,6.1
HV-0273,2026-04-23 12:53,Day pass,Commute,4.51,21.0,6.1
HV-0424,2026-04-23 15:14,Member,Commute,4.43,18.3,6.1
HV-0251,2026-04-23 15:23,Member,Commute,5.64,25.7,6.1
HV-0490,2026-04-23 16:28,Day pass,Commute,3.51,11.0,6.1
HV-0355,2026-04-23 16:52,Member,Commute,5.16,25.2,6.1
HV-0699,2026-04-23 17:19,Member,Errand,2.37,17.4,6.1
HV-0580,2026-04-23 17:46,Member,Commute,4.56,20.5,6.1
HV-0350,2026-04-23 17:48,Member,Errand,4.29,30.3,6.1
HV-0312,2026-04-23 18:22,Member,Errand,2.98,23.1,6.1
HV-0343,2026-04-23 18:24,Member,Errand,2.27,17.9,6.1
HV-0591,2026-04-23 19:01,Day pass,Commute,7.8,38.4,6.1
HV-0043,2026-04-23 19:58,Member,Commute,4.59,19.5,6.1
HV-0494,2026-04-23 19:58,Member,Errand,2.93,23.2,6.1
HV-0267,2026-04-23 20:00,Member,Commute,4.92,25.5,6.1
HV-0006,2026-04-24 09:54,Member,Leisure,9.1,51.7,0.0
HV-0197,2026-04-24 10:42,Member,Commute,3.43,15.7,0.0
HV-0183,2026-04-24 10:57,Day pass,Commute,3.72,18.1,0.0
HV-0391,2026-04-24 11:23,Member,Commute,4.23,16.8,0.0
HV-0662,2026-04-24 15:35,Member,Errand,4.09,25.9,0.0
HV-0603,2026-04-24 16:05,Member,Commute,4.67,24.0,0.0
HV-0103,2026-04-24 19:55,Member,Commute,4.17,15.4,0.0
HV-0559,2026-04-25 07:05,Day pass,Errand,3.26,21.0,0.0
HV-0690,2026-04-25 07:51,Day pass,Leisure,6.48,32.1,0.0
HV-0188,2026-04-25 07:57,Day pass,Leisure,6.08,31.2,0.0
HV-0027,2026-04-25 08:34,Member,Leisure,7.11,39.7,0.0
HV-0454,2026-04-25 10:30,Day pass,Errand,3.75,25.7,0.0
HV-0531,2026-04-25 12:20,Member,Leisure,9.58,50.0,0.0
HV-0395,2026-04-25 15:06,Day pass,Leisure,7.05,41.6,0.0
HV-0433,2026-04-25 16:42,Day pass,Leisure,5.72,28.9,0.0
HV-0250,2026-04-25 16:54,Member,Leisure,7.95,40.3,0.0
HV-0087,2026-04-25 17:10,Day pass,Leisure,7.98,42.7,0.0
HV-0538,2026-04-25 18:03,Day pass,Leisure,7.51,37.9,0.0
HV-0322,2026-04-25 18:09,Day pass,Leisure,6.94,35.4,0.0
HV-0537,2026-04-25 18:58,Member,Leisure,8.69,44.9,0.0
HV-0590,2026-04-25 21:28,Day pass,Leisure,5.32,29.8,0.0
HV-0388,2026-04-26 07:56,Day pass,Leisure,7.28,39.5,0.0
HV-0299,2026-04-26 08:11,Member,Leisure,7.22,34.9,0.0
HV-0666,2026-04-26 08:12,Member,Commute,3.19,13.7,0.0
HV-0548,2026-04-26 08:27,Member,Leisure,11.64,55.1,0.0
HV-0114,2026-04-26 09:06,Member,Commute,2.9,18.7,0.0
HV-0050,2026-04-26 09:44,Day pass,Errand,2.91,24.6,0.0
HV-0661,2026-04-26 12:15,Day pass,Leisure,5.46,29.9,0.0
HV-0475,2026-04-26 13:35,Member,Leisure,3.43,17.5,0.0
HV-0252,2026-04-26 14:28,Member,Leisure,8.05,43.1,0.0
HV-0556,2026-04-26 16:51,Day pass,Errand,1.9,13.2,0.0
HV-0505,2026-04-26 17:32,Member,Leisure,5.98,35.8,0.0
HV-0215,2026-04-26 17:40,Day pass,Leisure,8.08,40.3,0.0
HV-0451,2026-04-26 18:02,Day pass,Leisure,5.12,24.5,0.0
HV-0674,2026-04-26 19:37,Member,Leisure,7.18,37.8,0.0
HV-0710,2026-04-26 21:36,Day pass,Commute,3.0,14.6,0.0
HV-0336,2026-04-27 08:35,Member,Commute,4.35,13.0,0.0
HV-0224,2026-04-27 08:39,Member,Commute,4.97,14.7,0.0
HV-0201,2026-04-27 09:09,Member,Commute,2.78,17.3,0.0
HV-0362,2026-04-27 09:10,Member,Commute,3.0,13.0,0.0
HV-0708,2026-04-27 12:06,Member,Commute,3.92,18.2,0.0
HV-0065,2026-04-27 14:30,Member,Leisure,8.04,40.6,0.0
HV-0461,2026-04-27 15:35,Member,Commute,5.16,24.5,0.0
HV-0684,2026-04-27 16:21,Day pass,Errand,2.32,20.2,0.0
HV-0670,2026-04-27 17:28,Day pass,Errand,2.77,16.3,0.0
HV-0515,2026-04-27 18:34,Member,Commute,3.1,13.2,0.0
HV-0637,2026-04-27 20:32,Day pass,Errand,2.42,8.3,0.0
HV-0378,2026-04-28 06:35,Day pass,Errand,5.05,35.6,0.0
HV-0309,2026-04-28 07:12,Member,Commute,3.95,19.0,0.0
HV-0111,2026-04-28 11:44,Member,Leisure,14.08,71.7,0.0
HV-0007,2026-04-28 14:05,Member,Commute,3.8,18.8,0.0
HV-0491,2026-04-28 15:29,Member,Commute,4.94,15.1,0.0
HV-0036,2026-04-28 15:42,Day pass,Errand,3.75,22.9,0.0
HV-0049,2026-04-28 17:15,Member,Leisure,10.51,49.9,0.0
HV-0422,2026-04-28 18:09,Member,Commute,2.84,13.5,0.0
HV-0423,2026-04-28 18:14,Day pass,Errand,3.26,19.4,0.0
HV-0137,2026-04-28 18:25,Member,Errand,3.73,21.5,0.0
HV-0106,2026-04-28 21:04,Member,Commute,9.46,35.0,0.0
HV-0232,2026-04-29 07:51,Member,Commute,3.69,16.6,6.6
HV-0374,2026-04-29 08:51,Day pass,Leisure,9.12,49.8,6.6
HV-0544,2026-04-29 12:52,Member,Commute,2.53,9.2,6.6
HV-0280,2026-04-29 14:21,Member,Errand,4.77,32.8,6.6
HV-0682,2026-04-29 16:26,Member,Commute,6.82,30.9,6.6
HV-0276,2026-04-29 17:38,Member,Commute,2.56,16.7,6.6
HV-0659,2026-04-29 21:18,Member,Leisure,6.5,36.7,6.6
HV-0354,2026-04-30 07:23,Day pass,Commute,4.5,24.5,13.0
HV-0675,2026-04-30 09:27,Member,Commute,5.82,25.9,13.0
HV-0605,2026-04-30 09:34,Member,Commute,2.67,11.9,13.0
HV-0185,2026-04-30 10:44,Member,Errand,5.07,32.7,13.0
HV-0191,2026-04-30 12:48,Member,Commute,6.38,32.8,13.0
HV-0508,2026-04-30 14:06,Member,Leisure,10.18,54.5,13.0
HV-0321,2026-04-30 14:57,Member,Commute,4.43,18.9,13.0
HV-0233,2026-04-30 15:16,Day pass,Leisure,4.82,33.4,13.0
HV-0166,2026-04-30 20:29,Member,Commute,5.78,25.1,13.0
HV-0462,2026-05-01 07:36,Member,Commute,4.05,19.1,0.0
HV-0172,2026-05-01 08:15,Member,Commute,7.17,24.7,0.0
HV-0651,2026-05-01 09:50,Member,Commute,5.94,28.3,0.0
HV-0585,2026-05-01 14:26,Member,Commute,5.6,20.3,0.0
HV-0148,2026-05-01 15:19,Member,Commute,4.06,11.3,0.0
HV-0647,2026-05-01 15:25,Member,Commute,3.3,11.6,0.0
HV-0048,2026-05-01 17:29,Member,Commute,3.14,14.8,0.0
HV-0389,2026-05-01 18:08,Member,Commute,3.86,16.0,0.0
HV-0671,2026-05-01 18:11,Member,Errand,3.21,20.0,0.0
HV-0314,2026-05-01 20:54,Member,Commute,4.45,19.5,0.0
HV-0203,2026-05-02 06:51,Member,Errand,2.81,19.9,0.0
HV-0558,2026-05-02 06:54,Member,Leisure,7.88,43.0,0.0
HV-0643,2026-05-02 07:19,Day pass,Leisure,5.24,30.5,0.0
HV-0070,2026-05-02 10:46,Member,Errand,4.99,25.3,0.0
HV-0660,2026-05-02 10:51,Member,Commute,2.2,12.3,0.0
HV-0426,2026-05-02 12:47,Member,Errand,4.25,21.8,0.0
HV-0013,2026-05-02 15:59,Day pass,Leisure,7.24,38.8,0.0
HV-0495,2026-05-02 16:31,Member,Errand,3.81,25.0,0.0
HV-0115,2026-05-02 17:13,Day pass,Errand,2.92,19.0,0.0
HV-0259,2026-05-02 19:45,Day pass,Leisure,9.0,49.8,0.0
HV-0668,2026-05-02 20:45,Member,Commute,3.94,20.5,0.0
HV-0604,2026-05-02 22:58,Member,Leisure,9.49,47.4,0.0
