sheet_id,production_line,coating_g_m2,split
CS-0096,line_A,46.531,train
CS-0097,line_A,42.853,train
CS-0098,line_B,47.487,train
CS-0099,line_B,47.952,train
CS-0100,line_A,41.831,train
CS-0101,line_A,40.753,train
CS-0102,line_A,45.179,test
CS-0103,line_A,45.388,train
CS-0104,line_A,51.278,train
CS-0105,line_B,54.702,train
CS-0106,line_B,64.628,train
CS-0107,line_B,50.154,train
CS-0108,line_B,58.157,train
CS-0109,line_A,43.942,train
CS-0110,line_A,43.632,test
CS-0111,line_B,58.074,train
CS-0112,line_B,58.629,train
CS-0113,line_B,56.118,train
CS-0114,line_A,51.289,test
CS-0115,line_A,45.065,train
CS-0116,line_B,68.66,train
CS-0117,line_A,48.647,train
CS-0118,line_A,44.534,test
CS-0119,line_A,53.446,train
CS-0120,line_A,54.348,train
CS-0121,line_B,50.963,train
CS-0122,line_A,47.385,train
CS-0123,line_A,45.51,train
CS-0124,line_A,39.195,train
CS-0125,line_A,55.84,test
CS-0126,line_A,49.749,train
CS-0127,line_A,42.719,train
CS-0128,line_A,36.374,train
CS-0129,line_B,57.456,train
CS-0130,line_A,45.291,train
CS-0131,line_A,50.846,train
CS-0132,line_A,40.718,train
CS-0133,line_A,44.019,train
CS-0134,line_B,58.095,train
CS-0135,line_A,49.038,train
CS-0136,line_B,65.464,test
CS-0137,line_A,48.229,test
CS-0138,line_A,45.256,train
CS-0139,line_A,44.111,test
CS-0140,line_A,41.597,train
CS-0141,line_A,36.368,train
CS-0142,line_A,53.463,train
CS-0143,line_B,57.87,train
CS-0144,line_A,40.517,train
CS-0145,line_B,58.839,test
CS-0146,line_A,45.11,train
CS-0147,line_A,40.094,train
CS-0148,line_A,50.866,test
CS-0149,line_A,45.607,test
CS-0150,line_A,46.113,train
CS-0151,line_A,50.255,train
CS-0152,line_A,48.59,train
CS-0153,line_A,48.825,train
CS-0154,line_A,47.23,train
CS-0155,line_A,51.328,test
CS-0156,line_B,57.952,train
CS-0157,line_A,41.411,train
CS-0158,line_A,40.331,train
CS-0159,line_A,45.668,train
CS-0160,line_A,44.61,train
CS-0161,line_B,59.002,train
CS-0162,line_B,58.703,train
CS-0163,line_A,52.521,test
CS-0164,line_A,37.801,train
CS-0165,line_B,55.393,train
CS-0166,line_A,49.405,test
CS-0167,line_A,50.934,train
CS-0168,line_A,32.939,test
CS-0169,line_A,43.053,train
CS-0170,line_B,54.668,test
CS-0171,line_A,48.962,test
CS-0172,line_B,60.89,test
CS-0173,line_A,59.001,train
CS-0174,line_A,52.391,test
CS-0175,line_A,51.284,train
CS-0176,line_A,44.703,test
CS-0177,line_B,52.737,train
CS-0178,line_A,43.93,train
CS-0179,line_A,36.65,train
CS-0180,line_A,46.918,train
CS-0181,line_B,60.684,train
CS-0182,line_A,61.78,train
CS-0183,line_A,48.943,train
CS-0184,line_A,52.384,test
CS-0185,line_A,42.911,train
CS-0186,line_A,45.18,train
CS-0187,line_B,61.431,test
CS-0188,line_A,53.239,test
CS-0189,line_A,55.194,train
CS-0190,line_A,47.616,train
CS-0191,line_A,43.033,train
CS-0192,line_B,55.746,train
CS-0193,line_A,51.531,train
CS-0194,line_A,43.583,train
CS-0195,line_B,57.968,train
CS-0196,line_A,41.653,train
CS-0197,line_A,51.547,train
CS-0198,line_A,43.733,train
CS-0199,line_A,53.303,test
CS-0200,line_B,59.658,test
CS-0201,line_A,45.902,test
CS-0202,line_A,43.326,train
CS-0203,line_B,67.961,train
CS-0204,line_B,68.157,test
CS-0205,line_B,60.834,train
CS-0206,line_B,63.239,test
CS-0207,line_A,45.774,test
CS-0208,line_A,50.438,test
CS-0209,line_A,45.469,train
CS-0210,line_B,49.026,train
CS-0211,line_A,52.493,train
CS-0212,line_A,45.229,train
CS-0213,line_B,58.534,train
CS-0214,line_A,55.43,test
CS-0215,line_A,50.568,train
CS-0216,line_A,50.847,train
CS-0217,line_A,46.572,train
CS-0218,line_A,51.123,train
CS-0219,line_A,45.116,train
CS-0220,line_B,55.961,test
CS-0221,line_B,54.559,train
CS-0222,line_A,46.322,train
CS-0223,line_A,47.055,train
CS-0224,line_A,57.924,train
CS-0225,line_A,47.817,test
CS-0226,line_A,48.624,train
CS-0227,line_A,53.252,train
CS-0228,line_A,55.201,train
CS-0229,line_A,39.18,train
CS-0230,line_A,42.661,test
CS-0231,line_A,49.299,train
CS-0232,line_B,55.336,train
CS-0233,line_A,44.897,test
CS-0234,line_A,41.306,train
CS-0235,line_A,46.243,train
CS-0236,line_A,45.089,train
CS-0237,line_A,51.522,train
CS-0238,line_A,55.069,train
CS-0239,line_B,61.817,train
CS-0240,line_B,55.343,train
CS-0241,line_B,63.646,test
CS-0242,line_B,61.593,train
CS-0243,line_B,61.054,train
CS-0244,line_A,52.391,train
CS-0245,line_B,55.19,train
CS-0246,line_A,47.377,test
CS-0247,line_A,50.604,train
CS-0248,line_B,59.546,train
CS-0249,line_A,55.575,test
CS-0250,line_B,60.246,test
CS-0251,line_A,47.511,test
CS-0252,line_B,50.594,train
CS-0253,line_B,65.858,train
CS-0254,line_A,46.319,train
CS-0255,line_A,47.936,train
CS-0256,line_A,46.778,train
CS-0257,line_A,48.973,train
CS-0258,line_B,64.425,test
CS-0259,line_A,41.635,test
CS-0260,line_A,46.123,train
CS-0261,line_B,51.509,train
CS-0262,line_A,44.702,train
CS-0263,line_B,53.519,train
CS-0264,line_B,56.045,train
CS-0265,line_A,59.033,train
CS-0266,line_A,44.696,train
CS-0267,line_A,50.214,train
CS-0268,line_A,46.31,train
CS-0269,line_A,47.573,train
CS-0270,line_B,53.05,train
CS-0271,line_A,53.554,train
CS-0272,line_A,37.94,train
CS-0273,line_A,38.964,test
CS-0274,line_A,46.572,train
CS-0275,line_A,45.988,train
CS-0276,line_A,49.13,train
CS-0277,line_B,57.557,train
CS-0278,line_A,47.091,train
CS-0279,line_A,52.285,train
CS-0280,line_A,58.271,train
CS-0281,line_A,46.977,train
CS-0282,line_A,53.593,train
CS-0283,line_A,45.504,train
CS-0284,line_A,48.264,test
CS-0285,line_A,52.574,test
CS-0286,line_B,64.549,train
CS-0287,line_A,48.329,train
CS-0288,line_A,45.121,test
CS-0289,line_A,43.755,train
CS-0290,line_B,66.267,train
CS-0291,line_A,42.815,test
CS-0292,line_A,53.271,train
CS-0293,line_B,64.644,test
CS-0294,line_A,46.178,test
CS-0295,line_A,52.738,test
CS-0296,line_A,47.94,train
CS-0297,line_B,55.347,test
CS-0298,line_B,50.642,test
CS-0299,line_A,51.558,train
CS-0300,line_B,70.866,train
CS-0301,line_B,64.269,train
CS-0302,line_B,61.678,train
CS-0303,line_A,62.232,train
CS-0304,line_B,59.028,test
CS-0305,line_B,54.876,train
CS-0306,line_B,60.756,train
CS-0307,line_A,48.168,train
CS-0308,line_A,41.65,train
CS-0309,line_A,46.239,test
CS-0310,line_A,39.73,train
CS-0311,line_A,46.832,test
CS-0312,line_A,49.98,train
CS-0313,line_A,51.826,train
CS-0314,line_A,50.512,train
CS-0315,line_B,63.164,train
CS-0316,line_A,44.958,train
CS-0317,line_B,67.907,train
CS-0318,line_A,59.19,train
CS-0319,line_A,44.406,train
CS-0320,line_B,63.097,train
CS-0321,line_A,42.944,train
CS-0322,line_A,48.923,train
CS-0323,line_B,53.42,train
CS-0324,line_A,55.008,train
CS-0325,line_B,56.541,train
CS-0326,line_A,47.327,train
CS-0327,line_B,60.345,train
CS-0328,line_A,41.358,train
CS-0329,line_A,46.873,train
CS-0330,line_A,52.848,test
CS-0331,line_B,66.671,train
CS-0332,line_B,54.54,test
CS-0333,line_A,44.093,test
CS-0334,line_A,48.937,train
CS-0335,line_A,49.477,train
CS-0336,line_B,51.785,train
CS-0337,line_A,43.163,train
CS-0338,line_B,55.659,train
CS-0339,line_A,31.429,train
CS-0340,line_A,44.289,train
CS-0341,line_A,42.505,train
CS-0342,line_A,50.107,test
CS-0343,line_A,45.013,train
CS-0344,line_A,45.561,train
CS-0345,line_B,65.996,train
CS-0346,line_B,55.313,test
CS-0347,line_A,49.895,test
CS-0348,line_A,56.192,train
CS-0349,line_A,41.24,test
CS-0350,line_A,40.049,train
CS-0351,line_A,44.369,test
CS-0352,line_B,66.38,test
CS-0353,line_A,45.766,train
CS-0354,line_A,46.858,train
CS-0355,line_B,61.386,train
CS-0356,line_A,43.695,train
CS-0357,line_A,58.456,train
CS-0358,line_B,61.796,train
CS-0359,line_B,61.504,train
CS-0360,line_B,59.745,test
CS-0361,line_A,50.631,train
CS-0362,line_A,44.749,test
CS-0363,line_A,48.227,train
CS-0364,line_A,44.085,train
CS-0365,line_B,67.283,test
CS-0366,line_B,59.394,test
CS-0367,line_B,51.971,test
CS-0368,line_A,46.288,train
CS-0369,line_B,48.879,train
CS-0370,line_A,51.233,test
CS-0371,line_B,43.987,train
CS-0372,line_B,54.379,train
CS-0373,line_B,54.513,train
CS-0374,line_B,58.837,test
CS-0375,line_A,50.862,train
CS-0376,line_B,50.674,train
CS-0377,line_A,44.952,train
CS-0378,line_B,55.593,train
CS-0379,line_A,47.662,train
CS-0380,line_A,50.219,test
CS-0381,line_A,49.739,train
CS-0382,line_B,56.902,train
CS-0383,line_A,55.164,train
CS-0384,line_B,52.878,test
CS-0385,line_A,43.043,train
CS-0386,line_B,55.774,train
CS-0387,line_A,49.209,train
CS-0388,line_A,48.054,train
CS-0389,line_B,49.683,train
CS-0390,line_B,49.399,train
CS-0391,line_A,51.317,test
CS-0392,line_A,51.6,train
CS-0393,line_B,58.782,train
CS-0394,line_A,44.261,train
CS-0395,line_A,47.955,train
CS-0396,line_A,47.104,train
CS-0397,line_B,59.361,train
CS-0398,line_A,46.876,train
CS-0399,line_B,59.0,train
CS-0400,line_B,46.389,train
CS-0401,line_A,49.561,train
CS-0402,line_B,58.72,train
CS-0403,line_B,59.353,train
CS-0404,line_A,50.823,train
CS-0405,line_B,61.526,test
CS-0406,line_B,48.453,test
CS-0407,line_B,49.111,train
CS-0408,line_B,60.7,train
CS-0409,line_A,51.919,train
CS-0410,line_A,44.848,train
CS-0411,line_A,59.397,train
CS-0412,line_B,56.737,test
CS-0413,line_A,52.783,train
CS-0414,line_A,44.161,test
CS-0415,line_A,41.449,train
CS-0416,line_A,40.044,train
CS-0417,line_A,44.302,train
CS-0418,line_A,49.239,test
CS-0419,line_A,48.8,train
CS-0420,line_B,55.321,train
CS-0421,line_B,56.316,train
CS-0422,line_B,52.357,train
CS-0423,line_B,57.306,train
CS-0424,line_A,52.225,test
CS-0425,line_A,55.795,train
CS-0426,line_A,49.808,train
CS-0427,line_A,42.42,train
CS-0428,line_A,44.753,train
CS-0429,line_A,59.366,train
CS-0430,line_A,51.498,train
CS-0431,line_A,48.081,test
CS-0432,line_A,48.283,train
CS-0433,line_A,54.019,test
CS-0434,line_B,57.528,train
CS-0435,line_A,55.727,test
CS-0436,line_A,41.412,train
CS-0437,line_A,49.408,test
CS-0438,line_A,51.095,train
CS-0439,line_A,48.612,train
CS-0440,line_A,55.196,train
CS-0441,line_A,43.617,test
CS-0442,line_A,48.313,train
CS-0443,line_B,55.071,train
CS-0444,line_B,58.314,train
CS-0445,line_B,62.0,train
CS-0446,line_A,41.305,train
CS-0447,line_A,43.385,train
CS-0448,line_A,50.604,test
CS-0449,line_A,50.949,train
CS-0450,line_A,52.904,train
CS-0451,line_B,55.394,train
CS-0452,line_B,45.406,test
CS-0453,line_B,63.008,train
CS-0454,line_A,51.884,train
CS-0455,line_A,48.535,test
CS-0456,line_A,49.593,train
CS-0457,line_A,51.502,train
CS-0458,line_A,44.789,train
CS-0459,line_A,49.526,train
CS-0460,line_A,39.236,test
CS-0461,line_A,55.702,train
CS-0462,line_A,51.047,train
CS-0463,line_B,57.805,train
CS-0464,line_A,53.711,train
CS-0465,line_A,42.52,train
CS-0466,line_A,54.078,train
CS-0467,line_B,61.945,train
CS-0468,line_A,51.945,train
CS-0469,line_A,42.083,train
CS-0470,line_B,59.784,train
CS-0471,line_A,51.37,train
CS-0472,line_A,43.959,train
CS-0473,line_B,57.616,test
CS-0474,line_A,41.903,train
CS-0475,line_A,46.071,train
CS-0476,line_B,60.787,train
CS-0477,line_B,56.989,train
CS-0478,line_B,52.199,train
CS-0479,line_A,42.001,train
CS-0480,line_A,56.13,test
CS-0481,line_A,35.999,train
CS-0482,line_A,46.155,train
CS-0483,line_A,42.006,test
CS-0484,line_A,44.754,train
CS-0485,line_A,52.816,train
CS-0486,line_A,42.26,train
CS-0487,line_A,45.005,train
CS-0488,line_A,52.533,train
CS-0489,line_A,44.162,train
CS-0490,line_A,48.331,test
CS-0491,line_A,32.838,train
CS-0492,line_A,41.836,test
CS-0493,line_B,55.434,train
CS-0494,line_A,45.402,train
CS-0495,line_B,56.531,train
CS-0496,line_A,51.233,test
CS-0497,line_A,45.692,train
CS-0498,line_A,48.811,test
CS-0499,line_A,49.23,test
CS-0500,line_A,47.772,train
CS-0501,line_A,52.85,train
CS-0502,line_B,61.081,test
CS-0503,line_A,52.705,train
CS-0504,line_B,51.199,train
CS-0505,line_A,49.455,train
CS-0506,line_A,43.848,train
CS-0507,line_B,52.72,train
CS-0508,line_A,47.547,test
CS-0509,line_A,44.243,train
CS-0510,line_B,66.767,train
CS-0511,line_A,55.56,test
CS-0512,line_B,58.799,test
CS-0513,line_B,58.452,train
CS-0514,line_A,46.815,train
CS-0515,line_A,52.246,train
CS-0516,line_A,47.568,train
CS-0517,line_B,58.885,test
CS-0518,line_A,44.445,test
CS-0519,line_B,61.04,test
CS-0520,line_B,54.179,test
CS-0521,line_A,50.099,train
CS-0522,line_B,54.809,train
CS-0523,line_A,49.584,train
CS-0524,line_B,51.929,train
CS-0525,line_A,50.859,train
CS-0526,line_A,53.364,train
CS-0527,line_A,50.947,train
CS-0528,line_B,62.64,train
CS-0529,line_A,54.932,train
CS-0530,line_B,62.129,train
CS-0531,line_A,45.397,train
CS-0532,line_A,48.788,train
CS-0533,line_A,49.778,test
CS-0534,line_B,55.189,train
CS-0535,line_B,52.326,test
CS-0536,line_A,59.226,train
CS-0537,line_A,52.644,train
CS-0538,line_B,55.148,train
CS-0539,line_A,46.797,train
CS-0540,line_A,52.778,train
CS-0541,line_A,40.47,train
CS-0542,line_B,56.274,train
CS-0543,line_A,54.318,train
CS-0544,line_A,50.081,train
CS-0545,line_A,55.913,test
CS-0546,line_A,56.533,train
CS-0547,line_A,45.84,train
CS-0548,line_A,47.416,train
CS-0549,line_A,43.57,test
CS-0550,line_B,68.636,train
CS-0551,line_B,62.426,test
CS-0552,line_A,59.308,train
CS-0553,line_A,54.577,test
CS-0554,line_A,55.864,train
CS-0555,line_A,42.874,train
CS-0556,line_A,41.126,test
CS-0557,line_A,49.392,train
CS-0558,line_A,48.211,train
CS-0559,line_B,62.92,train
CS-0560,line_A,49.145,test
CS-0561,line_A,67.032,train
CS-0562,line_A,55.069,train
CS-0563,line_A,49.347,train
CS-0564,line_A,42.718,train
CS-0565,line_A,46.035,train
CS-0566,line_A,47.933,test
CS-0567,line_A,47.795,train
CS-0568,line_A,58.909,train
CS-0569,line_B,60.609,train
CS-0570,line_A,46.227,train
CS-0571,line_A,56.767,train
CS-0572,line_B,63.75,train
CS-0573,line_A,35.995,train
CS-0574,line_B,55.293,test
CS-0575,line_B,51.538,test
CS-0576,line_A,51.217,test
CS-0577,line_A,44.346,train
CS-0578,line_B,62.268,train
CS-0579,line_B,50.323,train
CS-0580,line_B,61.973,test
CS-0581,line_A,45.673,train
CS-0582,line_A,51.736,train
CS-0583,line_A,41.433,train
CS-0584,line_A,47.489,train
CS-0585,line_A,53.647,train
CS-0586,line_A,45.989,test
CS-0587,line_A,43.923,test
CS-0588,line_B,58.597,test
CS-0589,line_B,55.561,train
CS-0590,line_B,46.975,train
CS-0591,line_B,55.756,train
CS-0592,line_A,46.443,train
CS-0593,line_B,51.878,train
CS-0594,line_B,52.875,train
CS-0595,line_A,66.968,test
CS-0596,line_A,38.307,train
CS-0597,line_A,55.389,train
CS-0598,line_A,45.553,train
CS-0599,line_B,57.626,train
CS-0600,line_A,47.613,train
CS-0601,line_B,52.492,train
CS-0602,line_A,49.408,train
CS-0603,line_A,49.574,train
CS-0604,line_A,55.364,train
CS-0605,line_B,61.546,train
CS-0606,line_A,47.395,train
CS-0607,line_A,37.451,train
CS-0608,line_A,49.325,test
CS-0609,line_A,48.009,train
CS-0610,line_A,54.372,train
CS-0611,line_A,39.836,test
CS-0612,line_A,47.792,train
CS-0613,line_A,66.175,train
CS-0614,line_A,47.884,train
CS-0615,line_A,52.301,train
CS-0616,line_B,56.037,train
CS-0617,line_A,45.43,test
CS-0618,line_A,43.894,train
CS-0619,line_B,52.137,train
CS-0620,line_B,64.484,train
CS-0621,line_B,62.759,train
CS-0622,line_A,42.561,train
CS-0623,line_B,63.811,train
CS-0624,line_B,57.251,test
CS-0625,line_A,49.165,train
CS-0626,line_A,51.473,test
CS-0627,line_A,52.79,train
CS-0628,line_A,49.837,test
CS-0629,line_B,55.701,train
CS-0630,line_B,61.772,train
CS-0631,line_A,48.038,test
CS-0632,line_A,45.478,train
CS-0633,line_B,61.918,train
CS-0634,line_A,43.217,train
CS-0635,line_A,55.321,train
CS-0636,line_A,41.379,train
CS-0637,line_A,41.125,train
CS-0638,line_A,43.904,test
CS-0639,line_A,49.159,train
CS-0640,line_A,44.569,test
CS-0641,line_B,63.02,train
CS-0642,line_B,59.993,test
CS-0643,line_A,48.004,train
CS-0644,line_A,46.045,train
CS-0645,line_A,47.872,train
CS-0646,line_B,47.358,train
CS-0647,line_B,59.624,test
CS-0648,line_A,58.703,train
CS-0649,line_A,51.028,train
CS-0650,line_B,62.646,train
CS-0651,line_A,43.127,train
CS-0652,line_A,48.202,train
CS-0653,line_A,52.467,train
CS-0654,line_B,60.776,train
CS-0655,line_A,54.948,train
CS-0656,line_B,59.558,train
CS-0657,line_B,62.778,train
CS-0658,line_A,38.79,train
CS-0659,line_B,61.11,test
CS-0660,line_B,64.66,train
CS-0661,line_A,45.323,test
CS-0662,line_B,62.421,train
CS-0663,line_A,43.999,train
CS-0664,line_B,61.565,train
CS-0665,line_B,57.306,train
CS-0666,line_B,48.244,train
CS-0667,line_B,58.992,train
CS-0668,line_B,57.41,train
CS-0669,line_B,60.77,train
CS-0670,line_B,47.274,test
CS-0671,line_B,54.664,train
CS-0672,line_B,61.675,train
CS-0673,line_B,55.794,train
CS-0674,line_A,51.394,train
CS-0675,line_A,50.625,train
CS-0676,line_A,48.714,train
CS-0677,line_A,50.852,train
CS-0678,line_A,35.231,train
CS-0679,line_A,45.116,train
CS-0680,line_A,53.923,train
CS-0681,line_A,44.122,test
CS-0682,line_A,49.835,test
CS-0683,line_A,43.3,test
CS-0684,line_B,63.93,train
CS-0685,line_A,44.553,train
CS-0686,line_A,50.512,train
CS-0687,line_A,39.336,train
CS-0688,line_B,58.744,train
CS-0689,line_A,49.594,test
CS-0690,line_A,45.775,train
CS-0691,line_B,54.188,test
CS-0692,line_B,56.905,train
CS-0693,line_A,48.233,train
CS-0694,line_B,53.301,train
CS-0695,line_A,52.689,train
CS-0696,line_B,51.301,train
CS-0697,line_A,53.182,test
CS-0698,line_A,50.624,train
CS-0699,line_A,54.308,train
CS-0700,line_A,54.175,train
CS-0701,line_A,63.543,train
CS-0702,line_B,58.862,train
CS-0703,line_B,48.921,test
CS-0704,line_A,53.561,train
CS-0705,line_B,70.758,train
CS-0706,line_A,49.195,test
CS-0707,line_A,49.711,train
CS-0708,line_A,46.184,test
CS-0709,line_A,55.672,train
CS-0710,line_B,61.464,train
CS-0711,line_A,46.829,train
CS-0712,line_A,59.766,train
CS-0713,line_A,40.111,train
CS-0714,line_A,50.021,train
CS-0715,line_A,53.078,test
CS-0716,line_A,54.062,train
CS-0717,line_A,43.218,train
CS-0718,line_A,41.321,test
CS-0719,line_A,58.024,test
CS-0720,line_A,48.569,train
CS-0721,line_A,56.308,test
CS-0722,line_A,53.346,train
CS-0723,line_B,52.89,train
CS-0724,line_A,55.592,train
CS-0725,line_A,47.365,train
CS-0726,line_B,62.078,train
CS-0727,line_A,56.979,train
CS-0728,line_B,59.581,train
CS-0729,line_B,55.017,train
CS-0730,line_B,55.545,test
CS-0731,line_B,51.072,train
CS-0732,line_A,48.142,train
CS-0733,line_B,61.818,test
CS-0734,line_B,59.605,test
CS-0735,line_B,54.393,train
CS-0736,line_B,64.689,train
CS-0737,line_B,64.013,train
CS-0738,line_B,61.144,test
CS-0739,line_A,49.459,test
CS-0740,line_B,66.011,train
CS-0741,line_A,56.088,train
CS-0742,line_A,47.852,test
CS-0743,line_A,44.472,train
CS-0744,line_A,58.863,train
CS-0745,line_A,52.331,train
CS-0746,line_A,42.623,train
CS-0747,line_A,54.65,test
CS-0748,line_A,53.699,train
CS-0749,line_B,60.284,test
CS-0750,line_B,55.869,test
CS-0751,line_B,53.811,train
CS-0752,line_A,42.398,test
CS-0753,line_B,56.689,train
CS-0754,line_A,40.832,train
CS-0755,line_B,59.563,train
CS-0756,line_B,51.463,train
CS-0757,line_A,54.548,train
CS-0758,line_B,63.634,train
CS-0759,line_A,44.592,train
CS-0760,line_A,51.867,test
CS-0761,line_B,53.562,train
CS-0762,line_A,50.699,test
CS-0763,line_A,38.635,train
CS-0764,line_A,45.023,test
CS-0765,line_A,46.292,train
CS-0766,line_A,44.845,train
CS-0767,line_B,63.169,train
CS-0768,line_A,46.336,train
CS-0769,line_A,55.141,train
CS-0770,line_A,46.159,train
CS-0771,line_A,43.92,train
CS-0772,line_A,51.07,train
CS-0773,line_B,54.214,train
CS-0774,line_A,53.416,test
CS-0775,line_B,52.465,train
CS-0776,line_B,54.368,train
CS-0777,line_B,55.418,train
CS-0778,line_A,43.331,train
CS-0779,line_B,53.963,train
CS-0780,line_B,61.241,train
CS-0781,line_A,47.304,test
CS-0782,line_A,47.173,train
CS-0783,line_B,57.602,test
CS-0784,line_A,54.771,train
CS-0785,line_A,49.681,train
CS-0786,line_A,49.903,train
CS-0787,line_A,50.79,train
CS-0788,line_A,53.267,train
CS-0789,line_A,47.969,train
CS-0790,line_A,39.564,train
CS-0791,line_B,55.891,train
CS-0792,line_A,50.227,train
CS-0793,line_A,54.731,train
CS-0794,line_A,53.922,test
CS-0795,line_B,55.766,train
CS-0796,line_A,39.948,train
CS-0797,line_B,59.035,train
CS-0798,line_A,50.715,train
CS-0799,line_A,56.947,train
CS-0800,line_A,59.292,train
CS-0801,line_B,53.075,test
CS-0802,line_B,59.44,train
CS-0803,line_A,52.86,train
CS-0804,line_B,62.959,train
CS-0805,line_A,47.191,train
CS-0806,line_B,56.183,train
CS-0807,line_A,55.491,train
CS-0808,line_A,40.989,test
CS-0809,line_A,35.485,test
CS-0810,line_B,59.455,train
CS-0811,line_A,46.927,train
CS-0812,line_A,45.129,test
CS-0813,line_B,56.638,train
CS-0814,line_A,44.346,test
CS-0815,line_A,32.515,test
CS-0816,line_A,46.664,train
CS-0817,line_A,50.606,train
CS-0818,line_A,46.977,train
CS-0819,line_A,39.777,train
CS-0820,line_B,61.647,train
CS-0821,line_B,59.795,test
CS-0822,line_A,53.71,train
CS-0823,line_A,45.48,test
CS-0824,line_A,40.098,train
CS-0825,line_A,49.357,train
CS-0826,line_B,53.381,test
CS-0827,line_A,51.585,train
CS-0828,line_A,51.675,test
CS-0829,line_A,47.488,train
CS-0830,line_B,69.871,test
CS-0831,line_A,47.65,train
CS-0832,line_A,53.126,train
CS-0833,line_A,39.004,train
CS-0834,line_B,61.495,test
CS-0835,line_A,44.549,train
CS-0836,line_A,44.036,train
CS-0837,line_B,56.198,train
CS-0838,line_B,59.442,train
CS-0839,line_A,43.073,train
CS-0840,line_A,57.566,train
CS-0841,line_A,55.549,train
CS-0842,line_A,41.148,train
CS-0843,line_A,40.889,train
CS-0844,line_B,60.623,train
CS-0845,line_A,43.163,train
CS-0846,line_A,43.503,train
CS-0847,line_A,46.361,test
CS-0848,line_A,51.039,test
CS-0849,line_B,60.049,test
CS-0850,line_B,64.041,train
CS-0851,line_B,60.46,train
CS-0852,line_A,49.706,test
CS-0853,line_B,63.651,test
CS-0854,line_A,56.659,test
CS-0855,line_A,39.426,train
CS-0856,line_B,63.766,train
CS-0857,line_A,55.796,train
CS-0858,line_A,43.713,train
CS-0859,line_B,56.022,train
CS-0860,line_B,55.734,train
CS-0861,line_B,63.733,train
CS-0862,line_A,50.399,test
CS-0863,line_A,54.126,train
CS-0864,line_B,56.649,train
CS-0865,line_A,45.404,train
CS-0866,line_A,44.461,train
CS-0867,line_A,51.816,train
CS-0868,line_A,44.666,train
CS-0869,line_A,43.026,test
CS-0870,line_A,54.12,test
CS-0871,line_A,40.837,test
CS-0872,line_A,44.913,train
