reading_id,outside_temp_c,hour,door_open_minutes,pallet_load_kg,humidity_pct,compressor_age_months,cooling_energy_kwh
CS-0095,28.6,5,6.1,,74.3,38,56.87
CS-0096,15.1,11,4.1,1718.9,52.6,31,52.12
CS-0097,33.0,6,7.5,1847.0,79.2,41,69.17
CS-0098,26.7,17,7.1,1773.8,46.9,70,56.28
CS-0099,2.0,5,3.4,521.7,57.2,87,39.19
CS-0100,28.0,15,1.1,,63.9,25,54.41
CS-0101,32.4,6,8.1,1015.8,41.4,65,60.18
CS-0102,31.4,6,,717.5,61.6,88,70.48
CS-0103,36.0,2,,381.4,45.8,84,76.27
CS-0104,23.9,13,3.7,1019.4,54.7,24,49.22
CS-0105,21.6,0,2.4,881.0,59.3,45,46.65
CS-0106,23.4,15,5.0,292.8,48.2,88,58.1
CS-0107,9.2,14,7.4,394.4,54.8,2,38.8
CS-0108,30.7,21,3.6,,62.8,88,69.25
CS-0109,17.1,15,2.6,439.4,62.1,110,47.45
CS-0110,39.2,19,5.0,593.5,50.4,26,62.92
CS-0111,30.4,7,9.3,940.2,52.0,2,54.81
CS-0112,36.6,15,6.4,978.3,74.0,85,78.02
CS-0113,24.0,8,4.9,1010.9,,2,53.92
CS-0114,10.6,16,1.6,306.3,60.8,52,41.27
CS-0115,40.5,12,4.7,1163.9,55.7,54,73.6
CS-0116,28.7,10,3.6,204.9,71.4,119,60.61
CS-0117,20.7,8,1.4,975.2,55.4,42,42.27
CS-0118,31.7,16,3.7,370.6,76.0,3,56.46
CS-0119,38.2,18,3.3,670.8,68.3,86,71.65
CS-0120,24.1,0,3.8,715.8,68.0,29,50.76
CS-0121,27.7,2,2.7,775.4,65.9,99,57.19
CS-0122,17.0,4,8.0,378.6,66.7,87,49.3
CS-0123,19.1,23,15.5,635.5,71.2,115,61.13
CS-0124,28.8,6,1.2,1396.1,54.9,107,61.24
CS-0125,27.9,2,10.6,772.8,72.5,97,64.2
CS-0126,22.7,14,9.4,532.8,62.8,78,57.19
CS-0127,20.2,20,6.8,,,32,49.39
CS-0128,38.6,15,3.5,517.5,89.6,103,76.04
CS-0129,21.9,2,6.2,335.0,69.3,108,56.98
CS-0130,28.1,5,4.5,1436.1,73.5,73,59.43
CS-0131,28.0,8,5.7,604.9,50.9,30,51.38
CS-0132,35.0,5,1.7,498.1,69.4,46,57.13
CS-0133,20.9,23,4.2,1002.8,68.2,115,56.73
CS-0134,28.2,20,2.5,1106.5,27.7,68,52.33
CS-0135,26.1,13,4.1,1495.5,51.2,5,54.55
CS-0136,20.1,17,4.8,771.9,53.9,51,53.22
CS-0137,17.7,4,5.7,1153.8,57.5,36,43.68
CS-0138,17.3,7,,775.6,67.0,20,46.95
CS-0139,20.3,22,,937.0,54.6,29,48.95
CS-0140,27.1,12,4.4,752.4,76.9,86,60.12
CS-0141,28.4,9,,,64.8,57,66.15
CS-0142,19.2,17,1.0,,55.4,51,47.44
CS-0143,24.5,16,2.1,636.7,39.9,96,59.23
CS-0144,4.6,20,8.1,688.9,78.8,79,41.99
CS-0145,27.4,6,10.9,526.5,78.1,102,64.85
CS-0146,15.6,14,,825.3,51.8,101,68.93
CS-0147,25.0,2,,727.2,76.5,111,74.29
CS-0148,26.5,20,10.9,170.5,,37,52.88
CS-0149,17.4,14,14.3,1330.8,61.8,111,65.14
CS-0150,14.7,16,6.5,566.8,,85,52.32
CS-0151,31.8,16,3.7,637.4,47.7,2,53.7
CS-0152,9.2,19,2.3,749.7,61.2,98,41.73
CS-0153,32.0,0,4.7,268.5,38.9,84,61.84
CS-0154,19.3,18,4.0,375.3,86.0,15,49.33
CS-0155,13.3,21,1.8,1253.5,,107,47.6
CS-0156,26.5,3,,,53.6,114,65.94
CS-0157,38.4,20,2.9,601.4,83.1,34,64.07
CS-0158,27.5,19,,499.7,43.4,100,64.8
CS-0159,13.2,14,,1705.0,49.9,11,51.51
CS-0160,23.2,7,1.8,431.4,58.9,31,47.11
CS-0161,19.7,14,8.2,383.1,61.4,30,53.27
CS-0162,27.2,20,12.2,631.9,62.9,71,62.25
CS-0163,28.5,23,2.2,1000.9,67.2,50,56.14
CS-0164,13.0,18,1.3,264.2,,44,36.32
CS-0165,12.8,3,8.3,830.6,71.7,54,36.57
CS-0166,23.7,3,2.9,666.2,67.9,112,61.7
CS-0167,29.4,8,11.3,1221.9,72.6,38,61.86
CS-0168,16.8,18,7.2,746.8,75.0,65,49.23
CS-0169,29.3,17,3.6,1665.5,70.9,97,67.36
CS-0170,24.5,8,,465.1,47.0,112,70.49
CS-0171,30.3,3,7.9,1352.2,61.2,23,53.56
CS-0172,15.2,22,3.2,637.5,63.0,99,48.29
CS-0173,25.8,18,2.7,614.0,68.6,112,67.43
CS-0174,21.9,4,12.5,877.3,80.1,7,45.87
CS-0175,15.8,22,1.7,654.3,69.5,6,38.2
CS-0176,19.8,0,4.1,,,48,44.01
CS-0177,10.7,11,2.6,849.3,80.1,85,45.18
CS-0178,21.7,19,,1362.1,68.6,82,60.2
CS-0179,23.7,2,,,49.0,63,58.07
CS-0180,20.1,14,,,66.2,86,63.47
CS-0181,20.1,18,1.3,763.1,46.0,7,46.59
CS-0182,37.4,12,,937.0,,114,88.55
CS-0183,28.4,12,7.1,732.8,49.3,10,53.72
CS-0184,20.7,23,3.3,641.6,,119,52.65
CS-0185,22.8,16,3.8,757.2,83.9,84,53.98
CS-0186,30.4,20,2.3,573.0,71.9,3,53.07
CS-0187,38.2,18,4.4,680.3,48.1,7,63.09
CS-0188,34.2,2,2.1,682.1,68.2,66,60.35
CS-0189,22.1,1,15.4,193.1,39.3,55,55.47
CS-0190,31.7,18,6.6,613.5,,111,68.51
CS-0191,22.4,20,7.1,1181.6,72.7,44,50.71
CS-0192,18.3,22,3.3,901.6,66.1,96,45.89
CS-0193,15.3,8,2.8,505.4,,22,43.24
CS-0194,5.3,13,,1438.2,52.9,112,56.63
CS-0195,8.1,13,6.3,234.3,60.6,46,43.59
CS-0196,17.2,13,4.3,1080.7,67.5,38,50.89
CS-0197,23.7,13,,970.4,,75,68.99
CS-0198,26.3,7,6.7,886.9,59.5,31,54.64
CS-0199,24.6,6,5.4,680.3,56.5,19,44.2
CS-0200,17.1,23,,317.2,79.6,117,54.49
CS-0201,22.0,5,2.1,358.9,63.9,103,50.7
CS-0202,14.8,14,10.9,1067.2,34.3,27,47.39
CS-0203,34.7,18,2.0,667.2,55.2,2,57.58
CS-0204,31.7,17,1.9,536.3,71.8,9,56.31
CS-0205,39.8,6,2.4,1415.5,68.5,57,66.36
CS-0206,34.8,19,,364.0,,117,79.76
CS-0207,23.5,2,6.2,,56.5,101,58.58
CS-0208,19.6,7,3.4,1083.8,45.4,67,49.92
CS-0209,24.1,4,3.8,981.8,66.1,7,45.96
CS-0210,26.1,14,15.6,523.6,87.1,35,64.52
CS-0211,33.1,18,3.1,391.4,45.1,31,59.72
CS-0212,7.2,21,1.8,729.2,,102,41.36
CS-0213,29.8,1,,160.6,73.6,98,72.81
CS-0214,14.7,14,,1011.0,67.2,71,50.78
CS-0215,27.0,15,1.9,558.8,74.6,30,56.14
CS-0216,19.5,4,3.7,381.7,56.7,120,47.77
CS-0217,25.9,18,9.9,261.1,53.5,7,56.48
CS-0218,28.2,18,12.3,1017.3,82.6,95,71.1
CS-0219,37.2,2,5.0,,63.6,91,67.44
CS-0220,35.8,5,11.5,515.9,51.1,75,70.74
CS-0221,2.0,10,4.9,616.6,56.9,112,43.66
CS-0222,27.0,16,5.5,1039.2,77.0,73,66.46
CS-0223,29.2,23,5.8,972.2,61.2,26,54.14
CS-0224,11.8,17,17.1,549.1,60.4,52,54.52
CS-0225,38.3,12,4.4,700.5,,81,77.86
CS-0226,20.1,3,4.3,339.8,69.6,95,56.44
CS-0227,36.5,21,1.7,406.9,38.2,81,58.54
CS-0228,13.0,3,6.6,879.2,53.6,40,34.54
CS-0229,15.3,4,,,92.0,94,54.12
CS-0230,29.8,8,3.3,948.6,41.3,70,59.46
CS-0231,22.3,1,3.3,990.1,56.6,103,50.71
CS-0232,39.9,12,5.0,775.8,41.4,67,73.88
CS-0233,15.1,8,,65.7,55.1,71,56.08
CS-0234,23.0,17,2.4,1534.1,81.4,37,53.2
CS-0235,27.0,18,,1738.6,75.1,7,65.91
CS-0236,17.7,17,16.6,544.9,57.9,63,58.11
CS-0237,27.4,6,4.9,313.9,64.6,35,53.34
CS-0238,26.5,18,5.1,478.7,,72,56.33
CS-0239,28.9,10,4.7,920.7,38.4,98,58.1
CS-0240,34.8,1,6.1,,61.7,110,65.58
CS-0241,28.3,15,1.0,498.3,47.2,45,54.57
CS-0242,16.4,14,11.9,463.7,63.1,60,59.66
CS-0243,27.7,2,11.1,369.1,48.9,30,52.3
CS-0244,26.5,22,3.5,910.3,54.6,77,53.78
CS-0245,15.4,18,2.4,483.3,48.4,18,38.04
CS-0246,20.3,22,2.3,898.4,59.6,12,39.76
CS-0247,27.7,13,11.8,601.4,48.8,100,67.07
CS-0248,17.3,1,3.9,98.7,70.1,114,47.64
CS-0249,12.6,6,2.2,812.7,59.9,67,38.13
CS-0250,2.4,1,4.6,920.7,49.8,23,30.05
CS-0251,24.9,9,11.6,759.6,57.5,97,66.47
CS-0252,26.0,12,1.4,590.6,56.0,101,55.2
CS-0253,11.4,12,2.7,255.7,75.0,88,49.82
CS-0254,33.1,0,1.2,,65.7,89,56.67
CS-0255,27.0,19,5.2,865.0,45.3,36,54.72
CS-0256,28.0,14,2.1,694.0,58.7,79,62.38
CS-0257,9.1,11,3.2,1086.4,,106,49.83
CS-0258,22.0,2,4.8,1152.3,63.7,22,42.8
CS-0259,27.4,2,3.8,,67.3,9,49.39
CS-0260,15.4,19,2.7,583.1,,99,45.96
CS-0261,25.4,13,2.1,773.4,58.0,79,59.15
CS-0262,16.2,21,,,49.9,116,61.01
CS-0263,15.1,17,4.8,358.7,60.7,68,47.93
CS-0264,10.5,2,1.1,944.7,51.2,106,34.75
CS-0265,17.2,20,4.9,1180.2,56.8,58,46.42
CS-0266,28.6,11,6.3,,49.8,72,63.69
CS-0267,16.0,7,1.9,478.0,63.7,70,43.76
CS-0268,13.5,2,3.4,,34.3,78,37.23
CS-0269,38.0,4,3.5,325.3,63.0,13,56.74
CS-0270,25.5,4,,668.9,55.6,16,61.31
CS-0271,27.9,17,1.7,591.5,60.3,22,52.76
CS-0272,20.7,8,5.4,1446.1,,74,57.6
CS-0273,9.4,17,11.4,,,17,42.29
CS-0274,21.4,16,1.4,625.7,48.0,34,48.97
CS-0275,10.3,22,2.3,819.7,53.1,11,32.02
CS-0276,31.5,21,,359.6,80.2,2,68.01
CS-0277,12.3,21,11.5,1139.0,63.4,61,54.91
CS-0278,27.1,5,10.6,118.2,33.0,88,54.35
CS-0279,36.9,17,3.0,860.0,,96,68.54
CS-0280,42.6,0,,844.6,68.0,64,78.34
CS-0281,24.6,17,10.1,614.1,58.7,63,60.22
CS-0282,25.9,12,5.1,1086.1,62.3,109,62.33
CS-0283,36.4,6,4.4,1057.7,,7,54.57
CS-0284,28.7,18,1.5,471.9,71.6,22,53.1
CS-0285,29.2,12,8.1,,55.0,16,58.53
CS-0286,15.2,20,,619.6,74.1,96,58.35
CS-0287,34.8,17,7.3,721.8,53.8,97,71.11
CS-0288,13.6,5,,861.4,60.8,120,56.38
CS-0289,30.6,13,8.7,438.3,61.6,84,72.69
CS-0290,25.6,21,8.7,1276.8,49.0,76,60.23
CS-0291,33.5,21,4.5,323.4,39.2,21,51.17
CS-0292,38.9,0,3.4,1278.1,74.5,8,61.93
CS-0293,31.8,5,9.0,,64.4,34,59.45
CS-0294,21.3,18,5.4,958.8,67.0,29,47.66
CS-0295,25.6,23,10.3,869.4,66.4,113,63.37
CS-0296,38.2,23,7.6,597.7,69.8,108,71.88
CS-0297,31.0,13,1.6,264.7,64.9,23,57.24
CS-0298,30.8,8,3.7,320.7,55.8,2,49.4
CS-0299,39.5,5,6.8,341.7,65.9,77,70.08
CS-0300,38.1,8,1.3,,75.4,40,62.54
CS-0301,24.9,15,3.7,857.4,73.5,94,58.33
CS-0302,40.3,0,3.4,582.9,49.7,89,65.48
CS-0303,14.9,6,,518.1,70.0,33,60.35
CS-0304,18.6,14,7.5,647.4,55.6,12,48.78
CS-0305,38.7,12,6.2,350.3,44.0,114,75.1
CS-0306,16.2,5,4.7,715.7,35.3,73,40.71
CS-0307,30.7,21,1.9,720.6,53.3,104,59.0
CS-0308,25.9,2,2.3,429.6,64.0,63,49.08
CS-0309,20.1,23,9.9,1649.5,59.4,79,56.16
CS-0310,16.5,22,10.1,484.4,63.4,17,42.64
CS-0311,42.7,14,,594.6,67.9,27,73.63
CS-0312,22.0,12,11.4,1278.3,44.9,66,57.37
CS-0313,28.6,15,,395.7,51.4,62,71.19
CS-0314,27.3,19,6.6,768.5,44.1,53,58.59
CS-0315,23.1,1,5.4,364.4,58.6,18,42.99
CS-0316,13.6,1,5.1,553.0,50.5,20,37.06
CS-0317,7.6,23,7.1,,49.2,57,42.85
CS-0318,23.6,8,2.5,1129.9,55.6,72,47.54
CS-0319,40.6,11,1.4,492.8,53.1,69,68.72
CS-0320,13.2,16,6.3,638.4,44.9,35,43.77
CS-0321,22.6,22,6.1,395.4,56.5,104,59.56
CS-0322,15.1,15,4.3,188.7,69.4,88,53.99
CS-0323,24.1,8,3.3,,37.3,6,42.44
CS-0324,22.6,15,7.0,957.3,60.1,8,55.38
CS-0325,25.1,9,4.2,1177.2,57.4,66,58.31
CS-0326,23.9,19,6.1,469.9,87.8,120,61.51
CS-0327,37.5,4,5.2,297.2,40.7,47,55.8
CS-0328,23.0,20,,154.3,69.0,21,59.83
CS-0329,17.4,0,3.6,339.3,59.7,106,48.49
CS-0330,35.7,23,2.8,842.2,52.6,51,62.54
CS-0331,20.1,1,2.9,409.3,65.4,38,39.38
CS-0332,29.8,19,3.0,732.5,71.5,50,61.38
CS-0333,11.7,16,5.6,682.4,56.7,54,41.56
CS-0334,28.5,8,16.6,837.4,61.1,2,59.73
CS-0335,28.7,15,,846.0,69.2,70,75.08
CS-0336,20.5,6,2.8,,63.7,2,36.11
CS-0337,25.7,17,10.7,,,70,64.39
CS-0338,18.9,10,1.2,1624.9,,15,43.76
CS-0339,23.1,4,,765.3,60.9,117,68.51
CS-0340,32.0,19,6.3,,66.8,23,61.13
CS-0341,26.4,15,2.5,596.4,57.7,86,60.07
CS-0342,28.1,15,4.3,1250.3,52.2,21,56.37
CS-0343,18.9,19,3.6,613.4,71.3,6,44.17
CS-0344,18.2,21,7.5,1284.5,62.8,75,50.93
CS-0345,19.6,8,12.4,690.4,56.3,81,55.8
CS-0346,20.3,21,3.4,504.2,53.7,45,48.73
CS-0347,25.8,4,4.2,635.3,,18,47.25
CS-0348,18.4,5,4.0,675.0,68.5,32,42.68
CS-0349,30.8,13,11.3,728.6,53.1,75,65.47
CS-0350,18.2,23,10.9,1242.0,70.3,88,60.24
CS-0351,21.7,21,5.5,728.1,,22,50.51
CS-0352,17.4,2,6.8,1258.9,66.8,4,42.57
CS-0353,22.0,14,3.0,,73.8,106,59.65
CS-0354,21.6,22,,,55.8,6,54.74
CS-0355,21.9,1,4.6,329.8,50.8,85,47.62
CS-0356,29.8,10,6.5,309.9,42.1,32,59.03
CS-0357,28.9,5,2.9,339.1,52.6,74,55.89
CS-0358,30.7,16,7.3,389.6,42.5,5,56.75
CS-0359,16.9,14,6.9,492.7,59.3,36,43.98
CS-0360,20.0,18,6.2,544.3,71.0,100,58.99
CS-0361,29.7,19,0.4,,39.7,94,54.9
CS-0362,23.1,9,4.9,1028.5,69.5,79,52.95
CS-0363,34.6,6,8.5,,63.4,51,63.23
CS-0364,24.0,0,6.8,537.3,57.0,57,49.74
CS-0365,9.8,10,,304.4,65.1,103,53.73
CS-0366,26.5,22,4.7,470.8,72.3,34,54.01
CS-0367,15.9,10,5.0,317.8,48.5,63,45.31
CS-0368,28.7,16,5.1,508.2,75.1,36,56.83
CS-0369,33.1,4,3.0,1487.7,68.7,37,54.57
CS-0370,23.0,16,3.9,456.8,61.9,38,50.48
CS-0371,18.5,23,,237.0,61.0,30,53.88
CS-0372,33.9,3,13.3,,25.0,13,56.54
CS-0373,23.7,12,,739.7,43.0,58,66.1
CS-0374,18.2,16,3.1,397.2,57.4,36,47.95
CS-0375,25.6,20,13.6,802.2,71.8,18,56.7
CS-0376,14.2,18,3.5,717.2,64.2,16,40.9
CS-0377,34.0,16,4.6,577.9,69.8,14,62.72
CS-0378,13.6,2,,804.3,47.0,27,41.71
CS-0379,25.7,2,7.9,,,3,54.31
CS-0380,16.3,23,13.5,850.7,69.5,71,53.49
CS-0381,33.7,15,4.8,783.3,54.6,31,62.76
CS-0382,18.6,13,3.7,2600.0,67.2,9,51.26
CS-0383,27.8,12,8.8,263.8,,110,68.83
CS-0384,29.5,1,10.8,,60.8,8,54.32
CS-0385,25.9,16,,856.9,65.2,112,72.26
CS-0386,18.6,12,6.3,136.5,36.7,62,51.11
CS-0387,17.8,0,3.0,526.1,,20,38.34
CS-0388,30.5,7,3.9,108.7,,60,55.6
CS-0389,23.6,21,2.6,,63.3,41,44.16
CS-0390,27.7,19,8.0,882.6,70.9,10,56.75
CS-0391,26.8,4,5.1,243.0,51.8,56,52.02
CS-0392,25.5,4,2.0,543.6,66.6,33,45.93
CS-0393,30.7,13,5.2,916.9,67.2,9,56.28
CS-0394,21.1,14,7.5,463.1,68.5,94,61.86
CS-0395,29.9,7,9.1,1562.2,,115,63.84
CS-0396,22.7,17,8.7,541.8,54.9,102,61.29
CS-0397,29.7,12,9.9,844.8,73.7,92,70.99
CS-0398,34.0,8,4.4,541.9,65.7,81,63.62
CS-0399,29.8,4,4.0,1392.1,57.6,101,64.73
CS-0400,16.3,18,1.2,1174.9,38.3,79,49.93
CS-0401,13.2,10,,885.2,,98,65.58
CS-0402,15.6,18,,961.4,51.3,117,57.52
CS-0403,27.7,7,4.4,674.6,58.8,116,65.27
CS-0404,29.0,13,8.8,,55.1,115,65.54
CS-0405,38.4,22,7.9,959.8,64.3,70,71.77
CS-0406,19.6,14,3.4,955.4,53.5,43,51.53
CS-0407,20.8,6,3.5,250.4,,33,52.7
CS-0408,30.1,16,7.4,1103.7,47.4,3,57.38
CS-0409,28.4,23,,1065.8,55.3,63,62.5
CS-0410,20.9,8,,571.6,71.5,69,59.0
CS-0411,13.5,2,9.3,934.1,39.9,34,39.08
CS-0412,17.7,2,7.2,480.1,,99,49.09
CS-0413,22.7,14,4.5,567.9,70.3,101,58.24
CS-0414,25.1,0,13.9,1289.8,48.0,106,59.39
CS-0415,22.8,8,4.2,555.7,63.3,17,41.84
CS-0416,19.8,4,2.5,634.6,64.3,81,45.58
CS-0417,22.5,23,4.8,251.3,62.3,89,52.37
CS-0418,19.7,15,8.9,1201.1,60.2,74,52.97
CS-0419,24.7,23,5.3,425.5,48.4,4,43.91
CS-0420,35.9,2,,,57.9,111,75.7
CS-0421,27.5,1,5.4,1108.2,40.2,60,51.5
CS-0422,16.0,4,6.1,50.4,66.5,20,34.87
CS-0423,27.9,23,7.8,682.7,71.0,98,59.31
CS-0424,17.3,14,2.9,2191.1,,46,47.46
CS-0425,14.0,15,5.8,331.4,57.0,19,46.22
CS-0426,28.3,23,14.4,626.8,76.2,55,61.85
CS-0427,29.1,23,5.6,861.8,,18,54.29
CS-0428,15.1,9,4.3,506.0,49.2,29,39.94
CS-0429,32.2,4,12.4,801.3,51.9,110,69.32
CS-0430,27.9,14,4.1,268.0,44.0,69,56.17
CS-0431,17.3,3,1.9,588.4,53.2,118,47.47
CS-0432,17.0,2,7.0,1191.6,54.0,92,44.94
CS-0433,29.1,2,3.1,622.4,65.6,28,45.71
CS-0434,19.6,7,2.9,254.1,54.5,96,50.09
CS-0435,21.8,1,6.3,380.2,56.5,65,47.77
CS-0436,15.3,0,6.6,650.0,62.6,21,43.85
CS-0437,23.3,12,8.6,659.7,56.1,94,58.32
CS-0438,9.5,23,4.8,689.6,,26,32.38
CS-0439,21.4,12,9.1,562.8,72.6,79,54.18
CS-0440,31.3,14,4.3,663.6,49.3,41,56.33
CS-0441,6.8,8,3.3,201.1,53.6,68,34.09
CS-0442,27.3,15,5.5,121.9,,104,69.58
CS-0443,21.3,1,2.4,318.7,55.1,72,46.62
CS-0444,40.7,0,6.3,945.6,51.6,62,67.75
CS-0445,23.2,1,6.7,267.4,,118,56.05
CS-0446,20.0,22,7.7,846.5,63.0,54,50.63
CS-0447,13.0,8,,776.6,56.7,89,52.02
CS-0448,10.6,14,2.1,1983.9,41.1,34,39.44
CS-0449,22.5,17,,998.8,64.0,79,63.87
CS-0450,26.8,1,3.1,747.6,78.8,25,50.53
CS-0451,20.5,15,5.5,1460.7,54.8,18,47.94
CS-0452,20.6,20,5.7,966.4,70.0,35,48.27
CS-0453,18.6,5,5.6,225.3,,85,48.8
CS-0454,11.2,11,9.1,1353.2,51.6,41,44.63
CS-0455,25.2,21,2.4,282.7,,105,55.12
CS-0456,26.6,19,4.5,,52.8,36,49.91
CS-0457,11.0,2,6.8,635.3,70.5,12,34.7
CS-0458,26.6,10,1.7,,52.5,50,53.87
CS-0459,11.2,22,8.5,1297.7,,96,49.55
CS-0460,40.5,14,4.9,,65.7,55,71.65
CS-0461,16.7,7,8.9,426.1,68.8,98,49.83
CS-0462,38.0,2,5.4,1449.9,64.9,17,58.3
CS-0463,24.3,16,1.6,721.2,48.8,84,56.86
CS-0464,27.2,14,2.6,969.5,66.3,25,59.52
CS-0465,25.8,18,3.5,656.4,71.0,23,52.12
CS-0466,29.5,15,2.7,334.5,60.3,118,62.28
CS-0467,21.1,12,0.8,895.1,47.4,11,47.07
CS-0468,18.3,4,21.6,2149.2,35.5,91,65.78
CS-0469,21.2,8,5.9,1006.6,56.0,16,48.62
CS-0470,25.3,0,7.1,1586.3,63.0,92,56.68
CS-0471,22.8,8,7.5,830.6,72.2,77,54.69
CS-0472,34.5,7,0.6,715.8,46.4,8,51.75
CS-0473,24.8,19,3.0,1746.2,60.7,49,55.82
CS-0474,19.3,9,,1737.3,,76,62.3
CS-0475,32.4,14,15.4,1129.8,52.4,54,67.62
CS-0476,13.0,12,,,60.0,98,56.16
