motor_temperature_c,vibration_mm_s,belt_speed_m_min,load_kg,hours_since_service,failed_inspection
92.8,2.24,36.7,271.7,90,0
73.7,2.27,43.5,323.6,750,1
70.0,1.48,41.8,353.3,232,0
55.7,4.46,48.5,506.4,680,1
65.5,2.02,39.7,244.2,101,0
61.3,1.27,38.0,339.9,233,0
49.3,1.91,46.5,148.6,634,0
73.5,3.25,36.9,175.9,828,0
67.4,3.24,43.5,400.0,793,1
60.7,2.96,51.3,344.6,153,0
53.0,1.85,39.1,407.6,608,0
72.4,2.17,30.7,316.2,814,0
81.5,2.75,36.6,265.0,473,0
69.0,1.31,48.3,271.5,305,0
62.9,2.8,35.9,238.2,598,0
74.1,1.2,26.3,342.0,449,0
58.2,1.74,50.3,432.6,411,0
46.2,2.25,42.2,353.1,152,0
85.1,2.68,41.3,326.7,232,0
84.9,2.91,51.5,127.1,291,0
65.0,4.19,38.3,385.7,598,0
68.7,1.28,55.4,356.1,761,0
84.7,3.74,47.4,192.7,530,1
57.0,0.94,41.3,340.4,361,0
69.2,2.46,47.4,231.1,400,0
76.7,3.59,47.2,276.5,526,0
85.4,1.44,45.4,301.0,604,0
60.0,3.03,36.7,373.0,825,0
59.8,1.68,47.3,279.7,198,0
69.9,4.77,43.3,323.9,57,0
62.2,2.49,50.6,268.5,511,0
83.5,4.19,47.4,272.3,399,0
60.5,2.64,43.1,373.3,541,0
69.9,1.12,52.8,363.4,807,0
69.7,2.76,40.4,220.6,577,0
65.3,0.56,49.5,219.9,597,0
51.2,4.39,54.2,285.0,503,0
81.2,2.92,51.1,302.1,234,0
70.0,2.31,35.8,392.6,181,0
74.8,3.08,44.5,172.0,606,0
73.9,2.66,37.9,246.8,446,0
62.4,1.22,40.9,155.7,323,0
63.6,0.57,48.6,223.9,394,0
63.6,4.21,36.6,239.4,723,0
79.6,1.96,51.4,322.4,879,1
62.8,3.31,56.1,398.1,34,0
45.5,2.12,46.2,207.7,318,0
64.8,3.68,48.9,207.6,741,1
58.8,3.62,42.5,399.6,760,0
77.3,1.32,54.7,262.9,148,0
61.4,2.11,29.1,286.2,276,0
72.0,7.56,36.0,216.4,821,1
67.4,1.66,65.0,396.7,92,0
69.7,0.92,50.7,376.6,470,0
59.0,0.67,43.5,200.2,394,0
63.3,3.08,41.0,237.9,409,0
67.2,1.02,47.6,287.0,757,0
72.4,5.13,54.4,211.0,540,0
71.8,3.19,42.6,305.2,856,0
56.1,4.33,52.4,308.7,517,0
64.7,2.48,31.7,326.8,695,0
77.5,2.01,48.5,205.3,561,0
74.8,2.27,45.6,221.9,336,0
62.3,0.44,44.7,374.2,773,0
62.8,2.48,58.1,191.2,202,0
83.4,3.4,39.9,352.4,813,1
75.0,1.74,50.7,284.8,625,0
50.8,2.58,58.8,427.4,298,0
88.8,0.8,53.0,221.4,590,0
74.8,0.56,40.5,248.3,425,0
70.6,5.41,50.5,316.1,57,0
63.0,0.42,33.9,360.8,667,0
57.0,5.71,49.8,348.5,106,0
61.5,1.49,52.0,209.2,555,0
60.0,1.9,44.2,230.4,560,0
56.3,5.05,38.7,217.6,44,0
47.5,1.27,43.8,258.5,743,0
81.8,2.01,40.7,192.7,316,0
81.2,2.72,39.2,211.5,564,0
73.7,3.55,46.6,370.3,320,0
69.2,2.88,44.5,283.9,775,1
61.6,4.59,45.5,373.1,841,1
63.2,1.23,44.2,226.8,519,0
67.4,3.16,51.4,218.8,346,0
59.0,1.33,46.0,258.1,331,0
70.8,3.06,51.4,433.7,761,0
67.4,2.54,43.7,392.6,118,0
64.6,0.75,25.7,250.8,309,0
69.7,2.49,50.7,492.3,549,0
68.6,4.67,41.2,328.8,704,0
77.6,0.79,48.8,328.9,718,1
65.4,2.37,42.2,275.7,619,0
58.1,2.18,45.6,224.5,245,0
71.1,2.98,49.8,375.0,51,0
80.9,3.65,36.2,184.8,153,0
86.4,2.29,65.0,413.6,181,0
77.2,2.29,39.9,372.0,381,0
55.5,1.93,48.7,283.2,605,0
60.8,3.62,53.4,276.7,833,0
52.9,1.73,46.2,317.8,265,0
69.3,0.77,56.2,345.9,402,0
66.5,1.91,53.0,304.9,231,0
58.1,2.09,44.8,294.5,850,1
84.0,1.82,47.8,318.7,420,0
77.3,4.43,41.7,281.2,470,0
64.5,4.92,34.5,187.8,387,0
77.2,1.23,36.9,280.4,374,0
48.1,2.75,51.8,320.8,504,0
73.2,2.42,42.2,320.8,820,0
70.3,0.45,42.8,226.6,697,1
91.1,0.64,45.4,336.5,526,0
82.1,2.63,44.4,310.1,85,0
75.3,5.08,33.7,435.3,334,0
65.9,3.12,42.9,279.4,793,1
64.8,2.63,40.7,290.7,815,1
72.5,2.23,43.7,365.8,860,1
67.2,1.07,36.1,367.8,896,0
62.3,4.39,46.7,391.9,819,0
82.0,7.23,57.5,244.0,591,1
64.4,6.11,58.0,434.3,84,0
51.6,3.5,39.2,313.2,814,0
72.6,1.13,35.7,282.5,191,0
63.5,2.17,55.0,321.4,119,0
70.6,1.9,44.8,441.8,541,0
77.5,1.49,41.3,221.1,355,0
56.2,3.08,49.8,358.5,206,0
50.2,5.04,38.5,318.8,90,0
58.3,6.15,40.8,178.2,583,0
76.1,5.16,35.8,322.4,793,0
86.0,3.6,28.3,274.8,41,0
84.0,1.28,48.7,317.9,101,0
64.1,4.67,40.2,222.1,307,0
67.9,1.08,46.0,192.3,498,0
72.3,0.27,30.0,483.9,801,0
60.5,3.26,48.5,286.3,876,0
68.2,1.23,45.0,163.5,768,0
66.3,3.69,48.3,431.5,771,1
79.4,0.96,57.5,423.2,564,1
63.7,1.44,37.0,226.3,274,0
86.9,3.27,36.6,249.4,147,0
76.6,3.14,39.7,390.0,555,0
69.7,4.16,44.9,239.3,156,0
51.8,3.89,41.5,320.4,161,0
70.2,2.19,35.6,358.6,111,0
69.0,6.4,41.8,238.0,645,0
82.1,0.95,33.6,285.5,76,0
71.9,3.64,41.1,413.6,867,0
90.2,2.82,34.5,345.2,623,0
67.3,1.97,43.2,223.5,110,0
51.7,1.2,48.0,220.0,809,0
73.9,1.06,49.2,340.3,797,1
54.7,3.52,47.4,194.6,656,0
69.3,1.72,49.8,235.0,121,0
61.2,3.97,49.0,253.6,835,0
79.9,1.14,35.6,261.1,262,0
59.5,1.29,47.7,79.8,453,0
76.2,0.89,41.6,219.1,96,0
51.0,2.88,36.6,269.6,595,0
78.4,4.16,40.4,412.2,218,0
56.9,2.19,43.1,275.4,515,0
71.3,4.76,42.7,290.6,834,1
79.3,2.39,46.3,422.2,76,0
63.6,2.4,45.9,390.0,605,0
67.2,1.12,40.3,328.2,588,0
81.3,0.72,51.1,322.1,734,0
69.8,2.52,27.2,325.1,118,0
69.3,1.6,42.0,242.6,684,0
81.5,2.54,39.9,370.7,251,0
73.5,5.27,42.9,276.1,585,1
67.6,1.99,46.5,157.1,77,0
72.1,2.24,36.8,333.3,203,0
46.8,4.4,31.2,235.9,550,0
41.9,1.73,34.4,268.6,129,0
58.4,0.8,52.8,376.1,460,0
73.4,0.56,35.8,216.2,418,0
59.1,2.52,42.6,492.8,156,0
62.5,0.53,35.0,366.2,704,0
71.0,6.6,52.9,162.8,212,0
75.2,3.87,32.7,271.4,585,1
74.6,1.27,56.6,404.1,600,0
62.5,1.17,53.2,281.2,565,0
73.4,1.67,45.3,252.9,29,0
66.4,7.34,36.6,393.5,449,0
69.6,1.33,54.7,130.0,138,0
80.2,3.37,45.1,351.0,491,0
93.8,6.91,27.3,323.4,680,1
50.4,8.14,42.1,136.8,142,0
61.7,0.52,44.4,498.3,684,0
52.4,3.61,51.0,559.0,90,0
57.1,1.55,37.4,243.5,354,0
81.4,2.05,44.8,290.5,373,0
95.1,4.82,38.3,193.9,39,0
78.6,1.78,47.3,276.3,492,0
62.6,0.24,47.3,346.3,402,0
52.0,2.67,58.9,337.0,193,0
48.7,1.11,46.0,308.7,506,0
80.3,2.81,35.7,305.1,857,1
77.8,1.57,56.3,360.3,198,0
65.3,0.68,38.2,314.6,114,0
81.1,3.62,43.0,416.3,638,1
75.0,2.0,40.8,251.8,820,0
79.7,3.58,43.1,326.2,360,0
64.8,2.44,48.4,525.9,379,0
82.6,1.22,42.5,273.9,152,0
54.1,2.92,48.5,290.2,524,0
72.3,1.09,38.2,454.6,517,0
83.4,1.86,44.2,448.6,497,0
64.8,1.17,44.7,327.7,264,0
72.5,0.23,48.4,259.8,876,1
70.9,1.3,51.7,413.0,417,0
65.8,4.32,39.5,328.3,23,0
61.1,0.6,57.3,392.2,297,0
58.4,4.23,46.3,254.4,59,0
67.2,1.02,56.4,414.3,523,0
92.9,6.09,38.5,310.3,6,0
64.5,2.56,53.3,378.6,196,0
64.6,0.82,42.0,243.1,687,0
80.1,6.42,41.7,461.4,428,0
42.5,2.13,49.1,196.8,392,0
57.8,1.09,42.5,303.2,492,0
62.8,1.37,49.3,362.1,335,0
69.6,3.39,45.1,302.1,33,0
62.4,1.51,38.2,384.5,650,0
65.2,2.52,36.2,331.2,291,0
61.1,2.61,41.4,289.2,556,0
63.2,1.53,47.4,320.3,186,0
68.4,3.12,34.1,143.8,141,0
55.7,4.26,29.6,246.2,598,0
85.7,1.69,41.2,370.4,371,0
47.8,2.08,38.4,253.5,847,0
76.8,1.39,51.8,245.8,888,1
76.4,2.38,33.9,361.0,774,0
68.8,1.56,50.5,327.1,445,0
74.9,3.17,35.7,221.7,740,0
53.2,2.82,56.4,303.4,548,0
77.8,5.13,49.5,190.3,757,0
69.4,4.53,45.9,392.9,103,0
73.5,0.17,41.5,354.4,710,0
77.4,1.6,47.8,196.2,617,0
75.5,3.93,60.1,363.2,491,0
82.6,2.6,47.8,457.9,104,0
72.9,4.22,41.2,427.9,63,0
82.0,3.99,49.6,369.0,638,0
58.2,0.98,49.8,363.0,756,0
78.7,0.98,57.2,355.6,608,0
50.7,4.71,35.5,289.1,707,0
62.4,2.6,34.0,211.2,770,0
38.0,2.92,43.3,408.1,234,0
67.7,2.44,36.6,241.1,131,0
84.6,3.37,48.2,241.9,48,0
49.2,5.6,37.5,257.0,415,0
60.0,1.84,36.6,274.7,659,0
63.2,2.16,53.8,310.4,354,0
59.0,2.51,43.4,350.3,193,0
83.2,2.53,42.6,384.1,587,0
55.1,3.31,48.0,257.6,74,0
90.9,2.04,48.1,267.5,153,0
81.2,0.98,38.6,258.0,814,1
65.0,2.83,38.3,403.2,139,0
84.8,2.14,33.3,258.7,811,1
71.1,4.76,41.6,329.5,624,0
63.3,1.37,46.5,101.8,368,0
68.8,5.93,36.4,303.4,397,0
79.1,1.77,39.9,265.0,260,0
67.9,5.05,42.9,343.5,632,0
66.1,2.89,50.4,283.2,803,1
66.0,1.59,47.3,338.9,669,0
59.7,2.38,44.4,212.2,396,0
73.5,2.63,43.5,323.6,74,0
69.3,1.98,47.7,366.9,789,1
58.2,0.36,44.6,406.6,152,0
64.0,0.95,45.5,460.2,707,0
66.8,6.73,52.1,276.0,843,1
53.2,6.15,40.0,530.6,420,0
70.5,1.58,53.0,467.8,222,0
61.0,2.05,51.7,371.1,695,0
73.9,2.76,47.4,387.4,261,0
61.1,4.28,36.4,171.2,115,0
70.7,4.69,33.9,293.0,838,1
67.1,1.93,48.6,268.4,752,1
68.6,1.58,39.7,376.7,776,0
71.0,1.61,59.5,424.0,277,0
79.4,7.24,36.7,356.5,10,0
74.8,2.21,30.6,533.3,37,0
64.4,0.82,35.6,299.8,465,0
59.1,2.04,42.0,175.5,107,0
87.7,3.2,46.6,304.6,671,1
65.0,4.7,42.5,240.9,130,0
63.9,0.78,32.5,325.3,679,0
54.7,3.43,34.3,118.1,498,0
64.4,1.8,37.0,232.6,794,1
48.9,4.6,42.2,94.6,54,0
63.8,6.86,61.5,328.9,789,0
72.4,4.96,51.3,202.4,130,0
64.6,1.13,36.5,361.2,184,0
89.2,3.06,48.2,429.2,746,1
74.4,2.66,37.6,476.4,520,0
84.7,7.31,47.3,350.7,638,1
57.6,4.17,43.7,355.2,886,1
55.3,1.48,41.9,304.0,837,0
56.8,1.52,56.7,284.1,142,0
73.7,1.0,48.4,388.8,8,0
53.2,5.34,61.8,314.7,294,0
70.7,6.74,44.6,196.3,281,0
64.6,1.89,60.6,435.5,582,0
78.5,0.33,49.9,442.8,635,0
61.1,3.01,36.5,276.7,776,0
63.3,1.94,44.5,413.4,203,0
77.5,2.43,41.4,153.2,818,1
49.7,0.5,41.3,241.9,732,0
72.3,2.73,46.7,320.9,32,0
69.5,2.02,54.8,247.0,342,0
64.4,1.92,42.6,276.8,883,1
66.0,2.83,50.1,394.7,159,0
78.9,2.01,50.8,272.5,710,1
78.8,4.64,49.5,239.4,851,1
80.3,2.65,37.4,362.3,25,0
80.2,3.59,46.0,363.8,845,1
62.1,4.67,53.1,442.8,513,0
75.7,1.51,35.2,337.8,43,0
69.3,0.85,42.3,320.3,614,0
90.2,3.24,26.8,331.3,582,1
76.3,8.54,38.1,273.6,403,0
71.5,1.85,47.3,292.9,741,0
57.5,2.03,45.6,351.6,668,0
73.9,1.24,40.0,367.5,789,0
72.5,2.12,35.7,361.2,742,0
66.5,3.99,48.8,380.1,590,0
50.3,6.57,49.5,264.2,622,1
68.9,1.14,46.7,317.0,103,0
84.8,2.34,50.1,306.5,352,0
68.1,3.98,54.7,331.2,511,0
68.9,2.58,37.3,325.0,82,0
71.8,1.52,48.4,224.3,193,0
78.4,4.79,46.4,268.4,882,1
68.1,5.23,44.5,311.8,23,0
71.5,1.2,50.5,297.3,791,1
45.2,0.86,37.4,224.7,518,0
59.1,1.86,45.6,325.0,494,0
53.6,3.13,42.3,228.1,651,0
76.1,5.22,40.6,165.2,244,0
65.3,0.83,52.8,251.6,65,0
72.8,2.98,46.3,372.5,895,0
42.7,0.22,39.6,282.8,154,0
51.4,1.45,49.8,158.4,845,0
65.9,6.05,53.4,338.7,645,0
71.3,1.94,44.2,440.5,20,0
84.9,2.87,40.0,447.4,363,0
78.3,5.45,49.5,286.1,625,1
58.7,1.31,42.7,311.3,584,0
55.1,2.73,54.3,290.6,52,0
50.3,0.94,49.1,275.2,284,0
83.3,1.51,44.5,153.4,897,1
75.5,0.79,48.9,117.4,499,0
66.7,3.85,51.8,370.7,608,0
79.5,1.65,41.4,311.4,215,0
70.4,2.95,48.9,261.8,756,0
57.9,1.78,51.4,274.9,705,0
85.2,5.73,42.4,312.9,256,0
47.5,0.8,47.2,396.9,649,0
75.9,5.12,49.5,362.7,642,0
68.1,4.06,47.6,225.2,498,0
60.9,2.38,46.1,198.8,235,0
74.0,2.27,41.5,342.7,53,0
56.3,3.95,42.4,320.7,830,1
85.9,4.34,51.1,288.8,567,1
67.5,1.55,53.8,136.0,871,1
46.1,1.81,38.1,309.6,520,0
63.1,2.06,48.7,360.2,384,0
70.5,3.3,36.9,312.3,507,0
61.8,4.99,47.3,136.0,611,0
59.4,1.24,38.4,210.3,274,0
64.8,0.34,41.9,343.3,111,0
70.3,0.96,52.1,342.1,418,0
78.2,3.2,34.6,334.0,832,1
73.7,3.16,46.5,368.1,55,0
73.0,0.93,34.5,225.4,193,0
69.7,1.07,42.4,197.9,115,0
79.9,0.85,49.5,327.6,779,1
71.6,1.39,39.5,266.4,391,0
58.5,1.26,35.9,140.3,745,0
82.8,4.07,50.4,330.6,845,1
71.3,2.21,33.7,453.2,798,1
63.5,4.36,35.2,280.0,638,0
77.3,2.37,43.6,195.6,380,0
74.2,4.09,39.0,226.5,14,0
66.3,7.53,40.7,249.0,15,0
55.0,0.9,35.8,445.5,84,0
69.7,3.42,52.8,409.8,357,0
67.3,2.81,42.7,268.3,482,0
62.9,1.46,56.6,172.6,635,0
62.3,1.75,45.7,359.0,842,0
67.6,3.85,40.2,272.1,503,0
70.1,3.07,58.8,376.0,742,0
76.2,4.84,47.1,286.6,628,1
67.2,2.3,28.5,278.2,877,1
55.0,2.09,50.0,234.7,811,1
63.6,1.79,44.5,265.8,620,0
66.4,1.6,37.0,384.7,739,0
65.6,2.23,46.3,197.8,455,0
59.8,3.79,50.2,371.1,583,0
85.2,0.94,49.7,455.7,366,0
61.1,2.07,47.9,303.0,854,1
51.9,0.15,49.3,560.0,584,0
53.2,2.42,39.0,220.3,313,0
70.6,0.65,36.5,356.5,587,0
54.0,3.52,30.9,290.8,422,0
69.1,3.57,40.8,335.6,391,0
68.1,1.63,43.3,229.5,46,0
61.7,1.02,48.1,283.7,191,0
64.5,2.65,58.7,319.6,770,0
73.3,2.12,32.9,265.0,399,0
64.9,3.63,42.2,367.0,8,0
70.5,2.34,45.6,233.8,640,0
50.3,0.58,42.9,282.3,259,0
80.7,1.08,48.0,276.9,337,0
44.5,0.93,47.4,173.9,273,0
82.8,2.6,44.7,270.8,621,1
78.1,1.77,50.4,311.7,415,0
80.2,2.06,41.1,208.2,500,0
64.4,1.42,51.2,273.1,30,0
69.4,3.24,51.0,182.9,874,1
55.2,1.52,60.3,258.0,39,0
67.2,0.39,48.4,350.5,543,0
63.1,1.97,43.3,402.3,244,0
69.4,1.98,46.4,372.7,516,0
67.1,0.49,33.2,220.6,711,0
73.0,0.69,35.9,325.1,884,1
67.7,0.61,60.0,366.0,530,0
76.9,2.37,38.8,308.0,890,1
59.8,5.53,46.1,257.2,133,0
73.6,1.03,49.3,250.8,712,0
80.6,2.36,44.8,369.4,399,0
78.1,2.35,44.6,343.4,227,0
65.3,2.85,39.4,263.5,634,0
72.6,2.68,35.5,417.6,678,0
61.2,2.14,49.4,471.1,496,0
70.3,5.32,45.2,115.0,752,1
63.2,2.37,44.7,288.5,49,0
63.6,0.63,47.9,369.1,45,0
77.1,1.04,54.5,329.7,553,0
64.3,1.34,26.8,342.2,587,0
84.6,3.48,38.8,278.4,277,0
76.4,2.38,50.8,346.6,84,0
55.1,3.66,45.6,310.9,743,0
91.9,5.31,46.7,329.5,36,0
65.5,0.41,42.9,372.4,366,0
58.8,1.72,43.5,298.6,574,0
63.1,0.65,54.5,417.1,290,0
63.8,3.2,51.9,286.8,87,0
66.7,1.37,35.6,291.4,638,0
66.4,4.0,47.0,285.6,264,0
75.0,2.87,35.7,250.6,547,0
71.5,0.33,49.1,325.4,723,0
57.0,1.39,41.0,384.7,738,0
57.2,0.65,46.2,272.6,744,0
48.8,4.41,29.7,310.3,182,0
76.8,7.2,49.3,300.4,617,0
57.6,1.45,37.0,352.9,28,0
68.9,1.16,33.3,282.9,178,0
66.9,3.85,26.3,360.8,457,0
59.0,2.63,45.2,261.6,417,0
69.3,4.51,42.7,230.4,20,0
64.7,2.39,38.7,123.8,897,1
59.4,1.19,43.3,398.8,384,0
72.9,1.14,35.5,331.8,431,0
60.2,1.01,38.9,230.5,22,0
68.4,2.07,44.7,274.4,663,0
72.2,2.27,41.8,287.7,27,0
84.0,1.83,43.5,181.0,798,1
66.1,1.45,36.5,85.0,865,0
64.8,0.83,52.9,143.6,242,0
69.4,0.89,47.4,364.8,898,1
56.8,0.27,41.4,494.1,108,0
78.8,0.18,32.3,243.0,463,0
64.2,0.62,46.2,417.3,248,0
63.7,0.59,42.9,346.6,216,0
72.4,1.2,35.2,287.8,283,0
53.9,1.88,47.8,403.9,752,1
56.9,1.64,56.8,345.4,62,0
73.3,9.5,41.0,338.3,569,1
84.6,6.64,44.8,222.4,302,0
47.9,5.84,40.0,324.1,82,0
68.5,1.78,45.4,338.2,387,0
79.3,3.88,44.2,483.9,11,0
65.6,1.59,59.7,484.0,781,1
66.3,0.15,46.3,357.2,421,0
78.1,3.91,43.8,383.1,880,1
73.8,2.73,53.2,306.7,717,1
70.6,0.54,41.2,235.3,637,0
53.7,0.31,37.2,120.5,636,0
68.1,4.24,41.8,327.1,696,0
74.6,1.68,36.2,312.0,133,0
64.6,1.36,40.2,344.3,562,0
66.0,0.6,35.5,335.3,433,0
62.7,0.2,47.0,249.6,803,0
67.7,0.92,53.5,387.4,786,0
61.4,2.36,39.5,417.5,792,0
73.4,1.07,35.8,204.9,160,0
71.6,4.97,40.8,257.5,785,0
73.4,3.64,54.1,197.4,129,0
58.2,4.91,54.9,268.2,561,0
49.8,4.71,47.7,366.9,463,0
74.4,3.56,40.8,456.5,733,0
58.1,0.32,51.5,504.2,872,0
75.0,1.46,46.2,371.6,384,0
72.9,1.6,57.0,328.8,157,0
67.9,1.37,42.1,402.2,308,0
48.1,1.87,45.3,214.1,258,0
71.2,1.26,39.9,250.8,198,0
70.1,3.86,44.3,250.7,321,0
87.6,2.43,38.2,337.9,111,0
74.7,2.24,43.2,435.7,291,0
65.4,0.15,38.6,131.6,867,0
52.0,5.13,55.5,303.8,209,0
80.3,1.23,48.4,505.9,410,0
57.6,2.64,45.0,506.5,205,0
62.1,3.74,42.5,135.4,778,0
71.5,2.8,54.0,271.8,661,0
66.5,2.19,42.7,303.4,109,0
77.2,2.13,50.9,314.0,797,1
65.7,4.23,43.5,157.9,697,1
77.6,3.75,37.2,324.0,493,0
74.4,2.61,48.0,356.7,788,1
55.8,6.2,36.0,448.7,386,0
55.0,2.02,51.3,404.9,684,0
69.4,5.54,40.4,292.3,15,0
75.4,0.15,43.0,336.3,736,0
83.9,3.67,40.8,218.9,500,0
59.7,3.39,38.4,326.6,216,0
57.4,2.19,44.4,261.9,252,0
78.9,4.63,46.7,336.7,554,1
66.6,1.42,53.3,267.6,887,0
75.8,0.58,31.5,284.6,782,0
57.7,0.45,47.5,91.6,538,0
80.6,1.33,46.1,255.6,714,0
61.6,1.07,46.0,244.1,307,0
72.2,0.61,53.7,94.5,103,0
64.1,1.52,54.3,363.0,356,0
66.0,3.6,41.4,239.5,411,0
84.5,3.85,39.9,438.3,117,0
66.5,2.72,48.3,372.6,182,0
85.7,6.44,54.3,363.1,713,1
84.3,2.94,51.4,397.1,296,0
76.9,1.1,49.0,350.6,769,0
65.7,4.09,33.6,70.0,300,0
47.2,5.73,46.2,422.2,855,0
45.6,3.06,42.6,224.2,449,0
74.8,1.98,42.5,158.7,873,1
52.9,0.73,33.1,356.7,686,0
63.1,2.36,34.5,189.3,597,0
61.1,1.2,51.2,283.9,256,0
73.8,1.98,33.7,294.2,107,0
58.5,0.9,38.0,289.4,589,0
76.0,4.14,49.4,252.3,450,0
85.1,2.09,54.4,361.2,454,0
85.1,2.0,45.7,232.4,222,0
67.1,3.31,46.2,333.3,557,1
60.2,1.25,36.7,555.4,668,0
64.9,4.9,41.2,206.3,225,0
85.6,2.6,38.0,151.5,173,0
52.9,1.4,48.4,329.4,339,0
51.7,4.04,51.0,354.7,854,0
56.8,2.51,44.6,209.2,833,0
95.7,8.98,53.2,373.4,739,1
72.7,4.81,44.0,344.1,776,0
63.1,3.14,51.4,304.2,73,0
63.6,7.56,51.1,377.6,623,0
79.0,1.59,42.7,392.6,336,0
59.1,2.27,49.4,295.6,116,0
56.4,4.7,44.0,318.4,897,0
62.3,1.23,41.2,313.6,780,0
65.0,0.41,48.7,213.0,884,0
63.4,8.92,45.7,306.3,528,0
80.3,1.72,50.3,262.2,336,0
89.6,1.34,45.0,172.2,21,0
73.5,2.32,37.5,294.9,793,1
59.6,3.17,44.0,204.0,841,1
53.2,3.43,44.6,273.9,428,0
71.5,3.17,41.3,429.8,831,1
64.3,3.41,44.9,314.1,580,0
61.1,3.6,36.1,348.3,163,0
75.4,0.6,37.6,332.9,159,0
51.5,0.72,37.7,359.6,370,0
64.4,0.95,39.4,248.1,767,0
53.6,6.54,39.2,251.4,345,0
67.0,1.86,51.0,114.1,346,0
64.3,1.93,39.5,360.8,152,0
79.3,0.65,39.4,339.3,224,0
79.8,1.5,43.5,257.4,148,0
83.9,1.79,48.8,218.9,420,0
78.9,1.65,40.9,508.6,586,0
64.4,2.78,39.7,305.5,822,0
72.9,2.63,56.4,345.5,267,0
65.8,2.64,48.5,216.6,592,0
84.2,2.69,58.4,399.6,252,0
53.9,0.15,54.1,385.1,483,0
95.7,2.28,59.8,375.5,618,1
82.2,2.54,48.6,402.9,190,0
75.3,3.0,42.1,249.5,543,0
78.1,1.79,36.6,323.5,323,0
57.9,0.39,42.9,310.5,372,0
84.9,1.17,50.2,394.7,499,0
60.4,2.87,39.9,468.6,30,0
77.8,2.01,51.6,198.2,679,0
75.5,3.58,44.0,387.1,571,0
69.9,1.8,44.2,159.7,115,0
61.1,1.87,42.2,412.5,349,0
79.4,1.48,42.1,393.6,620,0
61.5,0.65,48.2,290.3,741,0
70.2,2.42,39.6,170.3,205,0
76.1,1.82,45.9,304.5,591,0
72.2,3.39,41.5,322.8,131,0
80.1,2.49,45.7,448.4,793,1
70.8,7.11,37.1,255.3,214,0
78.7,0.63,44.4,446.0,55,0
71.3,2.47,44.2,406.9,846,0
57.3,3.13,41.6,453.3,581,0
52.8,3.75,58.8,256.4,551,0
87.4,1.37,23.9,332.7,634,0
