tile_id,row,column,red,green,blue,red_minus_blue,green_minus_blue,local_contrast,is_defect
T01,1,63,174,183,186,-12.0000,-3.0000,2.3330,0
T01,2,0,176,184,192,-16.0000,-8.0000,3.0587,0
T01,2,1,178,188,196,-18.0000,-8.0000,3.9018,0
T01,2,2,180,195,199,-19.0000,-4.0000,4.0596,0
T01,2,3,175,186,191,-16.0000,-5.0000,3.9111,0
T01,2,4,173,182,191,-18.0000,-9.0000,4.0276,0
T01,2,5,181,190,193,-12.0000,-3.0000,3.8076,0
T01,2,6,174,184,192,-18.0000,-8.0000,3.3003,0
T01,2,7,179,190,195,-16.0000,-5.0000,3.1120,0
T01,2,8,184,192,199,-15.0000,-7.0000,3.0523,0
T01,2,9,174,181,191,-17.0000,-10.0000,3.2432,0
T01,2,10,180,187,194,-14.0000,-7.0000,4.0408,0
T01,2,11,179,185,194,-15.0000,-9.0000,3.8448,0
T01,2,12,181,186,194,-13.0000,-8.0000,3.8657,0
T01,2,13,176,185,197,-21.0000,-12.0000,3.8580,0
T01,2,14,172,183,188,-16.0000,-5.0000,4.1886,0
T01,2,15,176,186,191,-15.0000,-5.0000,3.8977,0
T01,2,16,169,176,187,-18.0000,-11.0000,4.3741,0
T01,2,17,183,196,199,-16.0000,-3.0000,4.3604,0
T01,2,18,185,197,206,-21.0000,-9.0000,4.5412,0
T01,2,19,186,195,198,-12.0000,-3.0000,4.4551,0
T01,2,20,180,186,197,-17.0000,-11.0000,4.0909,0
T01,2,21,179,184,192,-13.0000,-8.0000,4.0194,0
T01,2,22,178,186,193,-15.0000,-7.0000,4.1758,0
T01,2,23,177,185,194,-17.0000,-9.0000,3.7574,0
T01,2,24,175,183,188,-13.0000,-5.0000,3.5654,0
T01,2,25,178,190,199,-21.0000,-9.0000,4.0937,0
T01,2,26,175,185,196,-21.0000,-11.0000,4.0933,0
T01,2,27,174,179,192,-18.0000,-13.0000,3.6539,0
T01,2,28,182,189,201,-19.0000,-12.0000,4.0397,0
T01,2,29,178,187,194,-16.0000,-7.0000,3.8771,0
T01,2,30,172,182,190,-18.0000,-8.0000,3.4419,0
T01,2,31,179,187,193,-14.0000,-6.0000,3.0189,0
T01,2,32,181,188,196,-15.0000,-8.0000,3.2985,0
T01,2,33,171,185,191,-20.0000,-6.0000,2.8564,0
T01,2,34,176,179,190,-14.0000,-11.0000,2.9287,0
T01,2,35,175,181,190,-15.0000,-9.0000,3.1571,0
T01,2,36,178,185,198,-20.0000,-13.0000,3.0333,0
T01,2,37,180,192,197,-17.0000,-5.0000,2.8705,0
T01,2,38,180,187,195,-15.0000,-8.0000,3.0056,0
T01,2,39,176,187,192,-16.0000,-5.0000,3.3708,0
T01,2,40,175,184,196,-21.0000,-12.0000,3.4727,0
T01,2,41,180,188,197,-17.0000,-9.0000,3.7333,0
T01,2,42,170,183,191,-21.0000,-8.0000,4.2834,0
T01,2,43,171,184,187,-16.0000,-3.0000,4.6871,0
T01,2,44,180,186,196,-16.0000,-10.0000,4.5470,0
T01,2,45,175,187,194,-19.0000,-7.0000,4.1714,0
T01,2,46,177,188,197,-20.0000,-9.0000,4.2444,0
T01,2,47,176,183,190,-14.0000,-7.0000,3.6790,0
T01,2,48,169,181,188,-19.0000,-7.0000,3.4734,0
T01,2,49,164,178,191,-27.0000,-13.0000,2.8596,0
T01,2,50,173,185,189,-16.0000,-4.0000,3.8959,0
T01,2,51,174,182,193,-19.0000,-11.0000,3.9316,0
T01,2,52,176,183,195,-19.0000,-12.0000,3.9072,0
T01,2,53,173,186,188,-15.0000,-2.0000,4.0070,0
T01,2,54,183,188,194,-11.0000,-6.0000,4.4332,0
T01,2,55,182,189,199,-17.0000,-10.0000,3.9823,0
T01,2,56,175,187,192,-17.0000,-5.0000,3.9554,0
T01,2,57,169,182,186,-17.0000,-4.0000,3.8530,0
T01,2,58,181,188,195,-14.0000,-7.0000,4.0397,0
T01,2,59,171,185,189,-18.0000,-4.0000,3.7416,0
T01,2,60,184,191,199,-15.0000,-8.0000,3.7959,0
T01,2,61,176,180,192,-16.0000,-12.0000,3.5972,0
T01,2,62,175,181,190,-15.0000,-9.0000,3.4603,0
T01,2,63,174,182,193,-19.0000,-11.0000,3.3629,0
T01,3,0,182,188,194,-12.0000,-6.0000,2.8923,0
T01,3,1,181,189,195,-14.0000,-6.0000,4.0139,0
T01,3,2,173,188,194,-21.0000,-6.0000,4.2593,0
T01,3,3,185,194,205,-20.0000,-11.0000,4.2026,0
T01,3,4,170,181,188,-18.0000,-7.0000,4.2933,0
T01,3,5,171,179,189,-18.0000,-10.0000,4.1473,0
T01,3,6,177,188,192,-15.0000,-4.0000,3.5051,0
T01,3,7,177,193,198,-21.0000,-5.0000,3.2023,0
T01,3,8,174,186,197,-23.0000,-11.0000,3.0426,0
T01,3,9,178,188,198,-20.0000,-10.0000,2.9598,0
T01,3,10,178,190,193,-15.0000,-3.0000,3.7381,0
T01,3,11,180,188,197,-17.0000,-9.0000,3.4143,0
T01,3,12,179,184,192,-13.0000,-8.0000,3.4918,0
T01,3,13,177,185,196,-19.0000,-11.0000,3.4131,0
T01,3,14,184,190,199,-15.0000,-9.0000,3.9489,0
T01,3,15,178,187,189,-11.0000,-2.0000,3.6601,0
T01,3,16,177,185,192,-15.0000,-7.0000,4.3379,0
T01,3,17,178,185,191,-13.0000,-6.0000,4.2375,0
T01,3,18,175,183,189,-14.0000,-6.0000,4.3655,0
T01,3,19,177,187,194,-17.0000,-7.0000,4.0616,0
T01,3,20,177,182,191,-14.0000,-9.0000,3.6314,0
T01,3,21,174,182,189,-15.0000,-7.0000,3.4008,0
T01,3,22,173,182,192,-19.0000,-10.0000,3.5499,0
T01,3,23,170,181,185,-15.0000,-4.0000,3.3519,0
T01,3,24,174,184,192,-18.0000,-8.0000,3.5258,0
T01,3,25,178,187,195,-17.0000,-8.0000,4.0238,0
T01,3,26,180,190,198,-18.0000,-8.0000,4.4001,0
T01,3,27,172,186,191,-19.0000,-5.0000,3.9901,0
T01,3,28,185,196,204,-19.0000,-8.0000,4.2559,0
T01,3,29,171,186,193,-22.0000,-7.0000,4.1814,0
T01,3,30,170,178,189,-19.0000,-11.0000,3.8448,0
T01,3,31,179,189,193,-14.0000,-4.0000,3.1094,0
T01,3,32,180,188,200,-20.0000,-12.0000,3.4435,0
T01,3,33,184,186,194,-10.0000,-8.0000,3.2038,0
T01,3,34,173,180,191,-18.0000,-11.0000,2.9634,0
T01,3,35,175,183,195,-20.0000,-12.0000,3.0435,0
T01,3,36,171,180,187,-16.0000,-7.0000,3.1140,0
T01,3,37,171,185,189,-18.0000,-4.0000,3.1034,0
T01,3,38,178,184,190,-12.0000,-6.0000,3.0768,0
T01,3,39,173,181,192,-19.0000,-11.0000,3.3632,0
T01,3,40,177,183,188,-11.0000,-5.0000,3.5808,0
T01,3,41,176,184,188,-12.0000,-4.0000,3.7477,0
T01,3,42,176,184,187,-11.0000,-3.0000,4.2805,0
T01,3,43,172,188,190,-18.0000,-2.0000,4.4850,0
T01,3,44,172,180,187,-15.0000,-7.0000,4.3793,0
T01,3,45,164,177,188,-24.0000,-11.0000,3.9540,0
T01,3,46,184,194,197,-13.0000,-3.0000,4.1849,0
T01,3,47,175,182,188,-13.0000,-6.0000,3.5534,0
T01,3,48,175,183,188,-13.0000,-5.0000,3.3449,0
T01,3,49,174,186,196,-22.0000,-10.0000,2.6424,0
T01,3,50,180,182,192,-12.0000,-10.0000,3.2917,0
T01,3,51,176,184,192,-16.0000,-8.0000,2.9944,0
T01,3,52,182,188,199,-17.0000,-11.0000,2.8944,0
T01,3,53,172,180,188,-16.0000,-8.0000,3.6191,0
T01,3,54,180,189,192,-12.0000,-3.0000,4.0210,0
T01,3,55,172,180,190,-18.0000,-10.0000,4.2971,0
T01,3,56,171,178,189,-18.0000,-11.0000,4.2122,0
T01,3,57,166,172,185,-19.0000,-13.0000,4.1474,0
T01,3,58,173,182,189,-16.0000,-7.0000,3.8959,0
T01,3,59,177,190,195,-18.0000,-5.0000,4.1576,0
T01,3,60,169,180,187,-18.0000,-7.0000,4.1266,0
T01,3,61,174,181,193,-19.0000,-12.0000,4.0256,0
T01,3,62,177,190,198,-21.0000,-8.0000,3.8537,0
T01,3,63,177,185,193,-16.0000,-8.0000,3.7900,0
T01,4,0,174,184,192,-18.0000,-8.0000,2.4271,0
T01,4,1,178,185,197,-19.0000,-12.0000,3.6117,0
T01,4,2,183,187,200,-17.0000,-13.0000,3.9923,0
T01,4,3,188,196,203,-15.0000,-7.0000,4.2551,0
T01,4,4,183,192,201,-18.0000,-9.0000,4.3387,0
T01,4,5,180,188,196,-16.0000,-8.0000,4.1407,0
T01,4,6,177,191,194,-17.0000,-3.0000,3.7574,0
T01,4,7,178,186,195,-17.0000,-9.0000,3.5459,0
T01,4,8,174,183,190,-16.0000,-7.0000,3.0536,0
T01,4,9,178,186,196,-18.0000,-10.0000,3.0566,0
T01,4,10,185,193,200,-15.0000,-7.0000,3.7830,0
T01,4,11,181,189,192,-11.0000,-3.0000,3.5101,0
T01,4,12,189,198,206,-17.0000,-8.0000,3.4936,0
T01,4,13,179,185,190,-11.0000,-5.0000,3.5356,0
T01,4,14,179,186,201,-22.0000,-15.0000,4.0815,0
T01,4,15,182,195,198,-16.0000,-3.0000,3.4845,0
T01,4,16,175,188,191,-16.0000,-3.0000,4.1931,0
T01,4,17,178,187,192,-14.0000,-5.0000,4.1110,0
T01,4,18,180,186,193,-13.0000,-7.0000,4.0971,0
T01,4,19,174,182,191,-17.0000,-9.0000,3.6706,0
T01,4,20,178,186,195,-17.0000,-9.0000,3.5440,0
T01,4,21,177,185,194,-17.0000,-9.0000,2.9784,0
T01,4,22,178,188,193,-15.0000,-5.0000,3.2803,0
T01,4,23,183,194,198,-15.0000,-4.0000,3.5803,0
T01,4,24,189,194,200,-11.0000,-6.0000,3.8840,0
T01,4,25,178,185,190,-12.0000,-5.0000,4.3177,0
T01,4,26,184,188,196,-12.0000,-8.0000,4.6743,0
T01,4,27,173,182,186,-13.0000,-4.0000,4.2043,0
T01,4,28,175,184,186,-11.0000,-2.0000,4.2468,0
T01,4,29,178,185,190,-12.0000,-5.0000,3.9561,0
T01,4,30,175,184,194,-19.0000,-10.0000,3.8030,0
T01,4,31,175,184,195,-20.0000,-11.0000,3.1590,0
T01,4,32,176,182,192,-16.0000,-10.0000,3.4796,0
T01,4,33,176,189,195,-19.0000,-6.0000,3.3861,0
T01,4,34,176,182,188,-12.0000,-6.0000,3.2065,0
T01,4,35,179,187,193,-14.0000,-6.0000,3.1517,0
T01,4,36,174,184,194,-20.0000,-10.0000,3.4731,0
T01,4,37,177,185,194,-17.0000,-9.0000,3.4769,0
T01,4,38,183,189,196,-13.0000,-7.0000,3.6209,0
T01,4,39,181,188,197,-16.0000,-9.0000,3.4524,0
T01,4,40,174,181,189,-15.0000,-8.0000,3.7916,0
T01,4,41,178,185,194,-16.0000,-9.0000,3.5296,0
T01,4,42,181,194,199,-18.0000,-5.0000,4.2093,0
T01,4,43,180,192,197,-17.0000,-5.0000,4.2150,0
T01,4,44,187,197,204,-17.0000,-7.0000,4.4711,0
T01,4,45,173,186,190,-17.0000,-4.0000,3.9599,0
T01,4,46,176,185,193,-17.0000,-8.0000,4.2306,0
T01,4,47,173,185,190,-17.0000,-5.0000,3.4898,0
T01,4,48,167,177,187,-20.0000,-10.0000,3.3254,0
T01,4,49,178,188,197,-19.0000,-9.0000,2.6295,0
T01,4,50,175,184,198,-23.0000,-14.0000,3.2235,0
T01,4,51,177,184,193,-16.0000,-9.0000,2.9338,0
T01,4,52,178,189,193,-15.0000,-4.0000,2.9651,0
T01,4,53,168,177,190,-22.0000,-13.0000,3.6466,0
T01,4,54,171,177,189,-18.0000,-12.0000,4.1867,0
T01,4,55,175,184,193,-18.0000,-9.0000,4.4996,0
T01,4,56,181,196,198,-17.0000,-2.0000,4.3487,0
T01,4,57,173,186,191,-18.0000,-5.0000,4.1798,0
T01,4,58,173,183,190,-17.0000,-7.0000,3.9744,0
T01,4,59,174,186,196,-22.0000,-10.0000,3.9335,0
T01,4,60,173,181,189,-16.0000,-8.0000,3.9992,0
T01,4,61,168,180,187,-19.0000,-7.0000,3.8865,0
T01,4,62,167,174,186,-19.0000,-12.0000,3.8262,0
T01,4,63,176,186,193,-17.0000,-7.0000,3.9343,0
T01,5,0,175,187,191,-16.0000,-4.0000,2.4513,0
T01,5,1,184,192,194,-10.0000,-2.0000,3.4959,0
T01,5,2,174,181,192,-18.0000,-11.0000,3.7474,0
T01,5,3,186,196,199,-13.0000,-3.0000,4.0244,0
T01,5,4,182,191,196,-14.0000,-5.0000,4.0792,0
T01,5,5,181,192,199,-18.0000,-7.0000,4.1532,0
T01,5,6,181,187,198,-17.0000,-11.0000,3.6645,0
T01,5,7,182,193,199,-17.0000,-6.0000,3.8169,0
T01,5,8,173,184,190,-17.0000,-6.0000,3.3948,0
T01,5,9,176,190,198,-22.0000,-8.0000,3.4426,0
T01,5,10,179,186,195,-16.0000,-9.0000,3.9979,0
T01,5,11,176,187,193,-17.0000,-6.0000,4.1195,0
T01,5,12,175,183,191,-16.0000,-8.0000,3.7137,0
T01,5,13,178,186,193,-15.0000,-7.0000,3.8073,0
T01,5,14,181,194,199,-18.0000,-5.0000,4.0724,0
T01,5,15,180,187,194,-14.0000,-7.0000,3.3052,0
T01,5,16,174,181,193,-19.0000,-12.0000,3.1595,0
T01,5,17,181,190,197,-16.0000,-7.0000,3.1489,0
T01,5,18,182,190,200,-18.0000,-10.0000,2.9422,0
T01,5,19,176,190,198,-22.0000,-8.0000,2.6981,0
T01,5,20,174,187,191,-17.0000,-4.0000,2.8327,0
T01,5,21,179,187,194,-15.0000,-7.0000,2.9162,0
T01,5,22,180,188,198,-18.0000,-10.0000,3.4028,0
T01,5,23,181,187,196,-15.0000,-9.0000,3.7213,0
T01,5,24,178,187,193,-15.0000,-6.0000,4.1729,0
T01,5,25,175,185,188,-13.0000,-3.0000,4.4839,0
T01,5,26,181,193,201,-20.0000,-8.0000,4.6606,0
T01,5,27,174,186,192,-18.0000,-6.0000,4.5002,0
T01,5,28,170,180,187,-17.0000,-7.0000,4.3645,0
T01,5,29,175,186,192,-17.0000,-6.0000,3.9507,0
T01,5,30,177,192,199,-22.0000,-7.0000,3.9399,0
T01,5,31,184,193,203,-19.0000,-10.0000,3.4003,0
T01,5,32,179,189,195,-16.0000,-6.0000,3.5579,0
T01,5,33,171,183,189,-18.0000,-6.0000,3.5511,0
T01,5,34,178,185,192,-14.0000,-7.0000,3.4359,0
T01,5,35,172,181,189,-17.0000,-8.0000,3.7486,0
T01,5,36,181,187,197,-16.0000,-10.0000,4.0238,0
T01,5,37,173,179,187,-14.0000,-8.0000,3.8714,0
T01,5,38,179,189,196,-17.0000,-7.0000,3.7817,0
T01,5,39,181,192,196,-15.0000,-4.0000,3.5957,0
T01,5,40,174,183,189,-15.0000,-6.0000,3.9122,0
T01,5,41,177,187,195,-18.0000,-8.0000,3.7477,0
T01,5,42,179,184,191,-12.0000,-7.0000,4.3101,0
T01,5,43,175,188,193,-18.0000,-5.0000,4.4798,0
T01,5,44,176,184,190,-14.0000,-6.0000,4.7282,0
T01,5,45,176,185,194,-18.0000,-9.0000,4.3167,0
T01,5,46,173,182,188,-15.0000,-6.0000,4.2486,0
T01,5,47,172,181,193,-21.0000,-12.0000,3.4645,0
T01,5,48,171,177,185,-14.0000,-8.0000,3.3394,0
T01,5,49,174,181,188,-14.0000,-7.0000,2.7276,0
T01,5,50,170,180,191,-21.0000,-11.0000,3.4396,0
T01,5,51,175,183,189,-14.0000,-6.0000,3.2237,0
T01,5,52,178,187,198,-20.0000,-11.0000,3.3005,0
T01,5,53,173,185,192,-19.0000,-7.0000,3.6865,0
T01,5,54,177,178,190,-13.0000,-12.0000,4.2695,0
T01,5,55,187,194,200,-13.0000,-6.0000,4.1798,0
T01,5,56,175,186,191,-16.0000,-5.0000,3.9852,0
T01,5,57,176,185,190,-14.0000,-5.0000,3.8605,0
T01,5,58,174,186,196,-22.0000,-10.0000,3.4474,0
T01,5,59,174,182,189,-15.0000,-7.0000,3.3911,0
T01,5,60,174,181,190,-16.0000,-9.0000,3.5509,0
T01,5,61,183,196,201,-18.0000,-5.0000,3.6014,0
T01,5,62,177,186,191,-14.0000,-5.0000,3.6001,0
T01,5,63,174,183,192,-18.0000,-9.0000,4.0350,0
T01,6,0,177,184,194,-17.0000,-10.0000,3.0619,0
T01,6,1,177,187,194,-17.0000,-7.0000,3.5765,0
T01,6,2,184,186,198,-14.0000,-12.0000,3.2902,0
T01,6,3,182,186,194,-12.0000,-8.0000,3.0729,0
T01,6,4,177,189,198,-21.0000,-9.0000,3.2038,0
T01,6,5,186,195,200,-14.0000,-5.0000,3.2921,0
T01,6,6,175,191,197,-22.0000,-6.0000,3.3348,0
T01,6,7,179,190,197,-18.0000,-7.0000,3.9350,0
T01,6,8,175,186,189,-14.0000,-3.0000,3.7782,0
T01,6,9,169,180,191,-22.0000,-11.0000,3.8105,0
T01,6,10,179,187,195,-16.0000,-8.0000,4.2599,0
T01,6,11,179,190,202,-23.0000,-12.0000,4.4118,0
T01,6,12,181,195,198,-17.0000,-3.0000,3.8259,0
T01,6,13,175,183,189,-14.0000,-6.0000,3.7094,0
T01,6,14,181,191,196,-15.0000,-5.0000,4.0763,0
T01,6,15,179,186,194,-15.0000,-8.0000,4.0548,0
T01,6,16,179,192,195,-16.0000,-3.0000,3.6531,0
T01,6,17,182,188,192,-10.0000,-4.0000,3.8134,0
T01,6,18,182,194,204,-22.0000,-10.0000,3.7595,0
T01,6,19,179,187,193,-14.0000,-6.0000,3.4305,0
T01,6,20,175,187,189,-14.0000,-2.0000,2.9216,0
T01,6,21,173,183,198,-25.0000,-15.0000,2.9091,0
T01,6,22,180,188,195,-15.0000,-7.0000,3.2997,0
T01,6,23,176,189,195,-19.0000,-6.0000,3.5617,0
T01,6,24,171,181,190,-19.0000,-9.0000,3.9397,0
T01,6,25,183,195,199,-16.0000,-4.0000,4.1964,0
T01,6,26,183,193,201,-18.0000,-8.0000,4.2479,0
T01,6,27,170,180,191,-21.0000,-11.0000,4.1409,0
T01,6,28,175,188,197,-22.0000,-9.0000,3.8107,0
T01,6,29,175,185,192,-17.0000,-7.0000,3.3253,0
T01,6,30,176,185,194,-18.0000,-9.0000,3.1912,0
T01,6,31,177,185,191,-14.0000,-6.0000,3.0710,0
T01,6,32,177,189,197,-20.0000,-8.0000,3.1156,0
T01,6,33,173,180,189,-16.0000,-9.0000,3.3544,0
T01,6,34,182,190,198,-16.0000,-8.0000,2.9750,0
T01,6,35,172,182,187,-15.0000,-5.0000,3.5338,0
T01,6,36,179,186,195,-16.0000,-9.0000,4.0552,0
T01,6,37,173,186,192,-19.0000,-6.0000,4.1193,0
T01,6,38,169,175,188,-19.0000,-13.0000,4.1211,0
T01,6,39,180,185,194,-14.0000,-9.0000,4.0493,0
T01,6,40,169,179,185,-16.0000,-6.0000,4.1347,0
T01,6,41,176,183,194,-18.0000,-11.0000,3.7913,0
T01,6,42,185,192,201,-16.0000,-9.0000,4.3010,0
T01,6,43,175,185,191,-16.0000,-6.0000,4.1236,0
T01,6,44,169,180,192,-23.0000,-12.0000,4.2129,0
T01,6,45,175,184,192,-17.0000,-8.0000,3.8995,0
T01,6,46,174,182,190,-16.0000,-8.0000,4.0126,0
T01,6,47,176,188,191,-15.0000,-3.0000,2.8762,0
T01,6,48,176,180,196,-20.0000,-16.0000,3.0508,0
T01,6,49,177,184,193,-16.0000,-9.0000,2.8604,0
