check_id,pump_age_months,operating_load_pct,motor_temperature_c,vibration_mm_s,starts_24h,days_since_service,fault_within_7_days
PUMP-00110,64,77.4,67.2,2.5,22,46.1,0
PUMP-00111,12,68.5,58.5,2.61,16,84.5,0
PUMP-00112,140,78.5,64.1,5.51,18,74.9,1
PUMP-00113,48,41.1,53.3,4.51,20,85.7,0
PUMP-00114,97,79.8,68.2,3.6,11,52.1,0
PUMP-00115,105,72.6,59.6,3.99,24,89.8,0
PUMP-00116,137,89.0,61.1,4.5,22,31.7,0
PUMP-00117,62,56.0,50.9,1.58,18,173.4,0
PUMP-00118,27,72.7,56.9,1.49,14,52.5,0
PUMP-00119,140,69.0,62.5,5.86,15,335.8,0
PUMP-00120,83,74.5,64.9,2.8,17,71.7,0
PUMP-00121,9,74.3,57.6,3.18,22,21.1,0
PUMP-00122,48,58.0,55.8,2.89,20,88.6,0
PUMP-00123,27,40.5,57.3,6.15,15,41.9,0
PUMP-00124,108,52.4,55.9,6.54,18,241.1,0
PUMP-00125,77,47.3,59.8,2.58,20,151.8,0
PUMP-00126,134,50.4,55.3,7.9,16,13.0,0
PUMP-00127,120,60.2,59.7,2.09,14,149.2,0
PUMP-00128,100,70.1,53.9,4.69,23,157.5,0
PUMP-00129,22,86.6,64.3,2.65,20,100.1,0
PUMP-00130,124,57.4,59.9,5.7,22,120.3,0
PUMP-00131,6,88.4,67.8,4.04,18,102.4,0
PUMP-00132,22,71.5,61.1,2.0,16,72.2,0
PUMP-00133,89,58.8,56.1,1.62,27,126.6,0
PUMP-00134,13,68.4,56.3,3.14,20,26.8,0
PUMP-00135,144,71.7,60.1,2.48,22,38.5,0
PUMP-00136,23,41.6,52.0,2.75,25,77.0,0
PUMP-00137,25,52.8,58.3,1.78,22,81.7,0
PUMP-00138,105,56.8,56.9,3.39,24,57.6,0
PUMP-00139,129,68.2,56.6,2.71,24,30.1,0
PUMP-00140,53,69.0,56.8,1.36,23,126.3,0
PUMP-00141,56,52.9,55.2,3.71,23,145.1,0
PUMP-00142,109,60.4,50.3,3.97,13,111.3,0
PUMP-00143,22,92.2,58.5,6.8,29,56.9,1
PUMP-00144,105,61.2,55.2,6.11,18,28.8,1
PUMP-00145,17,27.0,46.8,6.62,16,73.7,0
PUMP-00146,32,49.6,60.6,1.36,18,24.4,0
PUMP-00147,31,59.1,48.1,1.49,19,20.9,0
PUMP-00148,108,61.4,53.3,3.68,17,81.6,0
PUMP-00149,113,73.3,64.4,2.19,27,85.6,0
PUMP-00150,133,75.1,60.5,4.55,16,34.0,0
PUMP-00151,58,66.3,57.6,2.81,18,87.1,0
PUMP-00152,22,66.0,56.4,4.68,18,47.9,0
PUMP-00153,5,48.5,48.6,1.34,22,97.3,0
PUMP-00154,21,34.3,60.5,2.71,9,67.1,0
PUMP-00155,98,64.9,59.1,4.11,17,62.2,0
PUMP-00156,123,19.1,53.5,2.13,15,97.3,0
PUMP-00157,42,55.9,52.3,2.68,26,59.0,0
PUMP-00158,5,59.4,53.4,3.6,24,55.2,0
PUMP-00159,56,88.0,64.8,3.04,16,94.3,0
PUMP-00160,64,86.7,61.0,2.37,22,63.9,0
PUMP-00161,124,71.7,58.4,8.71,14,127.6,1
PUMP-00162,57,95.5,64.4,3.07,27,270.1,0
PUMP-00163,104,48.0,57.4,2.29,17,54.9,0
PUMP-00164,61,58.4,58.9,1.77,20,100.3,0
PUMP-00165,54,59.1,58.0,3.48,19,64.3,0
PUMP-00166,38,68.2,60.7,3.64,21,187.6,0
PUMP-00167,139,65.4,64.7,4.15,19,58.4,0
PUMP-00168,82,65.0,52.5,4.43,18,63.4,0
PUMP-00169,130,76.3,67.4,3.47,28,48.4,0
PUMP-00170,51,17.9,47.9,5.17,16,191.8,1
PUMP-00171,42,24.9,54.2,2.32,22,161.9,0
PUMP-00172,140,71.3,56.8,7.14,20,251.9,0
PUMP-00173,67,50.5,61.5,5.56,16,81.0,0
PUMP-00174,116,84.7,60.8,4.34,24,246.7,0
PUMP-00175,12,48.4,50.7,5.76,12,114.5,0
PUMP-00176,68,83.9,58.3,2.58,21,42.9,1
PUMP-00177,110,43.8,56.5,3.57,21,112.6,0
PUMP-00178,19,67.2,58.0,2.92,18,190.1,0
PUMP-00179,57,57.9,56.1,3.04,24,79.8,0
PUMP-00180,79,78.5,58.8,2.17,24,133.5,0
PUMP-00181,76,73.8,67.4,2.22,18,35.9,0
PUMP-00182,81,29.1,48.9,2.68,17,191.4,0
PUMP-00183,113,45.9,49.1,3.07,20,95.6,0
PUMP-00184,76,70.1,56.2,1.67,20,101.7,0
PUMP-00185,9,30.8,48.1,2.97,18,49.8,0
PUMP-00186,23,64.9,50.8,1.72,21,43.2,0
PUMP-00187,57,71.7,62.3,5.86,16,48.6,0
PUMP-00188,104,68.0,59.5,3.21,20,153.3,0
PUMP-00189,88,53.3,54.5,4.19,23,46.7,0
PUMP-00190,79,40.7,57.8,5.26,13,78.2,0
PUMP-00191,73,79.5,59.4,4.38,23,93.7,0
PUMP-00192,45,29.7,44.5,1.91,18,86.9,0
PUMP-00193,131,47.8,52.2,3.5,16,119.8,0
PUMP-00194,94,67.7,56.4,3.08,17,105.9,0
PUMP-00195,31,62.1,59.4,1.72,24,84.1,1
PUMP-00196,112,66.2,56.7,2.67,17,21.1,0
PUMP-00197,61,69.0,52.3,2.87,19,127.3,0
PUMP-00198,112,55.6,55.3,4.59,19,21.6,0
PUMP-00199,86,74.9,59.9,2.81,16,131.8,0
PUMP-00200,27,79.6,53.3,5.73,21,11.7,1
PUMP-00201,137,44.6,56.9,5.9,21,42.3,0
PUMP-00202,100,63.7,61.5,2.48,19,80.3,0
PUMP-00203,113,49.1,53.5,7.83,25,88.4,0
PUMP-00204,77,50.9,65.8,3.33,19,129.3,0
PUMP-00205,12,34.0,46.2,1.0,18,43.8,0
PUMP-00206,8,60.7,65.0,2.79,21,69.9,0
PUMP-00207,51,83.1,66.5,2.17,21,262.9,0
PUMP-00208,74,58.5,55.7,4.33,27,15.4,0
PUMP-00209,6,55.1,58.5,1.07,18,45.5,0
PUMP-00210,23,73.6,58.7,2.14,21,11.4,0
PUMP-00211,39,64.3,55.6,2.66,21,63.8,0
PUMP-00212,25,37.8,53.5,1.81,17,88.7,0
PUMP-00213,3,57.5,57.4,0.89,24,7.2,0
PUMP-00214,24,50.0,55.8,2.43,18,127.9,0
PUMP-00215,85,100.0,62.4,2.92,25,208.8,0
PUMP-00216,8,93.3,64.3,2.54,23,19.4,0
PUMP-00217,33,36.1,52.0,1.97,17,159.8,0
PUMP-00218,68,64.0,55.7,1.88,14,83.3,0
PUMP-00219,5,65.1,56.3,3.02,20,19.8,0
PUMP-00220,49,54.0,52.9,3.12,18,118.6,0
PUMP-00221,69,69.0,63.6,2.19,19,49.6,0
PUMP-00222,100,56.3,52.4,3.0,20,108.3,0
PUMP-00223,68,86.6,53.4,3.86,25,80.3,0
PUMP-00224,68,43.9,53.2,3.78,16,58.1,0
PUMP-00225,94,31.6,54.2,5.55,20,190.0,0
PUMP-00226,132,57.3,67.6,4.87,24,85.8,1
PUMP-00227,102,63.9,65.4,3.17,15,77.7,0
PUMP-00228,120,36.1,59.4,2.72,12,20.2,0
PUMP-00229,50,20.0,48.5,1.47,10,20.8,0
PUMP-00230,107,66.6,54.5,4.08,17,109.2,0
PUMP-00231,67,66.8,59.0,1.65,24,45.1,0
PUMP-00232,37,50.0,54.5,3.92,20,150.4,0
PUMP-00233,132,27.2,50.0,2.05,14,74.8,1
PUMP-00234,68,71.4,66.6,2.59,12,22.1,0
PUMP-00235,25,76.8,61.7,7.3,15,229.2,0
PUMP-00236,113,52.5,52.0,1.68,17,102.4,0
PUMP-00237,30,43.9,57.7,1.57,18,155.7,0
PUMP-00238,72,50.9,44.2,3.77,25,117.9,0
PUMP-00239,117,68.6,67.2,6.77,12,41.2,1
PUMP-00240,60,81.1,57.2,2.41,22,141.4,0
PUMP-00241,4,74.8,60.4,2.1,23,136.1,0
PUMP-00242,17,43.3,51.4,5.37,11,73.9,1
PUMP-00243,19,68.7,55.6,1.42,11,50.0,0
PUMP-00244,104,47.0,58.1,4.49,14,42.5,0
PUMP-00245,27,75.8,56.9,4.15,24,27.0,0
PUMP-00246,37,50.9,53.4,2.07,21,74.7,0
PUMP-00247,60,44.8,56.9,2.06,21,115.4,0
PUMP-00248,134,70.4,53.5,7.38,21,72.4,0
PUMP-00249,73,58.1,53.4,3.14,21,316.3,0
PUMP-00250,129,73.4,58.7,2.8,25,233.6,0
PUMP-00251,132,56.3,56.8,2.44,15,34.4,0
PUMP-00252,28,61.5,54.1,5.0,17,43.6,0
PUMP-00253,47,42.7,53.6,5.46,16,14.5,0
PUMP-00254,127,38.6,45.1,10.74,16,38.1,0
PUMP-00255,51,89.2,57.6,2.14,26,26.7,0
PUMP-00256,9,81.9,57.9,3.96,24,145.1,0
PUMP-00257,17,57.1,57.2,3.55,26,49.6,0
PUMP-00258,59,32.1,54.8,1.56,15,77.5,0
PUMP-00259,131,48.0,54.3,5.37,13,53.0,0
PUMP-00260,143,70.8,65.9,2.38,18,80.8,0
PUMP-00261,21,64.3,64.7,6.21,15,116.3,1
PUMP-00262,119,24.7,57.9,2.14,13,268.4,0
PUMP-00263,111,74.4,54.3,3.13,23,38.6,0
PUMP-00264,26,65.1,53.9,4.96,22,43.3,0
PUMP-00265,99,58.7,56.9,3.34,19,47.8,0
PUMP-00266,25,40.4,53.5,1.34,17,103.3,0
PUMP-00267,120,59.1,55.2,3.68,16,160.7,0
PUMP-00268,34,55.4,55.3,3.79,14,104.0,0
PUMP-00269,29,81.0,56.9,4.5,20,100.2,0
PUMP-00270,132,72.1,63.2,3.68,20,168.1,0
PUMP-00271,112,59.8,59.9,3.61,25,59.5,1
PUMP-00272,23,69.3,54.9,2.79,13,111.5,0
PUMP-00273,110,40.2,51.5,5.43,23,12.0,0
PUMP-00274,138,70.2,63.8,3.34,22,70.8,0
PUMP-00275,61,57.7,65.6,3.9,16,36.9,0
PUMP-00276,103,98.4,57.1,3.59,16,83.1,0
PUMP-00277,57,88.0,67.6,4.03,24,57.9,0
PUMP-00278,121,87.2,58.3,2.83,25,117.7,0
PUMP-00279,89,68.4,50.1,3.13,23,50.7,0
PUMP-00280,100,35.3,56.1,3.8,15,48.8,0
PUMP-00281,142,74.8,60.8,6.45,21,65.3,0
PUMP-00282,89,51.8,63.5,2.99,20,61.2,0
PUMP-00283,136,82.1,71.1,3.92,22,22.8,1
PUMP-00284,70,83.0,65.1,4.96,24,115.0,1
PUMP-00285,71,46.3,57.4,1.44,17,85.3,0
PUMP-00286,32,46.3,60.5,2.31,21,106.1,0
PUMP-00287,92,47.9,59.8,2.23,20,185.4,1
PUMP-00288,30,74.5,52.8,3.6,28,109.4,0
PUMP-00289,21,55.8,64.3,2.26,16,63.5,0
PUMP-00290,72,62.4,56.4,2.27,27,38.2,0
PUMP-00291,99,55.1,59.3,3.79,21,196.3,0
PUMP-00292,46,32.1,49.9,1.53,20,43.2,0
PUMP-00293,132,58.1,60.7,4.41,23,101.4,0
PUMP-00294,38,60.1,53.3,4.14,21,40.0,0
PUMP-00295,12,91.0,57.2,4.7,25,22.5,0
PUMP-00296,103,43.9,53.2,2.24,18,85.4,0
PUMP-00297,58,51.8,54.9,4.34,18,58.6,0
PUMP-00298,53,42.1,59.6,2.21,19,54.0,0
PUMP-00299,62,64.9,66.6,2.22,21,140.0,0
PUMP-00300,119,42.6,55.4,2.93,17,19.9,0
PUMP-00301,87,50.1,56.4,5.55,14,93.0,0
PUMP-00302,16,62.6,64.3,3.18,22,135.6,0
PUMP-00303,10,72.3,58.6,1.49,20,105.6,0
PUMP-00304,32,56.4,54.4,4.59,18,25.1,0
PUMP-00305,63,32.3,57.3,3.99,10,79.7,0
PUMP-00306,127,49.3,55.4,2.92,8,59.2,0
PUMP-00307,54,81.4,62.5,2.28,26,75.7,0
PUMP-00308,76,54.8,53.6,4.27,19,56.7,0
PUMP-00309,50,52.6,50.2,2.32,24,207.0,0
PUMP-00310,83,64.2,57.8,3.91,22,95.9,0
PUMP-00311,14,57.2,56.7,1.88,22,6.6,0
PUMP-00312,6,71.9,60.8,3.01,15,81.2,0
PUMP-00313,85,80.6,53.4,4.75,19,56.5,1
PUMP-00314,84,65.8,53.1,4.96,24,78.6,0
PUMP-00315,46,89.1,60.6,2.38,24,122.7,0
PUMP-00316,136,63.3,56.7,3.17,25,40.6,0
PUMP-00317,21,100.0,65.4,2.3,21,130.3,0
PUMP-00318,76,75.2,55.4,2.34,18,88.2,0
PUMP-00319,79,76.3,53.0,2.93,27,69.1,0
PUMP-00320,67,75.7,63.2,3.25,17,33.2,0
PUMP-00321,89,58.3,44.1,2.48,28,28.9,0
PUMP-00322,49,85.3,59.0,2.48,26,117.3,0
PUMP-00323,91,77.1,62.2,6.36,20,63.8,1
PUMP-00324,58,72.8,53.3,2.31,24,157.0,0
PUMP-00325,22,67.2,61.5,4.35,21,91.5,0
PUMP-00326,12,60.0,58.8,1.94,24,34.5,0
PUMP-00327,34,71.6,62.9,2.17,21,42.7,0
PUMP-00328,84,28.3,56.0,1.85,13,127.3,0
PUMP-00329,6,51.0,55.6,4.4,15,170.3,0
PUMP-00330,59,66.0,61.3,2.37,21,48.8,0
PUMP-00331,131,30.9,51.2,3.77,11,159.5,0
PUMP-00332,126,58.8,55.9,3.05,20,167.4,0
PUMP-00333,20,58.1,60.4,1.3,15,165.2,0
PUMP-00334,66,47.6,56.8,2.41,15,48.2,0
PUMP-00335,47,55.4,48.9,4.96,20,183.8,0
PUMP-00336,31,48.2,59.5,2.91,18,49.5,0
PUMP-00337,133,38.4,62.8,3.57,18,121.5,0
PUMP-00338,25,73.0,49.0,3.49,16,37.9,0
PUMP-00339,53,60.9,49.5,2.08,25,69.4,0
PUMP-00340,140,61.0,55.6,4.66,29,50.0,0
PUMP-00341,85,55.3,58.9,3.65,15,184.3,0
PUMP-00342,93,50.9,59.0,5.95,21,139.0,0
PUMP-00343,133,69.0,60.1,3.24,24,59.3,0
PUMP-00344,97,73.2,58.8,5.33,19,47.4,0
PUMP-00345,91,53.9,56.1,2.18,25,61.2,0
PUMP-00346,90,84.1,61.0,2.45,21,91.2,0
PUMP-00347,117,86.6,71.7,3.01,19,11.1,0
PUMP-00348,78,48.7,61.7,2.97,16,73.7,0
PUMP-00349,65,27.6,51.9,4.03,25,130.9,0
PUMP-00350,24,41.8,50.4,1.32,19,50.7,0
PUMP-00351,31,39.8,47.2,0.98,20,18.7,0
PUMP-00352,142,67.0,58.0,4.48,25,54.0,0
PUMP-00353,89,56.3,57.0,2.86,21,96.4,0
PUMP-00354,19,60.0,52.0,4.92,17,71.2,0
PUMP-00355,130,87.7,58.8,4.5,21,108.8,0
PUMP-00356,12,64.8,60.5,1.6,14,36.5,0
PUMP-00357,70,70.8,66.5,3.38,24,36.9,0
PUMP-00358,47,87.7,56.9,6.23,22,33.3,0
PUMP-00359,68,80.4,52.5,4.01,12,113.3,0
PUMP-00360,90,70.8,52.0,3.41,24,28.9,0
PUMP-00361,22,29.1,56.9,1.69,17,133.6,0
PUMP-00362,35,100.0,66.9,2.57,32,193.1,0
PUMP-00363,68,37.5,56.2,3.78,25,181.5,1
PUMP-00364,62,82.6,57.4,2.5,15,24.1,0
PUMP-00365,38,73.0,58.1,2.39,20,190.3,0
PUMP-00366,55,58.6,56.1,4.65,11,192.8,0
PUMP-00367,127,76.9,68.5,5.07,15,255.5,1
PUMP-00368,132,78.9,59.3,3.08,20,35.7,1
PUMP-00369,15,22.4,60.1,3.21,15,97.9,0
PUMP-00370,121,43.8,50.7,2.71,15,110.0,0
PUMP-00371,105,72.8,57.7,2.06,22,138.7,0
PUMP-00372,96,73.4,56.5,2.48,18,92.6,0
PUMP-00373,9,48.8,58.2,1.77,18,121.6,0
PUMP-00374,77,69.9,57.2,3.27,21,30.8,0
PUMP-00375,33,71.3,58.5,4.75,16,57.2,0
PUMP-00376,19,89.5,56.8,3.17,25,45.1,0
PUMP-00377,33,85.6,65.3,4.04,12,37.2,0
PUMP-00378,11,83.8,51.1,1.58,17,79.0,0
PUMP-00379,47,87.2,58.8,2.17,21,27.1,0
PUMP-00380,63,52.9,61.3,2.48,15,46.2,0
PUMP-00381,52,94.5,62.3,4.28,21,159.7,0
PUMP-00382,27,54.4,55.2,1.35,21,220.4,0
PUMP-00383,110,65.5,62.8,2.43,27,43.4,0
PUMP-00384,60,75.3,59.3,3.65,20,94.7,1
PUMP-00385,32,51.0,54.8,1.38,13,35.3,0
PUMP-00386,82,28.0,56.8,4.15,23,62.4,0
PUMP-00387,125,92.6,62.0,5.46,27,8.1,1
PUMP-00388,94,71.5,63.8,3.1,19,130.3,0
PUMP-00389,97,76.6,60.4,2.43,25,149.2,0
PUMP-00390,137,43.3,44.7,1.99,23,103.3,1
PUMP-00391,85,47.1,57.6,1.64,17,17.2,0
PUMP-00392,142,59.2,62.1,2.03,24,127.5,0
PUMP-00393,37,52.4,58.2,2.23,19,211.5,0
PUMP-00394,54,54.5,58.7,4.6,18,144.4,0
PUMP-00395,116,52.5,52.4,1.89,19,76.1,0
PUMP-00396,96,62.8,58.7,1.74,20,174.5,0
PUMP-00397,109,77.2,65.5,2.69,24,64.7,0
PUMP-00398,70,23.0,48.0,3.63,9,18.0,0
PUMP-00399,22,52.9,61.3,2.06,17,63.0,0
PUMP-00400,36,50.9,54.3,1.42,15,154.8,0
PUMP-00401,101,89.8,57.4,4.02,29,8.9,0
PUMP-00402,50,63.0,56.9,2.55,19,49.7,0
PUMP-00403,80,76.1,58.6,2.26,27,82.9,0
PUMP-00404,111,79.8,62.9,4.14,32,23.1,0
PUMP-00405,33,75.0,57.7,3.09,20,149.0,0
PUMP-00406,19,50.9,56.0,2.08,15,66.7,0
PUMP-00407,23,67.8,61.3,4.02,14,30.8,0
PUMP-00408,78,40.3,53.3,3.94,20,56.5,0
PUMP-00409,144,48.4,51.9,2.74,23,200.6,0
PUMP-00410,76,100.0,62.2,5.99,19,141.4,0
PUMP-00411,48,74.1,53.6,6.02,21,35.5,0
PUMP-00412,46,57.1,55.9,3.49,23,140.8,0
PUMP-00413,41,61.7,59.6,2.22,21,6.9,0
PUMP-00414,60,15.5,51.6,4.51,12,92.4,0
PUMP-00415,90,68.6,56.6,2.71,19,73.0,0
PUMP-00416,76,42.4,53.9,2.98,20,73.9,0
PUMP-00417,77,93.7,70.9,3.49,26,82.2,1
PUMP-00418,27,64.4,48.2,3.33,23,80.7,0
PUMP-00419,133,15.0,47.0,4.67,9,39.9,0
PUMP-00420,42,46.5,47.2,4.3,13,225.7,0
PUMP-00421,118,42.8,61.3,4.74,19,144.8,1
PUMP-00422,33,39.6,59.0,1.52,24,55.8,0
PUMP-00423,64,77.0,56.5,3.96,13,62.6,0
PUMP-00424,90,43.4,56.2,1.75,11,21.2,0
PUMP-00425,33,43.6,56.9,2.01,19,25.1,0
PUMP-00426,89,80.9,56.3,2.04,22,49.8,0
PUMP-00427,116,66.7,60.5,5.49,17,28.6,0
PUMP-00428,117,49.2,59.0,3.86,17,41.6,0
PUMP-00429,124,84.2,59.8,3.25,17,4.9,0
PUMP-00430,12,50.2,51.0,4.02,17,51.0,0
PUMP-00431,8,15.0,53.3,3.86,14,72.9,0
PUMP-00432,92,62.3,58.0,1.86,15,40.2,0
PUMP-00433,60,32.0,49.9,1.56,17,29.7,0
PUMP-00434,113,58.1,55.0,2.08,23,108.2,0
PUMP-00435,98,51.8,50.3,2.12,15,55.7,0
PUMP-00436,122,50.9,62.1,2.63,19,33.8,0
PUMP-00437,129,84.8,60.1,4.07,17,59.5,0
PUMP-00438,31,54.6,58.4,2.77,25,163.3,0
PUMP-00439,45,60.1,56.2,3.72,23,35.6,0
PUMP-00440,87,63.4,64.1,2.91,23,74.5,1
PUMP-00441,10,77.3,58.3,3.59,19,95.1,0
PUMP-00442,65,26.6,49.3,3.05,13,41.7,1
PUMP-00443,11,61.7,58.6,2.27,18,90.6,0
PUMP-00444,25,15.0,58.2,1.49,18,57.7,0
PUMP-00445,21,63.1,57.1,2.44,19,100.2,0
PUMP-00446,136,43.9,60.6,3.13,17,32.2,0
PUMP-00447,25,77.1,47.2,6.34,18,47.0,0
PUMP-00448,29,76.9,61.4,1.39,21,61.7,0
PUMP-00449,132,52.7,55.9,3.5,23,134.3,0
PUMP-00450,45,36.9,56.2,2.75,16,92.3,0
PUMP-00451,9,100.0,58.7,5.04,18,112.8,0
PUMP-00452,61,75.5,62.5,7.25,22,97.4,0
PUMP-00453,43,74.3,54.9,2.62,19,27.2,0
PUMP-00454,139,54.6,63.1,3.88,18,74.0,0
PUMP-00455,121,45.9,56.8,1.67,23,89.9,0
PUMP-00456,4,62.2,58.0,3.44,22,69.7,0
PUMP-00457,47,70.7,60.0,3.61,30,95.6,0
PUMP-00458,24,100.0,57.5,3.4,15,126.2,1
PUMP-00459,26,53.1,60.3,3.47,11,14.9,0
PUMP-00460,120,55.7,56.7,2.79,16,50.3,0
PUMP-00461,48,53.4,45.5,1.2,20,199.7,0
PUMP-00462,104,51.3,54.2,1.85,22,158.4,0
