TITLE,AUTHOR,GENRE,PRICE,RATING,YEAR,STOCK
The Salt Current,Mara Adeyemi,Poetry,40.55,2,2019,50
The Last Beacon,Soren Okonkwo,Poetry,59.4,5,2015,102
The Last Harbor,Anton Adeyemi,History,13.12,5,2014,230
The Pale Orchard,Priya Tran,Mystery,58.08,3,2006,184
The Open Tide,Hugo Lindqvist,Fantasy,68.15,5,2013,201
The Quiet Archive,Lena Pulaski,Poetry,28.23,5,2002,213
The Wild Cipher,Ada Dvorak,Biography,29.74,2,2008,203
The Broken Orchard,Lena Jovanovic,History,12.35,4,2010,39
The Wild Mirror,Yara Brandt,History,11.46,3,2019,146
The Northern Compass,Yara Nakamura,Travel,20.72,4,2009,219
The Quiet Cipher,Cyrus Sato,Fantasy,11.31,3,2021,210
The Gentle Field,Mara Jovanovic,Poetry,69.1,2,2015,65
The Endless Anchor,Milo Keller,History,25.13,4,2021,133
The Silver Compass,Soren Pulaski,Travel,16.02,5,2018,82
The Open Anchor,Cyrus Halloran,Poetry,74.76,4,2012,218
The Pale Compass,Priya Fenwick,Biography,29.39,3,2009,132
The Sunlit Orchard,Lena Nakamura,Self-Help,57.97,5,2004,192
The Bright Garden,Omar Pulaski,History,16.43,4,2014,270
The Pale Harbor,Yara Halloran,Self-Help,51.27,5,2011,159
The Quiet Signal,Omar Nakamura,Poetry,8.01,5,2010,270
The Gentle Thicket,Theo Dvorak,Fantasy,18.19,3,2019,55
The Gentle Harbor,Cyrus Brandt,Literary Fiction,23.58,3,1999,155
The Northern Tide,Vera Nakamura,Mystery,12.71,3,2014,298
The Pale Cipher,Yara Halloran,Cookbook,8.7,2,2007,235
The Open Compass,Cyrus Halloran,Literary Fiction,55.21,5,2007,28
The Quiet Orchard,Anton Nakamura,Mystery,23.27,4,2011,189
The Distant Garden,Milo Lindqvist,Self-Help,8.45,4,2007,258
The Crimson Orchard,Soren Garza,Fantasy,22.84,5,2022,151
The Broken Field,Anton Vargas,Science Fiction,40.5,4,2019,28
The Salt Signal,Iris Brandt,Fantasy,73.27,2,2002,212
The Distant Lantern,Diego Moreau,Poetry,57.09,4,2000,84
The Hidden Orchard,Diego Renner,Poetry,28.89,2,2021,193
The Wild Garden,Rosa Fenwick,Mystery,13.24,2,2000,179
The Restless Meadow,Cyrus Garza,Self-Help,59.51,4,2007,221
The Golden Lantern,Anton Garza,Biography,20.93,5,2009,242
The Quiet Mirror,Theo Moreau,Literary Fiction,10.34,5,2000,31
The Hidden Station,Yara Keller,Cookbook,25.57,2,2020,162
The Bright Ledger,Lena Vargas,Mystery,63.34,2,2001,243
The Bright Mirror,Anton Esposito,Poetry,8.58,3,2021,155
The Hollow Garden,Ada Okonkwo,Biography,42.3,3,2010,81
The Hollow Mirror,Priya Brandt,Poetry,18.77,4,2011,53
The Salt Harbor,Nina Dvorak,Self-Help,74.22,5,2012,88
The Hollow Signal,Milo Okonkwo,Cookbook,58.11,4,2022,62
The Last Ledger,Yara Tran,History,25.02,4,2006,101
The Gentle Compass,Diego Halloran,Fantasy,26.85,3,2016,96
The Silver Tide,Theo Renner,Travel,51.53,4,2001,237
The Distant Meadow,Lena Pulaski,Fantasy,69.26,5,1999,150
The Hollow Meadow,Omar Garza,Cookbook,70.32,4,2009,262
The Endless Thicket,Felix Ibsen,Literary Fiction,50.71,3,2020,179
The Northern Lantern,Nina Ibsen,Literary Fiction,62.59,4,2024,167
The Restless Station,Diego Vargas,History,21.63,3,2023,253
The Frozen Anchor,Priya Nakamura,Mystery,52.49,5,2002,273
The Golden Archive,Iris Ibsen,Self-Help,52.74,4,2011,26
The Restless River,Kwame Garza,Self-Help,21.65,5,1998,222
The Endless Mirror,Hugo Castellano,Self-Help,38.88,4,2003,66
The Quiet Lantern,Cyrus Esposito,Self-Help,46.38,3,2009,258
The Wild Ledger,Diego Renner,Science Fiction,15.29,3,2013,101
The Last Signal,Omar Pulaski,Biography,48.71,2,2018,198
The Endless Compass,Felix Moreau,Cookbook,63.56,4,2003,289
The Silver Beacon,Diego Moreau,Biography,18.01,3,2021,98
The Distant Almanac,Omar Keller,Mystery,48.17,5,2015,156
The Restless Ledger,Greta Halloran,Self-Help,52.14,5,2012,257
The Gentle Archive,Lena Adeyemi,Cookbook,39.17,5,2012,234
The Silver Meadow,Priya Esposito,Biography,32.48,5,2023,226
The Open Beacon,Omar Brandt,Science Fiction,69.78,3,2008,261
The Open Cipher,Mara Adeyemi,Mystery,20.98,3,2013,147
The Golden Station,Felix Ibsen,Science Fiction,68.07,4,2006,233
The Pale Current,Yara Vargas,Travel,29.38,4,1999,101
The Endless Cipher,Diego Ibsen,Biography,19.31,5,2023,135
The Gentle Almanac,Vera Tran,Mystery,74.53,4,2018,201
The Wild Tide,Iris Lindqvist,Cookbook,32.14,3,2022,41
The Distant Ledger,Vera Ibsen,History,57.11,4,2021,17
The Last Field,Milo Nakamura,Travel,68.0,4,2002,250
The Hollow Field,Omar Adeyemi,Literary Fiction,46.0,2,2007,54
The Open Station,Cyrus Halloran,Self-Help,47.47,4,2004,187
The Salt Anchor,Diego Esposito,Literary Fiction,55.4,4,2012,49
The Golden Signal,Yara Moreau,History,11.76,2,2024,287
The Wild Field,Greta Okonkwo,Cookbook,24.65,5,1998,22
The Endless Lantern,Hugo Adeyemi,Cookbook,17.53,4,2004,265
The Restless Field,Diego Renner,History,28.12,3,1999,244
The Frozen River,Iris Nakamura,Poetry,57.7,3,2012,89
The Bright Compass,Omar Dvorak,Biography,55.68,4,2006,283
