Date,SP500
1963-05-01,70.14
1963-06-01,70.11
1963-07-01,69.07
1963-08-01,70.98
1963-09-01,72.85
1963-10-01,73.03
1963-11-01,72.62
1963-12-01,74.17
1964-01-01,76.45
1964-02-01,77.39
1964-03-01,78.8
1964-04-01,79.94
1964-05-01,80.72
1964-06-01,80.24
1964-07-01,83.22
1964-08-01,82.0
1964-09-01,83.41
1964-10-01,84.85
1964-11-01,85.44
1964-12-01,83.96
1965-01-01,86.12
1965-02-01,86.75
1965-03-01,86.83
1965-04-01,87.97
1965-05-01,89.28
1965-06-01,85.04
1965-07-01,84.91
1965-08-01,86.49
1965-09-01,89.38
1965-10-01,91.39
1965-11-01,92.15
1965-12-01,91.73
1966-01-01,93.32
1966-02-01,92.69
1966-03-01,88.88
1966-04-01,91.6
1966-05-01,86.78
1966-06-01,86.06
1966-07-01,85.84
1966-08-01,80.65
1966-09-01,77.81
1966-10-01,77.13
1966-11-01,80.99
1966-12-01,81.33
1967-01-01,84.45
1967-02-01,87.36
1967-03-01,89.42
1967-04-01,90.96
1967-05-01,92.59
1967-06-01,91.43
1967-07-01,93.01
1967-08-01,94.49
1967-09-01,95.81
1967-10-01,95.66
1967-11-01,92.66
1967-12-01,95.3
1968-01-01,95.04
1968-02-01,90.75
1968-03-01,89.09
1968-04-01,95.67
1968-05-01,97.87
1968-06-01,100.5
1968-07-01,100.3
1968-08-01,98.11
1968-09-01,101.3
1968-10-01,103.8
1968-11-01,105.4
1968-12-01,106.5
1969-01-01,102.0
1969-02-01,101.5
1969-03-01,99.3
1969-04-01,101.3
1969-05-01,104.6
1969-06-01,99.14
1969-07-01,94.71
1969-08-01,94.18
1969-09-01,94.51
1969-10-01,95.52
1969-11-01,96.21
1969-12-01,91.11
1970-01-01,90.31
1970-02-01,87.16
1970-03-01,88.65
1970-04-01,85.95
1970-05-01,76.06
1970-06-01,75.59
1970-07-01,75.72
1970-08-01,77.92
1970-09-01,82.58
1970-10-01,84.37
1970-11-01,84.28
1970-12-01,90.05
1971-01-01,93.49
1971-02-01,97.11
1971-03-01,99.6
1971-04-01,103.0
1971-05-01,101.6
1971-06-01,99.72
1971-07-01,99.0
1971-08-01,97.24
1971-09-01,99.4
1971-10-01,97.29
1971-11-01,92.78
1971-12-01,99.17
1972-01-01,103.3
1972-02-01,105.2
1972-03-01,107.7
1972-04-01,108.8
1972-05-01,107.7
1972-06-01,108.0
1972-07-01,107.2
1972-08-01,111.0
1972-09-01,109.4
1972-10-01,109.6
1972-11-01,115.1
1972-12-01,117.5
1973-01-01,118.4
1973-02-01,114.2
1973-03-01,112.4
1973-04-01,110.3
1973-05-01,107.2
1973-06-01,104.8
1973-07-01,105.8
1973-08-01,103.8
1973-09-01,105.6
1973-10-01,109.8
1973-11-01,102.0
1973-12-01,94.78
1974-01-01,96.11
1974-02-01,93.45
1974-03-01,97.44
1974-04-01,92.46
1974-05-01,89.67
1974-06-01,89.79
1974-07-01,79.31
1974-08-01,76.03
1974-09-01,68.12
1974-10-01,69.44
1974-11-01,71.74
1974-12-01,67.07
1975-01-01,72.56
1975-02-01,80.1
1975-03-01,83.78
1975-04-01,84.72
1975-05-01,90.1
1975-06-01,92.4
1975-07-01,92.49
1975-08-01,85.71
1975-09-01,84.67
1975-10-01,88.57
1975-11-01,90.07
1975-12-01,88.7
1976-01-01,96.86
1976-02-01,100.6
1976-03-01,101.1
1976-04-01,101.9
1976-05-01,101.2
1976-06-01,101.8
1976-07-01,104.2
1976-08-01,103.3
1976-09-01,105.5
1976-10-01,101.9
1976-11-01,101.2
1976-12-01,104.7
1977-01-01,103.8
1977-02-01,101.0
1977-03-01,100.6
1977-04-01,99.05
1977-05-01,98.76
1977-06-01,99.29
1977-07-01,100.2
1977-08-01,97.75
1977-09-01,96.23
1977-10-01,93.74
1977-11-01,94.28
1977-12-01,93.82
1978-01-01,90.25
1978-02-01,88.98
1978-03-01,88.82
1978-04-01,92.71
1978-05-01,97.41
1978-06-01,97.66
1978-07-01,97.19
1978-08-01,103.9
1978-09-01,103.9
1978-10-01,100.6
1978-11-01,94.71
1978-12-01,96.11
1979-01-01,99.71
1979-02-01,98.23
1979-03-01,100.1
1979-04-01,102.1
1979-05-01,99.73
1979-06-01,101.7
1979-07-01,102.7
1979-08-01,107.4
1979-09-01,108.6
1979-10-01,104.5
1979-11-01,103.7
1979-12-01,107.8
1980-01-01,110.9
1980-02-01,115.3
1980-03-01,104.7
1980-04-01,103.0
1980-05-01,107.7
1980-06-01,114.6
1980-07-01,119.8
1980-08-01,123.5
1980-09-01,126.5
1980-10-01,130.2
1980-11-01,135.7
1980-12-01,133.5
1981-01-01,133.0
1981-02-01,128.4
1981-03-01,133.2
1981-04-01,134.4
1981-05-01,131.7
1981-06-01,132.3
1981-07-01,129.1
1981-08-01,129.6
1981-09-01,118.3
1981-10-01,119.8
1981-11-01,122.9
1981-12-01,123.8
1982-01-01,117.3
1982-02-01,114.5
1982-03-01,110.8
1982-04-01,116.3
1982-05-01,116.4
1982-06-01,109.7
1982-07-01,109.4
1982-08-01,109.7
1982-09-01,122.4
1982-10-01,132.7
1982-11-01,138.1
1982-12-01,139.4
1983-01-01,144.3
1983-02-01,146.8
1983-03-01,151.9
1983-04-01,157.7
1983-05-01,164.1
1983-06-01,166.4
1983-07-01,167.0
1983-08-01,162.4
1983-09-01,167.2
1983-10-01,167.7
1983-11-01,165.2
1983-12-01,164.4
1984-01-01,166.4
1984-02-01,157.3
1984-03-01,157.4
1984-04-01,157.6
1984-05-01,156.6
1984-06-01,153.1
1984-07-01,151.1
1984-08-01,164.4
1984-09-01,166.1
1984-10-01,164.8
1984-11-01,166.3
1984-12-01,164.5
1985-01-01,171.6
1985-02-01,180.9
1985-03-01,179.4
1985-04-01,180.6
1985-05-01,184.9
1985-06-01,188.9
1985-07-01,192.5
1985-08-01,188.3
1985-09-01,184.1
1985-10-01,186.2
1985-11-01,197.5
1985-12-01,207.3
1986-01-01,208.2
1986-02-01,219.4
1986-03-01,232.3
1986-04-01,238.0
1986-05-01,238.5
1986-06-01,245.3
1986-07-01,240.2
1986-08-01,245.0
1986-09-01,238.3
1986-10-01,237.4
1986-11-01,245.1
1986-12-01,248.6
1987-01-01,264.5
1987-02-01,280.9
1987-03-01,292.5
1987-04-01,289.3
1987-05-01,289.1
1987-06-01,301.4
1987-07-01,310.1
1987-08-01,329.4
1987-09-01,318.7
1987-10-01,280.2
1987-11-01,245.0
1987-12-01,241.0
1988-01-01,250.5
1988-02-01,258.1
1988-03-01,265.7
1988-04-01,262.6
1988-05-01,256.1
1988-06-01,270.7
1988-07-01,269.1
1988-08-01,263.7
1988-09-01,268.0
1988-10-01,277.4
1988-11-01,271.0
1988-12-01,276.5
1989-01-01,285.4
1989-02-01,294.0
1989-03-01,292.7
1989-04-01,302.3
1989-05-01,313.9
1989-06-01,323.7
1989-07-01,331.9
1989-08-01,346.6
1989-09-01,347.3
1989-10-01,347.4
1989-11-01,340.2
1989-12-01,348.6
1990-01-01,339.97
1990-02-01,330.45
1990-03-01,338.46
1990-04-01,338.18
1990-05-01,350.25
1990-06-01,360.39
1990-07-01,360.03
1990-08-01,330.75
1990-09-01,315.41
1990-10-01,307.12
1990-11-01,315.29
1990-12-01,328.75
1991-01-01,325.49
1991-02-01,362.26
1991-03-01,372.28
1991-04-01,379.68
1991-05-01,377.99
1991-06-01,378.29
1991-07-01,380.23
1991-08-01,389.4
1991-09-01,387.2
1991-10-01,386.88
1991-11-01,385.92
1991-12-01,388.51
1992-01-01,416.08
1992-02-01,412.56
1992-03-01,407.36
1992-04-01,407.41
1992-05-01,414.81
1992-06-01,408.27
1992-07-01,415.05
1992-08-01,417.93
1992-09-01,418.48
1992-10-01,412.5
1992-11-01,422.84
1992-12-01,435.64
1993-01-01,435.23
1993-02-01,441.7
1993-03-01,450.16
1993-04-01,443.08
1993-05-01,445.25
1993-06-01,448.06
1993-07-01,447.29
1993-08-01,454.13
1993-09-01,459.24
1993-10-01,463.9
1993-11-01,462.89
1993-12-01,465.95
1994-01-01,472.99
1994-02-01,471.58
1994-03-01,463.81
1994-04-01,447.23
1994-05-01,450.9
1994-06-01,454.83
1994-07-01,451.4
1994-08-01,464.24
1994-09-01,466.96
1994-10-01,463.81
1994-11-01,461.01
1994-12-01,455.19
1995-01-01,465.25
1995-02-01,481.92
1995-03-01,493.15
1995-04-01,507.91
1995-05-01,523.81
1995-06-01,539.35
1995-07-01,557.37
1995-08-01,559.11
1995-09-01,578.77
1995-10-01,582.92
1995-11-01,595.53
1995-12-01,614.57
1996-01-01,614.42
1996-02-01,649.54
1996-03-01,647.07
1996-04-01,647.17
1996-05-01,661.23
1996-06-01,668.5
1996-07-01,644.07
1996-08-01,662.68
1996-09-01,674.88
1996-10-01,701.46
1996-11-01,735.67
1996-12-01,743.25
1997-01-01,766.22
1997-02-01,798.39
1997-03-01,792.16
1997-04-01,763.93
1997-05-01,833.09
1997-06-01,876.29
1997-07-01,925.29
1997-08-01,927.24
1997-09-01,937.02
1997-10-01,951.16
1997-11-01,938.92
1997-12-01,962.37
1998-01-01,963.36
1998-02-01,1023.74
1998-03-01,1076.83
1998-04-01,1112.2
1998-05-01,1108.42
1998-06-01,1108.39
1998-07-01,1156.58
1998-08-01,1074.62
1998-09-01,1020.64
1998-10-01,1032.47
1998-11-01,1144.43
1998-12-01,1190.05
1999-01-01,1248.77
1999-02-01,1246.58
1999-03-01,1281.66
1999-04-01,1334.76
1999-05-01,1332.07
1999-06-01,1322.55
1999-07-01,1380.99
1999-08-01,1327.49
1999-09-01,1318.17
1999-10-01,1300.01
1999-11-01,1391.0
1999-12-01,1428.68
2000-01-01,1425.59
2000-02-01,1388.87
2000-03-01,1442.21
2000-04-01,1461.36
2000-05-01,1418.48
2000-06-01,1461.96
2000-07-01,1473.0
2000-08-01,1485.46
2000-09-01,1468.05
2000-10-01,1390.14
2000-11-01,1378.04
2000-12-01,1330.93
2001-01-01,1335.63
2001-02-01,1305.75
2001-03-01,1185.85
2001-04-01,1189.84
2001-05-01,1270.37
2001-06-01,1238.71
2001-07-01,1204.45
2001-08-01,1178.5
2001-09-01,1044.64
2001-10-01,1076.59
2001-11-01,1129.68
2001-12-01,1144.93
2002-01-01,1140.21
2002-02-01,1100.67
2002-03-01,1153.79
2002-04-01,1111.93
2002-05-01,1079.25
2002-06-01,1014.02
2002-07-01,903.59
2002-08-01,912.55
2002-09-01,867.81
2002-10-01,854.63
2002-11-01,909.93
2002-12-01,899.18
2003-01-01,895.84
2003-02-01,837.03
2003-03-01,846.63
2003-04-01,890.03
2003-05-01,935.96
2003-06-01,988.0
2003-07-01,992.54
2003-08-01,989.53
2003-09-01,1019.44
2003-10-01,1038.73
2003-11-01,1049.9
2003-12-01,1080.64
2004-01-01,1132.52
2004-02-01,1143.36
2004-03-01,1123.98
2004-04-01,1133.36
2004-05-01,1102.78
2004-06-01,1132.76
2004-07-01,1105.85
2004-08-01,1088.94
2004-09-01,1117.66
2004-10-01,1117.21
2004-11-01,1168.94
2004-12-01,1199.21
2005-01-01,1181.41
2005-02-01,1199.63
2005-03-01,1194.9
2005-04-01,1164.43
2005-05-01,1178.28
2005-06-01,1202.25
2005-07-01,1222.24
2005-08-01,1224.27
2005-09-01,1225.92
2005-10-01,1191.96
2005-11-01,1237.37
2005-12-01,1262.07
2006-01-01,1278.73
2006-02-01,1276.65
2006-03-01,1293.74
2006-04-01,1302.17
2006-05-01,1290.01
2006-06-01,1253.17
2006-07-01,1260.24
2006-08-01,1287.15
2006-09-01,1317.74
2006-10-01,1363.38
2006-11-01,1388.64
2006-12-01,1416.42
2007-01-01,1424.16
2007-02-01,1444.8
2007-03-01,1406.95
2007-04-01,1463.64
2007-05-01,1511.14
2007-06-01,1514.19
2007-07-01,1520.71
2007-08-01,1454.62
2007-09-01,1497.12
2007-10-01,1539.66
2007-11-01,1463.39
2007-12-01,1479.22
2008-01-01,1378.76
2008-02-01,1354.87
2008-03-01,1316.94
2008-04-01,1370.47
2008-05-01,1403.22
2008-06-01,1341.25
2008-07-01,1257.33
2008-08-01,1281.47
2008-09-01,1216.95
2008-10-01,968.8
2008-11-01,883.04
2008-12-01,877.56
2009-01-01,865.58
2009-02-01,805.23
2009-03-01,757.13
2009-04-01,848.15
2009-05-01,902.41
2009-06-01,926.12
2009-07-01,935.82
2009-08-01,1009.73
2009-09-01,1044.55
2009-10-01,1067.66
2009-11-01,1088.07
2009-12-01,1110.38
2010-01-01,1123.58
2010-02-01,1089.16
2010-03-01,1152.05
2010-04-01,1197.32
2010-05-01,1125.06
2010-06-01,1083.36
2010-07-01,1079.8
2010-08-01,1087.28
2010-09-01,1122.08
2010-10-01,1171.58
2010-11-01,1198.89
2010-12-01,1241.53
2011-01-01,1282.62
2011-02-01,1321.12
2011-03-01,1304.49
2011-04-01,1331.51
2011-05-01,1338.31
2011-06-01,1287.29
2011-07-01,1325.19
2011-08-01,1185.31
2011-09-01,1173.88
2011-10-01,1207.22
2011-11-01,1226.42
2011-12-01,1243.32
2012-01-01,1300.58
2012-02-01,1352.49
2012-03-01,1389.24
2012-04-01,1386.43
2012-05-01,1341.27
2012-06-01,1323.48
2012-07-01,1359.78
2012-08-01,1403.45
2012-09-01,1443.42
2012-10-01,1437.82
2012-11-01,1394.51
2012-12-01,1422.29
2013-01-01,1480.4
2013-02-01,1512.31
2013-03-01,1550.83
2013-04-01,1570.7
2013-05-01,1639.84
2013-06-01,1618.77
2013-07-01,1668.68
2013-08-01,1670.09
2013-09-01,1687.17
2013-10-01,1720.03
2013-11-01,1783.54
2013-12-01,1807.78
2014-01-01,1822.36
2014-02-01,1817.04
2014-03-01,1863.52
2014-04-01,1864.26
2014-05-01,1889.77
2014-06-01,1947.09
2014-07-01,1973.1
2014-08-01,1961.53
2014-09-01,1993.23
2014-10-01,1937.27
2014-11-01,2044.57
2014-12-01,2054.27
2015-01-01,2028.18
2015-02-01,2082.2
2015-03-01,2079.99
2015-04-01,2094.86
2015-05-01,2111.94
2015-06-01,2099.29
2015-07-01,2094.14
2015-08-01,2039.87
2015-09-01,1944.41
2015-10-01,2024.81
2015-11-01,2080.62
2015-12-01,2054.08
2016-01-01,1918.6
2016-02-01,1904.42
2016-03-01,2021.95
2016-04-01,2075.54
2016-05-01,2065.55
2016-06-01,2083.89
2016-07-01,2148.9
2016-08-01,2170.95
2016-09-01,2157.69
2016-10-01,2143.02
2016-11-01,2164.99
2016-12-01,2246.63
2017-01-01,2275.12
2017-02-01,2329.91
2017-03-01,2366.82
2017-04-01,2359.31
2017-05-01,2395.35
2017-06-01,2433.99
2017-07-01,2454.1
2017-08-01,2456.22
2017-09-01,2492.84
2017-10-01,2557.0
2017-11-01,2593.61
2017-12-01,2664.34
2018-01-01,2789.8
2018-02-01,2705.16
2018-03-01,2702.77
2018-04-01,2653.63
2018-05-01,2701.49
2018-06-01,2754.35
2018-07-01,2793.64
2018-08-01,2857.82
2018-09-01,2901.5
2018-10-01,2785.46
2018-11-01,2723.23
2018-12-01,2567.31
2019-01-01,2607.39
2019-02-01,2754.86
2019-03-01,2803.98
2019-04-01,2903.8
2019-05-01,2854.71
2019-06-01,2890.17
2019-07-01,2996.1136363636365
2019-08-01,2897.498181818182
2019-09-01,2982.156
2019-10-01,2977.68
2019-11-01,3104.9044999999996
2019-12-01,3176.7495238095235
2020-01-01,3278.2028571428577
2020-02-01,3277.3142105263164
2020-03-01,2652.3936363636367
2020-04-01,2761.975238095238
2020-05-01,2919.615
2020-06-01,3104.6609090909087
2020-07-01,3207.6190909090906
2020-08-01,3391.71
2020-09-01,3365.5166666666664
2020-10-01,3418.701363636364
2020-11-01,3548.992500000001
2020-12-01,3695.309999999999
2021-01-01,3793.748421052632
2021-02-01,3883.4321052631576
2021-03-01,3910.5082608695648
2021-04-01,4141.176190476191
2021-05-01,4167.849500000001
2021-06-01,4238.489545454546
2021-07-01,4363.7128571428575
2021-08-01,4454.206363636363
2021-09-01,4445.543333333333
2021-10-01,4460.707142857143
2021-11-01,4667.386666666667
2021-12-01,4674.772727272726
2022-01-01,4573.8155
2022-02-01,4435.980526315789
2022-03-01,4391.265217391306
2022-04-01,4391.295999999999
2022-05-01,4040.36
2022-06-01,3898.946666666667
2022-07-01,3911.729499999999
2022-08-01,4158.5630434782615
2022-09-01,3850.520476190475
2022-10-01,3726.050952380952
2022-11-01,3917.488571428571
2022-12-01,3912.380952380953
2023-01-01,3960.6565
2023-02-01,4079.684736842105
2023-03-01,3968.559130434782
2023-04-01,4121.467368421053
2023-05-01,4146.1731818181825
2023-06-01,4345.372857142857
2023-07-01,4508.075500000001
2023-08-01,4457.358695652174
2023-09-01,4515.77
2023-10-01,4269.4
2023-11-01,4460.06
2023-12-01,4685.05
2024-01-01,4804.49
2024-02-01,5011.96
2024-03-01,5170.57
2024-04-01,5112.49
2024-05-01,5235.23
2024-06-01,5415.14
2024-07-01,5538.0
2024-08-01,5478.21
2024-09-01,5621.26
2024-10-01,5792.32
2024-11-01,5929.92
2024-12-01,6010.91
2025-01-01,5979.52
2025-02-01,6038.69
2025-03-01,5683.98
2025-04-01,5369.5
2025-05-01,5810.92
2025-06-01,6029.95
2025-07-01,6296.5
2025-08-01,6408.95
2025-09-01,6584.02
2025-10-01,6735.69
2025-11-01,6740.89
2025-12-01,6853.03
2026-01-01,6929.12
2026-02-01,6893.81
2026-03-01,6654.42
2026-04-01,6957.01
2026-05-01,7412.55
