Date,IPOName,Issue_Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Subscription_Total,Issue_Price,Listing_Gains_Percent,Listing_Gains
12/05/11,Servalakshmi,60.0,0.34,4.21,1.9,1.47,29,-34.48,0
13/05/11,Innoventive Ind,219.58,0.85,1.94,1.48,1.24,117,-20.0,0
23/05/11,Sanghvi Forging,36.9,0.0,1.82,2.93,1.3,85,31.47,1
27/05/11,Dr Datson Labs,120.0,0.14,2.65,1.84,1.11,234,33.01,1
14/06/11,VMS Industries,25.75,0.0,1.11,3.41,1.36,40,-28.75,0
22/06/11,Timbor Home,23.25,0.65,3.22,14.22,5.78,63,44.76,1
07/07/11,Birla Pacific,65.18,1.04,0.17,1.82,1.18,10,153.5,1
07/07/11,Rushil Decor,40.64,0.23,1.35,6.57,2.62,72,45.12,1
13/07/11,Kridhan Infra,34.75,0.03,1.37,4.18,1.68,108,-87.69,0
28/07/11,Bharatiya Glob,55.1,0.0,1.94,5.06,2.06,82,-62.26,0
04/08/11,Inventure Grow,81.9,0.25,9.49,8.66,4.58,117,-95.56,0
12/08/11,L&T Finance,1245.0,1.93,6.18,9.61,5.34,52,-10.65,0
26/08/11,Tree House,112.06,1.02,1.68,2.76,1.85,135,-13.67,0
05/09/11,Brooks Labs,63.0,0.0,2.82,3.36,1.6,100,-49.8,0
08/09/11,TD Power System,227.0,6.52,0.32,0.36,2.72,256,-78.53,0
16/09/11,SRS,227.5,0.74,5.0,0.29,1.22,58,-70.98,0
26/09/11,PG Electroplast,120.65,0.98,1.84,1.64,1.34,210,96.02,1
04/10/11,Setubandhan Inf,60.0,0.31,2.76,4.68,2.21,138,-83.37,0
17/10/11,Onelife Capital,36.85,1.02,0.93,2.32,1.51,110,32.64,1
19/10/11,Taksheel Solut,82.5,0.24,4.7,6.18,2.99,150,-61.23,0
19/10/11,Flexituff Ventu,104.63,0.51,1.55,1.55,1.03,155,7.35,1
20/10/11,Ujaas Energy,93.0,1.03,1.56,2.35,1.57,186,-82.92,0
24/10/11,Vaswani Ind,49.0,0.16,11.29,6.82,4.16,49,-63.78,0
02/11/11,Indo Thai Secu,33.6,0.0,0.02,3.31,1.16,74,-68.92,0
09/03/12,MCX India,663.31,49.12,150.35,24.14,54.13,1032,25.68,1
28/03/12,Olympic Cards,25.0,0.0,3.43,1.36,0.99,30,-5.0,0
12/04/12,NBCC (India),127.2,7.07,1.7,3.4,4.93,106,-93.9,0
12/04/12,MT Educare,99.0,6.01,8.0,2.17,4.8,80,12.94,1
09/05/12,Tribhovandas,210.0,1.29,1.91,0.68,1.15,120,-7.33,0
30/05/12,Speciality Rest,181.96,4.68,2.19,0.55,2.54,150,7.1,1
18/07/12,VKS Projects,55.0,1.15,0.38,1.13,1.03,55,-97.15,0
06/12/12,Tara Jewels,0.0,1.49,3.1,2.05,1.98,230,-0.02,0
26/12/12,CARE Ratings,539.98,45.8,110.96,6.18,40.98,750,23.19,1
27/12/12,PC Jeweller,609.3,7.33,18.12,1.68,6.85,135,-44.81,0
28/12/12,INDUS TOWERS,4533.6,2.84,0.1,0.06,1.21,220,-13.09,0
01/04/13,Repco Home,270.38,3.39,0.35,0.51,1.65,172,-6.48,0
05/06/13,Just Dial,950.0,10.12,22.34,3.53,11.63,530,15.37,1
09/05/14,Wonderla,181.25,16.71,159.04,7.56,38.06,125,26.08,1
12/09/14,Snowman Logist,197.4,16.98,221.79,41.26,59.75,47,67.55,1
23/09/14,Sharda Crop,352.0,32.06,251.35,5.85,59.97,156,48.37,1
01/10/14,Shemaroo Ent,120.0,5.69,8.64,7.79,7.39,170,0.59,1
19/12/14,Monte Carlo,342.28,13.96,1.71,6.96,7.83,645,-12.19,0
19/03/15,Ortel Comm,240.0,1.01,0.09,0.39,0.75,181,-5.0,0
06/04/15,Imagicaaworld,467.0,1.17,0.49,1.37,1.11,180,6.25,1
09/04/15,Inox Wind,700.0,35.68,35.38,2.15,18.6,325,34.77,1
30/04/15,VRL Logistics,473.88,58.22,250.86,7.92,74.26,205,43.07,1
06/05/15,MEP Infra,324.0,1.02,1.51,0.97,1.11,63,-3.25,0
14/05/15,UFO Moviez,600.0,4.49,1.17,1.02,2.04,625,-4.19,0
26/05/15,PNC Infratech,488.0,4.51,0.65,0.28,1.56,378,-80.94,0
09/07/15,Manpasand Bever,400.0,1.99,0.38,1.16,1.4,320,-48.93,0
11/08/15,Syngene Intl,550.0,51.47,90.24,4.78,32.05,250,-37.92,0
26/08/15,Power Mech,273.22,27.53,133.22,3.42,38.12,640,-8.48,0
09/09/15,Navkar Corp,600.0,6.47,0.9,1.62,2.85,155,7.35,1
10/09/15,Shree Pushkar,70.0,0.97,2.09,1.54,1.34,65,-3.08,0
10/09/15,Pennar Eng,156.19,0.0,0.04,0.11,0.07,178,-11.52,0
16/09/15,Sadbhav Infra,425.0,3.04,1.66,1.69,2.24,103,3.06,1
21/09/15,Prabhat Dairy,300.0,0.88,1.42,0.34,0.77,115,1.17,1
02/11/15,Coffee Day,1150.0,4.39,0.54,0.9,1.82,328,-17.64,0
10/11/15,Interglobe Avi,3000.0,17.8,3.57,0.92,6.15,765,14.83,1
16/11/15,S H Kelkar,200.0,0.0,0.0,0.0,0.0,180,15.17,1
23/12/15,Alkem Lab,1349.6,57.19,129.96,3.17,44.29,1050,31.57,1
23/12/15,Dr Lal PathLab,638.0,63.56,61.28,4.24,33.41,550,49.85,1
06/01/16,Narayana Hruda,613.0,0.01,0.01,0.13,0.07,250,34.68,1
08/02/16,Precision Camsh,410.0,2.62,0.73,2.01,1.91,186,-4.7,0
12/02/16,TeamLease Ser.,273.68,26.97,185.24,10.61,66.02,850,20.23,1
18/02/16,Quick Heal Tech,450.0,4.34,36.69,3.82,10.8,321,-20.73,0
01/04/16,Bharat Wire Rop,70.0,1.01,2.02,2.08,1.21,45,0.89,1
21/04/16,Equitas Holding,2159.0,14.93,57.29,1.4,17.21,110,22.95,1
09/05/16,Thyrocare Techn,479.21,73.18,225.3,8.73,73.55,446,38.59,1
10/05/16,Ujjivan Financi,358.16,33.84,135.45,4.02,40.68,210,10.29,1
19/05/16,Parag Milk Food,764.3,1.15,3.08,2.12,1.83,215,15.26,1
01/07/16,Mahanagar Gas,1039.64,72.84,191.61,6.82,64.54,421,23.49,1
12/07/16,Quess Corp,400.0,59.02,392.21,31.23,143.99,317,58.68,1
21/07/16,L&T Infotech,1242.0,19.91,10.76,7.39,11.69,710,-1.74,0
01/08/16,Advanced Enzyme,60.0,94.03,393.1,11.67,116.02,896,-73.7,0
11/08/16,Dilip Buildcon,430.0,0.0,0.0,0.0,0.0,219,15.05,1
12/08/16,S P Apparels,215.0,1.0,0.45,0.54,0.66,268,10.07,1
31/08/16,RBL Bank,1100.0,85.08,198.06,5.7,69.62,225,33.02,1
23/09/16,L&T Technology,900.0,5.01,1.03,1.74,2.52,860,0.59,1
27/09/16,GNA Axles,130.41,17.18,217.47,11.84,54.88,207,12.78,1
29/09/16,ICICI Prudentia,6057.0,11.83,28.55,1.42,10.48,334,-10.88,0
04/10/16,HPL Electric &,361.0,5.77,22.2,3.31,8.06,202,-6.41,0
19/10/16,Endurance Techn,1161.0,1.7,0.13,0.82,0.92,472,37.22,1
07/11/16,PNB Housing Fin,3000.0,37.33,86.17,1.32,29.53,775,14.92,1
08/11/16,Varun Beverages,1114.0,4.94,0.42,0.82,1.86,445,-69.23,0
09/12/16,Sheela Foam,178.5,14.51,3.35,0.44,5.09,730,41.37,1
19/12/16,Laurus Labs,560.7,10.54,3.57,1.58,4.53,428,-77.55,0
03/02/17,BSE Limited,1243.0,48.64,159.03,6.48,51.22,806,-55.78,0
17/03/17,Music Broadcast,488.53,39.78,109.13,9.85,39.67,333,-82.07,0
21/03/17,Avenue Supermar,1870.0,144.61,277.74,7.3,104.48,299,114.3,1
31/03/17,CL Educate,238.95,3.65,0.21,1.63,1.9,500,-58.21,0
05/04/17,Shankara Buildi,232.96,51.62,90.68,15.35,41.88,460,37.57,1
09/05/17,S Chand and Co,325.0,44.27,204.65,6.07,59.49,670,0.87,1
19/05/17,HUDCO,1224.0,55.45,330.36,10.79,79.53,58,25.0,1
29/05/17,PSP Projects,211.68,8.38,10.39,6.47,8.58,210,-0.5,0
06/06/17,IndiGrid InvIT,2250.0,1.14,1.6,0.0,1.35,100,-4.92,0
27/06/17,Tejas Networks,326.69,2.16,0.48,3.1,1.88,257,2.45,1
29/06/17,Eris Life,1741.1,4.68,0.45,3.51,3.29,603,-0.32,0
30/06/17,CDSL,523.99,148.71,563.03,23.83,170.16,149,75.57,1
04/07/17,GTPL Hathway,484.8,1.48,2.48,0.99,1.53,170,0.97,1
10/07/17,AU Small Financ,1912.51,78.77,143.51,3.52,53.6,358,-24.41,0
25/07/17,Salasar Techno,35.87,0.0,487.18,58.59,277.28,108,-74.81,0
10/08/17,SIS,362.25,5.64,1.65,18.67,6.92,815,-53.58,0
11/08/17,Cochin Shipyard,1454.0,63.51,288.87,8.12,76.06,432,20.83,1
04/09/17,Apex Frozen,152.25,1.91,7.82,8.53,6.14,175,19.91,1
18/09/17,Dixon Technolog,599.28,134.66,345.62,9.46,117.27,1766,-67.24,0
18/09/17,Bharat Road Net,600.65,1.33,1.63,5.16,1.75,205,1.54,1
21/09/17,Matrimony.com,501.07,1.88,0.41,18.16,4.44,985,-8.51,0
25/09/17,Capacite Infra,400.0,131.32,638.05,17.57,183.03,250,36.96,1
27/09/17,ICICI Lombard,5700.94,8.93,0.83,1.23,2.98,661,3.11,1
03/10/17,SBI Life Insura,8400.0,12.56,0.7,0.81,3.55,700,1.14,1
05/10/17,Prataap Snacks,481.94,76.89,101.15,7.62,46.97,938,25.62,1
16/10/17,Godrej Agrovet,1157.31,150.96,236.04,7.67,95.41,460,29.47,1
23/10/17,IEX,1000.7,2.56,0.85,2.61,2.28,1650,-96.71,0
25/10/17,General Insuran,11372.0,2.25,0.22,0.63,1.38,912,-52.28,0
06/11/17,Nippon,1542.0,118.41,209.44,5.23,81.33,252,12.7,1
10/11/17,Mahindra Logist,829.36,15.61,2.07,6.11,7.9,429,0.03,1
14/11/17,Khadim India,493.06,2.45,0.18,2.34,1.9,750,-8.2,0
17/11/17,HDFC Life,8695.01,16.6,2.29,0.9,4.89,290,18.71,1
15/12/17,Shalby,504.8,4.34,0.42,2.98,2.82,248,-3.53,0
18/12/17,Future Supply,649.69,12.36,11.15,3.28,7.56,664,3.28,1
29/12/17,Astron Paper &,70.0,103.35,396.99,77.93,243.29,50,139.4,1
22/01/18,Apollo Micro Sy,156.0,101.93,958.07,40.19,248.51,275,65.13,1
29/01/18,Newgen Software,424.62,15.62,5.52,5.18,8.25,245,3.27,1
30/01/18,Amber Enterpris,600.0,174.99,519.26,11.65,165.42,859,44.03,1
08/02/18,Galaxy Surfacta,937.09,54.67,6.96,6.0,20.0,1480,14.74,1
26/02/18,Aster DM Health,980.14,2.1,0.55,1.18,1.31,190,-5.34,0
09/03/18,HG Infra Engg,457.7,8.37,4.97,3.08,4.98,270,0.02,1
23/03/18,Bharat Dynamics,960.94,1.5,0.5,1.41,1.3,428,-8.71,0
27/03/18,Bandhan Bank,4473.0,38.67,13.89,1.2,14.63,375,27.25,1
28/03/18,Hindustan Aeron,4229.0,1.73,0.03,0.39,0.99,1215,-7.13,0
04/04/18,Mishra Dhatu Ni,438.38,1.96,0.12,0.72,1.21,0,0.0,0
05/04/18,ICICI Securitie,4016.0,0.54,0.05,0.39,0.36,520,-14.44,0
21/05/18,Indostar Capita,1844.0,16.08,6.91,1.48,6.8,572,2.36,1
02/07/18,RITES,453.6,71.72,194.56,15.74,67.24,185,-8.02,0
02/07/18,Fine Organics,597.87,12.86,21.01,1.62,8.99,783,5.08,1
30/07/18,TCNS Clothing C,1121.98,13.47,5.08,0.67,5.27,716,-8.13,0
23/08/18,CreditAccess Gr,1126.44,5.52,0.98,0.88,2.22,422,-0.28,0
08/10/18,AAVAS Financier,1729.2,2.77,0.26,0.25,0.97,821,-5.83,0
04/02/19,Xelpmoc Design,23.0,1.24,7.69,2.64,3.25,66,-10.91,0
07/02/19,Chalet Hotels,1628.84,4.66,1.1,0.03,1.57,280,3.71,1
29/03/19,MSTC,213.81,1.13,2.15,2.95,1.46,128,-10.78,0
01/04/19,Embassy Office,4750.0,2.15,3.09,0.31,2.57,300,4.7,1
11/04/19,Rail Vikas,430.88,1.36,0.8,2.92,1.82,19,0.26,1
15/04/19,Metropolis,1200.18,8.88,3.03,2.21,5.84,880,9.04,1
08/05/19,Neogen,131.48,30.49,113.88,16.06,41.18,0,0.0,0
04/07/19,Indiamart Inter,474.12,30.83,62.13,14.07,36.21,973,33.87,1
20/08/19,Sterling Wilson,3125.0,1.02,0.89,0.3,0.85,780,-7.01,0
14/10/19,IRCTC,635.04,108.79,354.52,14.94,111.95,320,-54.46,0
04/12/19,CSB Bank,409.68,38.85,45.49,9.01,35.24,195,53.9,1
12/12/19,Ujjivan Small,750.0,110.72,473.0,49.09,165.68,37,51.08,1
30/12/19,Prince Pipes,500.0,3.54,1.21,1.89,2.21,178,-6.4,0
16/03/20,SBI Card,10286.2,57.18,45.23,2.5,26.54,755,-9.51,0
23/07/20,Rossari,496.25,2.75,4.34,2.51,2.97,425,74.67,1
17/09/20,Happiest Minds,702.02,77.43,351.46,70.94,150.98,166,123.49,1
21/09/20,Route,600.0,89.76,192.81,12.67,73.3,350,86.03,1
01/10/20,Chemcon Special,318.0,113.54,449.14,41.21,149.33,340,72.0,1
01/10/20,CAMS,2244.33,73.18,111.85,5.55,46.99,1230,13.95,1
05/10/20,Angel One,600.0,5.74,0.69,4.31,3.94,306,-9.85,0
12/10/20,UTI AMC,2159.88,3.34,0.93,2.32,2.31,554,-13.97,0
12/10/20,Mazagon Dock,443.69,89.71,678.88,35.63,157.41,145,19.31,1
02/11/20,Equitas Bank,517.6,3.91,0.22,2.08,1.95,33,-0.76,0
20/11/20,Gland,6479.55,6.4,0.51,0.24,2.06,1500,21.36,1
14/12/20,Restaurant Bran,796.5,86.64,354.11,68.15,156.65,60,130.67,1
24/12/20,Bectors Food,540.54,176.85,620.86,29.33,198.02,288,106.79,1
01/01/21,Antony Waste,300.53,0.64,0.28,7.22,3.85,315,29.29,1
29/01/21,IRFC,4633.0,0.89,0.52,1.59,1.16,26,-4.42,0
02/02/21,Indigo Paints,1170.56,96.21,115.76,6.5,54.84,1490,109.31,1
03/02/21,Home First,1153.72,52.53,39.0,6.59,26.66,518,1.81,1
05/02/21,Stove Kraft,412.63,8.02,32.72,26.04,18.03,385,15.83,1
25/02/21,Nureca,100.0,0.24,17.1,74.29,17.98,400,66.66,1
26/02/21,Railtel,819.24,22.03,51.4,7.08,20.68,94,29.15,1
05/03/21,Heranba,60.0,25.98,108.72,4.82,33.13,627,29.55,1
15/03/21,MTAR Tech,596.41,52.01,522.35,12.78,133.18,575,88.22,1
19/03/21,Easy Trip,510.0,0.0,2.79,14.48,3.39,187,-44.3,0
24/03/21,Anupam Rasayan,760.0,30.8,62.06,4.62,23.86,555,-5.24,0
25/03/21,Laxmi Organic,600.0,1.13,0.73,4.41,2.68,130,26.62,1
25/03/21,Craftsman,823.7,0.56,0.05,1.04,0.69,1490,-3.83,0
26/03/21,Suryoday Small,582.34,2.18,1.31,3.09,2.37,305,-9.44,0
26/03/21,Kalyan Jeweller,1175.0,1.18,0.97,1.47,1.28,87,-13.45,0
30/03/21,Nazara,582.91,52.82,148.42,34.49,75.04,1101,-28.39,0
07/04/21,Barbeque Nat,453.6,0.0,0.0,0.0,0.0,500,18.08,1
19/04/21,Macrotech Dev,2500.0,3.05,1.44,0.4,1.36,486,-4.7,0
14/05/21,PowerGrid InvIT,7734.99,0.0,0.0,0.0,0.0,100,2.98,1
24/06/21,Sona BLW,5550.0,1.57,0.22,0.66,1.04,291,24.69,1
24/06/21,Shyam Metalics,909.0,62.18,172.51,5.29,56.56,306,22.83,1
28/06/21,Dodla Dairy,521.0,84.88,73.26,11.34,45.62,428,42.31,1
05/07/21,Krishna Inst.,2146.0,5.26,1.89,2.9,3.86,825,32.95,1
07/07/21,India Pesticide,800.0,2.64,1.36,4.4,3.25,296,13.33,1
19/07/21,G R Infra,963.28,93.18,73.01,4.89,43.48,837,108.7,1
19/07/21,Clean Science,1546.0,156.37,206.43,9.0,93.41,900,76.13,1
23/07/21,Zomato,9375.0,51.79,32.96,7.45,38.25,76,65.59,1
29/07/21,Tatva Chintan,500.0,2.55,9.78,13.36,9.5,1083,113.32,1
06/08/21,Glenmark Life,1513.0,0.98,0.87,4.61,2.78,720,3.92,1
09/08/21,Rolex Rings,732.27,143.58,360.11,24.49,130.44,900,29.62,1
16/08/21,Windlas Biotech,405.95,24.4,15.73,24.27,22.47,460,-11.59,0
16/08/21,Exxaro Tiles,161.09,17.67,5.36,40.1,22.68,120,10.21,1
16/08/21,Krsnaa Diagnost,1222.0,49.83,116.3,42.04,64.4,954,3.85,1
16/08/21,Devyani Int,1858.0,95.27,213.06,39.52,116.71,90,37.06,1
20/08/21,CarTrade Tech,2998.0,0.55,0.09,0.81,0.58,1618,-7.29,0
23/08/21,Nuvoco Vistas,5089.29,0.1,0.02,0.24,0.15,570,-6.79,0
24/08/21,CHEMPLAST SANMA,3929.91,2.7,1.03,2.29,2.17,541,-1.13,0
06/09/21,APTUS VALUE,2790.0,32.41,33.91,1.35,17.2,353,5.96,1
14/09/21,Vijaya Diagnost,1895.04,13.07,1.32,1.09,4.54,531,16.63,1
14/09/21,AMI Organics,571.96,86.64,154.81,13.36,64.54,610,53.2,1
24/09/21,Sansera Eng,1282.0,26.47,11.37,3.15,11.47,744,10.04,1
01/10/21,Paras Defence,181.13,90.48,435.14,61.42,150.07,175,185.0,1
11/10/21,ABSL AMC,2768.0,4.1,2.6,1.68,2.43,712,-1.73,0
10/11/21,FSN E-Co Nykaa,5375.0,91.18,112.02,12.24,81.78,1125,96.15,1
12/11/21,Fino Payments,1209.0,1.65,0.21,5.92,2.03,577,-5.5,0
15/11/21,PB Fintech,6273.5,9.83,2.58,1.67,6.48,980,22.74,1
15/11/21,Sigachi Ind,0.0,42.15,78.82,41.26,49.56,163,270.4,1
15/11/21,SJS Enterprises,816.57,1.42,2.32,1.38,1.59,542,-5.93,0
18/11/21,One 97 Paytm,18915.9,2.79,0.24,1.66,1.89,2150,-27.25,0
18/11/21,Sapphire Foods,2073.0,3.11,2.34,5.25,3.29,1180,3.06,1
23/11/21,Latent View,622.11,145.48,850.66,119.44,326.49,197,148.02,1
26/11/21,Tarsons Product,1030.22,1.06,3.4,2.49,2.27,662,26.89,1
10/12/21,Star Health,7318.15,1.03,0.19,1.1,0.79,900,0.76,1
13/12/21,Tega Industries,619.23,215.45,666.19,29.44,219.04,453,60.15,1
14/12/21,Anand Rathi,660.0,2.5,25.42,7.76,9.78,550,6.09,1
17/12/21,Rategain Travel,1354.0,8.42,42.04,8.08,17.41,425,-19.88,0
20/12/21,Shriram Prop,600.0,1.85,4.82,12.72,4.6,118,-15.76,0
21/12/21,C. E. Info Syst,1039.61,196.36,424.69,15.2,154.71,1033,35.0,1
22/12/21,Metro Brands,1376.63,8.49,3.02,1.13,3.64,500,-1.29,0
24/12/21,Data Patterns,601.2,190.86,254.22,23.14,119.62,585,29.03,1
27/12/21,HP Adhesives,125.96,1.82,19.04,81.24,20.96,274,22.24,1
28/12/21,Supriya Lifesci,700.0,31.83,161.22,56.01,71.51,274,42.46,1
31/12/21,CMS Info System,1100.0,1.98,1.45,2.15,1.95,216,9.91,1
31/01/22,AGS Transact,716.87,2.68,25.61,3.08,7.79,175,-7.83,0
08/02/22,Adani Wilmar,3600.0,5.73,56.3,3.92,17.37,230,15.3,1
16/02/22,Vedant Fashions,3149.0,7.49,1.07,0.39,2.57,866,7.95,1
07/04/22,Uma Exports,60.0,0.0,0.0,0.0,0.0,68,23.53,1
11/04/22,Veranda Learn,200.0,1.61,2.09,5.68,2.24,137,17.08,1
13/04/22,Hariom Pipe,130.05,0.7,2.68,6.92,3.57,153,46.86,1
09/05/22,Campus Active,1400.14,84.22,10.68,4.73,28.55,292,29.66,1
10/05/22,Rainbow Child,1595.59,16.4,1.37,0.71,5.26,542,-16.96,0
17/05/22,LIC India,21000.0,1.7,1.39,1.14,1.64,949,-7.75,0
20/05/22,Prudent Advisor,538.61,1.23,0.74,0.61,0.81,630,-10.68,0
24/05/22,Venus Pipes,165.42,6.01,6.59,10.9,8.58,326,7.9,1
24/05/22,Delhivery,5235.0,0.47,0.27,0.31,0.39,487,10.32,1
31/05/22,Ethos,472.29,0.98,0.76,0.32,0.61,878,-8.24,0
01/06/22,eMudhra,412.79,0.0,0.01,0.44,0.23,256,1.11,1
03/06/22,Aether Ind,808.04,8.0,1.33,0.59,2.91,642,20.99,1
26/08/22,Syrma SGS,840.13,42.42,7.13,2.84,15.59,220,42.3,1
06/09/22,Dreamfolks Serv,562.1,27.48,14.18,24.19,23.25,326,41.92,1
15/09/22,TMB,792.0,0.51,1.77,3.44,1.39,525,-3.15,0
26/09/22,Harsha Engineer,755.0,113.82,40.36,12.44,47.19,330,47.24,1
17/10/22,Electronics Mar,500.0,58.81,15.39,8.27,24.23,59,43.14,1
