age,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,workclass,income
29,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,Self-emp-not-inc,>50K
23,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Private,<=50K
79,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,Private,<=50K
27,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Private,<=50K
40,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Private,<=50K
18,7,Never-married,Other-service,Own-child,White,Female,0,0,22,Private,<=50K
31,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Local-gov,<=50K
18,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,Private,<=50K
52,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Private,<=50K
46,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,Private,<=50K
59,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,Private,<=50K
44,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,Private,>50K
53,9,Divorced,Sales,Own-child,White,Female,0,0,35,Private,<=50K
49,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,Local-gov,>50K
33,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,Private,<=50K
30,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,Private,<=50K
43,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,Federal-gov,>50K
57,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Private,<=50K
37,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,Private,<=50K
28,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,Private,<=50K
34,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,Local-gov,>50K
29,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,Local-gov,<=50K
48,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,Self-emp-not-inc,>50K
37,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,Private,>50K
48,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,Private,<=50K
32,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,Federal-gov,<=50K
76,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Private,>50K
44,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,Private,>50K
47,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,Self-emp-not-inc,<=50K
20,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,Private,<=50K
29,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Private,<=50K
32,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,Self-emp-inc,>50K
30,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,Private,<=50K
31,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,Local-gov,<=50K
42,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Private,<=50K
24,13,Never-married,Sales,Other-relative,White,Male,0,0,40,Private,<=50K
38,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Private,>50K
56,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Self-emp-not-inc,>50K
28,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,Private,<=50K
36,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,Private,<=50K
53,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,Private,<=50K
56,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Self-emp-inc,<=50K
49,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,Local-gov,>50K
55,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,Private,<=50K
22,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,Private,<=50K
21,10,Never-married,Other-service,Own-child,White,Female,0,0,40,Private,<=50K
40,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,Private,<=50K
30,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Private,<=50K
29,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,State-gov,>50K
19,10,Never-married,Other-service,Own-child,Black,Male,0,0,35,Private,<=50K
47,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,Private,>50K
20,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,Private,<=50K
31,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Private,>50K
39,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,Private,<=50K
28,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,Private,<=50K
24,9,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,Private,<=50K
38,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,Self-emp-not-inc,<=50K
37,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Private,<=50K
46,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,Private,<=50K
38,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Federal-gov,>50K
43,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,Self-emp-not-inc,<=50K
27,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,Private,<=50K
20,10,Never-married,Sales,Own-child,White,Male,0,0,20,Private,<=50K
49,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Private,>50K
61,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Self-emp-inc,<=50K
27,10,Never-married,Sales,Own-child,White,Female,0,0,40,Private,<=50K
19,10,Never-married,Other-service,Own-child,White,Male,0,0,30,Private,<=50K
45,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,Private,>50K
70,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,Private,<=50K
31,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,Private,<=50K
22,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,Private,<=50K
36,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,Private,<=50K
64,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,Private,<=50K
47,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,Local-gov,<=50K
34,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,Private,<=50K
33,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Private,<=50K
21,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,Private,<=50K
48,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,Private,<=50K
23,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,Private,<=50K
71,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,Self-emp-not-inc,<=50K
29,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,Private,<=50K
42,13,Separated,Other-service,Other-relative,Black,Male,0,0,50,Private,<=50K
25,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,Private,<=50K
44,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,Self-emp-inc,<=50K
28,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Private,<=50K
45,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Self-emp-not-inc,>50K
36,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,Private,<=50K
39,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,Federal-gov,<=50K
46,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,State-gov,<=50K
18,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,Private,<=50K
66,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,Local-gov,<=50K
27,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,Private,<=50K
28,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,State-gov,<=50K
51,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,Private,>50K
27,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,Private,<=50K
28,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,State-gov,>50K
27,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,Private,<=50K
21,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,Private,<=50K
34,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,Private,<=50K
18,9,Never-married,Other-service,Own-child,White,Male,0,0,12,Private,<=50K
33,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,Private,<=50K
44,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,Local-gov,>50K
43,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,Private,<=50K
30,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,Private,<=50K
40,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Private,>50K
37,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,Federal-gov,>50K
34,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,Private,<=50K
41,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,Self-emp-not-inc,<=50K
31,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,Private,<=50K
58,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,State-gov,>50K
38,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,Private,<=50K
24,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Private,<=50K
41,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,Local-gov,<=50K
47,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,Private,<=50K
41,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,Federal-gov,<=50K
23,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,Private,<=50K
36,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,Private,<=50K
40,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,Federal-gov,>50K
35,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,Private,>50K
24,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,Self-emp-not-inc,<=50K
26,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,Private,<=50K
51,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Private,>50K
42,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,Local-gov,<=50K
37,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,State-gov,<=50K
18,7,Never-married,Sales,Own-child,White,Female,0,0,40,Private,<=50K
36,13,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,Private,>50K
35,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,Private,<=50K
58,9,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,Self-emp-inc,>50K
17,7,Never-married,Sales,Own-child,White,Female,0,0,12,Private,<=50K
44,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,Local-gov,<=50K
37,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Private,>50K
35,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,Private,<=50K
60,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Private,<=50K
54,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Self-emp-inc,>50K
37,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,Private,>50K
50,12,Divorced,Sales,Not-in-family,White,Female,0,0,40,Private,<=50K
38,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Private,<=50K
45,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,Private,<=50K
25,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Private,<=50K
31,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Private,<=50K
90,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,Private,<=50K
54,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,Private,<=50K
53,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,Local-gov,<=50K
18,9,Never-married,Sales,Own-child,White,Female,0,0,40,Private,<=50K
66,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409,0,50,Self-emp-not-inc,<=50K
75,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,Private,<=50K
65,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,Private,<=50K
35,7,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,Private,<=50K
41,9,Divorced,Sales,Unmarried,Black,Female,0,0,38,Private,<=50K
25,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,Private,<=50K
33,10,Divorced,Craft-repair,Other-relative,Other,Female,0,0,40,Private,<=50K
28,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,Private,>50K
59,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,State-gov,<=50K
40,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,State-gov,<=50K
41,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Private,>50K
38,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,Local-gov,>50K
23,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,Private,<=50K
40,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Private,>50K
41,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20,Self-emp-not-inc,<=50K
24,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,State-gov,<=50K
38,10,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,Private,<=50K
58,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,Private,>50K
32,9,Never-married,Other-service,Not-in-family,White,Female,0,0,34,Private,<=50K
40,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,60,Private,>50K
41,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,Private,>50K
42,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,Private,<=50K
59,6,Widowed,Other-service,Unmarried,Black,Female,0,0,30,Local-gov,<=50K
19,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,Local-gov,<=50K
58,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,20,Private,<=50K
42,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Self-emp-not-inc,>50K
20,9,Never-married,Other-service,Own-child,White,Female,0,0,40,Private,<=50K
32,9,Separated,Other-service,Not-in-family,White,Female,0,0,30,Private,<=50K
45,11,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,45,Private,<=50K
50,4,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,Private,<=50K
36,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,Private,<=50K
45,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,Private,<=50K
17,7,Never-married,Other-service,Own-child,White,Male,0,0,12,Private,<=50K
59,10,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,Private,<=50K
26,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Private,<=50K
37,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,75,Self-emp-inc,>50K
64,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Private,>50K
33,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,Private,<=50K
33,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,Private,>50K
61,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Private,>50K
17,5,Never-married,Other-service,Own-child,White,Male,1055,0,24,Private,<=50K
50,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,2407,0,98,Self-emp-not-inc,<=50K
27,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,35,Local-gov,<=50K
30,9,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,Private,<=50K
43,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,Private,<=50K
44,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,Private,>50K
35,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,Private,<=50K
25,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,Private,<=50K
24,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,7298,0,48,Private,>50K
22,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,15,Private,<=50K
42,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,Local-gov,>50K
34,12,Divorced,Sales,Unmarried,Black,Female,0,0,45,Private,<=50K
60,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,42,Private,<=50K
21,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,Private,<=50K
57,14,Married-civ-spouse,Sales,Husband,White,Male,15024,0,40,Federal-gov,>50K
41,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,Private,>50K
50,10,Divorced,Other-service,Not-in-family,White,Male,0,0,45,Private,<=50K
25,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,Private,<=50K
50,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Private,<=50K
36,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,Private,<=50K
31,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,Private,<=50K
29,13,Never-married,Protective-serv,Not-in-family,White,Male,0,0,56,Local-gov,<=50K
21,10,Never-married,Sales,Own-child,White,Male,0,0,45,Private,<=50K
27,13,Never-married,Tech-support,Unmarried,Black,Female,0,0,40,Private,<=50K
65,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,16,Private,<=50K
37,13,Divorced,Sales,Not-in-family,White,Female,0,0,60,Self-emp-inc,<=50K
24,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,Private,<=50K
38,9,Divorced,Sales,Not-in-family,White,Male,0,0,80,Private,<=50K
48,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688,0,40,Private,>50K
21,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,25,Private,<=50K
31,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,Private,>50K
55,9,Married-civ-spouse,Sales,Husband,White,Male,4386,0,40,Private,>50K
24,10,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,40,Private,<=50K
43,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,Private,<=50K
26,12,Never-married,Tech-support,Not-in-family,White,Male,0,0,45,Private,<=50K
46,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,33,Private,<=50K
35,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Private,>50K
41,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,54,Self-emp-inc,>50K
26,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,Private,<=50K
34,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,7298,0,35,Private,>50K
36,13,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,40,Self-emp-not-inc,>50K
22,10,Never-married,Sales,Own-child,White,Male,0,0,15,Private,<=50K
24,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Private,<=50K
77,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Self-emp-not-inc,<=50K
22,3,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,0,0,40,Private,<=50K
29,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,Private,<=50K
62,9,Widowed,Other-service,Not-in-family,White,Female,0,0,24,Private,<=50K
39,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Self-emp-not-inc,<=50K
43,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,50,Private,<=50K
35,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,Private,<=50K
29,7,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,Private,<=50K
76,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,10,Self-emp-not-inc,<=50K
63,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,Self-emp-not-inc,<=50K
43,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,50,Private,>50K
58,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Self-emp-not-inc,<=50K
66,9,Never-married,Transport-moving,Not-in-family,White,Male,2050,0,55,Private,<=50K
41,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,Private,<=50K
26,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,Private,<=50K
47,11,Never-married,Other-service,Not-in-family,White,Male,0,0,40,Private,<=50K
55,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Local-gov,<=50K
53,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Private,<=50K
17,3,Never-married,Other-service,Other-relative,White,Male,0,0,48,Private,<=50K
