observation_id,outside_temp_c,room_humidity_pct,visitors,lighting_pct,ventilation_pct,sunlight_w_m2,hour_sin,hour_cos,next_hour_kwh
RR-0120,26.3,68.3,16,82.0,32.2,104.3,-0.2588,-0.9659,15.28
RR-0121,33.2,37.5,11,32.8,36.2,831.3,-0.9659,0.2588,14.48
RR-0122,17.3,61.9,21,48.3,43.8,403.8,0.5,-0.866,10.78
RR-0123,13.1,68.4,8,54.2,13.5,433.3,-0.9659,0.2588,6.57
RR-0124,25.4,57.5,20,53.6,32.3,724.8,-0.9659,-0.2588,9.25
RR-0125,27.4,61.6,16,51.6,32.8,86.8,-0.9659,0.2588,10.07
RR-0126,24.9,51.1,24,65.7,49.4,197.9,-0.9659,-0.2588,12.09
RR-0127,19.2,56.2,11,37.1,32.7,490.2,-0.7071,-0.7071,6.55
RR-0128,25.2,66.7,21,82.0,52.7,441.6,-1.0,-0.0,12.65
RR-0129,12.0,78.9,15,63.0,43.6,598.4,0.7071,-0.7071,11.89
RR-0130,8.5,53.5,23,58.9,49.4,224.9,0.5,-0.866,7.14
RR-0131,23.7,61.8,25,60.6,52.5,721.4,0.0,-1.0,11.86
RR-0132,41.0,51.7,20,44.1,61.1,239.9,0.0,-1.0,27.72
RR-0133,17.1,45.4,18,76.1,34.8,550.2,0.5,-0.866,9.75
RR-0134,28.5,57.0,13,66.9,42.3,399.9,-0.866,0.5,11.4
RR-0135,14.5,51.1,19,82.0,46.8,345.0,0.866,-0.5,8.77
RR-0136,28.1,55.4,13,54.7,41.3,505.1,-0.866,-0.5,10.33
RR-0137,25.0,56.5,16,37.7,46.9,0.0,-0.866,0.5,12.44
RR-0138,6.2,64.2,16,67.9,44.7,445.1,-0.866,0.5,8.93
RR-0139,10.4,73.3,18,71.9,41.3,0.0,0.7071,-0.7071,12.44
RR-0140,21.2,49.6,18,82.0,46.2,44.2,0.0,-1.0,10.69
RR-0141,26.1,51.1,13,35.7,30.9,486.5,-0.2588,-0.9659,9.95
RR-0142,21.2,38.6,13,82.0,39.4,248.6,-0.5,-0.866,7.52
RR-0143,16.6,62.4,18,30.0,41.7,355.9,0.7071,-0.7071,8.28
RR-0144,20.2,59.8,18,74.6,41.8,900.0,0.5,-0.866,9.18
RR-0145,17.8,53.6,26,35.3,52.6,480.7,-0.866,-0.5,7.76
RR-0146,29.3,52.4,16,60.1,39.0,900.0,0.5,-0.866,14.5
RR-0147,25.5,60.2,13,76.4,30.9,466.1,-1.0,-0.0,10.81
RR-0148,26.1,57.9,25,52.0,60.3,620.0,0.7071,-0.7071,14.6
RR-0149,17.7,65.3,24,82.0,56.6,708.2,-0.866,0.5,9.44
RR-0150,23.0,50.5,20,18.6,37.1,584.7,0.5,-0.866,7.47
RR-0151,28.8,67.0,20,81.9,58.1,551.0,0.7071,-0.7071,16.03
RR-0152,19.8,59.1,16,80.9,43.7,310.6,0.2588,-0.9659,13.01
RR-0153,22.4,70.1,19,48.7,43.4,847.7,-0.7071,-0.7071,11.1
RR-0154,26.8,60.7,17,82.0,38.1,296.5,-0.5,-0.866,11.83
RR-0155,26.7,44.5,19,56.9,49.0,132.4,0.0,-1.0,12.62
RR-0156,27.0,45.4,14,82.0,42.6,232.4,0.5,-0.866,13.88
RR-0157,5.1,61.7,22,45.4,54.3,276.7,-0.866,0.5,10.08
RR-0158,22.2,60.8,15,69.2,38.5,538.4,-0.9659,0.2588,9.69
RR-0159,16.1,60.6,17,55.1,42.5,569.1,-0.7071,-0.7071,9.47
RR-0160,17.4,46.2,19,65.7,45.4,499.4,-1.0,-0.0,10.84
RR-0161,9.3,63.2,18,82.0,51.8,227.8,-0.9659,-0.2588,9.96
RR-0162,22.4,53.9,19,65.2,41.0,415.6,-0.866,-0.5,8.96
RR-0163,13.8,55.1,15,63.7,36.8,706.2,-0.866,0.5,8.6
RR-0164,22.4,46.6,22,53.8,41.0,0.0,-1.0,-0.0,8.59
RR-0165,16.6,50.0,17,49.4,32.4,855.2,-0.866,-0.5,7.26
RR-0166,29.4,58.5,24,26.3,58.9,311.4,0.7071,-0.7071,14.43
RR-0167,27.1,43.0,18,62.0,43.9,568.8,-1.0,-0.0,11.92
RR-0168,17.2,58.9,21,63.3,48.0,565.1,0.5,-0.866,9.14
RR-0169,21.6,53.8,19,55.8,40.6,836.6,-0.7071,-0.7071,7.01
RR-0170,31.8,52.3,18,49.0,54.7,314.3,-0.2588,-0.9659,16.35
RR-0171,23.7,54.4,16,35.3,46.5,338.4,-0.866,0.5,5.74
RR-0172,16.1,56.3,22,82.0,47.8,150.2,0.0,-1.0,10.88
RR-0173,39.7,45.7,15,32.6,47.0,60.3,-0.5,-0.866,25.08
RR-0174,20.4,61.2,20,63.9,50.3,136.8,-1.0,-0.0,10.39
RR-0175,15.5,60.0,15,73.8,41.6,736.2,-0.9659,0.2588,7.57
RR-0176,20.8,53.3,17,53.6,44.9,879.0,-0.9659,-0.2588,7.58
RR-0177,26.4,52.4,20,45.6,51.1,494.1,-0.2588,-0.9659,10.99
RR-0178,18.5,64.1,19,82.0,48.5,477.9,-0.5,-0.866,10.72
RR-0179,11.5,55.1,17,82.0,42.4,586.7,-0.866,-0.5,7.24
RR-0180,26.7,51.6,23,82.0,59.5,483.7,0.5,-0.866,15.59
RR-0181,25.4,52.1,20,82.0,33.0,622.6,-1.0,-0.0,12.19
RR-0182,20.1,59.1,17,70.8,43.6,273.4,-0.9659,0.2588,11.31
RR-0183,23.2,60.0,10,69.2,36.1,559.4,-0.9659,-0.2588,8.81
RR-0184,23.5,52.8,15,49.2,53.4,354.0,-1.0,-0.0,7.85
RR-0185,22.3,58.7,18,52.2,43.6,152.0,-0.866,-0.5,8.51
RR-0186,34.3,46.1,14,82.0,42.2,481.9,-0.866,0.5,19.11
RR-0187,14.2,64.2,24,77.4,55.5,900.0,-0.2588,-0.9659,10.38
RR-0188,15.9,59.3,18,73.0,33.6,285.3,-0.5,-0.866,8.05
RR-0189,30.0,58.2,24,18.0,49.5,431.5,-0.866,-0.5,16.21
RR-0190,17.5,56.7,15,82.0,44.3,412.3,-0.9659,-0.2588,10.54
RR-0191,16.7,51.2,22,82.0,50.0,900.0,-1.0,-0.0,9.05
RR-0192,16.5,64.3,17,82.0,37.5,548.1,-0.2588,-0.9659,10.07
RR-0193,17.5,58.6,15,80.4,55.0,337.6,-0.9659,0.2588,12.07
RR-0194,16.2,54.1,22,43.2,45.1,392.9,-0.866,0.5,7.98
RR-0195,23.6,69.1,15,63.5,32.2,587.6,0.5,-0.866,11.69
RR-0196,20.8,45.4,20,82.0,42.2,747.9,-0.866,-0.5,7.68
RR-0197,22.8,62.8,21,27.2,41.0,552.8,0.866,-0.5,7.72
RR-0198,20.8,51.9,20,36.3,54.5,558.5,0.0,-1.0,9.62
RR-0199,21.2,50.2,19,61.8,40.0,134.6,-0.866,-0.5,6.63
RR-0200,37.4,45.1,22,70.0,43.3,95.2,-0.9659,-0.2588,19.92
RR-0201,31.2,33.2,23,32.8,58.7,168.8,-0.9659,-0.2588,15.06
RR-0202,20.7,74.9,12,49.7,29.3,250.3,0.866,-0.5,9.55
RR-0203,23.7,56.5,14,82.0,31.3,331.7,-0.9659,-0.2588,9.37
RR-0204,23.0,52.7,19,41.7,50.0,106.9,-0.9659,-0.2588,12.74
RR-0205,19.8,49.1,21,58.7,48.0,585.2,-0.2588,-0.9659,9.63
RR-0206,18.0,77.0,10,67.4,32.8,620.3,-0.9659,0.2588,8.95
RR-0207,28.4,40.6,10,74.2,24.5,116.4,-0.5,-0.866,12.67
RR-0208,6.2,68.8,11,43.0,32.4,283.2,0.0,-1.0,8.26
RR-0209,27.5,45.4,17,82.0,41.4,554.3,-0.9659,0.2588,11.39
RR-0210,14.6,58.1,22,59.5,46.0,554.8,0.866,-0.5,9.77
RR-0211,29.0,60.2,12,76.9,36.9,455.3,0.7071,-0.7071,14.99
RR-0212,23.9,52.1,20,82.0,46.3,517.0,-0.2588,-0.9659,13.84
RR-0213,23.3,54.4,13,36.5,39.4,180.8,-0.866,0.5,5.84
RR-0214,19.5,62.7,12,72.8,22.7,336.5,0.0,-1.0,8.01
RR-0215,12.2,59.4,19,33.9,37.6,338.3,-1.0,-0.0,6.53
RR-0216,22.9,67.3,25,70.5,41.0,287.6,0.2588,-0.9659,11.83
RR-0217,19.3,63.7,20,82.0,45.5,281.9,-0.9659,0.2588,10.14
RR-0218,28.8,53.6,14,71.8,32.2,436.4,-0.9659,0.2588,12.07
RR-0219,30.3,57.8,9,61.5,28.8,422.9,0.7071,-0.7071,10.34
RR-0220,29.2,46.4,25,75.6,56.9,766.7,-0.5,-0.866,14.05
RR-0221,16.7,65.9,16,55.4,46.0,0.0,-0.9659,0.2588,8.42
RR-0222,14.9,72.0,14,61.0,42.5,537.5,0.0,-1.0,9.55
RR-0223,26.3,37.4,18,45.0,50.6,59.2,-0.2588,-0.9659,13.37
RR-0224,19.1,54.5,32,44.4,65.9,150.4,-0.866,0.5,8.65
RR-0225,17.2,47.7,26,78.2,56.5,368.0,-0.866,-0.5,9.69
RR-0226,28.3,53.8,9,59.9,40.2,79.2,-0.9659,-0.2588,10.85
RR-0227,27.7,55.0,19,63.0,39.6,254.4,0.0,-1.0,13.01
RR-0228,25.6,61.1,22,51.6,35.0,738.7,-0.5,-0.866,12.64
RR-0229,27.4,54.0,17,40.9,48.1,687.0,-0.2588,-0.9659,12.29
RR-0230,21.2,70.0,15,57.7,50.0,663.0,0.866,-0.5,10.3
RR-0231,27.5,50.5,15,49.0,35.8,473.6,-0.866,-0.5,11.38
RR-0232,32.9,65.7,8,78.5,24.0,544.3,0.0,-1.0,15.99
RR-0233,4.3,61.3,19,82.0,47.6,379.6,0.7071,-0.7071,9.93
RR-0234,30.3,29.3,16,29.1,29.9,507.9,-0.9659,0.2588,12.04
RR-0235,29.8,44.1,20,71.3,48.3,108.8,0.0,-1.0,12.48
RR-0236,34.8,52.0,9,77.2,24.5,185.6,0.7071,-0.7071,16.71
RR-0237,30.2,47.9,11,67.3,41.0,441.9,-0.866,0.5,12.95
RR-0238,21.4,56.7,31,82.0,47.1,207.4,0.7071,-0.7071,13.54
RR-0239,24.1,51.1,18,48.4,43.7,124.0,-0.9659,-0.2588,9.06
RR-0240,24.4,59.8,22,82.0,43.1,497.4,-1.0,-0.0,13.65
RR-0241,35.8,52.3,13,43.0,27.0,599.4,-0.866,0.5,17.26
RR-0242,19.7,64.0,19,70.3,32.4,228.4,0.866,-0.5,8.8
RR-0243,17.1,61.4,16,53.2,44.1,600.3,0.2588,-0.9659,9.2
RR-0244,22.5,55.6,14,66.2,34.5,237.1,-0.9659,0.2588,7.59
RR-0245,20.2,63.1,15,49.0,37.6,727.7,0.866,-0.5,7.43
RR-0246,13.7,59.4,17,69.6,39.7,344.1,-0.866,0.5,7.61
RR-0247,5.9,63.3,16,82.0,47.4,396.1,-0.2588,-0.9659,11.04
RR-0248,8.8,64.8,25,77.2,48.7,394.2,0.0,-1.0,12.48
RR-0249,27.3,44.7,16,48.0,39.3,0.0,0.0,-1.0,10.87
RR-0250,33.3,42.3,20,60.0,35.4,348.9,-0.2588,-0.9659,19.54
RR-0251,22.3,51.0,13,31.4,47.0,900.0,-0.7071,-0.7071,8.78
RR-0252,23.4,50.6,22,58.6,51.0,440.5,0.0,-1.0,10.11
RR-0253,15.1,73.6,25,53.9,64.9,547.8,0.2588,-0.9659,11.25
RR-0254,25.6,59.5,9,75.5,19.8,267.9,0.0,-1.0,10.73
RR-0255,23.6,62.3,15,63.0,38.7,390.7,0.0,-1.0,11.38
RR-0256,9.3,58.2,18,58.0,44.5,872.2,0.7071,-0.7071,8.0
RR-0257,22.9,60.9,21,67.7,52.3,64.5,-0.866,0.5,8.79
RR-0258,11.6,60.2,15,72.2,34.9,657.6,-0.866,0.5,8.95
RR-0259,23.6,56.5,20,46.5,51.0,845.5,-0.866,-0.5,10.02
RR-0260,28.4,49.7,19,82.0,40.9,230.2,-0.9659,0.2588,11.72
RR-0261,29.8,49.4,19,60.1,48.2,171.8,0.2588,-0.9659,16.48
RR-0262,19.5,48.6,20,34.9,55.6,711.4,-0.5,-0.866,8.25
RR-0263,24.1,52.5,27,53.0,56.4,618.5,-0.866,-0.5,10.8
RR-0264,27.9,51.0,19,36.1,45.0,0.0,0.0,-1.0,15.33
RR-0265,33.5,46.0,19,71.6,42.5,809.7,0.866,-0.5,21.16
RR-0266,17.1,59.9,16,65.1,43.9,145.8,-1.0,-0.0,10.14
RR-0267,18.8,63.2,16,51.8,45.8,606.6,-0.866,0.5,9.8
RR-0268,19.0,52.9,12,57.9,26.0,611.0,0.0,-1.0,8.03
RR-0269,30.9,55.6,17,82.0,38.1,428.3,0.5,-0.866,18.03
RR-0270,39.6,36.9,20,52.5,40.9,900.0,-0.9659,-0.2588,26.07
RR-0271,15.0,79.0,15,82.0,23.4,310.4,-0.7071,-0.7071,6.91
RR-0272,20.8,71.4,18,75.1,35.9,9.1,0.0,-1.0,10.78
RR-0273,21.4,60.7,15,69.2,38.6,531.7,-0.866,0.5,9.68
RR-0274,23.8,55.7,23,56.9,35.7,0.0,-1.0,-0.0,10.68
RR-0275,27.1,48.6,16,74.9,33.2,127.7,-0.866,-0.5,12.53
RR-0276,23.2,57.2,13,41.2,47.8,455.3,-0.9659,0.2588,7.82
RR-0277,25.5,47.2,18,34.9,56.9,249.2,0.2588,-0.9659,12.24
RR-0278,24.8,49.9,17,46.0,43.7,677.6,-0.9659,-0.2588,8.07
RR-0279,4.5,65.4,15,78.0,53.0,366.9,-0.866,-0.5,10.2
RR-0280,18.4,58.6,13,44.3,39.1,327.8,-0.9659,0.2588,4.69
RR-0281,35.1,46.8,11,46.4,43.4,496.4,-0.866,0.5,16.75
RR-0282,34.6,57.8,11,82.0,35.7,497.6,0.0,-1.0,17.59
RR-0283,26.0,45.9,21,45.8,45.0,744.2,-0.2588,-0.9659,15.54
RR-0284,32.7,40.0,17,75.0,40.9,208.2,-0.866,0.5,18.74
RR-0285,18.0,64.9,18,43.7,40.6,382.2,-1.0,-0.0,7.1
RR-0286,34.4,45.3,15,80.6,34.7,170.1,-1.0,-0.0,20.11
RR-0287,19.5,46.3,20,76.1,45.3,452.1,0.7071,-0.7071,10.0
RR-0288,26.8,59.5,15,82.0,45.5,469.3,-0.5,-0.866,11.33
RR-0289,12.4,64.5,22,37.7,49.3,471.4,-0.866,0.5,7.76
RR-0290,36.9,41.6,25,66.6,43.7,432.0,-0.7071,-0.7071,19.08
RR-0291,21.8,60.8,14,59.4,41.8,131.8,-0.866,0.5,7.01
RR-0292,19.5,59.7,14,82.0,34.3,487.6,-1.0,-0.0,8.97
RR-0293,28.7,50.6,23,62.0,36.9,569.4,-0.9659,0.2588,12.54
RR-0294,15.5,64.8,22,44.2,60.1,485.9,0.866,-0.5,9.7
RR-0295,27.0,51.9,26,72.7,34.1,212.8,-0.866,-0.5,11.58
RR-0296,19.3,44.4,11,71.9,41.2,562.4,0.2588,-0.9659,8.82
RR-0297,26.3,60.5,27,44.8,51.8,299.9,-0.5,-0.866,11.37
RR-0298,26.1,48.3,14,56.7,37.4,228.4,-0.9659,0.2588,11.66
RR-0299,41.0,42.0,13,64.0,40.1,250.9,-0.7071,-0.7071,25.03
RR-0300,17.4,71.2,22,26.9,46.7,467.2,0.0,-1.0,7.91
RR-0301,26.2,64.6,15,47.1,37.9,402.7,0.5,-0.866,12.97
RR-0302,19.5,61.4,19,72.8,37.5,0.0,-0.5,-0.866,10.98
RR-0303,28.9,49.9,13,79.0,45.6,439.2,-0.866,0.5,16.87
RR-0304,21.8,57.3,20,68.4,43.3,582.2,0.0,-1.0,7.71
RR-0305,30.6,47.0,15,75.3,42.4,447.4,0.5,-0.866,13.11
RR-0306,28.0,59.8,20,81.2,38.2,0.0,0.2588,-0.9659,12.0
RR-0307,21.1,72.0,18,45.4,45.6,148.0,-0.2588,-0.9659,10.32
RR-0308,17.5,61.1,17,82.0,27.9,446.2,-0.9659,-0.2588,7.8
RR-0309,20.5,75.4,17,56.6,42.2,482.8,-0.866,0.5,9.38
RR-0310,24.0,54.0,18,82.0,39.5,758.1,-0.2588,-0.9659,11.43
RR-0311,24.6,61.6,17,73.8,42.9,302.6,-1.0,-0.0,11.09
RR-0312,39.5,42.4,17,33.4,38.8,574.9,-0.866,-0.5,19.41
RR-0313,28.6,58.5,13,54.5,33.8,323.4,-0.2588,-0.9659,11.91
RR-0314,23.3,65.9,12,57.1,27.1,553.7,-0.5,-0.866,7.18
RR-0315,31.2,58.5,17,57.3,37.0,682.6,0.0,-1.0,13.97
RR-0316,24.4,50.8,11,51.8,38.2,182.8,-0.2588,-0.9659,9.57
RR-0317,21.8,61.5,14,34.9,42.5,250.9,0.7071,-0.7071,7.84
RR-0318,14.3,75.2,14,82.0,43.7,891.6,-0.9659,-0.2588,8.11
RR-0319,16.3,58.8,15,80.4,32.3,689.9,0.0,-1.0,8.14
RR-0320,28.4,49.9,15,82.0,39.5,201.3,-0.866,0.5,11.93
RR-0321,15.9,56.0,20,82.0,53.5,431.8,-0.866,0.5,8.93
RR-0322,26.3,60.9,17,56.1,39.3,542.7,-0.866,0.5,13.05
RR-0323,27.5,50.4,16,73.5,50.1,509.5,0.2588,-0.9659,10.73
RR-0324,10.5,57.2,23,82.0,55.4,542.2,-0.866,-0.5,9.08
RR-0325,17.2,53.1,20,69.1,50.1,842.2,0.0,-1.0,10.78
RR-0326,27.6,42.7,17,69.6,42.3,89.4,-0.866,-0.5,13.04
RR-0327,19.4,45.7,24,80.5,61.6,248.8,0.866,-0.5,12.48
