epoch,train_rmse_kwh,validation_rmse_kwh
194,0.4624,2.21924
195,0.45778,2.21941
196,0.45324,2.22292
197,0.44932,2.22719
198,0.44411,2.22884
199,0.44064,2.2309
200,0.4353,2.23383
201,0.43208,2.23912
202,0.42674,2.23922
203,0.42372,2.24125
204,0.4182,2.24517
205,0.415,2.24808
206,0.41033,2.24998
207,0.40694,2.25326
208,0.40275,2.25464
209,0.39898,2.2602
210,0.3944,2.26171
211,0.39138,2.26308
212,0.38743,2.26683
213,0.38312,2.27025
214,0.37891,2.2735
215,0.3766,2.27417
216,0.37274,2.2762
217,0.36857,2.27849
218,0.36447,2.28475
219,0.3603,2.28866
220,0.35712,2.28775
221,0.35658,2.28846
222,0.34936,2.29324
223,0.34849,2.30045
224,0.34351,2.30053
225,0.34305,2.29747
226,0.34842,2.29985
227,0.33477,2.30321
228,0.33912,2.31486
229,0.34128,2.32142
230,0.32704,2.31127
231,0.36737,2.31061
232,0.34076,2.31146
233,0.34047,2.33184
234,0.39024,2.35254
235,0.31713,2.32831
236,0.42118,2.32379
237,0.39049,2.32376
238,0.35928,2.34889
239,0.47186,2.38626
240,0.32103,2.33229
241,0.51937,2.34266
242,0.3504,2.32892
243,0.48544,2.39219
244,0.36606,2.36496
245,0.46666,2.33945
246,0.39721,2.33807
247,0.42802,2.37824
248,0.38241,2.37262
249,0.41277,2.33757
250,0.39088,2.34379
251,0.3815,2.37282
252,0.35141,2.36875
253,0.37277,2.33984
254,0.35202,2.34823
255,0.35505,2.37398
256,0.32092,2.36656
257,0.35017,2.34429
258,0.33023,2.35181
259,0.33132,2.37628
260,0.30236,2.37288
261,0.32198,2.35225
262,0.31437,2.3564
263,0.30671,2.37671
264,0.29413,2.37723
265,0.29717,2.35744
266,0.31074,2.36109
267,0.27841,2.37946
268,0.29261,2.38665
269,0.26762,2.36427
270,0.30958,2.36573
271,0.25346,2.37856
272,0.29626,2.39541
273,0.24234,2.37387
274,0.31224,2.371
275,0.241,2.37821
276,0.29015,2.40139
277,0.23679,2.38837
278,0.28865,2.37611
279,0.26278,2.37822
280,0.25614,2.3979
281,0.26946,2.40604
282,0.23717,2.38474
283,0.29954,2.38012
284,0.22821,2.38665
285,0.28269,2.4117
286,0.23589,2.40404
287,0.26532,2.38779
288,0.28563,2.38626
289,0.22602,2.39964
290,0.29167,2.42268
291,0.21639,2.40384
292,0.29816,2.39109
293,0.27074,2.39077
294,0.2459,2.41328
295,0.3039,2.43404
296,0.21277,2.40355
297,0.33206,2.39598
298,0.26401,2.3957
299,0.27558,2.42529
300,0.32172,2.44343
301,0.21981,2.4041
302,0.37121,2.39984
303,0.25872,2.39888
304,0.317,2.4404
305,0.34018,2.45146
306,0.2416,2.40328
307,0.42241,2.40409
308,0.24791,2.40232
309,0.38552,2.45984
310,0.33392,2.45302
311,0.31584,2.40142
312,0.44628,2.40838
313,0.23345,2.41374
314,0.46331,2.48409
315,0.24737,2.4303
316,0.43929,2.41097
317,0.35081,2.40312
318,0.35324,2.44852
319,0.39293,2.4652
320,0.29144,2.40208
321,0.44812,2.40921
322,0.22873,2.41792
323,0.43282,2.47799
324,0.20431,2.41417
325,0.4327,2.40858
326,0.22661,2.4054
327,0.38619,2.46362
328,0.22901,2.43028
329,0.36579,2.40789
330,0.27167,2.40682
331,0.31547,2.44918
332,0.27359,2.44543
333,0.29128,2.40868
334,0.31176,2.40909
335,0.23808,2.43351
336,0.30292,2.45497
337,0.20865,2.4141
338,0.32438,2.41158
339,0.1819,2.42417
340,0.3023,2.45907
341,0.1677,2.4257
342,0.29787,2.41499
343,0.18915,2.41838
344,0.26202,2.45482
345,0.20155,2.44424
346,0.24032,2.4183
347,0.2466,2.41626
348,0.19011,2.43977
349,0.26097,2.46044
350,0.16201,2.42782
351,0.27848,2.41966
352,0.16533,2.42583
353,0.25369,2.46088
354,0.18647,2.44896
355,0.22545,2.42281
356,0.24935,2.42122
357,0.17064,2.44285
358,0.26498,2.46845
359,0.14755,2.43713
360,0.26944,2.42304
361,0.19873,2.42502
362,0.21777,2.45718
363,0.24063,2.46594
364,0.16782,2.43076
365,0.29484,2.42443
366,0.16275,2.43155
367,0.27263,2.47242
368,0.22191,2.46318
369,0.2178,2.42839
370,0.31553,2.42637
371,0.15827,2.44051
372,0.32948,2.48905
373,0.20065,2.46145
374,0.29238,2.42724
375,0.33475,2.42268
376,0.18856,2.44644
377,0.38098,2.4994
378,0.17654,2.44788
379,0.37,2.42712
380,0.30245,2.42432
381,0.27351,2.46836
382,0.38817,2.50527
383,0.18578,2.43562
384,0.4298,2.431
385,0.20836,2.42715
386,0.38596,2.49719
387,0.27977,2.4756
388,0.3184,2.425
389,0.38119,2.42453
390,0.21925,2.45234
391,0.40258,2.50514
392,0.16324,2.43611
393,0.41527,2.42783
394,0.19127,2.42546
395,0.36693,2.49022
396,0.23221,2.46438
397,0.32441,2.42503
398,0.31084,2.42179
399,0.24385,2.45956
400,0.32762,2.48864
401,0.18388,2.43204
402,0.35122,2.42611
403,0.14392,2.43599
404,0.33096,2.48814
405,0.14064,2.44766
406,0.32029,2.42685
407,0.19903,2.42444
408,0.26478,2.46976
409,0.22422,2.46831
410,0.22045,2.42956
411,0.27327,2.42596
412,0.15678,2.44709
413,0.27625,2.47922
414,0.12318,2.44121
415,0.28496,2.42679
416,0.14669,2.43107
417,0.24773,2.4733
418,0.17676,2.4623
419,0.20984,2.43098
420,0.2427,2.42724
