Title,Artist,Nationality,Gender,Date,Medium,Department,DateAcquired
"Newberry County, Newberry, South Carolina",James Dow,(American),(male),1975-76,Gelatin silver print,Photography,1983-03-24
Plate (page 287) from Les Petites Fleurs de St. François (The Little Flowers of St. Francis),Émile Bernard,(French),(male),1928,One from an illustrated book with 329 woodcuts,Drawings & Prints,1964-10-06
Panel from Let's Take Back Our Space: 'Female' and 'Male' Body Language as a Result of Patriarchal Structures,Marianne Wex,(German),(female),1977,"Gelatin silver prints, paper and ink on board",Photography,2018-10-24
"Stradaniia moikh druzei. Tret'ia kniga stikhov, 1928-1929",Boris Titov,(),(male),1930,,Drawings & Prints,2001-01-24
Set design for the ballet Filling Station,Paul Cadmus,(American),(male),1937,"Cut-and-pasted paper, gouache, watercolor, and pencil on paper",Drawings & Prints,1941-12-10
Red Mercedes from Documenta: The Super Realists,Don Eddy,(American),(male),1972,One from a portfolio of ten lithographs,Drawings & Prints,1976-01-08
Headpiece (page 18) from SAGESSE,Maurice Denis,(French),(male),1889-1911,,Drawings & Prints,1975-05-09
97. P'iesa,K. Turganov,(),(),1929,,Drawings & Prints,2001-01-24
Standing Figure,Alexander Brook,(American),(male),(c. 1929),Pencil on paper,Drawings & Prints,1935-06-13
"Robert, plate 3 of 24, from the series, Self Portrait",Louise Bourgeois,(American),(female),2009,Drypoint and etching,Drawings & Prints,2012-02-07
"Cementerio de la Ciudad Abierta, Ritoque, Chile",Juan Baixas,(Chilean),(male),1975,Pencil and ink on paper,Architecture & Design,2014-10-06
Korean Child,Dorothea Lange,(American),(female),1958,Gelatin silver print,Photography,1967-11-21
Headpiece (page 36) from PROMÈTHEUS,František Kupka,(Czech),(male),1908-1924,"Soft ground etching, printed in black",Drawings & Prints,1966-05-10
"Oh God, he said, talking to a tree\Beirut: August 4, 2006",Walid Raad,(Lebanese),(male),2004/2008,One from a series of 31 digital prints,Drawings & Prints,2008-06-18
Unidentfied Project (Plans. Sketch.),Ludwig Mies van der Rohe,(American),(male),n.d.,Pencil on paper,Architecture & Design,1968-04-11
Tailpiece (colophon) from THE SUICIDE CLUB,Karl Schrag,(American),(male),1941,,Drawings & Prints,1959-03-02
Untitled from 1999,Jannis Kounellis,(Greek),(male),1999,"Letterpress from a portfolio of twelve etching, drypoint, and aquatints with chiné colle (one with blind embossing) and four letterpress prints",Drawings & Prints,2015-10-27
"Die Aktion, vol. 4, no. 20",Georg Tappert,(German),(male),"May 16, 1914",Periodical with reproduction on cover and one woodcut by Georg Tappert,Drawings & Prints,2010-11-10
"Lena: 22, Mark: 61",Mark Klett,(American),(male),"August 11, 2013",Gelatin silver print,Photography,2019-02-28
Untitled,Ree Morton,(American),(female),n.d.,Gouache on paper,Drawings & Prints,2009-10-07
Fagus Stützmesser,Herbert Bayer,(American),(male),1926,Letterpress,Architecture & Design,1999-12-10
Bagatelle (château),Eugène Atget,(French),(male),1911,Albumen silver print,Photography,1968-03-06
Farmers from Leuscheid,August Sander,(German),(male),1926,Gelatin silver print,Photography,2015-05-28
"new songs, Old Music from the Museum in Progress project Utopia Station",Martha Rosler,(American),(female),"(newspapers published July 12/13 through November 15, 2003)","Three lithographs, offset printed",Drawings & Prints,2006-06-01
Imalu from Moonrath,Lisa Fromartz,(American),(female),2005,Digital print from an illustrated book with ten digital prints,Drawings & Prints,2005-03-08
The Conventional House Project (Elevations),Frank Lloyd Wright,(American),(male),1932,Ink on tracing paper,Architecture & Design,
Song for Christopher,Albert M. Fine,(American),(male),1965,Diazotype with ink additions,Drawings & Prints,2008-10-08
Mosquée et Tombeau de Mourad Bey,Maxime Du Camp,(French),(male),1849-51,Salted paper print from a paper negative,Photography,1981-12-17
Reclining Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,(American),(male),1934,Pencil on paper,Architecture & Design,1974-11-06
"The Clash, Bonds, New York City",Unidentified Designer,(),(),1981,Lithograph,Architecture & Design,2012-02-09
"Near Wudi Modaui, Sudan",Dorothea Lange,(American),(female),1963,Gelatin silver print,Photography,1995-06-15
Peter Gee - 506 West Broadway,Peter Gee,(British),(male),1963,Offset lithograph,Architecture & Design,1983-11-30
Gift 13: Paper Cutting (Kindergarten material based on the educational theories of Friedrich Froebel),Hans Kappler,(German),(male),c.1920,Various materials,Architecture & Design,2011-03-09
"IIT Lettering, Chicago, IL (Lettering.)",Ludwig Mies van der Rohe,(American),(male),1940s,Pencil on paper,Architecture & Design,1968-04-11
Plate (facing page 176) from SAINTE MONIQUE,Pierre Bonnard,(French),(male),1920-1930,Lithograph,Drawings & Prints,1964-10-06
Election Night,Glenn O. Coleman,(American),(male),1928,Lithograph,Drawings & Prints,1940-04-05
Performer,Richard Oelze,(German),(male),1952-53,Crayon on black paper,Drawings & Prints,1962-01-09
"MR. STERN'S SALON: FIREPLACE AND MIRROR (after Louis Süe; plate, page 93) from ARCHITECTURES",Jacques Villon,(French),(male),1921,"Etching, printed in black",Drawings & Prints,1954-04-06
Untitled from The Mirrored Couple,Joyce Treiman,(American),(female),1961,One from a portfolio of fifteen lithographs,Drawings & Prints,1967-12-13
"Variant of tailpiece from page 55 (supplementary suite, plate 22) from DIALOGUES DES COURTISANES",Aristide Maillol,(French),(male),1944-1948,,Drawings & Prints,1964-10-06
Headpiece (page 14) from L'IMITATION DE JÉSUS-CHRIST,Maurice Denis,(French),(male),1893-1903,,Drawings & Prints,1964-10-06
Untitled album of cartes-de-visite,Unidentified photographer,(),(),1860-90,"Album with albumen silver prints, gelatin silver prints, and woodburytypes",Photography,1982-05-13
Page 12 from Catalogue of Prints,Jean Charlot,(American),(male),1933-1937,,Drawings & Prints,1949-09-29
Portrait of Emmett Williams from Fluxus 1,George Maciunas,(American),(male),"c. 1963, assembled 1964–65",Offset on transparentized paper,Drawings & Prints,
"AND MOSES BEHELD ALL THE WORKE, AND BEHOLDE, THEY HAD DONE IT AS THE LORDE HAD COMMANDED; AND MOSES BLESSED THEM (plate, page 99) from THE STORY OF THE EXODUS",Marc Chagall,(French),(male),1966,,Drawings & Prints,1966-05-10
King and Demagogue (König und Demagoge) from Day and Dream,Max Beckmann,(German),(male),(1946),One from a portfolio of fifteen lithographs,Drawings & Prints,1947-03-13
Richard Meier letterhead,Richard Meier,(American),(male),1977,Letterpress with ink on paper,Architecture & Design,2015-10-19
"Head of a Woman, Three Quarters to Right",George Constant,(American),(male),c. 1929,Drypoint,Drawings & Prints,1940-04-05
"Untitled (4 days, 3 nights, 1 summer)",Joey Kötting,(British),(male),2001,,Drawings & Prints,2002-11-20
Donated Object: Busta Rhymes Cassette Tape,Pope.L,(American),(male),2006,Cassette tape,Drawings & Prints,2014-10-02
Unique Key Card,CSS/Winfield,(),(),1982,Stainless steel,Architecture & Design,1997-10-17
"American Association of Railroads Complex, Chicago, IL (New platform for existing administration building. Elevation, plan. General notes.)",Ludwig Mies van der Rohe,(American),(male),1948—1956,Pencil on vellum,Architecture & Design,1968-04-11
Unidentfied Project (Structural detail. Sketch.),Ludwig Mies van der Rohe,(American),(male),n.d.,Pencil on paper,Architecture & Design,1968-04-11
"Near Wudi Modaui, Sudan",Dorothea Lange,(American),(female),1963,Gelatin silver print,Photography,1995-06-15
Wishbone,Louise Bourgeois,(American),(female),1999,Drypoint,Drawings & Prints,2008-06-18
II from Line Involvements,Anni Albers,(American),(female),1964,One from a portfolio of seven lithographs (including title page),Drawings & Prints,1969-12-04
In-text plate (page 11) from Traces Suspectes en Surface,Robert Rauschenberg,(American),(male),"1972–78, published 1978",Lithograph from an illustrated book of twenty-six lithographs (including four colophon pages),Drawings & Prints,1979-01-23
"Gordon Strong Planetarium, Sugarloaf Mountain, MD",Frank Lloyd Wright,(American),(male),1924,drawing,Architecture & Design,
Haley's comet as It Looked in 1910,United Press International,(American),(),1910,Gelatin silver print,Photography,2001-06-14
Gift 13: Paper Cutting (Kindergarten material based on the educational theories of Friedrich Froebel),Hans Kappler,(German),(male),c.1920,Various materials,Architecture & Design,2011-03-09
"Tugendhat House, Brno, Czech Republic (Door and window detail. Section.)",Ludwig Mies van der Rohe,(American),(male),1928—1930,Pencil on tracing paper,Architecture & Design,1968-04-11
"Dieses Leben kann nicht die Ausrede für das nächste sein,",Martin Kippenberger,(German),(male),1991,"Artist's book, letterpress and lithograph printed on imitation parchment, and loose photograph and braille inserts",Drawings & Prints,2015-06-03
Winter Scene,Alex Katz,(American),(male),1951-52,Oil on board,Painting & Sculpture,1991-02-11
Fair Grounds (Interior elevation and interior perspective. Sketch.),Ludwig Mies van der Rohe,(American),(male),n.d.,Pencil on tracing paper,Architecture & Design,1968-04-11
"Progressive proof of first 4 colors for Plate 10 (supplementary suite, plate 123) from FOUR TALES FROM THE ARABIAN NIGHTS",Marc Chagall,(French),(male),1941-1948,,Drawings & Prints,1964-10-06
Versailles,Eugène Atget,(French),(male),1901,Albumen silver print,Photography,1968-03-06
Untitled (layered cityscape),Randall Sellers,(American),(male),(2003),Pencil on paper,Drawings & Prints,2005-05-10
Untitled,Johan Niegeman,(Dutch),(male),1926–29,Gelatin silver print,Photography,2001-12-13
Automatic Coin Sorting Bank,Gustav A. Brown,(American),(male),1965,Plastic and chrome plated steel,Architecture & Design,1972-04-11
Plate (page 57) from COME DETTA DENTRO VO SIGNIFICANDO,Roberto Matta,(Chilean),(male),1959-1962,"Soft ground etching and aquatint, printed in color",Drawings & Prints,1963-06-12
Event,Herbert Bayer,(American),(male),1965,Lithograph,Drawings & Prints,1974-01-10
Three Poems (Tres Poemas),Robert Motherwell,(American),(male),(1987-88).  (8 drawings on mylar executed 1967 and 3 drawings on mylar executed,27 lithographs (including duplicate on front cover),Drawings & Prints,1988-10-25
Sandra from Baby Baby Wild Things,Gerald Laing,(British),(male),1968,One from a portfolio of six screenprints,Drawings & Prints,1968-12-11
"Medals, New York",Robert Frank,(American),(male),1951,Gelatin silver print,Photography,1981-10-15
Reclining Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,(American),(male),1934,Pencil on paper,Architecture & Design,1974-11-06
Noumenon 377,Carl Chiarenza,(American),(male),1984-85,Gelatin silver print,Photography,2018-10-24
"Near Wudi Modaui, Sudan",Dorothea Lange,(American),(female),1963,Gelatin silver print,Photography,1995-06-15
Memphis textile,Martine Bedin,(French),(female),1981,Screen printed silk,Architecture & Design,2015-06-04
Untitled sketch,Lauretta Vinciarelli,(Italian),(female),1996–2006,Drawing on paper,Architecture & Design,2016-06-10
Dance of the Quetzals from Dances of Mexico,Carlos Mérida,(Guatemalan),(male),c. 1937,One from a portfolio of ten lithographs,Drawings & Prints,1943-02-18
Untitled,Louise Bourgeois,(American),(female),c. 1989,Aquatint,Drawings & Prints,1993-11-17
"Newlyweds After Planting Memorial Trees on the Slope of a Mountain, Kagoshima",Ryoji Akiyama,(Japanese),(male),1970,Gelatin silver print,Photography,1977-06-09
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, IL (Elevation, exterior perspective.)",Ludwig Mies van der Rohe,(American),(male),1945—1946,Pencil on tracing,Architecture & Design,1968-04-11
The Glory of the Kings,Erol (Erol Akyavas),(Turkish),(male),1959?,Oil on canvas,Painting & Sculpture,1961-05-16
La monnaie. Quai Conti,Eugène Atget,(French),(male),1905-06,Albumen silver print,Photography,1968-03-06
"IIT Library and Administration Building, Chicago, IL (Column-window frame details. Sections. Sketch.)",Ludwig Mies van der Rohe,(American),(male),1944—1945,Pencil on paper,Architecture & Design,1968-04-11
In-text plate (folio 24) from GHETTOHOCHZEIT,Via Lewandowsky,(German),(male),1988,,Drawings & Prints,1993-01-18
Ode to Eugénie Grandet,Louise Bourgeois,(American),(female),2007,"Etching, with hand additions",Drawings & Prints,2016-06-08
Unbound pages from Destroy All Monsters: Geisha This,Destroy All Monsters,(),(),"c.1978-79, reprinted 1995",Ten photocopies (or offset?),Drawings & Prints,2009-11-17
Untitled from A Wave,Will Barnet,(American),(male),2002,One from the supplemental suite of eight lithographs,Drawings & Prints,2009-04-14
Untitled,Willem de Kooning,(American),(male),1966,Charcoal on paper,Drawings & Prints,2012-04-10
"Duplicate of chapter title from page 51 (supplementary suite, plate 8) from CONTES",Henri Laurens,(French),(male),1953,"Woodcut, printed in color",Drawings & Prints,1964-10-06
Unidentfied Project (Structural details. Sketch.),Ludwig Mies van der Rohe,(American),(male),n.d.,Pencil on paper,Architecture & Design,1968-04-11
Untitled from the series the Germans,René Burri,(Swiss),(male),1962,Gelatin silver print,Photography,2016-10-13
Untitled,Ree Morton,(American),(female),n.d.,Cut-and-pasted graph paper,Drawings & Prints,2009-10-07
Tailpiece (page 242) from L'IMITATION DE JÉSUS-CHRIST,Maurice Denis,(French),(male),1893-1903,,Drawings & Prints,1964-10-06
Ostroumova-Lebedeva,Anna Ostroumova-Lebedeva,(),(female),1924,,Drawings & Prints,2001-01-24
"Plate 14 from Arkhitekturnye fantazii: 101 kompozitsiia v kraskakh, 101 arkhitekturnaia miniatiura (Architectural Fantasies: 101 Compositions in Color, 101 Architectural Miniatures)",Iakov Chernikhov,(Russian),(male),1933,One from an illustrated book with 214 letterpress illustrations,Drawings & Prints,2001-01-24
Youth Hostel (Havel river [near Berlin]. Exterior perspective sketch.),Ludwig Mies van der Rohe,(American),(male),n.d.,Pencil on paper,Architecture & Design,1968-04-11
Sicily,Thomas Roma,(American),(male),1985,Gelatin silver print,Photography,1988-03-10
"Urban Proposal with Multi Thin-Shell Capsules, project (Exterior perspective and detail sketches)",Daniel Grataloup,(Swiss),(male),1970,Pencil on paper,Architecture & Design,2012-10-15
Untitled,David Shrigley,(British),(male),2000,Etching and aquatint,Drawings & Prints,2002-11-20
Plate (facing page 128) from LES HOMMES ABANDONNÉES,Maurice de Vlaminck,(French),(male),1927,"Lithograph, printed in black",Drawings & Prints,1964-10-06
Bathers (Also: Waterfall),"George Overbury (""Pop"") Hart",(American),(male),1928,"Lithograph on stone, colored by hand with grease crayon in color",Drawings & Prints,1940-04-05
James and the Giant Peach,,,,1996,Poster,Film,
Dancer in the Mirror ( Tänzerin im Spiegel ),Max Pechstein,(German),(male),1923,Woodcut,Drawings & Prints,1957-05-15
Composition,Auguste Herbin,(French),(male),c. 1925,Gouache on paper,Drawings & Prints,1985-09-10
"Town (in-text plate, page 19) from Viaggio in Italia",Eugene Berman,(American),(male),1945-1951,Lithograph,Drawings & Prints,1953-06-22
Dutch travel poster,Unknown artist,(),(),1900-1943,Poster,Architecture & Design,1943-05-12
Deep in the Woods,David Marshall Graham,(American),(male),"May 5, 1980",Chromogenic print,Photography,1982-10-28
18 II 62,Stanislaw Fijalkowski,(Polish),(male),1962,Linoleum cut,Drawings & Prints,2006-03-08
"THE SOW (plate, page 53) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),(male),1938-1940,,Drawings & Prints,1964-10-06
"Untitled (4 days, 3 nights, 1 summer)",Joey Kötting,(British),(male),2001,,Drawings & Prints,2002-11-20
15 postcards of Tiflis (c.1900-30) and one of Kharkov (c. 1925),Unidentified Artists,(),(),(c. 1910s-30s),"16 postcards (8 letterpress, 5 gravure, 2 collotype, letterpress, and chromolithograph)",Drawings & Prints,2001-01-24
Untitled from Favorite Objects,Christian Boltanski,(French),(male),1998,One from a portfolio of 264 color Xeroxes,Drawings & Prints,1999-05-20
Plate VII (folio 17) from LICHTANMERKUNGEN IN ACHT AUGENBLICKEN/ANNOTAZIONI DI LUCE IN OTTO MOMENTI/ANNOTATIONS OF LIGHT IN EIGHT MOMENTS,Roberto Ciaccio,(Italian),(male),1990-1992,"Aquatint, printed in black",Drawings & Prints,1993-05-03
Venus de Milo Apron,George Maciunas,(American),(male),,,Fluxus Collection,2008-10-08
"Galax, Virginia",Lee Friedlander,(American),(male),1962,Gelatin silver print,Photography,1965-11-09
Bamburgh Castle - See Britain First on Shell,Algernon Newton,(British),(male),1930,Lithograph,Architecture & Design,1937-11-22
"Court House Project, Plan",Ludwig Mies van der Rohe,(American),(male),c. 1935,Pencil on tracing paper,Architecture & Design,
Creede I from Copper Series,Frank Stella,(American),(male),1970,One from a series of seven lithographs,Drawings & Prints,1998-03-05
"Proof from preliminary block for DAPHNIS PURSUING CHLOE (supplementary suite, plate 25) from DAPHNIS AND CHLOE",Aristide Maillol,(French),(male),1937,,Drawings & Prints,1964-10-06
Untitled (Southeast Asia),Dorothea Lange,(American),(female),1958,"Gelatin silver print, printed 1965",Photography,1995-06-15
Headpiece (page 113) from Les Chants de Maldoror (The Songs of Maldoror),Salvador Dalí,(Spanish),(male),1934,"One from an illustrated book with forty-two etchings, some with drypoint; letterpress text",Drawings & Prints,2022-05-24
Microprocessor (CRISP) Diagram and Corresponding Silicon Microchip,"AT&T Bell Laboratories, Murray Hill, NJ",(American),(),1986,Ink on paper and silicon,Architecture & Design,1990-10-24
Details,Lorna Simpson,(American),(female),1996,Photogravure,Photography,2021-01-21
Tract House #15,Lewis Baltz,(American),(male),1971,Gelatin silver print,Photography,1970-10-27
"Das Vaterunser (plate, folio 102) from Ecce Homo",George Grosz,(American),(male),1922–23 (original executed in 1921),One from an illustrated book with 100 offset lithograph reproductions,Drawings & Prints,1964-10-06
"Sunset, Minaret Summit",Cedric Wright,(American),(male),1938,Gelatin silver print,Photography,1940-04-05
Untitled,Jay Van Everen,(American),(male),c. 1926,Gouache on board,Drawings & Prints,1969-04-16
Untitled #175,José Antonio Suárez Londoño,(Colombian),(male),2000,Etching and aquatint,Drawings & Prints,2009-11-17
"Libertad Condicional, Autorretrato",Guillermo Núñez,(Chilean),(male),1979,"Screenprint from an artist's book of twenty-three screenprints, nine with cut-and-pasted paper, two with ink, and one with crayon additions all housed in a folder with screenprints on cover",Drawings & Prints,2016-06-08
Louise,Louise Bourgeois,(American),(female),1999,Drypoint and engraving,Drawings & Prints,2008-06-18
Plate (page 117) from LES IDYLLES,Henri Laurens,(French),(male),1945,,Drawings & Prints,1964-10-06
The Spontaneous Lovers,Damien Hirst,(British),(male),1991,Ink on lined paper,Drawings & Prints,2015-06-03
Graphic design for Jens Jensen,Frank Lloyd Wright,(American),(male),n.d.,"Ink, pencil, and colored pencil on tracing paper",Architecture & Design,
Woman with an Arm Tattoo,Lucian Freud,(British),(male),1996,Etching,Drawings & Prints,2002-06-18
"Three Bathers (plate, folio 24) from the illustrated book La Chèvre-Feuille",Pablo Picasso,(Spanish),(male),1943,"Etching over relief halftone, relief printed",Drawings & Prints,1964-10-06
Reverend Martin Cyril D'arcy,Alfred Eisenstaedt,(American),(male),November 1951,Gelatin silver print,Photography,1959-04-22
Stikhi i ugol',G. Krastashevskii,(),(),1931,,Drawings & Prints,2001-01-24
Woman Emptying a Wheelbarrow (Femme vidant une brouette),Camille Pissarro,(French),(male),1880,"Etching, aquatint, and drypoint",Drawings & Prints,1940-04-05
Peasants (Campesinos),José Chávez Morado,(Mexican),(male),1938,Lithograph,Drawings & Prints,1942-12-29
Self-Portraits (Selbstbildnisse),Lovis Corinth,(German),(male),1902,Pencil on paper,Drawings & Prints,1979-10-04
Dva stikhotvoreniia,Russian Book Collection,(),(),1924,,Drawings & Prints,2001-01-24
English Railway poster,Unknown artist,(),(),1900-1943,Poster,Architecture & Design,1943-05-12
"Two polymer printing plates, from the making of the eighth gathering of Gastronomy. A Catalogue of books & manuscripts on cookery…c. 1517-2006….Catalogue thirteen",Ben Kinmont,(American),(male),2012,Two polymer printing plates,Drawings & Prints,2013-02-07
"IIT Library and Administration Building, Chicago, IL (Structural detail. Section.)",Ludwig Mies van der Rohe,(American),(male),1944—1945,Pencil on tracing paper,Architecture & Design,1968-04-11
Saxifraga wilkommiana (Willkom's Saxifrage. Rosette of Leaves Enlarged 10 Times),Karl Blossfeldt,(German),(male),1898–1928,"Gelatin silver print, printed 1920-32",Photography,2001-12-13
Aggregate States of Matters,Rosa Barba,(Italian),(female),2019,"35mm film (color, sound; 21:14 min.) and custom 35mm projection system",Media and Performance,2021-05-13
"Doffers, Willingham Cotton Mill, Macon, Georgia",Lewis Wickes Hine,(American),(male),January 1909,Gelatin silver print,Photography,1970-10-27
Plate (folio 26) from PIERRE ÉCRITE,Raoul Ubac,(Belgian),(male),1958,,Drawings & Prints,1966-11-03
"Iugo LEF. Zhurnal levogo fronta iskusstv iuga S.S.S.R., no. 1",N. Danylov,(),(),1924,,Drawings & Prints,2001-01-24
"The Singer Building, Noon",Alvin Langdon Coburn,(American),(male),1910,Photogravure,Photography,1971-05-04
"Student Projects, Under Mies van der Rohe's Supervision (Graduate student project. Floor plan.)",Ludwig Mies van der Rohe,(American),(male),n.d.,ink on illustration board,Architecture & Design,1968-04-11
Untitled (Tecopa G),Noriko Furunishi,(Japanese),(female),2005,Chromogenic print,Photography,2006-01-11
"Tubular-steel upholstered armchair, LR 36-105A (Elevation, plan, and section)",Lilly Reich,(German),(female),1938,Pencil on tracing paper,Architecture & Design,
"Design 5 (Module from the Continua system, four-inch scale)",Erwin Hauer,(Austrian),(male),1956,Cast hydrostone,Architecture & Design,2012-06-07
"Untitled, plate 1 of 7, from the portfolio, Metamorfosis",Louise Bourgeois,(American),(female),1999,Drypoint and aquatint,Drawings & Prints,2002-04-04
"Barn, Stock Gate, Point Reyes, California",Ansel Adams,(American),(male),1940,Gelatin silver print,Photography,1940-04-05
Being Human,Christopher Kulendran Thomas,(),(male),2019,"High-definition video (color, sound; 24 min.) projected on glass, with three paintings and three sculptures: ""Untitled II,"" ""Untitled V,"" and ""Untitled VI"" (2018) by Upali Ananda, and ""Untitled II"" and ""Untitled V"" (2018) by Kingsley Gunatillake (all purchased by the artist from Saskia Fernando Gallery, Colombo); and ""Untitled X"" after Kingsley Gunatillake (2019) by Christopher Kulendran Thomas

<br>
<br>
Collaborating Artist: Annika Khulmann",Media and Performance,2021-05-13
No Title (Where are set...),Raymond Pettibon,(American),(male),1997,Ink and watercolor on paper,Drawings & Prints,2005-05-10
4:24 am from the portfolio Nightwalk,Mark Stock,(American),(male),1978,One from a portfolio of seven etchings with aquatint,Drawings & Prints,1981-10-22
White Power,Michael Ray Charles,(American),(male),1994,Aquatint and open bite etching,Drawings & Prints,1999-11-18
In-text plate (page III) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,(French),(male),1916-1932,"Wood engraving, printed in black",Drawings & Prints,1964-10-06
Plate IX from DIES IRAE,Peter Lipman-Wulf,(American),(male),1949-1963,"Drypoint, printed in color",Drawings & Prints,1968-10-10
Psychosis from Capriccios,William Gropper,(American),(male),1953–57,One from a portfolio of fifty lithographs,Drawings & Prints,1964-11-10
Mare 139,MARE 139 (Carlos Rodriguez),(American),(male),n.d.,"Pencil, felt-tip pen, ballpoint pen, and spray paint on paper",Drawings & Prints,2018-11-05
Untitled,Robert Overby,(American),(male),1972,Gouache and pencil on paper,Drawings & Prints,2001-02-13
"IIT Field House Building, Gymnasium, Natatorium, Chicago, IL (Gymnasium and Field House. Exterior perspective. Sketch.)",Ludwig Mies van der Rohe,(American),(male),1945,Pencil on paper,Architecture & Design,1968-04-11
