ticket_id,prediction_at,channel,priority,customer_plan,message_word_count,open_ticket_backlog,previous_30d_contacts,opened_hour,opened_weekday,first_response_minutes,missed_8h_sla,label_available_at
TKT-0042,2026-01-11T20:00:00+0000,chat,high,basic,64,10,1.0,20,6,261,0,2026-01-12T00:21:00+0000
TKT-0043,2026-01-12T00:00:00+0000,web,normal,basic,48,17,1.0,0,0,116,0,2026-01-12T01:56:00+0000
TKT-0044,2026-01-12T04:00:00+0000,chat,low,team,58,19,2.0,4,0,53,0,2026-01-12T04:53:00+0000
TKT-0045,2026-01-12T08:00:00+0000,chat,normal,basic,45,10,1.0,8,0,268,0,2026-01-12T12:28:00+0000
TKT-0046,2026-01-12T12:00:00+0000,email,normal,enterprise,57,16,2.0,12,0,192,0,2026-01-12T15:12:00+0000
TKT-0047,2026-01-12T16:00:00+0000,chat,normal,team,48,12,1.0,16,0,331,0,2026-01-12T21:31:00+0000
TKT-0048,2026-01-12T20:00:00+0000,email,normal,team,57,15,2.0,20,0,135,0,2026-01-12T22:15:00+0000
TKT-0049,2026-01-13T00:00:00+0000,web,normal,enterprise,58,21,2.0,0,1,212,0,2026-01-13T03:32:00+0000
TKT-0050,2026-01-13T04:00:00+0000,email,low,basic,55,18,2.0,4,1,533,1,2026-01-13T12:00:00+0000
TKT-0051,2026-01-13T08:00:00+0000,email,high,team,58,18,0.0,8,1,72,0,2026-01-13T09:12:00+0000
TKT-0052,2026-01-13T12:00:00+0000,email,normal,basic,45,16,0.0,12,1,85,0,2026-01-13T13:25:00+0000
TKT-0053,2026-01-13T16:00:00+0000,email,normal,enterprise,58,21,0.0,16,1,161,0,2026-01-13T18:41:00+0000
TKT-0054,2026-01-13T20:00:00+0000,web,normal,basic,60,16,1.0,20,1,996,1,2026-01-14T04:00:00+0000
TKT-0055,2026-01-14T00:00:00+0000,chat,high,enterprise,59,21,2.0,0,2,606,1,2026-01-14T08:00:00+0000
TKT-0056,2026-01-14T04:00:00+0000,chat,high,enterprise,54,19,0.0,4,2,660,1,2026-01-14T12:00:00+0000
TKT-0057,2026-01-14T08:00:00+0000,web,normal,basic,57,15,4.0,8,2,169,0,2026-01-14T10:49:00+0000
TKT-0058,2026-01-14T12:00:00+0000,email,normal,team,52,14,1.0,12,2,161,0,2026-01-14T14:41:00+0000
TKT-0059,2026-01-14T16:00:00+0000,email,normal,enterprise,58,17,0.0,16,2,836,1,2026-01-15T00:00:00+0000
TKT-0060,2026-01-14T20:00:00+0000,web,normal,team,52,19,1.0,20,2,116,0,2026-01-14T21:56:00+0000
TKT-0061,2026-01-15T00:00:00+0000,email,high,basic,54,22,1.0,0,3,174,0,2026-01-15T02:54:00+0000
TKT-0062,2026-01-15T04:00:00+0000,email,normal,enterprise,53,12,0.0,4,3,174,0,2026-01-15T06:54:00+0000
TKT-0063,2026-01-15T08:00:00+0000,web,normal,team,42,14,1.0,8,3,249,0,2026-01-15T12:09:00+0000
TKT-0064,2026-01-15T12:00:00+0000,web,high,basic,66,20,1.0,12,3,48,0,2026-01-15T12:48:00+0000
TKT-0065,2026-01-15T16:00:00+0000,email,normal,team,66,17,2.0,16,3,71,0,2026-01-15T17:11:00+0000
TKT-0066,2026-01-15T20:00:00+0000,web,normal,basic,54,14,2.0,20,3,527,1,2026-01-16T04:00:00+0000
TKT-0067,2026-01-16T00:00:00+0000,email,high,team,67,20,1.0,0,4,671,1,2026-01-16T08:00:00+0000
TKT-0068,2026-01-16T04:00:00+0000,email,high,basic,61,8,0.0,4,4,108,0,2026-01-16T05:48:00+0000
TKT-0069,2026-01-16T08:00:00+0000,email,normal,basic,52,12,0.0,8,4,273,0,2026-01-16T12:33:00+0000
TKT-0070,2026-01-16T12:00:00+0000,web,low,team,49,5,1.0,12,4,155,0,2026-01-16T14:35:00+0000
TKT-0071,2026-01-16T16:00:00+0000,web,high,team,49,15,2.0,16,4,79,0,2026-01-16T17:19:00+0000
TKT-0072,2026-01-16T20:00:00+0000,chat,normal,basic,60,15,1.0,20,4,133,0,2026-01-16T22:13:00+0000
TKT-0073,2026-01-17T00:00:00+0000,email,normal,basic,50,2,3.0,0,5,41,0,2026-01-17T00:41:00+0000
TKT-0074,2026-01-17T04:00:00+0000,email,high,basic,42,9,1.0,4,5,1131,1,2026-01-17T12:00:00+0000
TKT-0075,2026-01-17T08:00:00+0000,web,low,basic,58,14,2.0,8,5,292,0,2026-01-17T12:52:00+0000
TKT-0076,2026-01-17T12:00:00+0000,web,normal,team,57,13,1.0,12,5,53,0,2026-01-17T12:53:00+0000
TKT-0077,2026-01-17T16:00:00+0000,email,normal,team,47,12,1.0,16,5,118,0,2026-01-17T17:58:00+0000
TKT-0078,2026-01-17T20:00:00+0000,email,low,team,55,14,0.0,20,5,109,0,2026-01-17T21:49:00+0000
TKT-0079,2026-01-18T00:00:00+0000,chat,low,team,64,4,3.0,0,6,142,0,2026-01-18T02:22:00+0000
TKT-0080,2026-01-18T04:00:00+0000,email,normal,basic,58,10,0.0,4,6,35,0,2026-01-18T04:35:00+0000
TKT-0081,2026-01-18T08:00:00+0000,web,normal,team,50,16,1.0,8,6,168,0,2026-01-18T10:48:00+0000
TKT-0082,2026-01-18T12:00:00+0000,email,normal,basic,53,16,1.0,12,6,56,0,2026-01-18T12:56:00+0000
TKT-0083,2026-01-18T16:00:00+0000,email,low,basic,49,17,2.0,16,6,68,0,2026-01-18T17:08:00+0000
TKT-0084,2026-01-18T20:00:00+0000,web,normal,basic,37,11,2.0,20,6,169,0,2026-01-18T22:49:00+0000
TKT-0085,2026-01-19T00:00:00+0000,chat,high,basic,58,15,1.0,0,0,280,0,2026-01-19T04:40:00+0000
TKT-0086,2026-01-19T04:00:00+0000,chat,low,team,60,21,1.0,4,0,217,0,2026-01-19T07:37:00+0000
TKT-0087,2026-01-19T08:00:00+0000,email,low,basic,61,17,2.0,8,0,973,1,2026-01-19T16:00:00+0000
TKT-0088,2026-01-19T12:00:00+0000,web,normal,basic,40,16,0.0,12,0,737,1,2026-01-19T20:00:00+0000
TKT-0089,2026-01-19T16:00:00+0000,web,high,team,57,19,0.0,16,0,61,0,2026-01-19T17:01:00+0000
TKT-0090,2026-01-19T20:00:00+0000,chat,normal,team,53,15,1.0,20,0,562,1,2026-01-20T04:00:00+0000
TKT-0091,2026-01-20T00:00:00+0000,web,high,enterprise,64,17,3.0,0,1,93,0,2026-01-20T01:33:00+0000
TKT-0092,2026-01-20T04:00:00+0000,web,normal,basic,50,18,1.0,4,1,647,1,2026-01-20T12:00:00+0000
TKT-0093,2026-01-20T08:00:00+0000,email,normal,basic,41,25,0.0,8,1,1007,1,2026-01-20T16:00:00+0000
TKT-0094,2026-01-20T12:00:00+0000,email,low,team,47,19,0.0,12,1,335,0,2026-01-20T17:35:00+0000
TKT-0095,2026-01-20T16:00:00+0000,chat,low,basic,43,18,3.0,16,1,218,0,2026-01-20T19:38:00+0000
TKT-0096,2026-01-20T20:00:00+0000,web,high,basic,54,15,1.0,20,1,260,0,2026-01-21T00:20:00+0000
TKT-0097,2026-01-21T00:00:00+0000,email,low,basic,60,13,0.0,0,2,288,0,2026-01-21T04:48:00+0000
TKT-0098,2026-01-21T04:00:00+0000,email,low,basic,45,20,2.0,4,2,204,0,2026-01-21T07:24:00+0000
TKT-0099,2026-01-21T08:00:00+0000,web,normal,basic,69,18,2.0,8,2,50,0,2026-01-21T08:50:00+0000
TKT-0100,2026-01-21T12:00:00+0000,email,low,enterprise,57,22,4.0,12,2,1296,1,2026-01-21T20:00:00+0000
TKT-0101,2026-01-21T16:00:00+0000,web,normal,enterprise,41,17,1.0,16,2,76,0,2026-01-21T17:16:00+0000
TKT-0102,2026-01-21T20:00:00+0000,email,normal,basic,60,22,2.0,20,2,209,0,2026-01-21T23:29:00+0000
TKT-0103,2026-01-22T00:00:00+0000,chat,normal,basic,43,15,1.0,0,3,187,0,2026-01-22T03:07:00+0000
TKT-0104,2026-01-22T04:00:00+0000,web,high,basic,51,16,2.0,4,3,90,0,2026-01-22T05:30:00+0000
TKT-0105,2026-01-22T08:00:00+0000,email,high,enterprise,62,17,3.0,8,3,196,0,2026-01-22T11:16:00+0000
TKT-0106,2026-01-22T12:00:00+0000,web,normal,,43,10,0.0,12,3,255,0,2026-01-22T16:15:00+0000
TKT-0107,2026-01-22T16:00:00+0000,web,normal,team,59,11,3.0,16,3,38,0,2026-01-22T16:38:00+0000
TKT-0108,2026-01-22T20:00:00+0000,email,normal,basic,50,13,5.0,20,3,81,0,2026-01-22T21:21:00+0000
TKT-0109,2026-01-23T00:00:00+0000,web,high,enterprise,48,17,2.0,0,4,681,1,2026-01-23T08:00:00+0000
TKT-0110,2026-01-23T04:00:00+0000,email,normal,team,56,15,1.0,4,4,193,0,2026-01-23T07:13:00+0000
TKT-0111,2026-01-23T08:00:00+0000,email,normal,basic,53,15,1.0,8,4,133,0,2026-01-23T10:13:00+0000
TKT-0112,2026-01-23T12:00:00+0000,email,normal,basic,52,10,1.0,12,4,350,0,2026-01-23T17:50:00+0000
TKT-0113,2026-01-23T16:00:00+0000,email,low,enterprise,65,14,1.0,16,4,610,1,2026-01-24T00:00:00+0000
TKT-0114,2026-01-23T20:00:00+0000,chat,low,basic,53,6,0.0,20,4,167,0,2026-01-23T22:47:00+0000
TKT-0115,2026-01-24T00:00:00+0000,email,normal,basic,56,5,2.0,0,5,196,0,2026-01-24T03:16:00+0000
TKT-0116,2026-01-24T04:00:00+0000,email,normal,team,49,9,0.0,4,5,546,1,2026-01-24T12:00:00+0000
TKT-0117,2026-01-24T08:00:00+0000,web,normal,team,63,13,3.0,8,5,67,0,2026-01-24T09:07:00+0000
TKT-0118,2026-01-24T12:00:00+0000,web,low,team,50,9,2.0,12,5,872,1,2026-01-24T20:00:00+0000
TKT-0119,2026-01-24T16:00:00+0000,web,normal,team,46,12,2.0,16,5,70,0,2026-01-24T17:10:00+0000
TKT-0120,2026-01-24T20:00:00+0000,web,normal,team,70,8,0.0,20,5,221,0,2026-01-24T23:41:00+0000
TKT-0121,2026-01-25T00:00:00+0000,email,normal,basic,39,17,0.0,0,6,998,1,2026-01-25T08:00:00+0000
TKT-0122,2026-01-25T04:00:00+0000,web,normal,basic,42,12,1.0,4,6,230,0,2026-01-25T07:50:00+0000
TKT-0123,2026-01-25T08:00:00+0000,email,high,enterprise,53,14,1.0,8,6,228,0,2026-01-25T11:48:00+0000
TKT-0124,2026-01-25T12:00:00+0000,email,normal,basic,57,12,1.0,12,6,122,0,2026-01-25T14:02:00+0000
TKT-0125,2026-01-25T16:00:00+0000,email,normal,team,45,16,4.0,16,6,225,0,2026-01-25T19:45:00+0000
TKT-0126,2026-01-25T20:00:00+0000,chat,normal,basic,49,21,0.0,20,6,60,0,2026-01-25T21:00:00+0000
TKT-0127,2026-01-26T00:00:00+0000,chat,normal,enterprise,52,22,2.0,0,0,682,1,2026-01-26T08:00:00+0000
TKT-0128,2026-01-26T04:00:00+0000,email,high,team,50,17,0.0,4,0,542,1,2026-01-26T12:00:00+0000
TKT-0129,2026-01-26T08:00:00+0000,email,normal,enterprise,48,10,3.0,8,0,84,0,2026-01-26T09:24:00+0000
TKT-0130,2026-01-26T12:00:00+0000,chat,normal,team,62,19,0.0,12,0,53,0,2026-01-26T12:53:00+0000
TKT-0131,2026-01-26T16:00:00+0000,email,low,basic,40,18,0.0,16,0,137,0,2026-01-26T18:17:00+0000
TKT-0132,2026-01-26T20:00:00+0000,email,high,basic,53,19,1.0,20,0,1007,1,2026-01-27T04:00:00+0000
TKT-0133,2026-01-27T00:00:00+0000,web,normal,team,61,22,1.0,0,1,27,0,2026-01-27T00:27:00+0000
TKT-0134,2026-01-27T04:00:00+0000,chat,normal,basic,57,15,1.0,4,1,679,1,2026-01-27T12:00:00+0000
TKT-0135,2026-01-27T08:00:00+0000,email,normal,enterprise,47,18,1.0,8,1,72,0,2026-01-27T09:12:00+0000
TKT-0136,2026-01-27T12:00:00+0000,email,normal,basic,51,23,2.0,12,1,524,1,2026-01-27T20:00:00+0000
TKT-0137,2026-01-27T16:00:00+0000,chat,normal,basic,70,19,0.0,16,1,142,0,2026-01-27T18:22:00+0000
TKT-0138,2026-01-27T20:00:00+0000,email,high,,53,17,1.0,20,1,827,1,2026-01-28T04:00:00+0000
TKT-0139,2026-01-28T00:00:00+0000,web,normal,,47,19,1.0,0,2,228,0,2026-01-28T03:48:00+0000
TKT-0140,2026-01-28T04:00:00+0000,chat,high,basic,50,22,0.0,4,2,635,1,2026-01-28T12:00:00+0000
TKT-0141,2026-01-28T08:00:00+0000,web,normal,team,56,22,3.0,8,2,104,0,2026-01-28T09:44:00+0000
TKT-0142,2026-01-28T12:00:00+0000,email,normal,enterprise,57,16,1.0,12,2,205,0,2026-01-28T15:25:00+0000
TKT-0143,2026-01-28T16:00:00+0000,email,high,basic,58,20,1.0,16,2,110,0,2026-01-28T17:50:00+0000
TKT-0144,2026-01-28T20:00:00+0000,email,normal,enterprise,57,13,0.0,20,2,67,0,2026-01-28T21:07:00+0000
TKT-0145,2026-01-29T00:00:00+0000,email,normal,basic,49,14,2.0,0,3,165,0,2026-01-29T02:45:00+0000
TKT-0146,2026-01-29T04:00:00+0000,chat,normal,enterprise,58,19,1.0,4,3,384,0,2026-01-29T10:24:00+0000
TKT-0147,2026-01-29T08:00:00+0000,email,high,basic,59,12,3.0,8,3,319,0,2026-01-29T13:19:00+0000
TKT-0148,2026-01-29T12:00:00+0000,email,normal,enterprise,43,14,3.0,12,3,580,1,2026-01-29T20:00:00+0000
TKT-0149,2026-01-29T16:00:00+0000,web,normal,team,57,9,1.0,16,3,226,0,2026-01-29T19:46:00+0000
TKT-0150,2026-01-29T20:00:00+0000,web,high,team,62,17,2.0,20,3,699,1,2026-01-30T04:00:00+0000
TKT-0151,2026-01-30T00:00:00+0000,web,normal,enterprise,45,14,0.0,0,4,79,0,2026-01-30T01:19:00+0000
TKT-0152,2026-01-30T04:00:00+0000,email,normal,basic,45,15,3.0,4,4,34,0,2026-01-30T04:34:00+0000
TKT-0153,2026-01-30T08:00:00+0000,email,high,enterprise,52,19,1.0,8,4,77,0,2026-01-30T09:17:00+0000
TKT-0154,2026-01-30T12:00:00+0000,email,low,basic,60,8,1.0,12,4,68,0,2026-01-30T13:08:00+0000
TKT-0155,2026-01-30T16:00:00+0000,email,high,basic,48,9,2.0,16,4,26,0,2026-01-30T16:26:00+0000
TKT-0156,2026-01-30T20:00:00+0000,email,high,basic,54,10,0.0,20,4,709,1,2026-01-31T04:00:00+0000
TKT-0157,2026-01-31T00:00:00+0000,chat,normal,basic,60,13,0.0,0,5,514,1,2026-01-31T08:00:00+0000
TKT-0158,2026-01-31T04:00:00+0000,chat,normal,basic,43,17,2.0,4,5,38,0,2026-01-31T04:38:00+0000
TKT-0159,2026-01-31T08:00:00+0000,chat,low,team,34,8,1.0,8,5,137,0,2026-01-31T10:17:00+0000
TKT-0160,2026-01-31T12:00:00+0000,web,normal,enterprise,53,13,0.0,12,5,49,0,2026-01-31T12:49:00+0000
TKT-0161,2026-01-31T16:00:00+0000,web,high,team,54,13,2.0,16,5,107,0,2026-01-31T17:47:00+0000
TKT-0162,2026-01-31T20:00:00+0000,chat,normal,enterprise,48,13,1.0,20,5,96,0,2026-01-31T21:36:00+0000
TKT-0163,2026-02-01T00:00:00+0000,chat,normal,basic,67,16,2.0,0,6,157,0,2026-02-01T02:37:00+0000
TKT-0164,2026-02-01T04:00:00+0000,chat,normal,basic,57,8,0.0,4,6,63,0,2026-02-01T05:03:00+0000
TKT-0165,2026-02-01T08:00:00+0000,email,normal,basic,62,17,0.0,8,6,258,0,2026-02-01T12:18:00+0000
TKT-0166,2026-02-01T12:00:00+0000,email,low,basic,47,12,1.0,12,6,107,0,2026-02-01T13:47:00+0000
TKT-0167,2026-02-01T16:00:00+0000,web,normal,team,53,16,3.0,16,6,820,1,2026-02-02T00:00:00+0000
TKT-0168,2026-02-01T20:00:00+0000,chat,low,team,56,15,2.0,20,6,99,0,2026-02-01T21:39:00+0000
TKT-0169,2026-02-02T00:00:00+0000,web,high,basic,47,17,2.0,0,0,115,0,2026-02-02T01:55:00+0000
TKT-0170,2026-02-02T04:00:00+0000,chat,normal,basic,49,22,3.0,4,0,132,0,2026-02-02T06:12:00+0000
TKT-0171,2026-02-02T08:00:00+0000,email,low,basic,36,18,4.0,8,0,89,0,2026-02-02T09:29:00+0000
TKT-0172,2026-02-02T12:00:00+0000,email,normal,enterprise,56,18,0.0,12,0,957,1,2026-02-02T20:00:00+0000
TKT-0173,2026-02-02T16:00:00+0000,web,normal,enterprise,62,14,3.0,16,0,173,0,2026-02-02T18:53:00+0000
TKT-0174,2026-02-02T20:00:00+0000,chat,high,basic,56,16,3.0,20,0,684,1,2026-02-03T04:00:00+0000
TKT-0175,2026-02-03T00:00:00+0000,email,normal,enterprise,69,21,3.0,0,1,540,1,2026-02-03T08:00:00+0000
TKT-0176,2026-02-03T04:00:00+0000,chat,low,basic,59,21,1.0,4,1,566,1,2026-02-03T12:00:00+0000
TKT-0177,2026-02-03T08:00:00+0000,email,high,basic,55,16,0.0,8,1,675,1,2026-02-03T16:00:00+0000
TKT-0178,2026-02-03T12:00:00+0000,email,normal,basic,51,26,6.0,12,1,848,1,2026-02-03T20:00:00+0000
TKT-0179,2026-02-03T16:00:00+0000,email,high,basic,43,19,1.0,16,1,55,0,2026-02-03T16:55:00+0000
TKT-0180,2026-02-03T20:00:00+0000,web,normal,,61,20,2.0,20,1,1312,1,2026-02-04T04:00:00+0000
TKT-0181,2026-02-04T00:00:00+0000,email,low,enterprise,46,16,2.0,0,2,148,0,2026-02-04T02:28:00+0000
TKT-0182,2026-02-04T04:00:00+0000,email,high,team,61,14,2.0,4,2,662,1,2026-02-04T12:00:00+0000
TKT-0183,2026-02-04T08:00:00+0000,email,normal,enterprise,62,14,0.0,8,2,592,1,2026-02-04T16:00:00+0000
TKT-0184,2026-02-04T12:00:00+0000,email,normal,team,56,20,1.0,12,2,89,0,2026-02-04T13:29:00+0000
TKT-0185,2026-02-04T16:00:00+0000,web,low,team,58,18,3.0,16,2,150,0,2026-02-04T18:30:00+0000
TKT-0186,2026-02-04T20:00:00+0000,chat,high,team,70,26,1.0,20,2,721,1,2026-02-05T04:00:00+0000
TKT-0187,2026-02-05T00:00:00+0000,chat,normal,team,53,19,1.0,0,3,184,0,2026-02-05T03:04:00+0000
TKT-0188,2026-02-05T04:00:00+0000,email,normal,basic,53,21,3.0,4,3,80,0,2026-02-05T05:20:00+0000
TKT-0189,2026-02-05T08:00:00+0000,web,normal,team,52,16,3.0,8,3,708,1,2026-02-05T16:00:00+0000
TKT-0190,2026-02-05T12:00:00+0000,email,normal,basic,46,19,1.0,12,3,132,0,2026-02-05T14:12:00+0000
TKT-0191,2026-02-05T16:00:00+0000,web,high,team,58,14,1.0,16,3,68,0,2026-02-05T17:08:00+0000
TKT-0192,2026-02-05T20:00:00+0000,web,normal,basic,52,19,2.0,20,3,17,0,2026-02-05T20:17:00+0000
TKT-0193,2026-02-06T00:00:00+0000,email,normal,team,58,7,2.0,0,4,102,0,2026-02-06T01:42:00+0000
TKT-0194,2026-02-06T04:00:00+0000,email,normal,team,47,19,2.0,4,4,58,0,2026-02-06T04:58:00+0000
TKT-0195,2026-02-06T08:00:00+0000,email,low,basic,48,7,1.0,8,4,90,0,2026-02-06T09:30:00+0000
TKT-0196,2026-02-06T12:00:00+0000,chat,low,basic,50,15,0.0,12,4,772,1,2026-02-06T20:00:00+0000
TKT-0197,2026-02-06T16:00:00+0000,chat,normal,basic,62,13,0.0,16,4,172,0,2026-02-06T18:52:00+0000
TKT-0198,2026-02-06T20:00:00+0000,email,high,basic,56,5,2.0,20,4,521,1,2026-02-07T04:00:00+0000
TKT-0199,2026-02-07T00:00:00+0000,email,normal,basic,57,13,2.0,0,5,34,0,2026-02-07T00:34:00+0000
TKT-0200,2026-02-07T04:00:00+0000,email,low,team,61,5,,4,5,37,0,2026-02-07T04:37:00+0000
TKT-0201,2026-02-07T08:00:00+0000,chat,high,basic,58,15,1.0,8,5,152,0,2026-02-07T10:32:00+0000
TKT-0202,2026-02-07T12:00:00+0000,web,normal,basic,52,17,2.0,12,5,757,1,2026-02-07T20:00:00+0000
TKT-0203,2026-02-07T16:00:00+0000,web,normal,team,51,17,2.0,16,5,121,0,2026-02-07T18:01:00+0000
TKT-0204,2026-02-07T20:00:00+0000,email,normal,team,36,11,2.0,20,5,117,0,2026-02-07T21:57:00+0000
TKT-0205,2026-02-08T00:00:00+0000,email,normal,team,46,11,6.0,0,6,681,1,2026-02-08T08:00:00+0000
TKT-0206,2026-02-08T04:00:00+0000,chat,high,enterprise,58,17,1.0,4,6,415,0,2026-02-08T10:55:00+0000
TKT-0207,2026-02-08T08:00:00+0000,email,normal,basic,49,8,2.0,8,6,12,0,2026-02-08T08:12:00+0000
TKT-0208,2026-02-08T12:00:00+0000,email,high,basic,43,17,3.0,12,6,788,1,2026-02-08T20:00:00+0000
TKT-0209,2026-02-08T16:00:00+0000,web,normal,enterprise,46,16,1.0,16,6,42,0,2026-02-08T16:42:00+0000
TKT-0210,2026-02-08T20:00:00+0000,email,high,enterprise,55,19,1.0,20,6,53,0,2026-02-08T20:53:00+0000
TKT-0211,2026-02-09T00:00:00+0000,email,normal,enterprise,48,27,0.0,0,0,423,0,2026-02-09T07:03:00+0000
TKT-0212,2026-02-09T04:00:00+0000,email,normal,enterprise,53,18,2.0,4,0,118,0,2026-02-09T05:58:00+0000
TKT-0213,2026-02-09T08:00:00+0000,email,normal,basic,44,17,1.0,8,0,580,1,2026-02-09T16:00:00+0000
TKT-0214,2026-02-09T12:00:00+0000,chat,normal,team,49,16,1.0,12,0,80,0,2026-02-09T13:20:00+0000
TKT-0215,2026-02-09T16:00:00+0000,chat,normal,basic,45,13,,16,0,277,0,2026-02-09T20:37:00+0000
TKT-0216,2026-02-09T20:00:00+0000,web,high,basic,51,18,1.0,20,0,638,1,2026-02-10T04:00:00+0000
TKT-0217,2026-02-10T00:00:00+0000,web,low,basic,50,18,1.0,0,1,240,0,2026-02-10T04:00:00+0000
TKT-0218,2026-02-10T04:00:00+0000,email,normal,enterprise,62,21,2.0,4,1,700,1,2026-02-10T12:00:00+0000
TKT-0219,2026-02-10T08:00:00+0000,chat,normal,enterprise,72,20,1.0,8,1,12,0,2026-02-10T08:12:00+0000
