interval_id,bikes_available,open_docks,departures_last_30m,arrivals_last_30m,hour,is_weekend,empty_within_30m
BI-0153,13,13,5,1,18,0,0
BI-0154,10,8,3,2,23,0,1
BI-0155,15,15,2,0,19,0,0
BI-0156,7,10,2,3,19,0,0
BI-0157,6,29,2,1,22,0,0
BI-0158,14,21,1,4,22,1,0
BI-0159,0,27,1,2,0,1,1
BI-0160,17,17,3,1,12,0,0
BI-0161,4,17,3,1,5,0,0
BI-0162,22,0,0,3,15,1,0
BI-0163,18,15,3,0,13,0,0
BI-0164,10,4,1,2,21,0,0
BI-0165,26,0,1,1,21,1,0
BI-0166,27,9,2,0,13,0,0
BI-0167,14,5,3,3,10,0,0
BI-0168,21,8,1,2,13,0,0
BI-0169,16,11,2,4,12,0,0
BI-0170,29,7,0,1,13,1,0
BI-0171,3,17,1,2,1,0,0
BI-0172,18,10,1,1,6,1,0
BI-0173,20,15,0,1,4,0,0
BI-0174,12,2,2,2,1,0,0
BI-0175,9,6,1,2,15,0,0
BI-0176,12,8,2,1,0,0,0
BI-0177,19,9,1,3,11,0,0
BI-0178,15,9,4,3,1,0,0
BI-0179,9,26,2,3,4,0,0
BI-0180,18,12,1,2,14,0,0
BI-0181,7,9,0,2,12,0,0
BI-0182,20,11,1,1,15,0,0
BI-0183,13,9,3,2,23,0,0
BI-0184,1,21,1,3,22,0,0
BI-0185,13,20,0,4,0,0,0
BI-0186,1,21,1,0,20,0,1
BI-0187,21,14,0,4,6,0,0
BI-0188,12,2,1,1,20,1,0
BI-0189,19,10,3,0,15,1,0
BI-0190,15,18,3,1,2,1,1
BI-0191,23,12,1,1,11,0,0
BI-0192,0,23,2,3,10,0,1
BI-0193,22,7,0,2,21,0,0
BI-0194,21,10,4,5,17,0,0
BI-0195,7,13,1,5,11,0,0
BI-0196,6,11,7,4,8,0,1
BI-0197,18,11,5,6,9,1,0
BI-0198,17,5,0,0,13,0,0
BI-0199,4,23,1,1,6,0,0
BI-0200,6,13,3,1,22,1,1
BI-0201,28,5,3,7,16,1,0
BI-0202,8,12,1,9,16,1,0
BI-0203,11,6,0,0,19,1,0
BI-0204,15,16,1,4,3,1,0
BI-0205,17,17,4,1,13,1,0
BI-0206,1,33,6,4,8,0,1
BI-0207,12,22,5,4,9,0,1
BI-0208,20,6,2,2,12,0,0
BI-0209,25,0,1,4,10,0,0
BI-0210,1,19,1,4,4,0,0
BI-0211,1,14,0,0,3,0,0
BI-0212,5,31,4,5,14,0,1
BI-0213,7,19,0,2,14,1,0
BI-0214,12,13,3,5,17,0,0
BI-0215,27,4,0,2,11,0,0
BI-0216,6,9,4,3,16,0,1
BI-0217,4,31,1,1,1,0,0
BI-0218,3,20,4,1,14,0,1
BI-0219,32,1,3,2,11,0,0
BI-0220,29,4,11,4,7,0,0
BI-0221,30,4,2,1,14,1,0
BI-0222,3,33,4,4,17,1,0
BI-0223,7,12,5,4,9,1,1
BI-0224,6,21,6,2,12,0,1
BI-0225,3,27,3,1,12,0,1
BI-0226,15,9,6,5,7,0,0
BI-0227,21,8,4,7,17,1,0
BI-0228,14,10,3,4,0,0,0
BI-0229,4,27,0,2,19,0,1
BI-0230,9,7,3,3,2,1,1
BI-0231,18,8,3,4,11,0,0
BI-0232,19,16,3,2,0,0,0
BI-0233,9,6,8,4,8,0,1
BI-0234,30,1,2,0,21,0,0
BI-0235,18,5,1,1,1,0,0
BI-0236,2,16,10,1,7,0,1
BI-0237,3,23,1,6,2,0,0
BI-0238,1,25,2,1,3,0,1
BI-0239,13,14,4,2,23,0,0
BI-0240,0,14,3,3,20,0,1
BI-0241,21,6,2,3,2,1,0
BI-0242,12,7,1,2,23,1,0
BI-0243,21,14,2,5,15,0,0
BI-0244,6,28,2,1,14,0,0
BI-0245,4,23,8,6,17,1,0
BI-0246,10,15,6,5,7,0,0
BI-0247,14,17,1,7,5,0,0
BI-0248,11,4,1,0,21,0,0
BI-0249,6,12,4,1,12,0,0
BI-0250,13,3,1,0,20,0,0
BI-0251,9,12,7,9,18,0,0
BI-0252,30,4,1,3,20,1,0
BI-0253,24,0,0,1,6,1,0
BI-0254,18,7,5,6,9,0,0
BI-0255,12,10,1,1,20,0,1
BI-0256,8,8,1,2,20,1,0
BI-0257,33,2,1,3,3,1,0
BI-0258,11,4,1,4,10,0,0
BI-0259,13,18,4,2,12,0,0
BI-0260,12,19,2,1,23,0,0
BI-0261,9,26,1,5,12,0,0
BI-0262,1,25,4,0,7,1,1
BI-0263,7,19,11,5,16,0,0
BI-0264,6,18,2,9,16,1,0
BI-0265,22,2,3,4,2,0,0
BI-0266,5,14,2,4,9,1,0
BI-0267,22,6,2,2,2,0,0
BI-0268,1,20,3,4,16,0,0
BI-0269,20,3,2,1,22,1,0
BI-0270,5,11,3,3,7,0,1
BI-0271,23,6,7,5,21,0,0
BI-0272,35,1,5,4,8,0,0
BI-0273,1,19,3,1,2,0,1
BI-0274,15,17,2,0,10,0,0
BI-0275,10,14,2,2,6,0,0
BI-0276,16,10,4,4,17,1,0
BI-0277,31,2,1,4,12,0,0
BI-0278,28,2,3,3,7,0,0
BI-0279,2,30,2,0,19,0,0
BI-0280,0,34,2,9,16,1,0
BI-0281,9,14,1,5,22,0,0
BI-0282,9,26,5,6,17,0,0
BI-0283,15,5,7,7,7,1,0
BI-0284,12,2,0,1,19,1,0
BI-0285,1,13,1,2,2,0,1
BI-0286,31,2,3,1,3,0,0
BI-0287,15,1,1,3,3,0,0
BI-0288,6,10,2,1,14,0,0
BI-0289,32,3,4,0,3,0,0
BI-0290,19,15,4,4,9,0,0
BI-0291,21,9,5,6,17,0,0
BI-0292,4,32,5,0,11,0,1
BI-0293,28,5,6,4,8,1,0
BI-0294,8,17,8,4,18,0,1
BI-0295,21,2,10,4,9,1,0
BI-0296,1,28,1,2,11,0,0
BI-0297,2,33,5,0,14,0,0
BI-0298,12,5,6,5,16,1,1
BI-0299,23,8,1,3,15,0,0
BI-0300,2,24,5,3,22,0,1
BI-0301,1,22,2,1,10,1,1
BI-0302,19,11,3,7,16,1,0
BI-0303,13,1,6,3,3,0,0
BI-0304,15,8,1,7,16,0,0
BI-0305,4,24,3,0,21,0,1
BI-0306,11,10,4,2,19,0,0
BI-0307,1,14,2,0,20,0,1
BI-0308,15,8,3,3,14,1,0
BI-0309,7,11,3,3,3,1,0
BI-0310,4,21,0,0,15,1,0
BI-0311,3,17,3,0,21,1,1
BI-0312,21,0,2,3,4,1,0
BI-0313,15,2,2,1,21,0,1
BI-0314,22,7,1,2,23,0,0
BI-0315,13,1,3,0,5,1,0
BI-0316,11,5,7,0,9,1,0
BI-0317,5,20,2,1,1,0,0
BI-0318,4,12,5,2,3,1,0
BI-0319,16,14,2,0,11,0,0
BI-0320,2,34,4,6,18,1,0
BI-0321,5,11,1,3,13,0,0
BI-0322,25,11,3,3,22,0,0
BI-0323,0,30,2,1,0,0,0
BI-0324,7,15,1,3,4,0,0
BI-0325,35,1,2,3,20,0,0
BI-0326,19,4,2,11,18,0,0
BI-0327,7,8,0,1,12,1,0
BI-0328,9,9,2,1,3,0,0
BI-0329,34,2,2,6,16,0,0
BI-0330,6,20,0,0,15,1,0
BI-0331,20,9,2,5,5,0,0
BI-0332,16,12,2,4,5,0,0
BI-0333,19,4,2,2,23,1,0
BI-0334,15,6,7,6,17,0,0
BI-0335,6,10,2,3,10,0,0
BI-0336,12,22,2,0,6,1,0
BI-0337,23,12,2,3,3,1,0
BI-0338,0,21,2,1,19,0,1
BI-0339,11,6,1,2,2,0,0
BI-0340,30,4,2,3,20,0,0
BI-0341,6,21,3,2,13,1,0
BI-0342,7,16,1,2,13,1,0
BI-0343,3,25,3,3,20,0,1
BI-0344,5,28,0,2,4,1,0
BI-0345,5,12,3,3,2,0,0
BI-0346,15,2,4,1,19,0,0
BI-0347,17,0,3,5,17,0,0
BI-0348,32,0,5,3,7,0,0
BI-0349,20,10,3,3,23,1,0
BI-0350,4,20,2,4,21,0,0
BI-0351,11,3,2,3,3,0,0
BI-0352,2,19,1,2,6,0,0
BI-0353,11,6,2,3,12,1,0
BI-0354,10,11,9,10,18,0,0
BI-0355,26,0,3,0,20,0,0
BI-0356,14,20,8,5,8,0,0
BI-0357,5,18,3,2,15,0,1
BI-0358,22,8,4,6,16,0,0
BI-0359,16,4,4,1,22,1,0
BI-0360,22,3,2,0,4,1,0
BI-0361,29,1,1,4,3,1,0
BI-0362,18,0,2,5,10,0,0
BI-0363,23,8,0,1,19,1,0
BI-0364,2,24,3,1,10,0,0
BI-0365,11,15,6,1,9,1,1
BI-0366,24,0,2,1,20,0,0
BI-0367,14,17,2,1,22,0,0
BI-0368,19,17,3,0,5,0,0
BI-0369,9,7,7,7,17,0,0
BI-0370,1,17,3,2,15,1,1
BI-0371,27,9,2,0,21,0,0
BI-0372,25,0,1,1,3,0,0
BI-0373,8,12,5,1,22,0,0
BI-0374,4,27,5,3,7,1,1
BI-0375,18,1,1,0,4,1,0
BI-0376,11,6,2,2,8,1,0
BI-0377,10,18,3,1,15,1,1
BI-0378,12,19,0,2,21,0,0
BI-0379,6,16,5,3,7,0,1
BI-0380,3,20,1,4,3,0,0
BI-0381,5,18,1,3,2,0,0
BI-0382,2,15,1,2,11,0,0
BI-0383,17,2,2,2,0,0,0
BI-0384,1,16,2,0,1,1,0
BI-0385,17,1,1,1,3,0,0
BI-0386,3,28,4,3,18,1,0
BI-0387,21,8,5,6,18,1,0
BI-0388,13,9,3,6,18,0,0
BI-0389,6,17,5,6,16,1,0
BI-0390,14,17,2,3,21,1,0
BI-0391,17,1,3,2,5,1,0
BI-0392,7,15,1,0,19,0,1
BI-0393,8,7,7,2,7,1,0
BI-0394,29,6,2,7,17,1,0
BI-0395,26,1,3,5,3,0,0
BI-0396,10,4,5,2,5,0,1
BI-0397,10,5,2,2,23,0,0
BI-0398,11,12,9,1,8,1,0
BI-0399,12,10,2,1,3,0,0
BI-0400,8,17,3,3,12,0,0
BI-0401,10,24,4,0,3,0,0
BI-0402,1,32,4,6,18,0,1
BI-0403,19,17,2,5,15,0,0
BI-0404,3,15,9,6,16,0,0
BI-0405,17,10,3,1,19,0,0
BI-0406,0,15,1,1,14,0,1
BI-0407,1,31,2,1,10,0,0
BI-0408,24,8,2,3,3,0,0
BI-0409,1,29,3,3,22,0,1
BI-0410,21,3,1,1,22,1,0
BI-0411,10,17,0,2,19,0,0
BI-0412,12,20,7,5,16,0,0
BI-0413,19,4,4,3,13,1,0
BI-0414,7,19,7,1,7,0,0
BI-0415,30,4,7,2,2,0,0
BI-0416,11,3,2,3,1,0,0
BI-0417,17,3,1,1,2,0,0
BI-0418,13,23,4,0,4,0,0
BI-0419,13,7,5,5,7,0,0
BI-0420,1,21,3,1,0,0,0
BI-0421,8,14,1,0,19,1,0
BI-0422,19,11,5,3,7,0,0
BI-0423,11,18,2,6,17,1,0
BI-0424,16,13,8,5,16,0,0
BI-0425,4,29,2,4,5,0,0
BI-0426,14,19,0,3,17,1,0
BI-0427,10,5,2,6,18,1,0
BI-0428,13,17,5,1,15,0,1
BI-0429,26,1,5,1,6,0,0
BI-0430,29,5,0,3,11,0,0
BI-0431,1,17,1,1,14,1,1
BI-0432,12,24,3,2,20,0,0
BI-0433,7,10,1,1,13,1,0
BI-0434,4,13,2,3,18,0,0
BI-0435,21,3,3,4,11,0,0
BI-0436,18,9,0,1,14,1,0
BI-0437,19,8,3,3,21,0,0
BI-0438,24,0,3,4,8,0,0
BI-0439,12,11,6,7,9,0,0
BI-0440,6,14,2,0,6,0,1
BI-0441,20,13,2,2,13,1,0
BI-0442,25,4,0,1,12,1,0
BI-0443,4,15,8,2,9,0,0
BI-0444,35,1,1,2,21,0,0
BI-0445,6,25,1,1,20,1,0
BI-0446,0,26,1,1,5,0,1
BI-0447,13,17,2,4,4,0,0
BI-0448,9,20,4,1,1,0,0
BI-0449,5,25,6,5,9,1,1
BI-0450,7,23,0,2,12,0,0
BI-0451,12,19,2,3,19,0,0
BI-0452,14,8,4,0,12,0,0
BI-0453,24,2,1,4,6,0,0
BI-0454,36,0,2,2,11,0,0
BI-0455,12,6,4,5,9,0,0
BI-0456,20,13,2,3,6,0,0
BI-0457,27,1,2,3,6,1,0
BI-0458,5,14,2,0,13,0,0
BI-0459,8,25,2,1,10,1,0
BI-0460,16,6,5,4,11,0,0
BI-0461,10,20,4,3,0,0,0
BI-0462,1,31,6,2,1,0,1
BI-0463,18,3,3,1,1,0,0
BI-0464,2,20,1,3,22,0,1
BI-0465,24,11,2,0,1,0,0
BI-0466,2,23,2,2,20,0,0
BI-0467,16,3,1,3,19,0,0
BI-0468,9,7,2,8,17,1,0
BI-0469,27,2,6,0,2,0,0
BI-0470,17,0,0,4,19,1,0
BI-0471,14,5,0,1,22,1,0
BI-0472,5,10,4,9,17,0,0
BI-0473,16,3,2,1,22,0,0
BI-0474,1,19,3,4,2,0,0
BI-0475,15,1,9,4,7,0,0
BI-0476,0,20,2,3,14,1,1
BI-0477,0,15,3,3,15,0,0
BI-0478,19,13,1,4,9,0,0
BI-0479,22,6,2,1,5,0,0
BI-0480,7,9,3,0,1,0,0
BI-0481,12,20,2,2,22,0,0
BI-0482,10,17,1,2,1,0,0
BI-0483,22,1,0,0,11,0,0
BI-0484,2,29,0,0,4,1,1
BI-0485,10,9,0,3,12,0,0
BI-0486,25,5,3,0,10,0,0
BI-0487,1,27,2,3,2,0,0
BI-0488,4,12,3,4,6,0,0
BI-0489,15,0,0,1,2,0,0
BI-0490,0,15,1,2,1,0,1
BI-0491,10,18,2,1,4,0,0
BI-0492,4,26,2,3,23,1,0
BI-0493,3,26,0,1,15,0,1
BI-0494,7,14,0,3,5,0,0
BI-0495,6,20,6,3,8,0,1
BI-0496,23,8,2,1,11,0,0
BI-0497,0,26,2,2,12,0,1
BI-0498,7,23,5,4,16,0,0
BI-0499,21,14,1,2,10,0,0
BI-0500,11,11,3,4,16,0,0
BI-0501,13,3,3,2,7,1,0
BI-0502,6,13,1,2,5,1,0
BI-0503,12,20,4,5,17,0,0
BI-0504,18,11,1,1,6,1,1
BI-0505,18,9,2,3,23,0,0
BI-0506,22,2,13,6,17,0,0
BI-0507,11,14,2,4,11,0,0
BI-0508,6,9,5,0,1,1,0
BI-0509,20,15,2,1,22,0,0
BI-0510,17,1,1,4,20,0,0
BI-0511,0,18,5,0,7,1,1
BI-0512,20,3,4,2,4,0,0
BI-0513,13,22,1,3,13,0,0
BI-0514,12,3,1,0,14,1,0
BI-0515,13,21,0,5,10,1,0
BI-0516,18,18,2,1,3,0,0
BI-0517,18,17,10,10,8,0,0
BI-0518,16,16,3,1,12,1,0
BI-0519,19,0,3,0,5,0,0
BI-0520,9,11,3,0,2,1,0
BI-0521,5,13,0,3,4,0,0
BI-0522,10,23,5,6,16,1,0
BI-0523,31,2,0,1,22,0,0
BI-0524,3,18,5,5,7,1,1
BI-0525,31,4,2,3,13,0,0
BI-0526,12,19,0,0,6,0,1
BI-0527,23,13,2,0,5,0,0
BI-0528,3,31,1,3,3,0,1
BI-0529,13,8,4,1,1,0,0
BI-0530,18,11,3,14,18,0,0
BI-0531,21,4,0,2,14,0,0
BI-0532,16,11,3,0,0,0,0
BI-0533,4,20,4,2,12,1,0
BI-0534,3,22,3,0,13,1,1
BI-0535,6,15,1,3,22,0,0
BI-0536,19,13,3,1,12,0,0
BI-0537,1,24,4,6,17,0,1
BI-0538,15,15,2,6,8,0,0
BI-0539,27,1,2,2,5,0,0
BI-0540,8,25,2,4,16,0,0
BI-0541,15,5,2,1,3,1,0
BI-0542,25,5,2,1,19,0,0
BI-0543,15,10,1,1,11,0,0
BI-0544,6,24,1,2,20,0,1
BI-0545,13,9,1,1,15,0,0
BI-0546,9,21,0,2,5,0,0
BI-0547,26,9,1,1,11,0,0
BI-0548,12,22,0,3,10,0,0
BI-0549,2,12,2,3,3,0,1
BI-0550,2,16,1,4,20,0,0
BI-0551,22,3,2,3,20,0,0
BI-0552,29,3,2,1,6,1,0
BI-0553,8,18,3,0,10,1,0
BI-0554,23,4,2,2,3,0,0
BI-0555,10,12,0,2,12,1,0
BI-0556,5,11,3,2,20,0,0
BI-0557,28,5,0,3,2,1,0
BI-0558,15,15,11,5,17,0,0
BI-0559,2,20,3,1,12,0,0
BI-0560,5,17,5,0,15,0,0
BI-0561,4,11,1,2,21,1,0
BI-0562,9,17,2,1,14,0,0
BI-0563,5,12,1,5,6,0,0
BI-0564,12,9,0,2,4,1,0
BI-0565,14,1,1,1,23,1,0
BI-0566,31,3,5,4,16,1,0
BI-0567,16,17,0,0,10,0,0
BI-0568,29,5,2,1,5,0,0
BI-0569,25,11,3,1,19,0,0
BI-0570,27,5,2,1,11,1,0
BI-0571,20,4,3,3,21,1,0
BI-0572,17,3,1,3,4,1,0
BI-0573,18,9,1,1,4,0,0
BI-0574,0,24,5,3,14,0,1
BI-0575,12,2,1,1,13,0,0
BI-0576,11,4,1,1,10,0,1
BI-0577,21,12,8,1,0,0,0
BI-0578,15,12,8,5,9,0,0
BI-0579,11,5,0,1,0,1,0
BI-0580,15,6,1,5,0,1,0
BI-0581,4,14,2,0,15,0,1
BI-0582,0,26,8,1,9,1,1
BI-0583,6,14,3,0,22,0,1
BI-0584,8,10,2,2,1,1,0
BI-0585,8,21,3,3,5,1,0
BI-0586,23,8,8,3,8,0,0
BI-0587,10,11,5,0,8,0,0
BI-0588,22,10,2,1,15,0,0
BI-0589,1,26,4,1,9,0,1
BI-0590,10,23,3,1,12,0,0
BI-0591,13,19,5,7,16,0,0
BI-0592,13,7,7,3,3,0,0
BI-0593,13,3,12,6,8,0,0
BI-0594,24,0,8,3,9,0,0
BI-0595,1,25,4,8,16,0,0
BI-0596,14,11,8,2,7,0,0
BI-0597,23,11,5,7,18,0,0
BI-0598,3,18,1,8,18,0,0
BI-0599,0,29,3,1,13,0,0
BI-0600,4,15,0,5,18,1,0
BI-0601,17,2,2,1,5,0,0
BI-0602,9,5,3,2,5,0,0
BI-0603,20,9,9,1,9,1,0
BI-0604,12,3,3,2,2,0,0
BI-0605,17,9,2,0,5,0,0
BI-0606,16,3,1,1,4,0,0
BI-0607,16,13,3,2,0,0,0
BI-0608,8,14,2,1,20,0,0
BI-0609,17,0,4,4,10,0,0
BI-0610,20,9,4,8,18,0,0
BI-0611,18,13,2,1,10,0,0
BI-0612,23,9,3,3,22,0,0
BI-0613,28,4,2,3,22,0,0
BI-0614,1,17,2,7,17,0,0
BI-0615,3,15,5,4,19,0,1
BI-0616,1,17,2,1,21,0,1
BI-0617,8,22,6,12,17,0,0
BI-0618,15,2,4,2,20,0,0
BI-0619,33,0,0,2,22,1,0
BI-0620,4,21,2,0,0,0,0
BI-0621,10,6,0,1,3,1,0
BI-0622,11,12,2,2,6,1,0
BI-0623,6,12,2,3,19,0,0
BI-0624,22,1,4,1,19,0,0
BI-0625,25,0,6,4,9,0,0
BI-0626,16,11,4,3,21,0,0
BI-0627,5,14,3,1,12,1,0
BI-0628,10,13,3,1,0,0,0
BI-0629,12,11,6,5,17,1,0
BI-0630,32,4,7,1,21,0,0
BI-0631,22,0,0,2,23,1,0
BI-0632,15,7,2,0,14,0,0
BI-0633,3,21,5,2,12,0,0
BI-0634,5,29,2,0,23,1,0
BI-0635,23,5,2,1,23,1,0
BI-0636,1,23,1,1,4,1,1
BI-0637,9,20,0,1,11,0,0
BI-0638,29,5,1,0,13,1,0
BI-0639,0,23,2,2,11,1,1
BI-0640,5,9,8,5,8,0,1
BI-0641,3,16,2,3,12,1,1
BI-0642,7,10,2,0,1,0,0
BI-0643,15,2,10,7,7,0,0
BI-0644,16,18,12,1,9,0,0
BI-0645,11,12,1,6,1,0,0
BI-0646,10,8,1,4,11,0,0
BI-0647,1,17,2,1,1,0,1
BI-0648,13,4,7,5,9,1,0
BI-0649,28,6,3,2,13,0,0
BI-0650,24,0,4,5,0,0,0
BI-0651,14,5,2,4,11,0,0
BI-0652,7,27,5,1,12,0,0
BI-0653,14,11,1,3,21,0,0
BI-0654,2,12,2,0,5,0,0
BI-0655,11,16,0,0,12,1,0
BI-0656,19,1,1,2,23,1,0
BI-0657,3,30,2,0,9,1,1
BI-0658,29,4,1,2,23,1,0
BI-0659,0,20,2,2,10,0,1
BI-0660,22,7,2,2,21,0,0
BI-0661,9,8,7,5,16,0,0
BI-0662,2,12,1,2,5,0,0
BI-0663,0,20,3,2,6,0,1
BI-0664,21,14,2,8,18,1,0
BI-0665,3,19,4,6,11,0,1
BI-0666,15,13,2,2,3,1,0
BI-0667,11,9,3,2,23,1,0
BI-0668,23,13,0,1,21,1,0
BI-0669,15,4,3,1,3,0,0
BI-0670,32,0,1,1,11,0,0
BI-0671,2,13,6,7,16,0,0
BI-0672,15,5,7,9,18,0,0
BI-0673,12,10,2,4,6,0,0
BI-0674,4,14,2,4,15,0,0
BI-0675,18,5,2,0,11,0,0
BI-0676,3,22,3,5,18,0,0
BI-0677,10,4,6,13,18,0,0
BI-0678,16,10,4,3,9,1,0
BI-0679,18,14,4,2,11,0,0
BI-0680,10,10,8,4,8,0,0
BI-0681,0,20,3,2,3,0,1
BI-0682,23,13,3,0,2,1,0
BI-0683,28,5,3,1,2,0,0
BI-0684,23,6,1,3,6,0,0
BI-0685,2,13,1,3,19,0,1
BI-0686,17,4,0,1,5,1,0
BI-0687,30,0,2,0,22,1,0
BI-0688,17,0,3,5,23,0,0
BI-0689,31,0,2,4,19,0,0
BI-0690,12,18,9,4,9,0,0
BI-0691,27,5,7,7,17,0,0
BI-0692,14,4,0,0,0,1,0
BI-0693,0,29,4,2,1,0,1
BI-0694,10,12,6,5,7,0,0
