ticket_id,jobs_ahead,estimated_repair_minutes,technicians_on_shift,parts_ready,priority_level,misses_48h
RQ-0075,5,120,1,False,2,0
RQ-0076,27,353,6,True,1,1
RQ-0077,18,99,6,False,3,0
RQ-0078,1,24,1,True,3,0
RQ-0079,6,140,1,True,2,0
RQ-0080,29,160,2,False,2,1
RQ-0081,17,150,5,False,2,0
RQ-0082,26,194,4,True,2,0
RQ-0083,28,347,5,True,3,1
RQ-0084,29,57,4,True,3,0
RQ-0085,2,237,6,False,2,1
RQ-0086,8,28,8,True,3,0
RQ-0087,24,91,3,False,2,0
RQ-0088,28,213,5,False,1,1
RQ-0089,14,150,6,False,2,0
RQ-0090,10,285,5,False,1,0
RQ-0091,30,308,8,True,3,0
RQ-0092,7,309,2,False,1,0
RQ-0093,30,128,5,False,2,0
RQ-0094,25,267,4,True,3,0
RQ-0095,1,271,4,True,2,1
RQ-0096,30,45,4,True,3,0
RQ-0097,1,274,4,True,2,0
RQ-0098,29,73,8,False,1,0
RQ-0099,25,178,1,False,1,1
RQ-0100,5,182,8,False,2,0
RQ-0101,18,71,3,True,1,0
RQ-0102,19,37,5,True,3,0
RQ-0103,7,229,2,True,3,0
RQ-0104,13,226,5,True,2,0
RQ-0105,2,36,8,False,3,0
RQ-0106,30,220,7,True,1,0
RQ-0107,10,332,1,False,1,0
RQ-0108,16,18,8,False,1,0
RQ-0109,4,19,6,False,3,0
RQ-0110,30,122,8,False,1,0
RQ-0111,17,266,3,False,1,0
RQ-0112,21,189,4,False,2,1
RQ-0113,4,355,3,True,2,1
RQ-0114,22,178,2,True,3,0
RQ-0115,14,254,8,False,3,0
RQ-0116,23,106,5,True,1,1
RQ-0117,7,305,2,True,2,0
RQ-0118,9,233,8,True,1,0
RQ-0119,26,295,1,True,3,1
RQ-0120,25,84,6,True,2,0
RQ-0121,20,95,3,False,1,0
RQ-0122,19,263,4,False,2,0
RQ-0123,30,106,7,True,1,0
RQ-0124,12,194,8,True,3,1
RQ-0125,6,70,8,False,2,0
RQ-0126,26,180,4,True,1,1
RQ-0127,16,90,3,False,3,0
RQ-0128,28,346,5,True,2,1
RQ-0129,13,99,4,True,3,0
RQ-0130,17,168,1,True,1,1
RQ-0131,20,156,6,False,1,0
RQ-0132,11,351,5,True,2,1
RQ-0133,24,19,8,False,2,0
RQ-0134,26,69,3,True,3,0
RQ-0135,17,48,1,True,2,0
RQ-0136,1,44,2,False,1,0
RQ-0137,25,349,8,True,2,0
RQ-0138,24,245,5,False,2,1
RQ-0139,16,146,8,False,3,0
RQ-0140,14,34,1,True,2,0
RQ-0141,17,103,8,False,2,0
RQ-0142,18,231,2,False,2,0
RQ-0143,7,138,6,False,3,0
RQ-0144,7,141,3,False,1,0
RQ-0145,20,166,4,False,2,0
RQ-0146,24,307,7,True,1,0
RQ-0147,13,133,1,True,2,0
RQ-0148,19,310,7,True,3,0
RQ-0149,4,267,4,False,1,0
RQ-0150,7,332,5,False,2,0
RQ-0151,15,44,2,False,1,1
RQ-0152,23,184,5,False,1,1
RQ-0153,2,146,8,False,2,0
RQ-0154,21,73,2,False,2,1
RQ-0155,10,164,3,False,2,0
RQ-0156,29,35,8,False,3,0
RQ-0157,27,76,1,False,2,1
RQ-0158,18,351,3,False,2,1
RQ-0159,20,138,4,True,3,1
RQ-0160,14,124,4,False,1,1
RQ-0161,21,124,6,False,3,0
RQ-0162,3,168,8,True,2,0
RQ-0163,7,261,1,True,3,1
RQ-0164,16,180,2,True,2,0
RQ-0165,9,320,6,False,2,0
RQ-0166,29,246,5,True,2,0
RQ-0167,24,126,4,False,2,0
RQ-0168,26,340,5,True,1,1
RQ-0169,30,338,6,False,1,1
RQ-0170,22,105,5,False,3,1
RQ-0171,7,10,3,True,3,0
RQ-0172,5,64,4,False,3,0
RQ-0173,3,111,7,True,1,0
RQ-0174,27,186,8,False,2,0
RQ-0175,25,130,7,True,2,0
RQ-0176,29,153,6,False,2,0
RQ-0177,12,30,8,False,3,0
RQ-0178,5,109,4,False,1,0
RQ-0179,22,121,8,True,2,0
RQ-0180,24,210,1,False,2,1
RQ-0181,7,346,1,False,2,1
RQ-0182,8,198,4,False,2,0
RQ-0183,19,37,6,False,2,0
RQ-0184,7,357,1,False,2,0
RQ-0185,2,257,8,True,1,0
RQ-0186,24,232,6,True,2,0
RQ-0187,11,310,1,False,1,1
RQ-0188,13,58,4,False,1,0
RQ-0189,2,206,6,False,1,0
RQ-0190,24,309,5,False,1,0
RQ-0191,3,278,5,True,1,0
RQ-0192,16,219,4,True,2,0
RQ-0193,0,64,4,True,1,0
RQ-0194,27,145,2,False,3,1
RQ-0195,28,305,7,True,2,0
RQ-0196,8,143,8,True,1,0
RQ-0197,9,101,5,True,2,0
RQ-0198,23,318,3,False,2,1
RQ-0199,18,137,3,True,3,0
RQ-0200,20,243,1,True,1,1
RQ-0201,18,51,1,False,2,0
RQ-0202,19,125,1,True,1,0
RQ-0203,16,47,6,True,3,1
RQ-0204,11,54,6,True,3,0
RQ-0205,16,102,4,False,1,0
RQ-0206,20,162,6,False,2,0
RQ-0207,0,192,5,False,2,0
RQ-0208,13,94,5,True,1,0
RQ-0209,28,46,5,True,3,0
RQ-0210,23,78,2,True,1,0
RQ-0211,19,317,4,True,3,1
RQ-0212,7,171,7,True,1,0
RQ-0213,17,95,7,False,2,1
RQ-0214,25,119,4,True,2,0
RQ-0215,26,298,5,True,2,0
RQ-0216,8,254,6,False,1,0
RQ-0217,30,47,1,False,1,1
RQ-0218,20,222,5,False,1,0
RQ-0219,0,68,7,False,3,0
RQ-0220,5,317,2,True,2,0
RQ-0221,29,240,4,False,3,1
RQ-0222,19,49,4,True,1,0
RQ-0223,8,75,1,False,1,0
RQ-0224,23,17,5,True,1,0
RQ-0225,4,62,1,True,2,0
RQ-0226,5,127,6,False,3,0
RQ-0227,26,55,5,False,2,0
RQ-0228,15,308,7,True,3,0
RQ-0229,28,103,7,True,2,0
RQ-0230,24,10,4,False,2,0
RQ-0231,0,187,4,True,3,0
RQ-0232,28,293,4,False,1,1
RQ-0233,13,11,4,False,2,0
RQ-0234,7,137,8,True,3,0
RQ-0235,15,303,5,False,1,0
RQ-0236,5,337,2,True,2,0
RQ-0237,17,120,5,False,3,0
RQ-0238,2,32,6,True,2,0
RQ-0239,10,304,2,False,3,0
RQ-0240,1,335,4,True,2,0
RQ-0241,0,275,3,False,3,0
RQ-0242,29,295,3,True,1,1
RQ-0243,24,168,6,True,2,0
RQ-0244,19,291,1,False,1,0
RQ-0245,8,96,7,False,2,0
RQ-0246,23,80,8,True,3,0
RQ-0247,22,113,4,False,3,0
RQ-0248,12,226,6,False,3,0
RQ-0249,11,275,8,False,3,0
RQ-0250,10,248,6,True,2,0
RQ-0251,19,104,3,True,1,1
RQ-0252,16,34,5,True,3,0
RQ-0253,3,110,7,True,2,0
RQ-0254,16,214,6,True,2,0
RQ-0255,18,252,6,False,2,1
RQ-0256,27,30,4,False,3,0
RQ-0257,21,240,6,True,2,0
RQ-0258,23,310,7,True,1,0
RQ-0259,19,344,2,True,3,1
RQ-0260,23,216,8,True,1,1
RQ-0261,4,196,2,True,3,0
RQ-0262,2,102,3,True,3,0
RQ-0263,12,101,4,False,3,0
RQ-0264,20,126,8,False,3,0
RQ-0265,14,112,7,False,1,0
RQ-0266,28,238,6,True,2,1
RQ-0267,28,300,3,False,3,1
RQ-0268,6,319,7,True,1,0
RQ-0269,22,286,7,False,3,0
RQ-0270,13,88,2,True,3,0
RQ-0271,9,52,8,False,2,0
RQ-0272,14,241,3,False,3,0
RQ-0273,5,210,2,True,3,0
RQ-0274,6,305,8,True,2,0
RQ-0275,25,318,6,False,2,1
RQ-0276,15,51,6,True,1,1
RQ-0277,7,227,7,False,2,0
RQ-0278,27,123,4,False,2,0
RQ-0279,11,233,2,False,3,0
RQ-0280,26,279,2,True,2,1
RQ-0281,19,125,2,False,1,1
RQ-0282,21,355,3,True,1,1
RQ-0283,1,339,3,False,2,1
RQ-0284,6,107,8,False,1,0
RQ-0285,3,193,1,False,3,0
RQ-0286,19,12,8,False,1,0
RQ-0287,9,171,3,False,3,0
RQ-0288,2,329,4,True,1,0
RQ-0289,23,287,8,False,3,1
RQ-0290,26,223,5,True,3,0
RQ-0291,9,238,6,False,3,1
RQ-0292,3,13,5,False,2,0
RQ-0293,8,257,6,True,1,0
RQ-0294,15,55,8,False,1,0
RQ-0295,3,236,1,True,3,0
RQ-0296,2,18,2,False,1,0
RQ-0297,28,77,5,False,2,0
RQ-0298,12,250,6,False,2,0
RQ-0299,12,282,7,False,2,0
RQ-0300,16,98,8,True,2,0
RQ-0301,3,237,7,False,1,0
RQ-0302,23,130,7,False,2,0
RQ-0303,8,80,8,False,3,0
RQ-0304,9,209,2,False,2,0
RQ-0305,9,233,3,False,3,0
RQ-0306,10,10,3,False,3,0
RQ-0307,1,87,5,True,3,0
RQ-0308,30,36,2,False,3,0
RQ-0309,22,100,6,True,3,0
RQ-0310,11,268,5,False,1,0
RQ-0311,1,24,7,True,3,0
RQ-0312,0,99,7,True,2,0
RQ-0313,26,150,8,True,3,0
RQ-0314,12,217,2,True,1,0
RQ-0315,3,278,2,True,2,0
RQ-0316,20,43,8,True,2,0
RQ-0317,0,84,6,False,1,0
RQ-0318,23,226,3,False,1,1
RQ-0319,1,291,3,True,1,0
RQ-0320,16,253,8,True,2,0
RQ-0321,2,13,1,False,2,0
RQ-0322,11,295,7,True,2,0
RQ-0323,23,335,4,True,2,1
RQ-0324,19,245,3,True,2,0
RQ-0325,21,277,7,False,3,1
RQ-0326,12,350,5,False,2,1
RQ-0327,18,144,6,False,2,0
RQ-0328,17,25,6,False,2,0
RQ-0329,1,300,5,False,1,1
RQ-0330,20,20,7,True,1,0
RQ-0331,17,240,8,True,2,0
RQ-0332,15,354,2,True,3,1
RQ-0333,0,357,6,True,1,0
RQ-0334,11,149,8,True,2,0
RQ-0335,18,166,5,False,3,0
RQ-0336,7,266,8,False,2,0
RQ-0337,28,158,5,True,2,0
RQ-0338,4,283,2,False,3,0
RQ-0339,23,82,1,False,1,0
RQ-0340,28,122,8,True,1,0
RQ-0341,23,102,8,True,3,0
RQ-0342,13,239,3,False,2,1
RQ-0343,9,192,1,True,2,1
RQ-0344,21,122,1,True,1,0
RQ-0345,8,122,3,True,2,0
RQ-0346,22,178,8,False,2,0
RQ-0347,26,195,6,False,3,0
RQ-0348,0,121,8,False,2,0
RQ-0349,5,325,2,False,2,1
RQ-0350,17,107,7,True,1,0
RQ-0351,18,89,5,True,1,0
RQ-0352,1,128,7,True,1,0
RQ-0353,21,195,3,True,2,0
RQ-0354,8,37,3,False,3,0
RQ-0355,18,103,3,False,2,0
RQ-0356,25,344,5,True,3,1
RQ-0357,5,72,4,False,2,0
RQ-0358,19,154,3,False,1,0
RQ-0359,18,147,3,True,1,1
RQ-0360,17,233,3,False,1,0
RQ-0361,7,283,3,False,1,1
RQ-0362,6,120,2,True,2,0
RQ-0363,7,232,1,True,2,1
RQ-0364,18,169,4,True,1,1
RQ-0365,6,288,4,True,1,0
RQ-0366,5,230,4,True,1,0
RQ-0367,7,66,7,True,1,0
RQ-0368,11,277,1,True,3,0
RQ-0369,28,333,4,True,1,1
RQ-0370,2,249,2,False,1,1
RQ-0371,27,227,6,False,3,0
RQ-0372,10,260,8,False,1,0
RQ-0373,22,264,7,False,1,1
RQ-0374,5,300,7,True,1,1
RQ-0375,20,89,7,False,2,0
RQ-0376,1,342,1,True,3,0
RQ-0377,2,48,8,True,2,0
RQ-0378,5,88,4,True,2,0
RQ-0379,18,175,7,True,1,0
RQ-0380,9,319,1,False,2,1
RQ-0381,0,77,6,False,3,0
RQ-0382,1,291,8,True,2,0
RQ-0383,5,20,5,False,2,0
RQ-0384,7,91,3,True,3,0
RQ-0385,7,189,1,False,1,1
RQ-0386,22,70,2,False,1,1
RQ-0387,4,291,7,False,3,0
RQ-0388,6,76,4,False,1,0
RQ-0389,20,117,8,True,2,0
RQ-0390,20,155,7,False,1,0
RQ-0391,29,187,1,False,2,1
RQ-0392,21,342,1,True,1,0
RQ-0393,10,173,3,False,2,0
RQ-0394,4,165,2,False,1,1
RQ-0395,8,61,6,True,2,0
RQ-0396,7,242,5,True,2,0
RQ-0397,15,284,8,False,3,0
RQ-0398,9,337,6,True,1,0
RQ-0399,9,43,7,False,2,0
RQ-0400,26,99,7,False,3,0
RQ-0401,1,187,4,False,2,0
RQ-0402,17,225,6,True,2,0
RQ-0403,23,84,8,False,2,0
RQ-0404,22,242,6,True,2,0
RQ-0405,17,309,2,True,1,1
RQ-0406,14,334,2,False,3,1
RQ-0407,18,341,7,False,3,0
RQ-0408,20,106,3,True,1,0
RQ-0409,15,207,3,False,1,0
RQ-0410,24,45,6,False,1,0
RQ-0411,0,259,2,True,2,0
RQ-0412,13,140,1,True,3,0
RQ-0413,30,37,2,False,3,1
RQ-0414,6,340,2,False,1,1
RQ-0415,9,301,5,False,2,0
RQ-0416,3,180,8,True,2,0
RQ-0417,6,138,8,True,2,0
RQ-0418,22,195,1,False,2,1
RQ-0419,13,119,7,True,2,0
RQ-0420,25,45,8,False,1,1
RQ-0421,8,118,5,True,2,0
RQ-0422,18,117,6,False,3,0
RQ-0423,28,259,2,False,3,1
RQ-0424,12,73,4,False,3,0
RQ-0425,13,238,4,False,3,1
RQ-0426,10,219,5,False,3,0
RQ-0427,1,309,7,True,2,0
RQ-0428,13,254,5,False,1,1
RQ-0429,11,263,2,False,1,0
RQ-0430,30,250,4,True,2,1
RQ-0431,21,221,5,False,3,0
RQ-0432,19,83,5,True,3,0
RQ-0433,28,354,7,False,1,1
RQ-0434,17,296,3,True,3,0
RQ-0435,23,18,3,False,3,0
RQ-0436,26,335,3,False,1,1
RQ-0437,22,231,1,False,2,0
RQ-0438,4,166,4,False,3,0
RQ-0439,7,109,4,False,3,0
RQ-0440,18,136,4,True,3,1
RQ-0441,8,188,5,False,2,0
RQ-0442,5,340,3,True,2,1
RQ-0443,19,19,5,True,2,0
RQ-0444,8,42,1,False,1,0
RQ-0445,2,337,7,False,1,0
RQ-0446,0,345,1,False,2,0
RQ-0447,17,290,4,False,3,0
RQ-0448,20,174,7,True,2,0
RQ-0449,0,40,4,True,1,0
RQ-0450,24,346,8,False,1,1
RQ-0451,20,119,4,False,1,1
RQ-0452,14,248,3,False,1,1
RQ-0453,24,44,7,False,3,0
RQ-0454,26,280,1,False,3,1
RQ-0455,21,15,8,False,1,0
RQ-0456,3,333,1,True,3,0
RQ-0457,1,272,2,True,2,0
RQ-0458,10,331,6,True,2,0
RQ-0459,15,280,8,False,2,0
RQ-0460,13,288,2,True,2,0
RQ-0461,23,99,6,True,2,0
RQ-0462,6,203,4,True,3,0
RQ-0463,20,90,1,True,3,0
RQ-0464,17,258,2,False,1,0
RQ-0465,20,324,4,True,1,1
RQ-0466,5,358,7,False,1,0
RQ-0467,30,41,8,False,1,0
RQ-0468,15,267,1,True,1,1
RQ-0469,17,13,3,False,1,1
RQ-0470,30,56,4,False,2,1
RQ-0471,16,14,2,True,3,0
RQ-0472,4,174,2,False,2,0
RQ-0473,3,178,2,True,1,0
RQ-0474,2,306,2,False,2,1
RQ-0475,0,110,5,False,1,0
RQ-0476,3,86,5,False,2,0
RQ-0477,30,138,5,False,1,0
RQ-0478,5,284,4,True,3,1
RQ-0479,22,131,5,True,3,0
RQ-0480,13,72,2,False,3,1
RQ-0481,24,318,4,False,1,1
RQ-0482,8,156,1,False,2,0
RQ-0483,29,107,8,False,1,0
RQ-0484,25,293,2,True,2,1
RQ-0485,12,177,7,True,1,1
RQ-0486,16,213,4,True,2,0
RQ-0487,9,249,5,True,3,0
RQ-0488,26,90,1,False,1,1
RQ-0489,13,110,4,True,3,1
RQ-0490,17,25,2,False,1,0
RQ-0491,1,144,8,False,2,0
RQ-0492,29,24,3,True,1,0
RQ-0493,18,43,8,False,2,0
RQ-0494,23,297,7,False,1,1
RQ-0495,24,111,6,True,2,0
RQ-0496,22,252,7,True,2,1
RQ-0497,15,312,3,True,2,0
RQ-0498,17,326,2,False,2,1
RQ-0499,4,109,5,False,3,0
RQ-0500,25,84,1,True,2,1
RQ-0501,11,69,2,True,1,0
RQ-0502,3,333,5,False,1,0
RQ-0503,17,321,8,True,2,0
RQ-0504,29,271,2,False,1,1
RQ-0505,4,177,5,True,2,0
RQ-0506,10,137,6,False,1,0
RQ-0507,15,61,8,True,2,0
RQ-0508,29,290,1,False,2,1
RQ-0509,29,199,2,True,3,1
RQ-0510,30,286,8,True,1,0
RQ-0511,6,152,8,True,2,0
RQ-0512,9,120,3,True,3,0
RQ-0513,12,112,8,False,3,0
RQ-0514,6,18,2,True,1,0
RQ-0515,24,92,4,True,3,1
RQ-0516,22,359,1,False,3,1
RQ-0517,2,294,7,True,3,0
RQ-0518,1,318,6,False,1,1
RQ-0519,0,11,2,False,1,0
RQ-0520,16,250,4,True,3,0
RQ-0521,25,12,1,True,1,1
RQ-0522,28,130,4,False,3,0
RQ-0523,10,210,2,False,2,0
RQ-0524,30,173,8,False,2,1
RQ-0525,5,214,5,True,3,0
RQ-0526,2,166,7,False,3,0
RQ-0527,12,70,7,False,2,0
RQ-0528,22,358,3,True,1,1
RQ-0529,23,92,4,False,1,1
RQ-0530,25,300,7,False,3,0
RQ-0531,4,18,3,False,2,0
RQ-0532,16,199,3,True,3,0
RQ-0533,21,23,2,False,2,1
RQ-0534,28,68,1,True,1,0
RQ-0535,11,23,7,False,3,0
RQ-0536,20,290,1,True,3,1
RQ-0537,20,243,1,True,3,1
RQ-0538,1,180,4,False,1,0
RQ-0539,30,332,4,False,2,1
RQ-0540,13,287,8,True,1,1
RQ-0541,8,300,7,True,1,0
RQ-0542,16,140,5,True,3,0
RQ-0543,25,300,5,True,2,1
RQ-0544,11,306,5,False,1,0
RQ-0545,17,16,2,False,3,0
RQ-0546,4,256,8,True,3,0
RQ-0547,7,236,3,True,2,0
RQ-0548,14,150,3,True,1,0
RQ-0549,2,58,5,False,3,0
RQ-0550,16,165,4,True,2,0
RQ-0551,0,80,7,False,3,0
RQ-0552,1,178,4,False,2,1
RQ-0553,19,247,4,True,1,1
RQ-0554,22,220,3,False,1,0
RQ-0555,6,25,5,True,3,0
RQ-0556,10,125,7,False,2,0
RQ-0557,21,267,7,False,2,0
RQ-0558,24,26,3,True,3,0
RQ-0559,28,278,2,False,3,0
RQ-0560,16,252,1,True,3,0
RQ-0561,25,41,2,True,2,0
RQ-0562,28,230,7,False,2,0
RQ-0563,0,70,1,True,3,0
RQ-0564,23,304,5,True,2,1
RQ-0565,0,298,5,True,1,0
RQ-0566,23,25,6,True,1,0
RQ-0567,9,204,7,False,1,0
RQ-0568,29,253,1,False,3,1
RQ-0569,18,324,1,False,3,0
RQ-0570,22,276,4,True,1,0
RQ-0571,20,37,6,True,1,0
RQ-0572,27,304,8,True,2,0
RQ-0573,21,197,6,True,2,0
RQ-0574,0,83,3,False,2,0
RQ-0575,2,221,1,False,2,1
RQ-0576,26,236,6,False,3,1
RQ-0577,30,226,1,True,3,1
RQ-0578,11,280,1,True,1,0
RQ-0579,22,254,5,False,3,1
RQ-0580,14,340,5,True,1,0
RQ-0581,14,248,4,False,2,1
RQ-0582,3,174,4,False,2,1
RQ-0583,27,98,7,False,3,1
RQ-0584,15,245,7,False,1,0
RQ-0585,21,89,6,True,3,0
RQ-0586,24,291,6,False,1,1
RQ-0587,17,221,5,False,3,0
RQ-0588,28,20,4,True,3,0
RQ-0589,18,138,4,True,3,0
RQ-0590,15,241,7,False,2,0
RQ-0591,29,64,3,False,2,1
RQ-0592,28,107,7,True,1,1
RQ-0593,26,172,7,True,2,0
RQ-0594,23,158,2,True,1,0
RQ-0595,0,197,5,True,3,0
RQ-0596,13,187,4,True,2,0
RQ-0597,28,312,5,True,1,1
RQ-0598,20,35,8,True,3,0
RQ-0599,23,72,1,True,2,1
RQ-0600,4,10,5,True,2,0
RQ-0601,8,190,7,False,3,1
RQ-0602,10,34,3,False,2,0
RQ-0603,17,325,2,False,3,1
RQ-0604,6,212,4,False,3,1
RQ-0605,0,139,4,True,2,0
RQ-0606,15,257,3,True,1,0
RQ-0607,24,135,6,True,1,0
RQ-0608,12,312,1,False,2,1
RQ-0609,10,15,6,False,1,0
RQ-0610,6,125,2,True,3,0
RQ-0611,18,36,8,True,2,0
RQ-0612,26,257,3,False,3,1
RQ-0613,18,181,5,True,2,1
RQ-0614,18,89,8,False,1,0
RQ-0615,19,311,8,False,3,0
RQ-0616,4,226,1,True,3,0
RQ-0617,13,308,1,False,1,0
RQ-0618,9,330,8,False,2,0
RQ-0619,30,137,8,True,1,0
RQ-0620,14,319,3,False,3,1
RQ-0621,17,19,4,False,2,0
RQ-0622,17,232,8,False,3,0
RQ-0623,11,29,2,True,3,0
RQ-0624,7,265,5,False,3,0
RQ-0625,20,304,6,True,1,0
RQ-0626,23,126,7,True,2,0
RQ-0627,4,315,5,False,2,1
RQ-0628,30,138,2,False,3,1
RQ-0629,2,347,5,False,2,0
RQ-0630,7,315,3,False,2,0
RQ-0631,12,230,5,True,2,0
RQ-0632,28,163,6,False,3,1
RQ-0633,22,92,5,True,1,0
RQ-0634,20,109,5,True,3,0
RQ-0635,23,222,8,False,2,0
RQ-0636,12,159,5,True,3,0
RQ-0637,4,280,5,False,3,0
RQ-0638,26,196,3,True,3,1
RQ-0639,3,155,8,False,3,0
RQ-0640,26,230,8,False,3,0
RQ-0641,1,188,7,True,2,0
RQ-0642,19,203,6,True,3,0
RQ-0643,15,85,1,True,3,0
RQ-0644,0,289,8,False,1,0
RQ-0645,24,292,8,False,2,0
RQ-0646,0,198,1,True,1,0
RQ-0647,8,248,5,True,3,0
RQ-0648,27,210,6,True,1,0
RQ-0649,4,337,3,False,3,0
RQ-0650,25,104,5,True,1,0
RQ-0651,16,280,5,False,3,0
RQ-0652,26,357,6,True,2,1
RQ-0653,10,238,1,True,2,1
RQ-0654,9,277,5,False,1,0
RQ-0655,22,92,5,True,1,0
RQ-0656,20,307,5,True,1,0
RQ-0657,22,101,4,False,2,1
RQ-0658,3,26,1,False,1,0
RQ-0659,9,259,7,True,1,0
RQ-0660,11,300,2,True,1,1
RQ-0661,3,50,2,True,3,0
RQ-0662,30,339,4,True,1,0
RQ-0663,16,91,8,False,3,0
RQ-0664,15,193,5,True,2,0
RQ-0665,30,174,6,True,2,0
RQ-0666,19,104,6,True,3,0
RQ-0667,8,62,4,True,1,0
RQ-0668,29,341,4,False,3,1
RQ-0669,6,221,5,True,2,0
RQ-0670,2,282,4,False,2,0
RQ-0671,3,224,4,False,1,1
RQ-0672,14,303,5,True,2,0
RQ-0673,24,121,1,True,3,1
RQ-0674,13,241,2,True,2,0
RQ-0675,28,326,3,False,3,1
RQ-0676,5,161,7,True,2,0
RQ-0677,3,107,8,True,2,0
RQ-0678,30,193,3,False,2,1
RQ-0679,26,263,1,False,1,1
RQ-0680,29,353,4,True,1,1
RQ-0681,12,186,6,False,1,0
RQ-0682,14,306,2,False,3,1
RQ-0683,13,316,7,True,3,1
RQ-0684,0,345,2,False,1,0
RQ-0685,29,225,8,True,3,0
RQ-0686,17,262,5,False,1,1
RQ-0687,22,213,4,True,3,0
RQ-0688,11,191,4,False,1,1
RQ-0689,5,230,4,False,1,1
RQ-0690,26,86,3,False,1,0
RQ-0691,17,261,3,False,3,0
RQ-0692,28,13,2,False,2,1
RQ-0693,9,181,7,False,2,0
RQ-0694,5,351,5,False,3,0
RQ-0695,13,328,8,True,1,1
RQ-0696,30,109,2,True,1,1
RQ-0697,21,283,6,False,3,0
RQ-0698,9,299,4,False,3,1
RQ-0699,23,280,8,False,3,0
RQ-0700,6,160,8,True,3,0
RQ-0701,20,109,4,True,1,0
RQ-0702,7,279,5,True,1,1
RQ-0703,1,234,3,True,2,0
RQ-0704,15,217,3,True,3,0
RQ-0705,15,255,6,True,2,0
RQ-0706,5,26,4,False,1,0
RQ-0707,24,294,1,True,3,0
RQ-0708,12,243,7,True,3,0
RQ-0709,20,59,3,False,1,1
RQ-0710,8,314,1,True,2,0
RQ-0711,21,92,3,False,2,0
RQ-0712,11,189,6,True,3,0
RQ-0713,7,211,5,False,2,1
RQ-0714,20,234,6,True,3,0
RQ-0715,27,82,6,True,1,1
RQ-0716,22,203,4,False,1,1
RQ-0717,22,303,8,True,3,0
RQ-0718,23,115,2,False,3,1
RQ-0719,28,353,5,False,3,0
RQ-0720,28,84,8,True,1,0
RQ-0721,7,124,2,True,2,0
RQ-0722,29,249,4,True,1,1
RQ-0723,10,189,8,True,1,0
RQ-0724,8,85,2,True,3,0
RQ-0725,11,221,1,False,3,1
RQ-0726,11,108,8,False,1,0
RQ-0727,3,122,1,False,1,0
RQ-0728,28,316,8,True,2,0
RQ-0729,29,171,5,False,3,0
RQ-0730,20,184,8,True,1,0
RQ-0731,0,308,2,False,3,0
