order_id,data_split,review_status,item_count,fragile_item_count,aisle_distance_m,pickers_available,conveyor_load_pct,pick_minutes
PICK-0036,training,routine log,19,2,448.5,6,58.6,25.33
PICK-0037,training,routine log,48,7,456.3,2,73.1,36.65
PICK-0038,training,routine log,19,3,469.0,6,34.6,22.63
PICK-0039,training,routine log,80,13,526.6,5,74.1,34.35
PICK-0040,training,routine log,6,0,839.6,4,68.9,26.51
PICK-0041,training,routine log,22,0,120.7,3,61.3,22.81
PICK-0042,training,routine log,69,7,683.9,6,25.2,31.89
PICK-0043,training,routine log,19,1,850.3,2,60.1,84.98
PICK-0044,training,routine log,59,3,702.0,2,87.1,42.04
PICK-0045,training,routine log,65,6,377.4,5,62.6,135.2
PICK-0046,training,routine log,32,5,149.1,2,18.3,19.64
PICK-0047,training,routine log,10,4,195.0,2,76.7,23.4
PICK-0048,training,routine log,67,23,182.5,3,83.1,29.91
PICK-0049,training,routine log,52,5,414.4,1,26.8,30.38
PICK-0050,training,routine log,33,2,260.5,5,45.5,55.78
PICK-0051,training,routine log,71,15,574.1,5,77.6,1.0
PICK-0052,training,routine log,71,11,112.7,1,29.1,35.15
PICK-0053,training,routine log,39,7,885.6,3,20.8,23.8
PICK-0054,training,routine log,13,0,762.7,1,67.6,34.69
PICK-0055,training,routine log,52,16,357.4,6,34.8,24.5
PICK-0056,training,routine log,40,6,103.3,6,87.3,24.05
PICK-0057,training,routine log,8,1,197.5,6,82.8,16.51
PICK-0058,training,routine log,60,3,483.7,6,67.8,104.88
PICK-0059,training,routine log,49,8,688.9,4,83.7,36.01
PICK-0060,training,routine log,62,15,859.7,6,43.9,30.81
PICK-0061,training,routine log,15,5,209.1,3,76.5,20.3
PICK-0062,training,routine log,56,18,578.4,2,50.6,34.46
PICK-0063,training,routine log,65,21,718.0,4,83.6,38.08
PICK-0064,training,routine log,52,2,496.0,2,26.3,24.26
PICK-0065,training,routine log,80,31,652.2,3,56.1,1.0
PICK-0066,training,routine log,38,3,539.5,2,37.0,25.81
PICK-0067,training,routine log,33,3,426.5,4,24.8,20.5
PICK-0068,training,routine log,76,8,358.3,6,32.6,26.42
PICK-0069,training,routine log,20,0,896.7,2,77.6,35.95
PICK-0070,training,routine log,31,8,784.8,4,74.6,30.84
PICK-0071,training,routine log,34,3,86.3,1,26.9,25.54
PICK-0072,training,routine log,45,6,895.7,1,58.2,38.12
PICK-0073,training,routine log,44,15,172.9,6,28.3,22.03
PICK-0074,training,routine log,60,11,606.1,3,40.0,35.28
PICK-0075,training,routine log,18,4,411.3,4,58.5,22.41
PICK-0076,training,routine log,73,14,685.7,6,96.3,42.74
PICK-0077,training,routine log,51,6,780.0,5,29.0,29.4
PICK-0078,training,routine log,7,1,848.5,5,94.7,34.78
PICK-0079,training,routine log,20,0,208.0,5,67.2,18.32
PICK-0080,training,routine log,78,5,114.3,5,36.1,23.58
PICK-0081,training,routine log,48,12,121.5,5,52.5,27.5
PICK-0082,training,routine log,70,14,819.3,5,46.1,36.68
PICK-0083,training,routine log,74,10,775.3,1,42.3,47.88
PICK-0084,training,routine log,77,3,691.1,1,82.4,44.97
PICK-0085,training,routine log,9,2,707.4,6,66.8,25.62
PICK-0086,training,routine log,24,7,402.2,3,93.6,30.73
PICK-0087,training,routine log,64,7,892.8,5,16.6,28.9
PICK-0088,training,routine log,73,16,493.4,4,52.2,33.01
PICK-0089,training,routine log,39,1,602.0,5,68.0,30.34
PICK-0090,training,routine log,28,7,420.9,2,89.2,32.3
PICK-0091,training,routine log,80,12,438.3,1,48.6,42.8
PICK-0092,training,routine log,23,5,134.7,4,76.7,21.59
PICK-0093,training,routine log,80,13,812.1,3,18.7,34.77
PICK-0094,training,routine log,67,7,111.1,5,15.4,22.02
PICK-0095,training,routine log,6,3,277.0,5,82.2,17.97
PICK-0096,training,routine log,80,16,160.2,1,83.0,39.09
PICK-0097,training,routine log,6,0,607.6,5,39.3,1.0
PICK-0098,training,routine log,77,12,296.7,1,40.9,41.69
PICK-0099,training,routine log,66,21,385.1,5,96.3,36.76
PICK-0100,training,routine log,17,3,433.5,3,57.1,23.93
PICK-0101,training,routine log,48,3,761.6,4,39.5,31.69
PICK-0102,training,routine log,52,7,773.3,3,47.6,35.77
PICK-0103,training,routine log,22,4,559.5,4,38.7,22.07
PICK-0104,training,routine log,36,0,128.3,2,78.5,23.61
PICK-0105,training,routine log,10,1,562.2,6,91.2,29.04
PICK-0106,training,routine log,80,5,631.1,1,90.3,49.27
PICK-0107,training,routine log,30,3,466.1,5,61.9,23.35
PICK-0108,training,routine log,44,4,758.1,2,90.8,42.53
PICK-0109,training,routine log,14,4,882.9,2,75.5,1.0
PICK-0110,training,routine log,79,10,279.2,2,85.0,36.72
PICK-0111,training,routine log,48,16,458.8,1,22.2,109.53
PICK-0112,training,routine log,57,10,352.9,3,47.5,1.0
PICK-0113,training,routine log,14,3,774.3,2,86.6,34.96
PICK-0114,training,routine log,60,6,573.3,1,63.4,40.29
PICK-0115,training,routine log,40,6,852.0,2,22.8,28.26
PICK-0116,training,routine log,63,20,126.0,6,23.4,25.13
PICK-0117,training,routine log,22,2,215.2,4,88.8,21.19
PICK-0118,training,routine log,26,7,607.1,4,39.1,23.52
PICK-0119,training,routine log,69,8,164.6,3,88.4,34.63
PICK-0120,training,routine log,66,19,455.1,1,18.8,37.48
PICK-0121,training,routine log,54,12,497.4,1,91.2,45.01
PICK-0122,training,routine log,53,18,717.7,5,66.0,37.6
PICK-0123,training,routine log,80,6,733.4,5,36.9,1.0
PICK-0124,training,routine log,34,8,462.5,6,37.0,20.69
PICK-0125,training,routine log,19,3,268.2,4,63.6,20.33
PICK-0126,training,routine log,70,18,684.9,2,90.0,49.34
PICK-0127,training,routine log,45,9,809.2,2,84.4,1.0
PICK-0128,training,routine log,74,16,633.7,5,52.9,30.7
PICK-0129,training,routine log,36,2,654.7,3,82.5,35.35
PICK-0130,training,routine log,47,7,569.2,4,89.9,34.46
PICK-0131,training,routine log,55,8,214.5,2,66.4,87.71
PICK-0132,training,routine log,33,9,153.3,2,79.3,23.66
PICK-0133,training,routine log,64,17,567.3,1,63.6,41.93
PICK-0134,training,routine log,70,11,885.0,2,95.5,48.28
PICK-0135,training,routine log,47,6,520.0,6,63.7,28.11
PICK-0136,training,routine log,8,4,819.9,4,27.6,23.76
PICK-0137,training,routine log,67,10,679.3,2,37.4,37.62
PICK-0138,training,routine log,63,16,143.3,2,63.0,28.68
PICK-0139,training,routine log,44,5,719.0,3,72.7,32.03
PICK-0140,training,routine log,39,4,756.9,1,61.3,38.32
PICK-0141,training,routine log,48,6,187.9,4,49.3,21.08
PICK-0142,training,routine log,49,6,301.9,6,91.6,31.37
PICK-0143,training,routine log,22,2,650.5,4,31.0,25.43
PICK-0144,training,routine log,22,4,569.2,3,86.1,32.33
PICK-0145,training,routine log,54,5,554.6,1,24.1,32.48
PICK-0146,training,routine log,65,6,226.0,6,57.4,27.88
PICK-0147,training,routine log,38,7,620.3,1,43.3,35.56
PICK-0148,training,routine log,51,10,338.7,2,17.3,24.63
PICK-0149,training,routine log,14,3,686.7,5,34.0,19.98
PICK-0150,training,routine log,22,5,97.9,6,57.2,16.11
PICK-0151,training,routine log,41,7,642.4,3,57.5,70.55
PICK-0152,training,routine log,62,7,891.6,5,79.8,42.74
PICK-0153,training,routine log,10,2,627.5,6,65.1,23.69
PICK-0154,training,routine log,57,19,594.7,3,93.9,39.82
PICK-0155,training,routine log,30,1,294.3,3,50.8,21.42
PICK-0156,training,routine log,78,25,143.9,4,50.6,26.91
PICK-0157,training,routine log,72,12,369.2,2,89.4,77.25
PICK-0158,training,routine log,49,7,214.4,5,91.7,27.13
PICK-0159,training,routine log,54,5,355.3,2,88.3,38.02
PICK-0160,training,routine log,39,12,138.6,2,48.2,23.67
PICK-0161,training,routine log,56,8,623.2,2,40.3,29.63
PICK-0162,training,routine log,13,3,693.9,1,45.1,87.32
PICK-0163,training,routine log,23,5,373.9,2,53.4,1.0
PICK-0164,training,routine log,44,12,373.5,1,17.2,36.3
PICK-0165,training,routine log,27,8,206.0,1,21.5,27.34
PICK-0166,training,routine log,76,18,766.2,4,46.6,39.92
PICK-0167,training,routine log,64,16,613.4,2,32.6,34.42
PICK-0168,training,routine log,69,16,578.1,4,41.8,32.15
PICK-0169,training,routine log,80,12,368.8,2,21.6,68.11
PICK-0170,training,routine log,59,21,564.1,1,61.3,43.75
PICK-0171,training,routine log,21,1,589.5,1,52.1,30.83
PICK-0172,training,routine log,17,4,867.8,2,27.9,24.14
PICK-0173,training,routine log,11,3,453.3,3,33.5,21.48
PICK-0174,training,routine log,73,12,230.1,1,26.5,35.86
PICK-0175,training,routine log,66,16,767.3,1,52.6,42.43
PICK-0176,training,routine log,76,10,777.1,4,40.9,37.46
PICK-0177,training,routine log,35,2,759.6,1,41.7,34.66
PICK-0178,training,routine log,16,5,132.1,6,72.5,17.67
PICK-0179,training,routine log,60,21,169.5,6,24.7,26.57
PICK-0180,training,routine log,65,8,887.5,2,76.9,43.27
PICK-0181,training,routine log,22,6,388.4,3,87.8,28.3
PICK-0182,training,routine log,26,8,274.3,1,55.1,31.8
PICK-0183,training,routine log,52,8,755.4,3,42.5,32.61
PICK-0184,training,routine log,21,0,643.2,1,39.2,30.28
PICK-0185,training,routine log,8,1,622.6,4,46.6,19.59
PICK-0186,training,routine log,65,13,670.1,1,92.7,49.23
PICK-0187,training,routine log,32,8,408.8,1,50.1,29.96
PICK-0188,training,routine log,36,7,137.6,2,83.7,20.39
PICK-0189,training,routine log,10,3,774.1,6,40.0,23.06
PICK-0190,training,routine log,65,11,442.0,1,45.4,44.87
PICK-0191,training,routine log,13,2,402.5,6,62.5,22.28
PICK-0192,training,routine log,45,3,521.1,6,33.2,24.87
PICK-0193,training,routine log,4,1,81.9,5,23.7,13.79
PICK-0194,training,routine log,72,16,204.0,5,90.8,37.48
PICK-0195,training,routine log,74,6,350.4,4,16.9,27.22
PICK-0196,training,routine log,26,7,193.4,4,32.8,21.13
PICK-0197,training,routine log,26,7,92.0,5,88.1,23.17
PICK-0198,training,routine log,61,7,349.7,5,15.3,27.7
PICK-0199,training,routine log,49,4,314.8,6,22.8,23.5
PICK-0200,training,routine log,53,3,225.6,6,23.4,20.35
PICK-0201,training,routine log,49,8,282.3,4,62.6,27.15
PICK-0202,training,routine log,53,17,327.6,6,95.0,36.04
PICK-0203,training,routine log,44,7,129.6,3,64.0,24.35
PICK-0204,training,routine log,32,12,540.2,3,76.4,68.77
PICK-0205,training,routine log,44,1,512.1,2,56.9,30.28
PICK-0206,training,routine log,54,18,587.7,5,16.3,31.52
PICK-0207,training,routine log,5,1,493.4,2,95.1,29.35
PICK-0208,training,routine log,37,5,724.3,4,24.1,24.35
PICK-0209,training,routine log,75,21,612.9,4,15.3,27.5
PICK-0210,training,routine log,61,14,732.3,6,37.5,33.75
PICK-0211,training,routine log,52,2,137.6,4,20.8,21.2
PICK-0212,training,routine log,21,2,434.4,6,81.7,24.53
PICK-0213,training,routine log,47,6,773.5,1,34.9,35.86
PICK-0214,training,routine log,67,18,859.2,5,79.4,43.59
PICK-0215,training,routine log,70,6,729.0,2,29.6,32.33
PICK-0216,training,routine log,25,4,463.1,4,20.7,20.13
PICK-0217,training,routine log,79,8,371.6,4,68.0,30.29
PICK-0218,training,routine log,55,12,588.0,5,93.7,38.36
PICK-0219,training,routine log,4,0,606.5,6,37.9,17.54
PICK-0220,training,routine log,17,5,143.5,1,30.7,24.58
PICK-0221,training,routine log,78,6,830.5,2,86.0,54.87
PICK-0222,training,routine log,53,6,357.9,1,48.0,33.9
PICK-0223,training,routine log,24,10,300.3,5,77.3,25.86
PICK-0224,training,routine log,61,13,417.0,4,73.2,31.88
PICK-0225,training,routine log,14,4,375.1,2,28.7,22.36
PICK-0226,training,routine log,17,3,835.1,6,81.3,27.22
PICK-0227,training,routine log,69,3,216.2,5,31.5,25.3
PICK-0228,training,routine log,42,5,754.8,5,62.5,31.17
PICK-0229,training,routine log,74,7,406.3,5,95.6,33.41
PICK-0230,training,routine log,65,4,585.0,4,30.4,32.08
PICK-0231,training,routine log,5,0,494.9,1,49.1,27.96
PICK-0232,training,routine log,74,21,796.5,5,44.2,36.61
PICK-0233,training,routine log,36,4,571.7,1,74.4,41.79
PICK-0234,training,routine log,22,4,144.4,2,22.5,19.65
PICK-0235,training,routine log,41,8,326.0,6,83.9,26.5
PICK-0236,training,routine log,17,7,470.6,3,49.7,23.19
PICK-0237,training,routine log,46,5,102.3,3,58.4,23.58
PICK-0238,training,routine log,10,2,787.6,3,58.7,28.97
PICK-0239,training,routine log,29,8,411.5,3,44.1,1.0
PICK-0240,training,routine log,7,0,482.5,6,42.0,17.22
PICK-0241,training,routine log,5,1,870.4,5,70.6,27.77
PICK-0242,training,routine log,78,18,316.5,5,37.3,32.58
PICK-0243,training,routine log,64,5,607.0,5,89.1,5.06
PICK-0244,training,routine log,53,7,242.5,6,84.1,1.0
PICK-0245,training,routine log,23,3,110.8,6,64.8,16.62
PICK-0246,training,routine log,61,20,132.2,5,26.1,27.37
PICK-0247,training,routine log,59,12,494.3,3,43.9,37.22
PICK-0248,training,routine log,34,8,88.6,4,85.3,26.44
PICK-0249,training,routine log,33,4,468.5,3,19.6,20.89
PICK-0250,training,routine log,31,7,692.2,1,23.8,33.16
PICK-0251,training,routine log,52,1,331.4,2,64.7,26.12
PICK-0252,training,routine log,45,10,287.0,4,60.3,25.63
PICK-0253,training,routine log,12,3,242.2,2,63.9,18.26
PICK-0254,training,routine log,44,7,232.6,5,82.1,24.96
PICK-0255,training,routine log,48,10,755.1,5,43.8,30.15
PICK-0256,training,routine log,72,14,476.7,6,90.6,38.48
PICK-0257,training,routine log,56,5,344.6,4,95.5,29.2
PICK-0258,training,routine log,61,5,367.3,4,46.4,26.17
PICK-0259,training,routine log,52,13,393.5,6,96.8,31.76
PICK-0260,training,routine log,63,7,882.2,5,34.5,34.57
PICK-0261,training,routine log,14,1,311.4,6,74.8,19.79
PICK-0262,training,routine log,9,3,263.2,4,95.3,24.2
PICK-0263,training,routine log,34,7,575.5,2,24.3,31.34
PICK-0264,training,routine log,55,15,497.1,2,22.2,30.58
PICK-0265,training,routine log,40,13,345.1,3,79.2,31.02
PICK-0266,training,routine log,76,3,273.0,2,24.5,33.7
PICK-0267,training,routine log,73,4,359.6,5,78.1,1.0
PICK-0268,training,routine log,20,0,179.2,2,25.4,18.34
PICK-0269,training,routine log,60,4,729.5,3,53.8,35.28
PICK-0270,training,routine log,37,9,648.1,4,79.4,34.97
PICK-0271,training,routine log,28,5,677.9,6,61.2,26.63
PICK-0272,training,routine log,41,6,198.4,1,62.7,30.96
PICK-0273,training,routine log,18,5,275.3,3,49.9,18.08
PICK-0274,training,routine log,19,9,630.5,5,91.9,33.77
PICK-0275,training,routine log,68,14,482.6,4,67.5,37.32
PICK-0276,training,routine log,43,6,666.2,6,44.7,26.5
PICK-0277,training,routine log,23,9,480.6,4,38.7,22.31
PICK-0278,training,routine log,71,17,406.4,1,30.5,36.85
PICK-0279,training,routine log,32,4,810.5,1,46.0,37.87
PICK-0280,training,routine log,69,6,608.5,5,51.1,32.33
PICK-0281,training,routine log,51,10,109.4,5,43.0,20.7
PICK-0282,training,routine log,56,3,619.8,6,40.1,31.31
PICK-0283,training,routine log,6,1,174.4,5,55.8,15.37
PICK-0284,training,routine log,20,1,105.7,3,21.3,17.56
PICK-0285,training,routine log,12,2,755.7,5,38.7,25.33
PICK-0286,training,routine log,52,2,208.3,1,80.5,37.57
PICK-0287,training,routine log,27,1,762.5,5,46.9,26.08
PICK-0288,training,routine log,11,1,581.8,4,64.7,24.77
PICK-0289,training,routine log,61,2,91.2,6,38.6,24.05
PICK-0290,training,routine log,70,18,680.4,2,26.1,1.0
PICK-0291,training,routine log,27,8,310.6,2,22.5,25.34
PICK-0292,training,routine log,12,0,223.6,6,62.1,17.49
PICK-0293,training,routine log,24,9,278.1,6,69.7,20.48
PICK-0294,training,routine log,42,10,556.2,3,63.4,31.77
PICK-0295,training,routine log,11,3,483.5,1,35.8,81.38
PICK-0296,training,routine log,9,2,263.2,4,48.2,17.42
PICK-0297,training,routine log,74,11,415.2,4,68.2,34.38
PICK-0298,training,routine log,34,0,835.5,5,58.8,32.83
PICK-0299,training,routine log,34,4,82.6,3,44.9,19.97
PICK-0300,training,routine log,45,6,501.0,5,30.1,25.72
PICK-0301,training,routine log,13,2,698.8,4,61.7,24.29
PICK-0302,training,routine log,61,13,704.3,5,87.1,42.08
PICK-0303,training,routine log,25,5,123.3,1,29.6,25.72
PICK-0304,training,routine log,27,5,158.3,4,31.8,18.5
PICK-0305,training,routine log,27,6,637.0,5,94.6,33.04
PICK-0306,training,routine log,30,1,624.9,1,19.6,31.65
PICK-0307,training,routine log,8,2,482.2,1,60.2,28.56
PICK-0308,training,routine log,79,11,697.3,2,93.8,51.02
PICK-0309,training,routine log,59,7,252.8,6,85.4,29.17
PICK-0310,training,routine log,33,1,106.0,5,33.1,17.61
PICK-0311,training,routine log,8,3,288.1,6,22.8,14.47
PICK-0312,training,routine log,5,1,88.5,2,78.5,104.26
PICK-0313,training,routine log,70,24,874.0,5,74.6,38.98
PICK-0314,training,routine log,34,3,465.8,2,40.3,25.54
PICK-0315,training,routine log,13,2,280.3,5,15.9,18.27
PICK-0316,training,routine log,54,1,261.6,2,43.5,25.35
PICK-0317,training,routine log,4,1,470.4,3,45.6,18.89
PICK-0318,training,routine log,63,1,101.8,3,36.8,22.45
PICK-0319,training,routine log,7,2,647.3,2,37.9,23.56
PICK-0320,training,routine log,45,9,328.7,1,70.3,35.14
PICK-0321,training,routine log,9,2,500.9,1,23.6,27.19
PICK-0322,training,routine log,33,2,85.4,6,21.7,18.23
PICK-0323,training,routine log,62,9,862.8,4,56.0,36.3
PICK-0324,training,routine log,51,13,105.2,6,62.8,23.96
PICK-0325,training,routine log,57,10,237.6,5,82.2,27.79
PICK-0326,training,routine log,35,6,100.5,3,95.0,23.79
PICK-0327,training,routine log,50,15,153.0,6,80.2,80.59
PICK-0328,training,routine log,47,7,315.2,5,95.8,31.95
PICK-0329,training,routine log,7,1,122.2,6,53.0,16.6
PICK-0330,training,routine log,53,14,839.1,4,69.1,40.17
PICK-0331,training,routine log,47,8,282.2,1,67.6,38.43
PICK-0332,training,routine log,41,11,208.8,4,40.6,23.37
PICK-0333,training,routine log,6,0,638.5,2,73.5,27.02
PICK-0334,training,routine log,31,12,212.1,5,59.1,99.45
PICK-0335,training,routine log,49,5,425.4,2,51.1,30.08
PICK-0336,training,routine log,23,4,682.3,3,59.5,30.74
PICK-0337,training,routine log,74,22,195.5,5,91.2,36.23
PICK-0338,training,routine log,16,5,418.2,2,65.7,24.45
PICK-0339,training,routine log,62,15,374.4,5,26.1,29.57
PICK-0340,training,routine log,73,9,508.6,1,37.9,38.21
PICK-0341,training,routine log,61,8,513.1,3,65.7,35.08
PICK-0342,training,routine log,38,10,483.6,6,70.6,29.79
PICK-0343,training,routine log,26,9,747.3,5,74.2,30.58
PICK-0344,training,routine log,57,1,582.8,2,72.0,34.27
PICK-0345,training,routine log,25,2,216.8,5,96.5,24.92
PICK-0346,training,routine log,60,6,609.9,2,20.5,35.54
PICK-0347,training,routine log,68,10,145.8,5,31.3,33.24
PICK-0348,training,routine log,6,2,861.3,5,75.2,28.89
PICK-0349,training,routine log,17,4,577.0,3,64.8,27.47
PICK-0350,training,routine log,47,9,762.1,3,89.1,42.06
PICK-0351,training,routine log,50,11,250.5,5,44.1,24.84
PICK-0352,training,routine log,8,2,216.8,5,85.5,18.84
PICK-0353,training,routine log,56,19,728.8,5,89.3,44.6
PICK-0354,training,routine log,25,2,818.9,2,58.1,76.65
PICK-0355,training,routine log,49,1,178.5,4,93.0,29.43
PICK-0356,training,routine log,66,1,801.8,5,69.3,42.35
PICK-0357,training,routine log,16,6,168.1,4,92.2,22.11
PICK-0358,training,routine log,53,10,204.1,6,30.1,25.25
PICK-0359,training,routine log,50,12,775.4,3,72.9,41.12
PICK-0360,training,routine log,48,15,899.2,3,49.3,34.92
PICK-0361,training,routine log,22,3,623.9,1,22.1,30.51
PICK-0362,training,routine log,19,5,179.9,6,93.8,23.67
PICK-0363,training,routine log,22,3,254.6,2,17.3,19.3
PICK-0364,training,routine log,50,13,368.2,5,85.0,32.37
PICK-0365,training,routine log,19,2,530.9,6,32.9,21.17
PICK-0366,training,routine log,16,1,348.0,5,39.6,17.84
PICK-0367,training,routine log,23,6,466.5,3,80.9,103.82
PICK-0368,training,routine log,32,5,527.5,6,15.4,21.29
PICK-0369,training,routine log,75,6,200.5,5,61.0,31.12
PICK-0370,training,routine log,9,0,666.9,3,29.9,22.92
PICK-0371,training,routine log,72,14,632.6,1,90.7,52.03
PICK-0372,training,routine log,31,1,686.2,2,54.1,28.06
PICK-0373,training,routine log,58,9,877.6,3,74.3,43.15
PICK-0374,training,routine log,17,3,361.3,3,94.6,26.48
PICK-0375,training,routine log,54,6,362.8,5,82.1,32.42
PICK-0376,training,routine log,6,0,803.4,1,26.5,30.1
PICK-0377,training,routine log,9,0,145.3,5,37.7,15.7
PICK-0378,training,routine log,16,1,159.0,1,78.5,27.8
PICK-0379,training,routine log,50,4,223.3,3,45.8,24.58
PICK-0380,training,routine log,26,2,758.5,1,61.7,38.69
PICK-0381,training,routine log,6,2,642.5,2,77.0,27.88
PICK-0382,training,routine log,7,2,844.4,2,86.8,33.65
PICK-0383,training,routine log,17,6,885.7,2,25.4,28.56
PICK-0384,training,routine log,21,5,161.8,4,78.0,19.67
PICK-0385,training,routine log,23,4,169.2,2,15.5,23.46
PICK-0386,training,routine log,58,1,391.9,6,36.1,23.99
PICK-0387,training,routine log,15,1,571.5,4,37.1,24.59
PICK-0388,training,routine log,20,2,178.1,4,63.0,17.81
PICK-0389,training,routine log,54,4,157.1,2,95.4,34.79
PICK-0390,training,routine log,54,7,118.3,4,18.0,25.0
PICK-0391,training,routine log,76,6,393.0,5,73.2,37.02
PICK-0392,training,routine log,58,11,314.8,1,84.7,37.48
PICK-0393,training,routine log,30,11,273.2,4,51.9,18.7
PICK-0394,training,routine log,16,0,738.9,2,25.1,23.35
PICK-0395,training,routine log,24,0,334.3,4,31.8,18.02
PICK-0396,training,routine log,23,4,601.3,4,33.6,21.18
PICK-0397,training,routine log,42,6,379.6,1,64.2,33.79
PICK-0398,training,routine log,28,8,556.0,2,97.5,39.13
PICK-0399,training,routine log,28,1,565.5,1,62.3,34.12
PICK-0400,training,routine log,70,17,779.8,6,43.6,33.22
PICK-0401,training,routine log,7,3,620.3,5,65.6,23.02
PICK-0402,training,routine log,47,6,226.0,5,96.5,32.43
PICK-0403,training,routine log,63,9,819.6,4,42.5,38.43
PICK-0404,training,routine log,59,21,140.2,5,33.7,26.01
PICK-0405,training,routine log,47,15,516.9,6,56.9,27.12
PICK-0406,training,routine log,38,9,386.6,3,49.8,26.03
PICK-0407,training,routine log,48,13,526.2,4,73.3,32.53
PICK-0408,training,routine log,54,4,712.1,5,28.1,26.84
PICK-0409,training,routine log,43,7,473.5,5,26.5,20.39
PICK-0410,training,routine log,64,13,376.7,5,60.4,30.7
PICK-0411,training,routine log,4,0,273.6,1,55.3,25.6
PICK-0412,training,routine log,36,9,821.6,1,17.0,36.8
PICK-0413,training,routine log,79,8,523.8,3,65.7,40.37
PICK-0414,training,routine log,19,4,544.1,5,40.9,20.9
PICK-0415,training,routine log,26,1,659.3,4,80.9,26.59
PICK-0416,training,routine log,12,1,340.3,2,56.4,17.35
PICK-0417,training,routine log,20,6,269.0,4,97.2,26.26
PICK-0418,training,routine log,59,12,319.8,5,40.3,28.57
PICK-0419,training,routine log,37,5,246.7,4,16.0,18.04
PICK-0420,training,routine log,66,15,483.3,1,39.5,36.98
PICK-0421,training,routine log,25,7,445.7,6,61.1,24.33
PICK-0422,training,routine log,49,4,111.0,4,38.2,117.36
PICK-0423,training,routine log,75,21,720.6,1,45.8,47.28
PICK-0424,training,routine log,35,5,319.6,1,86.8,40.45
PICK-0425,training,routine log,37,6,148.6,5,88.8,27.01
PICK-0426,training,routine log,30,8,677.3,1,58.3,35.22
PICK-0427,training,routine log,7,1,641.6,3,83.5,26.14
PICK-0428,training,routine log,36,0,581.6,1,93.4,39.51
PICK-0429,training,routine log,32,5,767.3,3,64.0,34.84
PICK-0430,training,routine log,78,27,668.3,3,79.7,36.19
PICK-0431,training,routine log,56,12,110.9,2,90.5,35.47
PICK-0432,training,routine log,52,7,683.3,5,54.7,32.35
PICK-0433,training,routine log,75,16,402.1,6,64.4,26.51
PICK-0434,training,routine log,46,14,355.2,1,46.5,31.46
PICK-0435,training,routine log,61,20,651.7,6,53.0,35.08
PICK-0436,training,routine log,68,9,182.1,3,89.3,31.41
PICK-0437,training,routine log,59,10,754.0,6,58.3,31.58
PICK-0438,training,routine log,16,7,406.6,1,31.4,28.61
PICK-0439,training,routine log,22,5,664.2,4,52.2,26.72
PICK-0440,training,routine log,48,14,398.8,4,79.4,30.31
PICK-0441,training,routine log,25,9,308.1,4,59.0,1.0
PICK-0442,training,routine log,17,1,773.4,5,74.4,27.14
PICK-0443,training,routine log,51,1,588.5,5,39.7,29.92
PICK-0444,training,routine log,25,4,322.2,3,34.0,19.34
PICK-0445,training,routine log,9,2,168.6,4,51.7,16.41
PICK-0446,training,routine log,4,0,661.7,3,95.4,29.58
PICK-0447,training,routine log,46,6,807.8,3,16.2,27.84
PICK-0448,training,routine log,54,7,637.4,5,82.9,32.21
