repair_id,resolution_hours,split
SENSOR-0137,8.0,fit
SENSOR-0138,7.42,fit
SENSOR-0139,3.09,fit
SENSOR-0140,5.92,check
SENSOR-0141,2.57,fit
SENSOR-0142,13.49,check
SENSOR-0143,2.59,fit
SENSOR-0144,6.7,check
SENSOR-0145,3.49,fit
SENSOR-0146,9.36,fit
SENSOR-0147,6.32,check
SENSOR-0148,4.79,fit
SENSOR-0149,3.11,fit
SENSOR-0150,1.42,check
SENSOR-0151,2.96,fit
SENSOR-0152,3.2,fit
SENSOR-0153,2.62,fit
SENSOR-0154,10.11,check
SENSOR-0155,8.42,check
SENSOR-0156,4.11,fit
SENSOR-0157,6.97,fit
SENSOR-0158,0.57,fit
SENSOR-0159,6.13,fit
SENSOR-0160,4.99,fit
SENSOR-0161,1.21,fit
SENSOR-0162,4.39,fit
SENSOR-0163,3.72,fit
SENSOR-0164,3.49,fit
SENSOR-0165,11.71,fit
SENSOR-0166,9.61,fit
SENSOR-0167,7.38,fit
SENSOR-0168,13.93,fit
SENSOR-0169,13.72,check
SENSOR-0170,5.02,fit
SENSOR-0171,6.59,fit
SENSOR-0172,9.15,fit
SENSOR-0173,3.92,check
SENSOR-0174,5.39,fit
SENSOR-0175,2.06,check
SENSOR-0176,14.94,fit
SENSOR-0177,4.09,fit
SENSOR-0178,17.03,fit
SENSOR-0179,3.76,check
SENSOR-0180,10.66,fit
SENSOR-0181,15.22,fit
SENSOR-0182,11.91,fit
SENSOR-0183,4.83,fit
SENSOR-0184,14.16,check
SENSOR-0185,9.71,fit
SENSOR-0186,12.78,fit
SENSOR-0187,5.81,fit
SENSOR-0188,1.16,check
SENSOR-0189,14.79,fit
SENSOR-0190,5.44,check
SENSOR-0191,8.8,fit
SENSOR-0192,8.54,fit
SENSOR-0193,3.52,check
SENSOR-0194,3.32,check
SENSOR-0195,4.88,fit
SENSOR-0196,11.07,fit
SENSOR-0197,5.4,fit
SENSOR-0198,8.99,fit
SENSOR-0199,5.26,fit
SENSOR-0200,3.7,fit
SENSOR-0201,2.53,fit
SENSOR-0202,4.48,fit
SENSOR-0203,8.93,fit
SENSOR-0204,11.75,fit
SENSOR-0205,4.96,fit
SENSOR-0206,25.61,check
SENSOR-0207,12.96,check
SENSOR-0208,2.34,check
SENSOR-0209,5.3,fit
SENSOR-0210,6.2,fit
SENSOR-0211,4.46,fit
SENSOR-0212,7.57,fit
SENSOR-0213,3.89,fit
SENSOR-0214,12.17,check
SENSOR-0215,7.57,check
SENSOR-0216,4.24,check
SENSOR-0217,11.98,check
SENSOR-0218,7.82,fit
SENSOR-0219,8.65,fit
SENSOR-0220,3.89,fit
SENSOR-0221,16.81,check
SENSOR-0222,5.84,fit
SENSOR-0223,7.63,fit
SENSOR-0224,7.43,fit
SENSOR-0225,6.39,fit
SENSOR-0226,6.76,fit
SENSOR-0227,5.56,fit
SENSOR-0228,8.18,fit
SENSOR-0229,4.29,fit
SENSOR-0230,6.63,check
SENSOR-0231,5.53,fit
SENSOR-0232,3.97,fit
SENSOR-0233,6.22,fit
SENSOR-0234,7.8,fit
SENSOR-0235,4.27,fit
SENSOR-0236,14.06,fit
SENSOR-0237,7.49,check
SENSOR-0238,12.17,check
SENSOR-0239,2.24,check
SENSOR-0240,8.51,fit
SENSOR-0241,7.56,fit
SENSOR-0242,13.05,fit
SENSOR-0243,2.78,fit
SENSOR-0244,9.52,fit
SENSOR-0245,4.32,fit
SENSOR-0246,6.82,check
SENSOR-0247,9.86,fit
SENSOR-0248,6.38,fit
SENSOR-0249,2.22,fit
SENSOR-0250,1.73,fit
SENSOR-0251,4.15,fit
SENSOR-0252,19.18,fit
SENSOR-0253,7.44,fit
SENSOR-0254,7.37,check
SENSOR-0255,13.74,fit
SENSOR-0256,16.0,fit
SENSOR-0257,8.96,fit
SENSOR-0258,11.19,fit
SENSOR-0259,7.11,fit
SENSOR-0260,9.27,fit
SENSOR-0261,6.6,fit
SENSOR-0262,4.7,check
SENSOR-0263,8.32,check
SENSOR-0264,8.9,fit
SENSOR-0265,4.5,fit
SENSOR-0266,5.86,check
SENSOR-0267,7.38,fit
SENSOR-0268,5.58,fit
SENSOR-0269,9.34,fit
SENSOR-0270,4.13,fit
SENSOR-0271,3.47,fit
SENSOR-0272,25.94,fit
SENSOR-0273,7.16,fit
SENSOR-0274,8.79,fit
SENSOR-0275,4.25,fit
SENSOR-0276,6.35,fit
SENSOR-0277,16.92,check
SENSOR-0278,2.99,fit
SENSOR-0279,1.38,fit
SENSOR-0280,10.73,fit
SENSOR-0281,13.2,check
SENSOR-0282,5.81,fit
SENSOR-0283,19.8,check
SENSOR-0284,14.12,fit
SENSOR-0285,5.32,fit
SENSOR-0286,14.36,fit
SENSOR-0287,5.25,fit
SENSOR-0288,5.44,fit
SENSOR-0289,5.7,fit
SENSOR-0290,10.47,check
SENSOR-0291,5.73,fit
SENSOR-0292,7.39,fit
SENSOR-0293,4.7,fit
SENSOR-0294,4.64,fit
SENSOR-0295,2.51,check
SENSOR-0296,10.07,fit
SENSOR-0297,10.0,check
SENSOR-0298,7.11,fit
SENSOR-0299,6.08,fit
SENSOR-0300,2.93,fit
SENSOR-0301,4.25,fit
SENSOR-0302,9.9,fit
SENSOR-0303,15.1,fit
SENSOR-0304,6.18,fit
SENSOR-0305,2.82,fit
SENSOR-0306,0.83,fit
SENSOR-0307,12.33,fit
SENSOR-0308,8.23,fit
SENSOR-0309,4.44,fit
SENSOR-0310,3.6,check
SENSOR-0311,8.17,fit
SENSOR-0312,7.88,check
SENSOR-0313,9.85,check
SENSOR-0314,0.23,fit
SENSOR-0315,7.29,fit
SENSOR-0316,4.12,fit
SENSOR-0317,2.76,check
SENSOR-0318,7.93,check
SENSOR-0319,4.21,fit
SENSOR-0320,3.58,fit
SENSOR-0321,15.42,fit
SENSOR-0322,6.14,check
SENSOR-0323,5.25,fit
SENSOR-0324,5.3,fit
SENSOR-0325,9.13,fit
SENSOR-0326,3.4,fit
SENSOR-0327,7.79,fit
SENSOR-0328,9.14,fit
SENSOR-0329,8.07,fit
SENSOR-0330,6.22,check
SENSOR-0331,12.63,fit
SENSOR-0332,3.67,check
SENSOR-0333,12.53,fit
SENSOR-0334,1.21,fit
SENSOR-0335,4.83,fit
SENSOR-0336,1.09,fit
SENSOR-0337,4.21,check
SENSOR-0338,2.4,check
SENSOR-0339,7.59,fit
SENSOR-0340,7.99,fit
SENSOR-0341,7.33,fit
SENSOR-0342,9.76,check
SENSOR-0343,14.73,check
SENSOR-0344,7.92,fit
SENSOR-0345,7.23,fit
SENSOR-0346,3.61,fit
SENSOR-0347,7.61,fit
SENSOR-0348,10.32,fit
SENSOR-0349,6.9,fit
SENSOR-0350,9.79,fit
SENSOR-0351,7.54,fit
SENSOR-0352,9.42,fit
SENSOR-0353,2.93,fit
SENSOR-0354,9.42,fit
SENSOR-0355,3.56,fit
SENSOR-0356,9.07,fit
SENSOR-0357,8.94,check
SENSOR-0358,8.98,check
SENSOR-0359,2.91,fit
SENSOR-0360,16.77,fit
SENSOR-0361,6.83,fit
SENSOR-0362,5.97,check
SENSOR-0363,6.29,fit
SENSOR-0364,22.52,fit
SENSOR-0365,4.36,check
SENSOR-0366,4.09,fit
SENSOR-0367,9.98,fit
SENSOR-0368,8.38,fit
SENSOR-0369,5.1,fit
SENSOR-0370,2.54,fit
SENSOR-0371,6.58,fit
SENSOR-0372,12.96,fit
SENSOR-0373,9.01,fit
SENSOR-0374,5.74,check
SENSOR-0375,7.97,check
SENSOR-0376,6.05,check
SENSOR-0377,14.22,check
SENSOR-0378,3.61,fit
SENSOR-0379,1.68,fit
SENSOR-0380,3.02,fit
SENSOR-0381,7.41,check
SENSOR-0382,12.43,check
SENSOR-0383,3.26,fit
SENSOR-0384,12.23,fit
SENSOR-0385,4.18,fit
SENSOR-0386,25.95,fit
SENSOR-0387,5.2,fit
SENSOR-0388,4.34,fit
SENSOR-0389,2.81,fit
SENSOR-0390,7.82,fit
SENSOR-0391,1.58,fit
SENSOR-0392,6.59,check
SENSOR-0393,4.65,fit
SENSOR-0394,2.92,fit
SENSOR-0395,8.05,fit
SENSOR-0396,3.01,fit
SENSOR-0397,13.75,check
SENSOR-0398,1.02,fit
SENSOR-0399,2.77,check
SENSOR-0400,17.71,fit
SENSOR-0401,1.03,fit
SENSOR-0402,5.24,check
SENSOR-0403,6.82,fit
SENSOR-0404,3.32,fit
SENSOR-0405,3.52,fit
SENSOR-0406,3.08,fit
SENSOR-0407,6.08,fit
SENSOR-0408,9.55,fit
SENSOR-0409,10.55,fit
SENSOR-0410,5.95,fit
SENSOR-0411,18.41,check
SENSOR-0412,3.19,fit
SENSOR-0413,7.25,fit
SENSOR-0414,10.95,check
SENSOR-0415,3.51,fit
SENSOR-0416,15.46,fit
SENSOR-0417,11.34,fit
SENSOR-0418,3.88,fit
SENSOR-0419,8.06,fit
SENSOR-0420,8.44,fit
SENSOR-0421,1.97,fit
SENSOR-0422,7.66,fit
SENSOR-0423,12.31,fit
SENSOR-0424,11.05,fit
SENSOR-0425,3.76,fit
SENSOR-0426,3.5,fit
SENSOR-0427,6.4,check
SENSOR-0428,6.04,fit
SENSOR-0429,5.63,fit
SENSOR-0430,1.96,check
SENSOR-0431,3.25,check
SENSOR-0432,11.03,fit
SENSOR-0433,4.9,check
SENSOR-0434,3.81,fit
SENSOR-0435,4.05,fit
SENSOR-0436,2.79,check
SENSOR-0437,2.43,fit
SENSOR-0438,2.97,fit
SENSOR-0439,4.74,fit
SENSOR-0440,12.65,fit
SENSOR-0441,9.99,fit
SENSOR-0442,5.28,fit
SENSOR-0443,2.32,fit
SENSOR-0444,6.05,fit
SENSOR-0445,5.36,fit
SENSOR-0446,8.86,check
SENSOR-0447,2.04,fit
SENSOR-0448,11.87,check
SENSOR-0449,6.35,check
SENSOR-0450,9.06,check
SENSOR-0451,10.05,fit
SENSOR-0452,8.13,check
SENSOR-0453,3.67,fit
SENSOR-0454,7.64,fit
SENSOR-0455,0.88,check
SENSOR-0456,6.6,fit
SENSOR-0457,13.94,fit
SENSOR-0458,7.76,check
SENSOR-0459,6.78,check
SENSOR-0460,8.96,check
SENSOR-0461,5.87,fit
SENSOR-0462,3.04,check
SENSOR-0463,9.94,check
SENSOR-0464,4.52,fit
SENSOR-0465,3.43,fit
SENSOR-0466,9.5,fit
SENSOR-0467,1.46,fit
SENSOR-0468,15.0,fit
SENSOR-0469,5.6,fit
SENSOR-0470,8.84,fit
SENSOR-0471,4.59,check
SENSOR-0472,14.53,fit
SENSOR-0473,4.61,fit
SENSOR-0474,2.98,fit
SENSOR-0475,2.76,check
SENSOR-0476,6.2,fit
SENSOR-0477,8.68,check
SENSOR-0478,10.95,fit
SENSOR-0479,5.7,fit
SENSOR-0480,6.46,check
SENSOR-0481,3.35,fit
SENSOR-0482,6.11,fit
SENSOR-0483,6.92,fit
SENSOR-0484,2.58,fit
SENSOR-0485,8.42,fit
SENSOR-0486,3.81,fit
SENSOR-0487,3.61,fit
SENSOR-0488,12.09,fit
SENSOR-0489,11.77,fit
SENSOR-0490,8.67,fit
SENSOR-0491,10.67,fit
SENSOR-0492,4.03,fit
SENSOR-0493,11.02,fit
SENSOR-0494,8.11,fit
SENSOR-0495,4.29,fit
SENSOR-0496,9.31,fit
SENSOR-0497,19.89,fit
SENSOR-0498,7.78,fit
SENSOR-0499,6.41,fit
SENSOR-0500,2.74,fit
SENSOR-0501,3.46,fit
SENSOR-0502,10.54,check
SENSOR-0503,12.8,fit
SENSOR-0504,10.11,fit
SENSOR-0505,3.96,fit
SENSOR-0506,6.2,check
SENSOR-0507,5.63,fit
SENSOR-0508,3.55,fit
SENSOR-0509,3.31,check
SENSOR-0510,7.55,fit
SENSOR-0511,8.44,fit
SENSOR-0512,4.57,check
SENSOR-0513,15.67,fit
SENSOR-0514,13.55,fit
SENSOR-0515,3.41,fit
SENSOR-0516,5.57,check
SENSOR-0517,4.03,fit
SENSOR-0518,7.81,fit
SENSOR-0519,5.13,fit
SENSOR-0520,18.01,fit
SENSOR-0521,6.22,fit
SENSOR-0522,1.82,check
SENSOR-0523,3.8,check
SENSOR-0524,5.09,fit
SENSOR-0525,3.78,fit
SENSOR-0526,7.68,fit
SENSOR-0527,2.79,check
SENSOR-0528,3.54,check
SENSOR-0529,3.02,check
SENSOR-0530,2.72,fit
SENSOR-0531,5.26,fit
SENSOR-0532,6.16,fit
SENSOR-0533,1.96,fit
SENSOR-0534,6.98,fit
SENSOR-0535,3.91,fit
SENSOR-0536,7.15,fit
SENSOR-0537,5.82,fit
SENSOR-0538,4.97,fit
SENSOR-0539,12.15,fit
SENSOR-0540,11.21,check
SENSOR-0541,3.9,fit
SENSOR-0542,3.11,fit
SENSOR-0543,2.07,fit
SENSOR-0544,5.16,fit
SENSOR-0545,6.55,fit
SENSOR-0546,6.12,check
SENSOR-0547,8.29,fit
SENSOR-0548,4.04,fit
SENSOR-0549,8.11,check
SENSOR-0550,4.68,fit
SENSOR-0551,12.5,fit
SENSOR-0552,9.46,fit
SENSOR-0553,12.54,fit
SENSOR-0554,2.65,check
SENSOR-0555,4.86,check
SENSOR-0556,4.79,fit
SENSOR-0557,3.3,fit
SENSOR-0558,3.49,fit
SENSOR-0559,8.62,fit
SENSOR-0560,11.16,fit
SENSOR-0561,2.54,fit
SENSOR-0562,4.65,check
SENSOR-0563,5.05,fit
SENSOR-0564,7.62,fit
SENSOR-0565,4.3,fit
SENSOR-0566,4.42,fit
SENSOR-0567,3.77,fit
SENSOR-0568,8.32,fit
SENSOR-0569,5.69,fit
SENSOR-0570,21.02,check
SENSOR-0571,4.1,fit
SENSOR-0572,2.83,check
SENSOR-0573,7.81,check
SENSOR-0574,5.81,fit
SENSOR-0575,4.17,check
SENSOR-0576,5.44,check
SENSOR-0577,5.75,fit
SENSOR-0578,7.36,fit
SENSOR-0579,5.24,fit
SENSOR-0580,9.8,fit
SENSOR-0581,3.13,check
SENSOR-0582,7.49,check
SENSOR-0583,14.58,fit
SENSOR-0584,9.71,fit
SENSOR-0585,2.81,check
SENSOR-0586,6.09,fit
SENSOR-0587,7.18,fit
SENSOR-0588,6.39,fit
SENSOR-0589,9.44,check
SENSOR-0590,11.15,fit
SENSOR-0591,5.22,fit
SENSOR-0592,7.29,fit
SENSOR-0593,11.05,fit
SENSOR-0594,15.27,fit
SENSOR-0595,2.54,check
SENSOR-0596,10.63,check
SENSOR-0597,8.8,fit
SENSOR-0598,3.81,fit
SENSOR-0599,11.58,fit
SENSOR-0600,14.64,check
SENSOR-0601,1.84,check
SENSOR-0602,4.93,fit
SENSOR-0603,12.72,check
SENSOR-0604,5.65,check
SENSOR-0605,5.51,fit
SENSOR-0606,10.8,fit
SENSOR-0607,14.11,fit
SENSOR-0608,2.72,fit
SENSOR-0609,9.66,fit
SENSOR-0610,8.65,fit
SENSOR-0611,5.66,fit
SENSOR-0612,11.88,fit
SENSOR-0613,4.94,check
SENSOR-0614,7.02,check
SENSOR-0615,6.86,fit
SENSOR-0616,4.84,fit
SENSOR-0617,9.95,fit
SENSOR-0618,7.07,fit
SENSOR-0619,16.99,fit
SENSOR-0620,3.42,fit
SENSOR-0621,4.15,fit
SENSOR-0622,5.56,fit
SENSOR-0623,4.33,fit
SENSOR-0624,8.08,fit
SENSOR-0625,4.69,check
SENSOR-0626,5.25,check
SENSOR-0627,3.54,fit
SENSOR-0628,16.58,fit
SENSOR-0629,8.4,check
SENSOR-0630,2.73,fit
SENSOR-0631,6.87,check
SENSOR-0632,10.91,check
SENSOR-0633,5.06,check
SENSOR-0634,14.13,fit
SENSOR-0635,14.32,fit
SENSOR-0636,3.94,fit
SENSOR-0637,2.36,fit
SENSOR-0638,4.63,fit
SENSOR-0639,4.14,fit
SENSOR-0640,1.86,fit
SENSOR-0641,11.67,check
SENSOR-0642,7.07,fit
SENSOR-0643,9.52,fit
SENSOR-0644,14.2,check
SENSOR-0645,2.57,fit
SENSOR-0646,5.96,fit
SENSOR-0647,10.63,fit
SENSOR-0648,7.99,check
SENSOR-0649,5.01,fit
SENSOR-0650,3.93,fit
SENSOR-0651,3.83,fit
SENSOR-0652,1.1,fit
SENSOR-0653,11.99,fit
SENSOR-0654,3.5,fit
SENSOR-0655,1.19,fit
SENSOR-0656,10.53,fit
SENSOR-0657,5.37,fit
SENSOR-0658,5.48,check
SENSOR-0659,4.6,fit
SENSOR-0660,4.23,check
SENSOR-0661,5.95,fit
SENSOR-0662,12.93,check
SENSOR-0663,2.77,check
SENSOR-0664,10.37,fit
SENSOR-0665,5.8,fit
SENSOR-0666,10.1,fit
SENSOR-0667,2.49,check
SENSOR-0668,1.95,check
SENSOR-0669,16.58,fit
SENSOR-0670,10.73,fit
SENSOR-0671,9.36,fit
SENSOR-0672,4.9,check
SENSOR-0673,8.29,fit
SENSOR-0674,10.13,fit
SENSOR-0675,4.31,fit
SENSOR-0676,2.48,fit
SENSOR-0677,8.41,fit
SENSOR-0678,2.38,fit
SENSOR-0679,11.5,fit
SENSOR-0680,5.38,fit
SENSOR-0681,14.93,check
SENSOR-0682,8.91,fit
SENSOR-0683,7.94,fit
SENSOR-0684,5.24,fit
SENSOR-0685,9.4,fit
SENSOR-0686,6.12,check
SENSOR-0687,7.53,fit
SENSOR-0688,3.99,fit
SENSOR-0689,7.76,check
SENSOR-0690,7.92,check
SENSOR-0691,2.88,fit
SENSOR-0692,8.87,check
SENSOR-0693,4.65,fit
SENSOR-0694,8.89,fit
SENSOR-0695,4.58,fit
SENSOR-0696,7.23,check
SENSOR-0697,1.6,fit
SENSOR-0698,7.29,fit
SENSOR-0699,5.11,check
SENSOR-0700,10.69,fit
SENSOR-0701,6.38,check
SENSOR-0702,6.45,fit
SENSOR-0703,8.52,fit
SENSOR-0704,3.22,check
SENSOR-0705,5.48,fit
SENSOR-0706,7.28,fit
SENSOR-0707,5.4,check
SENSOR-0708,8.12,fit
SENSOR-0709,5.13,fit
SENSOR-0710,8.61,check
SENSOR-0711,8.6,fit
SENSOR-0712,10.29,fit
SENSOR-0713,10.91,fit
SENSOR-0714,7.99,fit
SENSOR-0715,2.25,check
SENSOR-0716,3.98,check
SENSOR-0717,4.25,check
SENSOR-0718,11.64,fit
SENSOR-0719,5.06,fit
SENSOR-0720,5.05,check
SENSOR-0721,2.98,fit
SENSOR-0722,3.21,fit
SENSOR-0723,4.3,fit
SENSOR-0724,16.68,check
SENSOR-0725,3.79,fit
SENSOR-0726,4.33,check
SENSOR-0727,4.41,check
SENSOR-0728,15.3,fit
SENSOR-0729,7.4,fit
SENSOR-0730,11.7,fit
SENSOR-0731,7.64,fit
SENSOR-0732,13.05,check
SENSOR-0733,6.46,fit
SENSOR-0734,3.12,fit
SENSOR-0735,5.5,check
SENSOR-0736,10.77,fit
SENSOR-0737,2.54,check
SENSOR-0738,6.07,check
SENSOR-0739,13.44,fit
SENSOR-0740,4.9,fit
SENSOR-0741,2.54,fit
SENSOR-0742,5.96,fit
SENSOR-0743,12.63,fit
SENSOR-0744,6.91,fit
SENSOR-0745,3.71,fit
SENSOR-0746,20.08,fit
SENSOR-0747,11.72,fit
SENSOR-0748,4.17,fit
SENSOR-0749,4.01,fit
SENSOR-0750,5.67,check
SENSOR-0751,6.36,fit
SENSOR-0752,8.36,fit
SENSOR-0753,5.29,fit
SENSOR-0754,6.88,fit
SENSOR-0755,12.15,fit
SENSOR-0756,5.14,fit
SENSOR-0757,5.11,fit
SENSOR-0758,7.11,fit
SENSOR-0759,0.6,fit
SENSOR-0760,3.12,fit
SENSOR-0761,5.72,fit
SENSOR-0762,4.72,fit
SENSOR-0763,6.87,fit
SENSOR-0764,3.16,check
SENSOR-0765,5.85,fit
SENSOR-0766,8.73,fit
SENSOR-0767,6.13,fit
SENSOR-0768,5.13,fit
SENSOR-0769,6.58,fit
SENSOR-0770,2.08,fit
SENSOR-0771,9.97,check
SENSOR-0772,7.14,fit
SENSOR-0773,8.08,check
SENSOR-0774,6.84,fit
SENSOR-0775,3.45,fit
SENSOR-0776,9.17,fit
SENSOR-0777,11.51,check
SENSOR-0778,10.08,fit
SENSOR-0779,8.03,check
SENSOR-0780,9.55,fit
SENSOR-0781,3.05,fit
SENSOR-0782,11.6,fit
SENSOR-0783,3.11,fit
SENSOR-0784,1.14,check
SENSOR-0785,6.23,fit
SENSOR-0786,9.85,fit
SENSOR-0787,6.43,fit
SENSOR-0788,8.79,check
SENSOR-0789,3.94,check
SENSOR-0790,14.65,fit
SENSOR-0791,4.66,fit
SENSOR-0792,6.72,fit
SENSOR-0793,4.84,fit
SENSOR-0794,8.84,fit
SENSOR-0795,6.29,fit
SENSOR-0796,12.26,fit
SENSOR-0797,6.96,check
SENSOR-0798,6.07,fit
SENSOR-0799,8.9,fit
SENSOR-0800,11.96,fit
SENSOR-0801,3.22,fit
SENSOR-0802,9.86,fit
SENSOR-0803,7.14,check
SENSOR-0804,10.68,fit
SENSOR-0805,9.44,fit
SENSOR-0806,6.19,fit
SENSOR-0807,14.14,check
SENSOR-0808,8.51,fit
SENSOR-0809,5.36,fit
SENSOR-0810,7.23,fit
SENSOR-0811,10.18,fit
SENSOR-0812,14.65,fit
SENSOR-0813,15.06,fit
SENSOR-0814,4.75,fit
SENSOR-0815,4.5,fit
SENSOR-0816,4.04,check
SENSOR-0817,1.86,fit
SENSOR-0818,4.98,fit
SENSOR-0819,4.46,fit
SENSOR-0820,4.89,fit
SENSOR-0821,22.37,fit
SENSOR-0822,1.72,fit
SENSOR-0823,13.42,fit
SENSOR-0824,8.27,fit
SENSOR-0825,7.47,fit
SENSOR-0826,7.73,fit
SENSOR-0827,11.38,fit
SENSOR-0828,9.87,fit
SENSOR-0829,7.2,fit
SENSOR-0830,3.22,fit
SENSOR-0831,0.96,check
SENSOR-0832,15.59,fit
SENSOR-0833,9.43,fit
SENSOR-0834,2.91,fit
SENSOR-0835,6.34,fit
SENSOR-0836,7.62,fit
SENSOR-0837,3.89,fit
SENSOR-0838,4.7,fit
SENSOR-0839,9.19,fit
SENSOR-0840,5.61,fit
