reading_id,recorded_at,station,direction,bicycles
79,2026-01-01T09:00,North Bridge,inbound,53
80,2026-01-01T09:00,North Bridge,outbound,45
81,2026-01-01T10:00,Riverside,inbound,49
82,2026-01-01T10:00,Riverside,outbound,41
83,2026-01-01T10:00,Market Gate,inbound,45
84,2026-01-01T10:00,Market Gate,outbound,31
85,2026-01-01T10:00,University,inbound,34
86,2026-01-01T10:00,University,outbound,42
87,2026-01-01T10:00,North Bridge,inbound,29
88,2026-01-01T10:00,North Bridge,outbound,28
89,2026-01-01T11:00,Riverside,inbound,29
90,2026-01-01T11:00,Riverside,outbound,32
91,2026-01-01T11:00,Market Gate,inbound,12
92,2026-01-01T11:00,Market Gate,outbound,22
93,2026-01-01T11:00,University,inbound,30
94,2026-01-01T11:00,University,outbound,32
95,2026-01-01T11:00,North Bridge,inbound,22
96,2026-01-01T11:00,North Bridge,outbound,12
97,2026-01-01T12:00,Riverside,inbound,33
98,2026-01-01T12:00,Riverside,outbound,29
99,2026-01-01T12:00,Market Gate,inbound,19
100,2026-01-01T12:00,Market Gate,outbound,20
101,2026-01-01T12:00,University,inbound,32
102,2026-01-01T12:00,University,outbound,22
103,2026-01-01T12:00,North Bridge,inbound,19
104,2026-01-01T12:00,North Bridge,outbound,23
105,2026-01-01T13:00,Riverside,inbound,24
106,2026-01-01T13:00,Riverside,outbound,21
107,2026-01-01T13:00,Market Gate,inbound,26
108,2026-01-01T13:00,Market Gate,outbound,17
109,2026-01-01T13:00,University,inbound,15
110,2026-01-01T13:00,University,outbound,19
111,2026-01-01T13:00,North Bridge,inbound,19
112,2026-01-01T13:00,North Bridge,outbound,22
113,2026-01-01T14:00,Riverside,inbound,31
114,2026-01-01T14:00,Riverside,outbound,28
115,2026-01-01T14:00,Market Gate,inbound,25
116,2026-01-01T14:00,Market Gate,outbound,18
117,2026-01-01T14:00,University,inbound,33
118,2026-01-01T14:00,University,outbound,22
119,2026-01-01T14:00,North Bridge,inbound,21
120,2026-01-01T14:00,North Bridge,outbound,20
121,2026-01-01T15:00,Riverside,inbound,45
122,2026-01-01T15:00,Riverside,outbound,41
123,2026-01-01T15:00,Market Gate,inbound,37
124,2026-01-01T15:00,Market Gate,outbound,33
125,2026-01-01T15:00,University,inbound,49
126,2026-01-01T15:00,University,outbound,29
127,2026-01-01T15:00,North Bridge,inbound,35
128,2026-01-01T15:00,North Bridge,outbound,35
129,2026-01-01T16:00,Riverside,inbound,67
130,2026-01-01T16:00,Riverside,outbound,56
131,2026-01-01T16:00,Market Gate,inbound,56
132,2026-01-01T16:00,Market Gate,outbound,50
133,2026-01-01T16:00,University,inbound,48
134,2026-01-01T16:00,University,outbound,48
135,2026-01-01T16:00,North Bridge,inbound,40
136,2026-01-01T16:00,North Bridge,outbound,42
137,2026-01-01T17:00,Riverside,inbound,53
138,2026-01-01T17:00,Riverside,outbound,57
139,2026-01-01T17:00,Market Gate,inbound,49
140,2026-01-01T17:00,Market Gate,outbound,48
141,2026-01-01T17:00,University,inbound,63
142,2026-01-01T17:00,University,outbound,52
143,2026-01-01T17:00,North Bridge,inbound,45
144,2026-01-01T17:00,North Bridge,outbound,48
145,2026-01-01T18:00,Riverside,inbound,55
146,2026-01-01T18:00,Riverside,outbound,59
147,2026-01-01T18:00,Market Gate,inbound,47
148,2026-01-01T18:00,Market Gate,outbound,45
149,2026-01-01T18:00,University,inbound,52
150,2026-01-01T18:00,University,outbound,58
151,2026-01-01T18:00,North Bridge,inbound,46
152,2026-01-01T18:00,North Bridge,outbound,41
153,2026-01-01T19:00,Riverside,inbound,42
154,2026-01-01T19:00,Riverside,outbound,40
155,2026-01-01T19:00,Market Gate,inbound,31
156,2026-01-01T19:00,Market Gate,outbound,45
157,2026-01-01T19:00,University,inbound,46
158,2026-01-01T19:00,University,outbound,26
159,2026-01-01T19:00,North Bridge,inbound,25
160,2026-01-01T19:00,North Bridge,outbound,30
161,2026-01-01T20:00,Riverside,inbound,33
162,2026-01-01T20:00,Riverside,outbound,21
163,2026-01-01T20:00,Market Gate,inbound,27
164,2026-01-01T20:00,Market Gate,outbound,27
165,2026-01-01T20:00,University,inbound,31
166,2026-01-01T20:00,University,outbound,31
167,2026-01-01T20:00,North Bridge,inbound,27
168,2026-01-01T20:00,North Bridge,outbound,16
169,2026-01-01T21:00,Riverside,inbound,24
170,2026-01-01T21:00,Riverside,outbound,31
171,2026-01-01T21:00,Market Gate,inbound,13
172,2026-01-01T21:00,Market Gate,outbound,14
173,2026-01-01T21:00,University,inbound,26
174,2026-01-01T21:00,University,outbound,24
175,2026-01-01T21:00,North Bridge,inbound,23
176,2026-01-01T21:00,North Bridge,outbound,22
177,2026-01-01T22:00,Riverside,inbound,18
178,2026-01-01T22:00,Riverside,outbound,17
179,2026-01-01T22:00,Market Gate,inbound,22
180,2026-01-01T22:00,Market Gate,outbound,25
181,2026-01-01T22:00,University,inbound,13
182,2026-01-01T22:00,University,outbound,17
183,2026-01-01T22:00,North Bridge,inbound,23
184,2026-01-01T22:00,North Bridge,outbound,17
185,2026-01-01T23:00,Riverside,inbound,20
186,2026-01-01T23:00,Riverside,outbound,18
187,2026-01-01T23:00,Market Gate,inbound,19
188,2026-01-01T23:00,Market Gate,outbound,16
189,2026-01-01T23:00,University,inbound,20
190,2026-01-01T23:00,University,outbound,25
191,2026-01-01T23:00,North Bridge,inbound,15
192,2026-01-01T23:00,North Bridge,outbound,16
193,2026-01-02T00:00,Riverside,inbound,19
194,2026-01-02T00:00,Riverside,outbound,24
195,2026-01-02T00:00,Market Gate,inbound,17
196,2026-01-02T00:00,Market Gate,outbound,21
197,2026-01-02T00:00,University,inbound,16
198,2026-01-02T00:00,University,outbound,16
199,2026-01-02T00:00,North Bridge,inbound,8
200,2026-01-02T00:00,North Bridge,outbound,19
201,2026-01-02T01:00,Riverside,inbound,13
202,2026-01-02T01:00,Riverside,outbound,17
203,2026-01-02T01:00,Market Gate,inbound,23
204,2026-01-02T01:00,Market Gate,outbound,14
205,2026-01-02T01:00,University,inbound,16
206,2026-01-02T01:00,University,outbound,20
207,2026-01-02T01:00,North Bridge,inbound,17
208,2026-01-02T01:00,North Bridge,outbound,8
209,2026-01-02T02:00,Riverside,inbound,16
210,2026-01-02T02:00,Riverside,outbound,12
211,2026-01-02T02:00,Market Gate,inbound,24
212,2026-01-02T02:00,Market Gate,outbound,21
213,2026-01-02T02:00,University,inbound,23
214,2026-01-02T02:00,University,outbound,14
215,2026-01-02T02:00,North Bridge,inbound,16
216,2026-01-02T02:00,North Bridge,outbound,16
217,2026-01-02T03:00,Riverside,inbound,22
218,2026-01-02T03:00,Riverside,outbound,19
219,2026-01-02T03:00,Market Gate,inbound,20
220,2026-01-02T03:00,Market Gate,outbound,22
221,2026-01-02T03:00,University,inbound,19
222,2026-01-02T03:00,University,outbound,10
223,2026-01-02T03:00,North Bridge,inbound,11
224,2026-01-02T03:00,North Bridge,outbound,17
225,2026-01-02T04:00,Riverside,inbound,19
226,2026-01-02T04:00,Riverside,outbound,19
227,2026-01-02T04:00,Market Gate,inbound,14
228,2026-01-02T04:00,Market Gate,outbound,16
229,2026-01-02T04:00,University,inbound,20
230,2026-01-02T04:00,University,outbound,25
231,2026-01-02T04:00,North Bridge,inbound,18
232,2026-01-02T04:00,North Bridge,outbound,5
233,2026-01-02T05:00,Riverside,inbound,31
234,2026-01-02T05:00,Riverside,outbound,36
235,2026-01-02T05:00,Market Gate,inbound,22
236,2026-01-02T05:00,Market Gate,outbound,22
237,2026-01-02T05:00,University,inbound,25
238,2026-01-02T05:00,University,outbound,18
239,2026-01-02T05:00,North Bridge,inbound,24
240,2026-01-02T05:00,North Bridge,outbound,16
241,2026-01-02T06:00,Riverside,inbound,46
242,2026-01-02T06:00,Riverside,outbound,32
243,2026-01-02T06:00,Market Gate,inbound,35
244,2026-01-02T06:00,Market Gate,outbound,28
245,2026-01-02T06:00,University,inbound,48
246,2026-01-02T06:00,University,outbound,27
247,2026-01-02T06:00,North Bridge,inbound,21
248,2026-01-02T06:00,North Bridge,outbound,32
249,2026-01-02T07:00,Riverside,inbound,68
250,2026-01-02T07:00,Riverside,outbound,65
251,2026-01-02T07:00,Market Gate,inbound,47
252,2026-01-02T07:00,Market Gate,outbound,49
253,2026-01-02T07:00,University,inbound,64
254,2026-01-02T07:00,University,outbound,56
255,2026-01-02T07:00,North Bridge,inbound,36
256,2026-01-02T07:00,North Bridge,outbound,39
257,2026-01-02T08:00,Riverside,inbound,78
258,2026-01-02T08:00,Riverside,outbound,72
259,2026-01-02T08:00,Market Gate,inbound,66
260,2026-01-02T08:00,Market Gate,outbound,52
261,2026-01-02T08:00,University,inbound,59
262,2026-01-02T08:00,University,outbound,59
263,2026-01-02T08:00,North Bridge,inbound,44
264,2026-01-02T08:00,North Bridge,outbound,40
265,2026-01-02T09:00,Riverside,inbound,64
266,2026-01-02T09:00,Riverside,outbound,64
267,2026-01-02T09:00,Market Gate,inbound,50
268,2026-01-02T09:00,Market Gate,outbound,45
269,2026-01-02T09:00,University,inbound,46
270,2026-01-02T09:00,University,outbound,60
271,2026-01-02T09:00,North Bridge,inbound,48
272,2026-01-02T09:00,North Bridge,outbound,38
273,2026-01-02T10:00,Riverside,inbound,44
274,2026-01-02T10:00,Riverside,outbound,41
275,2026-01-02T10:00,Market Gate,inbound,40
276,2026-01-02T10:00,Market Gate,outbound,33
277,2026-01-02T10:00,University,inbound,39
278,2026-01-02T10:00,University,outbound,32
279,2026-01-02T10:00,North Bridge,inbound,37
280,2026-01-02T10:00,North Bridge,outbound,21
281,2026-01-02T11:00,Riverside,inbound,35
282,2026-01-02T11:00,Riverside,outbound,28
283,2026-01-02T11:00,Market Gate,inbound,32
284,2026-01-02T11:00,Market Gate,outbound,17
285,2026-01-02T11:00,University,inbound,23
286,2026-01-02T11:00,University,outbound,15
287,2026-01-02T11:00,North Bridge,inbound,12
288,2026-01-02T11:00,North Bridge,outbound,23
289,2026-01-02T12:00,Riverside,inbound,16
290,2026-01-02T12:00,Riverside,outbound,21
291,2026-01-02T12:00,Market Gate,inbound,15
292,2026-01-02T12:00,Market Gate,outbound,25
293,2026-01-02T12:00,University,inbound,22
294,2026-01-02T12:00,University,outbound,26
295,2026-01-02T12:00,North Bridge,inbound,14
296,2026-01-02T12:00,North Bridge,outbound,10
297,2026-01-02T13:00,Riverside,inbound,33
298,2026-01-02T13:00,Riverside,outbound,20
299,2026-01-02T13:00,Market Gate,inbound,19
300,2026-01-02T13:00,Market Gate,outbound,14
301,2026-01-02T13:00,University,inbound,38
302,2026-01-02T13:00,University,outbound,16
303,2026-01-02T13:00,North Bridge,inbound,13
304,2026-01-02T13:00,North Bridge,outbound,16
305,2026-01-02T14:00,Riverside,inbound,41
306,2026-01-02T14:00,Riverside,outbound,27
307,2026-01-02T14:00,Market Gate,inbound,32
308,2026-01-02T14:00,Market Gate,outbound,22
309,2026-01-02T14:00,University,inbound,31
310,2026-01-02T14:00,University,outbound,29
311,2026-01-02T14:00,North Bridge,inbound,16
312,2026-01-02T14:00,North Bridge,outbound,16
313,2026-01-02T15:00,Riverside,inbound,58
314,2026-01-02T15:00,Riverside,outbound,45
315,2026-01-02T15:00,Market Gate,inbound,32
316,2026-01-02T15:00,Market Gate,outbound,32
317,2026-01-02T15:00,University,inbound,34
318,2026-01-02T15:00,University,outbound,31
319,2026-01-02T15:00,North Bridge,inbound,26
320,2026-01-02T15:00,North Bridge,outbound,22
321,2026-01-02T16:00,Riverside,inbound,63
322,2026-01-02T16:00,Riverside,outbound,55
323,2026-01-02T16:00,Market Gate,inbound,45
324,2026-01-02T16:00,Market Gate,outbound,35
325,2026-01-02T16:00,University,inbound,53
326,2026-01-02T16:00,University,outbound,53
327,2026-01-02T16:00,North Bridge,inbound,44
328,2026-01-02T16:00,North Bridge,outbound,34
329,2026-01-02T17:00,Riverside,inbound,62
330,2026-01-02T17:00,Riverside,outbound,66
331,2026-01-02T17:00,Market Gate,inbound,60
332,2026-01-02T17:00,Market Gate,outbound,42
333,2026-01-02T17:00,University,inbound,58
334,2026-01-02T17:00,University,outbound,63
335,2026-01-02T17:00,North Bridge,inbound,50
336,2026-01-02T17:00,North Bridge,outbound,49
337,2026-01-02T18:00,Riverside,inbound,67
338,2026-01-02T18:00,Riverside,outbound,47
339,2026-01-02T18:00,Market Gate,inbound,51
340,2026-01-02T18:00,Market Gate,outbound,49
341,2026-01-02T18:00,University,inbound,60
342,2026-01-02T18:00,University,outbound,53
343,2026-01-02T18:00,North Bridge,inbound,46
344,2026-01-02T18:00,North Bridge,outbound,51
345,2026-01-02T19:00,Riverside,inbound,41
346,2026-01-02T19:00,Riverside,outbound,33
347,2026-01-02T19:00,Market Gate,inbound,41
348,2026-01-02T19:00,Market Gate,outbound,33
349,2026-01-02T19:00,University,inbound,41
350,2026-01-02T19:00,University,outbound,28
351,2026-01-02T19:00,North Bridge,inbound,27
352,2026-01-02T19:00,North Bridge,outbound,31
353,2026-01-02T20:00,Riverside,inbound,30
354,2026-01-02T20:00,Riverside,outbound,33
355,2026-01-02T20:00,Market Gate,inbound,14
356,2026-01-02T20:00,Market Gate,outbound,18
357,2026-01-02T20:00,University,inbound,33
358,2026-01-02T20:00,University,outbound,25
359,2026-01-02T20:00,North Bridge,inbound,26
360,2026-01-02T20:00,North Bridge,outbound,12
361,2026-01-02T21:00,Riverside,inbound,26
362,2026-01-02T21:00,Riverside,outbound,16
363,2026-01-02T21:00,Market Gate,inbound,20
364,2026-01-02T21:00,Market Gate,outbound,23
365,2026-01-02T21:00,University,inbound,20
366,2026-01-02T21:00,University,outbound,20
367,2026-01-02T21:00,North Bridge,inbound,20
368,2026-01-02T21:00,North Bridge,outbound,24
369,2026-01-02T22:00,Riverside,inbound,32
370,2026-01-02T22:00,Riverside,outbound,23
371,2026-01-02T22:00,Market Gate,inbound,17
372,2026-01-02T22:00,Market Gate,outbound,22
373,2026-01-02T22:00,University,inbound,18
374,2026-01-02T22:00,University,outbound,26
375,2026-01-02T22:00,North Bridge,inbound,22
376,2026-01-02T22:00,North Bridge,outbound,15
377,2026-01-02T23:00,Riverside,inbound,18
378,2026-01-02T23:00,Riverside,outbound,23
379,2026-01-02T23:00,Market Gate,inbound,23
380,2026-01-02T23:00,Market Gate,outbound,14
381,2026-01-02T23:00,University,inbound,13
382,2026-01-02T23:00,University,outbound,16
383,2026-01-02T23:00,North Bridge,inbound,10
384,2026-01-02T23:00,North Bridge,outbound,12
385,2026-01-03T00:00,Riverside,inbound,19
386,2026-01-03T00:00,Riverside,outbound,23
387,2026-01-03T00:00,Market Gate,inbound,4
388,2026-01-03T00:00,Market Gate,outbound,10
389,2026-01-03T00:00,University,inbound,27
390,2026-01-03T00:00,University,outbound,20
391,2026-01-03T00:00,North Bridge,inbound,5
392,2026-01-03T00:00,North Bridge,outbound,9
393,2026-01-03T01:00,Riverside,inbound,14
394,2026-01-03T01:00,Riverside,outbound,13
395,2026-01-03T01:00,Market Gate,inbound,14
396,2026-01-03T01:00,Market Gate,outbound,8
397,2026-01-03T01:00,University,inbound,12
398,2026-01-03T01:00,University,outbound,14
399,2026-01-03T01:00,North Bridge,inbound,13
400,2026-01-03T01:00,North Bridge,outbound,7
401,2026-01-03T02:00,Riverside,inbound,10
402,2026-01-03T02:00,Riverside,outbound,16
403,2026-01-03T02:00,Market Gate,inbound,21
404,2026-01-03T02:00,Market Gate,outbound,13
405,2026-01-03T02:00,University,inbound,20
406,2026-01-03T02:00,University,outbound,12
407,2026-01-03T02:00,North Bridge,inbound,11
408,2026-01-03T02:00,North Bridge,outbound,8
409,2026-01-03T03:00,Riverside,inbound,20
410,2026-01-03T03:00,Riverside,outbound,17
411,2026-01-03T03:00,Market Gate,inbound,15
412,2026-01-03T03:00,Market Gate,outbound,7
413,2026-01-03T03:00,University,inbound,13
414,2026-01-03T03:00,University,outbound,11
415,2026-01-03T03:00,North Bridge,inbound,9
416,2026-01-03T03:00,North Bridge,outbound,17
417,2026-01-03T04:00,Riverside,inbound,17
418,2026-01-03T04:00,Riverside,outbound,20
419,2026-01-03T04:00,Market Gate,inbound,19
420,2026-01-03T04:00,Market Gate,outbound,17
421,2026-01-03T04:00,University,inbound,11
422,2026-01-03T04:00,University,outbound,7
423,2026-01-03T04:00,North Bridge,inbound,9
424,2026-01-03T04:00,North Bridge,outbound,16
425,2026-01-03T05:00,Riverside,inbound,26
426,2026-01-03T05:00,Riverside,outbound,17
427,2026-01-03T05:00,Market Gate,inbound,21
428,2026-01-03T05:00,Market Gate,outbound,14
429,2026-01-03T05:00,University,inbound,24
430,2026-01-03T05:00,University,outbound,26
431,2026-01-03T05:00,North Bridge,inbound,13
432,2026-01-03T05:00,North Bridge,outbound,28
433,2026-01-03T06:00,Riverside,inbound,33
434,2026-01-03T06:00,Riverside,outbound,28
435,2026-01-03T06:00,Market Gate,inbound,27
436,2026-01-03T06:00,Market Gate,outbound,30
437,2026-01-03T06:00,University,inbound,31
438,2026-01-03T06:00,University,outbound,33
439,2026-01-03T06:00,North Bridge,inbound,25
440,2026-01-03T06:00,North Bridge,outbound,3
441,2026-01-03T07:00,Riverside,inbound,45
442,2026-01-03T07:00,Riverside,outbound,44
443,2026-01-03T07:00,Market Gate,inbound,31
444,2026-01-03T07:00,Market Gate,outbound,39
445,2026-01-03T07:00,University,inbound,44
446,2026-01-03T07:00,University,outbound,43
447,2026-01-03T07:00,North Bridge,inbound,24
448,2026-01-03T07:00,North Bridge,outbound,33
449,2026-01-03T08:00,Riverside,inbound,52
450,2026-01-03T08:00,Riverside,outbound,41
451,2026-01-03T08:00,Market Gate,inbound,34
452,2026-01-03T08:00,Market Gate,outbound,46
453,2026-01-03T08:00,University,inbound,43
454,2026-01-03T08:00,University,outbound,49
455,2026-01-03T08:00,North Bridge,inbound,33
456,2026-01-03T08:00,North Bridge,outbound,33
457,2026-01-03T09:00,Riverside,inbound,47
458,2026-01-03T09:00,Riverside,outbound,43
459,2026-01-03T09:00,Market Gate,inbound,29
460,2026-01-03T09:00,Market Gate,outbound,36
461,2026-01-03T09:00,University,inbound,46
462,2026-01-03T09:00,University,outbound,40
463,2026-01-03T09:00,North Bridge,inbound,35
464,2026-01-03T09:00,North Bridge,outbound,35
465,2026-01-03T10:00,Riverside,inbound,40
466,2026-01-03T10:00,Riverside,outbound,30
467,2026-01-03T10:00,Market Gate,inbound,27
468,2026-01-03T10:00,Market Gate,outbound,33
469,2026-01-03T10:00,University,inbound,24
470,2026-01-03T10:00,University,outbound,25
471,2026-01-03T10:00,North Bridge,inbound,17
472,2026-01-03T10:00,North Bridge,outbound,27
473,2026-01-03T11:00,Riverside,inbound,18
474,2026-01-03T11:00,Riverside,outbound,21
475,2026-01-03T11:00,Market Gate,inbound,20
476,2026-01-03T11:00,Market Gate,outbound,12
477,2026-01-03T11:00,University,inbound,10
478,2026-01-03T11:00,University,outbound,23
479,2026-01-03T11:00,North Bridge,inbound,23
480,2026-01-03T11:00,North Bridge,outbound,16
481,2026-01-03T12:00,Riverside,inbound,14
482,2026-01-03T12:00,Riverside,outbound,9
483,2026-01-03T12:00,Market Gate,inbound,17
484,2026-01-03T12:00,Market Gate,outbound,15
485,2026-01-03T12:00,University,inbound,12
486,2026-01-03T12:00,University,outbound,10
487,2026-01-03T12:00,North Bridge,inbound,10
488,2026-01-03T12:00,North Bridge,outbound,8
489,2026-01-03T13:00,Riverside,inbound,16
490,2026-01-03T13:00,Riverside,outbound,23
491,2026-01-03T13:00,Market Gate,inbound,23
492,2026-01-03T13:00,Market Gate,outbound,20
493,2026-01-03T13:00,University,inbound,22
494,2026-01-03T13:00,University,outbound,17
495,2026-01-03T13:00,North Bridge,inbound,17
496,2026-01-03T13:00,North Bridge,outbound,16
497,2026-01-03T14:00,Riverside,inbound,22
498,2026-01-03T14:00,Riverside,outbound,22
499,2026-01-03T14:00,Market Gate,inbound,18
500,2026-01-03T14:00,Market Gate,outbound,29
501,2026-01-03T14:00,University,inbound,20
502,2026-01-03T14:00,University,outbound,22
503,2026-01-03T14:00,North Bridge,inbound,21
504,2026-01-03T14:00,North Bridge,outbound,14
505,2026-01-03T15:00,Riverside,inbound,30
506,2026-01-03T15:00,Riverside,outbound,35
507,2026-01-03T15:00,Market Gate,inbound,35
508,2026-01-03T15:00,Market Gate,outbound,32
509,2026-01-03T15:00,University,inbound,34
510,2026-01-03T15:00,University,outbound,27
511,2026-01-03T15:00,North Bridge,inbound,18
512,2026-01-03T15:00,North Bridge,outbound,13
513,2026-01-03T16:00,Riverside,inbound,37
514,2026-01-03T16:00,Riverside,outbound,40
515,2026-01-03T16:00,Market Gate,inbound,43
516,2026-01-03T16:00,Market Gate,outbound,33
517,2026-01-03T16:00,University,inbound,34
518,2026-01-03T16:00,University,outbound,36
519,2026-01-03T16:00,North Bridge,inbound,25
520,2026-01-03T16:00,North Bridge,outbound,25
521,2026-01-03T17:00,Riverside,inbound,55
522,2026-01-03T17:00,Riverside,outbound,38
523,2026-01-03T17:00,Market Gate,inbound,45
524,2026-01-03T17:00,Market Gate,outbound,28
525,2026-01-03T17:00,University,inbound,36
526,2026-01-03T17:00,University,outbound,50
527,2026-01-03T17:00,North Bridge,inbound,24
528,2026-01-03T17:00,North Bridge,outbound,32
529,2026-01-03T18:00,Riverside,inbound,42
530,2026-01-03T18:00,Riverside,outbound,47
531,2026-01-03T18:00,Market Gate,inbound,37
532,2026-01-03T18:00,Market Gate,outbound,27
533,2026-01-03T18:00,University,inbound,38
534,2026-01-03T18:00,University,outbound,37
535,2026-01-03T18:00,North Bridge,inbound,23
536,2026-01-03T18:00,North Bridge,outbound,18
537,2026-01-03T19:00,Riverside,inbound,33
538,2026-01-03T19:00,Riverside,outbound,33
539,2026-01-03T19:00,Market Gate,inbound,35
540,2026-01-03T19:00,Market Gate,outbound,15
541,2026-01-03T19:00,University,inbound,34
542,2026-01-03T19:00,University,outbound,30
543,2026-01-03T19:00,North Bridge,inbound,18
544,2026-01-03T19:00,North Bridge,outbound,28
545,2026-01-03T20:00,Riverside,inbound,25
546,2026-01-03T20:00,Riverside,outbound,22
547,2026-01-03T20:00,Market Gate,inbound,23
548,2026-01-03T20:00,Market Gate,outbound,12
549,2026-01-03T20:00,University,inbound,18
550,2026-01-03T20:00,University,outbound,6
551,2026-01-03T20:00,North Bridge,inbound,19
552,2026-01-03T20:00,North Bridge,outbound,12
553,2026-01-03T21:00,Riverside,inbound,21
554,2026-01-03T21:00,Riverside,outbound,12
555,2026-01-03T21:00,Market Gate,inbound,18
556,2026-01-03T21:00,Market Gate,outbound,9
557,2026-01-03T21:00,University,inbound,19
558,2026-01-03T21:00,University,outbound,23
559,2026-01-03T21:00,North Bridge,inbound,13
560,2026-01-03T21:00,North Bridge,outbound,7
561,2026-01-03T22:00,Riverside,inbound,17
562,2026-01-03T22:00,Riverside,outbound,17
563,2026-01-03T22:00,Market Gate,inbound,5
564,2026-01-03T22:00,Market Gate,outbound,14
565,2026-01-03T22:00,University,inbound,10
566,2026-01-03T22:00,University,outbound,6
567,2026-01-03T22:00,North Bridge,inbound,13
568,2026-01-03T22:00,North Bridge,outbound,10
569,2026-01-03T23:00,Riverside,inbound,21
570,2026-01-03T23:00,Riverside,outbound,10
571,2026-01-03T23:00,Market Gate,inbound,14
572,2026-01-03T23:00,Market Gate,outbound,13
573,2026-01-03T23:00,University,inbound,21
574,2026-01-03T23:00,University,outbound,15
575,2026-01-03T23:00,North Bridge,inbound,12
576,2026-01-03T23:00,North Bridge,outbound,11
577,2026-01-04T00:00,Riverside,inbound,16
578,2026-01-04T00:00,Riverside,outbound,5
579,2026-01-04T00:00,Market Gate,inbound,22
580,2026-01-04T00:00,Market Gate,outbound,16
581,2026-01-04T00:00,University,inbound,13
582,2026-01-04T00:00,University,outbound,12
583,2026-01-04T00:00,North Bridge,inbound,11
584,2026-01-04T00:00,North Bridge,outbound,18
585,2026-01-04T01:00,Riverside,inbound,18
586,2026-01-04T01:00,Riverside,outbound,10
587,2026-01-04T01:00,Market Gate,inbound,9
