site_id,sunlight_hours,cloud_cover_pct,panel_area_m2,panel_age_years,inverter_efficiency,daily_output_kwh
SITE-0034,7.82,12.8,27.1,15.3,0.886,32.8
SITE-0035,10.27,54.3,230.5,5.4,0.884,243.4
SITE-0036,11.83,58.9,127.8,27.5,0.922,148.0
SITE-0037,13.62,40.6,47.0,7.9,0.879,76.4
SITE-0038,2.23,24.4,182.9,15.8,0.918,62.5
SITE-0039,12.5,61.3,228.8,8.6,0.857,269.3
SITE-0040,9.04,53.4,248.9,10.2,0.827,232.9
SITE-0041,9.4,73.9,201.3,9.2,0.989,166.1
SITE-0042,3.88,34.1,142.0,1.4,0.853,74.4
SITE-0043,4.63,51.4,245.4,16.8,0.83,110.2
SITE-0044,12.25,94.7,99.0,13.9,0.949,73.4
SITE-0045,3.34,42.6,227.9,25.8,0.874,88.2
SITE-0046,6.21,53.0,261.2,11.1,0.835,149.6
SITE-0047,10.94,33.8,124.4,21.4,0.849,148.4
SITE-0048,5.54,6.4,292.2,21.1,0.843,224.2
SITE-0049,1.61,2.4,216.3,11.4,0.856,55.6
SITE-0050,1.81,35.4,91.1,11.9,0.906,21.6
SITE-0051,14.0,37.5,154.1,21.1,0.931,248.2
SITE-0052,8.25,59.2,270.1,28.1,0.865,201.9
SITE-0053,9.58,17.3,283.7,16.9,0.968,414.2
SITE-0054,4.87,53.6,256.5,26.4,0.822,97.2
SITE-0055,9.44,68.1,245.9,29.2,0.94,197.6
SITE-0056,4.62,95.9,116.4,7.6,0.909,32.4
SITE-0057,6.69,42.1,176.2,12.1,0.964,155.4
SITE-0058,5.56,76.4,34.0,29.7,0.953,9.3
SITE-0059,3.92,22.9,167.6,1.3,0.922,102.7
SITE-0060,10.91,40.2,179.4,26.8,0.957,244.8
SITE-0061,4.29,24.5,11.2,7.5,0.896,8.8
SITE-0062,1.61,2.4,9.6,5.0,0.87,8.7
SITE-0063,4.1,74.3,139.0,2.4,0.872,46.2
SITE-0064,8.92,55.0,184.2,27.2,0.937,160.3
SITE-0065,6.32,30.8,194.6,29.7,0.875,145.3
SITE-0066,9.59,54.2,274.2,8.1,0.958,285.8
SITE-0067,3.58,87.1,249.6,17.7,0.924,54.9
SITE-0068,5.29,8.1,179.2,9.5,0.823,144.3
SITE-0069,8.36,49.7,28.7,13.1,0.972,27.7
SITE-0070,11.91,37.3,295.1,16.2,0.925,426.9
SITE-0071,8.6,23.6,34.9,19.1,0.88,37.7
SITE-0072,8.76,20.9,278.6,1.4,0.982,413.6
SITE-0073,8.62,74.7,278.1,15.8,0.875,183.1
SITE-0074,10.38,78.0,295.7,24.2,0.879,202.9
SITE-0075,10.53,67.4,255.7,10.7,0.841,219.1
SITE-0076,3.22,22.5,103.5,21.4,0.854,38.1
SITE-0077,7.47,20.0,142.5,6.6,0.834,144.3
SITE-0078,6.86,13.7,264.7,9.9,0.956,303.2
SITE-0079,7.48,86.0,141.2,23.9,0.832,57.2
SITE-0080,13.32,9.5,73.5,1.4,0.911,162.1
SITE-0081,4.59,54.8,264.0,26.0,0.854,101.3
SITE-0082,4.25,83.4,109.8,7.4,0.988,38.6
SITE-0083,2.92,36.7,283.7,8.2,0.836,108.0
SITE-0084,3.98,75.3,14.8,6.3,0.98,11.2
SITE-0085,5.25,23.6,174.2,20.8,0.825,112.1
SITE-0086,7.9,99.8,163.9,6.5,0.826,61.4
SITE-0087,8.58,51.3,28.5,22.2,0.982,29.2
SITE-0088,8.77,10.6,214.6,23.0,0.958,285.8
SITE-0089,5.84,59.4,91.8,0.4,0.842,50.0
SITE-0090,3.89,93.2,270.9,14.6,0.989,59.6
SITE-0091,4.07,95.9,177.4,16.0,0.983,41.3
SITE-0092,12.23,61.6,151.9,25.9,0.935,158.0
SITE-0093,7.37,1.9,256.5,8.5,0.886,320.8
SITE-0094,2.32,13.7,241.8,19.0,0.853,76.2
SITE-0095,10.57,53.5,264.3,0.4,0.953,318.9
SITE-0096,13.54,33.0,44.1,21.8,0.906,68.9
SITE-0097,4.58,67.3,120.8,0.9,0.88,55.3
SITE-0098,2.1,69.4,177.8,3.0,0.828,30.7
SITE-0099,11.68,29.4,198.4,23.4,0.972,303.9
SITE-0100,7.16,23.7,223.6,16.9,0.845,201.3
SITE-0101,4.48,84.7,157.0,16.3,0.935,47.1
SITE-0102,3.48,84.0,291.7,22.1,0.873,63.9
SITE-0103,13.88,73.4,198.3,6.4,0.877,235.4
SITE-0104,7.67,99.5,54.0,23.7,0.981,19.6
SITE-0105,2.36,62.6,176.8,4.8,0.895,41.6
SITE-0106,2.85,33.7,265.6,14.3,0.973,103.1
SITE-0107,3.96,63.3,273.0,15.8,0.911,108.2
SITE-0108,2.6,20.5,226.4,5.1,0.896,95.6
SITE-0109,9.68,84.0,127.4,3.4,0.864,78.7
SITE-0110,9.11,83.8,35.3,25.6,0.923,18.1
SITE-0111,1.58,86.0,141.9,15.8,0.903,12.7
SITE-0112,12.27,1.1,254.5,9.0,0.872,509.0
SITE-0113,12.53,85.9,148.3,5.7,0.961,130.1
SITE-0114,8.9,95.8,13.6,4.7,0.954,5.0
SITE-0115,2.82,2.6,145.7,4.2,0.969,84.4
SITE-0116,11.5,89.3,10.1,12.2,0.983,6.5
SITE-0117,6.28,8.1,221.9,8.0,0.974,247.6
SITE-0118,6.8,75.4,295.9,26.6,0.938,150.6
SITE-0119,7.38,39.5,51.9,10.4,0.948,49.8
SITE-0120,3.21,49.1,131.9,14.3,0.921,43.2
SITE-0121,10.53,35.3,288.1,0.5,0.838,371.1
SITE-0122,7.91,13.7,13.8,28.9,0.886,17.1
SITE-0123,10.45,27.7,258.1,28.2,0.963,341.9
SITE-0124,1.67,60.4,230.1,7.7,0.88,38.0
SITE-0125,12.82,30.9,290.5,28.5,0.954,474.8
SITE-0126,11.35,71.8,173.2,9.1,0.845,149.8
SITE-0127,5.26,26.3,182.8,24.3,0.904,126.0
SITE-0128,12.58,27.2,173.2,15.4,0.954,289.8
SITE-0129,6.69,79.0,161.0,24.0,0.951,80.6
SITE-0130,12.5,43.8,235.4,4.3,0.922,347.5
SITE-0131,2.63,64.4,141.2,27.8,0.841,21.5
SITE-0132,1.55,50.9,241.4,8.9,0.935,40.8
SITE-0133,1.97,88.9,70.4,8.5,0.927,9.6
SITE-0134,13.84,1.1,198.6,18.9,0.938,472.5
SITE-0135,11.11,46.8,217.9,21.9,0.913,252.6
SITE-0136,2.91,67.9,198.9,10.8,0.906,49.8
SITE-0137,3.8,75.1,148.3,17.9,0.969,42.0
SITE-0138,4.94,33.3,152.8,3.6,0.948,107.1
SITE-0139,7.13,8.0,153.1,25.2,0.917,169.0
SITE-0140,8.32,9.8,272.6,10.0,0.976,391.0
SITE-0141,6.36,73.3,163.2,24.0,0.972,81.3
SITE-0142,8.15,13.2,271.3,4.5,0.916,377.1
SITE-0143,3.9,77.1,211.3,5.0,0.906,61.0
SITE-0144,6.36,10.2,103.5,19.2,0.918,98.4
SITE-0145,11.22,4.2,14.3,3.2,0.944,34.2
SITE-0146,1.9,52.6,171.9,27.9,0.915,32.8
SITE-0147,3.14,45.9,69.5,9.1,0.942,25.9
SITE-0148,7.62,34.4,196.7,15.3,0.961,207.1
SITE-0149,7.61,63.4,157.7,7.0,0.862,108.2
SITE-0150,6.3,9.9,76.9,22.7,0.894,74.6
SITE-0151,3.42,2.8,196.1,1.4,0.964,135.1
SITE-0152,8.72,12.9,288.9,23.7,0.964,390.0
SITE-0153,10.92,84.9,31.5,25.4,0.963,18.8
SITE-0154,11.86,90.7,62.1,1.5,0.868,44.5
SITE-0155,3.2,94.3,188.8,17.6,0.964,37.3
SITE-0156,10.87,14.5,288.5,22.4,0.892,443.5
SITE-0157,9.02,16.5,226.7,20.7,0.873,279.2
SITE-0158,2.07,90.6,239.9,4.8,0.938,32.5
SITE-0159,6.55,88.6,201.0,21.7,0.822,67.4
SITE-0160,7.55,6.8,267.1,17.0,0.985,343.0
SITE-0161,4.06,77.3,124.7,11.8,0.945,37.5
SITE-0162,5.16,25.3,281.6,14.5,0.844,196.8
SITE-0163,6.87,60.8,77.9,26.3,0.861,41.2
SITE-0164,4.55,92.5,132.2,14.9,0.925,32.4
SITE-0165,9.46,22.0,247.8,11.0,0.885,334.6
SITE-0166,5.68,61.0,54.1,18.0,0.886,25.3
SITE-0167,2.57,22.2,255.5,29.9,0.908,86.2
SITE-0168,12.96,71.6,281.4,18.8,0.941,304.9
SITE-0169,7.75,78.6,254.3,19.8,0.958,147.4
SITE-0170,9.22,72.8,255.1,14.0,0.981,203.2
SITE-0171,3.47,52.7,271.9,23.1,0.82,84.1
SITE-0172,11.89,95.1,223.0,14.4,0.881,142.3
SITE-0173,13.55,2.2,269.0,12.9,0.918,616.1
SITE-0174,4.51,93.4,207.0,13.6,0.932,55.6
SITE-0175,7.14,88.8,158.2,30.0,0.919,62.0
SITE-0176,12.52,18.2,22.0,21.2,0.859,41.5
SITE-0177,3.46,1.6,120.3,23.9,0.984,68.1
SITE-0178,5.91,86.6,26.1,17.4,0.961,14.0
SITE-0179,13.48,22.4,53.1,23.2,0.912,103.8
SITE-0180,6.55,34.4,59.5,0.9,0.879,55.7
SITE-0181,1.56,12.1,26.0,2.9,0.976,8.9
SITE-0182,11.21,8.2,24.0,11.7,0.858,37.9
SITE-0183,10.26,59.1,207.9,28.0,0.834,176.9
SITE-0184,13.95,30.9,238.9,11.5,0.982,481.5
SITE-0185,7.48,76.7,233.2,24.1,0.959,133.0
SITE-0186,13.6,26.2,84.0,20.9,0.897,141.7
SITE-0187,11.25,26.0,66.3,11.9,0.884,95.5
SITE-0188,13.79,10.1,101.6,24.3,0.903,202.6
SITE-0189,1.6,46.0,44.9,1.9,0.911,7.7
SITE-0190,9.2,46.9,77.0,29.3,0.886,70.7
SITE-0191,7.23,1.9,243.0,25.0,0.828,250.6
SITE-0192,5.22,5.6,231.6,7.9,0.96,210.3
SITE-0193,5.69,27.7,266.2,19.3,0.871,195.1
SITE-0194,9.09,79.9,216.5,15.5,0.853,125.8
SITE-0195,1.84,96.3,40.9,4.7,0.921,0.0
SITE-0196,7.92,58.8,195.3,18.7,0.978,164.3
SITE-0197,10.21,5.6,137.5,0.9,0.861,232.4
SITE-0198,5.34,25.9,239.4,28.0,0.913,163.3
SITE-0199,2.96,28.0,104.2,29.7,0.969,39.9
SITE-0200,6.62,57.9,23.6,16.7,0.906,16.1
SITE-0201,10.08,82.4,250.4,23.1,0.956,182.8
SITE-0202,2.23,76.0,228.5,21.4,0.875,38.4
SITE-0203,10.8,38.2,270.9,1.8,0.828,355.2
SITE-0204,5.03,45.3,179.3,14.9,0.826,97.0
SITE-0205,8.89,81.8,150.9,24.1,0.872,82.2
SITE-0206,5.77,9.6,252.8,22.1,0.924,208.7
SITE-0207,9.57,73.5,86.7,27.6,0.828,54.6
SITE-0208,1.68,28.0,143.3,8.1,0.883,34.1
SITE-0209,12.9,3.7,256.6,18.6,0.826,452.1
SITE-0210,1.3,19.4,161.3,28.8,0.841,25.8
SITE-0211,11.25,43.4,47.8,3.1,0.919,64.5
SITE-0212,1.73,85.2,172.7,7.1,0.96,26.2
SITE-0213,10.4,68.6,124.5,9.0,0.922,119.5
SITE-0214,4.74,93.5,277.8,19.5,0.912,75.5
SITE-0215,4.47,55.0,203.1,22.5,0.98,100.7
SITE-0216,7.46,64.9,177.5,13.3,0.822,108.2
SITE-0217,4.55,99.2,176.8,2.8,0.943,43.6
SITE-0218,11.78,47.9,157.1,1.3,0.898,225.5
SITE-0219,9.13,68.2,148.3,10.3,0.958,132.1
SITE-0220,8.52,70.7,257.9,19.4,0.936,191.1
SITE-0221,7.66,35.2,31.9,6.5,0.888,34.3
SITE-0222,10.06,92.0,153.2,16.5,0.841,92.3
SITE-0223,12.7,74.3,98.5,3.4,0.969,119.6
SITE-0224,10.83,40.5,250.1,1.6,0.877,342.8
SITE-0225,8.42,4.7,49.9,13.1,0.844,59.6
SITE-0226,10.14,8.1,70.2,3.0,0.838,121.1
SITE-0227,4.3,3.9,61.1,13.2,0.886,40.8
SITE-0228,12.76,34.0,123.2,12.8,0.914,202.7
SITE-0229,2.66,24.7,139.1,19.6,0.948,45.2
SITE-0230,9.87,75.6,161.3,12.7,0.956,121.3
SITE-0231,3.49,91.5,185.2,8.2,0.964,45.5
SITE-0232,2.82,38.9,154.9,4.5,0.831,52.7
SITE-0233,3.8,1.1,36.9,15.4,0.955,26.1
SITE-0234,10.24,82.3,33.4,1.8,0.956,26.9
SITE-0235,12.59,63.9,190.2,12.6,0.836,208.0
SITE-0236,6.53,47.5,137.3,26.4,0.935,96.3
SITE-0237,13.22,46.2,19.3,20.2,0.829,24.9
SITE-0238,1.6,93.8,88.2,8.5,0.863,5.3
SITE-0239,13.68,29.7,240.0,19.5,0.856,400.0
SITE-0240,10.57,47.6,235.4,2.6,0.829,272.8
SITE-0241,3.02,88.8,62.9,14.1,0.862,10.4
SITE-0242,10.13,42.9,100.0,26.1,0.964,121.8
SITE-0243,2.87,21.8,116.4,17.5,0.828,40.4
SITE-0244,12.68,52.7,207.3,18.0,0.917,279.0
SITE-0245,13.9,41.0,20.3,5.9,0.863,36.9
SITE-0246,6.35,2.2,29.7,8.5,0.983,36.4
SITE-0247,7.01,18.6,103.1,13.1,0.891,103.2
SITE-0248,8.86,81.0,203.3,16.3,0.854,111.5
SITE-0249,1.68,99.2,210.7,11.3,0.856,12.6
SITE-0250,12.76,36.8,248.2,29.9,0.911,337.2
SITE-0251,8.58,26.2,98.8,23.4,0.929,117.5
SITE-0252,13.49,98.8,295.0,19.0,0.944,194.2
SITE-0253,2.94,39.9,273.4,28.1,0.933,88.8
SITE-0254,13.87,41.0,149.2,18.0,0.86,223.5
SITE-0255,1.5,19.9,117.2,9.0,0.941,25.4
SITE-0256,11.02,4.6,15.7,29.9,0.904,25.6
SITE-0257,8.57,6.3,50.2,26.1,0.821,50.4
SITE-0258,9.82,53.2,229.4,12.2,0.838,219.9
SITE-0259,5.29,41.0,234.6,0.7,0.899,164.0
SITE-0260,8.37,44.3,61.8,14.0,0.984,65.9
SITE-0261,1.69,76.3,153.4,2.0,0.866,16.0
SITE-0262,7.35,74.5,66.3,23.3,0.956,37.4
SITE-0263,10.76,7.0,274.5,12.4,0.978,509.5
SITE-0264,12.52,52.2,95.1,14.9,0.933,128.3
SITE-0265,8.92,66.9,105.7,21.7,0.964,91.8
SITE-0266,2.64,64.3,298.4,0.3,0.887,79.4
SITE-0267,8.01,7.2,140.1,7.5,0.919,195.5
SITE-0268,13.65,58.6,18.0,2.0,0.855,22.7
SITE-0269,1.9,54.7,102.7,24.8,0.881,18.3
SITE-0270,5.41,10.7,40.4,1.9,0.97,37.3
SITE-0271,10.93,94.1,33.4,9.7,0.906,20.0
SITE-0272,8.23,89.0,268.3,21.3,0.843,121.1
SITE-0273,10.83,13.7,137.3,6.9,0.944,248.6
SITE-0274,5.74,32.4,206.9,2.0,0.973,179.4
SITE-0275,7.78,12.7,286.9,20.7,0.881,329.1
SITE-0276,10.15,48.2,155.3,23.1,0.873,157.1
SITE-0277,9.72,16.8,257.3,11.5,0.856,362.2
SITE-0278,8.06,20.4,277.2,1.5,0.848,337.9
SITE-0279,2.38,37.8,54.9,8.0,0.855,14.2
SITE-0280,11.02,27.5,16.9,19.0,0.876,26.2
SITE-0281,5.92,21.6,246.4,26.1,0.844,174.2
SITE-0282,5.68,94.5,296.4,13.3,0.899,92.4
SITE-0283,11.56,35.9,242.5,14.7,0.821,322.4
SITE-0284,12.26,69.5,208.7,24.0,0.955,211.5
SITE-0285,4.87,20.0,270.3,28.9,0.934,177.1
SITE-0286,11.26,58.4,209.6,24.9,0.99,239.2
SITE-0287,3.8,24.4,295.9,0.8,0.931,179.0
SITE-0288,1.82,6.2,164.1,16.0,0.885,56.9
SITE-0289,10.79,71.3,89.1,5.1,0.829,71.3
SITE-0290,9.63,22.5,148.9,4.7,0.938,226.0
SITE-0291,12.79,64.2,171.8,7.7,0.908,202.0
SITE-0292,12.45,42.1,221.5,5.5,0.885,330.6
SITE-0293,5.8,44.0,178.0,18.9,0.956,124.6
SITE-0294,6.8,40.5,107.0,4.4,0.856,91.0
SITE-0295,7.56,56.7,71.6,3.1,0.873,58.3
SITE-0296,9.83,50.4,106.5,2.9,0.976,124.8
SITE-0297,2.67,80.5,205.3,24.3,0.857,33.9
SITE-0298,11.46,6.0,113.3,19.9,0.951,199.1
SITE-0299,1.44,41.2,142.2,12.8,0.976,22.2
SITE-0300,11.3,91.7,18.4,5.2,0.839,10.3
SITE-0301,9.22,75.1,33.1,12.9,0.965,28.1
SITE-0302,7.21,77.6,162.1,15.0,0.95,85.9
SITE-0303,8.52,22.7,189.1,20.8,0.843,216.9
SITE-0304,1.27,66.5,17.4,24.9,0.989,0.0
SITE-0305,5.01,69.6,23.5,22.4,0.846,9.3
SITE-0306,6.11,23.1,238.1,23.9,0.839,180.7
SITE-0307,7.25,26.1,142.4,23.1,0.94,139.2
SITE-0308,2.35,82.9,182.2,6.7,0.87,30.6
SITE-0309,7.75,86.7,171.9,26.2,0.836,70.1
SITE-0310,11.55,83.4,187.6,25.0,0.984,149.7
SITE-0311,7.56,72.8,240.5,22.7,0.855,126.8
SITE-0312,12.22,18.3,292.2,18.3,0.869,487.6
SITE-0313,11.12,7.3,51.3,20.5,0.84,78.6
SITE-0314,10.2,71.1,137.6,0.1,0.916,131.4
SITE-0315,2.05,69.9,279.5,17.4,0.828,39.8
SITE-0316,12.44,13.1,254.3,10.1,0.92,502.2
SITE-0317,10.31,36.3,73.5,9.1,0.929,106.1
SITE-0318,5.03,28.6,233.0,21.9,0.918,158.0
SITE-0319,8.73,23.6,146.2,16.3,0.875,166.3
SITE-0320,2.77,18.4,221.9,5.5,0.961,105.1
SITE-0321,9.45,89.9,203.8,5.3,0.914,120.7
SITE-0322,10.08,29.2,259.7,13.2,0.824,329.3
SITE-0323,6.21,70.3,57.5,4.1,0.836,29.7
SITE-0324,8.97,30.3,47.8,10.5,0.847,56.4
SITE-0325,12.86,43.6,159.9,24.8,0.928,233.6
SITE-0326,3.18,32.0,118.1,4.3,0.865,54.2
SITE-0327,1.06,54.4,20.0,25.5,0.94,0.0
SITE-0328,1.83,35.1,228.9,1.4,0.916,59.5
SITE-0329,10.12,39.9,284.4,12.3,0.968,373.2
SITE-0330,9.85,37.8,169.7,5.3,0.874,214.4
SITE-0331,8.99,90.2,134.2,27.3,0.929,69.0
SITE-0332,4.47,39.1,122.3,24.9,0.916,68.1
SITE-0333,5.86,35.8,161.0,27.3,0.958,114.2
SITE-0334,13.89,24.5,24.6,10.5,0.968,48.7
SITE-0335,7.13,66.5,261.2,13.3,0.865,155.8
SITE-0336,2.52,41.5,186.5,21.3,0.935,52.5
SITE-0337,8.53,15.2,103.0,20.8,0.924,130.3
SITE-0338,11.81,66.1,128.1,17.6,0.904,133.8
SITE-0339,12.79,27.7,37.6,6.3,0.971,71.7
SITE-0340,3.91,85.3,286.4,25.5,0.937,70.4
SITE-0341,10.2,40.1,20.5,21.5,0.863,25.4
SITE-0342,6.76,31.4,276.6,11.0,0.951,259.0
SITE-0343,2.47,78.4,40.9,10.5,0.924,7.4
SITE-0344,13.97,59.8,211.0,2.3,0.979,342.7
SITE-0345,10.73,7.8,15.9,3.2,0.884,22.1
SITE-0346,10.03,2.9,226.6,19.7,0.846,335.0
SITE-0347,7.59,59.6,199.7,0.4,0.827,139.9
SITE-0348,2.83,60.1,18.5,26.9,0.945,0.1
SITE-0349,6.97,78.9,223.7,4.4,0.931,118.4
SITE-0350,8.67,92.9,209.9,12.9,0.896,106.7
SITE-0351,9.12,50.9,147.3,21.9,0.926,140.1
SITE-0352,4.43,94.3,44.0,9.3,0.934,7.3
SITE-0353,12.11,34.4,172.0,17.2,0.975,276.4
SITE-0354,2.37,21.6,261.5,5.8,0.895,97.9
SITE-0355,11.03,22.8,39.7,9.7,0.846,59.8
SITE-0356,5.0,34.6,108.7,22.1,0.862,67.2
SITE-0357,5.45,20.5,46.6,29.8,0.915,28.5
SITE-0358,11.27,37.5,246.7,15.2,0.867,324.8
SITE-0359,12.61,27.9,114.3,22.9,0.946,199.2
SITE-0360,9.81,84.5,21.5,12.8,0.922,13.8
SITE-0361,2.66,15.3,196.0,27.3,0.843,60.6
SITE-0362,6.6,68.7,260.2,16.5,0.874,146.5
SITE-0363,13.12,75.7,298.5,11.4,0.964,325.3
SITE-0364,6.66,77.4,292.3,13.0,0.832,136.8
SITE-0365,13.35,5.9,272.8,12.7,0.948,624.7
SITE-0366,10.65,13.3,218.2,20.8,0.963,357.8
SITE-0367,11.46,61.2,297.1,18.4,0.942,325.0
SITE-0368,6.21,13.1,127.3,18.2,0.897,115.1
SITE-0369,5.96,23.4,46.4,16.5,0.871,36.9
SITE-0370,8.87,84.4,283.3,18.4,0.986,190.0
SITE-0371,7.48,51.7,265.3,27.4,0.974,210.2
SITE-0372,6.94,63.4,97.7,27.8,0.891,53.9
SITE-0373,1.86,8.7,90.1,28.9,0.953,19.5
SITE-0374,4.57,72.9,41.5,4.0,0.888,14.2
SITE-0375,4.02,0.7,37.7,27.3,0.844,16.3
SITE-0376,2.92,53.7,12.2,20.0,0.834,7.1
SITE-0377,8.95,84.5,81.5,11.4,0.954,55.2
SITE-0378,13.17,45.4,230.2,22.5,0.935,352.3
SITE-0379,13.88,14.6,254.3,8.0,0.899,540.1
SITE-0380,10.89,86.3,159.8,19.3,0.835,101.7
SITE-0381,11.33,69.5,82.7,17.6,0.876,73.4
SITE-0382,2.01,74.6,29.1,9.2,0.93,2.2
SITE-0383,11.54,38.7,46.3,2.9,0.977,73.9
SITE-0384,13.29,17.0,190.9,6.1,0.988,430.2
SITE-0385,12.62,5.8,188.2,15.9,0.897,395.2
SITE-0386,3.61,3.1,152.5,15.9,0.842,87.0
SITE-0387,2.34,0.1,276.8,24.6,0.853,92.1
SITE-0388,4.87,77.7,62.2,29.7,0.839,15.0
SITE-0389,6.82,87.7,247.5,25.5,0.971,106.9
SITE-0390,9.59,59.4,233.0,25.8,0.971,216.3
SITE-0391,3.82,95.4,257.2,0.1,0.958,60.3
SITE-0392,1.97,0.1,71.7,5.4,0.96,19.1
SITE-0393,7.21,15.2,9.3,12.4,0.844,6.7
SITE-0394,8.94,70.0,101.6,14.2,0.96,77.3
SITE-0395,9.0,95.1,120.6,8.2,0.88,57.3
SITE-0396,7.43,28.0,75.7,25.1,0.987,87.1
SITE-0397,7.27,36.2,49.3,20.7,0.925,47.8
SITE-0398,8.7,28.3,132.5,21.9,0.898,148.1
SITE-0399,6.05,37.2,53.4,10.7,0.939,36.6
SITE-0400,5.32,64.7,215.1,14.2,0.861,99.7
SITE-0401,5.6,87.2,17.2,3.4,0.898,6.5
SITE-0402,7.01,37.0,257.9,16.0,0.959,242.9
SITE-0403,7.56,28.2,296.0,19.8,0.974,316.2
SITE-0404,1.0,66.1,18.0,10.3,0.909,0.0
SITE-0405,5.02,65.1,153.0,11.4,0.876,67.9
SITE-0406,2.86,81.9,184.3,29.2,0.951,32.0
SITE-0407,9.05,38.8,261.3,1.1,0.981,344.9
SITE-0408,7.53,62.0,126.9,29.5,0.899,87.7
SITE-0409,10.49,50.3,150.3,24.8,0.84,144.5
SITE-0410,8.61,86.4,25.4,6.5,0.88,11.3
SITE-0411,12.92,89.9,299.1,9.5,0.904,238.6
SITE-0412,5.4,33.5,216.1,20.0,0.837,131.4
SITE-0413,3.84,39.6,37.5,17.3,0.967,23.5
SITE-0414,9.96,17.9,185.0,13.0,0.879,277.5
SITE-0415,4.62,41.0,114.5,20.8,0.824,61.6
SITE-0416,4.87,37.3,257.7,24.1,0.964,152.8
SITE-0417,5.07,92.4,264.3,9.2,0.949,81.5
SITE-0418,9.07,71.1,286.0,22.6,0.823,190.0
SITE-0419,9.06,10.3,281.7,25.4,0.894,365.1
SITE-0420,2.82,81.6,209.3,6.4,0.864,44.3
SITE-0421,11.43,99.2,19.7,15.2,0.965,18.1
SITE-0422,12.27,35.3,40.4,27.2,0.933,60.5
SITE-0423,3.65,86.6,36.4,22.4,0.949,8.0
SITE-0424,5.42,64.8,159.0,7.7,0.898,83.1
SITE-0425,9.02,89.1,124.7,1.2,0.964,76.8
SITE-0426,3.59,48.8,253.8,5.3,0.96,114.6
SITE-0427,3.38,50.9,63.2,13.1,0.913,20.3
SITE-0428,2.47,63.8,196.0,18.7,0.865,36.3
SITE-0429,8.06,66.9,265.9,4.6,0.955,209.3
SITE-0430,8.22,84.3,171.3,8.5,0.926,100.8
SITE-0431,11.71,66.2,141.4,11.8,0.93,151.0
SITE-0432,11.3,97.5,173.5,7.9,0.906,104.1
SITE-0433,10.05,44.5,232.3,16.8,0.885,269.9
SITE-0434,13.01,63.8,44.9,2.7,0.905,58.7
SITE-0435,8.35,44.7,209.8,24.6,0.913,196.2
SITE-0436,7.48,47.9,197.6,19.2,0.849,143.0
SITE-0437,10.74,67.7,102.1,3.9,0.889,106.1
SITE-0438,5.92,28.9,133.7,13.7,0.904,112.6
SITE-0439,6.33,74.2,102.9,4.4,0.941,63.1
SITE-0440,8.37,85.2,87.1,9.3,0.859,45.0
SITE-0441,7.82,83.1,284.3,27.9,0.885,141.0
SITE-0442,8.42,11.0,155.5,7.9,0.824,214.7
SITE-0443,11.48,97.9,25.4,0.7,0.868,16.8
SITE-0444,12.62,71.1,72.3,12.2,0.9,77.2
SITE-0445,12.35,50.2,121.9,22.0,0.866,150.4
SITE-0446,9.48,82.3,121.1,18.5,0.837,71.5
SITE-0447,4.98,22.5,233.5,6.1,0.955,189.2
SITE-0448,7.78,51.5,268.2,24.6,0.886,212.0
