route_id,distance_km,parcel_weight_kg,planned_stops,traffic_index,rain_mm,warehouse_queue_min,priority_service,delivery_minutes
R0189,24.81,1.62,4,0.58,0.0,16.33,0,100.5
R0190,23.17,3.63,8,0.355,1.25,2.6,0,84.7
R0191,14.4,6.69,6,0.838,0.0,5.31,1,83.0
R0192,7.45,8.15,10,0.219,5.72,5.73,0,54.7
R0193,13.99,2.99,11,0.434,12.59,1.31,0,81.1
R0194,9.58,2.53,14,0.657,0.0,7.57,1,80.7
R0195,21.17,2.61,1,0.604,0.0,4.02,1,66.4
R0196,8.81,4.82,9,0.51,7.21,11.29,1,66.3
R0197,25.54,5.95,11,0.443,0.0,6.41,1,101.9
R0198,17.91,6.82,10,0.397,0.0,8.6,0,92.5
R0199,19.36,0.69,8,0.787,0.67,6.9,0,112.4
R0200,6.74,0.45,10,0.848,6.19,7.53,1,79.6
R0201,13.89,6.88,8,0.828,0.0,1.41,1,87.5
R0202,31.26,0.57,8,0.407,0.0,3.71,0,107.3
R0203,11.62,0.85,12,0.761,0.29,6.17,1,92.4
R0204,24.6,3.69,7,0.591,0.67,1.35,0,92.9
R0205,2.88,3.82,7,0.522,0.0,2.26,0,35.6
R0206,24.24,0.41,4,0.626,0.0,2.72,1,78.0
R0207,27.95,1.57,1,0.529,0.0,9.08,0,83.5
R0208,25.09,17.06,3,0.443,0.18,14.25,1,94.3
R0209,6.99,3.4,9,0.671,0.0,6.18,0,65.6
R0210,27.57,2.47,11,0.747,0.78,0.72,1,117.7
R0211,6.22,8.49,1,0.661,0.0,1.72,0,28.6
R0212,9.61,2.29,8,0.898,0.0,2.79,0,78.7
R0213,20.21,3.32,11,0.62,0.0,3.18,0,105.1
R0214,3.59,3.27,12,0.749,6.72,12.5,0,74.3
R0215,11.46,5.51,5,0.826,4.59,6.69,0,81.3
R0216,24.17,2.6,3,0.682,11.31,5.5,0,98.6
R0217,6.73,2.48,3,0.384,0.0,3.67,0,42.2
R0218,12.74,3.63,7,0.607,0.0,2.04,0,69.0
R0219,7.95,0.39,11,0.38,3.02,1.38,1,55.7
R0220,1.37,0.85,2,0.493,6.71,0.81,0,21.9
R0221,8.14,7.45,14,0.747,0.0,1.17,0,91.3
R0222,14.41,0.3,14,0.637,0.08,4.51,1,88.1
R0223,18.69,4.74,2,0.898,0.0,6.87,0,99.8
R0224,5.18,8.66,11,0.323,0.0,3.62,0,60.7
R0225,27.2,3.64,12,0.475,0.0,3.31,0,113.8
R0226,1.3,8.2,2,0.502,0.0,11.38,0,30.1
R0227,16.62,2.75,2,0.658,0.0,5.69,0,65.6
R0228,4.35,1.18,13,0.35,0.0,7.37,0,56.7
R0229,23.82,2.33,12,0.784,0.48,12.46,1,149.3
R0230,8.21,2.88,12,0.629,3.01,3.13,0,72.5
R0231,16.02,1.26,13,0.915,0.0,8.13,1,115.0
R0232,28.45,4.16,10,0.636,4.09,6.82,1,121.0
R0233,29.25,4.06,13,0.732,0.52,7.04,0,145.1
R0234,22.39,5.01,4,0.505,0.0,9.16,0,84.8
R0235,26.56,4.58,1,0.827,0.0,2.24,0,109.8
R0236,20.33,4.06,9,0.606,1.72,3.86,0,93.8
R0237,13.64,3.8,9,0.4,0.1,3.91,1,62.7
R0238,12.79,3.88,4,0.703,1.79,6.6,0,64.0
R0239,9.58,2.56,10,0.596,0.0,0.68,0,72.8
R0240,20.72,4.49,6,0.575,5.56,11.58,1,89.0
R0241,3.61,2.54,9,0.789,0.0,4.49,1,53.5
R0242,25.36,2.8,8,0.623,0.0,2.1,1,100.1
R0243,19.58,2.62,9,0.809,2.41,18.33,1,122.9
R0244,25.29,6.52,9,0.779,0.0,21.21,0,154.0
R0245,24.33,3.52,13,0.635,8.4,2.89,0,122.3
R0246,22.91,1.8,4,0.312,0.18,1.77,0,67.9
R0247,11.34,2.66,11,0.483,0.0,4.45,0,72.5
R0248,14.33,1.71,3,0.781,0.0,14.53,0,82.7
R0249,11.8,1.67,6,0.48,0.0,3.83,0,61.7
R0250,13.13,6.76,3,0.487,0.0,20.5,0,69.4
R0251,22.4,5.22,5,0.331,2.0,3.5,0,76.7
R0252,12.75,0.94,9,0.203,0.0,3.38,0,62.8
R0253,18.6,4.79,4,0.473,0.0,14.88,1,78.2
R0254,15.4,3.71,10,0.863,0.11,6.1,1,104.9
R0255,8.82,3.19,8,0.61,4.97,8.92,0,70.2
R0256,8.75,3.99,13,0.515,1.71,0.45,1,62.2
R0257,11.21,4.8,7,0.595,3.14,2.01,0,67.4
R0258,25.26,2.86,9,0.651,0.0,1.93,1,101.8
R0259,27.81,5.11,6,0.392,0.0,3.3,0,88.2
R0260,1.88,13.3,3,0.532,0.0,2.83,0,24.3
R0261,5.54,1.51,7,0.687,0.0,0.77,0,48.9
R0262,28.05,3.22,4,0.752,1.95,8.62,0,133.5
R0263,30.24,8.59,3,0.397,0.0,6.22,0,101.7
R0264,10.13,7.31,5,0.681,1.81,13.41,0,67.3
R0265,17.87,2.26,2,0.881,0.0,7.57,0,94.6
R0266,26.46,3.48,3,0.719,1.12,3.88,0,95.5
R0267,2.54,1.89,7,0.684,0.0,7.7,1,37.8
R0268,22.97,8.91,11,0.404,0.0,3.69,1,91.4
R0269,3.17,2.2,13,0.368,0.0,5.23,0,55.9
R0270,21.93,4.06,7,0.392,0.0,3.31,0,77.9
R0271,23.86,1.99,4,0.331,0.0,9.03,0,76.4
R0272,14.28,6.24,12,0.829,0.0,1.25,0,110.4
R0273,27.1,4.67,9,0.446,1.13,5.73,0,102.6
R0274,25.66,11.12,1,0.853,0.41,3.19,1,107.6
R0275,5.27,2.63,13,0.517,0.0,0.98,0,64.2
R0276,10.91,1.95,3,0.78,0.0,3.82,0,70.6
R0277,16.93,2.21,5,0.543,0.0,8.43,0,70.3
R0278,31.31,2.02,10,0.684,0.0,3.41,0,128.6
R0279,31.73,0.89,2,0.536,0.0,3.79,0,94.6
R0280,9.12,6.54,8,0.721,0.12,15.03,0,75.1
R0281,18.96,3.12,3,0.771,0.0,5.49,0,95.4
R0282,10.93,4.89,11,0.697,1.66,2.86,0,87.8
R0283,3.23,8.45,2,0.678,1.52,10.69,1,31.2
R0284,8.36,2.02,10,0.58,0.0,12.38,0,69.8
R0285,12.06,5.26,8,0.472,0.0,4.74,1,56.5
R0286,27.17,1.59,12,0.828,0.0,8.29,0,164.8
R0287,10.87,3.62,3,0.73,6.0,2.85,0,54.4
R0288,3.35,4.57,10,0.275,7.21,8.6,1,54.1
R0289,23.49,4.04,9,0.615,0.0,1.8,0,104.7
R0290,29.2,2.84,12,0.61,0.0,3.0,1,112.4
R0291,23.18,8.18,5,0.265,2.26,1.83,1,68.2
R0292,11.07,1.89,3,0.639,0.0,3.27,0,43.3
R0293,8.78,4.16,6,0.59,0.0,2.9,0,54.2
R0294,7.39,2.04,12,0.48,2.73,10.64,0,77.2
R0295,8.47,4.01,14,0.765,18.97,0.13,0,110.3
R0296,25.21,10.58,5,0.813,0.0,3.25,1,115.9
R0297,10.0,1.77,3,0.705,0.0,4.15,0,49.1
R0298,12.27,1.99,9,0.716,0.0,1.69,0,76.9
R0299,26.16,3.93,8,0.732,3.77,8.38,0,117.1
R0300,5.42,1.68,9,0.711,2.67,6.05,0,63.9
R0301,23.9,2.03,13,0.776,1.26,5.51,0,147.3
R0302,11.55,8.38,5,0.399,0.0,1.72,0,47.3
R0303,6.29,4.5,2,0.709,1.48,1.89,0,29.7
R0304,9.05,7.09,1,0.859,3.26,1.19,1,46.7
R0305,29.32,7.62,1,0.589,10.11,3.62,0,94.0
R0306,2.45,2.57,12,0.879,1.59,5.24,0,73.2
R0307,5.55,4.73,3,0.294,0.0,4.5,0,32.1
R0308,15.57,0.51,3,0.598,1.08,14.86,0,70.7
R0309,8.37,6.29,12,0.588,0.0,4.7,0,75.5
R0310,19.68,5.64,1,0.604,0.04,4.59,1,63.4
R0311,6.82,2.66,9,0.399,0.0,9.7,0,57.8
R0312,16.77,4.68,8,0.651,2.28,7.84,1,86.0
R0313,1.17,2.56,12,0.787,0.0,7.1,0,66.8
R0314,12.82,0.72,4,0.605,0.0,9.84,1,55.4
R0315,10.25,1.51,2,0.799,0.0,6.0,0,60.5
R0316,11.44,11.14,3,0.552,13.41,6.09,0,68.6
R0317,10.32,2.12,10,0.702,0.0,7.47,0,80.3
R0318,1.03,6.51,7,0.767,0.0,6.12,0,43.3
R0319,31.06,2.68,9,0.719,1.34,1.34,0,120.0
R0320,21.43,2.62,8,0.738,0.0,9.75,0,106.5
R0321,31.66,14.2,3,0.675,0.0,1.4,0,106.4
R0322,15.41,0.49,2,0.447,5.06,4.88,0,57.1
R0323,9.46,11.11,6,0.516,0.0,2.33,1,47.7
R0324,7.49,5.74,8,0.631,0.15,4.04,1,57.0
R0325,19.14,2.84,11,0.628,2.43,1.34,0,95.3
R0326,3.14,11.72,14,0.81,0.0,4.26,0,76.7
R0327,7.8,2.76,13,0.308,0.0,3.02,1,58.7
R0328,30.11,6.11,12,0.418,0.0,11.92,0,122.8
R0329,6.73,4.23,14,0.366,0.7,7.98,1,63.8
R0330,4.19,8.73,14,0.822,0.0,3.02,1,68.8
R0331,9.81,5.23,13,0.793,0.0,5.84,0,101.0
R0332,24.98,2.45,4,0.681,0.0,5.01,0,93.7
R0333,18.44,5.1,14,0.448,0.0,6.01,0,100.5
R0334,10.76,2.06,4,0.531,0.0,10.16,0,57.8
R0335,14.38,3.23,10,0.522,0.0,2.7,0,83.5
R0336,29.43,2.75,10,0.68,0.0,2.6,0,122.8
R0337,10.36,6.31,3,0.753,0.0,11.49,0,70.3
R0338,8.38,1.36,3,0.384,0.0,3.65,0,37.1
R0339,14.65,9.98,6,0.542,0.0,5.5,0,71.4
R0340,15.18,1.57,13,0.613,0.0,0.65,0,93.9
R0341,29.82,5.02,14,0.716,0.0,4.91,0,147.4
R0342,26.82,4.04,2,0.689,0.0,1.54,0,94.1
R0343,20.12,7.56,9,0.75,3.14,5.29,1,109.0
R0344,3.98,2.6,8,0.498,0.0,1.97,1,39.2
R0345,13.93,7.27,3,0.835,0.0,3.52,1,74.2
R0346,4.54,2.68,1,0.721,0.0,5.08,0,32.8
R0347,11.48,4.04,3,0.739,0.0,27.51,0,72.0
R0348,6.65,2.57,1,0.465,0.0,2.48,0,37.7
R0349,1.72,5.44,10,0.903,4.27,5.91,1,58.0
R0350,19.76,0.83,13,0.403,6.33,6.61,0,96.4
R0351,9.8,3.76,10,0.876,0.0,8.61,0,95.2
R0352,11.93,8.11,2,0.685,0.0,1.33,0,51.0
R0353,19.4,2.25,3,0.678,0.0,7.7,0,73.9
R0354,13.44,5.44,13,0.552,0.0,10.12,0,88.9
R0355,8.39,9.58,3,0.703,0.0,3.51,0,42.4
R0356,25.59,8.81,8,0.442,14.85,1.41,1,98.9
R0357,19.67,6.9,7,0.757,0.0,5.54,0,107.4
R0358,2.19,1.55,12,0.828,0.0,8.54,0,68.2
R0359,28.61,3.93,6,0.366,2.83,12.85,0,106.5
R0360,2.01,8.79,7,0.488,0.0,13.79,0,59.3
R0361,10.21,6.42,7,0.449,1.16,5.9,0,69.4
R0362,28.16,0.41,5,0.489,0.04,5.19,0,93.3
R0363,2.44,11.78,12,0.48,0.0,15.71,0,70.8
R0364,10.19,3.28,14,0.496,0.0,5.05,0,79.3
R0365,1.09,5.44,6,0.863,1.92,10.51,0,46.0
R0366,1.56,3.75,8,0.583,0.0,0.81,0,43.1
R0367,18.41,5.56,10,0.92,0.0,11.31,0,124.0
R0368,31.88,5.7,11,0.779,0.0,4.53,0,173.6
R0369,13.23,4.96,3,0.773,0.0,7.68,1,71.9
R0370,16.37,2.33,8,0.57,0.0,4.25,0,80.2
R0371,22.95,2.53,11,0.505,0.0,6.72,1,97.5
R0372,25.13,3.65,1,0.667,1.31,4.0,0,81.2
R0373,15.44,3.04,5,0.524,0.46,7.87,0,71.4
R0374,22.67,0.66,1,0.748,0.0,2.45,0,76.2
R0375,16.18,5.14,8,0.455,0.0,4.1,0,72.0
R0376,30.76,4.94,12,0.526,0.0,1.89,0,121.4
R0377,17.45,11.17,2,0.546,0.0,5.71,1,56.5
R0378,23.33,11.09,11,0.761,0.0,9.16,0,138.3
R0379,13.73,1.31,9,0.86,5.34,3.76,1,90.7
R0380,13.87,3.75,1,0.609,0.0,4.24,0,54.2
R0381,5.92,2.56,13,0.572,5.15,7.79,0,78.8
R0382,13.71,2.89,7,0.637,2.58,6.71,0,69.9
R0383,6.85,2.77,14,0.722,6.23,4.29,0,78.3
R0384,15.06,10.27,12,0.584,5.75,4.04,0,90.0
R0385,8.34,6.01,4,0.763,0.0,6.13,1,55.6
R0386,23.57,5.05,5,0.435,0.27,5.74,1,72.5
R0387,16.51,2.48,6,0.714,3.33,3.12,0,75.1
R0388,11.06,2.86,13,0.737,2.69,3.35,1,80.0
R0389,18.05,3.9,8,0.741,0.0,8.1,0,90.6
R0390,17.53,3.54,14,0.575,0.0,4.93,0,101.2
R0391,19.14,9.02,14,0.603,0.0,3.95,0,116.2
R0392,2.24,3.51,1,0.822,0.0,2.57,1,10.6
R0393,25.83,5.92,9,0.721,0.0,6.08,1,113.8
R0394,28.84,2.97,13,0.621,1.23,3.01,0,124.7
R0395,3.5,4.55,14,0.796,0.0,4.08,0,76.8
R0396,20.3,1.63,10,0.937,2.79,9.33,0,135.4
R0397,20.65,7.28,9,0.735,0.0,4.03,0,101.7
R0398,7.86,7.09,3,0.668,0.0,2.14,0,42.7
R0399,17.17,3.98,2,0.858,0.0,11.13,0,92.9
R0400,7.53,3.33,13,0.694,0.0,4.15,0,71.3
R0401,15.48,5.3,10,0.433,0.0,3.69,1,75.6
R0402,18.81,2.99,3,0.498,4.41,6.07,0,69.6
R0403,31.19,6.14,1,0.354,1.3,4.18,1,81.0
R0404,31.39,11.25,14,0.7,3.06,8.49,0,156.1
R0405,21.23,4.18,6,0.766,2.1,4.74,1,103.7
R0406,9.61,2.08,4,0.775,0.0,11.32,1,59.3
R0407,2.79,4.43,12,0.765,0.0,8.18,0,74.4
R0408,24.36,1.87,3,0.798,3.51,9.44,0,122.4
R0409,22.76,2.58,2,0.517,1.36,6.93,0,74.0
R0410,20.52,3.64,14,0.795,0.0,1.91,0,134.6
R0411,16.45,1.79,3,0.58,0.0,2.5,1,55.2
R0412,23.18,3.39,14,0.569,0.99,5.13,1,118.1
R0413,9.66,5.57,8,0.738,0.98,6.12,0,69.3
R0414,28.36,4.16,3,0.619,6.83,4.02,0,105.9
R0415,9.72,3.22,12,0.85,0.0,4.47,0,95.2
R0416,6.69,1.87,12,0.812,2.98,2.22,0,80.6
R0417,18.62,1.78,14,0.565,1.1,13.66,1,105.4
R0418,9.67,8.4,3,0.568,10.77,2.67,0,53.6
R0419,21.32,5.77,8,0.846,1.11,2.81,1,113.9
R0420,17.35,1.53,11,0.921,0.0,5.39,1,120.7
R0421,3.08,0.81,10,0.733,0.0,1.14,1,48.9
R0422,4.12,6.96,11,0.284,0.0,1.72,1,49.1
R0423,6.39,3.67,12,0.339,0.0,3.73,1,53.7
R0424,18.83,4.76,1,0.662,0.0,20.91,0,81.0
R0425,30.11,0.45,8,0.77,0.0,3.94,0,151.1
R0426,21.58,8.62,13,0.433,0.0,0.95,0,99.7
R0427,30.0,2.43,12,0.877,0.57,8.3,1,170.4
R0428,30.02,4.15,4,0.787,7.55,15.15,0,153.6
R0429,20.98,2.88,6,0.66,8.56,6.25,1,87.7
R0430,7.95,10.74,8,0.615,0.0,9.57,0,64.2
R0431,4.4,0.66,9,0.454,1.06,2.8,0,43.6
R0432,30.3,1.8,11,0.845,0.08,10.2,0,178.1
R0433,30.42,12.19,2,0.583,0.0,8.3,0,95.0
