reading_id,zone,measured_at,temperature_c,humidity_pct
274,north,2026-06-04 20:00:00,22.27,62.1
275,central,2026-06-04 20:00:00,23.63,56.92
276,south,2026-06-04 20:00:00,24.85,52.89
277,north,2026-06-04 21:00:00,21.49,62.62
278,central,2026-06-04 21:00:00,22.61,58.72
279,south,2026-06-04 21:00:00,24.0,56.02
280,north,2026-06-04 22:00:00,20.64,64.05
281,central,2026-06-04 22:00:00,21.84,60.82
282,south,2026-06-04 22:00:00,23.39,56.69
283,north,2026-06-04 23:00:00,19.4,66.36
284,central,2026-06-04 23:00:00,21.37,62.7
285,south,2026-06-04 23:00:00,22.72,58.14
286,north,2026-06-05 00:00:00,19.2,66.8
287,central,2026-06-05 00:00:00,21.1,65.29
288,south,2026-06-05 00:00:00,22.52,59.3
289,north,2026-06-05 01:00:00,19.1,68.38
290,central,2026-06-05 01:00:00,20.27,64.99
291,south,2026-06-05 01:00:00,21.74,60.85
292,north,2026-06-05 02:00:00,18.74,69.03
293,central,2026-06-05 02:00:00,20.28,64.39
294,south,2026-06-05 02:00:00,21.72,60.77
295,north,2026-06-05 03:00:00,19.26,67.35
296,central,2026-06-05 03:00:00,20.03,64.14
297,south,2026-06-05 03:00:00,21.87,59.68
298,north,2026-06-05 04:00:00,18.81,68.15
299,central,2026-06-05 04:00:00,21.15,64.12
300,south,2026-06-05 04:00:00,22.65,59.63
301,north,2026-06-05 05:00:00,19.83,65.98
302,central,2026-06-05 05:00:00,21.65,62.97
303,south,2026-06-05 05:00:00,22.66,60.13
304,north,2026-06-05 06:00:00,20.62,63.46
305,central,2026-06-05 06:00:00,21.92,61.5
306,south,2026-06-05 06:00:00,23.07,58.38
307,north,2026-06-05 07:00:00,20.97,62.41
308,central,2026-06-05 07:00:00,22.69,58.72
309,south,2026-06-05 07:00:00,23.78,55.03
310,north,2026-06-05 08:00:00,22.04,62.03
311,central,2026-06-05 08:00:00,23.4,56.71
312,south,2026-06-05 08:00:00,24.61,54.56
313,north,2026-06-05 09:00:00,22.86,59.91
314,central,2026-06-05 09:00:00,23.91,55.29
315,south,2026-06-05 09:00:00,26.01,52.79
316,north,2026-06-05 10:00:00,23.64,56.96
317,central,2026-06-05 10:00:00,24.87,54.48
318,south,2026-06-05 10:00:00,26.18,49.37
319,north,2026-06-05 11:00:00,24.14,55.64
320,central,2026-06-05 11:00:00,25.94,53.26
321,south,2026-06-05 11:00:00,27.09,48.96
322,north,2026-06-05 12:00:00,24.4,55.06
323,central,2026-06-05 12:00:00,26.64,51.43
324,south,2026-06-05 12:00:00,27.94,48.56
325,north,2026-06-05 13:00:00,25.36,53.5
326,central,2026-06-05 13:00:00,26.65,52.25
327,south,2026-06-05 13:00:00,28.48,47.65
328,north,2026-06-05 14:00:00,25.61,54.92
329,central,2026-06-05 14:00:00,26.59,50.27
330,south,2026-06-05 14:00:00,27.91,46.15
331,north,2026-06-05 15:00:00,25.18,54.15
332,central,2026-06-05 15:00:00,26.51,50.78
333,south,2026-06-05 15:00:00,28.06,46.14
334,north,2026-06-05 16:00:00,24.69,54.26
335,central,2026-06-05 16:00:00,26.32,51.7
336,south,2026-06-05 16:00:00,27.99,48.42
337,north,2026-06-05 17:00:00,24.5,55.59
338,central,2026-06-05 17:00:00,26.16,51.95
339,south,2026-06-05 17:00:00,27.42,49.6
340,north,2026-06-05 18:00:00,23.77,56.49
341,central,2026-06-05 18:00:00,25.33,53.24
342,south,2026-06-05 18:00:00,26.16,51.22
343,north,2026-06-05 19:00:00,23.14,59.92
344,central,2026-06-05 19:00:00,24.61,55.13
345,south,2026-06-05 19:00:00,25.75,53.03
346,north,2026-06-05 20:00:00,22.0,62.26
347,central,2026-06-05 20:00:00,23.23,57.75
348,south,2026-06-05 20:00:00,24.93,54.2
349,north,2026-06-05 21:00:00,21.48,63.38
350,central,2026-06-05 21:00:00,22.64,58.72
351,south,2026-06-05 21:00:00,24.01,54.99
352,north,2026-06-05 22:00:00,20.54,65.71
353,central,2026-06-05 22:00:00,21.83,61.5
354,south,2026-06-05 22:00:00,23.46,58.54
355,north,2026-06-05 23:00:00,19.66,66.52
356,central,2026-06-05 23:00:00,21.6,62.32
357,south,2026-06-05 23:00:00,22.47,60.14
358,north,2026-06-06 00:00:00,19.65,67.55
359,central,2026-06-06 00:00:00,20.64,64.96
360,south,2026-06-06 00:00:00,21.87,60.88
361,north,2026-06-06 01:00:00,18.51,67.86
362,central,2026-06-06 01:00:00,20.42,65.82
363,south,2026-06-06 01:00:00,21.66,60.02
364,north,2026-06-06 02:00:00,18.49,68.8
365,central,2026-06-06 02:00:00,20.09,66.23
366,south,2026-06-06 02:00:00,21.9,60.13
367,north,2026-06-06 03:00:00,18.65,68.47
368,central,2026-06-06 03:00:00,20.34,65.93
369,south,2026-06-06 03:00:00,21.51,59.48
370,north,2026-06-06 04:00:00,19.45,65.96
371,central,2026-06-06 04:00:00,20.71,63.32
372,south,2026-06-06 04:00:00,22.3,59.27
373,north,2026-06-06 05:00:00,19.96,67.04
374,central,2026-06-06 05:00:00,20.9,62.76
375,south,2026-06-06 05:00:00,22.8,59.28
376,north,2026-06-06 06:00:00,20.13,64.01
377,central,2026-06-06 06:00:00,21.87,61.28
378,south,2026-06-06 06:00:00,23.66,56.96
379,north,2026-06-06 07:00:00,20.99,63.84
380,central,2026-06-06 07:00:00,22.58,58.52
381,south,2026-06-06 07:00:00,24.27,55.63
382,north,2026-06-06 08:00:00,21.59,61.5
383,central,2026-06-06 08:00:00,23.29,58.3
384,south,2026-06-06 08:00:00,25.29,53.61
385,north,2026-06-06 09:00:00,23.02,58.0
386,central,2026-06-06 09:00:00,24.67,57.28
387,south,2026-06-06 09:00:00,26.11,51.65
388,north,2026-06-06 10:00:00,23.89,57.47
389,central,2026-06-06 10:00:00,25.27,55.64
390,south,2026-06-06 10:00:00,26.64,51.78
391,north,2026-06-06 11:00:00,24.57,55.37
392,central,2026-06-06 11:00:00,25.54,52.98
393,south,2026-06-06 11:00:00,27.48,49.36
394,north,2026-06-06 12:00:00,24.67,54.91
395,central,2026-06-06 12:00:00,26.24,51.21
396,south,2026-06-06 12:00:00,27.49,46.81
397,north,2026-06-06 13:00:00,25.2,53.88
398,central,2026-06-06 13:00:00,26.22,52.27
399,south,2026-06-06 13:00:00,28.48,46.53
400,north,2026-06-06 14:00:00,25.01,54.49
401,central,2026-06-06 14:00:00,26.62,51.65
402,south,2026-06-06 14:00:00,28.17,48.2
403,north,2026-06-06 15:00:00,25.19,53.48
404,central,2026-06-06 15:00:00,26.8,50.09
405,south,2026-06-06 15:00:00,28.49,48.08
406,north,2026-06-06 16:00:00,24.49,54.03
407,central,2026-06-06 16:00:00,26.13,52.33
408,south,2026-06-06 16:00:00,27.54,47.05
409,north,2026-06-06 17:00:00,24.0,55.13
410,central,2026-06-06 17:00:00,25.62,53.3
411,south,2026-06-06 17:00:00,27.64,48.31
412,north,2026-06-06 18:00:00,24.04,57.8
413,central,2026-06-06 18:00:00,25.14,53.39
414,south,2026-06-06 18:00:00,26.79,49.51
415,north,2026-06-06 19:00:00,22.48,59.72
416,central,2026-06-06 19:00:00,24.71,56.76
417,south,2026-06-06 19:00:00,25.81,52.01
418,north,2026-06-06 20:00:00,22.28,61.97
419,central,2026-06-06 20:00:00,23.77,57.02
420,south,2026-06-06 20:00:00,25.44,53.56
421,north,2026-06-06 21:00:00,21.25,63.81
422,central,2026-06-06 21:00:00,22.53,60.44
423,south,2026-06-06 21:00:00,24.01,56.37
424,north,2026-06-06 22:00:00,20.59,65.57
425,central,2026-06-06 22:00:00,22.34,60.25
426,south,2026-06-06 22:00:00,23.49,57.67
427,north,2026-06-06 23:00:00,19.5,66.32
428,central,2026-06-06 23:00:00,20.87,62.43
429,south,2026-06-06 23:00:00,22.34,57.78
430,north,2026-06-07 00:00:00,19.26,67.78
431,central,2026-06-07 00:00:00,20.48,64.61
432,south,2026-06-07 00:00:00,22.33,60.51
433,north,2026-06-07 01:00:00,19.22,67.35
434,central,2026-06-07 01:00:00,20.01,63.74
435,south,2026-06-07 01:00:00,22.24,61.32
436,north,2026-06-07 02:00:00,18.57,68.54
437,central,2026-06-07 02:00:00,20.19,64.19
438,south,2026-06-07 02:00:00,21.79,61.41
439,north,2026-06-07 03:00:00,18.59,68.51
440,central,2026-06-07 03:00:00,20.55,65.03
441,south,2026-06-07 03:00:00,22.0,60.96
442,north,2026-06-07 04:00:00,19.38,67.92
443,central,2026-06-07 04:00:00,20.82,64.21
444,south,2026-06-07 04:00:00,22.61,59.17
445,north,2026-06-07 05:00:00,20.18,65.48
446,central,2026-06-07 05:00:00,21.44,64.02
447,south,2026-06-07 05:00:00,23.15,58.51
448,north,2026-06-07 06:00:00,20.5,63.38
449,central,2026-06-07 06:00:00,21.7,61.08
450,south,2026-06-07 06:00:00,23.45,58.19
451,north,2026-06-07 07:00:00,21.44,61.91
452,central,2026-06-07 07:00:00,22.86,59.52
453,south,2026-06-07 07:00:00,24.46,54.96
454,north,2026-06-07 08:00:00,22.33,59.79
455,central,2026-06-07 08:00:00,23.81,58.34
456,south,2026-06-07 08:00:00,25.2,54.46
457,north,2026-06-07 09:00:00,22.53,57.96
458,central,2026-06-07 09:00:00,24.54,55.58
459,south,2026-06-07 09:00:00,25.9,52.06
460,north,2026-06-07 10:00:00,23.58,57.47
461,central,2026-06-07 10:00:00,25.22,54.66
462,south,2026-06-07 10:00:00,26.47,50.21
463,north,2026-06-07 11:00:00,24.5,57.24
464,central,2026-06-07 11:00:00,25.85,51.82
465,south,2026-06-07 11:00:00,26.91,50.05
466,north,2026-06-07 12:00:00,25.14,56.22
467,central,2026-06-07 12:00:00,26.32,52.28
468,south,2026-06-07 12:00:00,27.79,49.1
469,north,2026-06-07 13:00:00,24.85,55.28
470,central,2026-06-07 13:00:00,26.94,51.59
471,south,2026-06-07 13:00:00,28.38,47.8
472,north,2026-06-07 14:00:00,25.04,52.76
473,central,2026-06-07 14:00:00,26.52,51.21
474,south,2026-06-07 14:00:00,28.57,47.8
475,north,2026-06-07 15:00:00,24.91,54.31
476,central,2026-06-07 15:00:00,26.88,52.29
477,south,2026-06-07 15:00:00,28.24,47.83
478,north,2026-06-07 16:00:00,24.56,55.12
479,central,2026-06-07 16:00:00,26.55,52.02
480,south,2026-06-07 16:00:00,27.74,47.39
481,north,2026-06-07 17:00:00,24.68,56.4
482,central,2026-06-07 17:00:00,25.66,53.64
483,south,2026-06-07 17:00:00,27.63,49.04
484,north,2026-06-07 18:00:00,23.56,56.68
485,central,2026-06-07 18:00:00,25.3,54.81
486,south,2026-06-07 18:00:00,26.89,51.68
487,north,2026-06-07 19:00:00,22.99,60.33
488,central,2026-06-07 19:00:00,24.46,57.07
489,south,2026-06-07 19:00:00,25.4,53.14
490,north,2026-06-07 20:00:00,21.67,61.05
491,central,2026-06-07 20:00:00,23.52,58.19
492,south,2026-06-07 20:00:00,24.64,54.87
493,north,2026-06-07 21:00:00,20.92,63.36
494,central,2026-06-07 21:00:00,22.34,59.76
495,south,2026-06-07 21:00:00,24.39,56.73
496,north,2026-06-07 22:00:00,20.51,65.29
497,central,2026-06-07 22:00:00,21.57,60.62
498,south,2026-06-07 22:00:00,22.96,57.79
499,north,2026-06-07 23:00:00,19.65,65.39
500,south,2026-06-07 23:00:00,22.65,59.55
501,north,2026-06-08 00:00:00,19.42,68.17
502,central,2026-06-08 00:00:00,20.37,64.57
503,south,2026-06-08 00:00:00,21.93,60.64
504,north,2026-06-08 01:00:00,18.64,67.45
505,central,2026-06-08 01:00:00,20.68,65.13
506,south,2026-06-08 01:00:00,21.78,60.17
507,north,2026-06-08 02:00:00,18.75,68.07
508,central,2026-06-08 02:00:00,20.12,66.08
509,south,2026-06-08 02:00:00,21.84,61.7
510,north,2026-06-08 03:00:00,19.32,67.31
511,central,2026-06-08 03:00:00,20.2,63.96
512,south,2026-06-08 03:00:00,21.67,60.82
513,north,2026-06-08 04:00:00,18.78,67.37
514,central,2026-06-08 04:00:00,20.35,63.43
515,south,2026-06-08 04:00:00,21.87,58.83
516,north,2026-06-08 05:00:00,19.9,65.13
517,central,2026-06-08 05:00:00,21.32,62.09
518,south,2026-06-08 05:00:00,22.45,57.74
519,north,2026-06-08 06:00:00,20.03,65.63
520,central,2026-06-08 06:00:00,22.01,61.75
521,south,2026-06-08 06:00:00,23.04,58.07
522,north,2026-06-08 07:00:00,20.92,63.2
523,central,2026-06-08 07:00:00,22.29,60.53
524,south,2026-06-08 07:00:00,23.97,56.5
525,north,2026-06-08 08:00:00,21.61,60.61
526,central,2026-06-08 08:00:00,23.57,59.24
527,south,2026-06-08 08:00:00,24.68,53.66
528,north,2026-06-08 09:00:00,22.89,60.1
529,central,2026-06-08 09:00:00,24.33,56.4
530,south,2026-06-08 09:00:00,25.52,51.98
531,north,2026-06-08 10:00:00,23.61,58.33
532,central,2026-06-08 10:00:00,25.53,53.46
533,south,2026-06-08 10:00:00,26.54,49.7
534,north,2026-06-08 11:00:00,24.5,55.83
535,central,2026-06-08 11:00:00,26.09,52.87
536,south,2026-06-08 11:00:00,27.48,50.01
537,north,2026-06-08 12:00:00,25.08,54.3
538,central,2026-06-08 12:00:00,25.86,51.97
539,south,2026-06-08 12:00:00,28.02,48.42
540,north,2026-06-08 13:00:00,24.66,54.48
541,central,2026-06-08 13:00:00,26.16,51.8
542,south,2026-06-08 13:00:00,28.03,46.56
543,north,2026-06-08 14:00:00,25.33,52.96
544,central,2026-06-08 14:00:00,26.96,51.97
545,south,2026-06-08 14:00:00,28.06,48.05
546,north,2026-06-08 15:00:00,25.13,54.74
547,central,2026-06-08 15:00:00,26.6,51.1
548,south,2026-06-08 15:00:00,27.87,48.05
549,north,2026-06-08 16:00:00,24.38,56.0
550,central,2026-06-08 16:00:00,26.6,52.73
551,south,2026-06-08 16:00:00,27.89,48.63
552,north,2026-06-08 17:00:00,24.36,56.26
553,central,2026-06-08 17:00:00,25.38,52.88
554,south,2026-06-08 17:00:00,27.02,48.65
555,north,2026-06-08 18:00:00,23.72,56.46
556,central,2026-06-08 18:00:00,24.75,55.5
557,south,2026-06-08 18:00:00,26.4,50.81
