date,help_requests
2024-11-12,126
2024-11-13,115
2024-11-14,101
2024-11-15,107
2024-11-16,97
2024-11-17,95
2024-11-18,143
2024-11-19,131
2024-11-20,126
2024-11-21,122
2024-11-22,116
2024-11-23,101
2024-11-24,92
2024-11-25,133
2024-11-26,123
2024-11-27,125
2024-11-28,122
2024-11-29,119
2024-11-30,103
2024-12-01,101
2024-12-02,137
2024-12-03,130
2024-12-04,127
2024-12-05,119
2024-12-06,112
2024-12-07,100
2024-12-08,94
2024-12-09,134
2024-12-10,128
2024-12-11,121
2024-12-12,118
2024-12-13,117
2024-12-14,101
2024-12-15,91
2024-12-16,128
2024-12-17,118
2024-12-18,117
2024-12-19,114
2024-12-20,118
2024-12-21,92
2024-12-22,91
2024-12-23,132
2024-12-24,121
2024-12-25,117
2024-12-26,117
2024-12-27,109
2024-12-28,92
2024-12-29,81
2024-12-30,125
2024-12-31,120
2025-01-01,104
2025-01-02,102
2025-01-03,109
2025-01-04,87
2025-01-05,85
2025-01-06,131
2025-01-07,127
2025-01-08,122
2025-01-09,121
2025-01-10,115
2025-01-11,94
2025-01-12,88
2025-01-13,136
2025-01-14,123
2025-01-15,120
2025-01-16,118
2025-01-17,117
2025-01-18,95
2025-01-19,82
2025-01-20,137
2025-01-21,131
2025-01-22,129
2025-01-23,118
2025-01-24,117
2025-01-25,97
2025-01-26,93
2025-01-27,138
2025-01-28,135
2025-01-29,119
2025-01-30,119
2025-01-31,122
2025-02-01,106
2025-02-02,90
2025-02-03,132
2025-02-04,122
2025-02-05,118
2025-02-06,111
2025-02-07,113
2025-02-08,98
2025-02-09,93
2025-02-10,131
2025-02-11,131
2025-02-12,122
2025-02-13,119
2025-02-14,119
2025-02-15,100
2025-02-16,95
2025-02-17,147
2025-02-18,131
2025-02-19,122
2025-02-20,116
2025-02-21,114
2025-02-22,91
2025-02-23,91
