reading_id,vibration_rms_mm_s,motor_temp_c,load_pct,current_variation_a,acoustic_kurtosis,days_since_service,recent_auto_stops,ambient_temp_c,urgent_inspection
EQ-00042,6.83,60.2,22.5,0.23,2.09,39,1,19.2,0
EQ-00043,2.18,52.8,35.3,3.62,7.4,466,1,21.6,0
EQ-00044,1.87,75.0,70.7,1.29,1.05,441,0,18.2,0
EQ-00045,3.68,51.7,38.6,2.4,4.73,379,1,24.8,0
EQ-00046,1.0,65.0,52.7,1.1,2.05,528,1,12.9,0
EQ-00047,6.38,91.8,75.9,1.17,4.49,527,1,21.0,1
EQ-00048,7.16,85.2,84.3,1.03,5.85,488,0,31.0,1
EQ-00049,1.55,50.0,68.2,0.26,1.69,70,0,28.6,0
EQ-00050,2.95,63.2,52.5,0.62,2.81,193,2,22.4,0
EQ-00051,1.49,64.5,80.4,1.99,1.76,200,1,10.0,0
EQ-00052,3.71,68.2,90.9,1.97,1.36,238,0,23.6,0
EQ-00053,0.83,78.6,80.9,0.14,2.82,53,0,26.6,0
EQ-00054,0.38,49.1,37.3,2.46,1.21,11,0,22.1,0
EQ-00055,2.21,57.5,96.2,3.86,3.27,330,1,21.5,0
EQ-00056,3.55,63.3,57.2,1.95,1.74,370,0,27.9,0
EQ-00057,2.65,71.4,95.7,0.73,1.05,404,0,22.4,0
EQ-00058,2.72,45.5,80.7,1.29,3.33,125,2,17.5,0
EQ-00059,2.24,49.2,49.5,1.41,2.63,252,0,18.4,0
EQ-00060,4.51,71.3,80.1,0.14,2.6,411,0,12.8,0
EQ-00061,2.02,49.6,86.0,0.89,2.09,334,0,23.4,0
EQ-00062,1.33,45.7,60.1,0.76,3.27,502,1,25.0,0
EQ-00063,1.38,63.4,31.0,0.39,3.0,244,0,23.5,0
EQ-00064,3.56,63.4,45.4,0.78,1.61,181,0,27.1,0
EQ-00065,1.45,67.3,60.2,0.74,1.05,276,1,11.4,0
EQ-00066,2.45,79.2,69.2,2.28,3.64,503,0,20.1,0
EQ-00067,2.19,66.3,51.2,0.1,5.37,242,0,20.5,0
EQ-00068,3.36,52.9,22.1,1.33,1.85,432,0,24.5,0
EQ-00069,1.83,68.6,23.7,2.17,3.11,77,1,29.1,0
EQ-00070,4.13,48.8,97.8,2.98,2.55,392,0,31.1,0
EQ-00071,3.05,61.8,64.3,0.53,3.17,388,1,33.8,0
EQ-00072,2.13,74.6,99.9,0.68,2.23,103,0,33.2,0
EQ-00073,2.29,58.9,36.4,2.36,2.69,172,2,28.8,0
EQ-00074,0.64,98.8,65.1,0.33,2.3,490,1,18.5,0
EQ-00075,9.98,71.9,95.2,0.66,2.23,61,1,22.5,0
EQ-00076,1.68,66.3,93.8,3.58,2.97,255,0,16.4,0
EQ-00077,2.01,68.4,72.6,1.84,2.46,481,1,29.3,0
EQ-00078,1.18,81.7,67.7,0.92,2.36,192,0,25.3,0
EQ-00079,0.28,70.5,31.9,4.26,1.05,511,1,26.3,0
EQ-00080,1.02,78.8,58.7,2.88,1.96,346,1,16.7,0
EQ-00081,1.55,53.9,63.0,0.78,1.8,156,1,29.2,0
EQ-00082,4.99,62.0,30.9,2.04,1.54,47,0,25.3,0
EQ-00083,4.69,73.8,90.1,1.76,3.85,8,2,20.9,0
EQ-00084,2.24,66.8,91.1,2.42,1.06,320,0,20.1,1
EQ-00085,1.89,82.3,83.7,0.84,1.41,251,0,17.3,0
EQ-00086,4.72,72.8,92.0,0.89,3.07,479,0,24.6,0
EQ-00087,5.91,47.6,71.7,2.58,3.39,16,0,19.1,0
EQ-00088,5.28,65.0,55.8,0.85,4.16,50,1,24.3,0
EQ-00089,1.22,58.2,95.2,1.8,3.87,217,1,31.1,0
EQ-00090,6.2,51.0,23.2,0.54,1.68,48,1,34.0,0
EQ-00091,1.56,59.7,61.7,0.84,6.08,326,1,20.0,0
EQ-00092,5.38,71.9,45.1,0.84,2.35,231,0,20.5,0
EQ-00093,1.92,50.4,34.1,0.27,2.85,102,1,29.2,0
EQ-00094,4.86,69.8,38.1,0.93,2.98,138,2,24.3,0
EQ-00095,1.79,75.0,60.8,0.1,5.04,240,0,22.6,0
EQ-00096,4.13,67.4,85.2,2.02,2.06,276,1,22.3,0
EQ-00097,5.55,56.3,85.7,0.71,1.52,498,1,8.7,0
EQ-00098,1.33,50.3,31.9,2.39,1.05,453,0,12.6,0
EQ-00099,1.38,75.6,40.2,0.94,1.66,460,1,27.4,0
EQ-00100,0.73,56.4,90.3,1.11,2.33,123,0,19.6,0
EQ-00101,1.26,53.7,72.7,0.96,1.96,332,3,26.1,0
EQ-00102,1.31,65.8,64.5,2.63,2.83,352,0,25.2,0
EQ-00103,5.85,90.0,38.9,1.16,3.52,264,1,28.7,0
EQ-00104,6.06,71.8,49.7,0.91,5.76,366,2,26.8,0
EQ-00105,3.11,56.2,29.8,1.63,3.5,5,0,36.9,0
EQ-00106,3.08,69.3,71.7,0.35,2.49,321,0,26.9,0
EQ-00107,1.84,76.1,58.4,0.79,3.13,332,0,14.8,1
EQ-00108,0.98,71.3,43.2,2.14,2.6,8,2,26.0,0
EQ-00109,8.27,36.0,73.2,2.05,1.73,248,0,18.5,0
EQ-00110,6.22,57.3,89.5,1.0,1.74,157,1,22.2,1
EQ-00111,1.41,67.3,90.1,2.06,4.53,165,1,27.4,0
EQ-00112,4.4,82.8,26.2,0.75,1.05,193,0,26.3,0
EQ-00113,1.14,76.5,48.3,1.76,2.86,96,1,14.9,0
EQ-00114,2.19,55.8,49.9,1.12,1.34,42,0,24.7,0
EQ-00115,4.16,85.9,79.1,0.96,2.28,446,1,25.5,0
EQ-00116,2.18,53.0,74.1,2.03,2.73,277,1,24.0,0
EQ-00117,2.12,66.8,28.1,0.78,1.49,329,0,11.1,0
EQ-00118,5.95,57.4,29.6,0.14,2.49,5,0,25.7,0
EQ-00119,6.44,53.1,68.4,3.1,3.12,403,0,14.9,0
EQ-00120,4.74,50.8,78.9,2.51,2.58,391,2,27.0,0
EQ-00121,2.18,58.3,57.2,2.58,2.47,433,0,25.0,0
EQ-00122,5.11,78.3,54.0,1.51,2.55,520,0,20.9,0
EQ-00123,1.54,59.0,59.5,1.55,1.44,287,1,27.8,0
EQ-00124,1.04,63.2,41.4,0.47,2.75,283,1,18.3,0
EQ-00125,2.06,54.8,71.8,1.89,2.42,345,1,25.7,0
EQ-00126,3.79,59.7,40.7,0.51,2.4,321,1,27.2,0
EQ-00127,1.23,65.4,43.3,2.89,2.13,66,2,35.3,0
EQ-00128,3.94,75.3,48.3,0.25,2.02,447,1,25.5,0
EQ-00129,1.61,58.8,26.3,0.53,1.68,506,0,22.6,0
EQ-00130,6.06,74.8,42.5,0.24,4.16,94,0,27.2,0
EQ-00131,8.54,76.4,27.9,3.3,6.41,344,1,33.3,0
EQ-00132,1.12,67.1,86.9,1.01,3.14,76,2,23.3,0
EQ-00133,1.7,58.3,89.6,1.93,2.76,408,0,27.3,0
EQ-00134,5.72,67.3,49.0,1.97,3.51,382,2,29.6,0
EQ-00135,4.76,72.2,61.8,0.98,5.05,289,0,17.4,0
EQ-00136,2.71,62.3,52.2,0.75,4.55,427,2,25.3,0
EQ-00137,1.44,66.3,92.8,4.54,3.59,385,1,30.5,1
EQ-00138,1.5,75.9,45.5,0.24,4.14,447,1,36.1,0
EQ-00139,1.7,57.8,90.1,0.42,3.64,39,1,18.0,0
EQ-00140,2.1,87.7,36.0,2.14,3.32,127,1,31.5,0
EQ-00141,4.01,60.9,29.6,5.8,1.72,425,2,22.4,0
EQ-00142,1.33,56.7,64.0,1.0,1.43,214,1,20.1,0
EQ-00143,1.89,72.2,31.2,0.88,1.72,114,0,32.3,0
EQ-00144,1.28,68.8,79.9,0.3,2.1,248,0,24.1,0
EQ-00145,7.65,49.4,65.4,0.23,5.16,276,0,28.2,0
EQ-00146,9.71,48.7,38.5,0.97,1.45,492,0,26.1,0
EQ-00147,6.57,65.8,27.9,0.12,1.54,380,0,21.1,0
EQ-00148,0.97,76.8,51.4,1.45,3.66,269,0,22.7,0
EQ-00149,5.2,83.6,65.8,1.36,3.95,246,0,19.7,0
EQ-00150,1.8,52.6,53.8,0.61,3.39,85,1,19.5,0
EQ-00151,2.46,73.6,64.3,4.16,2.25,128,0,23.8,0
EQ-00152,1.74,64.6,44.4,2.2,3.24,218,2,24.0,0
EQ-00153,1.36,61.9,24.1,2.24,3.76,149,0,25.6,0
EQ-00154,2.7,49.5,91.1,1.7,1.49,396,0,22.0,0
EQ-00155,0.53,55.3,39.2,0.98,3.17,289,0,22.6,0
EQ-00156,1.14,80.3,27.7,2.28,5.91,512,0,26.0,0
EQ-00157,1.9,77.6,47.6,1.17,2.44,494,1,18.3,0
EQ-00158,2.37,79.9,56.8,3.37,3.81,307,0,27.8,1
EQ-00159,5.35,53.4,87.7,0.5,3.97,513,0,23.7,0
EQ-00160,1.05,46.6,63.5,1.02,2.58,114,0,22.8,0
EQ-00161,2.12,76.2,75.9,2.9,1.79,154,0,33.1,1
EQ-00162,8.68,82.7,91.0,3.96,4.27,481,0,18.7,1
EQ-00163,1.92,79.5,27.5,0.59,2.65,395,1,27.8,0
EQ-00164,3.04,77.1,61.1,0.7,2.01,429,0,29.8,0
EQ-00165,1.53,82.4,47.8,1.48,2.21,384,0,34.9,0
EQ-00166,3.76,55.4,23.4,0.67,5.6,337,1,28.3,0
EQ-00167,1.26,65.3,55.9,0.15,2.65,95,0,18.7,0
EQ-00168,1.45,66.3,72.9,1.19,1.07,291,0,8.7,0
EQ-00169,3.43,63.8,90.6,0.3,3.85,454,0,26.3,0
EQ-00170,0.6,74.2,82.2,1.97,2.64,137,1,27.0,0
EQ-00171,2.26,66.3,25.8,0.77,3.09,79,0,37.4,0
EQ-00172,0.85,55.5,44.2,1.53,5.04,247,1,23.0,0
EQ-00173,10.5,72.5,49.6,1.14,1.58,371,2,22.8,0
EQ-00174,0.45,62.6,90.4,1.89,2.12,499,1,35.0,0
EQ-00175,2.87,64.9,42.7,0.28,2.37,396,1,27.9,0
EQ-00176,3.01,60.4,24.9,0.13,1.05,516,0,21.0,0
EQ-00177,0.3,55.0,36.8,0.05,3.29,135,1,25.1,0
EQ-00178,1.44,70.0,26.4,0.96,2.01,265,1,16.8,0
EQ-00179,4.59,78.5,75.2,0.4,1.91,534,1,27.6,0
EQ-00180,6.16,65.3,49.6,0.18,2.4,534,2,19.8,0
EQ-00181,5.09,69.6,38.3,0.89,1.72,423,0,30.5,0
EQ-00182,1.06,80.9,68.8,2.35,2.34,40,3,20.3,1
EQ-00183,6.07,58.4,90.5,0.44,1.72,206,0,28.7,0
EQ-00184,5.09,64.1,35.1,2.08,5.24,464,1,28.2,0
EQ-00185,2.73,78.3,53.3,2.3,3.53,370,2,23.5,1
EQ-00186,1.63,55.9,84.5,1.24,2.02,456,0,25.8,0
EQ-00187,1.36,94.3,73.0,0.3,4.99,184,0,33.7,0
EQ-00188,5.12,76.0,59.0,0.38,2.78,282,0,26.9,0
EQ-00189,0.84,56.8,75.0,2.53,1.94,37,0,15.6,0
EQ-00190,3.96,75.0,88.0,1.28,2.7,183,0,21.9,1
EQ-00191,3.54,66.5,25.9,1.02,3.65,430,2,33.0,0
EQ-00192,4.32,55.0,62.3,1.49,2.45,74,1,18.1,0
EQ-00193,1.01,71.5,48.0,3.97,2.69,528,0,27.1,0
EQ-00194,3.14,51.4,82.3,0.24,1.65,135,2,27.4,0
EQ-00195,1.29,76.1,24.3,1.47,1.77,251,0,24.3,0
EQ-00196,9.89,70.6,72.0,0.35,2.11,305,0,23.3,1
EQ-00197,3.71,74.0,23.9,2.58,2.02,305,3,27.0,1
EQ-00198,2.78,66.7,52.1,0.94,1.72,161,0,15.4,0
EQ-00199,3.81,49.7,68.0,1.04,3.75,409,0,26.1,0
EQ-00200,4.18,85.9,42.0,2.32,3.16,190,2,21.1,0
EQ-00201,2.07,70.2,36.6,0.31,3.2,490,0,31.5,0
EQ-00202,2.56,47.3,23.2,0.5,2.03,342,0,23.9,0
EQ-00203,0.91,84.1,79.0,0.51,1.99,434,0,25.6,0
EQ-00204,2.88,63.5,55.0,0.11,3.15,271,0,26.6,0
EQ-00205,2.85,54.9,84.9,4.44,2.86,134,0,26.8,0
EQ-00206,3.19,75.6,51.9,1.87,1.64,165,1,26.8,1
EQ-00207,5.69,76.4,68.3,1.57,3.68,350,0,36.1,0
EQ-00208,3.7,65.4,97.2,1.43,4.54,170,1,29.2,0
EQ-00209,2.19,55.1,89.0,0.27,4.61,22,0,26.6,0
EQ-00210,10.5,62.8,69.9,0.48,1.4,265,1,27.2,0
EQ-00211,1.86,68.5,83.3,0.53,1.61,250,0,27.8,1
EQ-00212,0.64,53.2,77.5,2.19,4.65,447,0,29.0,0
EQ-00213,5.2,61.8,92.8,1.78,1.61,17,0,30.5,1
EQ-00214,3.93,75.1,27.1,0.77,3.23,200,0,33.4,0
EQ-00215,6.77,57.7,23.5,0.72,3.24,343,0,28.5,0
EQ-00216,1.43,70.6,99.3,0.46,2.69,63,2,20.5,1
EQ-00217,2.37,53.3,86.5,0.22,3.15,411,2,31.4,0
EQ-00218,0.21,67.5,58.6,4.29,5.07,309,1,23.9,0
EQ-00219,0.86,77.7,31.0,3.95,3.11,392,0,18.6,0
EQ-00220,7.57,70.4,23.2,0.61,4.71,45,1,30.1,0
EQ-00221,0.71,68.7,88.5,1.63,1.83,14,0,25.9,0
EQ-00222,9.43,67.6,43.8,0.17,10.11,37,0,24.5,0
EQ-00223,2.51,75.6,87.2,0.69,4.54,463,0,23.3,0
EQ-00224,2.75,63.2,40.8,1.31,2.22,178,1,24.1,0
EQ-00225,3.31,54.9,34.7,2.64,5.72,213,1,26.5,0
EQ-00226,10.5,55.7,64.9,2.98,1.08,97,1,23.4,1
EQ-00227,4.78,72.5,95.2,2.09,2.89,430,0,23.3,0
EQ-00228,0.89,69.7,72.4,0.44,3.05,67,0,30.8,0
EQ-00229,1.98,82.2,27.5,0.8,3.89,522,1,15.1,0
EQ-00230,4.49,44.9,89.9,1.12,1.36,383,2,26.6,0
EQ-00231,3.06,70.1,22.7,1.43,4.68,180,0,23.6,0
EQ-00232,0.71,70.0,70.5,0.38,12.08,515,1,24.2,0
EQ-00233,2.76,54.7,31.2,0.73,1.15,241,0,21.3,0
EQ-00234,1.75,69.7,99.0,0.29,3.82,514,1,36.1,0
EQ-00235,1.53,76.7,57.6,0.5,6.53,139,0,31.2,0
EQ-00236,0.81,51.7,69.0,0.93,4.52,90,1,17.9,0
EQ-00237,3.01,53.7,86.8,2.24,3.42,409,1,23.8,0
EQ-00238,1.01,66.5,25.5,0.44,1.76,3,1,24.6,0
EQ-00239,6.38,73.7,42.4,1.21,2.63,330,0,26.8,0
EQ-00240,3.8,75.4,47.4,0.37,2.71,244,0,32.7,1
EQ-00241,1.42,72.7,69.6,2.97,7.5,129,0,35.2,0
EQ-00242,0.74,50.0,55.8,2.25,2.98,394,1,28.3,0
EQ-00243,2.65,58.1,39.9,0.15,2.76,516,0,27.4,0
EQ-00244,1.05,63.4,74.5,1.85,1.76,434,0,24.2,0
EQ-00245,2.26,53.7,36.1,2.27,1.78,399,0,33.5,0
EQ-00246,6.5,82.0,78.9,0.74,1.55,473,0,23.2,1
EQ-00247,1.79,85.3,50.0,0.89,4.8,536,1,20.2,0
EQ-00248,1.39,68.4,79.3,1.83,2.11,461,0,26.3,0
EQ-00249,6.84,61.6,60.9,0.56,1.97,398,0,25.3,0
EQ-00250,4.76,65.5,81.3,1.03,2.52,435,0,19.1,0
EQ-00251,1.93,71.0,23.7,1.76,1.99,211,0,29.2,0
EQ-00252,1.45,61.9,66.5,3.82,2.28,63,0,28.3,0
EQ-00253,5.9,60.2,30.7,5.6,1.69,128,0,33.0,1
EQ-00254,3.2,51.6,39.4,0.81,3.62,460,0,27.6,0
EQ-00255,1.66,52.6,31.5,3.45,1.51,519,1,22.8,0
EQ-00256,2.75,60.3,54.8,3.04,4.13,401,2,12.7,0
EQ-00257,2.5,58.5,57.5,0.75,5.9,162,2,14.4,0
EQ-00258,0.69,84.2,69.1,1.35,3.53,409,1,26.3,0
EQ-00259,2.72,71.0,30.0,0.57,7.03,270,1,36.2,0
EQ-00260,2.27,79.8,22.4,0.11,2.0,33,1,19.4,0
EQ-00261,0.62,65.4,45.6,0.63,5.04,450,2,29.9,0
EQ-00262,0.44,60.8,24.3,0.57,4.69,203,0,31.0,0
EQ-00263,1.23,66.5,87.7,2.64,1.74,212,2,24.5,0
EQ-00264,4.85,70.7,89.5,1.5,2.68,370,0,36.1,1
EQ-00265,4.23,61.9,64.3,0.63,6.72,280,1,21.2,0
EQ-00266,4.12,70.1,90.5,0.51,5.48,3,1,27.7,0
EQ-00267,7.05,77.8,78.0,0.67,2.85,297,0,21.3,1
EQ-00268,1.73,61.8,86.9,5.51,3.38,69,0,26.4,0
EQ-00269,0.8,76.2,52.5,1.24,2.96,98,1,27.3,0
EQ-00270,5.88,50.4,100.0,0.66,2.34,87,0,29.3,0
EQ-00271,1.56,54.9,59.6,1.47,3.46,168,0,21.2,0
EQ-00272,0.22,75.9,24.0,0.18,2.48,143,0,29.1,0
EQ-00273,6.89,53.9,48.2,1.27,4.29,75,2,29.7,0
EQ-00274,2.61,75.0,72.1,0.99,3.46,212,0,23.3,0
EQ-00275,5.27,58.9,36.6,1.8,2.6,513,0,13.4,0
EQ-00276,4.54,61.9,79.1,0.16,3.33,339,0,19.7,0
EQ-00277,6.66,46.9,97.3,3.25,4.04,514,0,29.4,1
EQ-00278,4.2,74.0,48.2,0.79,3.53,173,1,22.1,0
EQ-00279,0.63,76.1,71.2,1.14,6.76,249,2,27.2,0
EQ-00280,1.68,49.7,70.6,1.72,1.7,245,2,18.3,0
EQ-00281,2.36,73.3,77.9,2.46,3.68,323,2,27.4,0
EQ-00282,6.31,70.1,90.7,0.56,6.78,112,1,23.3,1
EQ-00283,3.24,42.5,90.2,1.06,2.95,97,1,26.2,0
EQ-00284,1.79,62.5,78.0,0.41,1.35,296,0,21.2,0
EQ-00285,1.52,68.2,28.2,0.36,3.06,138,0,25.4,0
EQ-00286,3.0,82.4,71.6,1.61,1.24,533,0,17.1,0
EQ-00287,0.64,56.5,52.1,0.99,5.88,406,0,20.3,0
EQ-00288,0.39,51.8,76.3,0.52,2.92,71,1,36.9,0
EQ-00289,2.04,72.0,83.1,2.12,4.59,27,0,16.3,0
EQ-00290,5.58,65.0,26.0,0.29,3.71,284,0,24.4,0
EQ-00291,1.97,72.6,91.8,0.84,2.16,32,1,29.6,0
EQ-00292,2.81,58.7,92.5,0.92,2.66,490,1,28.8,0
EQ-00293,3.49,58.9,28.6,0.27,1.94,112,1,22.0,0
EQ-00294,2.81,71.4,100.0,1.79,5.9,315,1,18.1,0
EQ-00295,3.63,65.4,75.6,2.48,4.68,515,0,17.5,0
EQ-00296,3.89,62.3,89.9,1.58,3.51,29,0,21.6,0
EQ-00297,2.01,71.1,53.9,1.38,1.33,97,0,34.4,0
EQ-00298,6.74,83.9,92.7,2.87,4.62,532,0,19.1,1
EQ-00299,1.1,55.7,73.1,0.44,4.32,209,1,25.8,0
EQ-00300,2.52,59.0,98.4,1.39,3.03,80,3,24.0,0
EQ-00301,5.14,62.7,77.4,0.47,2.77,240,1,23.5,1
EQ-00302,2.72,76.2,77.5,3.25,3.34,80,1,23.8,0
EQ-00303,7.15,85.9,32.2,0.34,3.41,277,1,28.9,0
EQ-00304,0.23,67.7,83.3,1.59,1.48,173,1,25.8,0
EQ-00305,3.24,65.3,29.6,1.47,2.16,50,0,28.2,0
EQ-00306,0.58,58.6,63.7,0.65,2.57,242,1,21.1,0
EQ-00307,1.47,75.4,64.5,1.38,5.05,302,1,24.2,0
EQ-00308,4.65,59.3,65.9,0.19,1.94,359,1,22.2,0
EQ-00309,1.6,66.5,97.1,0.29,2.66,222,0,27.6,0
EQ-00310,0.48,69.8,99.3,0.54,6.85,422,0,16.3,0
EQ-00311,2.97,56.1,99.8,0.51,1.85,310,3,23.8,0
EQ-00312,4.55,80.5,36.6,1.04,3.45,303,2,30.9,0
EQ-00313,2.95,74.8,30.0,3.02,4.05,372,1,18.8,0
EQ-00314,0.92,69.5,30.3,2.19,1.7,514,0,21.4,0
EQ-00315,7.75,57.7,57.1,1.52,1.05,381,0,27.8,1
EQ-00316,3.26,77.2,51.0,3.24,3.1,61,2,25.2,0
EQ-00317,1.59,79.6,53.4,0.25,3.33,302,1,24.3,1
EQ-00318,1.02,80.5,29.9,1.03,1.32,355,0,29.1,0
EQ-00319,3.89,78.4,89.2,0.32,2.32,264,1,14.2,0
EQ-00320,2.94,65.8,78.4,0.61,1.46,221,0,24.1,0
EQ-00321,4.75,69.6,28.7,1.43,6.45,339,0,20.2,0
EQ-00322,4.46,66.9,74.2,1.23,4.17,32,1,15.6,1
EQ-00323,2.8,81.2,46.2,2.45,2.13,111,0,30.2,0
EQ-00324,0.38,75.5,97.4,1.0,2.08,467,1,16.5,0
EQ-00325,2.45,74.6,24.0,2.64,4.87,84,0,25.7,0
EQ-00326,4.43,58.6,29.3,0.47,2.42,35,2,18.7,0
EQ-00327,3.46,65.9,62.9,0.32,6.06,457,0,23.4,1
EQ-00328,0.63,55.9,51.4,1.84,2.26,452,1,15.0,0
EQ-00329,7.08,56.4,77.1,1.13,2.33,413,0,28.5,0
EQ-00330,2.01,65.7,62.7,0.42,1.97,129,3,18.3,0
EQ-00331,1.9,69.3,47.6,0.74,3.04,107,0,23.4,1
EQ-00332,4.16,79.5,76.2,0.51,2.43,104,0,20.3,0
EQ-00333,1.71,63.7,32.3,0.45,2.95,277,0,23.7,0
EQ-00334,2.99,66.6,79.3,1.15,2.42,196,1,21.2,0
EQ-00335,1.82,77.1,36.9,2.17,3.76,221,0,17.7,0
EQ-00336,0.87,79.4,80.9,0.47,4.43,68,1,22.9,0
EQ-00337,2.19,62.4,51.5,0.5,4.07,475,0,22.1,0
EQ-00338,7.66,66.1,40.2,1.41,4.52,453,1,34.3,0
EQ-00339,3.19,81.8,93.6,1.24,2.49,274,4,29.1,0
EQ-00340,0.16,77.6,82.1,1.69,2.28,259,0,23.6,0
EQ-00341,0.85,62.7,51.7,1.23,5.06,518,1,23.5,0
EQ-00342,0.81,63.9,42.8,2.4,2.66,125,1,26.4,0
EQ-00343,2.29,64.9,92.5,0.31,1.92,273,0,20.0,0
EQ-00344,6.36,57.5,99.2,2.34,9.19,146,0,22.8,1
EQ-00345,4.28,64.4,85.2,1.17,1.58,270,0,22.5,0
EQ-00346,2.95,66.4,34.1,0.69,1.2,15,0,24.3,0
EQ-00347,5.23,71.2,67.5,0.54,1.05,290,0,30.6,0
EQ-00348,0.7,61.5,50.1,2.78,3.26,275,1,24.9,0
EQ-00349,3.25,58.0,48.3,0.62,2.11,46,2,25.0,0
EQ-00350,3.65,75.8,53.7,1.44,7.53,436,0,20.9,0
EQ-00351,0.77,61.5,44.7,1.17,1.96,207,0,25.3,0
EQ-00352,3.11,54.6,74.3,1.79,3.56,465,0,35.8,0
EQ-00353,1.68,68.4,51.6,0.8,2.59,156,0,21.6,0
EQ-00354,1.26,70.6,45.4,2.01,2.57,171,2,19.5,0
EQ-00355,2.82,53.8,59.7,1.99,1.9,213,0,27.5,0
EQ-00356,0.7,65.2,27.0,1.49,1.94,437,1,17.8,0
EQ-00357,1.86,57.0,91.9,0.79,5.46,125,0,17.0,0
EQ-00358,3.83,42.6,30.9,1.17,3.6,497,0,21.9,0
EQ-00359,1.6,81.4,71.0,0.34,1.67,47,3,27.4,1
EQ-00360,2.1,51.2,69.6,0.21,1.77,287,0,25.3,0
EQ-00361,4.32,70.6,36.9,1.75,4.75,82,0,19.7,0
EQ-00362,1.91,56.8,84.2,2.17,3.33,381,1,20.8,0
EQ-00363,0.24,69.0,46.1,1.42,1.84,124,0,10.0,0
EQ-00364,2.26,73.5,59.8,0.98,3.18,511,0,30.7,0
EQ-00365,5.62,57.7,82.7,4.49,1.05,109,2,31.6,1
EQ-00366,1.41,67.6,83.5,1.04,5.3,22,2,19.7,0
EQ-00367,2.1,59.1,70.3,0.45,3.68,513,1,29.1,0
EQ-00368,1.47,79.6,23.9,0.4,1.05,259,0,25.1,0
EQ-00369,1.38,67.8,64.9,0.05,2.69,169,0,16.3,0
EQ-00370,2.88,47.2,85.7,2.17,2.37,313,0,16.7,0
EQ-00371,7.14,42.0,42.3,2.63,4.27,312,1,34.5,0
EQ-00372,2.12,75.6,72.7,1.56,4.58,86,0,27.3,0
EQ-00373,0.63,64.7,65.1,0.88,3.32,126,0,26.8,0
EQ-00374,1.49,76.6,95.3,0.32,3.52,99,0,28.3,0
