order_date,orders,revenue
03/11/2024,21,395.51
03/12/2024,20,373.79
03/13/2024,25,485.83
03/14/2024,18,350.43
03/15/2024,18,298.01
03/16/2024,26,410.89
03/17/2024,25,492.55
03/18/2024,20,398.51
03/19/2024,17,293.68
03/20/2024,24,390.44
03/21/2024,11,204.81
03/22/2024,19,372.72
03/23/2024,30,619.71
03/24/2024,23,439.75
03/25/2024,20,361.08
03/26/2024,15,261.42
03/27/2024,12,222.16
03/28/2024,25,453.52
03/29/2024,15,259.23
03/30/2024,26,544.92
03/31/2024,30,619.27
04/01/2024,19,377.4
04/02/2024,18,313.11
04/03/2024,22,429.57
04/04/2024,17,327.55
04/05/2024,15,285.47
04/06/2024,30,599.99
04/07/2024,22,423.77
04/08/2024,19,368.37
04/09/2024,12,231.17
04/10/2024,19,359.27
04/11/2024,19,310.83
04/12/2024,14,260.4
04/13/2024,35,624.14
04/14/2024,29,491.96
04/15/2024,7,143.63
04/16/2024,12,246.9
04/17/2024,21,422.75
04/18/2024,22,413.74
04/19/2024,20,402.42
04/20/2024,22,407.32
04/21/2024,29,543.56
04/22/2024,11,189.07
04/23/2024,21,398.5
04/24/2024,18,334.3
04/25/2024,26,440.36
04/26/2024,18,331.89
04/27/2024,20,368.09
04/28/2024,25,516.43
04/29/2024,12,234.88
04/30/2024,15,277.71
05/01/2024,17,319.58
05/02/2024,19,352.51
05/03/2024,16,292.1
05/04/2024,28,481.63
05/05/2024,26,476.29
05/06/2024,19,334.49
05/07/2024,20,339.99
05/08/2024,20,382.27
05/09/2024,22,417.33
05/10/2024,17,278.05
05/11/2024,25,458.82
05/12/2024,36,709.01
05/13/2024,18,355.88
05/14/2024,15,295.97
05/15/2024,18,333.84
05/16/2024,9,157.37
05/17/2024,16,275.19
05/18/2024,24,453.92
05/19/2024,33,625.52
05/20/2024,13,260.58
05/21/2024,12,237.84
05/22/2024,22,403.51
05/23/2024,21,357.15
05/24/2024,17,307.99
05/25/2024,28,525.3
05/26/2024,21,383.41
05/27/2024,17,302.71
05/28/2024,22,413.68
05/29/2024,18,322.11
05/30/2024,14,248.45
05/31/2024,8,150.99
06/01/2024,24,432.42
06/02/2024,29,544.99
06/03/2024,11,207.11
06/04/2024,23,394.05
06/05/2024,20,358.45
06/06/2024,22,444.96
06/07/2024,17,290.79
06/08/2024,25,399.0
06/09/2024,27,439.18
06/10/2024,24,444.84
06/11/2024,25,463.43
06/12/2024,24,440.61
06/13/2024,18,359.23
06/14/2024,12,183.51
06/15/2024,37,702.08
06/16/2024,22,448.22
06/17/2024,14,240.05
06/18/2024,26,469.15
06/19/2024,16,281.54
06/20/2024,21,365.96
06/21/2024,18,325.95
06/22/2024,36,727.67
06/23/2024,35,724.67
06/24/2024,22,398.13
06/25/2024,19,394.94
06/26/2024,16,296.68
06/27/2024,22,453.3
06/28/2024,13,239.04
06/29/2024,33,615.69
06/30/2024,33,624.97
