device_id,device_age_days,temperature_c,vibration_mm_s,errors_24h,days_since_service,alert_next_7_days
DV-0162,490,31.5,1.08,0,2,0
DV-0163,1453,49.3,7.37,2,306,1
DV-0164,1793,53.9,2.46,2,375,1
DV-0165,331,53.3,1.04,0,161,0
DV-0166,130,41.8,4.74,2,80,0
DV-0167,426,42.7,1.86,2,167,0
DV-0168,88,28.1,1.09,2,242,0
DV-0169,1785,41.9,6.94,2,406,0
DV-0170,1323,52.4,0.2,1,351,1
DV-0171,1289,64.1,2.54,2,8,0
DV-0172,923,60.8,6.27,2,46,0
DV-0173,1106,47.1,1.48,1,203,0
DV-0174,2162,56.2,1.18,2,401,0
DV-0175,1068,60.6,0.51,1,379,1
DV-0176,1245,35.8,2.59,1,110,0
DV-0177,1596,40.9,2.6,1,18,0
DV-0178,1682,52.8,2.55,0,37,0
DV-0179,697,53.0,3.03,0,23,0
DV-0180,1840,64.5,2.14,2,274,1
DV-0181,2067,36.7,2.1,0,68,0
DV-0182,1160,41.2,2.02,3,234,0
DV-0183,68,48.4,3.1,0,313,0
DV-0184,1882,52.1,0.49,0,49,0
DV-0185,988,46.2,3.09,1,368,1
DV-0186,370,47.2,4.99,3,374,0
DV-0187,1039,47.9,2.67,1,63,0
DV-0188,599,61.4,2.28,1,62,0
DV-0189,1479,49.2,3.21,1,368,1
DV-0190,1926,42.7,2.75,1,320,0
DV-0191,1097,39.1,1.31,0,283,0
DV-0192,1372,48.7,1.64,0,171,0
DV-0193,1476,44.3,3.09,1,177,0
DV-0194,1936,53.4,2.16,1,24,0
DV-0195,150,52.0,1.96,3,200,0
DV-0196,1937,41.2,1.41,0,352,0
DV-0197,1018,38.2,0.83,0,401,0
DV-0198,1962,30.8,4.74,1,278,0
DV-0199,713,45.7,2.7,0,318,0
DV-0200,2066,45.6,4.11,1,311,0
DV-0201,1308,36.7,2.84,1,413,0
DV-0202,1382,58.3,1.38,0,210,1
DV-0203,519,59.8,5.16,2,101,0
DV-0204,1581,49.4,3.09,2,381,1
DV-0205,901,57.4,1.17,0,397,0
DV-0206,558,46.2,2.54,1,165,1
DV-0207,168,44.6,2.38,0,93,0
DV-0208,1765,44.1,0.65,0,86,0
DV-0209,1265,48.2,2.35,0,18,0
DV-0210,209,77.4,7.63,1,224,1
DV-0211,1487,43.8,1.15,2,309,0
DV-0212,2170,52.5,2.12,2,384,0
DV-0213,89,41.0,3.85,1,42,0
DV-0214,2165,56.2,1.33,0,238,0
DV-0215,1387,18.0,1.89,1,149,0
DV-0216,1657,39.0,5.26,1,234,1
DV-0217,2079,65.4,1.33,1,258,1
DV-0218,625,38.7,0.2,0,109,0
DV-0219,310,38.1,4.14,1,88,0
DV-0220,693,39.3,4.03,1,35,0
DV-0221,1905,23.5,2.18,3,341,0
DV-0222,1916,52.5,4.44,0,378,1
DV-0223,1303,65.0,2.54,0,290,0
DV-0224,429,44.3,1.33,1,218,0
DV-0225,1451,54.9,1.32,2,182,0
DV-0226,375,47.1,0.88,1,365,0
DV-0227,38,52.5,1.99,1,62,0
DV-0228,2196,27.2,0.89,3,303,0
DV-0229,1089,57.8,2.67,1,254,0
DV-0230,721,55.8,1.06,2,139,0
DV-0231,432,55.8,5.69,0,384,1
DV-0232,1922,45.2,2.32,1,239,0
DV-0233,1804,61.9,2.79,0,89,0
DV-0234,441,62.5,1.12,3,365,0
DV-0235,878,39.7,1.34,0,348,0
DV-0236,131,49.8,2.04,0,63,0
DV-0237,133,62.5,4.65,0,381,1
DV-0238,522,43.0,6.54,1,83,1
DV-0239,88,66.0,1.93,2,376,0
DV-0240,1829,59.1,1.73,1,111,0
DV-0241,1126,46.6,1.21,2,407,1
DV-0242,1250,36.5,5.31,2,163,0
DV-0243,541,33.0,1.4,1,158,0
DV-0244,992,52.4,1.8,0,265,0
DV-0245,570,68.5,1.16,2,30,1
DV-0246,1475,59.1,2.26,1,172,0
DV-0247,577,47.7,2.74,4,298,0
DV-0248,330,61.1,2.69,0,45,0
DV-0249,1119,50.1,2.63,1,362,1
DV-0250,961,51.0,1.8,2,6,0
DV-0251,1406,53.6,4.09,0,89,0
DV-0252,1753,50.7,0.92,0,300,0
DV-0253,939,56.9,1.35,0,124,0
DV-0254,675,54.3,3.08,1,390,0
DV-0255,825,39.9,0.5,1,2,0
DV-0256,1843,40.9,7.43,0,351,0
DV-0257,1856,44.2,4.57,2,386,1
DV-0258,673,43.5,1.03,2,264,0
DV-0259,1335,46.2,3.67,1,146,0
DV-0260,812,39.5,4.6,0,239,0
DV-0261,358,48.3,0.61,3,171,0
DV-0262,863,53.8,0.81,1,295,0
DV-0263,860,52.2,5.64,2,367,1
DV-0264,730,56.4,6.76,1,299,1
DV-0265,405,54.3,2.11,0,52,0
DV-0266,1058,46.3,0.95,2,261,0
DV-0267,295,52.4,1.84,2,106,0
DV-0268,717,60.4,1.3,3,401,1
DV-0269,1851,51.8,3.48,2,265,0
DV-0270,533,50.7,2.43,0,415,0
DV-0271,1783,52.4,3.09,1,389,0
DV-0272,77,44.9,2.93,0,19,0
DV-0273,107,38.6,0.37,0,87,0
DV-0274,75,70.3,0.79,2,346,0
DV-0275,703,47.2,0.56,0,229,0
DV-0276,930,36.5,7.33,0,332,1
DV-0277,2089,70.6,0.65,0,29,0
DV-0278,163,47.1,6.09,3,240,1
DV-0279,1885,39.7,5.77,1,227,0
DV-0280,380,38.9,3.76,0,340,0
DV-0281,1397,57.4,7.23,2,133,1
DV-0282,2184,44.1,1.59,2,227,0
DV-0283,659,42.8,1.39,3,237,0
DV-0284,690,48.5,3.39,1,101,1
DV-0285,68,52.3,3.37,1,407,0
DV-0286,109,42.1,1.54,0,30,0
DV-0287,1353,51.7,0.78,1,93,0
DV-0288,655,46.5,2.06,0,359,0
DV-0289,1063,57.8,2.69,1,254,1
DV-0290,571,42.0,3.31,1,155,0
DV-0291,1084,53.2,3.16,2,163,1
DV-0292,395,44.0,1.57,1,191,0
DV-0293,1457,52.7,1.2,3,134,1
DV-0294,766,42.8,2.35,1,242,1
DV-0295,263,50.1,0.73,0,140,0
DV-0296,668,60.0,7.13,0,93,0
DV-0297,236,54.4,2.69,4,257,1
DV-0298,1018,65.7,2.42,0,98,0
DV-0299,1906,35.9,1.25,2,153,0
DV-0300,1888,50.8,1.29,2,255,1
DV-0301,1116,29.4,2.82,0,102,0
DV-0302,1350,50.9,0.39,0,209,0
DV-0303,1634,29.5,2.57,1,79,0
DV-0304,1880,41.9,3.26,0,160,0
DV-0305,359,38.6,4.64,2,145,0
DV-0306,864,27.3,3.95,0,116,0
DV-0307,2045,41.8,5.32,0,365,1
DV-0308,2010,52.1,1.85,0,134,1
DV-0309,1849,63.3,2.36,0,31,0
DV-0310,38,50.8,1.71,3,354,0
DV-0311,197,49.1,4.78,0,62,0
DV-0312,1533,50.8,2.57,1,171,0
DV-0313,1616,42.9,5.58,0,96,0
DV-0314,1934,41.2,1.85,0,261,0
DV-0315,1597,34.7,1.44,0,116,0
DV-0316,1239,51.0,1.67,1,370,0
DV-0317,573,38.1,2.86,0,12,0
DV-0318,89,64.9,3.69,1,97,0
DV-0319,1362,62.0,0.48,2,327,0
DV-0320,692,35.1,5.97,0,358,0
DV-0321,2009,56.6,1.26,2,335,1
DV-0322,299,49.7,3.52,2,295,0
DV-0323,2129,50.8,1.77,1,50,0
DV-0324,179,55.7,3.63,1,238,1
DV-0325,741,30.6,2.02,1,163,0
DV-0326,67,59.4,1.45,2,3,0
DV-0327,150,47.6,4.93,1,238,0
DV-0328,389,30.3,0.81,0,25,0
DV-0329,2031,44.9,2.33,1,201,0
DV-0330,1857,38.8,2.9,3,272,0
DV-0331,1342,71.4,1.43,1,270,0
DV-0332,1378,47.4,2.43,4,68,1
DV-0333,934,45.3,1.71,1,99,0
DV-0334,1416,51.8,5.47,1,231,1
DV-0335,397,62.4,2.71,0,419,1
DV-0336,456,35.3,3.45,2,136,0
DV-0337,1793,31.6,3.95,1,120,0
DV-0338,1741,46.8,1.74,0,182,0
DV-0339,1223,44.5,3.12,2,298,0
DV-0340,1952,38.8,1.73,0,316,0
DV-0341,526,48.0,4.35,1,290,1
DV-0342,784,29.7,1.39,1,350,0
DV-0343,1968,44.1,1.5,0,15,0
DV-0344,1905,30.1,0.63,1,205,1
DV-0345,367,51.6,1.97,1,134,0
DV-0346,977,36.3,3.0,0,230,0
DV-0347,599,68.4,2.59,0,187,1
DV-0348,315,47.4,1.88,1,191,1
DV-0349,2054,47.7,0.58,1,323,1
DV-0350,2059,51.6,1.37,0,37,0
DV-0351,958,63.0,5.78,1,50,1
DV-0352,143,62.6,3.39,1,84,0
DV-0353,1207,43.1,2.79,1,335,1
DV-0354,1270,40.2,1.58,4,285,0
DV-0355,611,33.1,2.52,1,165,0
DV-0356,328,38.8,1.95,2,340,0
DV-0357,1568,39.6,1.21,1,342,0
DV-0358,861,52.9,10.41,2,348,1
DV-0359,2085,38.3,1.13,3,1,0
DV-0360,561,50.3,2.74,0,136,0
DV-0361,958,67.9,1.31,3,337,1
DV-0362,700,44.6,3.15,0,161,0
DV-0363,1524,55.7,6.23,1,20,1
DV-0364,631,40.9,4.64,0,0,0
DV-0365,1372,61.6,3.31,3,71,1
DV-0366,92,41.5,2.44,2,298,0
DV-0367,2074,55.4,2.0,0,329,0
DV-0368,1660,39.4,0.99,2,415,0
DV-0369,1500,52.3,3.13,1,164,1
DV-0370,2158,51.6,2.11,3,59,0
DV-0371,296,55.5,1.91,1,316,1
DV-0372,1235,46.5,1.04,4,127,0
DV-0373,2110,36.9,2.74,0,112,0
DV-0374,1772,49.6,2.62,0,168,0
DV-0375,336,45.9,5.77,2,184,0
DV-0376,38,36.2,2.85,3,75,0
DV-0377,1810,54.8,3.72,0,374,0
DV-0378,538,45.1,0.92,0,177,0
DV-0379,819,45.7,2.11,2,200,0
DV-0380,1453,43.2,3.89,2,175,1
DV-0381,168,40.6,1.61,1,344,0
DV-0382,1061,36.8,0.49,0,209,0
DV-0383,1035,37.8,1.7,1,103,0
DV-0384,1190,34.0,1.85,2,240,0
DV-0385,1812,53.2,2.45,1,339,1
DV-0386,2174,56.2,6.34,3,274,1
DV-0387,1525,35.6,2.26,2,402,0
DV-0388,1055,60.4,2.7,2,409,0
DV-0389,270,27.4,0.67,2,196,0
DV-0390,1280,54.3,1.9,3,17,0
DV-0391,1055,32.5,4.42,0,111,0
DV-0392,934,55.0,3.36,2,382,0
DV-0393,1301,39.0,1.0,0,276,0
DV-0394,145,58.7,1.14,0,403,0
DV-0395,1094,39.0,2.9,3,249,0
DV-0396,655,26.1,5.48,3,185,1
DV-0397,1675,45.6,3.41,2,356,0
DV-0398,1273,40.7,0.7,1,333,0
DV-0399,1409,54.4,4.99,3,271,1
DV-0400,1602,58.8,2.93,0,382,1
DV-0401,1892,41.8,2.81,1,53,0
DV-0402,698,65.7,2.38,2,91,0
DV-0403,1306,48.9,1.84,1,250,0
DV-0404,1962,37.7,0.68,2,281,0
DV-0405,107,50.3,1.71,2,143,0
DV-0406,875,29.2,0.57,5,213,0
DV-0407,707,47.0,7.21,1,264,1
DV-0408,418,43.4,1.05,1,244,0
DV-0409,448,68.7,1.67,1,183,0
DV-0410,806,55.4,5.53,1,71,1
DV-0411,81,40.1,1.84,4,116,0
DV-0412,1889,54.2,1.06,0,214,0
DV-0413,1105,57.5,0.82,1,328,1
DV-0414,1003,65.1,6.49,1,101,1
DV-0415,1300,47.1,2.55,1,181,0
DV-0416,826,42.9,2.48,2,210,0
DV-0417,1227,36.5,1.75,1,109,0
DV-0418,1876,32.0,1.47,1,11,0
DV-0419,1581,48.9,4.5,0,106,1
DV-0420,1854,29.5,3.16,2,69,0
DV-0421,1728,59.4,0.53,2,209,0
DV-0422,1450,55.7,0.94,1,327,0
DV-0423,1487,44.6,1.74,0,235,0
DV-0424,1682,37.6,2.35,2,176,0
DV-0425,242,55.2,4.88,0,119,0
DV-0426,1273,35.5,2.5,1,309,0
DV-0427,466,50.5,2.79,0,323,0
DV-0428,2152,39.3,1.36,2,301,0
DV-0429,324,47.5,1.67,1,150,0
DV-0430,775,46.8,3.87,2,121,0
DV-0431,206,44.4,4.64,2,330,0
DV-0432,1613,34.6,4.0,3,289,0
DV-0433,93,68.5,2.47,1,86,0
DV-0434,401,33.0,3.71,0,343,0
DV-0435,1258,56.8,0.99,1,61,0
DV-0436,636,43.9,2.59,3,148,0
DV-0437,379,56.0,2.24,0,87,0
DV-0438,1849,54.9,2.93,1,335,1
DV-0439,931,29.3,1.22,1,1,0
DV-0440,1588,60.8,1.77,2,280,0
DV-0441,2024,59.1,1.37,2,410,1
DV-0442,1238,51.4,1.82,3,357,1
DV-0443,360,42.7,1.4,0,357,0
DV-0444,1863,50.6,2.12,0,45,0
DV-0445,1639,76.6,1.71,1,176,0
DV-0446,651,44.4,6.08,1,97,1
DV-0447,1696,47.9,1.44,1,101,0
DV-0448,791,44.9,9.2,1,115,1
DV-0449,739,38.8,4.89,1,210,0
DV-0450,311,54.2,4.35,3,206,0
DV-0451,749,50.9,4.89,0,265,0
DV-0452,1211,49.4,1.53,0,125,0
DV-0453,277,53.1,1.23,1,210,0
DV-0454,1867,45.2,2.46,1,355,0
DV-0455,85,40.8,11.66,1,73,0
DV-0456,916,79.9,2.51,1,183,0
DV-0457,1143,52.5,1.06,1,70,0
DV-0458,1183,59.6,6.91,3,107,1
DV-0459,1278,61.8,3.67,1,413,1
DV-0460,1579,44.9,0.97,1,209,0
DV-0461,823,44.6,1.07,1,208,0
DV-0462,1981,54.5,2.66,1,263,1
DV-0463,2049,58.9,5.78,0,395,0
DV-0464,1200,63.4,3.52,2,99,1
DV-0465,1379,36.0,0.2,3,163,0
DV-0466,32,43.2,2.87,2,419,1
DV-0467,61,34.3,5.64,1,321,0
DV-0468,1168,38.2,0.92,0,186,0
DV-0469,943,57.4,1.75,2,278,0
DV-0470,1890,30.6,2.63,1,407,0
DV-0471,857,36.3,2.13,0,277,0
DV-0472,1005,42.9,2.79,1,148,0
DV-0473,305,54.6,1.62,2,367,0
DV-0474,1643,60.0,3.26,2,218,0
DV-0475,998,56.1,2.18,2,349,0
DV-0476,1614,35.3,3.35,0,180,0
DV-0477,2174,62.3,0.93,0,91,0
DV-0478,47,36.4,2.49,1,158,0
DV-0479,229,61.1,2.79,0,280,0
DV-0480,443,39.3,2.79,0,123,0
DV-0481,1503,47.2,1.8,3,359,1
DV-0482,761,43.6,2.59,2,350,1
DV-0483,176,47.8,2.12,0,284,0
DV-0484,748,69.1,1.38,2,214,0
DV-0485,1450,28.6,1.94,1,78,0
DV-0486,1573,58.8,0.86,2,317,1
DV-0487,760,43.0,0.79,2,284,0
DV-0488,902,40.0,4.72,0,19,0
DV-0489,450,35.5,2.23,0,197,0
DV-0490,1697,52.0,1.08,0,203,0
DV-0491,1833,45.6,1.18,0,270,0
DV-0492,1461,39.3,5.39,1,227,1
DV-0493,467,54.9,4.06,2,365,1
DV-0494,1848,62.0,3.56,0,374,1
DV-0495,541,67.8,2.76,1,355,0
DV-0496,1038,56.0,2.19,2,364,1
DV-0497,1328,53.2,1.62,2,213,0
DV-0498,484,66.7,3.24,1,161,0
DV-0499,1237,45.4,3.42,0,337,0
DV-0500,811,30.9,1.26,1,43,0
DV-0501,2108,56.4,0.55,2,84,0
DV-0502,1590,48.9,1.12,0,10,0
DV-0503,1453,37.3,1.05,3,31,0
DV-0504,139,46.3,2.01,2,374,0
DV-0505,811,61.0,1.1,2,185,0
DV-0506,1537,53.4,1.97,0,380,1
DV-0507,2159,48.1,2.8,2,331,1
DV-0508,461,40.8,0.75,4,22,0
DV-0509,1652,36.0,2.61,2,230,0
DV-0510,208,50.3,9.31,0,253,0
DV-0511,151,53.4,1.5,2,344,1
DV-0512,2074,45.0,2.22,1,284,0
DV-0513,1392,47.8,1.9,0,15,0
DV-0514,375,53.6,1.23,1,11,0
DV-0515,731,41.3,2.61,1,390,0
DV-0516,1722,41.1,3.06,0,110,1
DV-0517,1825,49.0,1.5,3,228,0
DV-0518,2007,48.7,0.5,0,54,0
DV-0519,950,42.0,2.48,0,214,0
DV-0520,1237,46.9,3.65,1,264,0
DV-0521,412,56.1,1.89,1,16,0
DV-0522,1110,35.8,2.75,1,380,0
DV-0523,1485,41.7,1.25,1,338,0
DV-0524,809,18.0,0.94,1,355,0
DV-0525,488,55.6,4.14,1,145,1
DV-0526,2029,54.1,2.48,0,154,0
DV-0527,877,52.5,2.95,0,26,0
DV-0528,108,53.4,5.09,0,268,0
DV-0529,1237,41.6,0.21,3,361,1
DV-0530,1556,59.0,0.31,1,292,1
DV-0531,876,55.8,2.6,1,236,0
DV-0532,1366,52.9,0.78,1,256,0
DV-0533,316,60.2,2.05,3,235,0
DV-0534,1187,50.6,2.35,2,52,0
DV-0535,238,42.9,6.54,1,304,0
DV-0536,1930,52.8,5.36,1,72,1
DV-0537,1279,38.3,2.44,0,43,0
DV-0538,389,48.5,2.59,1,365,0
DV-0539,134,40.7,4.63,1,253,0
DV-0540,170,53.5,3.84,2,43,0
DV-0541,2054,71.6,3.0,0,400,1
DV-0542,1612,46.1,0.65,3,133,1
DV-0543,1853,34.0,2.17,4,214,1
DV-0544,1195,73.6,12.0,5,246,1
DV-0545,90,33.4,3.66,0,226,0
DV-0546,1669,36.4,4.75,4,323,1
DV-0547,982,46.2,2.11,2,146,1
DV-0548,1697,36.2,2.21,2,408,1
DV-0549,527,55.3,1.04,3,176,0
DV-0550,527,45.7,1.18,2,381,0
DV-0551,1581,52.3,0.92,2,128,0
DV-0552,155,29.6,8.39,1,254,0
DV-0553,625,18.0,0.78,1,407,0
DV-0554,1044,53.9,5.48,2,306,0
DV-0555,91,28.9,3.72,2,291,0
DV-0556,895,18.2,6.08,1,324,0
DV-0557,657,49.1,1.22,4,322,0
DV-0558,1270,48.5,2.08,0,271,0
DV-0559,967,50.1,1.79,0,354,0
DV-0560,1016,52.8,6.66,3,105,0
DV-0561,2142,54.1,2.8,2,124,1
DV-0562,172,42.4,0.81,0,57,0
DV-0563,1735,39.6,3.72,3,7,1
DV-0564,1113,42.7,3.52,0,177,0
DV-0565,1468,60.0,4.97,1,340,1
DV-0566,1637,48.2,10.41,0,24,1
DV-0567,1174,40.0,1.54,1,225,0
DV-0568,1119,49.7,1.75,0,24,0
DV-0569,1160,47.5,0.93,2,71,1
DV-0570,489,42.2,3.27,1,206,0
DV-0571,1559,51.2,1.57,1,92,0
DV-0572,1449,64.6,3.36,1,284,1
DV-0573,369,50.3,1.41,3,415,1
DV-0574,914,34.3,1.89,0,85,0
DV-0575,1813,50.4,0.49,4,324,0
DV-0576,121,42.4,5.18,1,87,0
DV-0577,1504,46.0,2.05,2,415,0
DV-0578,82,46.5,1.34,1,400,0
DV-0579,80,52.5,2.76,3,32,0
DV-0580,389,47.3,7.89,0,86,0
DV-0581,847,64.7,1.31,2,409,1
DV-0582,99,46.8,7.54,2,70,0
DV-0583,221,45.1,2.73,0,377,0
DV-0584,1772,46.8,1.52,0,0,0
DV-0585,1217,33.8,4.3,1,382,0
DV-0586,1029,46.2,8.33,1,27,0
DV-0587,751,37.4,2.41,2,397,0
DV-0588,254,44.1,2.06,0,406,0
DV-0589,2178,34.8,3.27,0,185,0
DV-0590,569,43.3,1.56,1,379,1
DV-0591,2154,68.4,5.98,1,5,1
DV-0592,1080,70.3,0.78,1,16,0
DV-0593,909,41.0,1.81,1,85,0
DV-0594,475,33.0,1.31,0,328,0
DV-0595,100,32.3,2.15,2,259,0
DV-0596,93,40.1,10.63,0,296,1
DV-0597,1250,45.3,1.95,2,17,0
DV-0598,980,51.7,1.99,3,142,0
DV-0599,1347,57.1,3.18,1,249,1
DV-0600,1921,44.8,3.04,0,298,1
DV-0601,1827,46.2,3.98,4,150,0
DV-0602,1165,48.4,0.45,0,129,0
DV-0603,426,39.3,1.78,2,249,0
DV-0604,2137,34.7,5.3,2,320,1
DV-0605,1434,47.0,1.61,1,158,0
DV-0606,344,36.2,1.2,4,204,0
DV-0607,1235,26.8,1.84,3,42,0
DV-0608,96,57.9,2.1,1,126,1
DV-0609,1742,62.1,2.15,2,135,0
DV-0610,342,42.0,0.5,0,6,0
DV-0611,1826,37.6,2.87,0,175,0
DV-0612,383,66.5,1.9,1,325,0
DV-0613,434,48.9,3.63,1,122,0
DV-0614,1676,54.6,3.97,3,396,1
DV-0615,913,46.9,6.9,1,265,1
DV-0616,1249,37.1,3.53,0,258,1
DV-0617,1684,34.7,1.44,2,363,0
