reading_id,temperature_c,humidity_pct,co2_ppm,pm25_ug_m3,voc_ppb,occupancy_count,filter_age_days,airflow_m3_min,ventilation_alert
AQ-0097,16.4,77.8,350,2.9,75,5,138,9.2,0
AQ-0098,20.6,39.5,663,12.3,44,6,104,5.5,0
AQ-0099,21.0,71.0,633,18.5,241,7,47,7.3,0
AQ-0100,16.5,41.9,372,10.1,78,5,99,8.5,0
AQ-0101,18.9,78.6,632,9.6,294,11,9,9.9,0
AQ-0102,17.3,64.9,395,3.8,184,6,41,10.2,0
AQ-0103,24.9,36.4,350,16.4,153,3,155,9.2,0
AQ-0104,22.5,30.7,350,11.8,49,3,45,9.3,0
AQ-0105,22.6,48.5,758,26.1,85,10,5,6.9,0
AQ-0106,23.2,72.0,843,7.4,142,6,121,6.9,0
AQ-0107,20.6,78.9,350,18.5,240,7,67,8.2,1
AQ-0108,24.5,64.6,377,4.7,99,2,156,9.3,0
AQ-0109,22.7,52.8,367,7.8,142,6,70,8.3,0
AQ-0110,20.3,59.0,581,6.5,110,7,28,6.3,0
AQ-0111,20.8,65.7,526,21.6,222,9,37,7.8,0
AQ-0112,15.8,69.7,703,10.9,146,7,203,7.3,0
AQ-0113,23.3,48.7,719,37.4,99,9,188,6.0,0
AQ-0114,24.0,50.5,608,7.8,311,10,213,6.3,1
AQ-0115,21.3,80.9,716,24.1,203,10,90,8.1,0
AQ-0116,28.6,50.1,620,17.3,174,11,98,7.0,1
AQ-0117,24.8,62.4,682,11.6,176,8,213,8.0,1
AQ-0118,24.9,69.3,506,13.2,219,6,144,8.0,1
AQ-0119,24.4,74.1,586,4.8,135,8,41,8.9,0
AQ-0120,19.3,75.2,426,2.8,186,5,201,9.3,1
AQ-0121,18.1,51.8,681,13.3,383,9,142,9.0,0
AQ-0122,24.6,76.7,664,6.0,118,9,178,6.7,0
AQ-0123,29.6,28.7,585,11.5,64,7,154,9.2,0
AQ-0124,15.4,79.1,510,12.1,58,7,132,6.9,0
AQ-0125,23.7,72.6,509,9.2,155,6,168,7.1,0
AQ-0126,22.1,42.4,577,6.7,186,7,0,8.9,0
AQ-0127,21.7,61.4,859,23.4,209,12,170,7.8,1
AQ-0128,17.7,71.5,425,4.7,272,4,134,7.6,0
AQ-0129,20.2,68.3,791,48.2,292,7,60,5.6,1
AQ-0130,21.5,71.8,738,26.1,247,10,19,9.9,0
AQ-0131,22.6,50.7,632,8.3,211,7,222,8.0,1
AQ-0132,29.1,68.3,579,15.4,137,7,213,8.4,1
AQ-0133,29.2,56.4,711,15.7,327,10,52,6.4,1
AQ-0134,19.2,56.8,715,27.9,311,11,20,11.7,0
AQ-0135,28.8,68.2,537,13.2,91,7,196,7.6,1
AQ-0136,25.5,66.2,393,15.2,225,7,234,8.4,0
AQ-0137,22.8,75.0,657,14.5,122,8,132,7.6,0
AQ-0138,18.4,52.6,521,20.1,79,9,145,12.3,0
AQ-0139,22.2,45.7,431,11.3,120,5,172,9.9,0
AQ-0140,22.7,62.7,984,13.2,268,12,32,8.3,1
AQ-0141,25.0,66.3,512,5.3,328,9,187,8.3,0
AQ-0142,20.6,57.6,350,35.1,370,5,87,8.9,0
AQ-0143,25.2,55.9,521,13.6,176,6,229,7.9,0
AQ-0144,19.4,78.2,384,3.9,119,4,37,7.7,0
AQ-0145,19.5,50.4,876,14.1,134,11,102,4.7,1
AQ-0146,22.4,35.9,551,13.9,181,5,230,6.5,0
AQ-0147,24.3,67.5,366,24.0,182,5,157,9.6,0
AQ-0148,24.1,58.3,652,11.6,150,10,134,5.8,1
AQ-0149,20.4,50.3,533,8.9,192,7,30,7.5,0
AQ-0150,23.0,61.8,475,39.9,152,7,37,7.8,0
AQ-0151,28.2,81.7,626,26.4,319,8,95,9.0,1
AQ-0152,22.0,81.7,717,9.5,184,9,92,9.0,0
AQ-0153,29.5,75.9,605,12.8,58,7,125,8.3,0
AQ-0154,27.5,43.3,583,12.5,179,7,119,9.7,1
AQ-0155,28.7,71.3,350,7.2,258,6,151,10.3,1
AQ-0156,28.4,72.6,395,10.8,153,5,48,8.8,0
AQ-0157,21.3,80.6,353,21.4,305,4,113,7.1,1
AQ-0158,20.5,72.3,443,12.5,244,5,194,8.4,1
AQ-0159,23.4,68.6,350,17.8,214,5,102,8.2,0
AQ-0160,19.0,39.7,776,11.9,134,8,85,8.1,1
AQ-0161,18.6,45.0,423,10.7,185,4,194,7.3,1
AQ-0162,25.0,35.5,912,26.9,118,11,29,7.4,0
AQ-0163,24.9,35.3,350,3.4,92,2,145,8.2,0
AQ-0164,21.9,46.8,533,13.9,132,6,52,7.7,0
AQ-0165,23.4,44.9,505,25.9,114,6,206,5.9,0
AQ-0166,29.4,69.9,350,11.4,169,4,50,8.3,0
AQ-0167,20.9,34.9,378,29.1,183,3,148,8.2,0
AQ-0168,21.4,45.3,686,11.1,300,8,206,9.2,1
AQ-0169,20.7,39.6,350,2.7,135,1,83,8.8,0
AQ-0170,23.1,38.5,498,7.8,94,4,164,8.0,0
AQ-0171,29.2,58.6,688,33.0,127,8,41,5.2,1
AQ-0172,26.2,73.0,834,7.9,335,11,1,8.2,0
AQ-0173,23.9,43.1,356,15.7,141,4,48,10.0,0
AQ-0174,28.1,28.9,350,11.1,190,4,147,9.0,0
AQ-0175,18.2,76.7,613,17.7,141,11,206,8.7,1
AQ-0176,24.9,63.0,602,16.2,94,6,17,4.5,0
AQ-0177,26.6,40.1,627,35.8,97,7,6,6.6,0
AQ-0178,19.9,28.2,748,9.1,185,11,167,8.5,0
AQ-0179,20.0,35.7,430,16.1,234,4,52,7.4,0
AQ-0180,16.5,28.6,350,13.0,144,5,22,9.9,0
AQ-0181,25.9,78.6,692,23.9,346,9,166,5.6,1
AQ-0182,26.0,32.7,350,13.0,325,4,18,8.1,0
AQ-0183,16.7,32.0,727,41.0,95,7,159,7.5,1
AQ-0184,27.2,33.8,350,7.3,192,3,52,7.1,0
AQ-0185,26.0,80.5,542,27.8,130,9,160,7.4,1
AQ-0186,28.6,70.7,350,9.2,247,3,106,9.3,0
AQ-0187,25.1,74.7,666,17.7,219,9,211,8.4,1
AQ-0188,20.0,51.4,1018,28.2,192,13,110,5.7,1
AQ-0189,21.3,37.4,547,13.4,303,10,45,10.2,0
AQ-0190,24.6,53.6,395,10.4,229,4,140,8.5,0
AQ-0191,20.4,64.6,514,7.3,128,3,193,8.7,0
AQ-0192,24.2,40.5,565,25.0,188,7,20,7.0,0
AQ-0193,22.6,46.2,662,9.7,102,9,97,9.8,0
AQ-0194,25.2,71.5,485,14.7,125,6,183,9.4,0
AQ-0195,23.4,59.1,696,30.0,291,12,15,9.2,0
AQ-0196,24.0,40.3,638,20.3,182,10,111,6.0,0
AQ-0197,23.6,30.5,769,17.4,287,10,212,6.1,1
AQ-0198,33.1,74.3,493,8.8,281,7,36,7.8,0
AQ-0199,23.7,71.4,555,21.4,360,7,113,8.3,1
AQ-0200,24.9,32.1,555,24.1,181,7,100,4.8,0
AQ-0201,20.0,55.3,654,18.2,191,8,178,7.4,0
AQ-0202,24.7,54.9,825,8.6,200,13,53,6.5,0
AQ-0203,29.3,49.9,550,7.9,288,6,97,6.5,0
AQ-0204,15.8,40.4,350,3.4,273,4,204,8.1,1
AQ-0205,17.6,79.3,350,7.6,123,2,204,7.8,0
AQ-0206,22.4,31.6,492,11.1,323,6,219,7.4,1
AQ-0207,19.1,79.3,503,18.3,130,7,13,9.9,0
AQ-0208,30.9,29.0,784,15.6,254,10,156,8.8,1
AQ-0209,14.8,37.3,535,25.6,233,8,213,6.8,1
AQ-0210,22.0,29.6,571,28.7,190,7,167,6.6,1
AQ-0211,24.0,48.9,464,31.2,309,6,74,6.1,1
AQ-0212,23.8,50.3,393,34.1,39,6,219,11.9,1
AQ-0213,23.6,71.5,430,14.9,224,5,153,9.2,1
AQ-0214,19.4,69.2,461,12.1,346,5,123,8.4,0
AQ-0215,27.9,61.1,606,27.2,114,9,119,6.5,0
AQ-0216,25.2,62.4,627,15.6,66,6,143,5.7,1
AQ-0217,21.9,65.3,355,24.3,44,2,3,11.5,0
AQ-0218,20.1,81.0,350,23.1,222,2,234,8.8,1
AQ-0219,23.7,77.1,501,13.0,142,6,108,9.7,0
AQ-0220,21.5,30.3,809,20.2,423,11,148,7.9,0
AQ-0221,21.2,31.4,461,12.6,224,4,162,7.7,1
AQ-0222,21.4,58.4,548,11.7,218,8,81,6.8,0
AQ-0223,16.9,45.5,717,7.9,211,12,191,8.2,1
AQ-0224,16.6,46.6,815,14.4,147,10,60,6.7,0
AQ-0225,21.9,43.0,517,11.5,103,9,3,7.6,0
AQ-0226,25.1,42.5,493,18.7,156,5,218,7.5,1
AQ-0227,20.8,78.6,350,6.6,327,3,206,7.5,1
AQ-0228,26.3,81.3,459,15.3,41,6,113,9.0,0
AQ-0229,18.7,75.3,788,9.4,111,9,53,6.5,0
AQ-0230,23.7,43.0,428,5.9,140,4,167,10.5,0
AQ-0231,30.3,37.9,553,34.6,205,7,184,11.0,0
AQ-0232,23.9,36.1,575,19.2,132,9,140,8.0,1
AQ-0233,35.0,40.5,617,15.0,65,9,75,8.1,0
AQ-0234,20.4,46.0,350,20.6,104,3,46,11.2,0
AQ-0235,21.6,48.9,878,18.0,218,9,180,8.2,0
AQ-0236,23.5,35.4,350,13.3,132,5,1,7.6,0
AQ-0237,28.0,50.7,432,13.5,129,5,36,9.7,0
AQ-0238,16.6,51.2,697,8.0,95,9,127,9.2,0
AQ-0239,24.6,68.4,677,14.0,233,8,229,6.5,1
AQ-0240,30.8,39.4,651,19.7,303,10,169,7.9,1
AQ-0241,29.2,72.1,385,13.5,59,2,135,8.4,0
AQ-0242,18.9,63.1,353,17.5,203,3,68,6.8,0
AQ-0243,22.2,72.4,567,12.9,182,5,211,7.3,1
AQ-0244,22.9,61.6,835,18.7,173,11,1,6.8,0
AQ-0245,20.6,53.1,350,21.7,118,9,151,9.9,0
AQ-0246,18.2,46.5,350,8.0,99,3,190,7.9,0
AQ-0247,18.5,60.2,538,13.4,280,6,7,8.7,0
AQ-0248,18.2,44.8,467,46.0,144,4,164,7.6,1
AQ-0249,27.1,53.2,684,10.8,116,9,218,6.6,1
AQ-0250,23.8,69.7,514,34.3,191,7,6,8.9,0
AQ-0251,14.5,44.0,636,25.2,384,7,127,7.1,1
AQ-0252,28.6,74.4,558,34.9,136,5,77,8.8,0
AQ-0253,27.5,69.3,534,32.6,310,10,45,8.4,0
AQ-0254,21.5,33.6,557,11.7,112,6,135,7.8,0
AQ-0255,24.3,70.0,530,15.2,338,7,130,8.3,1
AQ-0256,14.3,60.7,404,20.7,178,4,231,9.6,0
AQ-0257,32.0,49.6,433,22.6,271,4,105,7.9,0
AQ-0258,24.6,66.5,487,16.2,238,4,218,9.2,0
AQ-0259,17.1,34.7,515,9.1,288,5,231,8.4,0
AQ-0260,20.5,64.7,768,18.3,239,9,59,8.9,0
AQ-0261,25.4,34.9,641,21.9,173,8,30,5.6,0
AQ-0262,26.9,41.2,531,15.1,109,4,134,8.0,0
AQ-0263,21.6,50.4,389,29.9,138,3,210,10.1,1
AQ-0264,28.7,47.7,458,27.6,208,8,178,9.3,1
AQ-0265,18.6,75.0,501,36.6,268,5,51,6.7,0
AQ-0266,25.0,73.9,350,9.6,198,5,57,11.1,0
AQ-0267,19.0,33.9,558,22.9,243,8,87,9.4,0
AQ-0268,21.1,58.5,528,11.0,137,5,17,10.1,0
AQ-0269,19.9,37.6,400,17.3,85,7,225,8.3,1
AQ-0270,19.0,81.7,724,12.8,237,10,112,6.4,0
AQ-0271,26.6,68.0,810,11.7,226,9,169,7.0,1
AQ-0272,21.4,63.1,695,16.8,448,9,144,7.7,1
AQ-0273,20.2,41.6,350,14.8,66,3,191,9.0,0
AQ-0274,25.4,46.0,605,9.3,150,7,14,7.9,0
AQ-0275,25.3,36.4,630,17.7,307,7,172,7.1,1
AQ-0276,28.0,75.7,748,22.5,262,10,32,8.4,0
AQ-0277,26.6,36.1,350,21.4,122,4,87,6.0,0
AQ-0278,24.8,56.4,918,13.4,231,11,226,6.9,1
AQ-0279,24.3,70.1,564,43.7,147,9,29,7.3,0
AQ-0280,14.9,57.1,350,10.6,167,5,1,9.3,0
AQ-0281,21.9,51.4,493,15.7,96,3,34,7.3,0
AQ-0282,23.3,34.6,571,21.1,297,8,159,6.9,0
AQ-0283,21.2,52.0,350,10.6,98,6,170,8.9,1
AQ-0284,27.3,43.4,547,16.2,399,11,140,7.9,1
AQ-0285,23.6,41.4,408,14.7,204,6,102,9.4,0
AQ-0286,21.7,54.9,646,20.5,317,8,185,6.7,1
AQ-0287,20.8,79.2,566,14.4,275,12,5,9.4,0
AQ-0288,25.0,72.4,815,5.8,98,9,49,7.2,0
AQ-0289,20.7,60.1,420,19.0,302,6,170,7.4,1
AQ-0290,23.9,64.1,840,15.5,131,14,86,9.5,0
AQ-0291,30.9,43.8,474,5.9,164,8,187,7.9,0
AQ-0292,19.7,75.1,350,13.6,153,2,53,8.6,0
AQ-0293,25.4,65.1,493,11.2,159,6,116,7.6,0
AQ-0294,30.7,37.0,412,9.5,40,5,232,10.2,0
AQ-0295,18.7,60.1,492,21.2,67,4,75,7.4,0
AQ-0296,25.9,29.8,483,6.3,281,7,156,5.8,1
AQ-0297,17.3,75.1,786,8.6,155,12,51,7.6,1
AQ-0298,28.8,34.3,410,3.4,240,5,117,7.6,0
AQ-0299,25.2,35.6,406,11.8,193,6,234,8.5,0
AQ-0300,29.8,69.7,885,4.6,366,11,8,9.9,0
AQ-0301,20.1,39.8,660,28.1,181,8,99,7.4,1
AQ-0302,18.6,68.0,705,18.4,240,6,157,6.5,1
AQ-0303,17.8,39.1,486,8.3,123,5,123,8.1,0
AQ-0304,23.1,67.3,471,28.9,38,6,71,6.9,0
AQ-0305,16.3,76.9,676,5.4,147,7,116,8.3,0
AQ-0306,25.5,36.4,350,29.4,52,4,224,10.0,0
AQ-0307,26.2,35.2,517,6.2,167,7,194,9.3,1
AQ-0308,24.9,63.7,894,20.2,147,13,134,5.4,1
AQ-0309,29.9,34.4,723,19.3,239,9,183,7.9,1
AQ-0310,24.5,64.9,400,8.5,270,6,67,10.2,0
AQ-0311,28.0,78.1,558,6.9,64,7,198,6.5,1
AQ-0312,20.3,36.9,350,19.5,397,7,125,10.5,0
AQ-0313,24.4,42.3,524,12.5,147,4,104,8.6,0
AQ-0314,23.0,80.3,421,13.2,240,5,171,9.2,0
AQ-0315,23.5,60.3,631,22.3,203,10,133,8.7,0
AQ-0316,26.7,41.6,831,16.2,435,9,47,4.4,1
AQ-0317,24.1,75.7,710,12.2,522,9,190,7.1,1
AQ-0318,28.0,52.9,437,22.4,226,5,219,10.1,1
AQ-0319,31.2,37.5,534,16.9,236,7,34,6.0,0
AQ-0320,22.1,67.8,654,19.7,122,8,154,7.0,1
AQ-0321,22.4,46.8,720,4.5,266,12,125,8.8,1
AQ-0322,20.4,56.7,536,16.6,419,5,172,5.2,1
AQ-0323,25.6,76.0,1003,11.4,161,10,91,6.7,1
AQ-0324,26.4,75.1,491,12.8,252,7,11,7.8,0
AQ-0325,24.4,47.6,472,10.7,63,5,189,8.9,0
AQ-0326,24.5,71.7,522,21.9,149,7,227,9.9,1
AQ-0327,26.0,67.7,432,26.6,116,6,226,8.4,1
AQ-0328,23.0,71.6,412,8.0,89,6,198,9.8,0
AQ-0329,24.8,75.6,544,28.0,355,6,133,9.2,1
AQ-0330,17.6,73.5,350,8.7,175,2,212,11.6,0
AQ-0331,20.6,60.6,800,10.4,238,10,22,8.0,0
AQ-0332,25.7,35.2,356,26.8,101,3,236,9.6,1
AQ-0333,22.9,36.3,651,12.4,70,10,222,8.6,1
AQ-0334,19.9,42.9,350,11.8,216,4,140,8.4,0
AQ-0335,18.7,62.0,707,6.6,232,9,114,8.0,0
AQ-0336,26.1,71.1,350,6.3,154,5,183,8.8,0
AQ-0337,22.7,62.5,728,19.3,330,9,159,8.9,1
AQ-0338,23.6,36.3,677,11.7,152,9,138,6.1,1
AQ-0339,22.5,60.9,680,10.3,215,7,3,7.3,0
AQ-0340,23.1,40.7,781,30.8,223,8,146,6.0,1
AQ-0341,26.1,75.6,350,18.4,214,4,174,7.4,1
AQ-0342,27.2,75.6,960,16.1,150,11,236,6.0,1
AQ-0343,27.0,33.2,350,6.7,261,4,238,10.0,0
AQ-0344,21.6,75.7,532,10.2,317,5,213,8.5,1
AQ-0345,17.1,61.6,775,8.7,172,8,86,8.9,0
AQ-0346,31.6,54.8,367,4.2,318,6,186,8.6,0
AQ-0347,23.6,60.8,1038,13.0,193,11,125,7.6,1
AQ-0348,24.8,70.0,350,2.9,130,4,54,10.3,0
AQ-0349,26.7,70.6,481,43.8,110,3,201,8.9,1
AQ-0350,27.0,69.3,618,32.0,100,9,73,6.3,0
AQ-0351,18.9,56.9,373,21.8,96,4,205,7.7,1
AQ-0352,23.4,50.2,735,5.8,225,9,187,5.7,1
AQ-0353,25.7,62.1,502,20.3,269,8,3,7.5,0
AQ-0354,20.2,45.3,453,6.8,196,6,64,10.3,0
AQ-0355,21.5,43.0,666,5.9,231,9,90,7.5,0
AQ-0356,17.2,58.7,814,26.2,196,7,193,7.0,1
AQ-0357,28.0,63.3,580,9.5,266,6,187,6.1,0
AQ-0358,29.1,62.2,800,37.1,83,10,211,6.4,1
AQ-0359,28.1,66.6,378,7.6,79,7,231,9.1,0
AQ-0360,24.4,55.1,572,13.2,155,7,178,8.0,0
AQ-0361,25.2,53.9,589,12.7,235,10,145,10.0,0
AQ-0362,23.4,29.8,798,26.0,263,10,218,7.1,1
AQ-0363,23.5,48.7,648,12.8,154,8,48,10.0,0
AQ-0364,21.7,35.2,613,27.4,135,7,5,7.7,0
AQ-0365,19.2,70.9,350,10.3,117,5,192,7.7,0
AQ-0366,17.8,81.3,675,26.6,89,6,127,8.5,1
AQ-0367,14.0,54.1,650,13.7,184,13,58,9.3,0
AQ-0368,27.3,75.9,443,7.2,252,4,158,8.6,0
AQ-0369,20.1,28.9,683,15.5,221,8,126,7.9,0
AQ-0370,21.9,70.2,589,4.4,60,8,150,6.8,0
AQ-0371,19.1,51.8,350,16.3,58,5,213,10.8,0
AQ-0372,23.4,56.0,708,15.5,372,9,114,7.2,0
AQ-0373,24.6,63.1,505,32.8,180,5,219,5.9,1
AQ-0374,26.8,56.8,350,23.2,260,2,100,8.6,0
AQ-0375,22.3,59.1,459,10.8,66,5,122,9.7,0
AQ-0376,19.8,46.2,633,23.7,172,3,41,6.4,0
AQ-0377,21.5,51.0,384,6.6,65,6,210,6.3,0
AQ-0378,21.3,52.8,759,8.8,90,9,41,9.1,1
AQ-0379,19.6,62.2,408,17.4,74,3,166,6.7,0
AQ-0380,20.1,62.4,361,17.4,71,8,62,9.8,0
AQ-0381,28.7,79.9,370,12.6,119,4,197,6.6,0
AQ-0382,26.9,65.7,607,7.3,188,10,209,8.9,0
AQ-0383,18.9,80.1,578,15.6,51,6,16,8.7,0
AQ-0384,21.1,47.0,819,6.8,109,7,221,5.8,1
AQ-0385,25.0,28.7,540,45.0,170,7,136,7.7,0
AQ-0386,24.1,48.5,388,26.7,210,8,101,9.2,0
AQ-0387,24.5,37.8,802,6.5,205,7,114,7.3,0
AQ-0388,24.0,41.3,462,37.5,198,3,131,8.3,1
AQ-0389,31.4,78.3,706,16.4,187,9,126,9.2,1
AQ-0390,21.8,44.1,353,9.6,387,6,86,11.4,0
AQ-0391,23.5,33.6,754,18.7,47,9,131,8.5,0
AQ-0392,24.3,43.1,568,15.7,301,6,157,7.8,1
AQ-0393,25.4,46.7,388,6.4,60,6,38,9.0,0
AQ-0394,24.3,47.7,547,8.2,246,4,20,8.4,0
AQ-0395,18.9,72.8,410,14.1,235,4,64,10.2,0
AQ-0396,24.6,75.8,446,13.6,173,7,205,6.9,0
AQ-0397,23.2,36.4,350,10.2,294,5,205,11.4,0
AQ-0398,26.6,31.4,690,13.8,146,10,202,6.5,0
AQ-0399,19.2,69.5,499,11.5,355,4,36,6.8,0
AQ-0400,24.1,57.3,426,22.2,247,3,133,8.0,1
AQ-0401,19.1,39.9,362,18.4,190,4,98,9.2,0
AQ-0402,30.0,65.1,810,17.0,187,12,8,5.9,0
AQ-0403,27.0,66.8,573,10.6,92,7,25,10.2,0
AQ-0404,27.4,49.6,800,23.2,193,11,3,8.4,0
AQ-0405,28.4,29.4,350,5.6,48,3,149,7.9,0
AQ-0406,26.2,41.1,383,16.1,195,5,140,9.6,0
AQ-0407,16.4,34.2,508,4.5,125,6,92,6.8,0
AQ-0408,17.0,42.8,641,4.4,99,6,217,6.3,1
AQ-0409,26.9,33.9,509,15.9,403,7,25,9.1,0
AQ-0410,23.1,46.8,505,8.1,133,10,101,9.8,0
AQ-0411,25.6,72.5,767,20.7,249,9,41,7.0,1
AQ-0412,25.8,45.5,441,6.4,120,7,77,7.8,0
AQ-0413,22.6,35.0,538,23.1,311,5,191,7.3,1
AQ-0414,24.9,74.1,533,21.5,66,6,36,5.2,1
AQ-0415,28.0,71.9,668,8.9,247,11,7,6.9,0
AQ-0416,22.9,70.0,350,23.1,153,4,230,8.8,1
AQ-0417,27.5,47.0,433,17.8,132,7,5,10.0,0
AQ-0418,19.3,55.5,586,16.5,407,7,74,9.0,0
AQ-0419,28.0,44.8,634,9.7,146,6,34,6.7,0
