dispatch_id,departed_at,hub,service_level,status,packages,delay_minutes
DSP-000169,2025-01-01 11:12:00,Central,Economy,completed,10,10
DSP-000170,2025-01-01 11:16:00,River,Priority,completed,8,11
DSP-000171,2025-01-01 11:20:00,South,Economy,completed,3,9
DSP-000172,2025-01-01 11:24:00,North,Economy,completed,10,10
DSP-000173,2025-01-01 11:28:00,West,Priority,completed,7,13
DSP-000174,2025-01-01 11:32:00,South,Economy,completed,9,10
DSP-000175,2025-01-01 11:36:00,Central,Economy,completed,6,9
DSP-000176,2025-01-01 11:40:00,Harbor,Priority,completed,8,10
DSP-000177,2025-01-01 11:44:00,West,Economy,completed,10,13
DSP-000178,2025-01-01 11:48:00,River,Economy,completed,11,16
DSP-000179,2025-01-01 11:52:00,River,Economy,completed,9,14
DSP-000180,2025-01-01 11:56:00,South,Economy,completed,5,11
DSP-000181,2025-01-01 12:00:00,South,Economy,completed,5,9
DSP-000182,2025-01-01 12:04:00,North,Economy,completed,4,8
DSP-000183,2025-01-01 12:08:00,River,Priority,completed,8,12
DSP-000184,2025-01-01 12:12:00,North,Economy,completed,10,9
DSP-000185,2025-01-01 12:16:00,River,Priority,completed,3,14
DSP-000186,2025-01-01 12:20:00,West,Priority,completed,1,13
DSP-000187,2025-01-01 12:24:00,South,Economy,completed,5,6
DSP-000188,2025-01-01 12:28:00,West,Economy,completed,5,20
DSP-000189,2025-01-01 12:32:00,North,Economy,completed,7,11
DSP-000190,2025-01-01 12:36:00,North,Economy,completed,7,15
DSP-000191,2025-01-01 12:40:00,North,Priority,completed,1,8
DSP-000192,2025-01-01 12:44:00,Central,Priority,completed,3,8
DSP-000193,2025-01-01 12:48:00,River,Economy,completed,4,13
DSP-000194,2025-01-01 12:52:00,West,Economy,completed,5,17
DSP-000195,2025-01-01 12:56:00,South,Priority,completed,6,8
DSP-000196,2025-01-01 13:00:00,Central,Economy,completed,9,7
DSP-000197,2025-01-01 13:04:00,West,Economy,completed,4,14
DSP-000198,2025-01-01 13:08:00,South,Priority,cancelled,6,
DSP-000199,2025-01-01 13:12:00,North,Economy,completed,6,11
DSP-000200,2025-01-01 13:16:00,South,Priority,completed,5,6
DSP-000201,2025-01-01 13:20:00,Harbor,Economy,completed,7,12
DSP-000202,2025-01-01 13:24:00,Central,Economy,completed,1,9
DSP-000203,2025-01-01 13:28:00,River,Economy,completed,4,16
DSP-000204,2025-01-01 13:32:00,North,Priority,completed,2,9
DSP-000205,2025-01-01 13:36:00,River,Economy,completed,4,15
DSP-000206,2025-01-01 13:40:00,South,Economy,completed,2,12
DSP-000207,2025-01-01 13:44:00,River,Economy,completed,3,16
DSP-000208,2025-01-01 13:48:00,South,Priority,completed,2,8
DSP-000209,2025-01-01 13:52:00,River,Economy,completed,10,13
DSP-000210,2025-01-01 13:56:00,West,Economy,completed,9,15
DSP-000211,2025-01-01 14:00:00,Central,Priority,completed,1,8
DSP-000212,2025-01-01 14:04:00,River,Economy,completed,4,11
DSP-000213,2025-01-01 14:08:00,North,Priority,completed,6,9
DSP-000214,2025-01-01 14:12:00,West,Economy,completed,1,12
DSP-000215,2025-01-01 14:16:00,South,Economy,completed,8,7
DSP-000216,2025-01-01 14:20:00,South,Economy,completed,6,8
DSP-000217,2025-01-01 14:24:00,Harbor,Economy,completed,9,14
DSP-000218,2025-01-01 14:28:00,River,Economy,completed,12,14
DSP-000219,2025-01-01 14:32:00,North,Priority,completed,9,8
DSP-000220,2025-01-01 14:36:00,West,Economy,completed,9,13
DSP-000221,2025-01-01 14:40:00,River,Priority,completed,4,12
DSP-000222,2025-01-01 14:44:00,West,Priority,completed,9,12
DSP-000223,2025-01-01 14:48:00,Central,Priority,completed,8,7
DSP-000224,2025-01-01 14:52:00,South,Priority,completed,4,4
DSP-000225,2025-01-01 14:56:00,West,Economy,completed,3,18
DSP-000226,2025-01-01 15:00:00,Central,Priority,completed,8,6
DSP-000227,2025-01-01 15:04:00,River,Priority,completed,4,11
DSP-000228,2025-01-01 15:08:00,South,Priority,completed,1,10
DSP-000229,2025-01-01 15:12:00,South,Economy,completed,2,11
DSP-000230,2025-01-01 15:16:00,River,Priority,completed,9,14
DSP-000231,2025-01-01 15:20:00,South,Economy,completed,4,10
DSP-000232,2025-01-01 15:24:00,Harbor,Economy,completed,9,10
DSP-000233,2025-01-01 15:28:00,South,Economy,completed,8,10
DSP-000234,2025-01-01 15:32:00,River,Economy,completed,10,12
DSP-000235,2025-01-01 15:36:00,South,Economy,completed,6,8
DSP-000236,2025-01-01 15:40:00,South,Economy,completed,6,11
DSP-000237,2025-01-01 15:44:00,South,Priority,cancelled,1,
DSP-000238,2025-01-01 15:48:00,River,Priority,completed,8,11
DSP-000239,2025-01-01 15:52:00,West,Priority,completed,4,16
DSP-000240,2025-01-01 15:56:00,West,Economy,completed,8,16
DSP-000241,2025-01-01 16:00:00,South,Economy,completed,4,13
DSP-000242,2025-01-01 16:04:00,River,Economy,completed,1,18
DSP-000243,2025-01-01 16:08:00,West,Priority,completed,8,18
DSP-000244,2025-01-01 16:12:00,Central,Economy,completed,12,15
DSP-000245,2025-01-01 16:16:00,South,Economy,completed,2,15
DSP-000246,2025-01-01 16:20:00,Harbor,Priority,cancelled,3,
DSP-000247,2025-01-01 16:24:00,South,Economy,completed,7,14
DSP-000248,2025-01-01 16:28:00,Harbor,Priority,completed,9,19
DSP-000249,2025-01-01 16:32:00,Central,Priority,completed,8,12
DSP-000250,2025-01-01 16:36:00,West,Economy,completed,7,19
DSP-000251,2025-01-01 16:40:00,Central,Economy,completed,2,16
DSP-000252,2025-01-01 16:44:00,South,Priority,completed,5,15
DSP-000253,2025-01-01 16:48:00,North,Priority,completed,2,14
DSP-000254,2025-01-01 16:52:00,South,Economy,completed,7,13
DSP-000255,2025-01-01 16:56:00,Central,Economy,completed,8,15
DSP-000256,2025-01-01 17:00:00,River,Economy,completed,11,19
DSP-000257,2025-01-01 17:04:00,River,Economy,completed,2,17
DSP-000258,2025-01-01 17:08:00,North,Economy,completed,10,15
DSP-000259,2025-01-01 17:12:00,River,Priority,completed,3,15
DSP-000260,2025-01-01 17:16:00,North,Priority,completed,9,13
DSP-000261,2025-01-01 17:20:00,West,Priority,completed,2,16
DSP-000262,2025-01-01 17:24:00,Central,Economy,completed,9,14
DSP-000263,2025-01-01 17:28:00,Central,Economy,cancelled,6,
DSP-000264,2025-01-01 17:32:00,Harbor,Economy,completed,2,21
DSP-000265,2025-01-01 17:36:00,Central,Priority,completed,5,11
DSP-000266,2025-01-01 17:40:00,Central,Economy,completed,10,19
DSP-000267,2025-01-01 17:44:00,Harbor,Economy,completed,9,17
DSP-000268,2025-01-01 17:48:00,North,Economy,completed,9,19
DSP-000269,2025-01-01 17:52:00,West,Economy,completed,3,19
DSP-000270,2025-01-01 17:56:00,North,Priority,completed,3,11
DSP-000271,2025-01-01 18:00:00,South,Economy,completed,8,14
DSP-000272,2025-01-01 18:04:00,Harbor,Economy,completed,1,17
DSP-000273,2025-01-01 18:08:00,West,Economy,completed,5,23
DSP-000274,2025-01-01 18:12:00,West,Priority,completed,7,21
DSP-000275,2025-01-01 18:16:00,North,Economy,completed,11,15
DSP-000276,2025-01-01 18:20:00,North,Economy,completed,9,18
DSP-000277,2025-01-01 18:24:00,Harbor,Economy,completed,6,17
DSP-000278,2025-01-01 18:28:00,North,Priority,completed,8,15
DSP-000279,2025-01-01 18:32:00,West,Priority,completed,2,19
DSP-000280,2025-01-01 18:36:00,Central,Economy,completed,6,12
DSP-000281,2025-01-01 18:40:00,River,Economy,completed,4,18
DSP-000282,2025-01-01 18:44:00,Central,Economy,completed,3,15
DSP-000283,2025-01-01 18:48:00,West,Economy,completed,2,21
DSP-000284,2025-01-01 18:52:00,Central,Economy,completed,2,16
DSP-000285,2025-01-01 18:56:00,Harbor,Economy,completed,10,20
DSP-000286,2025-01-01 19:00:00,North,Priority,completed,7,11
DSP-000287,2025-01-01 19:04:00,Harbor,Economy,completed,6,11
DSP-000288,2025-01-01 19:08:00,North,Economy,completed,8,8
DSP-000289,2025-01-01 19:12:00,Harbor,Economy,cancelled,9,
DSP-000290,2025-01-01 19:16:00,South,Economy,cancelled,11,
DSP-000291,2025-01-01 19:20:00,Central,Economy,completed,6,9
DSP-000292,2025-01-01 19:24:00,Harbor,Priority,completed,9,13
DSP-000293,2025-01-01 19:28:00,South,Economy,completed,3,7
DSP-000294,2025-01-01 19:32:00,Harbor,Economy,completed,9,17
DSP-000295,2025-01-01 19:36:00,Central,Priority,completed,7,4
DSP-000296,2025-01-01 19:40:00,South,Economy,completed,9,8
DSP-000297,2025-01-01 19:44:00,South,Economy,completed,9,11
DSP-000298,2025-01-01 19:48:00,West,Priority,completed,9,13
DSP-000299,2025-01-01 19:52:00,Central,Priority,completed,6,6
DSP-000300,2025-01-01 19:56:00,Central,Economy,completed,5,11
DSP-000301,2025-01-01 20:00:00,River,Economy,completed,2,20
DSP-000302,2025-01-01 20:04:00,North,Priority,completed,1,8
DSP-000303,2025-01-01 20:08:00,Harbor,Economy,completed,6,11
DSP-000304,2025-01-01 20:12:00,River,Priority,completed,4,11
DSP-000305,2025-01-01 20:16:00,Central,Economy,completed,5,8
DSP-000306,2025-01-01 20:20:00,Central,Economy,completed,9,5
DSP-000307,2025-01-01 20:24:00,Central,Economy,completed,6,11
DSP-000308,2025-01-01 20:28:00,South,Priority,completed,8,5
DSP-000309,2025-01-01 20:32:00,Harbor,Priority,completed,9,12
DSP-000310,2025-01-01 20:36:00,River,Economy,completed,8,13
DSP-000311,2025-01-01 20:40:00,West,Economy,completed,6,17
DSP-000312,2025-01-01 20:44:00,West,Priority,completed,8,13
DSP-000313,2025-01-01 20:48:00,Central,Economy,completed,10,4
DSP-000314,2025-01-01 20:52:00,North,Economy,completed,6,9
DSP-000315,2025-01-01 20:56:00,Harbor,Economy,completed,3,11
DSP-000316,2025-01-01 21:00:00,Harbor,Priority,completed,5,12
DSP-000317,2025-01-01 21:04:00,Central,Economy,completed,5,9
DSP-000318,2025-01-01 21:08:00,Central,Economy,completed,5,9
DSP-000319,2025-01-01 21:12:00,South,Economy,completed,4,7
DSP-000320,2025-01-01 21:16:00,West,Priority,completed,5,12
DSP-000321,2025-01-01 21:20:00,North,Priority,completed,9,8
DSP-000322,2025-01-01 21:24:00,West,Economy,completed,6,13
DSP-000323,2025-01-01 21:28:00,River,Priority,completed,7,13
DSP-000324,2025-01-01 21:32:00,River,Priority,completed,3,12
DSP-000325,2025-01-01 21:36:00,River,Economy,completed,10,11
DSP-000326,2025-01-01 21:40:00,West,Economy,completed,6,20
DSP-000327,2025-01-01 21:44:00,South,Economy,completed,12,8
DSP-000328,2025-01-01 21:48:00,Harbor,Economy,completed,3,11
DSP-000329,2025-01-01 21:52:00,River,Economy,completed,9,14
DSP-000330,2025-01-01 21:56:00,Harbor,Economy,completed,2,15
DSP-000331,2025-01-01 22:00:00,West,Economy,completed,6,15
DSP-000332,2025-01-01 22:04:00,North,Economy,completed,12,8
DSP-000333,2025-01-01 22:08:00,Harbor,Economy,cancelled,3,
DSP-000334,2025-01-01 22:12:00,Harbor,Priority,completed,1,12
DSP-000335,2025-01-01 22:16:00,West,Economy,completed,5,16
DSP-000336,2025-01-01 22:20:00,River,Economy,completed,4,12
DSP-000337,2025-01-01 22:24:00,Harbor,Economy,completed,5,12
DSP-000338,2025-01-01 22:28:00,South,Economy,completed,9,7
DSP-000339,2025-01-01 22:32:00,North,Economy,completed,6,9
DSP-000340,2025-01-01 22:36:00,West,Economy,completed,8,17
DSP-000341,2025-01-01 22:40:00,River,Priority,completed,5,12
DSP-000342,2025-01-01 22:44:00,Central,Economy,completed,10,12
DSP-000343,2025-01-01 22:48:00,Central,Economy,completed,4,8
DSP-000344,2025-01-01 22:52:00,Harbor,Economy,completed,6,15
DSP-000345,2025-01-01 22:56:00,River,Economy,cancelled,4,
DSP-000346,2025-01-01 23:00:00,North,Economy,completed,7,11
DSP-000347,2025-01-01 23:04:00,South,Economy,completed,8,9
DSP-000348,2025-01-01 23:08:00,West,Priority,completed,8,16
DSP-000349,2025-01-01 23:12:00,South,Economy,completed,5,7
DSP-000350,2025-01-01 23:16:00,River,Economy,completed,7,14
DSP-000351,2025-01-01 23:20:00,South,Economy,completed,6,8
DSP-000352,2025-01-01 23:24:00,North,Economy,completed,10,9
DSP-000353,2025-01-01 23:28:00,South,Priority,completed,5,10
DSP-000354,2025-01-01 23:32:00,South,Economy,completed,4,9
DSP-000355,2025-01-01 23:36:00,North,Economy,completed,1,11
DSP-000356,2025-01-01 23:40:00,South,Economy,cancelled,9,
DSP-000357,2025-01-01 23:44:00,Central,Economy,completed,4,6
DSP-000358,2025-01-01 23:48:00,North,Economy,completed,4,10
DSP-000359,2025-01-01 23:52:00,North,Priority,completed,4,11
DSP-000360,2025-01-01 23:56:00,Central,Economy,completed,8,6
DSP-000361,2025-01-02 00:00:00,Harbor,Economy,completed,7,15
DSP-000362,2025-01-02 00:04:00,Central,Economy,completed,6,8
DSP-000363,2025-01-02 00:08:00,North,Economy,completed,11,10
DSP-000364,2025-01-02 00:12:00,River,Economy,completed,8,13
DSP-000365,2025-01-02 00:16:00,North,Economy,completed,6,7
DSP-000366,2025-01-02 00:20:00,River,Economy,completed,4,14
DSP-000367,2025-01-02 00:24:00,South,Economy,completed,8,10
DSP-000368,2025-01-02 00:28:00,South,Economy,completed,5,7
DSP-000369,2025-01-02 00:32:00,River,Priority,completed,4,12
DSP-000370,2025-01-02 00:36:00,Central,Priority,completed,6,8
DSP-000371,2025-01-02 00:40:00,Central,Economy,completed,8,8
DSP-000372,2025-01-02 00:44:00,Central,Economy,completed,11,5
DSP-000373,2025-01-02 00:48:00,River,Priority,completed,6,12
DSP-000374,2025-01-02 00:52:00,Harbor,Economy,completed,6,13
DSP-000375,2025-01-02 00:56:00,South,Economy,cancelled,8,
DSP-000376,2025-01-02 01:00:00,South,Economy,completed,10,8
DSP-000377,2025-01-02 01:04:00,Central,Priority,completed,2,6
DSP-000378,2025-01-02 01:08:00,South,Economy,completed,4,10
DSP-000379,2025-01-02 01:12:00,Harbor,Economy,completed,4,12
DSP-000380,2025-01-02 01:16:00,South,Economy,completed,10,11
DSP-000381,2025-01-02 01:20:00,West,Economy,completed,4,19
DSP-000382,2025-01-02 01:24:00,Central,Economy,completed,3,14
DSP-000383,2025-01-02 01:28:00,South,Economy,completed,9,7
DSP-000384,2025-01-02 01:32:00,Central,Economy,completed,7,11
DSP-000385,2025-01-02 01:36:00,Central,Economy,completed,6,11
DSP-000386,2025-01-02 01:40:00,Central,Priority,completed,8,9
DSP-000387,2025-01-02 01:44:00,Central,Economy,completed,2,6
DSP-000388,2025-01-02 01:48:00,South,Economy,completed,4,7
DSP-000389,2025-01-02 01:52:00,River,Priority,completed,8,13
DSP-000390,2025-01-02 01:56:00,Harbor,Economy,completed,5,17
DSP-000391,2025-01-02 02:00:00,North,Economy,completed,11,9
DSP-000392,2025-01-02 02:04:00,Central,Economy,completed,11,8
DSP-000393,2025-01-02 02:08:00,South,Economy,cancelled,8,
DSP-000394,2025-01-02 02:12:00,Central,Economy,completed,12,6
DSP-000395,2025-01-02 02:16:00,River,Priority,completed,9,8
DSP-000396,2025-01-02 02:20:00,River,Economy,completed,7,16
DSP-000397,2025-01-02 02:24:00,River,Economy,completed,4,15
DSP-000398,2025-01-02 02:28:00,Central,Economy,completed,3,8
DSP-000399,2025-01-02 02:32:00,Central,Economy,completed,10,7
DSP-000400,2025-01-02 02:36:00,Central,Priority,completed,2,6
DSP-000401,2025-01-02 02:40:00,Central,Economy,completed,5,7
DSP-000402,2025-01-02 02:44:00,South,Priority,cancelled,1,
DSP-000403,2025-01-02 02:48:00,South,Economy,completed,3,8
DSP-000404,2025-01-02 02:52:00,River,Economy,completed,4,11
DSP-000405,2025-01-02 02:56:00,North,Priority,completed,5,9
DSP-000406,2025-01-02 03:00:00,Central,Economy,completed,5,12
DSP-000407,2025-01-02 03:04:00,West,Economy,completed,2,15
DSP-000408,2025-01-02 03:08:00,South,Economy,completed,6,9
DSP-000409,2025-01-02 03:12:00,North,Economy,completed,2,9
DSP-000410,2025-01-02 03:16:00,River,Priority,completed,1,12
DSP-000411,2025-01-02 03:20:00,River,Priority,completed,7,12
DSP-000412,2025-01-02 03:24:00,Harbor,Economy,completed,7,12
DSP-000413,2025-01-02 03:28:00,Harbor,Economy,completed,10,11
DSP-000414,2025-01-02 03:32:00,Central,Economy,completed,8,5
