sequence_id,split,step,temperature_c,door_open,vibration_g,risk_label,event_step
room_0006,train,9,3.874,0,0.162,1,3
room_0007,train,0,3.768,0,0.162,0,-1
room_0007,train,1,4.546,1,0.233,0,-1
room_0007,train,2,4.23,0,0.252,0,-1
room_0007,train,3,4.104,0,0.189,0,-1
room_0007,train,4,4.033,0,0.204,0,-1
room_0007,train,5,3.709,0,0.162,0,-1
room_0007,train,6,4.435,0,0.237,0,-1
room_0007,train,7,3.943,1,0.92,0,-1
room_0007,train,8,3.549,0,0.229,0,-1
room_0008,train,0,3.633,0,0.236,0,-1
room_0008,train,1,3.993,0,0.206,0,-1
room_0008,train,2,4.034,0,0.22,0,-1
room_0008,train,3,4.557,0,0.21,0,-1
room_0008,train,4,3.583,0,0.175,0,-1
room_0008,train,5,3.862,0,0.305,0,-1
room_0008,train,6,3.295,0,0.189,0,-1
room_0008,train,7,4.29,0,0.255,0,-1
room_0008,train,8,4.01,0,0.24,0,-1
room_0008,train,9,4.93,0,0.224,0,-1
room_0009,train,0,4.471,0,0.243,1,12
room_0009,train,1,3.866,0,0.146,1,12
room_0009,train,2,4.066,0,0.154,1,12
room_0009,train,3,3.455,1,0.257,1,12
room_0009,train,4,4.514,0,0.188,1,12
room_0009,train,5,3.388,0,0.239,1,12
room_0009,train,6,3.937,0,0.198,1,12
room_0009,train,7,4.186,0,0.293,1,12
room_0009,train,8,3.708,1,0.202,1,12
room_0009,train,9,3.89,0,0.187,1,12
room_0009,train,10,4.076,0,0.259,1,12
room_0009,train,11,3.997,0,0.146,1,12
room_0009,train,12,10.179,1,0.813,1,12
room_0009,train,13,3.505,0,0.201,1,12
room_0009,train,14,4.302,0,0.216,1,12
room_0010,test,0,4.355,1,0.261,0,-1
room_0010,test,1,4.525,0,0.232,0,-1
room_0010,test,2,4.092,0,0.156,0,-1
room_0010,test,3,3.735,0,0.228,0,-1
room_0010,test,4,4.111,1,0.949,0,-1
room_0010,test,5,4.118,0,0.142,0,-1
room_0010,test,6,3.909,0,0.235,0,-1
room_0010,test,7,3.793,0,0.205,0,-1
room_0010,test,8,4.067,0,0.17,0,-1
room_0010,test,9,3.364,0,0.291,0,-1
room_0010,test,10,3.998,0,0.169,0,-1
room_0010,test,11,3.278,0,0.24,0,-1
room_0010,test,12,3.882,0,0.143,0,-1
room_0010,test,13,4.194,0,0.199,0,-1
room_0010,test,14,4.427,0,0.167,0,-1
room_0011,test,0,4.565,0,0.29,0,-1
room_0011,test,1,3.647,0,0.168,0,-1
room_0011,test,2,4.476,0,0.219,0,-1
room_0011,test,3,3.638,1,0.195,0,-1
room_0011,test,4,3.861,0,0.141,0,-1
room_0011,test,5,3.938,0,0.197,0,-1
room_0011,test,6,4.16,0,0.215,0,-1
room_0011,test,7,4.281,0,0.115,0,-1
room_0011,test,8,4.318,0,0.266,0,-1
room_0011,test,9,3.516,0,0.195,0,-1
room_0011,test,10,4.27,0,0.18,0,-1
room_0011,test,11,4.68,0,0.242,0,-1
room_0012,train,0,3.259,0,0.176,1,3
room_0012,train,1,4.057,0,0.204,1,3
room_0012,train,2,4.154,0,0.156,1,3
room_0012,train,3,10.771,1,0.736,1,3
room_0012,train,4,4.497,0,0.198,1,3
room_0012,train,5,4.162,0,0.129,1,3
room_0012,train,6,3.952,0,0.228,1,3
room_0012,train,7,4.035,0,0.243,1,3
room_0012,train,8,3.964,0,0.183,1,3
room_0012,train,9,3.647,0,0.227,1,3
room_0012,train,10,3.779,0,0.195,1,3
room_0013,train,0,4.008,0,0.211,1,10
room_0013,train,1,3.454,0,0.21,1,10
room_0013,train,2,3.503,0,0.192,1,10
room_0013,train,3,3.556,0,0.194,1,10
room_0013,train,4,3.514,0,0.189,1,10
room_0013,train,5,3.616,0,0.153,1,10
room_0013,train,6,4.5,0,0.151,1,10
room_0013,train,7,3.814,0,0.233,1,10
room_0013,train,8,4.293,0,0.196,1,10
room_0013,train,9,4.085,0,0.215,1,10
room_0013,train,10,9.906,1,0.908,1,10
room_0013,train,11,4.094,0,0.245,1,10
room_0013,train,12,4.268,0,0.208,1,10
room_0013,train,13,3.937,0,0.196,1,10
room_0014,train,0,4.999,0,0.213,1,2
room_0014,train,1,3.691,0,0.115,1,2
room_0014,train,2,9.399,1,0.73,1,2
room_0014,train,3,3.646,0,0.179,1,2
room_0014,train,4,4.352,0,0.279,1,2
room_0014,train,5,4.639,0,0.181,1,2
room_0014,train,6,4.47,0,0.175,1,2
room_0014,train,7,4.539,0,0.214,1,2
room_0014,train,8,4.554,0,0.235,1,2
room_0014,train,9,3.765,0,0.166,1,2
room_0014,train,10,3.517,0,0.166,1,2
room_0014,train,11,3.358,0,0.177,1,2
room_0014,train,12,3.527,0,0.193,1,2
room_0014,train,13,4.365,0,0.148,1,2
room_0014,train,14,4.708,0,0.207,1,2
room_0014,train,15,3.638,1,0.217,1,2
room_0015,train,0,4.143,0,0.274,1,1
room_0015,train,1,10.89,1,0.802,1,1
room_0015,train,2,3.682,0,0.232,1,1
room_0015,train,3,3.898,0,0.174,1,1
room_0015,train,4,4.66,0,0.271,1,1
room_0015,train,5,3.726,1,0.199,1,1
room_0015,train,6,3.909,0,0.223,1,1
room_0015,train,7,3.552,0,0.26,1,1
room_0016,train,0,3.507,0,0.073,0,-1
room_0016,train,1,4.566,0,0.218,0,-1
room_0016,train,2,3.558,0,0.182,0,-1
room_0016,train,3,3.284,0,0.152,0,-1
room_0016,train,4,3.573,0,0.189,0,-1
room_0016,train,5,3.759,1,0.762,0,-1
room_0016,train,6,4.117,0,0.155,0,-1
room_0016,train,7,3.729,0,0.24,0,-1
room_0016,train,8,3.638,0,0.133,0,-1
room_0017,train,0,4.372,0,0.215,1,8
room_0017,train,1,3.942,0,0.124,1,8
room_0017,train,2,4.492,0,0.206,1,8
room_0017,train,3,3.755,0,0.258,1,8
room_0017,train,4,4.858,0,0.21,1,8
room_0017,train,5,3.657,0,0.114,1,8
room_0017,train,6,4.205,0,0.153,1,8
room_0017,train,7,3.763,0,0.212,1,8
room_0017,train,8,10.018,1,0.937,1,8
room_0017,train,9,4.124,0,0.085,1,8
room_0017,train,10,3.444,0,0.172,1,8
room_0017,train,11,3.659,0,0.221,1,8
room_0018,train,0,3.384,0,0.253,1,4
room_0018,train,1,3.643,0,0.196,1,4
room_0018,train,2,3.383,0,0.238,1,4
room_0018,train,3,4.538,0,0.172,1,4
room_0018,train,4,10.902,1,0.784,1,4
room_0018,train,5,4.196,0,0.201,1,4
room_0018,train,6,3.55,0,0.188,1,4
room_0018,train,7,3.95,0,0.198,1,4
room_0018,train,8,3.814,0,0.168,1,4
room_0018,train,9,4.425,0,0.229,1,4
room_0018,train,10,4.055,0,0.2,1,4
room_0018,train,11,3.062,0,0.179,1,4
room_0018,train,12,4.051,0,0.235,1,4
room_0019,train,0,4.114,0,0.135,0,-1
room_0019,train,1,4.718,0,0.198,0,-1
room_0019,train,2,4.137,0,0.207,0,-1
room_0019,train,3,4.799,0,0.185,0,-1
room_0019,train,4,4.431,0,0.249,0,-1
room_0019,train,5,4.365,1,0.916,0,-1
room_0019,train,6,3.62,0,0.133,0,-1
room_0019,train,7,4.256,0,0.155,0,-1
room_0019,train,8,3.753,0,0.203,0,-1
room_0019,train,9,3.979,1,0.147,0,-1
room_0019,train,10,4.903,0,0.167,0,-1
room_0019,train,11,4.018,0,0.229,0,-1
room_0019,train,12,4.44,0,0.182,0,-1
room_0019,train,13,3.936,0,0.128,0,-1
room_0020,test,0,2.868,0,0.257,0,-1
room_0020,test,1,3.316,0,0.218,0,-1
room_0020,test,2,3.992,1,0.175,0,-1
room_0020,test,3,3.703,0,0.157,0,-1
room_0020,test,4,3.747,0,0.249,0,-1
room_0020,test,5,3.903,0,0.204,0,-1
room_0020,test,6,4.438,0,0.113,0,-1
room_0020,test,7,4.578,0,0.227,0,-1
room_0020,test,8,3.754,0,0.172,0,-1
room_0020,test,9,4.656,0,0.334,0,-1
room_0020,test,10,4.267,0,0.104,0,-1
room_0020,test,11,3.675,1,0.189,0,-1
room_0020,test,12,4.262,0,0.133,0,-1
room_0020,test,13,4.148,0,0.23,0,-1
room_0020,test,14,4.377,0,0.229,0,-1
room_0020,test,15,4.198,0,0.161,0,-1
room_0020,test,16,3.946,0,0.221,0,-1
room_0020,test,17,3.9,0,0.195,0,-1
room_0021,train,0,3.47,0,0.172,0,-1
room_0021,train,1,4.342,0,0.167,0,-1
room_0021,train,2,3.886,0,0.196,0,-1
room_0021,train,3,3.769,0,0.163,0,-1
room_0021,train,4,3.985,0,0.227,0,-1
room_0021,train,5,3.747,1,0.182,0,-1
room_0021,train,6,4.744,0,0.178,0,-1
room_0021,train,7,4.839,0,0.224,0,-1
room_0021,train,8,4.01,0,0.217,0,-1
room_0021,train,9,10.712,0,0.255,0,-1
room_0021,train,10,3.701,0,0.142,0,-1
room_0021,train,11,3.549,1,0.187,0,-1
room_0021,train,12,4.908,0,0.135,0,-1
room_0021,train,13,4.725,0,0.232,0,-1
room_0021,train,14,4.312,0,0.233,0,-1
room_0021,train,15,3.577,0,0.196,0,-1
room_0022,train,0,4.357,0,0.163,0,-1
room_0022,train,1,3.95,0,0.134,0,-1
room_0022,train,2,3.136,0,0.191,0,-1
room_0022,train,3,3.289,1,0.289,0,-1
room_0022,train,4,3.791,1,0.855,0,-1
room_0022,train,5,3.567,0,0.149,0,-1
room_0022,train,6,3.024,0,0.227,0,-1
room_0022,train,7,3.182,0,0.256,0,-1
room_0022,train,8,3.654,0,0.192,0,-1
room_0022,train,9,3.641,0,0.15,0,-1
room_0022,train,10,4.093,1,0.177,0,-1
room_0022,train,11,4.305,0,0.261,0,-1
room_0022,train,12,5.213,0,0.121,0,-1
room_0022,train,13,4.374,0,0.207,0,-1
room_0023,train,0,3.5,0,0.197,1,9
room_0023,train,1,4.217,0,0.204,1,9
room_0023,train,2,3.406,0,0.152,1,9
room_0023,train,3,4.066,0,0.225,1,9
room_0023,train,4,4.19,0,0.207,1,9
room_0023,train,5,3.642,0,0.175,1,9
room_0023,train,6,4.747,0,0.276,1,9
room_0023,train,7,4.159,0,0.168,1,9
room_0023,train,8,4.764,0,0.271,1,9
room_0023,train,9,9.983,1,0.891,1,9
room_0023,train,10,4.301,0,0.229,1,9
room_0023,train,11,3.277,0,0.227,1,9
room_0023,train,12,3.695,0,0.164,1,9
room_0023,train,13,2.892,0,0.223,1,9
room_0023,train,14,4.061,0,0.32,1,9
room_0024,train,0,4.207,0,0.148,1,8
room_0024,train,1,3.501,0,0.158,1,8
room_0024,train,2,4.224,0,0.255,1,8
room_0024,train,3,4.26,0,0.159,1,8
room_0024,train,4,4.18,0,0.108,1,8
room_0024,train,5,4.2,0,0.132,1,8
room_0024,train,6,4.491,0,0.25,1,8
room_0024,train,7,3.188,0,0.18,1,8
room_0024,train,8,10.473,1,0.823,1,8
room_0024,train,9,4.185,0,0.245,1,8
room_0025,train,0,4.356,0,0.217,1,11
room_0025,train,1,3.498,0,0.166,1,11
room_0025,train,2,3.798,0,0.232,1,11
room_0025,train,3,4.117,0,0.136,1,11
room_0025,train,4,4.045,1,0.239,1,11
room_0025,train,5,3.684,0,0.23,1,11
room_0025,train,6,4.11,0,0.294,1,11
room_0025,train,7,3.836,0,0.224,1,11
room_0025,train,8,4.439,0,0.232,1,11
room_0025,train,9,4.192,0,0.16,1,11
room_0025,train,10,4.183,0,0.239,1,11
room_0025,train,11,9.001,1,0.948,1,11
room_0025,train,12,4.262,0,0.195,1,11
room_0025,train,13,4.447,0,0.259,1,11
room_0025,train,14,2.89,0,0.195,1,11
room_0026,train,0,4.403,0,0.154,0,-1
room_0026,train,1,3.187,0,0.259,0,-1
room_0026,train,2,4.15,0,0.246,0,-1
room_0026,train,3,4.22,0,0.241,0,-1
room_0026,train,4,4.861,0,0.226,0,-1
room_0026,train,5,3.603,0,0.254,0,-1
room_0026,train,6,3.245,0,0.202,0,-1
room_0026,train,7,4.545,0,0.238,0,-1
room_0026,train,8,4.368,0,0.205,0,-1
room_0026,train,9,4.525,0,0.248,0,-1
room_0026,train,10,3.641,0,0.229,0,-1
room_0026,train,11,3.868,0,0.164,0,-1
room_0026,train,12,4.152,0,0.146,0,-1
room_0026,train,13,4.11,0,0.2,0,-1
room_0026,train,14,4.039,0,0.293,0,-1
room_0027,train,0,3.023,0,0.101,0,-1
room_0027,train,1,3.635,1,0.169,0,-1
room_0027,train,2,9.252,0,0.251,0,-1
room_0027,train,3,3.393,0,0.201,0,-1
room_0027,train,4,3.831,0,0.192,0,-1
room_0027,train,5,4.309,0,0.182,0,-1
room_0027,train,6,3.236,0,0.188,0,-1
room_0027,train,7,5.23,0,0.244,0,-1
room_0027,train,8,3.724,0,0.155,0,-1
room_0027,train,9,4.216,0,0.13,0,-1
room_0027,train,10,4.446,0,0.219,0,-1
room_0027,train,11,3.652,0,0.204,0,-1
room_0028,train,0,3.867,0,0.101,1,2
room_0028,train,1,4.576,0,0.213,1,2
room_0028,train,2,10.379,1,0.839,1,2
room_0028,train,3,4.255,0,0.165,1,2
room_0028,train,4,3.464,0,0.182,1,2
room_0028,train,5,4.503,0,0.274,1,2
room_0028,train,6,4.219,0,0.14,1,2
room_0028,train,7,4.452,0,0.165,1,2
room_0028,train,8,3.562,0,0.252,1,2
room_0028,train,9,3.468,0,0.173,1,2
room_0028,train,10,3.542,0,0.207,1,2
room_0028,train,11,4.114,0,0.219,1,2
room_0028,train,12,3.567,0,0.304,1,2
room_0028,train,13,3.745,0,0.154,1,2
room_0028,train,14,3.671,0,0.253,1,2
room_0028,train,15,3.877,0,0.142,1,2
room_0029,test,0,3.451,0,0.195,0,-1
room_0029,test,1,4.523,0,0.19,0,-1
room_0029,test,2,3.982,0,0.252,0,-1
room_0029,test,3,3.809,0,0.155,0,-1
room_0029,test,4,3.728,0,0.152,0,-1
room_0029,test,5,3.901,0,0.27,0,-1
room_0029,test,6,4.445,0,0.228,0,-1
room_0029,test,7,3.169,0,0.215,0,-1
room_0029,test,8,4.268,0,0.221,0,-1
room_0029,test,9,3.518,0,0.186,0,-1
room_0029,test,10,4.601,1,0.261,0,-1
room_0029,test,11,4.604,0,0.272,0,-1
room_0029,test,12,4.446,0,0.198,0,-1
room_0029,test,13,4.582,0,0.172,0,-1
room_0029,test,14,3.722,0,0.142,0,-1
room_0030,train,0,3.86,0,0.081,0,-1
room_0030,train,1,9.824,0,0.205,0,-1
room_0030,train,2,4.444,0,0.307,0,-1
room_0030,train,3,3.969,1,0.263,0,-1
room_0030,train,4,4.294,0,0.226,0,-1
room_0030,train,5,3.371,0,0.234,0,-1
room_0030,train,6,4.225,0,0.253,0,-1
room_0030,train,7,4.217,0,0.256,0,-1
room_0030,train,8,4.263,0,0.185,0,-1
room_0030,train,9,3.893,0,0.224,0,-1
room_0030,train,10,4.132,0,0.195,0,-1
room_0030,train,11,4.096,1,0.191,0,-1
room_0030,train,12,3.131,0,0.24,0,-1
room_0031,train,0,4.178,0,0.151,0,-1
room_0031,train,1,4.434,1,0.89,0,-1
room_0031,train,2,3.565,1,0.269,0,-1
room_0031,train,3,4.175,0,0.23,0,-1
room_0031,train,4,4.289,0,0.242,0,-1
room_0031,train,5,4.172,0,0.201,0,-1
room_0031,train,6,3.894,0,0.232,0,-1
room_0031,train,7,4.253,0,0.25,0,-1
room_0031,train,8,4.009,0,0.197,0,-1
room_0031,train,9,3.37,0,0.232,0,-1
room_0032,train,0,4.211,0,0.143,1,10
room_0032,train,1,3.255,0,0.153,1,10
room_0032,train,2,4.464,0,0.268,1,10
room_0032,train,3,4.418,0,0.206,1,10
room_0032,train,4,4.919,0,0.177,1,10
room_0032,train,5,4.18,0,0.166,1,10
room_0032,train,6,3.829,0,0.228,1,10
room_0032,train,7,4.252,0,0.223,1,10
room_0032,train,8,4.099,0,0.238,1,10
room_0032,train,9,3.931,0,0.182,1,10
room_0032,train,10,10.663,1,0.797,1,10
room_0032,train,11,2.969,0,0.191,1,10
room_0032,train,12,4.138,0,0.187,1,10
room_0033,train,0,3.793,0,0.158,1,12
room_0033,train,1,4.342,0,0.221,1,12
room_0033,train,2,3.19,0,0.27,1,12
room_0033,train,3,4.46,0,0.251,1,12
room_0033,train,4,4.715,0,0.266,1,12
room_0033,train,5,4.607,0,0.19,1,12
room_0033,train,6,4.325,1,0.139,1,12
room_0033,train,7,3.66,0,0.208,1,12
room_0033,train,8,3.832,0,0.288,1,12
room_0033,train,9,4.353,0,0.175,1,12
room_0033,train,10,2.955,0,0.118,1,12
room_0033,train,11,3.88,0,0.233,1,12
room_0033,train,12,9.978,1,0.732,1,12
room_0033,train,13,4.772,0,0.16,1,12
room_0033,train,14,3.624,0,0.185,1,12
room_0033,train,15,3.627,0,0.181,1,12
room_0033,train,16,3.516,0,0.198,1,12
room_0033,train,17,4.011,0,0.275,1,12
room_0034,train,0,4.169,0,0.247,0,-1
room_0034,train,1,3.134,0,0.241,0,-1
room_0034,train,2,3.634,0,0.185,0,-1
room_0034,train,3,4.13,1,0.784,0,-1
room_0034,train,4,4.322,0,0.224,0,-1
room_0034,train,5,4.803,0,0.226,0,-1
room_0034,train,6,4.553,0,0.284,0,-1
room_0034,train,7,4.242,0,0.177,0,-1
room_0034,train,8,3.757,0,0.212,0,-1
room_0034,train,9,4.256,0,0.133,0,-1
room_0034,train,10,4.017,0,0.233,0,-1
room_0034,train,11,3.556,0,0.203,0,-1
room_0034,train,12,3.535,0,0.223,0,-1
room_0034,train,13,4.399,0,0.14,0,-1
room_0035,train,0,3.586,0,0.197,0,-1
room_0035,train,1,3.855,0,0.148,0,-1
room_0035,train,2,4.25,0,0.217,0,-1
room_0035,train,3,4.509,0,0.204,0,-1
room_0035,train,4,3.947,0,0.216,0,-1
room_0035,train,5,4.747,0,0.18,0,-1
room_0035,train,6,3.387,0,0.138,0,-1
room_0035,train,7,4.078,0,0.216,0,-1
room_0035,train,8,4.137,0,0.229,0,-1
room_0035,train,9,4.173,1,0.154,0,-1
room_0035,train,10,3.743,0,0.22,0,-1
room_0035,train,11,3.511,0,0.234,0,-1
room_0035,train,12,3.889,0,0.247,0,-1
room_0035,train,13,4.666,0,0.23,0,-1
room_0036,train,0,4.349,0,0.167,0,-1
room_0036,train,1,4.415,0,0.174,0,-1
room_0036,train,2,4.562,0,0.301,0,-1
room_0036,train,3,10.004,0,0.259,0,-1
room_0036,train,4,2.994,0,0.301,0,-1
room_0036,train,5,3.954,1,0.139,0,-1
room_0036,train,6,3.913,0,0.215,0,-1
room_0036,train,7,3.702,0,0.2,0,-1
room_0036,train,8,4.067,0,0.294,0,-1
room_0036,train,9,4.409,0,0.214,0,-1
room_0037,test,0,2.962,1,0.145,0,-1
room_0037,test,1,4.415,1,0.196,0,-1
room_0037,test,2,4.263,0,0.085,0,-1
room_0037,test,3,3.705,0,0.211,0,-1
room_0037,test,4,4.567,0,0.179,0,-1
room_0037,test,5,5.134,0,0.253,0,-1
room_0037,test,6,3.938,0,0.219,0,-1
room_0037,test,7,3.353,0,0.2,0,-1
room_0037,test,8,3.781,0,0.194,0,-1
room_0037,test,9,3.992,0,0.114,0,-1
room_0037,test,10,4.059,1,0.721,0,-1
room_0037,test,11,4.353,0,0.249,0,-1
room_0037,test,12,3.216,0,0.303,0,-1
room_0037,test,13,4.639,0,0.159,0,-1
room_0037,test,14,3.185,0,0.246,0,-1
room_0037,test,15,4.489,0,0.224,0,-1
room_0037,test,16,3.301,0,0.135,0,-1
room_0037,test,17,4.603,0,0.205,0,-1
room_0038,train,0,4.073,0,0.164,0,-1
room_0038,train,1,3.78,0,0.216,0,-1
room_0038,train,2,4.453,0,0.241,0,-1
room_0038,train,3,3.883,0,0.302,0,-1
room_0038,train,4,4.934,0,0.185,0,-1
room_0038,train,5,4.792,0,0.187,0,-1
room_0038,train,6,3.25,1,0.199,0,-1
room_0038,train,7,3.783,0,0.263,0,-1
room_0038,train,8,4.182,0,0.196,0,-1
room_0038,train,9,3.454,0,0.22,0,-1
room_0038,train,10,4.234,0,0.168,0,-1
room_0038,train,11,4.529,0,0.15,0,-1
room_0039,test,0,3.596,0,0.189,0,-1
room_0039,test,1,3.92,0,0.162,0,-1
room_0039,test,2,3.831,0,0.151,0,-1
room_0039,test,3,4.368,0,0.1,0,-1
room_0039,test,4,4.025,0,0.24,0,-1
room_0039,test,5,10.437,0,0.189,0,-1
room_0039,test,6,4.932,0,0.207,0,-1
room_0039,test,7,4.207,0,0.108,0,-1
room_0039,test,8,4.67,1,0.237,0,-1
room_0039,test,9,4.368,0,0.279,0,-1
room_0039,test,10,4.406,0,0.177,0,-1
room_0040,test,0,2.95,0,0.281,0,-1
room_0040,test,1,4.095,0,0.222,0,-1
room_0040,test,2,4.309,0,0.217,0,-1
room_0040,test,3,3.754,0,0.212,0,-1
room_0040,test,4,3.48,1,0.214,0,-1
room_0040,test,5,4.449,1,0.915,0,-1
room_0040,test,6,4.095,0,0.214,0,-1
room_0040,test,7,4.656,0,0.15,0,-1
room_0040,test,8,4.448,1,0.218,0,-1
room_0041,train,0,4.393,0,0.234,1,9
room_0041,train,1,3.718,0,0.1,1,9
room_0041,train,2,3.691,0,0.196,1,9
room_0041,train,3,4.072,0,0.173,1,9
room_0041,train,4,4.373,0,0.227,1,9
room_0041,train,5,3.917,0,0.163,1,9
room_0041,train,6,3.678,0,0.183,1,9
room_0041,train,7,3.979,0,0.156,1,9
room_0041,train,8,4.353,0,0.197,1,9
room_0041,train,9,10.677,1,0.782,1,9
room_0041,train,10,3.595,0,0.159,1,9
room_0041,train,11,3.67,0,0.138,1,9
room_0042,train,0,4.905,0,0.153,0,-1
room_0042,train,1,4.143,0,0.213,0,-1
room_0042,train,2,3.953,0,0.13,0,-1
room_0042,train,3,4.38,0,0.14,0,-1
room_0042,train,4,3.906,0,0.186,0,-1
room_0042,train,5,3.741,0,0.145,0,-1
room_0042,train,6,4.207,0,0.165,0,-1
room_0042,train,7,9.996,0,0.159,0,-1
room_0042,train,8,3.793,0,0.1,0,-1
room_0042,train,9,3.978,0,0.185,0,-1
room_0042,train,10,4.504,0,0.237,0,-1
room_0042,train,11,4.507,0,0.288,0,-1
room_0042,train,12,3.766,0,0.184,0,-1
room_0042,train,13,3.735,0,0.211,0,-1
room_0042,train,14,4.31,0,0.199,0,-1
room_0042,train,15,3.878,0,0.186,0,-1
room_0042,train,16,3.412,0,0.242,0,-1
room_0043,train,0,4.118,0,0.168,1,2
room_0043,train,1,3.717,0,0.213,1,2
room_0043,train,2,10.972,1,0.843,1,2
room_0043,train,3,4.301,0,0.127,1,2
room_0043,train,4,3.785,1,0.27,1,2
room_0043,train,5,3.864,0,0.19,1,2
room_0043,train,6,3.138,0,0.189,1,2
room_0043,train,7,3.596,1,0.165,1,2
room_0044,train,0,4.548,0,0.174,0,-1
room_0044,train,1,4.289,0,0.211,0,-1
room_0044,train,2,3.652,0,0.255,0,-1
room_0044,train,3,4.787,0,0.163,0,-1
room_0044,train,4,4.555,0,0.163,0,-1
room_0044,train,5,4.298,0,0.128,0,-1
room_0044,train,6,3.209,0,0.191,0,-1
room_0044,train,7,3.9,0,0.097,0,-1
room_0044,train,8,3.449,0,0.136,0,-1
room_0044,train,9,4.375,0,0.175,0,-1
room_0044,train,10,4.181,0,0.122,0,-1
room_0045,train,0,4.042,0,0.232,0,-1
room_0045,train,1,4.056,0,0.192,0,-1
room_0045,train,2,3.99,0,0.157,0,-1
room_0045,train,3,10.522,0,0.141,0,-1
room_0045,train,4,3.973,0,0.155,0,-1
room_0045,train,5,4.205,0,0.209,0,-1
room_0045,train,6,4.085,0,0.255,0,-1
room_0045,train,7,3.351,0,0.282,0,-1
room_0045,train,8,4.15,0,0.187,0,-1
room_0045,train,9,4.135,0,0.205,0,-1
room_0045,train,10,4.324,0,0.222,0,-1
room_0045,train,11,3.587,0,0.204,0,-1
room_0045,train,12,3.119,0,0.152,0,-1
room_0045,train,13,3.544,0,0.213,0,-1
room_0045,train,14,3.805,0,0.27,0,-1
room_0045,train,15,4.213,0,0.132,0,-1
room_0045,train,16,4.396,0,0.209,0,-1
room_0045,train,17,4.363,0,0.199,0,-1
room_0046,test,0,4.118,0,0.235,1,7
