recorded_date,center_id,center_name,open_hours,visitors,electricity_kwh
2026-01-30,CTR-C,Workshop,10.5,134,90.6
2026-01-30,CTR-D,Reading Room,11.0,151,60.0
2026-01-31,CTR-A,Atrium,5.5,60,53.2
2026-01-31,CTR-B,Studio,6.0,78,67.6
2026-01-31,CTR-C,Workshop,6.5,96,81.1
2026-01-31,CTR-D,Reading Room,7.0,114,50.6
2026-02-01,CTR-A,Atrium,5.5,63,52.9
2026-02-01,CTR-B,Studio,6.0,82,67.4
2026-02-01,CTR-C,Workshop,6.5,101,81.0
2026-02-01,CTR-D,Reading Room,7.0,120,50.7
2026-02-02,CTR-A,Atrium,9.5,109,62.0
2026-02-02,CTR-B,Studio,10.0,129,76.7
2026-02-02,CTR-C,Workshop,10.5,149,90.4
2026-02-02,CTR-D,Reading Room,11.0,169,60.2
2026-02-03,CTR-A,Atrium,9.5,112,61.9
2026-02-03,CTR-B,Studio,10.0,133,76.6
2026-02-03,CTR-C,Workshop,10.5,154,90.5
2026-02-03,CTR-D,Reading Room,11.0,175,60.4
2026-02-04,CTR-A,Atrium,9.5,115,61.8
2026-02-04,CTR-B,Studio,10.0,137,76.7
2026-02-04,CTR-C,Workshop,10.5,159,90.6
2026-02-04,CTR-D,Reading Room,11.0,152,71.1
2026-02-05,CTR-A,Atrium,9.5,118,61.7
2026-02-05,CTR-B,Studio,10.0,141,76.8
2026-02-05,CTR-C,Workshop,10.5,135,89.3
2026-02-05,CTR-D,Reading Room,11.0,158,59.5
2026-02-06,CTR-A,Atrium,9.5,121,61.8
2026-02-06,CTR-B,Studio,10.0,145,77.0
2026-02-06,CTR-C,Workshop,10.5,140,89.6
2026-02-06,CTR-D,Reading Room,11.0,164,60.0
2026-02-07,CTR-A,Atrium,5.5,81,52.6
2026-02-07,CTR-B,Studio,6.0,77,66.3
2026-02-07,CTR-C,Workshop,6.5,102,92.7
2026-02-07,CTR-D,Reading Room,7.0,127,51.2
2026-02-08,CTR-A,Atrium,5.5,84,52.8
2026-02-08,CTR-B,Studio,6.0,81,66.7
2026-02-08,CTR-C,Workshop,6.5,107,81.2
2026-02-08,CTR-D,Reading Room,7.0,133,51.8
2026-02-09,CTR-A,Atrium,9.5,101,60.9
2026-02-09,CTR-B,Studio,10.0,128,76.5
2026-02-09,CTR-C,Workshop,10.5,155,91.2
2026-02-09,CTR-D,Reading Room,11.0,153,60.3
2026-02-10,CTR-A,Atrium,9.5,104,61.3
2026-02-10,CTR-B,Studio,10.0,132,89.0
2026-02-10,CTR-C,Workshop,10.5,160,91.8
2026-02-10,CTR-D,Reading Room,11.0,159,61.1
2026-02-11,CTR-A,Atrium,9.5,107,61.8
2026-02-11,CTR-B,Studio,10.0,136,77.6
2026-02-11,CTR-C,Workshop,10.5,136,91.0
2026-02-11,CTR-D,Reading Room,11.0,165,62.0
2026-02-12,CTR-A,Atrium,9.5,110,62.3
2026-02-12,CTR-B,Studio,10.0,140,78.3
2026-02-12,CTR-C,Workshop,10.5,141,91.8
2026-02-12,CTR-D,Reading Room,11.0,171,62.9
2026-02-13,CTR-A,Atrium,9.5,113,75.0
2026-02-13,CTR-B,Studio,10.0,144,79.1
2026-02-13,CTR-C,Workshop,10.5,146,92.6
2026-02-13,CTR-D,Reading Room,11.0,177,63.8
2026-02-14,CTR-A,Atrium,5.5,73,54.3
2026-02-14,CTR-B,Studio,6.0,76,68.9
2026-02-14,CTR-C,Workshop,6.5,108,84.1
2026-02-14,CTR-D,Reading Room,7.0,111,53.8
2026-02-15,CTR-A,Atrium,5.5,76,55.0
2026-02-15,CTR-B,Studio,6.0,80,69.7
2026-02-15,CTR-C,Workshop,6.5,113,85.1
2026-02-15,CTR-D,Reading Room,7.0,117,54.8
2026-02-16,CTR-A,Atrium,9.5,122,65.2
2026-02-16,CTR-B,Studio,10.0,127,79.9
2026-02-16,CTR-C,Workshop,10.5,161,95.4
2026-02-16,CTR-D,Reading Room,11.0,166,65.2
2026-02-17,CTR-A,Atrium,9.5,125,66.0
2026-02-17,CTR-B,Studio,10.0,131,80.8
2026-02-17,CTR-C,Workshop,10.5,137,94.7
2026-02-17,CTR-D,Reading Room,11.0,172,66.2
2026-02-18,CTR-A,Atrium,9.5,128,66.8
2026-02-18,CTR-B,Studio,10.0,135,81.7
2026-02-18,CTR-C,Workshop,10.5,142,95.7
2026-02-18,CTR-D,Reading Room,11.0,178,67.2
2026-02-19,CTR-A,Atrium,9.5,102,66.1
2026-02-19,CTR-B,Studio,10.0,139,82.6
2026-02-19,CTR-C,Workshop,10.5,147,96.6
2026-02-19,CTR-D,Reading Room,11.0,155,66.6
2026-02-20,CTR-A,Atrium,9.5,105,66.9
2026-02-20,CTR-B,Studio,10.0,143,83.5
2026-02-20,CTR-C,Workshop,10.5,152,97.6
2026-02-20,CTR-D,Reading Room,11.0,161,67.6
2026-02-21,CTR-A,Atrium,5.5,65,58.4
2026-02-21,CTR-B,Studio,6.0,75,73.5
2026-02-21,CTR-C,Workshop,6.5,114,89.1
2026-02-21,CTR-D,Reading Room,7.0,124,59.1
2026-02-22,CTR-A,Atrium,5.5,68,59.2
2026-02-22,CTR-B,Studio,6.0,79,74.3
2026-02-22,CTR-C,Workshop,6.5,119,90.0
2026-02-22,CTR-D,Reading Room,7.0,130,60.0
2026-02-23,CTR-A,Atrium,9.5,114,69.4
2026-02-23,CTR-B,Studio,10.0,126,84.5
2026-02-23,CTR-C,Workshop,10.5,138,98.6
2026-02-23,CTR-D,Reading Room,11.0,179,70.2
2026-02-24,CTR-A,Atrium,9.5,117,70.1
2026-02-24,CTR-B,Studio,10.0,130,85.3
2026-02-24,CTR-C,Workshop,10.5,143,99.3
2026-02-24,CTR-D,Reading Room,11.0,156,69.4
2026-02-25,CTR-A,Atrium,9.5,120,70.8
2026-02-25,CTR-B,Studio,10.0,134,86.0
2026-02-25,CTR-C,Workshop,10.5,148,100.0
2026-02-25,CTR-D,Reading Room,11.0,162,70.0
2026-02-26,CTR-A,Atrium,9.5,123,71.5
2026-02-26,CTR-B,Studio,10.0,138,86.6
2026-02-26,CTR-C,Workshop,10.5,153,100.7
2026-02-26,CTR-D,Reading Room,11.0,168,70.6
2026-02-27,CTR-A,Atrium,9.5,126,72.1
2026-02-27,CTR-B,Studio,10.0,142,87.2
2026-02-27,CTR-C,Workshop,10.5,158,101.2
2026-02-27,CTR-D,Reading Room,11.0,174,83.2
2026-02-28,CTR-A,Atrium,5.5,57,61.6
2026-02-28,CTR-B,Studio,6.0,74,76.7
2026-02-28,CTR-C,Workshop,6.5,91,90.7
2026-02-28,CTR-D,Reading Room,7.0,108,60.7
2026-03-01,CTR-A,Atrium,5.5,60,62.1
2026-03-01,CTR-B,Studio,6.0,78,77.1
2026-03-01,CTR-C,Workshop,6.5,96,91.1
2026-03-01,CTR-D,Reading Room,7.0,114,61.0
2026-03-02,CTR-A,Atrium,9.5,106,71.8
2026-03-02,CTR-B,Studio,10.0,125,86.8
2026-03-02,CTR-C,Workshop,10.5,144,112.8
2026-03-02,CTR-D,Reading Room,11.0,163,70.7
2026-03-03,CTR-A,Atrium,9.5,109,72.1
2026-03-03,CTR-B,Studio,10.0,129,87.1
2026-03-03,CTR-C,Workshop,10.5,149,101.0
2026-03-03,CTR-D,Reading Room,11.0,169,70.8
2026-03-04,CTR-A,Atrium,9.5,112,72.3
2026-03-04,CTR-B,Studio,10.0,133,87.3
2026-03-04,CTR-C,Workshop,10.5,154,101.1
2026-03-04,CTR-D,Reading Room,11.0,175,70.9
2026-03-05,CTR-A,Atrium,9.5,115,72.4
2026-03-05,CTR-B,Studio,10.0,137,99.3
2026-03-05,CTR-C,Workshop,10.5,159,101.2
2026-03-05,CTR-D,Reading Room,11.0,152,69.4
2026-03-06,CTR-A,Atrium,9.5,118,72.4
2026-03-06,CTR-B,Studio,10.0,141,87.3
2026-03-06,CTR-C,Workshop,10.5,135,99.6
2026-03-06,CTR-D,Reading Room,11.0,158,69.3
2026-03-07,CTR-A,Atrium,5.5,78,63.0
2026-03-07,CTR-B,Studio,6.0,102,77.9
2026-03-07,CTR-C,Workshop,6.5,97,90.1
2026-03-07,CTR-D,Reading Room,7.0,121,59.8
2026-03-08,CTR-A,Atrium,5.5,81,74.9
2026-03-08,CTR-B,Studio,6.0,77,76.1
2026-03-08,CTR-C,Workshop,6.5,102,89.9
2026-03-08,CTR-D,Reading Room,7.0,127,59.7
2026-03-09,CTR-A,Atrium,9.5,127,72.0
2026-03-09,CTR-B,Studio,10.0,124,85.3
2026-03-09,CTR-C,Workshop,10.5,150,99.1
2026-03-09,CTR-D,Reading Room,11.0,176,68.8
2026-03-10,CTR-A,Atrium,9.5,101,70.1
2026-03-10,CTR-B,Studio,10.0,128,85.0
2026-03-10,CTR-C,Workshop,10.5,155,98.8
2026-03-10,CTR-D,Reading Room,11.0,153,66.9
2026-03-11,CTR-A,Atrium,9.5,104,69.8
2026-03-11,CTR-B,Studio,10.0,132,84.6
2026-03-11,CTR-C,Workshop,10.5,160,98.4
2026-03-11,CTR-D,Reading Room,11.0,159,66.6
2026-03-12,CTR-A,Atrium,9.5,107,69.4
2026-03-12,CTR-B,Studio,10.0,136,84.2
2026-03-12,CTR-C,Workshop,10.5,136,96.5
2026-03-12,CTR-D,Reading Room,11.0,165,66.3
2026-03-13,CTR-A,Atrium,9.5,110,68.9
2026-03-13,CTR-B,Studio,10.0,140,83.8
2026-03-13,CTR-C,Workshop,10.5,141,96.1
2026-03-13,CTR-D,Reading Room,11.0,171,65.9
2026-03-14,CTR-A,Atrium,5.5,70,59.1
2026-03-14,CTR-B,Studio,6.0,101,74.0
2026-03-14,CTR-C,Workshop,6.5,103,86.3
2026-03-14,CTR-D,Reading Room,7.0,134,56.2
2026-03-15,CTR-A,Atrium,5.5,73,58.6
2026-03-15,CTR-B,Studio,6.0,76,72.0
2026-03-15,CTR-C,Workshop,6.5,108,85.9
2026-03-15,CTR-D,Reading Room,7.0,111,54.3
2026-03-16,CTR-A,Atrium,9.5,119,67.4
2026-03-16,CTR-B,Studio,10.0,123,80.9
2026-03-16,CTR-C,Workshop,10.5,156,94.9
2026-03-16,CTR-D,Reading Room,11.0,160,63.3
2026-03-17,CTR-A,Atrium,9.5,122,66.9
2026-03-17,CTR-B,Studio,10.0,127,80.4
2026-03-17,CTR-C,Workshop,10.5,161,94.5
2026-03-17,CTR-D,Reading Room,11.0,166,63.0
2026-03-18,CTR-A,Atrium,9.5,125,66.4
2026-03-18,CTR-B,Studio,10.0,131,79.9
2026-03-18,CTR-C,Workshop,10.5,137,92.5
2026-03-18,CTR-D,Reading Room,11.0,172,62.7
2026-03-19,CTR-A,Atrium,9.5,128,65.9
2026-03-19,CTR-B,Studio,10.0,135,79.5
2026-03-19,CTR-C,Workshop,10.5,142,92.2
2026-03-19,CTR-D,Reading Room,11.0,178,62.5
2026-03-20,CTR-A,Atrium,9.5,102,63.8
2026-03-20,CTR-B,Studio,10.0,139,79.2
2026-03-20,CTR-C,Workshop,10.5,147,91.9
2026-03-20,CTR-D,Reading Room,11.0,155,60.7
2026-03-21,CTR-A,Atrium,5.5,62,54.0
2026-03-21,CTR-B,Studio,6.0,100,69.5
2026-03-21,CTR-C,Workshop,6.5,109,82.3
2026-03-21,CTR-D,Reading Room,7.0,118,51.3
2026-03-22,CTR-A,Atrium,5.5,65,53.7
2026-03-22,CTR-B,Studio,6.0,75,67.6
2026-03-22,CTR-C,Workshop,6.5,114,82.2
2026-03-22,CTR-D,Reading Room,7.0,124,63.2
2026-03-23,CTR-A,Atrium,9.5,111,62.7
2026-03-23,CTR-B,Studio,10.0,122,76.7
2026-03-23,CTR-C,Workshop,10.5,162,91.4
2026-03-23,CTR-D,Reading Room,11.0,173,60.6
2026-03-24,CTR-A,Atrium,9.5,114,62.4
2026-03-24,CTR-B,Studio,10.0,126,76.6
2026-03-24,CTR-C,Workshop,10.5,138,89.8
2026-03-24,CTR-D,Reading Room,11.0,179,60.8
2026-03-25,CTR-A,Atrium,9.5,117,62.2
2026-03-25,CTR-B,Studio,10.0,130,76.5
2026-03-25,CTR-C,Workshop,10.5,143,101.9
2026-03-25,CTR-D,Reading Room,11.0,156,59.4
2026-03-26,CTR-A,Atrium,9.5,120,62.1
2026-03-26,CTR-B,Studio,10.0,134,76.5
2026-03-26,CTR-C,Workshop,10.5,148,90.1
2026-03-26,CTR-D,Reading Room,11.0,162,59.7
2026-03-27,CTR-A,Atrium,9.5,123,62.1
2026-03-27,CTR-B,Studio,10.0,138,76.6
2026-03-27,CTR-C,Workshop,10.5,153,90.3
2026-03-27,CTR-D,Reading Room,11.0,168,60.0
2026-03-28,CTR-A,Atrium,5.5,83,52.7
2026-03-28,CTR-B,Studio,6.0,99,79.4
2026-03-28,CTR-C,Workshop,6.5,115,81.2
2026-03-28,CTR-D,Reading Room,7.0,131,51.1
2026-03-29,CTR-A,Atrium,5.5,57,51.3
2026-03-29,CTR-B,Studio,6.0,74,66.1
2026-03-29,CTR-C,Workshop,6.5,91,80.1
2026-03-29,CTR-D,Reading Room,7.0,108,50.1
2026-03-30,CTR-A,Atrium,9.5,103,60.8
2026-03-30,CTR-B,Studio,10.0,121,75.8
2026-03-30,CTR-C,Workshop,10.5,139,89.9
2026-03-30,CTR-D,Reading Room,11.0,157,60.1
2026-03-31,CTR-A,Atrium,9.5,106,73.1
2026-03-31,CTR-B,Studio,10.0,125,76.3
2026-03-31,CTR-C,Workshop,10.5,144,90.5
2026-03-31,CTR-D,Reading Room,11.0,163,60.8
