order_item_id,order_id,product_id,quantity,unit_price_at_sale
OI00157,O05903,P029,1,384.93
OI00158,O00473,P004,3,27.73
OI00159,O00473,P005,3,267.21
OI00160,O00766,P044,3,356.11
OI00161,O00766,P037,4,193.81
OI00162,O00766,P004,5,27.73
OI00163,O02390,P060,1,349.64
OI00164,O02390,P031,2,90.92
OI00165,O02390,P013,1,417.94
OI00166,O02524,P030,3,268.92
OI00167,O02524,P038,1,133.77
OI00168,O02778,P058,2,114.8
OI00169,O02778,P018,5,252.47
OI00170,O02778,P016,2,407.27
OI00171,O03787,P016,5,407.27
OI00172,O05055,P047,1,116.76
OI00173,O05474,P059,2,10.1
OI00174,O05474,P009,3,384.59
OI00175,O05474,P021,4,443.61
OI00176,O01274,P037,4,193.81
OI00177,O01274,P051,2,389.34
OI00178,O01734,P032,4,364.88
OI00179,O01917,P039,2,409.81
OI00180,O01917,P025,4,349.98
OI00181,O01917,P050,3,182.2
OI00182,O01917,P046,5,23.84
OI00183,O02573,P004,4,27.73
OI00184,O02573,P048,2,146.16
OI00185,O02624,P036,1,15.81
OI00186,O02624,P051,1,389.34
OI00187,O02624,P052,4,155.23
OI00188,O03024,P022,5,358.81
OI00189,O03024,P039,5,409.81
OI00190,O03024,P008,5,157.6
OI00191,O05203,P033,1,68.48
OI00192,O05203,P052,3,155.23
OI00193,O05203,P048,2,146.16
OI00194,O05370,P054,4,310.0
OI00195,O05370,P031,4,90.92
OI00196,O05370,P017,4,391.13
OI00197,O05750,P060,3,349.64
OI00198,O05750,P007,3,345.2
OI00199,O05750,P029,2,384.93
OI00200,O05802,P058,5,114.8
OI00201,O05802,P046,5,23.84
OI00202,O05802,P016,2,407.27
OI00203,O00258,P014,3,11.23
OI00204,O00258,P055,2,29.47
OI00205,O00258,P009,4,384.59
OI00206,O00989,P013,2,417.94
OI00207,O00989,P035,5,67.39
OI00208,O00989,P003,2,215.44
OI00209,O01934,P039,1,409.81
OI00210,O01934,P046,5,23.84
OI00211,O01934,P054,5,310.0
OI00212,O01934,P047,3,116.76
OI00213,O02856,P007,5,345.2
OI00214,O02856,P051,2,389.34
OI00215,O02950,P029,5,384.93
OI00216,O03635,P036,1,15.81
OI00217,O03635,P023,3,416.72
OI00218,O03635,P052,3,155.23
OI00219,O04389,P024,1,29.52
OI00220,O04389,P045,1,296.59
OI00221,O04389,P018,2,252.47
OI00222,O05534,P049,4,34.75
OI00223,O05534,P032,4,364.88
OI00224,O00930,P007,5,345.2
OI00225,O01159,P032,5,364.88
OI00226,O01159,P033,2,68.48
OI00227,O02239,P042,4,358.05
OI00228,O02239,P059,2,10.1
OI00229,O02239,P054,5,310.0
OI00230,O02548,P002,2,181.52
OI00231,O02548,P001,2,378.87
OI00232,O03209,P008,4,157.6
OI00233,O03209,P028,4,185.4
OI00234,O03209,P003,1,215.44
OI00235,O03954,P003,5,215.44
OI00236,O03954,P053,5,123.07
OI00237,O03954,P046,5,23.84
OI00238,O03970,P040,4,296.82
OI00239,O04738,P057,3,91.24
OI00240,O05394,P043,4,447.66
OI00241,O05394,P052,3,155.23
OI00242,O05394,P039,4,409.81
OI00243,O05530,P007,3,345.2
OI00244,O05530,P035,5,67.39
OI00245,O05530,P017,4,391.13
OI00246,O00325,P026,3,29.64
OI00247,O01332,P008,2,157.6
OI00248,O01332,P035,3,67.39
OI00249,O01438,P013,3,417.94
OI00250,O01467,P019,3,135.4
OI00251,O01467,P039,2,409.81
OI00252,O02276,P052,4,155.23
OI00253,O02276,P034,3,271.08
OI00254,O02912,P020,3,62.75
OI00255,O03695,P050,3,182.2
OI00256,O03695,P053,1,123.07
OI00257,O03695,P019,4,135.4
OI00258,O03695,P026,1,29.64
OI00259,O04972,P031,1,90.92
OI00260,O04972,P014,5,11.23
OI00261,O04972,P044,1,356.11
OI00262,O05996,P033,3,68.48
OI00263,O05996,P014,4,11.23
OI00264,O00427,P028,1,185.4
OI00265,O00427,P058,2,114.8
OI00266,O01188,P047,5,116.76
OI00267,O01560,P029,1,384.93
OI00268,O01560,P050,2,182.2
OI00269,O01560,P022,1,358.81
OI00270,O02377,P003,2,215.44
OI00271,O02377,P035,4,67.39
OI00272,O02377,P025,2,349.98
OI00273,O02377,P015,1,441.96
OI00274,O03057,P033,3,68.48
OI00275,O03057,P018,4,252.47
OI00276,O01253,P026,2,29.64
OI00277,O01253,P051,1,389.34
OI00278,O01253,P056,2,28.94
OI00279,O01253,P053,3,123.07
OI00280,O02053,P020,4,62.75
OI00281,O02053,P010,5,383.82
OI00282,O02053,P041,1,76.71
OI00283,O02088,P027,4,9.99
OI00284,O02088,P046,3,23.84
OI00285,O02088,P004,5,27.73
OI00286,O00580,P039,4,409.81
OI00287,O00580,P010,3,383.82
OI00288,O00580,P019,3,135.4
OI00289,O01803,P035,3,67.39
OI00290,O01803,P013,1,417.94
OI00291,O02009,P001,4,378.87
OI00292,O02009,P014,5,11.23
OI00293,O02009,P013,4,417.94
OI00294,O02009,P009,1,384.59
OI00295,O02129,P043,3,447.66
OI00296,O02129,P016,1,407.27
OI00297,O02272,P055,4,29.47
OI00298,O02272,P056,2,28.94
OI00299,O02272,P009,4,384.59
OI00300,O02338,P024,5,29.52
OI00301,O02338,P014,4,11.23
OI00302,O02959,P039,1,409.81
OI00303,O02959,P029,1,384.93
OI00304,O02995,P024,1,29.52
OI00305,O02995,P048,5,146.16
OI00306,O02995,P043,4,447.66
OI00307,O03073,P016,5,407.27
OI00308,O04703,P021,2,443.61
OI00309,O05278,P048,4,146.16
OI00310,O00375,P051,4,389.34
OI00311,O00375,P039,4,409.81
OI00312,O00375,P044,2,356.11
OI00313,O01801,P060,5,349.64
OI00314,O02235,P028,5,185.4
OI00315,O02563,P060,4,349.64
OI00316,O02563,P048,1,146.16
OI00317,O02563,P018,4,252.47
OI00318,O02563,P037,3,193.81
OI00319,O03162,P004,5,27.73
OI00320,O03162,P026,5,29.64
OI00321,O03868,P036,5,15.81
OI00322,O03868,P047,1,116.76
OI00323,O03868,P016,3,407.27
OI00324,O04187,P010,4,383.82
OI00325,O04187,P003,4,215.44
OI00326,O04187,P060,3,349.64
OI00327,O04405,P019,2,135.4
OI00328,O04405,P005,3,267.21
OI00329,O00038,P012,4,86.46
OI00330,O00038,P008,3,157.6
OI00331,O01240,P025,5,349.98
OI00332,O01240,P002,2,181.52
OI00333,O01240,P034,3,271.08
OI00334,O01303,P004,3,27.73
OI00335,O01303,P055,1,29.47
OI00336,O01303,P016,3,407.27
OI00337,O01551,P049,4,34.75
OI00338,O01551,P050,4,182.2
OI00339,O01551,P044,5,356.11
OI00340,O02852,P003,3,215.44
OI00341,O02852,P021,3,443.61
OI00342,O02852,P008,2,157.6
OI00343,O03043,P057,2,91.24
OI00344,O03043,P029,2,384.93
OI00345,O03043,P003,5,215.44
OI00346,O03343,P048,3,146.16
OI00347,O03343,P038,2,133.77
OI00348,O03343,P055,1,29.47
OI00349,O03343,P049,5,34.75
OI00350,O03628,P047,2,116.76
OI00351,O03628,P036,2,15.81
OI00352,O03628,P023,1,416.72
OI00353,O04168,P053,2,123.07
OI00354,O04168,P016,4,407.27
OI00355,O04168,P003,3,215.44
OI00356,O04884,P014,5,11.23
OI00357,O04884,P038,1,133.77
OI00358,O04884,P010,5,383.82
OI00359,O05641,P010,3,383.82
OI00360,O05641,P056,1,28.94
OI00361,O00407,P016,5,407.27
OI00362,O00407,P005,1,267.21
OI00363,O00407,P058,5,114.8
OI00364,O01446,P025,1,349.98
OI00365,O01446,P004,4,27.73
OI00366,O01446,P037,3,193.81
OI00367,O02014,P023,2,416.72
OI00368,O02014,P025,1,349.98
OI00369,O02014,P031,1,90.92
OI00370,O02014,P056,5,28.94
OI00371,O02026,P017,2,391.13
OI00372,O02026,P049,1,34.75
OI00373,O02119,P015,2,441.96
OI00374,O02119,P058,3,114.8
OI00375,O02119,P030,2,268.92
OI00376,O02119,P025,1,349.98
OI00377,O02180,P026,4,29.64
OI00378,O02180,P046,2,23.84
OI00379,O03019,P016,3,407.27
OI00380,O03019,P041,4,76.71
OI00381,O03019,P031,4,90.92
OI00382,O03019,P037,5,193.81
OI00383,O03197,P005,1,267.21
OI00384,O03197,P035,4,67.39
OI00385,O03197,P051,5,389.34
OI00386,O03197,P012,4,86.46
OI00387,O04096,P028,5,185.4
OI00388,O05104,P019,2,135.4
OI00389,O05104,P049,5,34.75
OI00390,O00129,P030,4,268.92
OI00391,O00129,P039,2,409.81
OI00392,O00129,P019,3,135.4
OI00393,O00129,P018,5,252.47
OI00394,O00515,P005,5,267.21
OI00395,O00515,P007,1,345.2
OI00396,O00515,P035,3,67.39
OI00397,O00515,P040,5,296.82
OI00398,O02313,P040,1,296.82
OI00399,O02313,P054,2,310.0
OI00400,O02313,P013,5,417.94
OI00401,O02809,P020,4,62.75
OI00402,O02809,P021,2,443.61
OI00403,O04041,P053,1,123.07
OI00404,O04041,P001,4,378.87
OI00405,O04136,P050,3,182.2
OI00406,O04136,P058,5,114.8
OI00407,O04342,P027,3,9.99
OI00408,O01164,P009,4,384.59
OI00409,O01164,P046,5,23.84
OI00410,O01164,P020,4,62.75
OI00411,O02431,P016,3,407.27
OI00412,O02431,P025,1,349.98
OI00413,O02431,P021,4,443.61
OI00414,O02489,P050,1,182.2
OI00415,O02489,P021,2,443.61
OI00416,O02489,P047,3,116.76
OI00417,O02489,P051,5,389.34
OI00418,O04167,P003,1,215.44
OI00419,O04167,P045,1,296.59
OI00420,O04167,P012,5,86.46
OI00421,O05546,P051,1,389.34
OI00422,O05546,P032,1,364.88
OI00423,O05546,P031,5,90.92
OI00424,O05900,P045,2,296.59
OI00425,O00892,P035,1,67.39
OI00426,O01325,P013,3,417.94
OI00427,O01346,P020,4,62.75
OI00428,O01346,P048,4,146.16
OI00429,O01346,P033,4,68.48
OI00430,O01346,P001,1,378.87
OI00431,O02125,P007,3,345.2
OI00432,O02125,P009,1,384.59
OI00433,O02750,P060,1,349.64
OI00434,O02785,P055,2,29.47
OI00435,O02785,P046,3,23.84
OI00436,O02785,P059,5,10.1
OI00437,O02785,P054,5,310.0
OI00438,O03190,P013,4,417.94
OI00439,O03658,P004,2,27.73
OI00440,O03658,P047,2,116.76
OI00441,O03658,P009,3,384.59
OI00442,O04558,P037,2,193.81
OI00443,O04936,P021,1,443.61
OI00444,O04936,P036,1,15.81
OI00445,O00496,P035,2,67.39
OI00446,O00496,P015,1,441.96
OI00447,O01528,P054,5,310.0
OI00448,O01528,P032,2,364.88
OI00449,O01528,P018,3,252.47
OI00450,O01528,P060,3,349.64
OI00451,O01569,P013,4,417.94
OI00452,O01569,P015,5,441.96
OI00453,O01569,P029,2,384.93
OI00454,O02187,P058,4,114.8
OI00455,O02187,P046,5,23.84
OI00456,O02187,P005,3,267.21
OI00457,O02244,P056,4,28.94
OI00458,O03618,P012,3,86.46
OI00459,O03648,P031,4,90.92
OI00460,O03648,P049,2,34.75
OI00461,O05042,P053,3,123.07
OI00462,O05042,P037,2,193.81
OI00463,O00118,P015,4,441.96
OI00464,O00118,P039,5,409.81
OI00465,O00118,P056,2,28.94
OI00466,O02309,P007,1,345.2
OI00467,O02488,P036,3,15.81
OI00468,O02488,P057,4,91.24
OI00469,O02488,P003,5,215.44
OI00470,O02788,P015,2,441.96
OI00471,O02788,P028,5,185.4
OI00472,O02788,P011,4,54.4
OI00473,O02788,P042,4,358.05
OI00474,O03619,P042,3,358.05
OI00475,O03619,P047,1,116.76
OI00476,O03619,P012,2,86.46
OI00477,O03619,P022,1,358.81
OI00478,O04092,P010,4,383.82
OI00479,O05536,P012,1,86.46
OI00480,O05536,P039,3,409.81
OI00481,O05536,P019,5,135.4
OI00482,O05536,P035,2,67.39
OI00483,O00652,P012,4,86.46
OI00484,O00652,P010,5,383.82
OI00485,O00652,P054,4,310.0
OI00486,O00815,P019,2,135.4
OI00487,O02392,P006,3,380.87
OI00488,O03668,P053,2,123.07
OI00489,O03668,P060,3,349.64
OI00490,O03668,P054,5,310.0
OI00491,O03668,P028,3,185.4
OI00492,O04004,P036,5,15.81
OI00493,O04004,P003,2,215.44
OI00494,O04004,P018,3,252.47
OI00495,O04222,P055,5,29.47
OI00496,O04670,P044,4,356.11
OI00497,O05096,P013,3,417.94
OI00498,O05096,P038,1,133.77
OI00499,O05096,P036,5,15.81
OI00500,O05105,P018,5,252.47
OI00501,O05105,P052,1,155.23
OI00502,O05105,P013,1,417.94
OI00503,O00408,P051,5,389.34
OI00504,O00408,P029,3,384.93
OI00505,O00658,P055,3,29.47
OI00506,O00658,P046,3,23.84
OI00507,O00658,P006,4,380.87
OI00508,O00835,P029,1,384.93
OI00509,O00835,P041,3,76.71
OI00510,O01272,P005,4,267.21
OI00511,O01272,P051,4,389.34
OI00512,O01272,P012,3,86.46
OI00513,O01844,P004,5,27.73
OI00514,O01844,P007,4,345.2
OI00515,O02106,P020,2,62.75
OI00516,O02106,P050,3,182.2
OI00517,O02106,P032,1,364.88
OI00518,O02275,P018,2,252.47
OI00519,O02275,P015,4,441.96
OI00520,O02275,P016,5,407.27
OI00521,O02561,P012,5,86.46
OI00522,O02561,P019,3,135.4
OI00523,O02561,P056,2,28.94
OI00524,O02561,P060,3,349.64
OI00525,O02610,P024,5,29.52
OI00526,O02633,P021,2,443.61
OI00527,O02633,P034,4,271.08
OI00528,O02633,P020,3,62.75
OI00529,O03305,P037,3,193.81
OI00530,O04432,P018,4,252.47
OI00531,O04432,P038,5,133.77
OI00532,O04432,P012,5,86.46
OI00533,O04432,P059,2,10.1
OI00534,O04812,P046,5,23.84
OI00535,O04812,P023,4,416.72
OI00536,O05113,P008,3,157.6
OI00537,O05128,P039,1,409.81
OI00538,O05128,P014,2,11.23
OI00539,O05128,P027,5,9.99
OI00540,O05159,P046,5,23.84
OI00541,O00059,P045,1,296.59
OI00542,O00565,P054,2,310.0
OI00543,O00565,P011,1,54.4
OI00544,O01299,P043,3,447.66
OI00545,O01299,P004,3,27.73
OI00546,O02442,P035,4,67.39
OI00547,O02442,P050,3,182.2
OI00548,O02442,P045,2,296.59
OI00549,O04348,P044,3,356.11
OI00550,O04348,P053,4,123.07
OI00551,O04978,P021,1,443.61
OI00552,O05622,P036,3,15.81
OI00553,O00569,P029,2,384.93
OI00554,O00569,P001,3,378.87
OI00555,O00569,P009,2,384.59
OI00556,O00837,P057,1,91.24
OI00557,O00891,P005,2,267.21
OI00558,O00891,P042,3,358.05
OI00559,O00891,P025,1,349.98
OI00560,O01040,P051,5,389.34
OI00561,O01040,P024,5,29.52
OI00562,O01784,P005,2,267.21
OI00563,O01784,P044,4,356.11
OI00564,O02136,P005,4,267.21
OI00565,O02136,P006,1,380.87
OI00566,O02136,P051,1,389.34
OI00567,O02136,P057,2,91.24
OI00568,O02583,P037,2,193.81
OI00569,O02627,P032,4,364.88
OI00570,O02627,P015,1,441.96
OI00571,O02627,P038,5,133.77
OI00572,O02869,P043,3,447.66
OI00573,O03187,P041,1,76.71
OI00574,O03391,P029,5,384.93
OI00575,O03391,P042,4,358.05
OI00576,O04090,P006,4,380.87
OI00577,O04774,P036,2,15.81
OI00578,O05887,P027,5,9.99
OI00579,O05887,P047,1,116.76
OI00580,O00108,P056,4,28.94
OI00581,O00926,P018,1,252.47
OI00582,O00926,P058,5,114.8
OI00583,O00926,P004,2,27.73
OI00584,O00974,P011,4,54.4
OI00585,O00974,P045,4,296.59
OI00586,O01492,P019,4,135.4
OI00587,O01492,P057,5,91.24
OI00588,O01492,P047,5,116.76
OI00589,O01492,P037,2,193.81
OI00590,O01558,P045,2,296.59
OI00591,O01558,P029,2,384.93
OI00592,O01979,P032,2,364.88
OI00593,O01979,P057,4,91.24
OI00594,O01979,P002,5,181.52
OI00595,O01979,P006,2,380.87
OI00596,O02271,P037,1,193.81
OI00597,O02271,P044,5,356.11
OI00598,O02271,P034,1,271.08
OI00599,O02367,P038,3,133.77
OI00600,O02367,P012,4,86.46
OI00601,O02367,P023,4,416.72
OI00602,O02408,P017,4,391.13
OI00603,O02408,P053,5,123.07
OI00604,O02408,P019,3,135.4
OI00605,O02408,P043,5,447.66
OI00606,O02864,P060,5,349.64
OI00607,O02864,P052,3,155.23
OI00608,O02864,P047,3,116.76
OI00609,O02864,P029,2,384.93
OI00610,O03143,P048,1,146.16
OI00611,O03143,P023,1,416.72
OI00612,O03143,P011,2,54.4
OI00613,O03406,P017,4,391.13
OI00614,O03406,P038,1,133.77
OI00615,O03406,P018,4,252.47
OI00616,O03406,P042,2,358.05
OI00617,O03847,P013,3,417.94
OI00618,O00221,P032,2,364.88
OI00619,O00221,P006,4,380.87
OI00620,O01169,P011,2,54.4
OI00621,O01169,P039,3,409.81
OI00622,O01589,P056,4,28.94
OI00623,O01589,P022,3,358.81
OI00624,O01589,P049,5,34.75
OI00625,O02233,P037,2,193.81
OI00626,O02233,P032,5,364.88
OI00627,O02233,P056,2,28.94
OI00628,O02359,P058,2,114.8
OI00629,O02359,P042,4,358.05
OI00630,O02739,P059,3,10.1
OI00631,O02739,P029,2,384.93
OI00632,O02739,P037,1,193.81
OI00633,O02739,P031,1,90.92
OI00634,O03447,P015,5,441.96
OI00635,O03447,P040,4,296.82
OI00636,O05102,P003,4,215.44
OI00637,O05102,P005,1,267.21
OI00638,O05102,P013,5,417.94
OI00639,O05276,P057,1,91.24
OI00640,O05293,P029,2,384.93
OI00641,O05293,P036,4,15.81
OI00642,O05293,P051,3,389.34
OI00643,O00439,P036,4,15.81
OI00644,O00439,P057,5,91.24
OI00645,O00439,P038,2,133.77
OI00646,O01430,P032,1,364.88
OI00647,O01845,P059,3,10.1
OI00648,O01845,P060,1,349.64
OI00649,O01845,P008,1,157.6
OI00650,O04407,P021,2,443.61
OI00651,O04407,P024,4,29.52
OI00652,O04440,P031,2,90.92
OI00653,O04450,P039,4,409.81
OI00654,O05964,P042,5,358.05
OI00655,O05964,P003,5,215.44
OI00656,O05964,P004,5,27.73
OI00657,O01777,P029,4,384.93
OI00658,O01777,P007,1,345.2
OI00659,O01777,P006,5,380.87
OI00660,O01966,P023,2,416.72
OI00661,O02068,P043,5,447.66
OI00662,O02308,P003,5,215.44
OI00663,O02308,P011,5,54.4
OI00664,O02308,P060,2,349.64
OI00665,O02387,P028,4,185.4
OI00666,O02387,P040,5,296.82
OI00667,O02387,P044,2,356.11
OI00668,O03189,P049,1,34.75
OI00669,O03189,P055,4,29.47
OI00670,O03189,P026,2,29.64
OI00671,O03189,P046,1,23.84
OI00672,O03800,P042,1,358.05
OI00673,O03800,P059,2,10.1
OI00674,O03879,P058,3,114.8
OI00675,O04626,P030,3,268.92
OI00676,O04626,P035,3,67.39
OI00677,O04626,P031,4,90.92
OI00678,O04671,P035,3,67.39
OI00679,O04671,P027,3,9.99
OI00680,O04671,P034,1,271.08
OI00681,O05019,P013,5,417.94
OI00682,O05019,P007,1,345.2
OI00683,O05019,P035,3,67.39
OI00684,O05627,P003,4,215.44
OI00685,O05627,P040,2,296.82
OI00686,O05627,P014,5,11.23
OI00687,O05823,P002,2,181.52
OI00688,O00136,P029,3,384.93
OI00689,O00136,P030,2,268.92
OI00690,O00136,P025,4,349.98
OI00691,O01331,P027,3,9.99
OI00692,O02198,P022,2,358.81
OI00693,O02198,P043,5,447.66
OI00694,O02198,P031,3,90.92
OI00695,O02198,P040,3,296.82
OI00696,O02420,P024,2,29.52
OI00697,O02420,P001,5,378.87
OI00698,O02420,P037,2,193.81
OI00699,O03329,P015,2,441.96
OI00700,O03351,P019,1,135.4
OI00701,O03351,P051,1,389.34
OI00702,O03638,P052,3,155.23
OI00703,O03638,P017,2,391.13
OI00704,O03638,P040,4,296.82
OI00705,O03931,P041,3,76.71
OI00706,O03931,P044,2,356.11
OI00707,O05041,P059,1,10.1
OI00708,O05041,P024,2,29.52
OI00709,O05281,P037,2,193.81
OI00710,O05281,P006,5,380.87
OI00711,O05281,P020,4,62.75
OI00712,O05281,P058,4,114.8
OI00713,O05811,P051,4,389.34
OI00714,O00243,P009,2,384.59
OI00715,O00243,P012,5,86.46
OI00716,O00243,P018,4,252.47
OI00717,O00386,P005,3,267.21
OI00718,O00386,P003,5,215.44
OI00719,O00386,P021,1,443.61
OI00720,O00793,P031,5,90.92
OI00721,O00793,P009,1,384.59
OI00722,O00793,P049,4,34.75
OI00723,O00793,P039,3,409.81
OI00724,O01629,P026,3,29.64
OI00725,O01629,P029,2,384.93
OI00726,O01629,P031,1,90.92
OI00727,O02326,P027,5,9.99
OI00728,O02800,P029,1,384.93
OI00729,O02800,P020,5,62.75
OI00730,O04223,P060,3,349.64
OI00731,O04247,P039,4,409.81
OI00732,O05412,P039,1,409.81
OI00733,O05412,P053,2,123.07
OI00734,O05412,P004,1,27.73
OI00735,O05480,P047,2,116.76
OI00736,O05480,P058,3,114.8
OI00737,O05480,P059,4,10.1
OI00738,O02851,P045,1,296.59
OI00739,O02851,P020,1,62.75
OI00740,O02851,P030,1,268.92
OI00741,O04355,P011,1,54.4
OI00742,O05165,P057,1,91.24
OI00743,O05165,P050,2,182.2
OI00744,O05875,P051,5,389.34
OI00745,O02683,P056,4,28.94
OI00746,O02683,P043,1,447.66
OI00747,O02700,P034,4,271.08
OI00748,O02700,P039,4,409.81
OI00749,O02982,P054,5,310.0
OI00750,O03732,P035,3,67.39
OI00751,O03732,P022,2,358.81
OI00752,O05079,P013,3,417.94
OI00753,O05079,P041,1,76.71
OI00754,O05575,P022,5,358.81
OI00755,O05575,P009,3,384.59
OI00756,O05745,P020,1,62.75
OI00757,O05745,P013,2,417.94
OI00758,O05745,P041,1,76.71
OI00759,O05745,P055,3,29.47
OI00760,O01110,P034,1,271.08
OI00761,O02168,P053,5,123.07
OI00762,O02168,P041,1,76.71
OI00763,O03215,P002,4,181.52
OI00764,O03215,P014,1,11.23
OI00765,O03215,P015,5,441.96
OI00766,O03957,P059,3,10.1
OI00767,O03957,P035,1,67.39
OI00768,O04385,P060,4,349.64
OI00769,O04385,P049,2,34.75
OI00770,O04385,P011,4,54.4
OI00771,O04574,P040,5,296.82
OI00772,O04574,P003,2,215.44
OI00773,O05205,P029,4,384.93
OI00774,O05205,P017,5,391.13
