timestamp,vibration_mm_s,simulation_drift_mm_s
2026-04-15 09:00:00,2.2131,1.8255
2026-04-15 09:02:00,2.3061,1.8286
2026-04-15 09:04:00,2.3792,1.8318
2026-04-15 09:06:00,2.5601,1.8351
2026-04-15 09:08:00,2.5835,1.8384
2026-04-15 09:10:00,2.6138,1.8417
2026-04-15 09:12:00,2.5167,1.8451
2026-04-15 09:14:00,2.4056,1.8485
2026-04-15 09:16:00,2.2502,1.8519
2026-04-15 09:18:00,2.1177,1.8555
2026-04-15 09:20:00,2.0024,1.859
2026-04-15 09:22:00,1.9618,1.8626
2026-04-15 09:24:00,1.8458,1.8663
2026-04-15 09:26:00,1.8628,1.87
2026-04-15 09:28:00,1.8819,1.8738
2026-04-15 09:30:00,1.8204,1.8777
2026-04-15 09:32:00,1.8698,1.8815
2026-04-15 09:34:00,1.8769,1.8855
2026-04-15 09:36:00,1.877,1.8895
2026-04-15 09:38:00,1.8674,1.8936
2026-04-15 09:40:00,1.9042,1.8977
2026-04-15 09:42:00,1.9418,1.9019
2026-04-15 09:44:00,1.9443,1.9061
2026-04-15 09:46:00,1.9851,1.9105
2026-04-15 09:48:00,1.9867,1.9148
2026-04-15 09:50:00,2.0252,1.9193
2026-04-15 09:52:00,2.0041,1.9237
2026-04-15 09:54:00,1.9548,1.9283
2026-04-15 09:56:00,1.949,1.9329
2026-04-15 09:58:00,1.8933,1.9376
2026-04-15 10:00:00,1.9181,1.9423
2026-04-15 10:02:00,1.9108,1.9471
2026-04-15 10:04:00,1.9637,1.9519
2026-04-15 10:06:00,1.9636,1.9568
2026-04-15 10:08:00,1.9211,1.9617
2026-04-15 10:10:00,1.9385,1.9667
2026-04-15 10:12:00,1.9,1.9717
2026-04-15 10:14:00,1.8997,1.9768
2026-04-15 10:16:00,1.9835,1.9819
2026-04-15 10:18:00,1.9209,1.9871
2026-04-15 10:20:00,2.0918,1.9923
2026-04-15 10:22:00,2.0272,1.9975
2026-04-15 10:24:00,2.1117,2.0028
2026-04-15 10:26:00,2.1076,2.0081
2026-04-15 10:28:00,2.0887,2.0134
2026-04-15 10:30:00,2.1213,2.0187
2026-04-15 10:32:00,2.0739,2.0241
2026-04-15 10:34:00,2.0412,2.0294
2026-04-15 10:36:00,2.0734,2.0348
2026-04-15 10:38:00,2.0937,2.0402
2026-04-15 10:40:00,2.0206,2.0456
2026-04-15 10:42:00,2.0769,2.051
2026-04-15 10:44:00,1.9788,2.0564
2026-04-15 10:46:00,1.9788,2.0618
2026-04-15 10:48:00,2.0134,2.0671
2026-04-15 10:50:00,1.9992,2.0725
2026-04-15 10:52:00,2.0328,2.0778
2026-04-15 10:54:00,2.0445,2.0831
2026-04-15 10:56:00,2.0462,2.0884
2026-04-15 10:58:00,2.0657,2.0937
2026-04-15 11:00:00,2.1033,2.0989
2026-04-15 11:02:00,2.1121,2.1041
2026-04-15 11:04:00,2.0781,2.1092
2026-04-15 11:06:00,2.1473,2.1143
2026-04-15 11:08:00,2.1598,2.1194
2026-04-15 11:10:00,2.1366,2.1244
2026-04-15 11:12:00,2.0951,2.1293
2026-04-15 11:14:00,2.1005,2.1342
2026-04-15 11:16:00,2.1966,2.139
2026-04-15 11:18:00,2.2436,2.1438
2026-04-15 11:20:00,2.1623,2.1485
2026-04-15 11:22:00,2.1689,2.1532
2026-04-15 11:24:00,2.1521,2.1578
2026-04-15 11:26:00,2.0878,2.1623
2026-04-15 11:28:00,2.0865,2.1668
2026-04-15 11:30:00,2.0921,2.1712
2026-04-15 11:32:00,2.111,2.1755
2026-04-15 11:34:00,2.1615,2.1798
2026-04-15 11:36:00,2.1315,2.184
2026-04-15 11:38:00,2.1449,2.1881
2026-04-15 11:40:00,2.2036,2.1922
2026-04-15 11:42:00,2.2304,2.1961
2026-04-15 11:44:00,2.1513,2.2
2026-04-15 11:46:00,2.154,2.2039
2026-04-15 11:48:00,2.277,2.2077
2026-04-15 11:50:00,2.1855,2.2114
2026-04-15 11:52:00,2.2418,2.215
2026-04-15 11:54:00,2.2625,2.2186
2026-04-15 11:56:00,2.319,2.222
2026-04-15 11:58:00,2.363,2.2255
2026-04-15 12:00:00,2.2929,2.2288
2026-04-15 12:02:00,2.2216,2.2321
2026-04-15 12:04:00,2.3081,2.2354
2026-04-15 12:06:00,2.2193,2.2385
2026-04-15 12:08:00,2.2758,2.2416
2026-04-15 12:10:00,2.193,2.2447
2026-04-15 12:12:00,2.2656,2.2477
2026-04-15 12:14:00,2.2222,2.2506
2026-04-15 12:16:00,2.2308,2.2534
2026-04-15 12:18:00,2.2334,2.2562
2026-04-15 12:20:00,2.1629,2.259
2026-04-15 12:22:00,2.2365,2.2617
2026-04-15 12:24:00,2.2096,2.2643
2026-04-15 12:26:00,2.199,2.2669
2026-04-15 12:28:00,2.2269,2.2695
2026-04-15 12:30:00,2.2916,2.2719
2026-04-15 12:32:00,2.2927,2.2744
2026-04-15 12:34:00,2.3685,2.2767
2026-04-15 12:36:00,2.339,2.2791
2026-04-15 12:38:00,2.3795,2.2814
2026-04-15 12:40:00,2.3397,2.2836
2026-04-15 12:42:00,2.3384,2.2858
2026-04-15 12:44:00,2.3209,2.288
2026-04-15 12:46:00,2.2795,2.2901
2026-04-15 12:48:00,2.2626,2.2921
2026-04-15 12:50:00,2.4,2.2942
2026-04-15 12:52:00,2.3002,2.2961
2026-04-15 12:54:00,2.286,2.2981
2026-04-15 12:56:00,2.2306,2.3
2026-04-15 12:58:00,2.2435,2.3018
2026-04-15 13:00:00,2.2456,2.3037
2026-04-15 13:02:00,2.1715,2.3054
2026-04-15 13:04:00,2.2095,2.3072
2026-04-15 13:06:00,2.2683,2.3089
2026-04-15 13:08:00,2.2895,2.3106
2026-04-15 13:10:00,2.2829,2.3122
2026-04-15 13:12:00,2.3307,2.3138
2026-04-15 13:14:00,2.3354,2.3153
2026-04-15 13:16:00,2.3665,2.3168
2026-04-15 13:18:00,2.3833,2.3183
2026-04-15 13:20:00,2.3705,2.3197
2026-04-15 13:22:00,2.3685,2.3211
2026-04-15 13:24:00,2.3411,2.3225
2026-04-15 13:26:00,2.3317,2.3238
2026-04-15 13:28:00,2.3696,2.3251
2026-04-15 13:30:00,2.3615,2.3263
2026-04-15 13:32:00,2.3364,2.3275
2026-04-15 13:34:00,2.3728,2.3286
2026-04-15 13:36:00,2.3077,2.3297
2026-04-15 13:38:00,2.3369,2.3308
2026-04-15 13:40:00,2.2278,2.3318
2026-04-15 13:42:00,2.3109,2.3328
2026-04-15 13:44:00,2.3979,2.3337
2026-04-15 13:46:00,2.384,2.3346
2026-04-15 13:48:00,2.4694,2.3354
2026-04-15 13:50:00,2.5177,2.3362
2026-04-15 13:52:00,2.6525,2.3369
2026-04-15 13:54:00,2.7477,2.3375
2026-04-15 13:56:00,2.8122,2.3381
2026-04-15 13:58:00,2.9555,2.3387
2026-04-15 14:00:00,3.1582,2.3391
2026-04-15 14:02:00,3.1888,2.3396
2026-04-15 14:04:00,3.3352,2.3399
2026-04-15 14:06:00,3.3741,2.3402
2026-04-15 14:08:00,3.3028,2.3404
2026-04-15 14:10:00,3.2219,2.3406
2026-04-15 14:12:00,3.114,2.3407
2026-04-15 14:14:00,2.9653,2.3407
2026-04-15 14:16:00,2.8634,2.3406
2026-04-15 14:18:00,2.6565,2.3405
2026-04-15 14:20:00,2.6695,2.3402
2026-04-15 14:22:00,2.5057,2.3399
2026-04-15 14:24:00,2.4968,2.3395
2026-04-15 14:26:00,2.3771,2.3391
2026-04-15 14:28:00,2.4014,2.3385
2026-04-15 14:30:00,2.3852,2.3379
2026-04-15 14:32:00,2.3171,2.3371
2026-04-15 14:34:00,2.3643,2.3363
2026-04-15 14:36:00,2.3607,2.3354
2026-04-15 14:38:00,2.321,2.3344
2026-04-15 14:40:00,2.3039,2.3333
2026-04-15 14:42:00,2.3444,2.3321
2026-04-15 14:44:00,2.3803,2.3308
2026-04-15 14:46:00,2.4575,2.3294
2026-04-15 14:48:00,2.4112,2.328
2026-04-15 14:50:00,2.3214,2.3264
2026-04-15 14:52:00,2.3038,2.3248
2026-04-15 14:54:00,2.3748,2.3231
2026-04-15 14:56:00,2.3505,2.3213
2026-04-15 14:58:00,2.3465,2.3194
2026-04-15 15:00:00,2.3384,2.3174
2026-04-15 15:02:00,2.378,2.3154
2026-04-15 15:04:00,2.2922,2.3133
2026-04-15 15:06:00,2.3221,2.3112
2026-04-15 15:08:00,2.2352,2.3089
2026-04-15 15:10:00,2.2491,2.3067
2026-04-15 15:12:00,2.2345,2.3044
2026-04-15 15:14:00,2.2355,2.302
2026-04-15 15:16:00,2.2677,2.2996
2026-04-15 15:18:00,2.3134,2.2972
2026-04-15 15:20:00,2.3726,2.2948
2026-04-15 15:22:00,2.3719,2.2923
2026-04-15 15:24:00,2.3583,2.2898
2026-04-15 15:26:00,2.3778,2.2873
2026-04-15 15:28:00,2.3856,2.2849
2026-04-15 15:30:00,2.331,2.2824
2026-04-15 15:32:00,2.3326,2.28
2026-04-15 15:34:00,2.3561,2.2776
2026-04-15 15:36:00,2.3272,2.2752
2026-04-15 15:38:00,2.417,2.2728
2026-04-15 15:40:00,2.3179,2.2705
2026-04-15 15:42:00,2.3008,2.2683
2026-04-15 15:44:00,2.2594,2.2661
2026-04-15 15:46:00,2.2729,2.2639
2026-04-15 15:48:00,2.1899,2.2618
2026-04-15 15:50:00,2.2234,2.2598
2026-04-15 15:52:00,2.222,2.2579
2026-04-15 15:54:00,2.1916,2.256
2026-04-15 15:56:00,2.2931,2.2542
2026-04-15 15:58:00,2.2004,2.2525
2026-04-15 16:00:00,2.2803,2.2509
2026-04-15 16:02:00,2.2464,2.2493
2026-04-15 16:04:00,2.2528,2.2478
2026-04-15 16:06:00,2.2828,2.2464
2026-04-15 16:08:00,2.177,2.2451
2026-04-15 16:10:00,2.2785,2.2439
2026-04-15 16:12:00,2.306,2.2428
2026-04-15 16:14:00,2.2487,2.2417
2026-04-15 16:16:00,2.2696,2.2408
2026-04-15 16:18:00,2.3197,2.2399
2026-04-15 16:20:00,2.2461,2.2391
2026-04-15 16:22:00,2.166,2.2384
2026-04-15 16:24:00,2.2392,2.2377
2026-04-15 16:26:00,2.2338,2.2372
2026-04-15 16:28:00,2.2278,2.2367
2026-04-15 16:30:00,2.1897,2.2363
2026-04-15 16:32:00,2.2285,2.2359
2026-04-15 16:34:00,2.2573,2.2357
2026-04-15 16:36:00,2.256,2.2355
2026-04-15 16:38:00,2.1898,2.2353
2026-04-15 16:40:00,2.2031,2.2352
2026-04-15 16:42:00,2.2123,2.2352
2026-04-15 16:44:00,2.1703,2.2353
2026-04-15 16:46:00,2.2175,2.2353
2026-04-15 16:48:00,2.2403,2.2355
2026-04-15 16:50:00,2.1894,2.2357
2026-04-15 16:52:00,2.2873,2.236
2026-04-15 16:54:00,2.2779,2.2362
2026-04-15 16:56:00,2.3234,2.2366
2026-04-15 16:58:00,2.3634,2.237
2026-04-15 17:00:00,2.3199,2.2374
2026-04-15 17:02:00,2.2433,2.2379
2026-04-15 17:04:00,2.2219,2.2384
2026-04-15 17:06:00,2.2411,2.2389
2026-04-15 17:08:00,2.2647,2.2395
2026-04-15 17:10:00,2.2122,2.2401
2026-04-15 17:12:00,2.2408,2.2407
2026-04-15 17:14:00,2.2535,2.2414
2026-04-15 17:16:00,2.194,2.2421
2026-04-15 17:18:00,2.2114,2.2428
2026-04-15 17:20:00,2.188,2.2436
2026-04-15 17:22:00,2.1913,2.2443
2026-04-15 17:24:00,2.1744,2.2451
2026-04-15 17:26:00,2.1623,2.2459
2026-04-15 17:28:00,2.2481,2.2468
2026-04-15 17:30:00,2.2262,2.2476
2026-04-15 17:32:00,2.2246,2.2485
2026-04-15 17:34:00,2.3202,2.2494
2026-04-15 17:36:00,2.2734,2.2503
2026-04-15 17:38:00,2.3015,2.2512
2026-04-15 17:40:00,2.3512,2.2521
2026-04-15 17:42:00,2.253,2.2531
2026-04-15 17:44:00,2.2778,2.254
2026-04-15 17:46:00,2.2568,2.255
2026-04-15 17:48:00,2.2466,2.256
2026-04-15 17:50:00,2.3442,2.257
2026-04-15 17:52:00,2.2759,2.258
2026-04-15 17:54:00,2.3041,2.259
2026-04-15 17:56:00,2.2467,2.26
2026-04-15 17:58:00,2.2294,2.261
