inlet_pressure_kpa,motor_current_a,vibration_mm_s,bearing_temp_c,hours_since_service,needs_inspection
316.35,17.39,0.84,58.69,1608.1,0
287.43,18.51,1.47,63.81,1264.9,0
280.63,23.72,1.35,70.21,2200.7,0
301.41,17.94,0.54,61.79,1377.5,0
352.69,21.59,5.31,64.12,854.2,1
260.74,20.59,0.88,71.16,2050.3,0
257.2,21.15,1.98,63.95,1568.8,0
350.77,17.67,0.6,58.06,346.5,0
304.55,18.12,1.05,61.48,281.4,0
307.91,19.85,1.67,72.96,1211.7,1
313.75,20.05,4.45,64.35,2130.2,1
278.79,10.75,0.32,71.37,2314.5,0
355.46,17.76,1.83,68.48,174.3,0
346.68,16.68,0.69,64.34,1391.8,0
310.49,16.47,2.84,66.33,960.3,0
246.16,12.97,3.8,51.12,1261.0,0
322.63,19.62,5.57,64.73,772.9,1
385.98,20.52,1.44,41.35,1008.6,1
381.09,21.83,0.19,64.47,614.5,0
294.53,22.06,2.47,64.81,1694.3,0
278.45,19.91,1.93,54.39,581.4,0
368.26,15.98,1.31,54.74,690.5,0
357.56,15.89,2.47,60.49,2059.6,0
337.1,18.27,1.79,65.18,1107.5,0
282.82,24.06,1.48,64.34,869.3,0
318.9,17.0,0.9,65.01,1392.7,0
232.76,15.52,3.24,53.66,473.1,0
289.06,18.53,0.26,55.16,874.2,0
305.02,15.42,0.36,54.01,1020.7,0
302.32,17.01,2.14,51.89,726.1,1
283.7,19.96,0.23,50.59,1860.7,1
269.82,21.91,0.97,84.26,2358.1,0
325.18,17.13,1.17,70.33,672.7,0
272.56,19.91,4.78,60.85,212.4,0
284.54,19.84,1.59,60.63,854.7,0
285.59,15.81,1.07,52.72,1157.6,0
340.48,18.22,4.23,73.42,348.2,1
291.84,19.1,3.88,73.74,229.5,1
290.14,18.47,4.53,76.56,1213.7,1
275.66,18.98,0.32,49.97,18.3,0
254.89,23.04,1.63,69.97,2375.4,1
338.14,20.99,1.68,48.64,1329.4,0
356.1,14.29,1.38,68.61,1502.0,1
249.69,26.31,0.8,60.87,150.9,0
261.48,15.05,5.11,73.53,1032.8,1
320.83,19.16,2.48,53.48,618.7,0
362.71,22.58,2.73,64.46,2374.0,0
318.18,12.92,3.53,61.48,1777.0,1
230.57,20.79,2.46,64.26,2133.7,1
374.01,16.66,2.31,59.73,897.0,0
334.59,19.64,2.46,50.56,2091.0,0
245.42,18.23,3.63,66.05,195.7,0
298.35,20.6,2.02,72.28,2241.0,0
318.2,19.31,0.78,52.05,1215.2,0
305.37,13.81,0.67,65.2,1978.3,0
321.22,16.68,2.94,65.04,383.5,0
281.8,14.93,3.6,59.63,1296.2,0
309.61,16.05,0.66,67.73,2165.3,0
301.21,13.53,1.41,56.95,1670.5,0
284.53,17.52,2.95,57.02,2005.1,1
307.95,15.41,3.97,71.21,1463.2,0
300.14,17.89,0.61,78.51,1882.0,0
327.75,19.53,1.23,72.35,2387.4,0
288.07,19.5,2.24,70.69,1902.4,0
294.37,21.34,1.24,71.48,1295.6,0
389.55,17.65,2.43,75.46,1605.3,0
345.66,20.22,1.02,77.12,292.6,0
297.59,16.67,0.92,73.18,753.9,0
348.86,16.02,0.8,67.72,290.7,0
326.44,21.14,2.27,55.76,815.4,0
266.28,15.59,0.16,60.74,2397.9,1
334.29,17.71,1.03,65.52,110.8,0
327.46,14.42,1.18,69.09,837.1,0
280.58,17.83,2.03,61.74,1135.8,0
302.09,18.94,0.73,65.39,857.1,0
300.6,13.47,0.66,72.28,1633.7,0
333.99,21.7,4.13,60.17,1953.6,0
290.63,16.22,0.72,49.76,1434.5,1
268.43,16.83,0.76,49.91,1426.6,0
368.98,19.38,2.75,65.97,697.1,0
348.61,19.55,0.66,71.1,556.4,0
297.38,15.79,2.45,74.4,1140.9,0
310.06,17.42,1.35,56.12,603.4,0
271.41,19.81,1.3,75.07,1344.7,0
301.83,20.04,3.84,76.37,1812.3,0
325.67,22.21,0.96,44.34,709.1,0
292.17,21.52,1.12,46.6,1917.1,1
328.79,24.24,1.31,52.93,1810.6,0
333.99,15.62,2.2,67.92,1834.3,0
305.3,25.33,1.19,60.12,1529.5,0
360.75,21.97,1.73,45.58,1343.3,0
256.18,16.14,0.64,54.23,1953.5,0
313.77,17.33,3.32,56.73,2210.6,1
251.53,15.01,3.01,70.58,1441.6,1
298.25,9.91,1.84,69.82,518.2,0
264.88,17.88,2.56,59.39,215.5,0
333.9,19.1,1.85,69.83,845.9,0
294.84,17.86,4.03,46.75,205.1,0
244.56,17.07,2.74,40.44,2366.4,0
282.17,15.89,4.26,67.29,1588.8,1
321.18,18.77,2.58,62.83,168.4,0
304.39,14.63,0.41,68.92,1690.7,0
305.38,17.95,2.88,72.22,1361.2,1
311.65,18.72,0.84,75.98,1422.7,0
354.52,23.22,1.15,48.09,796.9,1
312.65,20.46,2.81,58.97,59.0,0
366.8,16.44,1.7,58.34,1757.2,0
327.4,22.18,1.71,35.45,154.0,1
290.45,21.97,0.85,78.59,1919.4,0
306.5,11.58,2.0,63.35,2151.2,0
331.59,16.89,0.44,66.46,1429.8,0
288.49,18.2,2.34,67.71,222.6,0
270.83,18.5,3.2,37.98,258.9,0
295.86,18.94,1.4,57.92,1429.5,0
294.97,17.08,0.46,52.48,1943.5,1
288.09,23.19,0.52,60.36,1148.3,0
325.26,19.48,0.18,59.67,2257.9,0
254.5,17.86,0.83,64.86,1366.9,0
287.06,21.46,1.55,47.59,2233.8,0
347.55,20.91,2.8,69.67,180.8,0
294.04,24.18,3.86,55.89,472.5,1
284.64,17.58,1.41,38.75,2272.4,0
291.18,20.02,1.87,51.03,262.3,0
317.01,18.64,0.82,54.4,562.6,0
303.77,20.95,4.62,66.07,2090.7,0
354.68,13.14,3.33,64.58,515.8,0
359.67,12.01,1.51,69.1,1223.6,0
270.14,19.04,1.98,61.1,1316.4,0
284.21,13.53,2.52,61.3,1850.7,0
277.6,20.96,3.25,69.57,687.3,0
293.16,17.38,3.97,59.72,135.1,0
262.14,20.76,1.57,60.59,2212.9,1
291.22,17.81,0.52,71.05,931.6,0
305.18,18.26,1.44,59.38,1281.7,0
326.49,15.19,2.71,63.45,686.1,0
345.05,20.04,1.92,51.24,892.3,0
332.87,13.32,1.94,57.78,1990.7,0
323.02,17.85,1.15,62.91,492.5,0
292.19,12.87,0.19,57.32,740.2,0
311.51,13.4,1.05,60.88,1805.3,0
309.81,20.76,2.04,54.49,460.8,0
248.27,17.1,1.25,75.59,1631.8,0
352.76,20.9,3.59,71.12,1739.9,0
344.7,22.07,0.82,72.85,26.3,0
307.49,13.82,0.22,59.94,325.2,0
317.85,13.76,1.29,51.0,512.8,0
313.26,12.56,1.49,49.47,2092.0,0
330.46,18.71,3.03,61.52,80.3,0
339.17,17.43,0.64,62.89,1284.9,0
344.82,14.25,1.67,54.48,2236.3,0
309.47,16.71,1.74,57.34,1552.6,1
247.99,16.78,3.78,62.19,141.4,0
278.44,13.86,1.23,68.33,978.3,0
345.56,17.45,1.0,66.89,666.1,0
359.23,15.7,0.49,71.26,1173.8,0
315.68,19.07,2.6,50.96,1910.9,1
294.16,18.02,1.19,88.17,1260.1,0
321.71,14.05,0.41,56.04,849.5,0
324.75,22.08,1.26,53.35,2263.3,0
294.69,20.64,1.26,48.91,1448.7,0
290.16,23.55,1.93,55.77,1352.2,0
315.29,15.04,2.66,67.14,2375.8,1
383.62,23.17,1.34,64.99,604.0,1
307.64,14.29,0.32,71.52,1291.9,0
307.25,22.3,0.93,67.64,2061.5,0
337.58,15.0,0.4,53.12,2078.6,0
364.59,19.51,1.43,51.31,1115.9,0
351.87,20.37,2.92,63.14,1348.6,1
328.8,24.21,0.9,49.61,706.7,0
368.91,20.86,2.29,53.34,388.1,0
393.85,10.98,1.42,62.3,1298.3,0
321.6,19.9,2.58,68.99,1481.2,0
276.31,20.11,2.05,76.33,2332.6,0
315.4,16.16,1.04,55.5,885.8,0
294.1,18.29,2.21,47.7,231.6,0
293.11,21.35,1.0,53.54,285.8,0
326.54,11.74,1.69,67.9,500.6,0
323.59,16.68,2.65,75.86,1834.7,1
283.58,14.29,0.86,56.83,1677.6,0
322.01,18.74,0.8,66.25,338.3,0
410.0,23.51,0.74,67.49,1530.2,0
350.16,19.02,1.09,51.87,110.7,0
316.74,17.25,2.01,70.64,2231.1,0
284.16,21.24,1.47,56.85,701.4,0
296.63,19.0,1.59,74.45,675.6,0
334.85,18.49,4.96,50.43,736.3,0
294.74,21.62,4.0,54.81,1615.6,0
320.59,17.86,3.13,63.13,90.1,0
315.87,14.08,1.16,77.48,1208.4,0
319.3,12.87,2.4,58.43,1071.2,0
312.46,16.61,2.89,54.11,190.2,1
267.6,16.78,1.17,71.42,836.0,0
316.92,17.1,1.23,51.93,332.5,0
333.59,23.25,0.58,54.58,868.3,0
344.59,14.71,0.23,56.1,1365.8,0
285.9,18.3,1.73,67.54,333.6,0
287.25,14.65,2.25,72.15,1733.5,0
308.78,15.18,0.49,62.15,2049.2,0
308.81,23.27,3.46,71.43,477.3,0
313.21,16.84,1.33,53.52,1344.8,0
248.93,20.56,1.01,65.0,448.9,0
328.14,15.72,1.03,61.09,1331.1,0
365.01,17.24,2.11,50.12,617.0,0
325.3,16.87,0.92,50.74,1789.3,0
326.32,16.63,2.81,55.19,2128.9,0
298.53,13.29,5.01,68.8,1477.5,0
345.98,17.28,4.07,45.83,284.2,0
354.36,13.08,1.14,59.41,1343.6,0
323.05,22.93,1.02,48.98,2313.5,0
350.31,18.86,1.05,71.56,137.3,0
269.36,15.8,1.75,79.75,1962.8,0
291.33,17.03,2.27,59.14,74.3,0
304.73,13.89,0.22,74.71,2373.9,0
265.08,14.28,1.11,51.17,838.0,0
246.48,15.01,1.12,84.6,64.5,0
293.82,15.45,2.16,62.06,70.9,0
280.97,22.57,1.82,63.76,73.9,1
360.05,10.66,1.39,68.16,625.0,0
251.09,20.87,0.92,53.15,2232.4,1
327.19,15.99,2.04,67.83,836.7,0
301.19,20.85,1.2,57.64,1505.4,0
333.88,15.53,0.39,53.96,700.0,0
337.24,13.63,1.86,53.63,1390.2,0
303.6,16.16,1.21,73.92,233.1,0
310.53,17.44,1.35,49.71,955.6,0
326.38,17.86,1.75,68.0,1402.3,1
308.28,18.83,0.86,74.1,1285.5,1
306.34,20.78,3.78,62.45,2387.4,0
374.95,17.99,2.32,59.29,1138.6,0
335.15,12.46,2.19,66.53,2173.2,0
309.57,19.56,3.76,57.22,1256.2,0
293.79,19.85,1.97,51.33,934.8,0
332.5,15.33,1.6,63.91,1314.7,1
333.61,20.47,1.42,66.28,1567.1,0
305.22,20.17,3.96,74.57,1315.2,1
278.11,17.04,0.9,67.08,413.5,0
290.43,10.33,2.59,53.5,453.9,0
319.07,19.07,1.8,51.35,579.9,0
308.39,22.81,1.39,60.13,657.2,0
281.6,17.69,1.41,63.29,1463.6,0
339.27,20.89,2.29,67.16,1387.1,0
332.1,16.83,0.59,56.03,1478.9,0
282.51,16.05,1.15,66.62,1026.1,0
308.26,11.73,2.3,68.31,666.4,0
299.18,16.21,3.62,68.13,712.2,1
330.22,17.27,3.63,50.25,1285.4,0
287.23,13.59,2.18,61.74,816.0,0
338.43,18.36,1.21,66.96,537.5,0
304.3,23.92,3.25,61.16,1696.1,0
315.51,12.96,2.86,64.38,2018.0,0
298.82,27.07,0.8,56.74,2393.6,1
395.77,14.39,1.53,67.89,171.9,0
336.35,19.01,1.77,66.38,2335.7,0
294.69,24.77,1.86,57.17,1745.1,0
348.37,17.3,0.44,62.05,2132.4,0
278.93,18.92,1.25,55.57,1357.1,0
311.37,19.35,1.23,54.07,1987.8,0
315.33,17.65,2.79,62.01,1039.0,0
334.45,16.59,2.09,60.43,990.5,0
347.81,20.64,1.17,57.79,534.1,0
325.08,25.54,2.07,64.34,220.6,0
361.26,18.32,0.95,62.98,613.1,0
357.76,17.0,2.42,72.56,2343.1,1
316.9,17.69,3.93,66.0,993.9,1
310.26,15.94,1.06,65.3,1918.3,0
344.81,14.86,1.75,64.2,1828.5,1
278.42,19.72,0.98,53.06,790.3,0
311.69,19.99,0.87,61.33,11.6,0
316.12,12.49,0.49,54.2,211.7,0
365.03,25.37,2.38,54.96,199.5,0
299.07,15.13,2.25,63.2,2147.8,1
319.98,19.9,1.54,64.09,941.2,0
306.89,20.73,2.22,62.6,2014.0,0
275.32,15.79,1.35,59.94,122.8,0
354.59,16.51,2.97,58.21,230.1,0
337.87,17.36,0.27,66.83,856.5,0
317.26,22.16,0.66,62.86,1000.6,0
232.01,21.64,0.27,65.29,1395.5,0
352.12,18.06,1.48,59.06,2213.5,1
346.91,19.31,1.13,61.4,1061.7,0
326.32,23.55,0.33,68.81,1245.5,0
294.41,16.59,2.95,62.49,293.3,0
305.11,14.86,1.85,60.9,1463.6,0
352.16,24.37,0.52,68.03,381.4,0
306.92,18.06,2.06,54.02,1539.1,0
318.16,19.29,1.28,66.31,1530.6,1
305.89,14.14,6.41,78.63,1711.8,1
244.74,16.72,5.52,54.82,326.8,0
263.68,22.28,5.93,66.67,2059.1,1
285.07,17.33,2.59,49.32,1629.9,0
292.3,14.57,1.7,57.46,2096.9,0
365.29,23.57,3.95,51.58,189.4,1
328.06,16.92,1.15,51.05,738.4,0
297.73,18.34,1.34,54.99,240.1,0
338.46,19.67,0.94,47.6,891.7,1
326.41,16.78,0.87,51.96,34.8,0
277.96,20.72,0.34,60.93,2046.5,0
322.23,14.99,2.01,62.73,602.2,0
306.4,19.77,0.25,62.01,780.9,0
290.71,13.34,2.99,56.04,1433.2,0
375.33,17.94,1.55,63.69,1779.3,0
311.14,18.14,0.38,60.28,287.4,0
321.25,24.21,1.27,59.8,1739.5,1
329.46,13.72,1.59,77.79,1818.2,0
264.65,21.31,1.67,62.36,2121.8,1
342.92,16.32,1.12,75.77,1558.8,0
331.96,15.92,3.91,69.93,1150.7,0
275.85,14.48,0.18,60.76,577.5,0
288.37,20.5,2.9,50.45,987.0,0
332.47,20.48,1.95,55.34,712.8,0
398.64,20.46,3.63,49.0,1915.1,1
241.99,19.59,2.27,54.36,1562.9,0
349.98,13.29,1.65,57.69,2268.1,0
338.6,15.15,4.85,54.85,1687.5,0
328.43,21.76,2.36,64.61,2015.3,0
298.63,24.49,0.29,57.63,182.9,0
283.85,16.64,3.74,50.51,2159.7,0
260.26,18.62,1.61,69.0,1877.2,0
301.65,17.61,2.03,67.32,1106.9,0
317.81,21.46,3.34,54.8,1238.9,1
293.73,15.92,2.86,55.37,424.7,0
