pickup,dropoff,passengers,distance,fare,tip,total,payment,pickup_borough
2019-03-03 01:24:45,2019-03-03 01:29:32,1,0.8,5.0,1.75,10.55,credit card,
2019-03-03 03:03:11,2019-03-03 03:13:09,1,0.99,8.0,0.0,11.8,credit card,Manhattan
2019-03-03 05:02:36,2019-03-03 05:23:44,6,6.29,21.0,4.96,29.76,credit card,Manhattan
2019-03-03 08:42:49,2019-03-03 08:46:55,1,0.89,5.0,0.0,5.8,cash,Manhattan
2019-03-03 13:49:29,2019-03-03 13:54:25,1,0.84,5.5,1.76,10.56,credit card,Manhattan
2019-03-03 15:42:05,2019-03-03 15:57:57,1,2.47,12.0,3.06,18.36,credit card,Manhattan
2019-03-03 16:54:35,2019-03-03 17:00:12,1,1.4,6.5,1.47,11.27,credit card,Manhattan
2019-03-03 17:11:40,2019-03-03 17:34:42,1,4.27,17.5,4.16,24.96,credit card,Manhattan
2019-03-03 17:14:10,2019-03-03 17:22:25,2,1.1,7.5,3.0,13.8,credit card,Manhattan
2019-03-03 17:54:59,2019-03-03 17:59:25,2,0.4,4.5,1.0,8.8,credit card,Manhattan
2019-03-03 21:46:21,2019-03-03 21:52:09,1,1.28,6.5,0.0,7.8,cash,Manhattan
2019-03-03 23:02:48,2019-03-03 23:02:57,1,0.1,20.0,0.0,20.8,,Queens
2019-03-04 06:40:48,2019-03-04 06:52:32,2,2.2,10.0,2.66,15.96,credit card,Manhattan
2019-03-04 07:07:57,2019-03-04 07:27:00,1,4.1,16.5,1.98,21.78,credit card,Manhattan
2019-03-04 08:40:26,2019-03-04 08:59:39,1,2.98,14.0,3.46,20.76,credit card,Manhattan
2019-03-04 09:51:21,2019-03-04 09:56:43,1,0.78,5.0,0.0,5.8,cash,Queens
2019-03-04 10:47:27,2019-03-04 10:59:50,1,2.54,11.0,0.0,11.8,cash,Manhattan
2019-03-04 12:15:39,2019-03-04 12:26:53,5,1.09,8.5,2.36,14.16,credit card,Manhattan
2019-03-04 12:30:56,2019-03-04 12:41:37,1,1.3,8.0,2.25,13.55,credit card,Manhattan
2019-03-04 13:43:33,2019-03-04 13:49:22,1,0.8,5.5,1.75,10.55,credit card,Manhattan
2019-03-04 14:50:47,2019-03-04 15:45:13,1,10.77,42.5,11.45,57.25,credit card,Manhattan
2019-03-04 15:45:39,2019-03-04 15:47:46,1,0.6,4.0,1.65,9.95,credit card,Manhattan
2019-03-04 15:55:13,2019-03-04 15:57:11,1,0.35,3.5,0.68,7.48,credit card,Manhattan
2019-03-04 16:27:50,2019-03-04 16:36:52,3,1.42,8.0,2.46,14.76,credit card,Manhattan
2019-03-04 17:22:44,2019-03-04 17:49:54,1,10.02,30.5,6.46,38.76,credit card,Queens
2019-03-04 17:48:13,2019-03-04 18:16:25,1,10.5,32.0,8.4,50.46,credit card,Queens
2019-03-04 17:58:36,2019-03-04 18:14:13,1,1.8,11.0,3.05,18.35,credit card,Manhattan
2019-03-04 18:43:53,2019-03-04 18:46:50,1,0.61,4.0,0.0,5.8,cash,Brooklyn
2019-03-04 19:55:01,2019-03-04 20:12:31,1,2.17,12.0,1.0,17.3,credit card,Manhattan
2019-03-05 06:29:39,2019-03-05 07:01:28,1,12.79,37.5,0.0,44.06,credit card,Manhattan
2019-03-05 07:31:15,2019-03-05 07:47:00,1,6.03,19.0,4.46,26.76,credit card,Manhattan
2019-03-05 07:54:02,2019-03-05 08:04:48,1,0.84,7.5,0.0,8.3,cash,Manhattan
2019-03-05 09:15:25,2019-03-05 09:25:54,1,2.01,9.0,0.0,9.8,credit card,Queens
2019-03-05 09:22:02,2019-03-05 09:36:14,1,1.7,10.5,2.75,16.55,credit card,Manhattan
2019-03-05 09:43:23,2019-03-05 09:44:15,1,0.0,2.5,0.0,3.3,cash,Queens
2019-03-05 11:59:29,2019-03-05 12:09:27,1,0.81,7.5,2.16,12.96,credit card,Manhattan
2019-03-05 14:33:24,2019-03-05 14:43:34,1,1.3,8.0,0.0,11.3,cash,Manhattan
2019-03-05 14:36:03,2019-03-05 15:44:09,1,17.8,52.0,8.0,63.3,credit card,Queens
2019-03-05 17:24:30,2019-03-05 17:29:47,1,1.1,6.0,0.39,8.19,credit card,Queens
2019-03-05 17:31:08,2019-03-05 18:00:49,5,5.6,22.0,0.0,23.8,cash,Manhattan
2019-03-05 17:42:02,2019-03-05 17:48:15,1,0.67,5.5,0.0,9.8,cash,Manhattan
2019-03-05 19:28:37,2019-03-05 19:44:16,1,2.0,11.5,1.5,17.3,credit card,Manhattan
2019-03-05 20:25:25,2019-03-05 20:46:46,1,3.06,15.0,4.7,23.5,credit card,Manhattan
2019-03-05 21:34:02,2019-03-05 21:47:17,1,1.7,10.0,2.75,16.55,credit card,Manhattan
2019-03-05 21:34:44,2019-03-05 21:48:40,1,1.53,10.5,0.0,11.8,cash,Brooklyn
2019-03-05 22:25:07,2019-03-05 22:34:33,1,1.27,8.0,2.36,14.16,credit card,Manhattan
2019-03-06 07:54:22,2019-03-06 08:21:38,1,7.1,25.5,4.32,33.12,credit card,Manhattan
2019-03-06 08:00:17,2019-03-06 08:36:17,2,9.49,34.0,7.46,44.76,credit card,Manhattan
2019-03-06 11:44:21,2019-03-06 12:03:05,1,1.94,13.0,4.08,20.38,credit card,Manhattan
2019-03-06 13:12:49,2019-03-06 13:16:55,1,0.6,5.0,1.65,9.95,credit card,Manhattan
2019-03-06 13:48:01,2019-03-06 14:00:43,4,1.08,9.0,2.46,14.76,credit card,Manhattan
2019-03-06 15:53:53,2019-03-06 16:17:58,1,2.9,16.5,2.97,22.77,credit card,Manhattan
2019-03-06 17:38:46,2019-03-06 18:01:32,1,4.97,19.0,5.2,26.0,credit card,Queens
2019-03-06 18:23:11,2019-03-06 18:29:59,1,0.89,6.0,2.34,10.14,credit card,Brooklyn
2019-03-06 18:30:18,2019-03-06 18:33:49,1,0.53,4.5,2.2,11.0,credit card,Manhattan
2019-03-06 18:52:02,2019-03-06 18:58:36,2,0.5,5.5,2.45,12.25,credit card,Manhattan
2019-03-06 20:13:30,2019-03-06 20:27:10,1,1.9,10.5,2.85,17.15,credit card,Manhattan
2019-03-06 20:18:34,2019-03-06 20:26:55,1,1.71,8.0,0.0,9.3,cash,Brooklyn
2019-03-06 22:04:19,2019-03-06 22:12:56,4,1.11,7.0,2.16,12.96,credit card,Manhattan
2019-03-06 22:21:30,2019-03-06 22:32:08,1,2.1,9.5,2.66,15.96,credit card,Manhattan
2019-03-06 23:08:11,2019-03-06 23:12:58,1,0.7,5.0,1.75,10.55,credit card,Manhattan
2019-03-06 23:13:59,2019-03-06 23:28:59,1,3.76,14.0,0.0,17.8,cash,Manhattan
2019-03-06 23:21:52,2019-03-06 23:45:30,1,16.01,52.0,12.21,73.27,credit card,Queens
2019-03-07 02:05:11,2019-03-07 02:20:48,1,5.21,17.0,6.24,27.04,credit card,Manhattan
2019-03-07 02:07:02,2019-03-07 02:13:15,1,0.85,6.0,1.96,11.76,credit card,Manhattan
2019-03-07 07:11:33,2019-03-07 07:11:39,1,1.6,2.5,0.0,5.8,,Manhattan
2019-03-07 08:13:00,2019-03-07 08:19:51,6,1.08,6.0,1.86,11.16,credit card,Manhattan
2019-03-07 08:56:25,2019-03-07 09:09:39,1,1.03,9.5,1.28,14.08,credit card,Manhattan
2019-03-07 12:18:05,2019-03-07 12:37:01,4,2.9,14.0,3.45,20.75,credit card,Manhattan
2019-03-07 12:21:32,2019-03-07 12:35:42,1,1.19,10.0,3.24,14.04,credit card,Brooklyn
2019-03-07 15:23:17,2019-03-07 15:41:52,1,1.79,12.5,3.16,18.96,credit card,Manhattan
2019-03-07 17:15:41,2019-03-07 17:18:41,1,0.4,4.5,0.0,8.8,cash,Manhattan
2019-03-07 18:49:41,2019-03-07 19:07:05,1,2.75,13.0,3.46,20.76,credit card,Manhattan
2019-03-07 18:59:34,2019-03-07 19:06:47,5,1.09,6.5,2.16,12.96,credit card,Manhattan
2019-03-07 19:16:21,2019-03-07 19:30:57,1,2.6,12.0,3.25,19.55,credit card,Manhattan
2019-03-07 19:50:10,2019-03-07 20:01:50,2,1.21,9.0,2.0,15.3,credit card,Manhattan
2019-03-07 19:57:32,2019-03-07 20:10:59,1,0.9,9.5,2.0,15.8,credit card,Manhattan
2019-03-07 20:05:51,2019-03-07 20:11:11,1,0.5,5.0,2.6,11.4,credit card,Manhattan
2019-03-07 22:07:29,2019-03-07 22:12:00,1,0.69,5.0,1.76,10.56,credit card,Manhattan
2019-03-07 22:23:15,2019-03-07 22:30:50,1,1.4,7.5,0.0,11.3,cash,Manhattan
2019-03-07 23:46:25,2019-03-07 23:51:55,1,1.09,6.0,1.96,11.76,credit card,Manhattan
2019-03-08 00:09:21,2019-03-08 00:29:04,1,4.3,17.0,3.0,23.8,credit card,Manhattan
2019-03-08 00:20:24,2019-03-08 00:34:01,2,2.94,12.0,0.0,15.8,cash,Manhattan
2019-03-08 02:41:09,2019-03-08 03:03:39,1,6.5,21.5,2.0,27.3,credit card,Manhattan
2019-03-08 02:56:38,2019-03-08 03:07:24,1,2.4,10.5,0.0,14.3,,Manhattan
2019-03-08 09:09:06,2019-03-08 09:28:53,1,1.29,12.5,0.0,15.8,cash,Manhattan
2019-03-08 14:19:12,2019-03-08 14:43:30,3,3.96,18.0,3.76,22.56,credit card,Queens
2019-03-08 16:01:14,2019-03-08 16:19:09,1,1.83,12.0,3.06,18.36,credit card,Manhattan
2019-03-08 17:44:34,2019-03-08 17:49:49,1,0.8,5.5,1.95,11.75,credit card,Manhattan
2019-03-08 18:25:53,2019-03-08 18:29:52,1,0.67,4.5,1.0,9.8,credit card,Manhattan
2019-03-08 18:48:28,2019-03-08 18:59:34,0,1.3,9.0,2.66,15.96,credit card,Manhattan
2019-03-08 19:09:50,2019-03-08 19:46:58,1,9.28,34.0,6.61,50.67,credit card,Queens
2019-03-08 21:34:20,2019-03-08 21:49:01,2,3.3,13.0,5.0,21.8,credit card,Manhattan
2019-03-09 00:47:12,2019-03-09 01:02:09,1,7.89,23.5,3.0,30.3,credit card,Manhattan
2019-03-09 04:03:10,2019-03-09 04:08:07,1,1.02,6.0,0.0,7.3,cash,Queens
2019-03-09 09:14:18,2019-03-09 09:23:17,1,0.94,7.5,2.16,12.96,credit card,Manhattan
2019-03-09 14:20:43,2019-03-09 14:49:32,1,4.33,20.5,4.76,28.56,credit card,Manhattan
2019-03-09 15:58:13,2019-03-09 16:21:59,5,1.99,15.0,0.0,18.3,cash,Manhattan
2019-03-09 16:31:09,2019-03-09 16:40:17,1,1.0,7.0,0.0,8.8,cash,Queens
2019-03-09 16:50:00,2019-03-09 17:29:42,1,10.83,33.01,0.0,33.51,credit card,Bronx
2019-03-09 21:42:15,2019-03-09 22:05:02,1,5.39,20.5,2.0,26.3,credit card,Manhattan
2019-03-09 21:51:25,2019-03-09 21:57:57,1,1.9,8.5,0.0,12.3,credit card,Manhattan
2019-03-09 22:28:37,2019-03-09 22:57:15,2,5.8,23.5,4.1,31.4,credit card,Manhattan
2019-03-09 22:46:15,2019-03-09 23:12:11,2,3.84,17.5,2.13,23.43,credit card,Manhattan
2019-03-09 22:47:42,2019-03-09 23:07:26,1,6.36,21.5,0.0,25.3,cash,Manhattan
2019-03-10 03:33:21,2019-03-10 03:39:27,1,1.45,7.0,0.0,10.8,cash,Manhattan
2019-03-10 04:32:44,2019-03-10 04:58:34,2,7.38,23.5,0.0,27.3,cash,Manhattan
2019-03-10 09:33:13,2019-03-10 09:52:04,1,13.4,52.0,11.7,70.26,credit card,
2019-03-10 10:27:55,2019-03-10 10:31:06,5,0.63,4.5,1.56,9.36,credit card,Manhattan
2019-03-10 15:45:36,2019-03-10 15:48:35,1,0.7,4.5,0.0,7.8,cash,Manhattan
2019-03-10 17:07:38,2019-03-10 17:24:14,1,1.63,11.5,0.0,14.8,cash,Manhattan
2019-03-10 18:37:52,2019-03-10 18:58:09,1,4.0,16.5,4.15,24.95,credit card,Manhattan
2019-03-10 23:00:03,2019-03-10 23:13:05,1,3.23,12.0,3.95,19.75,credit card,Manhattan
2019-03-11 06:46:52,2019-03-11 06:56:23,1,1.5,8.5,2.35,14.15,credit card,Manhattan
2019-03-11 08:46:09,2019-03-11 08:47:21,1,0.3,3.0,0.95,7.25,credit card,Manhattan
2019-03-11 10:21:33,2019-03-11 10:34:36,1,1.1,9.5,3.8,16.6,credit card,Manhattan
2019-03-11 11:15:43,2019-03-11 11:27:36,1,1.36,9.0,1.5,13.8,credit card,Manhattan
2019-03-11 15:40:58,2019-03-11 15:53:23,3,1.8,10.0,2.65,15.95,credit card,Manhattan
2019-03-11 16:55:41,2019-03-11 17:06:13,5,2.03,9.5,0.0,13.8,cash,Manhattan
2019-03-11 19:22:55,2019-03-11 19:37:10,1,2.7,11.5,3.16,18.96,credit card,Manhattan
2019-03-11 19:48:44,2019-03-11 19:52:02,3,0.4,4.0,1.11,6.91,credit card,Manhattan
2019-03-11 20:33:05,2019-03-11 20:42:48,1,1.6,8.0,2.12,13.92,credit card,Manhattan
2019-03-11 20:50:28,2019-03-11 20:58:53,3,1.99,8.5,0.0,12.3,cash,Manhattan
2019-03-12 00:56:04,2019-03-12 01:12:23,1,4.25,15.5,0.0,19.3,cash,Manhattan
2019-03-12 09:17:12,2019-03-12 09:55:52,1,4.4,24.5,2.5,30.3,credit card,Manhattan
2019-03-12 11:21:59,2019-03-12 11:41:40,1,2.4,13.5,3.35,20.15,credit card,Manhattan
2019-03-12 12:02:26,2019-03-12 12:17:00,3,0.66,9.5,1.2,14.0,credit card,Manhattan
2019-03-12 13:01:22,2019-03-12 13:04:25,1,0.6,4.0,0.0,7.3,cash,Manhattan
2019-03-12 16:39:15,2019-03-12 16:46:09,1,0.6,6.0,0.0,10.3,cash,Manhattan
2019-03-12 18:46:13,2019-03-12 19:02:41,1,2.0,12.0,3.25,19.55,credit card,Manhattan
2019-03-12 19:42:38,2019-03-12 19:47:48,1,0.9,5.5,0.0,7.3,cash,Brooklyn
2019-03-12 19:52:36,2019-03-12 19:52:55,3,0.0,120.0,33.2,166.0,credit card,
2019-03-12 22:25:07,2019-03-12 22:33:04,4,1.74,8.0,1.0,12.8,credit card,Manhattan
2019-03-12 23:18:48,2019-03-12 23:24:28,1,1.19,6.0,1.96,11.76,credit card,Manhattan
2019-03-12 23:54:38,2019-03-13 00:03:34,1,1.4,8.5,0.0,9.8,cash,Manhattan
2019-03-13 08:33:37,2019-03-13 08:43:10,4,2.1,9.5,2.05,12.35,credit card,Manhattan
2019-03-13 09:07:45,2019-03-13 09:30:30,1,3.82,17.0,4.45,22.25,credit card,Brooklyn
2019-03-13 12:07:26,2019-03-13 12:47:51,1,17.51,52.0,0.0,55.3,cash,Manhattan
2019-03-13 12:22:00,2019-03-13 12:22:00,1,0.0,10.0,0.0,10.0,credit card,
2019-03-13 13:00:49,2019-03-13 13:12:10,0,1.2,8.5,2.95,14.75,credit card,Manhattan
2019-03-13 13:28:34,2019-03-13 13:45:00,1,0.6,10.5,2.0,15.8,credit card,Manhattan
2019-03-13 15:39:06,2019-03-13 15:50:27,1,1.8,9.5,0.0,12.8,,Manhattan
2019-03-13 16:11:26,2019-03-13 16:28:42,1,3.21,13.5,0.0,17.8,cash,Manhattan
2019-03-13 16:54:39,2019-03-13 17:05:39,2,2.21,10.0,0.0,11.8,credit card,Brooklyn
2019-03-13 17:27:27,2019-03-13 17:32:13,1,1.0,5.5,1.95,11.75,credit card,Manhattan
2019-03-13 18:53:50,2019-03-13 18:59:30,1,1.4,6.5,1.49,9.79,credit card,Manhattan
2019-03-13 19:32:23,2019-03-13 19:39:35,2,1.1,6.5,2.45,10.75,credit card,Brooklyn
2019-03-13 19:58:36,2019-03-13 20:12:29,2,2.51,11.5,3.16,18.96,credit card,Manhattan
2019-03-13 21:25:09,2019-03-13 21:31:52,1,1.68,7.0,2.16,12.96,credit card,Manhattan
2019-03-13 22:31:15,2019-03-13 22:37:58,3,1.8,8.0,2.35,14.15,credit card,Manhattan
2019-03-13 22:40:21,2019-03-13 22:53:10,1,1.9,10.0,0.0,13.8,cash,Manhattan
2019-03-13 23:10:27,2019-03-13 23:38:39,5,4.38,21.0,4.0,28.8,credit card,Manhattan
2019-03-13 23:55:01,2019-03-14 00:07:57,1,2.8,12.0,3.15,18.95,credit card,Manhattan
2019-03-14 01:43:39,2019-03-14 01:49:58,3,1.2,6.0,0.0,7.3,cash,Queens
2019-03-14 06:06:31,2019-03-14 06:16:46,1,2.25,9.5,2.06,12.36,credit card,Manhattan
2019-03-14 07:50:22,2019-03-14 07:54:07,1,0.9,5.0,0.0,8.3,cash,Manhattan
2019-03-14 08:51:47,2019-03-14 09:00:44,2,1.0,7.5,2.15,12.95,credit card,Manhattan
2019-03-14 10:04:57,2019-03-14 10:23:12,1,6.29,21.4,0.0,21.9,credit card,Queens
2019-03-14 10:41:05,2019-03-14 11:04:33,1,2.67,15.5,3.76,22.56,credit card,Manhattan
2019-03-14 11:35:21,2019-03-14 11:50:41,1,1.63,11.5,1.5,16.3,credit card,Manhattan
2019-03-14 11:52:51,2019-03-14 12:00:29,1,1.2,7.0,0.0,10.3,cash,Manhattan
2019-03-14 13:32:03,2019-03-14 13:45:52,1,2.42,12.0,0.0,12.8,credit card,Queens
2019-03-14 15:06:12,2019-03-14 15:19:25,1,1.29,9.5,1.56,14.36,credit card,Manhattan
2019-03-14 17:21:17,2019-03-14 17:37:38,1,2.7,13.0,0.0,17.3,cash,Manhattan
2019-03-14 17:56:37,2019-03-14 17:59:53,1,0.5,4.5,1.2,10.0,credit card,Manhattan
2019-03-14 18:47:49,2019-03-14 18:57:23,2,1.47,8.0,2.46,14.76,credit card,Manhattan
2019-03-14 20:45:41,2019-03-14 20:55:03,1,1.8,9.0,2.56,15.36,credit card,Manhattan
2019-03-14 22:08:17,2019-03-14 22:15:57,3,4.4,25.0,6.95,34.89,credit card,Manhattan
2019-03-14 22:31:00,2019-03-14 22:33:01,1,0.7,4.0,0.0,7.8,cash,Manhattan
2019-03-15 00:43:19,2019-03-15 00:48:50,1,0.88,5.5,0.0,6.8,cash,Queens
2019-03-15 00:55:30,2019-03-15 01:26:34,6,7.88,26.0,7.45,37.25,credit card,Manhattan
2019-03-15 05:56:33,2019-03-15 05:59:09,1,0.56,4.0,0.0,7.8,cash,Manhattan
2019-03-15 08:52:02,2019-03-15 09:13:14,1,2.7,15.0,3.65,21.95,credit card,Manhattan
2019-03-15 10:18:51,2019-03-15 10:46:18,1,3.22,18.0,0.0,21.3,cash,Manhattan
2019-03-15 13:07:37,2019-03-15 13:12:41,1,1.3,6.0,0.0,9.55,cash,Manhattan
2019-03-15 13:23:45,2019-03-15 13:36:25,1,1.2,9.5,0.0,10.3,cash,Manhattan
2019-03-15 14:14:34,2019-03-15 14:26:41,1,1.8,9.5,0.0,10.3,cash,Brooklyn
2019-03-15 15:56:48,2019-03-15 16:22:33,1,2.8,17.5,4.15,24.95,credit card,Manhattan
2019-03-15 19:10:40,2019-03-15 19:34:45,1,3.8,17.0,0.0,21.3,cash,Manhattan
2019-03-15 19:58:47,2019-03-15 20:09:02,1,1.01,7.5,1.7,13.0,credit card,Manhattan
2019-03-15 20:16:05,2019-03-15 20:30:58,1,2.4,11.5,1.7,17.0,credit card,Manhattan
2019-03-15 21:46:58,2019-03-15 22:07:48,1,3.8,16.5,4.05,24.35,credit card,Manhattan
2019-03-15 22:59:38,2019-03-15 23:04:56,6,1.16,6.0,0.0,9.8,cash,Manhattan
2019-03-15 23:46:05,2019-03-15 23:59:52,1,1.47,9.5,0.0,13.3,cash,Manhattan
2019-03-16 00:38:46,2019-03-16 00:52:02,1,3.4,13.0,0.0,16.8,cash,Manhattan
2019-03-16 05:08:02,2019-03-16 05:08:20,1,0.07,2.5,0.0,3.8,cash,Queens
2019-03-16 08:41:20,2019-03-16 08:44:52,1,1.3,5.5,0.0,8.8,cash,Manhattan
2019-03-16 08:46:29,2019-03-16 08:47:13,1,0.16,10.0,2.16,12.96,credit card,Queens
2019-03-16 10:28:00,2019-03-16 10:29:28,1,0.66,4.0,1.0,8.3,credit card,Manhattan
2019-03-16 13:02:28,2019-03-16 13:11:38,1,0.8,7.0,2.06,12.36,credit card,Manhattan
2019-03-16 13:17:21,2019-03-16 13:25:58,1,0.66,7.0,0.0,10.3,cash,Manhattan
2019-03-16 16:36:34,2019-03-16 16:54:50,2,1.0,11.5,0.0,14.8,cash,Manhattan
2019-03-16 19:26:25,2019-03-16 19:46:40,1,3.66,15.0,3.66,21.96,credit card,Manhattan
2019-03-17 00:09:21,2019-03-17 00:20:12,1,2.2,10.0,1.0,14.8,credit card,Manhattan
2019-03-17 02:22:11,2019-03-17 02:31:02,2,0.66,7.0,1.94,12.74,credit card,Manhattan
2019-03-17 13:03:45,2019-03-17 13:05:40,0,0.4,3.5,0.68,7.48,credit card,Manhattan
2019-03-17 15:08:07,2019-03-17 15:26:35,1,4.23,17.0,0.0,17.8,cash,Queens
2019-03-17 17:56:41,2019-03-17 18:04:35,1,1.8,8.0,0.0,11.3,credit card,Manhattan
2019-03-17 18:36:41,2019-03-17 19:22:27,1,12.5,41.0,8.35,50.15,credit card,Queens
2019-03-17 19:12:08,2019-03-17 19:20:52,6,1.84,8.0,2.82,14.12,credit card,Manhattan
2019-03-17 19:14:53,2019-03-17 19:27:36,1,3.3,12.5,3.0,18.8,credit card,Manhattan
2019-03-17 20:57:54,2019-03-17 21:21:28,1,9.6,29.5,7.0,46.06,credit card,Queens
2019-03-17 21:00:25,2019-03-17 21:43:21,1,18.2,52.0,0.0,61.06,cash,Queens
2019-03-17 21:51:52,2019-03-17 22:05:50,1,2.6,11.5,2.7,18.0,credit card,Manhattan
2019-03-17 22:23:59,2019-03-17 22:35:49,2,2.11,10.0,0.0,11.3,cash,Queens
2019-03-17 22:47:36,2019-03-17 22:55:32,1,1.3,7.5,2.25,13.55,credit card,Manhattan
2019-03-18 07:48:50,2019-03-18 07:52:48,2,0.83,5.0,1.66,9.96,credit card,Manhattan
2019-03-18 10:50:48,2019-03-18 10:57:19,2,1.02,6.5,0.0,9.8,cash,Manhattan
2019-03-18 10:56:25,2019-03-18 11:12:20,3,2.05,11.5,2.5,17.3,credit card,Manhattan
2019-03-18 12:54:42,2019-03-18 13:32:35,5,18.76,52.0,11.71,70.27,credit card,Manhattan
2019-03-18 13:58:37,2019-03-18 14:11:47,1,1.3,10.0,2.65,15.95,credit card,Manhattan
2019-03-18 14:30:31,2019-03-18 14:36:40,1,0.6,5.5,0.0,8.8,cash,Manhattan
2019-03-18 16:53:21,2019-03-18 17:41:48,1,24.57,78.0,0.0,85.56,cash,Queens
2019-03-18 17:10:40,2019-03-18 17:27:01,1,2.6,12.5,3.36,20.16,credit card,Manhattan
2019-03-18 18:16:33,2019-03-18 18:25:00,1,1.6,8.0,2.45,14.75,credit card,Manhattan
2019-03-18 19:31:11,2019-03-18 19:52:53,1,8.32,25.5,7.45,37.25,credit card,Manhattan
2019-03-18 20:39:17,2019-03-18 20:44:54,1,0.8,5.5,0.0,9.3,cash,Manhattan
2019-03-18 21:44:05,2019-03-18 21:56:31,2,3.0,11.5,3.05,18.35,credit card,Manhattan
2019-03-18 21:51:42,2019-03-18 21:58:28,1,1.6,7.0,2.15,12.95,credit card,Manhattan
2019-03-18 23:57:52,2019-03-19 00:05:42,1,2.1,9.0,2.55,15.35,credit card,Manhattan
2019-03-19 05:46:50,2019-03-19 05:48:33,1,0.2,3.5,0.0,4.8,cash,Manhattan
2019-03-19 05:54:48,2019-03-19 06:03:56,1,2.7,10.0,2.65,15.95,credit card,Manhattan
2019-03-19 06:33:59,2019-03-19 06:39:50,1,1.48,7.0,2.06,12.36,credit card,Manhattan
2019-03-19 10:06:52,2019-03-19 10:29:56,3,2.66,15.5,3.76,22.56,credit card,Manhattan
2019-03-19 13:36:21,2019-03-19 13:46:31,1,0.9,8.0,2.25,13.55,credit card,Manhattan
2019-03-19 15:23:49,2019-03-19 16:01:37,2,11.8,38.5,0.0,39.3,cash,Queens
2019-03-19 16:13:05,2019-03-19 16:14:39,1,0.2,3.0,0.0,7.3,cash,Manhattan
2019-03-19 16:42:07,2019-03-19 16:51:17,1,1.0,7.5,2.35,14.15,credit card,Manhattan
2019-03-19 16:42:35,2019-03-19 17:07:05,1,2.9,16.0,0.0,17.8,credit card,Bronx
2019-03-19 16:43:59,2019-03-19 17:37:22,1,17.82,52.0,13.11,78.67,credit card,
2019-03-19 20:03:48,2019-03-19 20:09:31,2,1.2,6.5,2.15,12.95,credit card,Manhattan
2019-03-19 20:15:24,2019-03-19 20:22:52,1,1.8,8.0,1.2,13.0,credit card,Manhattan
2019-03-19 23:16:03,2019-03-19 23:20:14,1,0.6,5.0,1.75,10.55,credit card,Manhattan
2019-03-20 08:58:41,2019-03-20 09:11:17,1,1.11,9.0,2.0,14.3,credit card,Manhattan
2019-03-20 09:22:43,2019-03-20 09:57:17,1,10.24,38.28,0.0,44.54,credit card,Queens
2019-03-20 09:30:10,2019-03-20 10:19:20,1,7.85,32.5,0.0,33.3,credit card,Queens
2019-03-20 09:57:06,2019-03-20 10:14:54,1,1.5,11.5,2.95,17.75,credit card,Manhattan
2019-03-20 10:25:52,2019-03-20 11:02:20,1,4.2,23.0,5.25,31.55,credit card,Manhattan
2019-03-20 11:16:37,2019-03-20 11:26:45,1,0.95,7.5,0.0,10.8,cash,Manhattan
2019-03-20 13:32:08,2019-03-20 14:06:19,1,8.82,29.5,6.61,39.66,credit card,Brooklyn
