sample_id,turbidity_ntu,conductivity_change_pct,uv_absorbance,requires_review,split
TR-N-0279,0.852,-0.092,0.035,0,training
TR-R-0030,3.036,-4.085,0.04,1,training
TR-R-0050,3.369,2.126,0.093,1,training
TR-N-0306,1.466,-2.544,0.038,0,training
TR-R-0315,1.686,9.273,0.055,1,training
TR-N-0210,1.573,-1.085,0.028,0,training
TR-N-0087,1.257,-4.504,0.065,0,training
TR-R-0209,3.736,6.375,0.067,1,training
TR-R-0398,3.603,7.333,0.051,1,training
TR-N-0155,2.272,2.326,0.033,0,training
TR-R-0378,2.943,4.683,0.056,1,training
TR-R-0283,3.464,5.839,0.049,1,training
TR-N-0043,2.116,-2.206,0.04,0,training
TR-N-0327,2.096,1.208,0.022,0,training
TR-R-0163,2.916,-3.113,0.041,1,training
TR-R-0318,3.431,-0.562,0.086,1,training
TR-N-0250,1.858,1.819,0.033,0,training
TR-R-0029,3.178,11.023,0.069,1,training
TR-N-0235,1.517,2.529,0.053,0,training
TR-R-0035,3.76,3.534,0.077,1,training
TR-R-0077,0.669,-0.723,0.07,1,training
TR-R-0293,3.465,0.548,0.055,1,training
TR-R-0159,2.959,3.516,0.048,1,training
TR-N-0186,1.261,-0.841,0.036,0,training
TR-N-0146,2.343,2.046,0.028,0,training
TR-R-0040,3.532,4.203,0.051,1,training
TR-N-0255,2.333,0.102,0.034,0,training
TR-N-0395,1.739,-0.223,0.053,0,training
TR-N-0211,2.032,5.319,0.032,0,training
TR-N-0246,1.885,-5.807,0.037,0,training
TR-R-0189,3.112,15.592,0.072,1,training
TR-N-0346,2.293,-4.637,0.037,0,training
TR-R-0076,3.015,3.572,0.072,1,training
TR-R-0368,3.222,15.707,0.079,1,training
TR-N-0260,2.134,-1.896,0.052,0,training
TR-N-0179,1.053,-1.086,0.061,0,training
TR-R-0032,3.263,-0.086,0.05,1,training
TR-N-0370,2.001,0.577,0.042,0,training
TR-R-0067,3.948,12.849,0.105,1,training
TR-R-0360,3.341,11.459,0.075,1,training
TR-N-0376,1.655,1.192,0.065,0,training
TR-N-0285,0.779,2.29,0.009,0,training
TR-N-0159,1.315,-2.736,0.045,0,training
TR-R-0264,3.563,8.789,0.103,1,training
TR-N-0359,1.365,-3.943,0.043,0,training
TR-N-0196,1.772,-1.231,0.037,0,training
TR-N-0251,2.686,-7.117,0.04,0,training
TR-N-0385,0.757,-0.629,0.037,0,training
TR-N-0397,1.622,-0.591,0.028,0,training
TR-N-0044,2.053,-0.091,0.04,0,training
TR-R-0386,2.855,1.274,0.044,1,training
TR-R-0089,3.256,0.814,0.096,1,training
TR-N-0195,2.482,3.277,0.045,0,training
TR-R-0015,2.69,2.764,0.062,1,training
TR-N-0326,1.675,2.363,0.051,0,training
TR-N-0018,2.768,-1.071,0.041,0,training
TR-R-0006,3.177,9.794,0.08,1,training
TR-N-0207,1.686,-1.357,0.045,0,training
TR-N-0113,2.708,2.446,0.028,0,training
TR-R-0179,4.049,13.895,0.061,1,training
TR-N-0190,1.189,-6.435,0.043,0,training
TR-N-0126,2.402,2.424,0.036,0,training
TR-N-0010,0.529,0.692,0.044,0,training
TR-N-0268,1.691,-7.891,0.04,0,training
TR-N-0232,1.486,-0.371,0.035,0,training
TR-R-0275,2.084,6.527,0.095,1,training
TR-R-0143,1.581,0.342,0.07,1,training
TR-R-0046,2.467,7.044,0.086,1,training
TR-R-0132,3.906,-3.269,0.069,1,training
TR-N-0296,1.894,0.613,0.055,0,training
TR-N-0074,0.924,-2.114,0.021,0,training
TR-N-0234,1.561,-3.313,0.043,0,training
TR-N-0242,1.201,-0.009,0.048,0,training
TR-N-0033,2.308,-5.532,0.047,0,training
TR-N-0188,2.543,1.317,0.051,0,training
TR-N-0030,1.41,1.164,0.042,0,training
TR-N-0318,2.233,-2.869,0.048,0,training
TR-N-0153,1.756,-1.107,0.063,0,training
TR-R-0350,3.67,6.737,0.06,1,training
TR-R-0191,2.971,11.457,0.096,1,training
TR-N-0263,1.618,5.931,0.023,0,training
TR-R-0304,4.581,4.272,0.09,1,training
TR-N-0203,1.43,-3.644,0.034,0,training
TR-R-0184,2.68,1.812,0.054,1,training
TR-R-0078,3.315,8.416,0.069,1,training
TR-R-0270,1.961,6.224,0.062,1,training
TR-R-0061,3.279,0.459,0.102,1,training
TR-N-0158,0.905,-4.841,0.032,0,training
TR-N-0057,2.218,0.932,0.037,0,training
TR-N-0045,1.472,1.401,0.03,0,training
TR-N-0059,2.181,0.113,0.039,0,training
TR-R-0291,2.408,13.786,0.081,1,training
TR-N-0380,1.132,-2.281,0.05,0,training
TR-N-0088,1.645,-1.691,0.039,0,training
TR-N-0035,1.32,-1.142,0.036,0,training
TR-R-0346,4.631,0.895,0.064,1,training
TR-N-0096,1.333,-0.526,0.023,0,training
TR-N-0110,1.933,0.313,0.033,0,training
TR-R-0220,2.667,9.462,0.061,1,training
TR-R-0288,3.507,6.647,0.074,1,training
TR-N-0160,0.517,-0.545,0.029,0,training
TR-R-0039,2.249,5.533,0.051,1,training
TR-N-0377,1.223,-0.773,0.055,0,training
TR-R-0307,3.064,0.399,0.065,1,training
TR-N-0389,2.899,-1.043,0.039,0,training
TR-R-0349,3.824,6.381,0.063,1,training
TR-R-0348,4.802,5.533,0.082,1,training
TR-R-0309,2.479,9.419,0.078,1,training
TR-N-0253,1.597,2.224,0.034,0,training
TR-R-0363,3.845,7.154,0.086,1,training
TR-R-0168,2.492,19.101,0.068,1,training
TR-R-0072,3.38,11.088,0.044,1,training
TR-N-0321,2.083,3.473,0.057,0,training
TR-R-0233,3.312,0.317,0.068,1,training
TR-R-0182,3.009,-3.045,0.069,1,training
TR-R-0345,3.816,2.341,0.076,1,training
TR-R-0090,2.373,11.546,0.027,1,training
TR-N-0173,0.866,-2.759,0.028,0,training
TR-N-0093,1.357,1.85,0.041,0,training
TR-R-0122,1.49,11.857,0.1,1,training
TR-R-0034,2.832,5.267,0.079,1,training
TR-N-0142,1.006,-1.441,0.047,0,training
TR-N-0156,2.062,-0.631,0.033,0,training
TR-N-0182,1.192,0.785,0.05,0,training
TR-R-0376,2.977,4.818,0.078,1,training
TR-N-0021,1.452,-0.071,0.03,0,training
TR-R-0375,2.619,8.828,0.053,1,training
TR-R-0120,3.628,8.77,0.061,1,training
TR-N-0015,1.903,-4.01,0.038,0,training
TR-R-0101,4.102,5.48,0.093,1,training
TR-R-0148,2.816,16.784,0.082,1,training
TR-N-0367,2.335,1.722,0.037,0,training
TR-N-0373,2.14,0.66,0.053,0,training
TR-N-0315,2.638,0.089,0.066,0,training
TR-R-0319,2.715,7.058,0.087,1,training
TR-N-0054,2.295,3.76,0.034,0,training
TR-R-0064,2.73,6.367,0.053,1,training
TR-R-0225,2.505,4.913,0.076,1,training
TR-N-0104,2.307,-4.916,0.038,0,training
TR-N-0005,1.937,3.851,0.051,0,training
TR-N-0038,1.818,-0.957,0.031,0,training
TR-N-0084,0.472,-3.537,0.051,0,training
TR-N-0138,1.72,-1.701,0.03,0,training
TR-R-0273,3.008,3.125,0.074,1,training
TR-N-0213,1.829,1.932,0.051,0,training
TR-N-0193,1.77,-0.748,0.038,0,training
TR-N-0171,1.612,-4.132,0.054,0,training
TR-R-0239,4.533,7.311,0.061,1,training
TR-R-0021,2.337,4.651,0.094,1,training
TR-R-0323,2.439,3.854,0.05,1,training
TR-N-0254,1.819,2.369,0.027,0,training
TR-R-0389,3.906,2.473,0.078,1,training
TR-N-0119,2.02,-1.382,0.039,0,training
TR-N-0297,1.253,3.645,0.041,0,training
TR-R-0290,3.736,0.64,0.093,1,training
TR-N-0348,1.472,0.955,0.037,0,training
TR-N-0112,1.535,-0.425,0.007,0,training
TR-R-0227,1.71,5.456,0.097,1,training
TR-R-0390,4.297,9.424,0.056,1,training
TR-N-0344,1.829,4.707,0.008,0,training
TR-R-0194,2.041,3.638,0.07,1,training
TR-R-0147,1.921,2.967,0.096,1,training
TR-R-0354,3.308,2.013,0.054,1,training
TR-R-0107,2.893,9.5,0.06,1,training
TR-R-0364,4.024,2.954,0.098,1,training
TR-R-0019,4.215,11.754,0.091,1,training
TR-N-0115,1.896,1.252,0.02,0,training
TR-N-0095,2.259,-4.906,0.048,0,training
TR-R-0365,4.16,8.28,0.077,1,training
TR-N-0256,1.317,1.472,0.069,0,training
TR-R-0094,2.391,4.936,0.091,1,training
TR-N-0282,1.646,2.96,0.054,0,training
TR-R-0392,3.771,0.237,0.045,1,training
TR-N-0365,2.701,-2.926,0.037,0,training
TR-N-0313,1.908,-0.293,0.045,0,training
TR-N-0134,1.737,5.668,0.014,0,training
TR-N-0017,1.769,1.892,0.013,0,training
TR-N-0063,2.139,-6.158,0.037,0,training
TR-R-0321,2.078,7.075,0.082,1,training
TR-R-0171,3.684,1.828,0.027,1,training
TR-R-0007,4.79,-2.056,0.068,1,training
TR-R-0012,3.166,6.276,0.069,1,training
TR-R-0121,2.799,3.138,0.089,1,training
TR-N-0128,2.377,-7.804,0.043,0,training
TR-N-0349,2.385,-5.694,0.032,0,training
TR-R-0152,1.964,9.18,0.102,1,training
TR-N-0006,1.539,-7.628,0.06,0,training
TR-R-0130,4.382,2.619,0.067,1,training
TR-N-0192,1.021,0.871,0.045,0,training
TR-N-0117,2.218,3.058,0.059,0,training
TR-R-0167,3.231,12.676,0.068,1,training
TR-N-0123,1.721,4.498,0.045,0,training
TR-R-0125,4.025,12.404,0.071,1,training
TR-R-0394,2.889,5.657,0.073,1,training
TR-N-0024,0.845,1.481,0.027,0,training
TR-R-0269,2.287,11.123,0.033,1,training
TR-R-0010,4.17,0.132,0.122,1,training
TR-R-0024,3.778,-4.6,0.062,1,training
TR-R-0084,2.447,12.934,0.072,1,training
TR-N-0331,2.148,-1.139,0.023,0,training
TR-N-0333,1.459,1.019,0.045,0,training
TR-R-0388,1.597,10.775,0.07,1,training
TR-R-0379,2.233,1.375,0.069,1,training
TR-N-0400,0.945,4.713,0.023,0,training
TR-R-0369,3.314,0.717,0.025,1,training
TR-R-0045,3.145,1.893,0.062,1,training
TR-N-0198,1.818,3.199,0.024,0,training
TR-R-0014,4.537,-1.171,0.069,1,training
TR-R-0331,2.67,8.89,0.086,1,training
TR-R-0255,3.199,2.739,0.085,1,training
TR-N-0122,2.149,2.748,0.028,0,training
TR-N-0243,1.997,2.047,0.036,0,training
TR-N-0391,1.798,2.714,0.049,0,training
TR-N-0328,3.201,-2.583,0.049,0,training
TR-R-0296,3.308,11.993,0.072,1,training
TR-R-0260,2.72,8.272,0.085,1,training
TR-R-0161,4.663,5.443,0.074,1,training
TR-R-0284,2.73,-1.247,0.094,1,training
TR-N-0092,2.585,-0.132,0.038,0,training
TR-R-0049,2.569,5.327,0.097,1,training
TR-R-0065,3.034,4.897,0.089,1,training
TR-N-0236,1.919,0.673,0.033,0,training
TR-N-0288,2.249,2.505,0.052,0,training
TR-R-0362,3.369,4.861,0.06,1,training
TR-R-0074,2.987,7.764,0.078,1,training
TR-N-0139,2.043,3.221,0.019,0,training
TR-N-0170,2.229,-0.028,0.041,0,training
TR-N-0053,2.106,-1.712,0.048,0,training
TR-N-0302,1.597,-2.316,0.014,0,training
TR-R-0339,4.336,5.037,0.093,1,training
TR-R-0300,4.053,6.802,0.078,1,training
TR-N-0289,2.121,-5.803,0.032,0,training
TR-N-0226,2.03,1.477,0.053,0,training
TR-R-0185,3.334,12.033,0.087,1,training
TR-N-0148,2.113,2.793,0.046,0,training
TR-R-0258,2.936,4.298,0.03,1,training
TR-N-0229,1.938,7.773,0.03,0,training
TR-N-0292,2.156,4.0,0.061,0,training
TR-N-0324,1.807,2.592,0.039,0,training
TR-N-0398,1.701,0.52,0.042,0,training
TR-R-0109,3.073,6.377,0.08,1,training
TR-N-0390,2.467,-1.776,0.036,0,training
TR-N-0311,1.607,2.623,0.046,0,training
TR-N-0239,2.08,-0.3,0.068,0,training
TR-R-0393,2.626,4.75,0.063,1,training
TR-R-0228,3.645,7.907,0.083,1,training
TR-N-0364,1.915,2.542,0.027,0,training
TR-R-0297,2.655,8.988,0.064,1,training
TR-N-0388,1.683,3.925,0.034,0,training
TR-N-0305,1.918,0.849,0.082,0,training
TR-R-0127,3.956,8.146,0.045,1,training
TR-N-0339,1.181,0.683,0.026,0,training
TR-N-0172,2.308,2.028,0.044,0,training
TR-N-0108,1.244,2.232,0.039,0,training
TR-R-0115,3.496,-2.293,0.086,1,training
TR-N-0191,1.71,-0.557,0.044,0,training
TR-N-0184,1.996,3.221,0.035,0,training
TR-N-0225,2.4,-7.151,0.024,0,training
TR-N-0189,0.958,-1.545,0.049,0,training
TR-N-0363,1.816,1.831,0.035,0,training
TR-N-0206,1.96,0.307,0.05,0,training
TR-N-0314,2.236,-3.299,0.034,0,training
TR-R-0200,3.293,1.375,0.045,1,training
TR-R-0237,3.115,9.892,0.084,1,training
TR-N-0352,1.965,-1.047,0.054,0,training
TR-R-0123,2.203,7.177,0.113,1,training
TR-R-0232,3.63,-3.117,0.066,1,training
TR-N-0121,1.947,4.101,0.029,0,training
TR-R-0385,3.835,15.029,0.048,1,training
TR-N-0223,1.426,-2.372,0.059,0,training
TR-N-0280,2.131,2.892,0.025,0,training
TR-R-0313,2.832,7.865,0.068,1,training
TR-R-0112,2.741,11.484,0.062,1,training
TR-R-0356,3.945,2.625,0.094,1,training
TR-N-0325,2.229,-2.807,0.02,0,training
TR-R-0047,2.634,11.526,0.052,1,training
TR-R-0400,3.037,3.02,0.078,1,training
TR-N-0209,2.266,-0.766,0.036,0,training
TR-R-0155,2.19,-1.651,0.061,1,training
TR-R-0174,3.034,3.758,0.065,1,training
TR-N-0200,2.045,-3.695,0.031,0,training
TR-R-0325,3.638,10.436,0.08,1,training
TR-N-0368,1.284,-0.401,0.06,0,training
TR-R-0113,2.612,12.13,0.07,1,training
TR-R-0253,3.701,11.366,0.065,1,training
TR-R-0096,4.408,7.22,0.079,1,training
TR-N-0177,1.863,-3.651,0.053,0,training
TR-R-0326,2.698,5.747,0.104,1,training
TR-R-0016,1.978,-0.304,0.097,1,training
TR-R-0311,3.371,6.612,0.063,1,training
TR-N-0290,1.633,-2.272,0.031,0,training
TR-R-0299,5.067,7.997,0.078,1,training
TR-N-0286,1.419,-1.618,0.06,0,training
TR-R-0342,3.155,5.038,0.102,1,training
TR-R-0177,3.384,9.659,0.093,1,training
TR-R-0216,2.644,3.222,0.116,1,training
TR-R-0218,2.447,-0.421,0.079,1,training
TR-R-0133,2.995,6.57,0.061,1,training
TR-R-0384,1.864,-3.799,0.087,1,training
TR-N-0345,2.085,-1.236,0.03,0,training
TR-R-0037,2.262,5.022,0.092,1,training
TR-N-0383,2.594,6.647,0.046,0,training
TR-R-0160,2.428,4.019,0.091,1,training
TR-N-0082,2.246,5.46,0.058,0,training
TR-R-0292,2.817,3.734,0.034,1,training
TR-R-0051,4.919,7.022,0.069,1,training
TR-N-0014,1.232,3.188,0.036,0,training
TR-N-0068,2.061,-0.793,0.062,0,training
TR-R-0104,3.977,1.564,0.048,1,training
TR-R-0391,2.73,7.442,0.096,1,training
TR-R-0018,3.054,13.401,0.087,1,training
TR-R-0226,2.786,5.715,0.088,1,training
TR-R-0211,3.464,9.156,0.083,1,training
TR-R-0119,2.331,0.71,0.099,1,training
TR-R-0114,4.301,9.286,0.103,1,training
TR-N-0062,1.522,-3.756,0.063,0,training
TR-R-0353,3.141,-0.319,0.077,1,training
TR-N-0281,1.692,-2.42,0.048,0,training
TR-N-0099,1.229,-7.304,0.044,0,training
TR-N-0366,0.831,-2.485,0.049,0,training
TR-N-0259,1.335,2.687,0.046,0,training
TR-R-0240,3.478,11.306,0.094,1,training
TR-R-0289,4.547,7.166,0.071,1,training
TR-R-0256,2.623,-0.396,0.067,1,training
TR-R-0236,2.913,-0.077,0.052,1,training
TR-N-0065,1.025,-3.034,0.03,0,training
TR-N-0307,1.965,-0.461,0.041,0,training
TR-R-0017,3.205,2.649,0.039,1,training
TR-R-0082,4.19,1.902,0.055,1,training
TR-R-0244,2.847,-3.849,0.076,1,training
TR-N-0047,1.37,-1.326,0.032,0,training
TR-R-0322,2.457,1.691,0.071,1,training
TR-R-0073,2.824,10.69,0.106,1,training
TR-R-0011,3.023,0.722,0.039,1,training
TR-N-0340,0.942,-2.04,0.027,0,training
TR-R-0248,3.202,10.438,0.047,1,training
TR-N-0378,1.688,-0.978,0.048,0,training
TR-R-0002,4.224,5.959,0.084,1,training
TR-R-0306,3.091,9.893,0.063,1,training
TR-N-0266,1.512,-6.964,0.043,0,training
TR-R-0056,3.391,3.568,0.059,1,training
TR-R-0103,2.691,-3.034,0.071,1,training
TR-N-0278,2.571,3.798,0.026,0,training
TR-N-0114,1.649,1.091,0.051,0,training
TR-R-0212,3.427,7.658,0.084,1,training
TR-N-0133,1.341,0.656,0.054,0,training
TR-R-0118,3.402,9.122,0.076,1,training
TR-N-0118,0.777,2.377,0.071,0,training
TR-R-0042,3.61,10.741,0.067,1,training
TR-N-0131,1.868,0.026,0.041,0,training
TR-R-0285,3.117,12.377,0.092,1,training
TR-R-0308,3.073,13.723,0.079,1,training
TR-N-0317,1.545,1.194,0.037,0,training
TR-R-0282,3.193,7.324,0.067,1,training
TR-N-0174,2.333,1.847,0.025,0,training
TR-R-0333,2.853,9.25,0.052,1,training
TR-N-0247,2.025,0.681,0.047,0,training
TR-R-0069,3.637,1.309,0.037,1,training
TR-R-0383,3.913,5.625,0.078,1,training
TR-R-0131,3.272,7.288,0.05,1,training
TR-N-0106,1.777,-0.462,0.05,0,training
TR-R-0222,2.598,7.754,0.07,1,training
TR-R-0367,2.294,2.757,0.053,1,training
TR-R-0317,3.677,11.782,0.058,1,training
TR-N-0103,1.699,0.608,0.049,0,training
TR-N-0144,3.138,-4.687,0.045,0,training
TR-R-0210,2.874,10.656,0.049,1,training
TR-N-0120,1.552,-0.609,0.017,0,training
TR-R-0150,3.366,10.233,0.09,1,training
TR-N-0176,1.629,4.661,0.046,0,training
TR-N-0258,1.684,6.041,0.049,0,training
TR-R-0344,3.253,18.09,0.087,1,training
TR-R-0178,2.89,6.941,0.056,1,training
TR-N-0162,1.612,-2.07,0.061,0,training
TR-N-0276,1.69,-0.608,0.032,0,training
TR-N-0379,1.824,1.866,0.042,0,training
TR-N-0034,1.692,-4.272,0.023,0,training
TR-N-0303,1.479,1.326,0.052,0,training
TR-R-0357,3.698,0.295,0.04,1,training
TR-N-0199,1.684,2.956,0.036,0,training
TR-R-0395,1.847,12.728,0.072,1,training
TR-R-0097,1.678,7.885,0.08,1,training
TR-N-0056,1.878,2.459,0.039,0,training
TR-N-0204,2.221,-1.218,0.04,0,training
TR-R-0374,3.422,6.617,0.072,1,training
TR-R-0151,3.705,2.139,0.077,1,training
TR-N-0066,3.258,-2.911,0.045,0,training
TR-R-0355,4.828,4.835,0.071,1,training
TR-N-0105,1.428,-4.096,0.049,0,training
TR-N-0145,1.077,0.297,0.048,0,training
TR-N-0217,1.809,-0.539,0.032,0,training
TR-R-0245,2.293,9.149,0.098,1,training
TR-R-0080,5.211,-0.157,0.084,1,training
TR-R-0134,2.203,2.24,0.067,1,training
TR-R-0205,3.899,0.407,0.065,1,training
TR-R-0324,2.306,9.779,0.065,1,training
TR-R-0351,2.742,10.031,0.047,1,training
TR-R-0262,3.464,9.058,0.075,1,training
TR-R-0229,1.184,6.378,0.078,1,training
TR-R-0340,2.526,4.883,0.058,1,training
TR-N-0216,1.89,-2.121,0.042,0,training
TR-N-0049,2.218,1.939,0.044,0,training
TR-N-0387,1.597,1.275,0.029,0,training
TR-R-0234,2.767,6.732,0.053,1,training
TR-N-0026,1.471,-2.083,0.074,0,training
TR-R-0093,1.748,4.029,0.043,1,training
TR-R-0136,4.618,3.493,0.059,1,training
TR-R-0261,3.005,4.887,0.054,1,training
TR-R-0330,3.148,5.47,0.105,1,training
TR-N-0265,1.481,4.011,0.008,0,training
TR-N-0375,1.682,-3.667,0.039,0,training
TR-R-0332,3.295,16.186,0.068,1,training
TR-N-0097,2.066,3.049,0.062,0,training
TR-N-0023,1.488,-4.679,0.064,0,training
TR-R-0003,2.682,7.901,0.081,1,training
TR-N-0076,1.471,-2.461,0.023,0,training
TR-R-0176,2.819,11.011,0.052,1,training
TR-N-0323,2.012,-2.615,0.057,0,training
TR-N-0357,0.941,1.32,0.04,0,training
TR-N-0002,2.504,-2.154,0.024,0,training
TR-N-0089,1.164,1.322,0.037,0,training
TR-R-0303,2.614,6.625,0.085,1,training
TR-R-0320,4.376,10.066,0.069,1,training
TR-N-0022,1.073,0.108,0.03,0,training
TR-N-0215,0.745,-0.314,0.036,0,training
TR-N-0001,1.256,3.457,0.024,0,training
TR-R-0215,1.922,12.391,0.053,1,training
TR-R-0223,3.169,9.729,0.046,1,training
TR-N-0085,2.069,-3.116,0.039,0,training
TR-R-0298,3.249,5.257,0.077,1,training
TR-N-0127,1.389,3.701,0.032,0,training
TR-R-0108,3.234,12.842,0.057,1,training
TR-R-0156,3.571,14.732,0.105,1,training
TR-N-0073,2.617,-4.079,0.046,0,training
TR-R-0287,5.183,-4.95,0.089,1,training
TR-R-0280,2.331,0.131,0.053,1,training
TR-R-0068,3.754,4.251,0.069,1,training
TR-N-0264,2.737,-6.269,0.046,0,training
TR-R-0020,2.184,5.108,0.061,1,training
TR-R-0235,1.988,8.091,0.052,1,training
TR-R-0062,3.513,-4.436,0.071,1,training
TR-N-0329,1.424,2.092,0.031,0,training
TR-R-0277,2.268,7.824,0.096,1,training
TR-N-0212,1.711,-1.092,0.057,0,training
TR-R-0310,3.933,1.021,0.068,1,training
TR-R-0381,2.62,5.3,0.078,1,training
TR-R-0247,1.715,12.318,0.057,1,training
TR-N-0261,0.571,0.445,0.032,0,training
TR-R-0279,3.279,11.998,0.078,1,training
TR-N-0221,1.701,6.462,0.046,0,training
TR-N-0334,1.206,-7.018,0.019,0,training
TR-N-0291,1.402,-0.113,0.03,0,training
TR-R-0250,3.198,11.592,0.079,1,training
TR-N-0135,1.784,-1.627,0.034,0,training
TR-N-0319,1.52,-2.157,0.04,0,training
TR-R-0081,3.225,-3.473,0.086,1,training
TR-N-0277,1.155,-4.614,0.027,0,training
TR-N-0241,1.652,3.036,0.034,0,training
TR-N-0164,2.046,-0.362,0.022,0,training
TR-R-0361,2.702,6.003,0.067,1,training
TR-R-0099,3.0,9.058,0.065,1,training
TR-R-0144,2.924,2.552,0.055,1,training
TR-R-0337,1.509,-1.703,0.078,1,training
TR-R-0085,3.582,9.995,0.075,1,training
TR-R-0170,3.057,4.512,0.093,1,training
TR-R-0169,1.931,4.881,0.063,1,training
TR-N-0081,2.608,4.211,0.032,0,training
TR-R-0060,2.199,8.087,0.076,1,training
TR-R-0358,3.249,7.818,0.052,1,training
TR-R-0371,2.852,10.485,0.047,1,training
TR-R-0243,3.048,1.435,0.099,1,training
TR-R-0336,2.199,9.414,0.041,1,training
TR-R-0251,2.572,5.73,0.068,1,training
TR-N-0399,1.49,0.24,0.052,0,training
TR-R-0246,2.826,10.744,0.057,1,training
TR-R-0334,3.869,14.486,0.099,1,training
TR-N-0353,1.928,-0.109,0.019,0,training
TR-N-0168,2.09,0.867,0.051,0,training
TR-R-0066,2.645,4.457,0.04,1,training
TR-N-0180,1.891,-1.727,0.04,0,training
TR-N-0152,2.214,1.43,0.03,0,training
TR-N-0098,2.013,-3.126,0.051,0,training
TR-R-0198,3.267,9.086,0.038,1,training
TR-R-0091,3.506,7.323,0.049,1,training
TR-N-0058,1.336,1.016,0.046,0,training
TR-N-0298,0.832,-4.658,0.06,0,training
TR-R-0214,2.809,6.327,0.067,1,training
TR-N-0237,2.404,4.574,0.048,0,training
TR-N-0163,1.696,0.869,0.022,0,training
TR-R-0188,3.131,1.124,0.031,1,training
TR-N-0262,1.567,-2.012,0.038,0,training
TR-N-0185,2.14,-3.55,0.063,0,training
TR-N-0027,2.24,-1.424,0.039,0,training
TR-R-0052,3.566,6.866,0.069,1,training
TR-R-0294,3.388,6.383,0.071,1,training
TR-R-0043,4.289,1.59,0.038,1,training
TR-N-0161,2.865,3.236,0.019,0,training
TR-R-0213,2.525,4.886,0.045,1,training
TR-N-0284,1.031,-0.475,0.038,0,training
TR-N-0342,1.234,6.237,0.045,0,training
TR-N-0299,1.209,-1.044,0.043,0,training
TR-N-0356,1.701,-2.53,0.041,0,training
TR-R-0154,2.876,2.525,0.071,1,training
TR-R-0202,2.203,14.402,0.087,1,training
TR-N-0078,1.556,2.498,0.022,0,training
TR-N-0037,1.724,0.368,0.04,0,training
TR-R-0329,3.905,6.542,0.05,1,training
TR-R-0201,2.598,7.563,0.043,1,training
TR-R-0193,3.647,8.744,0.055,1,training
TR-N-0194,1.529,0.085,0.042,0,training
